taxon_name,Plant Genus,Plant Species,Pollinator Order/Family,Pollinator Genus,Pollinator Species,Morphospecies,Region,Publication,source_id,POLLINATOR TRAIT,pollinator_trait_value,METHOD,POLLINATION EVIDENCE,location_name,latitude (deg),longitude (deg)
Banksia menziesii,Banksia,menziesii,Bombyliidae,,,Bombylid,Perth Metropolitan,"Ritchie A., PhD thesis 2015",Ritchie_2015,flower_visitor,bee_fly,pollen swab from vector,swabbed with over 10 pollen grains present,Melaleuca_1,-31.674444,115.895556
Banksia menziesii,Banksia,menziesii,Hymenoptera,,,Hymenoptera,Perth Metropolitan,"Ritchie A., PhD thesis 2015",Ritchie_2015,flower_visitor,hymenoptera,pollen swab from vector,swabbed with over 10 pollen grains present,Hepburn Park,-31.819167,115.874722
Banksia menziesii,Banksia,menziesii,Hymenoptera,,,Hymenoptera,Perth Metropolitan,"Ritchie A., PhD thesis 2015",Ritchie_2015,flower_visitor,hymenoptera,pollen swab from vector,swabbed with over 10 pollen grains present,Melaleuca_2,-31.686389,115.897222
Banksia menziesii,Banksia,menziesii,Hymenoptera,,,Hymnoptera sp,Perth Metropolitan,"Ritchie A., PhD thesis 2015",Ritchie_2015,flower_visitor,hymenoptera,pollen swab from vector,swabbed with over 10 pollen grains present,Melaleuca_2,-31.686389,115.897222
Banksia menziesii,Banksia,menziesii,Thynnidae,,,Thynnidae male,Perth Metropolitan,"Ritchie A., PhD thesis 2015",Ritchie_2015,flower_visitor,thynnine_wasp,pollen swab from vector,swabbed with over 10 pollen grains present,Melaleuca_1,-31.674444,115.895556
Banksia attenuata,Banksia,attenuata,Meliphagidae,Phylidonyris,nigra,White-cheeked Honeyeater,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",Ritchie_2021,pollination_vector_known,honeyeater,Observation,observed pollen transfer,Marangaroo Conservation Reserve,-31.830278,115.835556
Banksia attenuata,Banksia,attenuata,Meliphagidae,Anthochaera,carunculata,Red Wattlebird,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",Ritchie_2021,pollination_vector_known,honeyeater,Observation,observed pollen transfer,Marangaroo Conservation Reserve,-31.830278,115.835556
Banksia attenuata,Banksia,attenuata,Meliphagidae,Lichmera,indistincta,Brown Honeyeater,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",Ritchie_2021,pollination_vector_known,honeyeater,Observation,observed pollen transfer,Marangaroo Conservation Reserve,-31.830278,115.835556
Banksia attenuata,Banksia,attenuata,Zosterops,Zosterops,lateralis,Silvereye,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",Ritchie_2021,pollination_vector_possible,Silvereye,Observation,"probing inflorescence, contact with stigma, contact with anthers",Marangaroo Conservation Reserve,-31.830278,115.835556
Banksia attenuata,Banksia,attenuata,Meliphagidae,Lichenostomus,virescens,Singing Honeyeater,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",Ritchie_2021,pollination_vector_known,honeyeater,Observation,observed pollen transfer,Marangaroo Conservation Reserve,-31.830278,115.835556
Banksia attenuata,Banksia,attenuata,Meliphagidae,Phylidonyris,novaehollandiae,New Holland Honeyeater,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",Ritchie_2021,pollination_vector_known,honeyeater,Observation,observed pollen transfer,Melaleuca_1,-31.674444,115.895556
Banksia attenuata,Banksia,attenuata,Meliphagidae,Anthochaera,lunulata,Western Wattlebird,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",Ritchie_2021,pollination_vector_known,honeyeater,Observation,observed pollen transfer,Hepburn Park,-31.819167,115.874722
Banksia attenuata,Banksia,attenuata,Meliphagidae,Acanthorhynchus,superciliosus,Western Spinebill,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",Ritchie_2021,pollination_vector_known,honeyeater,Observation,observed pollen transfer,Melaleuca_1,-31.674444,115.895556
Banksia attenuata,Banksia,attenuata,Psittaculidae,Trichoglossus,haematodus,Rainbow Lorikeet,Perth Metropolitan,"Ritchie et al. 2021; Ritchie A., PhD thesis 2015",Ritchie_2021,flower_visitor,parrot,Observation,probing inflorescence,Hepburn Park,-31.819167,115.874722
Banksia attenuata,Banksia,attenuata,Apidae,Apis,mellifera,European Honeybee,Perth Metropolitan,"Ritchie A., PhD thesis 2015",Ritchie_2015,pollination_vector_possible,honeybee,pollen swab from vector,"probing inflorescence, contact with anthers, assumed pollinator",Marangaroo Conservation Reserve,-31.830278,115.835556
Banksia attenuata,Banksia,attenuata,Hymenoptera,,,Hymenoptera,Perth Metropolitan,"Ritchie A., PhD thesis 2015",Ritchie_2015,flower_visitor,hymenoptera,pollen swab from vector,swabbed with over 10 pollen grains present,Paloma Park,-31.833056,115.851944
Banksia attenuata,Banksia,attenuata,Evaniidae,,,Hatchet wasp 1,Perth Metropolitan,"Ritchie A., PhD thesis 2015",Ritchie_2015,flower_visitor,wasp,pollen swab from vector,swabbed with over 10 pollen grains present,Gaskell Rd,-31.785833,115.942222
Banksia attenuata,Banksia,attenuata,Formicidae,,,Ant sp1,Perth Metropolitan,"Ritchie A., PhD thesis 2015",Ritchie_2015,flower_visitor,ant,pollen swab from vector,swabbed with over 10 pollen grains present,Jandakot_2,-32.107778,115.866944
Banksia attenuata,Banksia,attenuata,Bombyliidae,,,Bombylidae,Perth Metropolitan,"Ritchie A., PhD thesis 2015",Ritchie_2015,flower_visitor,bee_fly,pollen swab from vector,swabbed with over 10 pollen grains present,Gnangara Park,-31.785278,115.939722
Banksia attenuata,Banksia,attenuata,Hymenoptera clade Anthophila,,,native bee,Perth Metropolitan,"Ritchie A., PhD thesis 2015",Ritchie_2015,flower_visitor,bee,pollen swab from vector,swabbed with over 10 pollen grains present,Melaleuca_1,-31.674444,115.895556
Banksia attenuata,Banksia,attenuata,Bombyliidae,,,Bombylidae,Perth Metropolitan,"Ritchie A., PhD thesis 2015",Ritchie_2015,flower_visitor,bee_fly,pollen swab from vector,swabbed with over 10 pollen grains present,Gnangara Park,-31.785278,115.939722
Banksia attenuata,Banksia,attenuata,Apocrita,,,Wasp sp.8,Perth Metropolitan,"Ritchie A., PhD thesis 2015",Ritchie_2015,flower_visitor,wasp,pollen swab from vector,swabbed with over 10 pollen grains present,Melaleuca_1,-31.674444,115.895556
Banksia attenuata,Banksia,attenuata,Apocrita,,,Wasp sp.9,Perth Metropolitan,"Ritchie A., PhD thesis 2015",Ritchie_2015,flower_visitor,wasp,pollen swab from vector,swabbed with over 10 pollen grains present,Jandakot_1,-32.105,115.868611
Banksia attenuata,Banksia,attenuata,Megachilidae,,,Megachilidae,Perth Metropolitan,"Ritchie A., PhD thesis 2015",Ritchie_2015,flower_visitor,megachilidae,pollen swab from vector,swabbed with over 10 pollen grains present,Hepburn Park,-31.819167,115.874722
Banksia attenuata,Banksia,attenuata,Thynnidae,,,Thynnidae (Epactiothynnus) male,Perth Metropolitan,"Ritchie A., PhD thesis 2015",Ritchie_2015,flower_visitor,thynnine_wasp,pollen swab from vector,swabbed with over 10 pollen grains present,Gnangara Park,-31.785278,115.939722
Banksia attenuata,Banksia,attenuata,Thynnidae,,,Thynnidae male,Perth Metropolitan,"Ritchie A., PhD thesis 2015",Ritchie_2015,flower_visitor,thynnine_wasp,pollen swab from vector,swabbed with over 10 pollen grains present,Jandakot_1,-32.105,115.868611
Banksia attenuata,Banksia,attenuata,Gasteruptiidae,,,Gasteruptiidae,Perth Metropolitan,"Ritchie A., PhD thesis 2015",Ritchie_2015,flower_visitor,wasp,pollen swab from vector,swabbed with over 10 pollen grains present,Melaleuca_1,-31.674444,115.895556
Banksia attenuata,Banksia,attenuata,Gasteruptiidae,,,Gasteruptiidae,Perth Metropolitan,"Ritchie A., PhD thesis 2015",Ritchie_2015,flower_visitor,wasp,pollen swab from vector,swabbed with over 10 pollen grains present,Melaleuca_1,-31.674444,115.895556
Banksia attenuata,Banksia,attenuata,Bombyliidae,,,Bombylidae,Perth Metropolitan,"Ritchie A., PhD thesis 2015",Ritchie_2015,flower_visitor,bee_fly,pollen swab from vector,swabbed with over 10 pollen grains present,Melaleuca_1,-31.674444,115.895556
Banksia attenuata,Banksia,attenuata,Chrysididae,,,cuckoo wasp-blue,Perth Metropolitan,"Ritchie A., PhD thesis 2015",Ritchie_2015,flower_visitor,wasp,pollen swab from vector,swabbed with over 10 pollen grains present,Melaleuca_1,-31.674444,115.895556
