Species,Date,Day,Temp,CO2,Water,Potnum,Photo (umol m-2 s-1),Cond (mol m-2 s-1),Ci (umol mol-1),Trmmol (mmol m-2 s-1),VpdL (kPa),CiCa,Rdark (umol m-2 s-1),date_carbo,leaf_soluble_sugar_mg_per_g,leaf_soluble_starch_mg_per_g,stem_soluble_sugar_mg_per_g,stem_soluble_starch_mg_per_g,root_soluble_sugar_mg_per_g,root_soluble_starch_mg_per_g,date_biomass,Height (cm),BasalDia1 (mm),BasalDia2 (mm),LA (cm-2),leafDW (g),stemDW (g),rootDW (g),root_shoot_ratio,leaf_area_ratio_cm2_g,specific_leaf_area_cm2_g,sample_day,context
Callitris rhomboidea,NA,NA,Elv,400,Wet,460,NA,NA,NA,NA,NA,NA,NA,16/10/2012,76.4424,16.03947368,21.7926,8.431718062,27.4883,24.86538462,16/10/2012,100,10.62,11.2,NA,44.41,NA,9.33,NA,NA,NA,,grown_at_Elv_temp_and_400_ppm_CO2_with_Wet_treatment
Callitris rhomboidea,NA,NA,Amb,640,Dry,644,NA,NA,NA,NA,NA,NA,NA,16/10/2012,131.2131,2.441037736,86.6932,2.012048193,24.6793,1.349282297,16/10/2012,29,3.5,3.3,NA,2.83,0.866641763,1.45,0.39224790849715885,NA,NA,,grown_at_Amb_temp_and_640_ppm_CO2_with_Dry_treatment
Callitris rhomboidea,NA,NA,Amb,640,Dry,645,NA,NA,NA,NA,NA,NA,NA,16/10/2012,117.7697,1.752336449,63.9392,2.483606557,32.637,3.458333333,16/10/2012,26.3,3.17,2.98,NA,3.75,1.187308348,1.08,0.2187426678419802,NA,NA,,grown_at_Amb_temp_and_640_ppm_CO2_with_Dry_treatment
Callitris rhomboidea,NA,NA,Amb,640,Wet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27/03/2012,17,1.47,1.48,83.532,0.4807,0.187523077,0.1276,0.19095419537568586,104.96302810781647,173.77158310796753,,grown_at_Amb_temp_and_640_ppm_CO2_with_Wet_treatment
Callitris rhomboidea,NA,NA,Amb,400,Dry,554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/05/2012,26.5,3.2,3.3,258.76,2.82,0.741101695,0.81,0.22745769971615487,59.19789061324961,91.75886524822695,,grown_at_Amb_temp_and_400_ppm_CO2_with_Dry_treatment
Callitris rhomboidea,NA,NA,Amb,400,Dry,547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/05/2012,25.46,2.9,3.1,NA,1.85,0.45215847,0.72,0.31274997328919757,NA,NA,,grown_at_Amb_temp_and_400_ppm_CO2_with_Dry_treatment
Callitris rhomboidea,NA,NA,Amb,400,Dry,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/05/2012,21,2.1,2.2,NA,1.12,0.36,0.55,0.37162162162162166,NA,NA,,grown_at_Amb_temp_and_400_ppm_CO2_with_Dry_treatment
Callitris rhomboidea,NA,NA,Amb,640,Dry,653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/05/2012,27,3.5,3.5,NA,2.52,0.8325,1.07,0.3191648023862789,NA,NA,,grown_at_Amb_temp_and_640_ppm_CO2_with_Dry_treatment
Callitris rhomboidea,NA,NA,Amb,640,Dry,651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/05/2012,26.5,3.2,3.2,NA,2.7,0.793832599,0.84,0.2404236540240719,NA,NA,,grown_at_Amb_temp_and_640_ppm_CO2_with_Dry_treatment
Callitris rhomboidea,NA,NA,Amb,640,Dry,643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/05/2012,25.3,3.3,3.25,NA,2.57,0.757834101,0.92,0.2764560888788128,NA,NA,,grown_at_Amb_temp_and_640_ppm_CO2_with_Dry_treatment
Callitris rhomboidea,NA,NA,Elv,640,Dry,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/05/2012,25.5,2.5,2.7,NA,1.42,0.3825,0.43,0.23855755894590847,NA,NA,,grown_at_Elv_temp_and_640_ppm_CO2_with_Dry_treatment
Callitris rhomboidea,NA,NA,Elv,640,Dry,357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/05/2012,28,3.1,3.2,NA,2.78,1.018181818,0.93,0.24485399713953349,NA,NA,,grown_at_Elv_temp_and_640_ppm_CO2_with_Dry_treatment
Callitris rhomboidea,NA,NA,Elv,640,Dry,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/05/2012,32.5,3.6,3.6,358,2.94,0.92693662,0.98,0.2534305824748687,73.86108547876988,121.7687074829932,,grown_at_Elv_temp_and_640_ppm_CO2_with_Dry_treatment
Callitris rhomboidea,NA,NA,Elv,400,Dry,456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/05/2012,32,3.7,3.6,NA,2.83,0.78615917,0.85,0.2350560249260267,NA,NA,,grown_at_Elv_temp_and_400_ppm_CO2_with_Dry_treatment
Callitris rhomboidea,NA,NA,Elv,400,Dry,451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/05/2012,27.5,2.6,2.5,NA,2.04,0.458333333,0.54,0.21614409609288113,NA,NA,,grown_at_Elv_temp_and_400_ppm_CO2_with_Dry_treatment
Callitris rhomboidea,NA,NA,Elv,400,Dry,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/05/2012,24.5,2.8,2.8,NA,2.23,0.550956938,0.52,0.18698599496257284,NA,NA,,grown_at_Elv_temp_and_400_ppm_CO2_with_Dry_treatment
Callitris rhomboidea,NA,NA,Amb,400,Wet,553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/05/2012,32,4,4.4,NA,3.37,1.484057971,0.93,0.1915922730128433,NA,NA,,grown_at_Amb_temp_and_400_ppm_CO2_with_Wet_treatment
Callitris rhomboidea,NA,NA,Amb,400,Wet,556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/05/2012,25.3,2.8,2.6,363.26,1.51,0.5405,0.49,0.23896610582784686,142.98760086597127,240.56953642384104,,grown_at_Amb_temp_and_400_ppm_CO2_with_Wet_treatment
Callitris rhomboidea,NA,NA,Amb,640,Wet,648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/05/2012,33.5,3.7,3.8,NA,3.19,1.719966443,1.18,0.24032750807946812,NA,NA,,grown_at_Amb_temp_and_640_ppm_CO2_with_Wet_treatment
Callitris rhomboidea,NA,NA,Elv,640,Wet,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/05/2012,36.8,3.4,3.7,NA,2.95,1.460848485,0.83,0.18817241236523677,NA,NA,,grown_at_Elv_temp_and_640_ppm_CO2_with_Wet_treatment
Callitris rhomboidea,NA,NA,Elv,640,Wet,359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/05/2012,33.8,3.5,3.7,NA,2.1,0.964131148,0.65,0.21213191231199874,NA,NA,,grown_at_Elv_temp_and_640_ppm_CO2_with_Wet_treatment
Callitris rhomboidea,NA,NA,Elv,400,Wet,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/05/2012,35.5,3.7,3.8,NA,2.23,1.16835443,0.56,0.16478563714732958,NA,NA,,grown_at_Elv_temp_and_400_ppm_CO2_with_Wet_treatment
Callitris rhomboidea,NA,NA,Elv,400,Wet,453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22/05/2012,32,3.9,4,608.6,2.75,1.100350877,0.61,0.1584271198876507,136.4466645748148,221.3090909090909,,grown_at_Elv_temp_and_400_ppm_CO2_with_Wet_treatment
Callitris rhomboidea,9/07/2012,106,Elv,640,Dry,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_106,grown_at_Elv_temp_and_640_ppm_CO2_with_Dry_treatment_and_measured_at_day_106
Callitris rhomboidea,9/07/2012,106,Elv,640,Dry,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_106,grown_at_Elv_temp_and_640_ppm_CO2_with_Dry_treatment_and_measured_at_day_106
Callitris rhomboidea,9/07/2012,106,Elv,400,Dry,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_106,grown_at_Elv_temp_and_400_ppm_CO2_with_Dry_treatment_and_measured_at_day_106
Callitris rhomboidea,9/07/2012,106,Elv,400,Dry,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_106,grown_at_Elv_temp_and_400_ppm_CO2_with_Dry_treatment_and_measured_at_day_106
Callitris rhomboidea,9/07/2012,106,Elv,400,Dry,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_106,grown_at_Elv_temp_and_400_ppm_CO2_with_Dry_treatment_and_measured_at_day_106
Callitris rhomboidea,9/07/2012,106,Amb,400,Wet,546,NA,NA,NA,NA,NA,NA,1.075890368,16/10/2012,86.5689,17.72596154,26.1919,4.057377049,15.7467,13.29694323,16/10/2012,83.5,10.48,10.32,NA,38.43,NA,18.07,NA,NA,NA,measured_at_day_106,grown_at_Amb_temp_and_400_ppm_CO2_with_Wet_treatment_and_measured_at_day_106
Callitris rhomboidea,9/07/2012,106,Amb,400,Wet,545,NA,NA,NA,NA,NA,NA,0.970849911,16/10/2012,69.045,8.081632653,26.5301,6.037344398,11.8185,3.717703349,16/10/2012,70.5,9.67,9.56,NA,36,NA,12.08,NA,NA,NA,measured_at_day_106,grown_at_Amb_temp_and_400_ppm_CO2_with_Wet_treatment_and_measured_at_day_106
Callitris rhomboidea,9/07/2012,106,Amb,400,Wet,560,NA,NA,NA,NA,NA,NA,0.627683801,16/10/2012,70.5307,13.45964126,25.5623,3.954545455,20.5928,6.597285068,16/10/2012,81,10.23,10.75,NA,49.35,NA,13.92,NA,NA,NA,measured_at_day_106,grown_at_Amb_temp_and_400_ppm_CO2_with_Wet_treatment_and_measured_at_day_106
Callitris rhomboidea,9/07/2012,106,Amb,640,Wet,641,NA,NA,NA,NA,NA,NA,0.958850504,16/10/2012,94.1528,24.5154185,29.2606,6.364016736,30.3197,12.87096774,16/10/2012,104,14.05,13.7,NA,58.56,NA,24.89,NA,NA,NA,measured_at_day_106,grown_at_Amb_temp_and_640_ppm_CO2_with_Wet_treatment_and_measured_at_day_106
Callitris rhomboidea,9/07/2012,106,Amb,640,Wet,647,NA,NA,NA,NA,NA,NA,0.655331864,16/10/2012,58.4357,36.62389381,27.4802,6.449339207,24.9449,16.66216216,16/10/2012,78,9.4,9.5,NA,37.94,NA,9.66,NA,NA,NA,measured_at_day_106,grown_at_Amb_temp_and_640_ppm_CO2_with_Wet_treatment_and_measured_at_day_106
Callitris rhomboidea,9/07/2012,106,Amb,640,Wet,655,NA,NA,NA,NA,NA,NA,0.964427809,NA,NA,NA,29.3006,8.651785714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_106,grown_at_Amb_temp_and_640_ppm_CO2_with_Wet_treatment_and_measured_at_day_106
Callitris rhomboidea,25/07/2012,122,Amb,400,Dry,548,NA,0,NA,NA,NA,NA,0.082956484,16/10/2012,108.6218,2.345070423,96.1942,2.412765957,31.243,1.235294118,16/10/2012,20.5,2.49,2.59,NA,1.4,0.374673629,0.62,0.3493600118176997,NA,NA,measured_at_day_122,grown_at_Amb_temp_and_400_ppm_CO2_with_Dry_treatment_and_measured_at_day_122
Callitris rhomboidea,25/07/2012,122,Amb,400,Dry,555,NA,0,NA,NA,NA,NA,0.135614929,16/10/2012,92.1092,0.842364532,64.9426,2.18061674,27.9638,1.68,16/10/2012,25.7,2.88,2.88,NA,1.94,0.73112069,0.74,0.2770372760655753,NA,NA,measured_at_day_122,grown_at_Amb_temp_and_400_ppm_CO2_with_Dry_treatment_and_measured_at_day_122
Callitris rhomboidea,25/07/2012,122,Amb,400,Dry,542,NA,0,NA,NA,NA,NA,0.107395132,16/10/2012,94.8151,2.612068966,54.1797,1.092,17.906,2.274418605,16/10/2012,23,2.6,2.38,NA,1.04,0.42,0.86,0.589041095890411,NA,NA,measured_at_day_122,grown_at_Amb_temp_and_400_ppm_CO2_with_Dry_treatment_and_measured_at_day_122
Callitris rhomboidea,25/07/2012,122,Amb,400,Dry,558,NA,0,NA,NA,NA,NA,0.042291595,16/10/2012,106.8334,2.181818182,56.8815,1.659836066,25.4204,3.314634146,16/10/2012,29.3,3.34,3.23,NA,2.45,0.800960473,0.95,0.29222133209246187,NA,NA,measured_at_day_122,grown_at_Amb_temp_and_400_ppm_CO2_with_Dry_treatment_and_measured_at_day_122
Callitris rhomboidea,25/07/2012,122,Amb,400,Wet,546,NA,NA,NA,NA,NA,NA,0.789833152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_122,grown_at_Amb_temp_and_400_ppm_CO2_with_Wet_treatment_and_measured_at_day_122
Callitris rhomboidea,25/07/2012,122,Amb,400,Wet,544,NA,NA,NA,NA,NA,NA,0.847776813,16/10/2012,70.2535,11.41121495,23.0878,6.715481172,21.9332,11.52112676,16/10/2012,71.8,9.29,9.2,NA,28.92,NA,8.19,NA,NA,NA,measured_at_day_122,grown_at_Amb_temp_and_400_ppm_CO2_with_Wet_treatment_and_measured_at_day_122
Callitris rhomboidea,8/08/2012,136,Amb,400,Dry,558,NA,0,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_136,grown_at_Amb_temp_and_400_ppm_CO2_with_Dry_treatment_and_measured_at_day_136
Callitris rhomboidea,8/08/2012,136,Amb,400,Dry,542,NA,0,NA,NA,NA,NA,0.080715816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_136,grown_at_Amb_temp_and_400_ppm_CO2_with_Dry_treatment_and_measured_at_day_136
Callitris rhomboidea,8/08/2012,136,Amb,400,Dry,548,NA,0,NA,NA,NA,NA,0.039700015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_136,grown_at_Amb_temp_and_400_ppm_CO2_with_Dry_treatment_and_measured_at_day_136
Callitris rhomboidea,8/08/2012,136,Amb,400,Dry,555,NA,0,NA,NA,NA,NA,0.043709724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_136,grown_at_Amb_temp_and_400_ppm_CO2_with_Dry_treatment_and_measured_at_day_136
Callitris rhomboidea,8/08/2012,136,Amb,400,Wet,546,NA,NA,NA,NA,NA,NA,0.815900138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_136,grown_at_Amb_temp_and_400_ppm_CO2_with_Wet_treatment_and_measured_at_day_136
Callitris rhomboidea,8/08/2012,136,Amb,400,Wet,545,NA,NA,NA,NA,NA,NA,1.063297351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_136,grown_at_Amb_temp_and_400_ppm_CO2_with_Wet_treatment_and_measured_at_day_136
Callitris rhomboidea,8/08/2012,136,Amb,400,Wet,544,NA,NA,NA,NA,NA,NA,1.165168274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_136,grown_at_Amb_temp_and_400_ppm_CO2_with_Wet_treatment_and_measured_at_day_136
Callitris rhomboidea,NA,NA,Elv,640,Wet,344,NA,NA,NA,NA,NA,NA,NA,26/03/2012,41.0832,32.92173913,39.3263,14.1375,18.4601,5.428571429,27/03/2012,27.5,2.61,2.66,192.748,1.4753,0.601489362,0.5349,0.2575610265476697,73.80203894248582,130.6500372805531,,grown_at_Elv_temp_and_640_ppm_CO2_with_Wet_treatment
Callitris rhomboidea,NA,NA,Elv,640,Wet,353,NA,NA,NA,NA,NA,NA,NA,26/03/2012,39.7015,11.03827751,41.7819,6.53271028,32.3579,6.081395349,27/03/2012,19.5,1.3,1.6,42.629,0.4027,0.179872727,0.2193,0.37643368773766844,53.161803070027595,105.85795877824683,,grown_at_Elv_temp_and_640_ppm_CO2_with_Wet_treatment
Callitris rhomboidea,NA,NA,Elv,640,Wet,360,NA,NA,NA,NA,NA,NA,NA,26/03/2012,54.24,15.86915888,67.842,6.366666667,19.6198,4.876712329,27/03/2012,13.8,1.49,1.52,36.11,0.2522,0.097769492,0.0924,0.26402301375458176,81.62859476756141,143.18001586042823,,grown_at_Elv_temp_and_640_ppm_CO2_with_Wet_treatment
Callitris rhomboidea,NA,NA,Elv,400,Wet,445,NA,NA,NA,NA,NA,NA,NA,26/03/2012,27.4205,5.878378378,NA,NA,20.6992,3.648979592,27/03/2012,14,1,1.3,25.712,0.1551,0.035426087,0.0991,0.5201387461445109,88.77653344810753,165.77691811734366,,grown_at_Elv_temp_and_400_ppm_CO2_with_Wet_treatment
Callitris rhomboidea,NA,NA,Elv,400,Wet,449,NA,NA,NA,NA,NA,NA,NA,26/03/2012,56.1497,15.425,44.0093,4.210526316,23.8943,3.422535211,27/03/2012,20,1.95,1.76,97.058,0.4285,0.195384615,0.1058,0.16958263989247435,133.0136308273404,226.5064177362894,,grown_at_Elv_temp_and_400_ppm_CO2_with_Wet_treatment
Callitris rhomboidea,NA,NA,Elv,400,Wet,459,NA,NA,NA,NA,NA,NA,NA,26/03/2012,29.6611,5.747787611,29.2007,3.182926829,11.7355,3.512195122,27/03/2012,28,2.3,2.24,199.517,1.1081,0.508647303,0.4021,0.24870924432895125,98.82718703069737,180.0532442920314,,grown_at_Elv_temp_and_400_ppm_CO2_with_Wet_treatment
Callitris rhomboidea,NA,NA,Amb,400,Wet,551,NA,NA,NA,NA,NA,NA,NA,26/03/2012,45.6387,10.11688312,NA,NA,21.0066,3.889328063,27/03/2012,9.5,1.32,0.87,20.492,0.1572,0.040418182,0.1986,1.0049682574248153,51.71897941826405,130.3562340966921,,grown_at_Amb_temp_and_400_ppm_CO2_with_Wet_treatment
Callitris rhomboidea,NA,NA,Amb,400,Wet,552,NA,NA,NA,NA,NA,NA,NA,26/03/2012,42.3521,14.02463054,43,11.42201835,27.8661,15.85344828,27/03/2012,18.5,1.4,1.5,42.719,0.252,0.12395,0.1604,0.4266524803830296,79.64761815978373,169.51984126984127,,grown_at_Amb_temp_and_400_ppm_CO2_with_Wet_treatment
Callitris rhomboidea,19/06/2012,86,Elv,400,Wet,441,4.454668477,0.046969377,224.8090457,1.39622996,2.971669719,0.570482828,0.881336814,16/10/2012,82.4582,22.41025641,31.5542,5.743243243,24.4986,10.51351351,16/10/2012,64.3,6.94,7.05,NA,20.84,NA,9.13,NA,NA,NA,measured_at_day_86,grown_at_Elv_temp_and_400_ppm_CO2_with_Wet_treatment_and_measured_at_day_86
Callitris rhomboidea,26/06/2012,93,Amb,400,Dry,542,NA,0,NA,NA,NA,NA,0.360804932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_93,grown_at_Amb_temp_and_400_ppm_CO2_with_Dry_treatment_and_measured_at_day_93
Callitris rhomboidea,26/06/2012,93,Amb,400,Dry,543,NA,0,NA,NA,NA,NA,0.214418545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_93,grown_at_Amb_temp_and_400_ppm_CO2_with_Dry_treatment_and_measured_at_day_93
Callitris rhomboidea,26/06/2012,93,Amb,400,Dry,549,NA,0,NA,NA,NA,NA,0.221483272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_93,grown_at_Amb_temp_and_400_ppm_CO2_with_Dry_treatment_and_measured_at_day_93
Callitris rhomboidea,26/06/2012,93,Amb,640,Dry,660,NA,0,NA,NA,NA,NA,0.232452998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_93,grown_at_Amb_temp_and_640_ppm_CO2_with_Dry_treatment_and_measured_at_day_93
Callitris rhomboidea,26/06/2012,93,Amb,640,Dry,652,NA,0,NA,NA,NA,NA,0.251892186,16/10/2012,109.0701,1.945205479,80.3567,4.72173913,25.0996,3.75308642,16/10/2012,28.3,3.1,3.1,NA,2.05,0.79,1.12,0.3943661971830986,NA,NA,measured_at_day_93,grown_at_Amb_temp_and_640_ppm_CO2_with_Dry_treatment_and_measured_at_day_93
Callitris rhomboidea,26/06/2012,93,Amb,640,Dry,654,NA,0,NA,NA,NA,NA,0.136023409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_93,grown_at_Amb_temp_and_640_ppm_CO2_with_Dry_treatment_and_measured_at_day_93
Callitris rhomboidea,26/06/2012,93,Elv,640,Dry,342,NA,0,NA,NA,NA,NA,0.029976481,16/10/2012,71.8459,3.539473684,47.9729,4.38559322,23.6085,3.774647887,16/10/2012,31,3.18,3.12,NA,2.62,0.955663318,1,0.27966838906951025,NA,NA,measured_at_day_93,grown_at_Elv_temp_and_640_ppm_CO2_with_Dry_treatment_and_measured_at_day_93
Callitris rhomboidea,26/06/2012,93,Elv,640,Dry,347,NA,0,NA,NA,NA,NA,0.029325947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_93,grown_at_Elv_temp_and_640_ppm_CO2_with_Dry_treatment_and_measured_at_day_93
Callitris rhomboidea,26/06/2012,93,Elv,640,Dry,351,NA,0,NA,NA,NA,NA,0.023198534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_93,grown_at_Elv_temp_and_640_ppm_CO2_with_Dry_treatment_and_measured_at_day_93
Callitris rhomboidea,26/06/2012,93,Elv,400,Dry,442,NA,0,NA,NA,NA,NA,0.04,16/10/2012,78.8628,1.514851485,41.0196,4.131355932,17.8973,1.876712329,16/10/2012,27.2,3.4,3.5,NA,1.3,0.716932907,0.59,0.29252336453648825,NA,NA,measured_at_day_93,grown_at_Elv_temp_and_400_ppm_CO2_with_Dry_treatment_and_measured_at_day_93
Callitris rhomboidea,26/06/2012,93,Elv,400,Dry,458,NA,0,NA,NA,NA,NA,0.028757798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measured_at_day_93,grown_at_Elv_temp_and_400_ppm_CO2_with_Dry_treatment_and_measured_at_day_93
