Individual,Species,Batch,Nutrient Treatment,Grass Treatment,Continent,Climate,Leaf Habit,Mass_g,RMF_g_per_g,SER_mm_per_day,SLA_mm2_per_mg,N_mg_per_g,P_mg_per_g,K_mg_per_g,A_nmol_CO2_per_g_s,gs_mmol_H2O_per_m2_s,PWUE_umol_CO2_per_mmol_H2O,photosynthetic_rate_per_area_saturated,PWUE_2,STRL_m_per_g,Seed location,context
156,Acacia harpophylla,2,Nh,G0,Australia,Semi-arid,Evergreen,2.92,0.236,0.12,8.96,25.79,7.85,22.81,57.83,134.56,1.05,6.454241071,0.047965525,NA,SW Queensland,Nutrient_treatment_Nh_and_grass_treatment_G0
157,Acacia harpophylla,2,Nl,G0,Australia,Semi-arid,Evergreen,2.43,0.245,0.11,10.93,26.74,1.46,14.23,127.51,263.02,1.04,11.66605672,0.044354257,13.92,SW Queensland,Nutrient_treatment_Nl_and_grass_treatment_G0
158,Acacia harpophylla,2,Nl,G0,Australia,Semi-arid,Evergreen,1.1,0.289,0.05,8.25,34.91,1.91,15.8,60.99,77.32,1.1,7.392727273,0.095612096,18.83,SW Queensland,Nutrient_treatment_Nl_and_grass_treatment_G0
159,Acacia harpophylla,2,Nl,G0,Australia,Semi-arid,Evergreen,4.11,0.319,0.13,9.26,24.51,1.48,14.64,199.81,402.72,1.05,21.57775378,0.05358004,1.75,SW Queensland,Nutrient_treatment_Nl_and_grass_treatment_G0
160,Acacia harpophylla,2,Nl,G0,Australia,Semi-arid,Evergreen,3.24,0.279,0.07,8.95,24.26,1.22,16.25,59.06,167.27,1.04,6.598882682,0.039450485,10.3,SW Queensland,Nutrient_treatment_Nl_and_grass_treatment_G0
321,Acacia shirleyi,1,Nh,G1,Australia,Semi-arid,Evergreen,0.69,0.114,NA,16.37,21.25,1.64,10.56,138.55,37.53,1.23,8.463653024,0.225517,NA,SF865 Byfield,Nutrient_treatment_Nh_and_grass_treatment_G1
322,Acacia shirleyi,1,Nh,G1,Australia,Semi-arid,Evergreen,0.55,0.057,NA,34.96,NA,NA,NA,62.05,53.39,1.03,1.774885584,0.033243783,NA,SF865 Byfield,Nutrient_treatment_Nh_and_grass_treatment_G1
323,Acacia shirleyi,1,Nh,G0,Australia,Semi-arid,Evergreen,3.05,0.117,0.17,14.51,25.45,2.33,14.15,135.98,149.26,1.06,9.371467953,0.062786198,50,SF865 Byfield,Nutrient_treatment_Nh_and_grass_treatment_G0
324,Acacia shirleyi,1,Nh,G0,Australia,Semi-arid,Evergreen,1.97,0.099,0.13,13.47,23.12,2.68,14.74,145.48,87.74,1.12,10.80029696,0.123094335,21.33,SF865 Byfield,Nutrient_treatment_Nh_and_grass_treatment_G0
325,Acacia shirleyi,1,Nh,G0,Australia,Semi-arid,Evergreen,0.76,0.084,0.05,14.44,23.98,5.96,18.95,146.23,146.85,1.07,10.1267313,0.068959696,69.5,SF865 Byfield,Nutrient_treatment_Nh_and_grass_treatment_G0
326,Acacia shirleyi,1,Nh,G0,Australia,Semi-arid,Evergreen,4.72,0.136,0.17,14.57,28.06,2.89,14.84,254.53,191.35,1.09,17.46945779,0.091295834,20.62,SF865 Byfield,Nutrient_treatment_Nh_and_grass_treatment_G0
327,Acacia shirleyi,1,Nh,G0,Australia,Semi-arid,Evergreen,0.7,0.09,0.04,15.41,26.08,7.67,21.25,95.82,109.87,1.06,6.218040234,0.056594523,83.2,SF865 Byfield,Nutrient_treatment_Nh_and_grass_treatment_G0
328,Acacia shirleyi,1,Nl,G0,Australia,Semi-arid,Evergreen,1.7,0.136,0.09,14.53,30.41,3.29,14.69,188.71,138.05,1.09,12.98761184,0.094079043,36.25,SF865 Byfield,Nutrient_treatment_Nl_and_grass_treatment_G0
329,Acacia shirleyi,1,Nl,G0,Australia,Semi-arid,Evergreen,2.85,0.16,0.13,12.16,28.11,1.45,14.62,152,57.06,1.22,12.5,0.219067648,31.18,SF865 Byfield,Nutrient_treatment_Nl_and_grass_treatment_G0
330,Acacia shirleyi,1,Nl,G0,Australia,Semi-arid,Evergreen,2.94,0.162,0.14,9.81,18.27,1.2,8.56,72.75,64.05,1.12,7.415902141,0.115783015,40.56,SF865 Byfield,Nutrient_treatment_Nl_and_grass_treatment_G0
331,Acacia shirleyi,1,Nl,G0,Australia,Semi-arid,Evergreen,2.53,0.13,0.11,15.19,25.68,1.58,16.94,218.69,132.99,1.11,14.39697169,0.108256047,13.68,SF865 Byfield,Nutrient_treatment_Nl_and_grass_treatment_G0
332,Acacia shirleyi,1,Nl,G0,Australia,Semi-arid,Evergreen,1.09,0.064,0.1,17.35,26.55,1.72,19.15,137.61,120.46,1.07,7.931412104,0.065842704,18.18,SF865 Byfield,Nutrient_treatment_Nl_and_grass_treatment_G0
333,Acacia shirleyi,2,Nh,G0,Australia,Semi-arid,Evergreen,13.11,0.106,0.2,9.56,26.28,5,11.49,100.76,203.38,1.05,10.53974895,0.051822937,6.64,SF865 Byfield,Nutrient_treatment_Nh_and_grass_treatment_G0
334,Acacia shirleyi,2,Nh,G0,Australia,Semi-arid,Evergreen,10.97,0.08,0.45,12.56,25.72,3.26,12.66,52.35,68.31,1.06,4.167993631,0.061015863,20.15,SF865 Byfield,Nutrient_treatment_Nh_and_grass_treatment_G0
335,Acacia shirleyi,2,Nh,G0,Australia,Semi-arid,Evergreen,38.91,0.238,0.52,9.13,21.4,5.73,12,60.62,76.22,1.09,6.639649507,0.087111644,NA,SF865 Byfield,Nutrient_treatment_Nh_and_grass_treatment_G0
336,Acacia shirleyi,2,Nh,G0,Australia,Semi-arid,Evergreen,45.56,0.121,0.59,9.54,18.32,5.1,13.3,21.99,49.7,1.05,2.305031447,0.046378902,18.95,SF865 Byfield,Nutrient_treatment_Nh_and_grass_treatment_G0
337,Acacia shirleyi,2,Nh,G0,Australia,Semi-arid,Evergreen,12.36,0.116,0.31,12.93,30.47,3.73,16.88,30.74,NA,NA,2.37741686,NA,9.94,SF865 Byfield,Nutrient_treatment_Nh_and_grass_treatment_G0
338,Acacia shirleyi,2,Nl,G0,Australia,Semi-arid,Evergreen,4.42,0.127,0.13,13.24,32.17,3.07,10.7,65.35,45.88,1.11,4.935800604,0.107580658,24.53,SF865 Byfield,Nutrient_treatment_Nl_and_grass_treatment_G0
339,Acacia shirleyi,2,Nl,G0,Australia,Semi-arid,Evergreen,11.23,0.084,0.23,9.87,21.55,1.62,10.29,108.71,292.02,1.04,11.0141844,0.037717226,7.69,SF865 Byfield,Nutrient_treatment_Nl_and_grass_treatment_G0
341,Acacia shirleyi,2,Nl,G0,Australia,Semi-arid,Evergreen,6.48,0.139,0.22,11.03,29.86,3.41,10.92,22.24,44.78,1.04,2.01631913,0.045027225,NA,SF865 Byfield,Nutrient_treatment_Nl_and_grass_treatment_G0
342,Acacia shirleyi,2,Nl,G0,Australia,Semi-arid,Evergreen,1.34,0.22,0.06,12.29,23.86,1.78,11.28,21.83,NA,NA,1.776240846,NA,NA,SF865 Byfield,Nutrient_treatment_Nl_and_grass_treatment_G0
343,Acacia shirleyi,1,Nh,G1,Australia,Semi-arid,Evergreen,0.52,0.174,NA,NA,NA,NA,NA,NA,219.66,1.05,NA,NA,NA,SF865 Byfield,Nutrient_treatment_Nh_and_grass_treatment_G1
344,Acacia shirleyi,1,Nh,G1,Australia,Semi-arid,Evergreen,0.54,0.05,NA,23.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,SF865 Byfield,Nutrient_treatment_Nh_and_grass_treatment_G1
345,Acacia shirleyi,1,Nh,G1,Australia,Semi-arid,Evergreen,0.72,0.124,NA,15.1,19.23,1.37,9.03,22.72,34.56,1.04,1.504635762,0.043536914,NA,SF865 Byfield,Nutrient_treatment_Nh_and_grass_treatment_G1
346,Acacia shirleyi,1,Nl,G1,Australia,Semi-arid,Evergreen,0.76,0.112,NA,15.25,19.2,1.39,8.89,NA,NA,NA,NA,NA,NA,SF865 Byfield,Nutrient_treatment_Nl_and_grass_treatment_G1
347,Acacia shirleyi,1,Nl,G1,Australia,Semi-arid,Evergreen,0.61,0.147,NA,18.8,21.92,0.81,8.84,NA,NA,NA,NA,NA,NA,SF865 Byfield,Nutrient_treatment_Nl_and_grass_treatment_G1
348,Acacia shirleyi,1,Nl,G1,Australia,Semi-arid,Evergreen,0.56,0.111,NA,24.06,16.9,1.08,8.88,15.42,36.97,1.02,0.640897756,0.017335617,NA,SF865 Byfield,Nutrient_treatment_Nl_and_grass_treatment_G1
349,Acacia shirleyi,1,Nl,G1,Australia,Semi-arid,Evergreen,0.56,0.085,NA,20.36,NA,NA,NA,66.54,57.34,1.06,3.268172888,0.056996388,NA,SF865 Byfield,Nutrient_treatment_Nl_and_grass_treatment_G1
350,Acacia shirleyi,1,Nl,G1,Australia,Semi-arid,Evergreen,0.56,0.19,NA,21.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SF865 Byfield,Nutrient_treatment_Nl_and_grass_treatment_G1
351,Acacia shirleyi,2,Nh,G1,Australia,Semi-arid,Evergreen,0.89,0.094,NA,21.55,29.15,1.81,12.98,21.85,54.21,1.02,1.013921114,0.018703581,NA,SF865 Byfield,Nutrient_treatment_Nh_and_grass_treatment_G1
352,Acacia shirleyi,2,Nh,G1,Australia,Semi-arid,Evergreen,0.95,0.252,NA,13.04,29.27,1.97,9.42,25.38,38.41,1.05,1.946319018,0.050672195,NA,SF865 Byfield,Nutrient_treatment_Nh_and_grass_treatment_G1
354,Acacia shirleyi,2,Nh,G1,Australia,Semi-arid,Evergreen,0.62,0.058,NA,19.09,28.72,4.82,20.05,1,27.75,1,0.052383447,0.001887692,NA,SF865 Byfield,Nutrient_treatment_Nh_and_grass_treatment_G1
355,Acacia shirleyi,2,Nh,G1,Australia,Semi-arid,Evergreen,2.81,0.096,NA,10.84,24.48,3.54,7.78,44.78,102,1.04,4.13099631,0.040499964,NA,SF865 Byfield,Nutrient_treatment_Nh_and_grass_treatment_G1
356,Acacia shirleyi,2,Nl,G1,Australia,Semi-arid,Evergreen,0.56,0.292,NA,6.96,5.78,0.28,3.1,4.1,32.19,1.01,0.58908046,0.018300107,NA,SF865 Byfield,Nutrient_treatment_Nl_and_grass_treatment_G1
357,Acacia shirleyi,2,Nl,G1,Australia,Semi-arid,Evergreen,0.6,0.15,NA,17.69,15.88,1.11,10.29,1,57.3,1,0.056529112,9.87E-04,NA,SF865 Byfield,Nutrient_treatment_Nl_and_grass_treatment_G1
358,Acacia shirleyi,2,Nl,G1,Australia,Semi-arid,Evergreen,0.58,0.169,NA,14.9,15.56,1.78,8.31,38.81,77.13,1.03,2.604697987,0.033770232,NA,SF865 Byfield,Nutrient_treatment_Nl_and_grass_treatment_G1
359,Acacia shirleyi,2,Nl,G1,Australia,Semi-arid,Evergreen,0.53,0.361,NA,17.64,13.16,0.47,5.53,NA,NA,NA,NA,NA,NA,SF865 Byfield,Nutrient_treatment_Nl_and_grass_treatment_G1
360,Acacia shirleyi,2,Nl,G1,Australia,Semi-arid,Evergreen,0.63,0.182,NA,16.31,20.51,1.1,7.29,32.54,120.24,1.02,1.995095034,0.016592607,NA,SF865 Byfield,Nutrient_treatment_Nl_and_grass_treatment_G1
961,Erythrina vespertilio,1,Nh,G1,Australia,Humid,Deciduous,14.72,0.58,NA,32.1,44.74,1.73,21.24,4.21,6,1.02,0.131152648,0.021858775,NA,Townsville,Nutrient_treatment_Nh_and_grass_treatment_G1
962,Erythrina vespertilio,1,Nh,G1,Australia,Humid,Deciduous,3.45,0.667,NA,36.21,45.24,2.92,19.77,98.77,18,1.16,2.727699531,0.151538863,NA,Townsville,Nutrient_treatment_Nh_and_grass_treatment_G1
963,Erythrina vespertilio,1,Nh,G1,Australia,Humid,Deciduous,13.98,0.741,NA,25.13,31.75,1.64,17.78,71.37,49,1.06,2.840031834,0.057959833,NA,Townsville,Nutrient_treatment_Nh_and_grass_treatment_G1
965,Erythrina vespertilio,1,Nh,G1,Australia,Humid,Deciduous,1.77,0.796,NA,30.86,NA,NA,NA,25.45,12.09,1.07,0.824692158,0.068212751,NA,Townsville,Nutrient_treatment_Nh_and_grass_treatment_G1
966,Erythrina vespertilio,1,Nl,G1,Australia,Humid,Deciduous,3.31,0.898,NA,32.34,21.04,1.42,3.44,177.18,26.42,1.21,5.478664193,0.207368062,NA,Townsville,Nutrient_treatment_Nl_and_grass_treatment_G1
967,Erythrina vespertilio,1,Nh,G0,Australia,Humid,Deciduous,46.34,0.765,0.3,26.25,37.39,2.64,16.77,121.75,13,1.38,4.638095238,0.356776557,1.54,Townsville,Nutrient_treatment_Nh_and_grass_treatment_G0
968,Erythrina vespertilio,1,Nh,G0,Australia,Humid,Deciduous,47.82,0.76,0.28,29.19,39.55,2.3,15.99,88.57,23,1.14,3.034258308,0.131924274,3.15,Townsville,Nutrient_treatment_Nh_and_grass_treatment_G0
969,Erythrina vespertilio,1,Nh,G0,Australia,Humid,Deciduous,40.71,0.758,0.32,23.31,45.23,4.25,19.83,157.2,28,1.25,6.743886744,0.240853098,NA,Townsville,Nutrient_treatment_Nh_and_grass_treatment_G0
970,Erythrina vespertilio,1,Nh,G0,Australia,Humid,Deciduous,64.13,0.781,0.35,23.91,34.87,3.13,7.6,149.37,41.04,1.16,6.247176913,0.15222166,NA,Townsville,Nutrient_treatment_Nh_and_grass_treatment_G0
972,Erythrina vespertilio,1,Nl,G0,Australia,Humid,Deciduous,26.96,0.8,0.21,28.77,38.69,3.43,18.12,162.11,22,1.27,5.634688912,0.256122223,1.85,Townsville,Nutrient_treatment_Nl_and_grass_treatment_G0
973,Erythrina vespertilio,1,Nl,G0,Australia,Humid,Deciduous,25.5,0.653,0.21,24.81,34.41,2.18,23.19,229.29,46,1.2,9.241837969,0.200909521,4.61,Townsville,Nutrient_treatment_Nl_and_grass_treatment_G0
974,Erythrina vespertilio,1,Nl,G0,Australia,Humid,Deciduous,34.32,0.876,0.14,26.33,34.27,1.13,12.01,72.08,13,1.23,2.737561717,0.210581671,1.28,Townsville,Nutrient_treatment_Nl_and_grass_treatment_G0
975,Erythrina vespertilio,1,Nl,G0,Australia,Humid,Deciduous,67.61,0.553,0.49,30.51,32.61,2.29,21.46,22.36,4,1.23,0.732874467,0.183218617,NA,Townsville,Nutrient_treatment_Nl_and_grass_treatment_G0
976,Erythrina vespertilio,1,Nl,G0,Australia,Humid,Deciduous,30.97,0.84,0.22,19.72,19.24,1.19,4.53,18.75,10,1.1,0.950811359,0.095081136,NA,Townsville,Nutrient_treatment_Nl_and_grass_treatment_G0
977,Erythrina vespertilio,3,Nh,G0,Australia,Humid,Deciduous,9.81,0.399,0.26,30,52.11,5.24,32.11,NA,NA,NA,NA,NA,NA,Townsville,Nutrient_treatment_Nh_and_grass_treatment_G0
978,Erythrina vespertilio,3,Nh,G0,Australia,Humid,Deciduous,26.16,0.588,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.45,Townsville,Nutrient_treatment_Nh_and_grass_treatment_G0
979,Erythrina vespertilio,3,Nh,G0,Australia,Humid,Deciduous,8.04,0.579,0.28,22.85,43.54,4.76,31.94,NA,NA,NA,NA,NA,NA,Townsville,Nutrient_treatment_Nh_and_grass_treatment_G0
980,Erythrina vespertilio,3,Nh,G0,Australia,Humid,Deciduous,31.05,0.7,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Townsville,Nutrient_treatment_Nh_and_grass_treatment_G0
981,Erythrina vespertilio,3,Nh,G0,Australia,Humid,Deciduous,45.98,0.417,0.42,22.39,40.28,2.44,18.33,NA,NA,NA,NA,NA,7.01,Townsville,Nutrient_treatment_Nh_and_grass_treatment_G0
982,Erythrina vespertilio,3,Nl,G0,Australia,Humid,Deciduous,12.53,0.687,0.18,23.85,39.15,2.94,27.84,NA,NA,NA,NA,NA,5.43,Townsville,Nutrient_treatment_Nl_and_grass_treatment_G0
984,Erythrina vespertilio,3,Nl,G0,Australia,Humid,Deciduous,8.88,0.463,0.23,22.48,36.71,2.61,22.07,NA,NA,NA,NA,NA,4.09,Townsville,Nutrient_treatment_Nl_and_grass_treatment_G0
986,Erythrina vespertilio,3,Nl,G0,Australia,Humid,Deciduous,27.85,0.691,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Townsville,Nutrient_treatment_Nl_and_grass_treatment_G0
988,Erythrina vespertilio,3,Nl,G1,Australia,Humid,Deciduous,1.04,0.649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Townsville,Nutrient_treatment_Nl_and_grass_treatment_G1
991,Erythrina vespertilio,1,Nl,G1,Australia,Humid,Deciduous,1.99,0.74,NA,32.08,14.32,1.3,2,58.43,29.13,1.06,1.82138404,0.062526057,NA,Townsville,Nutrient_treatment_Nl_and_grass_treatment_G1
992,Erythrina vespertilio,1,Nl,G1,Australia,Humid,Deciduous,1.77,0.824,NA,38.98,29.03,1.61,6.83,98.45,21,1.13,2.525654182,0.120269247,NA,Townsville,Nutrient_treatment_Nl_and_grass_treatment_G1
993,Erythrina vespertilio,1,Nl,G1,Australia,Humid,Deciduous,1.39,0.802,NA,39.37,28.56,2.3,10.85,7.97,18.7,1.01,0.202438405,0.010825583,NA,Townsville,Nutrient_treatment_Nl_and_grass_treatment_G1
994,Erythrina vespertilio,1,Nl,G1,Australia,Humid,Deciduous,4.24,0.888,NA,41.32,NA,NA,NA,89.51,22.42,1.1,2.166263311,0.096621914,NA,Townsville,Nutrient_treatment_Nl_and_grass_treatment_G1
999,Erythrina vespertilio,3,Nh,G1,Australia,Humid,Deciduous,7.98,0.578,NA,NA,37.93,4.14,31.95,NA,NA,NA,NA,NA,NA,Townsville,Nutrient_treatment_Nh_and_grass_treatment_G1
1001,Eucalyptus crebra,1,Nh,G0,Australia,Semi-arid,Evergreen,3.7,0.131,0.1,22.21,21.52,3.43,17.61,6.14,181.4,1,0.276452049,0.001523991,42.08,Lava Plains Station,Nutrient_treatment_Nh_and_grass_treatment_G0
1002,Eucalyptus crebra,1,Nh,G0,Australia,Semi-arid,Evergreen,13.51,0.152,0.36,14.77,16.82,1.02,13.79,48.38,NA,NA,3.275558565,NA,36.44,Lava Plains Station,Nutrient_treatment_Nh_and_grass_treatment_G0
1003,Eucalyptus crebra,1,Nh,G0,Australia,Semi-arid,Evergreen,11.11,0.055,0.26,20.28,20.53,2.09,16.61,90.42,74.5,1.06,4.458579882,0.05984671,26.88,Lava Plains Station,Nutrient_treatment_Nh_and_grass_treatment_G0
1004,Eucalyptus crebra,1,Nh,G0,Australia,Semi-arid,Evergreen,22.46,0.157,0.43,12.3,17.89,1.88,13.65,164.95,171.39,1.08,13.41056911,0.078245925,NA,Lava Plains Station,Nutrient_treatment_Nh_and_grass_treatment_G0
1005,Eucalyptus crebra,1,Nl,G0,Australia,Semi-arid,Evergreen,7.88,0.138,0.19,17.62,19.44,1.71,14.34,64.19,122.94,1.03,3.643019296,0.029632498,NA,Lava Plains Station,Nutrient_treatment_Nl_and_grass_treatment_G0
1006,Eucalyptus crebra,1,Nl,G0,Australia,Semi-arid,Evergreen,11.84,0.11,0.22,10.95,15.93,1.23,12.63,48.59,60,1.07,4.437442922,0.073957382,15.5,Lava Plains Station,Nutrient_treatment_Nl_and_grass_treatment_G0
1007,Eucalyptus crebra,1,Nl,G0,Australia,Semi-arid,Evergreen,9.98,0.101,0.3,12.99,11.95,1.11,11.15,54.71,100.9,1.04,4.211701309,0.041741341,34.43,Lava Plains Station,Nutrient_treatment_Nl_and_grass_treatment_G0
1008,Eucalyptus crebra,1,Nl,G0,Australia,Semi-arid,Evergreen,11.76,0.103,0.24,15.03,15.7,1.32,12.55,NA,NA,NA,NA,NA,3.57,Lava Plains Station,Nutrient_treatment_Nl_and_grass_treatment_G0
1009,Eucalyptus crebra,1,Nl,G0,Australia,Semi-arid,Evergreen,20.3,0.121,0.45,13.45,19.69,1.18,15.62,188.1,162.34,1.09,13.98513011,0.086147161,45.75,Lava Plains Station,Nutrient_treatment_Nl_and_grass_treatment_G0
1010,Eucalyptus crebra,2,Nh,G0,Australia,Semi-arid,Evergreen,30.45,0.144,0.6,13.93,14.12,1.31,12.08,35.08,172.2,1.01,2.518305815,0.014624308,56.5,Lava Plains Station,Nutrient_treatment_Nh_and_grass_treatment_G0
1011,Eucalyptus crebra,2,Nh,G0,Australia,Semi-arid,Evergreen,15.25,0.072,0.45,13.11,17.4,5.38,14.44,75.01,208.07,1.03,5.721586575,0.027498374,10.69,Lava Plains Station,Nutrient_treatment_Nh_and_grass_treatment_G0
1012,Eucalyptus crebra,2,Nh,G0,Australia,Semi-arid,Evergreen,25.62,0.146,0.61,14.24,19.39,1.86,14.11,NA,NA,NA,NA,NA,12.59,Lava Plains Station,Nutrient_treatment_Nh_and_grass_treatment_G0
1013,Eucalyptus crebra,2,Nh,G0,Australia,Semi-arid,Evergreen,14.3,0.114,0.37,18.28,24.09,2.19,20.6,58.37,163.62,1.02,3.193107221,0.019515385,17.9,Lava Plains Station,Nutrient_treatment_Nh_and_grass_treatment_G0
1014,Eucalyptus crebra,2,Nh,G0,Australia,Semi-arid,Evergreen,3.51,0.108,0.26,17.85,23.93,1.91,17.71,113.78,179.57,1.04,6.374229692,0.035497186,13.85,Lava Plains Station,Nutrient_treatment_Nh_and_grass_treatment_G0
1015,Eucalyptus crebra,2,Nl,G0,Australia,Semi-arid,Evergreen,2.11,0.203,0.11,18.25,17.55,2.07,10.73,20.43,211.24,1.01,1.119452055,0.005299432,NA,Lava Plains Station,Nutrient_treatment_Nl_and_grass_treatment_G0
1016,Eucalyptus crebra,2,Nl,G0,Australia,Semi-arid,Evergreen,16.57,0.117,0.45,12.38,11.72,2.89,10.5,51.69,114.43,1.04,4.175282714,0.036487658,5.8,Lava Plains Station,Nutrient_treatment_Nl_and_grass_treatment_G0
1017,Eucalyptus crebra,1,Nh,G0,Australia,Semi-arid,Evergreen,9.62,0.103,0.36,12.57,20.42,1.53,14.19,195.89,132.5,1.12,15.58392999,0.117614566,32.92,Lava Plains Station,Nutrient_treatment_Nh_and_grass_treatment_G0
1018,Eucalyptus crebra,1,Nh,G1,Australia,Semi-arid,Evergreen,0.76,0.302,NA,21.15,NA,NA,NA,21.24,44.06,1.02,1.004255319,0.022792903,NA,Lava Plains Station,Nutrient_treatment_Nh_and_grass_treatment_G1
1019,Eucalyptus crebra,1,Nh,G1,Australia,Semi-arid,Evergreen,0.54,0.487,NA,29.43,NA,NA,NA,150.88,NA,NA,5.12674142,NA,NA,Lava Plains Station,Nutrient_treatment_Nh_and_grass_treatment_G1
1020,Eucalyptus crebra,1,Nh,G1,Australia,Semi-arid,Evergreen,2,0.119,NA,20.61,18.14,1.76,14.39,88.8,35.08,1.13,4.308588064,0.122821781,NA,Lava Plains Station,Nutrient_treatment_Nh_and_grass_treatment_G1
1021,Eucalyptus crebra,1,Nh,G1,Australia,Semi-arid,Evergreen,1.7,0.121,NA,NA,14.95,0.58,8.98,NA,NA,NA,NA,NA,NA,Lava Plains Station,Nutrient_treatment_Nh_and_grass_treatment_G1
1022,Eucalyptus crebra,1,Nh,G1,Australia,Semi-arid,Evergreen,2.16,0.097,NA,16.63,15.78,0.91,8.73,185.37,75.98,1.15,11.14672279,0.146706012,NA,Lava Plains Station,Nutrient_treatment_Nh_and_grass_treatment_G1
1023,Eucalyptus crebra,1,Nl,G1,Australia,Semi-arid,Evergreen,0.58,0.421,NA,27.45,NA,NA,NA,90.78,NA,NA,3.307103825,NA,NA,Lava Plains Station,Nutrient_treatment_Nl_and_grass_treatment_G1
1024,Eucalyptus crebra,1,Nl,G1,Australia,Semi-arid,Evergreen,0.66,0.119,NA,35.15,NA,NA,NA,110.18,125.25,1.03,3.134566145,0.025026476,NA,Lava Plains Station,Nutrient_treatment_Nl_and_grass_treatment_G1
1025,Eucalyptus crebra,1,Nl,G1,Australia,Semi-arid,Evergreen,0.55,0.167,NA,46.53,NA,NA,NA,1,164.2,1,0.021491511,1.31E-04,NA,Lava Plains Station,Nutrient_treatment_Nl_and_grass_treatment_G1
1027,Eucalyptus crebra,1,Nl,G1,Australia,Semi-arid,Evergreen,1.28,0.228,NA,21.82,16.98,1.1,14.83,133.76,NA,NA,6.13015582,NA,NA,Lava Plains Station,Nutrient_treatment_Nl_and_grass_treatment_G1
1028,Eucalyptus crebra,2,Nh,G1,Australia,Semi-arid,Evergreen,4.02,0.082,NA,19.36,18.99,4.85,9.46,142.82,124.47,1.06,7.377066116,0.059267825,NA,Lava Plains Station,Nutrient_treatment_Nh_and_grass_treatment_G1
1029,Eucalyptus crebra,2,Nh,G1,Australia,Semi-arid,Evergreen,0.72,0.383,NA,21.02,9.46,2.38,2.22,8,200.7,1,0.380589914,0.001896312,NA,Lava Plains Station,Nutrient_treatment_Nh_and_grass_treatment_G1
1030,Eucalyptus crebra,2,Nh,G1,Australia,Semi-arid,Evergreen,2.65,0.117,NA,15.99,14.79,2.45,10.5,79.02,96.61,1.05,4.941838649,0.051152455,NA,Lava Plains Station,Nutrient_treatment_Nh_and_grass_treatment_G1
1031,Eucalyptus crebra,2,Nh,G1,Australia,Semi-arid,Evergreen,2.75,0.085,NA,25.99,24.17,2.42,19.78,107.35,235.17,1.02,4.130434783,0.017563613,NA,Lava Plains Station,Nutrient_treatment_Nh_and_grass_treatment_G1
1032,Eucalyptus crebra,2,Nh,G1,Australia,Semi-arid,Evergreen,3.21,0.226,NA,15.49,18.45,1.92,11.13,NA,NA,NA,NA,NA,NA,Lava Plains Station,Nutrient_treatment_Nh_and_grass_treatment_G1
1033,Eucalyptus crebra,2,Nl,G1,Australia,Semi-arid,Evergreen,0.89,0.165,NA,22.06,11.55,0.75,4.91,NA,NA,NA,NA,NA,NA,Lava Plains Station,Nutrient_treatment_Nl_and_grass_treatment_G1
1034,Eucalyptus crebra,2,Nl,G1,Australia,Semi-arid,Evergreen,0.53,0.296,NA,39.97,13.24,0.79,9.08,1,116.3,1,0.025018764,2.15E-04,NA,Lava Plains Station,Nutrient_treatment_Nl_and_grass_treatment_G1
1035,Eucalyptus crebra,2,Nl,G1,Australia,Semi-arid,Evergreen,1.16,0.023,NA,28.95,30.66,3.29,19.49,152.28,262.24,1.02,5.260103627,0.020058357,NA,Lava Plains Station,Nutrient_treatment_Nl_and_grass_treatment_G1
1036,Eucalyptus crebra,2,Nl,G1,Australia,Semi-arid,Evergreen,0.68,0.863,NA,22.64,10.9,1.76,8.45,29.95,154.45,1.01,1.322879859,0.008565101,NA,Lava Plains Station,Nutrient_treatment_Nl_and_grass_treatment_G1
1037,Eucalyptus crebra,2,Nl,G1,Australia,Semi-arid,Evergreen,0.75,0.199,NA,20.8,13.74,1.37,6.38,108.36,162.86,1.03,5.209615385,0.031988305,NA,Lava Plains Station,Nutrient_treatment_Nl_and_grass_treatment_G1
1038,Eucalyptus crebra,2,Nl,G0,Australia,Semi-arid,Evergreen,10.1,0.142,0.34,19.15,19.23,2.03,12.76,127.82,277.79,1.02,6.674673629,0.024027768,28.08,Lava Plains Station,Nutrient_treatment_Nl_and_grass_treatment_G0
1039,Eucalyptus crebra,2,Nl,G0,Australia,Semi-arid,Evergreen,1.57,0.173,0.11,20.2,25.4,1.74,15.03,74.58,207.4,1.02,3.692079208,0.017801732,10.6,Lava Plains Station,Nutrient_treatment_Nl_and_grass_treatment_G0
1040,Eucalyptus crebra,2,Nl,G0,Australia,Semi-arid,Evergreen,22.97,0.124,0.47,11.75,10.31,2.41,8.93,85.74,228.55,1.03,7.297021277,0.031927461,7.41,Lava Plains Station,Nutrient_treatment_Nl_and_grass_treatment_G0
1041,Eucalyptus erythrophloia,1,Nh,G1,Australia,Semi-arid,Evergreen,0.59,0.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Charters Towers, Qld",Nutrient_treatment_Nh_and_grass_treatment_G1
