Ecosystem,species records,R+,S+,resp.type,Conserved R+,Conserved S+,Genus number,Genus,Family,Family number
Eucalypt Forest,Acacia_aureocrinita,X,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Savanna,Acacia_auriculiformis,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Spinifex Grassland,Acacia_ayersiana,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_baileyana,no,X,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_barbinervis,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_barringtonensis,yes,yes,Underground,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_beadleana,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_betchei,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_bidentata,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Savanna,Acacia_bidwillii,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_binervata,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_binervia,no,X,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Spinifex Grassland,Acacia_bivenosa,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_blakelyi,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_boormanii,X,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Shrubland,Acacia_brachybotrya,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_brockii,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_browniana,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_brownii,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_brunioides_subsp._brunioides,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_bulgaensis,no,X,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_burbidgeae,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Shrubland,Acacia_burkittii,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_buxifolia,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_buxifolia_ssp._buxifolia,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_bynoeana,X,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_caesiella,X,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Shrubland,Acacia_calamifolia,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Grassland,Acacia_cambagei,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_cataractae,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_cheelii,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Shrubland,Acacia_chrysella,X,yes,X,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_chrysocephala,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_cognata,yes,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Spinifex Grassland,Acacia_colei_var__colei,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Shrubland,Acacia_colletioides,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_complanata,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_concurrens,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_costiniana,no,X,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Spinifex Grassland,Acacia_cowleana,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_crassa,yes,yes,X,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_crassa_subsp._crassa,X,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_crassicarpa,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Grassland,Acacia_crombiei,X,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_cultriformis,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_dangarensis,X,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_dawsonii,no,X,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_dealbata,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_dealbata_subsp._dealbata,X,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_deanei_subsp._paucijuga,no,X,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_deanii,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_deanii_ssp_deanii,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_decora,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_decurrens,no,X,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Spinifex Grassland,Acacia_dictyophleba,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_difficilis,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_difformis,no,X,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Savanna,Acacia_dimidiata,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_disparrima_subsp._disparrima,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_divergens,yes,yes,X,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_doratoxylon,X,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_dorothea,X,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_drewiana_subsp._minor,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_drummondii,yes,yes,X,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_eborensis,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_echinula,no,X,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Spinifex Grassland,Acacia_elachantha,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_elata,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_elongata,no,X,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Shrubland,Acacia_enervia_subsp._enervia,X,yes,X,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Shrubland,Acacia_enervia_subsp._explicata,X,yes,X,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Shrubland,Acacia_erinacea,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Acacia Shrublands,Acacia_estrophiolata,yes,no,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Savanna,Acacia_excelsa,yes,yes,Epicormic,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_extensa,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_fagonioides,yes,yes,X,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_falcata,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_falciformis,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Savanna,Acacia_farnesiana,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_filicifolia,yes,yes,Underground,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_filipes,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_fimbriata,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_flavescens,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_floribunda,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_fulva,no,X,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_genistifolia,no,X,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_georgensis,no,X,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Acacia Shrublands,Acacia_georginae,no,no,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_gladiiformis,X,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Shrubland,Acacia_glaucoptera,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_gonocarpa,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_gordonii,yes,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_granitica,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_gunnii,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_hakeoides,yes,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_hamiltoniana,X,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Acacia Shrublands,Acacia_harpophylla,yes,no,Underground,Conserved,Conserved,4,Acacia,Mimo,74
Savanna,Acacia_harpophylla,yes,no,Underground,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_helicophylla,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Savanna,Acacia_hemignosta,yes,yes,Epicormic,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Shrubland,Acacia_hemiteles,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Spinifex Grassland,Acacia_hilliana,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_hispidula,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Savanna,Acacia_holocersea,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Acacia Shrublands,Acacia_holosericea,no,no,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_huegelii,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_implexa,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_irrorata,no,X,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_irrorata_subsp._irrorata,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_irrorata_x_parvipinnula,X,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Acacia Shrublands,Acacia_ixiophylla,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Shrubland,Acacia_jennerae,yes,yes,X,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_jonesii,no,X,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_juncifolia,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Spinifex Grassland,Acacia_kempeana,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_kybeanensis,X,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_kydrensis,X,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_lamprocarpa,yes,yes,Epicormic,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_lanigera,no,X,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Shrubland,Acacia_laricina_var._crassifolia,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_lasiocarpa,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Shrubland,Acacia_lasiocarpa_var._bracteolata,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_latescens,yes,yes,Epicormic,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_latisepala,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Savanna,Acacia_leiocalyx,yes,yes,X,Conserved,Conserved,4,Acacia,Mimo,74
Savanna,Acacia_leiocalyx_subsp._herveyensis,yes,yes,X,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_leptoclada,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Shrubland,Acacia_leptospermoides_subsp._leptospermoides,X,yes,X,Conserved,Conserved,4,Acacia,Mimo,74
Savanna,Acacia_leptostachya,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_leucoclada,X,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Shrubland,Acacia_ligulata,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_linarioides,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_linearifolia,X,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_lineata,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_linifolia,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_longifolia,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_longifolia_ssp_sophorae,X,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_longifolia_subsp._longifolia,no,X,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_longissima,no,X,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_lucasii,no,X,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_lunata,no,X,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Spinifex Grassland,Acacia_lycopodiifolia,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Spinifex Grassland,Acacia_lysiphloia,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_mabellae,X,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Acacia Shrublands,Acacia_macdonnellensis_subsp__macdonnellensis,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_macnuttiana,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_maidenii,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Spinifex Grassland,Acacia_maitlandii,yes,no,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_mearnsii,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_melanoxylon,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Spinifex Grassland,Acacia_melleodora,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Shrubland,Acacia_merrallii,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Savanna,Acacia_mimula,yes,yes,Epicormic,Conserved,Conserved,4,Acacia,Mimo,74
Spinifex Grassland,Acacia_minyura,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_mitchellii,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_moirii_subsp._recurvistipula,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_montana,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Spinifex Grassland,Acacia_monticola,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Rainforest,Acacia_mucronata,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_mucronata_var_longifolia,X,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_muelleriana,X,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_multisiliqua,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_multistipulosa,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Spinifex Grassland,Acacia_murrayana,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Shrubland,Acacia_mutabilis_subsp._mutabilis,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_myrifolia,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_myrtifolia,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_neriifolia,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Spinifex Grassland,Acacia_neurocarpa,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_nova-anglica,yes,yes,Underground,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Shrubland,Acacia_nyssophylla,X,yes,X,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_obliquinervia,no,X,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_obtusata,X,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_obtusifolia,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Shrubland,Acacia_octonervia,X,yes,X,Conserved,Conserved,4,Acacia,Mimo,74
Savanna,Acacia_oligoneura,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_olsenii,X,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Savanna,Acacia_oncinocarpa,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_oxycedrus,no,X,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Savanna,Acacia_pachyphloia,yes,yes,Epicormic,Conserved,Conserved,4,Acacia,Mimo,74
Savanna,Acacia_pallidifolia,X,yes,X,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_paradoxa,no,X,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Acacia Shrublands,Acacia_paraneura,no,no,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_parramattensis,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_parvipinnula,no,X,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_pedina,X,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Grassland,Acacia_pendula,yes,yes,Underground,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_penninervis,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_pentadenia,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_pilligaensis,X,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Savanna,Acacia_plectocarpa,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_podalyriifolia,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Savanna,Acacia_praelongata,yes,yes,Epicormic,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_pravifolia,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_pravissima,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_producta,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_proiantha,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_prominens,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Acacia Shrublands,Acacia_pruinocarpa,yes,no,Epicormic,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_pruinosa,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_ptychoclada,X,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_pulchella,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_pycnantha,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_pycnocephala,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Acacia Shrublands,Acacia_ramulosa_var__ramulosa,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Shrubland,Acacia_resinistipulea,X,yes,X,Conserved,Conserved,4,Acacia,Mimo,74
Spinifex Grassland,Acacia_retivenea_subsp__retivenea,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Shrubland,Acacia_rigens,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_rostellata,yes,yes,X,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_rubida,yes,yes,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_saliciformis,no,X,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Acacia Shrublands,Acacia_salicina,yes,yes,Underground,Conserved,Conserved,4,Acacia,Mimo,74
Savanna,Acacia_salicina,yes,yes,Epicormic,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_saligna,yes,yes,X,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_schinoides,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_scopulorum,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Acacia Shrublands,Acacia_sericophylla,yes,no,Epicormic,Conserved,Conserved,4,Acacia,Mimo,74
Spinifex Grassland,Acacia_sessiliceps,yes,no,Basal,Conserved,Conserved,4,Acacia,Mimo,74
Acacia Shrublands,Acacia_shirleyi,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_shuttleworthii,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Spinifex Grassland,Acacia_sibirica,no,no,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_siculiformis,X,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_silvestris,X,X,X,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Forest,Acacia_sp.,X,yes,X,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_sp.,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Savanna,Acacia_sp.,X,yes,X,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Shrubland,Acacia_sp._narrow_phyllode_(B.R._Maslin_7831),yes,yes,X,Conserved,Conserved,4,Acacia,Mimo,74
Heath,Acacia_spathulifolia,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Shrubland,Acacia_sphacelata_subsp._recurva,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
Eucalypt Shrubland,Acacia_spinescens,no,yes,Killed,Conserved,Conserved,4,Acacia,Mimo,74
