location_name,latitude (deg),longitude (deg),locality,state
"Darkes Forrest, NSW",-37.890073,145.317682,"Darkes Forrest, NSW, NSW",NSW
Dedari,-31.0833,120.7,"Dedari, WA",WA
"Deep Creek Conservation Park, Tapanappa",-35.626379,138.261508,"Deep Creek Conservation Park, Tapanappa, SA",SA
"Deer Rd, Marrinup Forest",-32.670894,116.002099,"Deer Rd, Marrinup Forest, WA",WA
Denmark - WA - -34.9666,-34.9666,117.35,"Denmark, WA",WA
Denmark - WA - -34.994294,-34.994294,117.307491,"Denmark, WA",WA
Derby,-17.3166,123.6333,"Derby, WA",WA
Dharawal Nature Reserve,-34.248507,150.920934,"Dharawal Nature Reserve, NSW",NSW
Dongara,-29.5666,115.1,"Dongara, WA",WA
Doubleduke State Forest,-17.383442,123.688477,"Doubleduke State Forest, NSW",NSW
East Yuna Nature Reserve,-28.4191,115.2028,"East Yuna Nature Reserve, WA",WA
"Eden Hills, Yalanda St",-35.02269,138.597067,"Eden Hills, Yalanda St, SA",SA
Edungalba,-23.7166,149.85,Edungalba,NA
Emu Rock - WA - -32.4500,-32.45,119.4167,"Emu Rock, WA",WA
Emu Rock - WA - -32.4572,-32.4572,119.4008,"Emu Rock, WA",WA
Enderby Island - WA - -20.6000,-20.6,116.4833,"Enderby Island, WA",WA
Enderby Island - WA - -20.6088,-20.6088,116.52,"Enderby Island, WA",WA
Eneabba - WA - -29.7133,-29.7133,115.2178,"Eneabba, WA",WA
Eneabba - WA - -29.7833,-29.7833,115.5,"Eneabba, WA",WA
Eneabba - WA - -29.8166,-29.8166,115.2666,"Eneabba, WA",WA
Eneabba - WA - -29.8213,-29.8213,115.2692,"Eneabba, WA",WA
Esperance,-33.45269,121.7366,"Esperance, WA",WA
Eurardy,-27.4677,114.7181,"Eurardy, WA",WA
Eurardy HS,-27.5472,114.6247,"Eurardy HS, WA",WA
False Entrance Well,-26.3833,113.3167,"False Entrance Well, WA",WA
Formby Nature Reserve,-34.298,118.0731,"Formby Nature Reserve, WA",WA
Garden Island,-32.200838,115.680221,"Garden Island, WA",WA
Gathercole Nature Reserve,-30.9127,116.7903,"Gathercole Nature Reserve, WA",WA
"George Street Reserve, Sandringham, City of Bayside, Melbourne",-37.96165,145.02763,"George Street Reserve, Sandringham, City of Bayside, Melbourne, VIC",VIC
Geraldton - WA - -26.9558,-26.9558,114.6128,"Geraldton, WA",WA
Geraldton - WA - -28.55082,-28.55082,114.6166,"Geraldton, WA",WA
Geraldton - WA - -28.6333,-28.6333,114.6167,"Geraldton, WA",WA
Geraldton - WA - -28.67356,-28.67356,114.6113,"Geraldton, WA",WA
Geraldton - WA - -28.7666,-28.7666,114.6166,"Geraldton, WA",WA
Geraldton - WA - -28.7800,-28.78,114.6128,"Geraldton, WA",WA
Geraldton - WA - -28.7833,-28.7833,114.6167,"Geraldton, WA",WA
Glen-ayle,-31.902003,116.113129,"Glen-ayle, WA",WA
Glenayle,-25.4736,121.7706,"Glenayle, WA",WA
"Glenbrook, Blue Mountains National Park",-33.731054,150.550413,"Glenbrook, Blue Mountains National Park, NSW",NSW
"Gordon, Karrakup",-32.254388,116.074643,"Gordon, Karrakup, WA",WA
Grampians NP,-37.128333,142.365833,"Grampians NP, VIC",VIC
"Great Northern Hwy, near Sandfire",-19.784567,121.01561,"Great Northern Hwy, near Sandfire, WA",WA
Great Victoria Desert,-28.925872,129.537695,"Great Victoria Desert, SA",SA
Green Head,-30.073,115.0447,"Green Head, WA",WA
Greenough - WA - -28.9166,-28.9166,114.7,"Greenough, WA",WA
Greenough - WA - -28.9333,-28.9333,114.7333,"Greenough, WA",WA
Hale Conservation Park (40 km NE. of Adelaide),-34.683611,138.900278,"Hale Conservation Park (40 km NE. of Adelaide), SA",SA
"Hale Conservation Park, about 50 km NE. of Adelaide.",-34.683611,138.900278,"Hale Conservation Park, about 50 km NE. of Adelaide., SA",SA
Heirison Island,-31.9666,115.8833,"Heirison Island, WA",WA
Helen & Aurora Ranges,-30.373213,119.658008,"Helen & Aurora Ranges, WA",WA
Henbury Chandler ranges NT,-24.518313,133.451397,"Henbury Chandler ranges NT, NT",NT
Hopetoun - WA - -33.94805833,-33.948058,120.12648,"Hopetoun, WA",WA
Hopetoun - WA - -33.95,-33.95,120.1166,"Hopetoun, WA",WA
Hyden,-32.45,119.4167,"Hyden, WA",WA
Israelite Bay,-33.6166,123.8833,"Israelite Bay, WA",WA
Jandakot,-32.1166,115.8333,"Jandakot, WA",WA
Jaurdi,-30.8166,120.1666,"Jaurdi, WA",WA
Jaurdi Station,-30.8166,120.1667,"Jaurdi Station, WA",WA
Jerdacuttup - WA - -33.746834,-33.746834,120.357739,"Jerdacuttup, WA",WA
Jerdacuttup - WA - -33.7785556,-33.778556,120.349278,"Jerdacuttup, WA",WA
Kalbarri,-27.7,114.1666,"Kalbarri, WA",WA
Karijini National Park,-22.739113,118.410885,"Karijini National Park, WA",WA
Karratha - WA - -20.7166,-20.7166,116.65,"Karratha, WA",WA
Karratha - WA - -20.7333,-20.7333,116.8667,"Karratha, WA",WA
Kenwick,-32.0294,115.9803,"Kenwick, WA",WA
Kinchega National Park,-32.544167,142.297222,"Kinchega National Park, NSW",NSW
Kings Park,-31.960911,115.832193,"Kings Park, WA",WA
Knocklofty,-42.885278,147.301944,"Knocklofty, TAS",TAS
Knocklofty Reserve,-42.885278,147.301944,"Knocklofty Reserve, TAS",TAS
Kooljerrenup Reserve,-32.761453,115.621493,"Kooljerrenup Reserve, WA",WA
Kukerin,-33.2,118.0833,"Kukerin, WA",WA
Kumarina - WA - -24.4905,-24.4905,119.6025,"Kumarina, WA",WA
Kumarina - WA - -24.5713,-24.5713,119.6025,"Kumarina, WA",WA
Kumarina - WA - -25.2000,-25.2,119.3333,"Kumarina, WA",WA
Kyeema Conservation Park,-35.266944,138.686111,"Kyeema Conservation Park, SA",SA
La Trobe University wildlife reserve,-37.717079,145.044601,"La Trobe University wildlife reserve, VIC",VIC
Lagoon Creek,-27.067926,152.956494,"Lagoon Creek, QLD",QLD
Lake Cronin - WA - -32.3830,-32.383,119.7667,"Lake Cronin, WA",WA
Lake Cronin - WA - -32.3866,-32.3866,119.7633,"Lake Cronin, WA",WA
Lake Gillies National Park,-32.940548,136.734658,"Lake Gillies National Park, SA",SA
Langwarren Reserve,-38.172247,145.135292,"Langwarren Reserve, VIC",VIC
Laverton,-28.35,122.6167,"Laverton, WA",WA
"Leake, Mount - WA - -25.7833",-25.7833,119.1667,"Leake, Mount, WA",WA
"Leake, Mount - WA - -25.8486",-25.8486,119.0769,"Leake, Mount, WA",WA
Leeman,-29.784641,114.965153,"Leeman, WA",WA
Leinster,-28.035,120.3844,"Leinster, WA",WA
Little Sandy Desert,-24.05,120.4,"Little Sandy Desert, WA",WA
Lockhart Shire,-35.200278,146.716944,"Lockhart Shire, NSW",NSW
"Long Hollow Heathland, Beaumaris, City of Bayside, Melbourne",-37.980922,145.022319,"Long Hollow Heathland, Beaumaris, City of Bayside, Melbourne, VIC",VIC
"Long Hollow Heathland, Beaumaris, City of Bayside, Melbourne, Victoria, Australia",-37.980922,145.022319,"Long Hollow Heathland, Beaumaris, City of Bayside, Melbourne, Victoria, Australia, VIC",VIC
Lorna Glen,-26.228,121.0767,"Lorna Glen, WA",WA
Lymington,-43.208311,147.030767,"Lymington, TAS",TAS
Malina Airport,-20.861295,118.023303,"Malina Airport, WA",WA
Manton Knob,-26.5961,126.3886,"Manton Knob, WA",WA
Manunda Rockhole,-26.8716,125.5878,"Manunda Rockhole, WA",WA
Marble Bar,-21.1666,119.75,"Marble Bar, WA",WA
McDermid Rock,-32.0166,120.7333,"McDermid Rock, WA",WA
"McLaren Flat, Manning Reserve",-35.18955,138.57684,"McLaren Flat, Manning Reserve, SA",SA
Mcdermid Rock,-32.0572,120.6925,"Mcdermid Rock, WA",WA
Meedo,-25.6991,114.7175,"Meedo, WA",WA
Meleya Well - WA - -28.9588,-28.9588,117.2008,"Meleya Well, WA",WA
Meleya Well - WA - -28.9666,-28.9666,117.2,"Meleya Well, WA",WA
Menzies,-29.7,121.0333,"Menzies, WA",WA
Methyr Park,-27.475178,153.036118,"Methyr Park, TAS",TAS
Middle Swan - WA - -31.8536,-31.8536,116.0189,"Middle Swan, WA",WA
Middle Swan - WA - -31.86768,-31.86768,116.01458,"Middle Swan, WA",WA
Midland,-31.893,116.0061,"Midland, WA",WA
Millstream,-21.5913,116.925,"Millstream, WA",WA
Moore River National Park,-31.0594,115.6689,"Moore River National Park, WA",WA
Moorine Rock,-31.3,119.1333,"Moorine Rock, WA",WA
Morawa,-29.2166,116,"Morawa, WA",WA
"Mornington Peninsula National Park, Cape Schanck",-38.491396,144.888115,"Mornington Peninsula National Park, Cape Schanck, VIC",VIC
Mount Beckworth Scenic Reserve,-37.317572,143.700811,"Mount Beckworth Scenic Reserve, VIC",VIC
Mount Bell,-17.1541,125.3,"Mount Bell, WA",WA
Mount Observation,-31.9,116.55,"Mount Observation, WA",WA
Mt Fanny,-25.7833,128.5833,"Mt Fanny, WA",WA
Mt. Clere Homestead,-25.10455,117.5486,"Mt. Clere Homestead, WA",WA
Mullewa - WA - -27.43643,-27.43643,115.5,"Mullewa, WA",WA
Mullewa - WA - -28.5333,-28.5333,115.5,"Mullewa, WA",WA
Mundaring Weir,-31.957,116.165,"Mundaring Weir, WA",WA
Muntadgin,-31.7666,118.55,"Muntadgin, WA",WA
N of Northampton,-27.406337,114.589599,"N of Northampton, WA",WA
NA - WA - -18.514743,-18.514743,121.805915,", WA",WA
NA - WA - -20.6000,-20.6,116.4833,", WA",WA
NA - WA - -26.7000,-26.7,113.7167,", WA",WA
NA - WA - -27.0000,-27,125.3333,", WA",WA
NA - WA - -28.9500,-28.95,114.7333,", WA",WA
NA - WA - -29.2500,-29.25,117.6833,", WA",WA
NA - WA - -29.8000,-29.8,117.1833,", WA",WA
NA - WA - -29.8166,-29.8166,115.2667,", WA",WA
NA - WA - -29.8500,-29.85,114.9833,", WA",WA
NA - WA - -30.0833,-30.0833,120.7,", WA",WA
NA - WA - -31.2166,-31.2166,119.3333,", WA",WA
Nalbarra,-28.6516,117.5358,"Nalbarra, WA",WA
Narrogin,-32.9363,117.1764,"Narrogin, WA",WA
Naval Base - WA - -32.1972,-32.1972,115.7794,"Naval Base, WA",WA
Naval Base - WA - -32.2,-32.2,115.7833,"Naval Base, WA",WA
Neale Junction - WA - -27.3000,-27.3,126.2833,"Neale Junction, WA",WA
Neale Junction - WA - -27.3086,-27.3086,126.2844,"Neale Junction, WA",WA
Neale Junction - WA - -27.7658,-27.7658,126.0708,"Neale Junction, WA",WA
Nedlands,-31.9833,115.8,"Nedlands, WA",WA
Ninghan,-29.4166,117.2833,"Ninghan, WA",WA
Noble Falls,-31.7702,116.2389,"Noble Falls, WA",WA
Norseman,-31.9563,122.4633,"Norseman, WA",WA
North Broome,-19.7204,121.502,"North Broome, WA",WA
Northam,-31.650278,116.666944,"Northam, WA",WA
Nyabing,-33.55,118.15,"Nyabing, WA",WA
"Oaks Estate, Canberra",-35.340002,149.206699,"Oaks Estate, Canberra, ACT",ACT
Onslow,-22.6527,115.1117,"Onslow, WA",WA
Paper Collar Creek,-34.3625,118.2061,"Paper Collar Creek, WA",WA
Pardoo - WA - -20.008713,-20.008713,119.814787,"Pardoo, WA",WA
Pardoo - WA - -20.0253,-20.0253,119.6961,"Pardoo, WA",WA
"Pauline Toner Reserve, Eltham",-37.7186,145.16409,"Pauline Toner Reserve, Eltham, VIC",VIC
Paynes Find,-29.0836,117.6831,"Paynes Find, WA",WA
Perth - WA - -31.8000,-31.8,115.7667,"Perth, WA",WA
Perth - WA - -31.84355,-31.84355,115.8658,"Perth, WA",WA
Phillips Range,-16.8758,125.8058,"Phillips Range, WA",WA
Pilliga Nature Reserve,-31.011687,149.405763,"Pilliga Nature Reserve, NSW",NSW
"Pilliga Nature Reserve, NSW",-31.011687,149.405763,"Pilliga Nature Reserve, NSW, NSW",NSW
"Pindalup, Coach Rd, Wurmaring",-32.757457,116.278162,"Pindalup, Coach Rd, Wurmaring, WA",WA
Pindar - WA - -28.2794,-28.2794,115.5517,"Pindar, WA",WA
Pindar - WA - -28.4833,-28.4833,115.7833,"Pindar, WA",WA
Pipidinny Swamp,-31.5833,115.6833,"Pipidinny Swamp, WA",WA
Point Samson,-20.6333,117.1833,"Point Samson, WA",WA
Port Augusta,-32.2588,137.6483,"Port Augusta, WA",WA
Port Hedland,-20.710809,119.340251,"Port Hedland, WA",WA
Quindanning,-33.05,116.5667,"Quindanning, WA",WA
Ravensthorpe - WA - -33.40916667,-33.409167,120.048889,"Ravensthorpe, WA",WA
Ravensthorpe - WA - -33.4711076,-33.471108,119.692312,"Ravensthorpe, WA",WA
Ravensthorpe - WA - -33.49885,-33.49885,120.01863,"Ravensthorpe, WA",WA
Reabold Hill,-31.95,115.7667,"Reabold Hill, WA",WA
Rebecca Creek,-24.5163,128.6325,"Rebecca Creek, WA",WA
Rottnest,-32,115.5,"Rottnest, WA",WA
Rottnest Island - WA - -32.0000,-32,115.5167,"Rottnest Island, WA",WA
Rottnest Island - WA - -32.0061,-32.006100000000004,115.6128,"Rottnest Island, WA",WA
Rottnest Island - WA - -32.0166,-32.0166,115.5,"Rottnest Island, WA",WA
Royal NP,-34.105859,150.752905,"Royal NP, NSW",NSW
S Broome,-19.7841,121.226,"S Broome, WA",WA
Salmon Gums,-32.9813,121.6431,"Salmon Gums, WA",WA
Sandford Rocks,-31.2302,118.7583,"Sandford Rocks, WA",WA
Sanford Rock,-31.2333,118.75,"Sanford Rock, WA",WA
"Sinclair, Esperance",-33.86893,121.881447,"Sinclair, Esperance, WA",WA
Singleton,-32.449,115.756,"Singleton, WA",WA
South Burracoppin,-31.3566,118.4833,"South Burracoppin, WA",WA
"South Coast Highway, East Munglinup",-33.7635,121.04834,"South Coast Highway, East Munglinup, WA",WA
South Gippsland Highland: Boola Boola State Forest (montane site),-38.052419,146.300518,"South Gippsland Highland: Boola Boola State Forest (montane site), VIC",VIC
South Gippsland Highland: Erica State Forest (valley site),-37.932589,146.276947,"South Gippsland Highland: Erica State Forest (valley site), VIC",VIC
Spencers Brook - WA - -31.7166,-31.7166,116.6333,"Spencers Brook, WA",WA
Spencers Brook - WA - -31.7333,-31.7333,116.6333,"Spencers Brook, WA",WA
Star Swamp,-31.853276,115.742722,"Star Swamp, WA",WA
Stokes Inlet,-33.840166,121.144966,"Stokes Inlet, WA",WA
Surveyors Pool,-14.668,125.7031,"Surveyors Pool, WA",WA
Swan View,-31.888,116.049,"Swan View, WA",WA
Swanbourne - WA - -31.9666,-31.9666,115.7667,"Swanbourne, WA",WA
Swanbourne - WA - -31.9697,-31.9697,115.7656,"Swanbourne, WA",WA
Swanbourne Beach,-31.9833,115.75,"Swanbourne Beach, WA",WA
Tallering,-28.3833,115.85,"Tallering, WA",WA
Tallering Stn,-28.3783,115.8464,"Tallering Stn, WA",WA
Tamala - WA - -26.63244,-26.63244,113.7569,"Tamala, WA",WA
Tamala - WA - -26.6483,-26.6483,113.7711,"Tamala, WA",WA
Tamala Homestead,-26.595,113.8842,"Tamala Homestead, WA",WA
Tamala Station,-26.6396,113.76394,"Tamala Station, WA",WA
Tambrey - WA - -21.6333,-21.6333,117.6,"Tambrey, WA",WA
Tambrey - WA - -21.63853,-21.63853,117.60596,"Tambrey, WA",WA
Tambrey - WA - 30 36 S,-30.6,115.116667,"Tambrey, WA",WA
Tathra National Park - WA - -29.8000,-29.8,115.5167,"Tathra National Park, WA",WA
Tathra National Park - WA - -29.8122,-29.8122,115.4839,"Tathra National Park, WA",WA
"Teatree Creek, 9.5km W of Armidale along Bundarra Rd",-31.533611,151.333611,"Teatree Creek, 9.5km W of Armidale along Bundarra Rd, NSW",NSW
Telowie CP,-33.049645,138.136495,"Telowie CP, SA",SA
The Ridgeway,-35.344115,149.239041,"The Ridgeway, NSW",NSW
Thumb Peak,-34.0341,119.7231,"Thumb Peak, WA",WA
Tooday Spring,-31.6786,115.8447,"Tooday Spring, WA",WA
Torbay,-35.0333,117.6333,"Torbay, WA",WA
Uberin Rock,-31,116.9833,"Uberin Rock, WA",WA
"Urbrae, Torrens Rd, Banksiadale",-32.581259,116.05793,"Urbrae, Torrens Rd, Banksiadale, WA",WA
"Waite Institute, Adelaide",-34.973928,138.617124,"Waite Institute, Adelaide, SA",SA
Walyarta - WA - -19.71E,-19.71,121.61,"Walyarta, WA",WA
Walyarta - WA - -19.7241E,-19.7241,121.3338,"Walyarta, WA",WA
Walyarta - WA - -19.7294,-19.7294,121.2994,"Walyarta, WA",WA
Walyarta - WA - -19.7761,-19.7761,121.3514,"Walyarta, WA",WA
Walyarta - WA - -19.7892E,-19.7892,121.3908,"Walyarta, WA",WA
Walyarta - WA - -19.7978,-19.7978,121.9463,"Walyarta, WA",WA
Wanarra Station,-29.51374,116.8023,"Wanarra Station, WA",WA
Wanneroo,-31.75,115.8,"Wanneroo, WA",WA
Wannoo,-26.93,114.6253,"Wannoo, WA",WA
Warburton,-26.1333,126.5833,"Warburton, WA",WA
Warburton Community,-27.1263,125.4589,"Warburton Community, WA",WA
Warriedar,-29.1133,117.2422,"Warriedar, WA",WA
Waterfall and Dharawal National Park,-34.157778,150.981111,"Waterfall and Dharawal National Park, NSW",NSW
Watheroo National Park - WA - -30.167,-30.167,115.838,"Watheroo National Park, WA",WA
Watheroo National Park - WA - -30.1677,-30.1677,115.8364,"Watheroo National Park, WA",WA
Wattening,-31.3333,116.5167,"Wattening, WA",WA
"West Beach, Esperance",-33.872178,121.877625,"West Beach, Esperance, WA",WA
West MacDonnell NP,-23.689812,133.292937,"West MacDonnell NP, NT",NT
Westerfolds Park,-37.746702,145.134885,"Westerfolds Park, VIC",VIC
Whim Creek,-20.8413,117.8339,"Whim Creek, WA",WA
Wialki,-30.4833,118.1166,"Wialki, WA",WA
"Wianamatta Nature Reserve, Cumberland Plain",-33.698583,150.717745,"Wianamatta Nature Reserve, Cumberland Plain, NSW",NSW
Wickam,-20.679029,117.116603,"Wickam, WA",WA
Wiluna - WA - -26.4411,-26.4411,119.8053,"Wiluna, WA",WA
Wiluna - WA - -26.5961,-26.5961,121.3806,"Wiluna, WA",WA
Wiluna - WA - -26.664181,-26.664181,121.427598,"Wiluna, WA",WA
Wintinna Station,-27.836488,133.851801,"Wintinna Station, SA",SA
Wirrabara Forest - SA - -33.048902,-33.048902,138.158237,"Wirrabara Forest, SA",SA
Wirrabara Forest - SA - -33.0621533,-33.062153,138.173024,"Wirrabara Forest, SA",SA
Wirrabara Forest - SA - -33.0903135,-33.090314,138.211529,"Wirrabara Forest, SA",SA
Wongan Hills,-30.9,116.7166,"Wongan Hills, WA",WA
Wooramel River,-25.6666,114.6,"Wooramel River, WA",WA
Wubin - WA - -30.1,-30.1,116.6333,"Wubin, WA",WA
Wubin - WA - -30.105483,-30.105483,116.630404,"Wubin, WA",WA
Wubin - WA - -30.1069,-30.1069,116.6292,"Wubin, WA",WA
Wurarga - WA - -28.4166,-28.4166,116.2833,"Wurarga, WA",WA
Wurarga - WA - -28.72228,-28.72228,116.2833,"Wurarga, WA",WA
Yanchep National Park,-31.535,115.6786,"Yanchep National Park, WA",WA
Yellowdine - WA - -31.3,-31.3,119.65,"Yellowdine, WA",WA
Yellowdine - WA - -31.3261,-31.3261,119.6642,"Yellowdine, WA",WA
Youanmi - WA - -28.7500,-28.75,118.5167,"Youanmi, WA",WA
Youanmi - WA - -28.7838,-28.7838,118.6306,"Youanmi, WA",WA
Youanmi - WA - -28.8475,-28.8475,118.5581,"Youanmi, WA",WA
Yundamindra,-29.2511,122.1025,"Yundamindra, WA",WA
Yunderup,-33.6666,115.3333,"Yunderup, WA",WA
"Zanthorrea Nursery, Maida Vale",-31.943948,116.032539,"Zanthorrea Nursery, Maida Vale, WA",WA
off Wookata road,-31.899705,132.166572,"off Wookata road, WA",WA
st. Pauls River (Benham),-41.822391,147.698088,"st. Pauls River (Benham), TAS",TAS
