site_name,species_name,Name,Location,MAT,PPT,Alt,Status,Family,Genus,Species,Sppcode,GF,Dec/Ever,Lf type,C3C4,Nfixer,#_spp,LL,SLA,Lf size,Thick,H2O,DM/FM(g/g),Kmass,Karea,Nmass,Narea,Pmass,Parea,Amass_max,Aarea_max,Gs_max_mmol_m2_s,Rdmass,Rdarea,Ca-Ci,Ci,Gs_mean_mmol_m2_s,Ci/Ca av,Ci/Ca max
Melaleuca Park Conservation Area,Hibbertia subvaginata,Veneklaas,W_Australia,18.2,740,15,Native,Dilleniaceae,Hibbertia,subvaginata,11,S,E,broad,C3,N,30,17.2,40.7,NA,NA,0.6,0.4,NA,NA,1.32,3.2,NA,NA,76.9,17.8,424,7.4,1.8,88.3,276.7,241,0.702,0.758
Melaleuca Park Conservation Area,Jacksonia floribunda,Veneklaas,W_Australia,18.2,740,15,Native,Fabaceae,Jacksonia,floribunda,12,S,E,broad,C3,Y,30,33.2,32.1,NA,NA,0.55,0.45,NA,NA,1.61,5,NA,NA,66.6,19.9,579,8.4,2.6,74.5,290.5,386,0.748,0.796
Melaleuca Park Conservation Area,Leucopogon conostephioides,Veneklaas,W_Australia,18.2,740,15,Native,Epacridaceae,Leucopogon,conostephioides,13,S,E,broad,C3,N,30,14,63.7,NA,NA,0.44,0.56,NA,NA,1.11,1.7,NA,NA,44.9,6.5,192,11.1,1.7,72.3,292.7,141,0.796,0.802
Melaleuca Park Conservation Area,Lyginia barbata,Veneklaas,W_Australia,18.2,740,15,Native,Restionaceae,Lyginia,barbata,14,G,E,needle,C3,N,30,45.6,14.8,NA,NA,0.49,0.51,NA,NA,0.71,4.8,NA,NA,32,20.2,411,4,2.7,78.8,286.2,319,0.727,0.784
Melaleuca Park Conservation Area,Macrozamia riedlei,Veneklaas,W_Australia,18.2,740,15,Native,Zamiaceae,Macrozamia,riedlei,15,cycad palm,E,broad,C3,N,30,105.6,34.4,NA,NA,0.51,0.49,NA,NA,1.73,5,NA,NA,38,11.7,199,3.3,1,83.6,281.4,146,0.66,0.771
Melaleuca Park Conservation Area,Melaleuca acerosa,Veneklaas,W_Australia,18.2,740,15,Native,Myrtaceae,Melaleuca,acerosa,16,S,E,needle,C3,N,30,24.7,30.1,NA,NA,0.53,0.47,NA,NA,0.85,2.8,NA,NA,51.3,16.2,434,8.1,2.7,74.8,290.2,264,0.722,0.795
Melaleuca Park Conservation Area,Nuytsia floribunda,Veneklaas,W_Australia,18.2,740,15,Native,Loranthaceae,Nuytsia,floribunda,17,T,E,broad,C3,N,30,28.4,21.8,NA,NA,0.61,0.39,NA,NA,0.76,3.5,NA,NA,32.4,12.8,370,4.9,2.2,75.2,289.8,276,0.767,0.794
Melaleuca Park Conservation Area,Patersonia occidentalis,Veneklaas,W_Australia,18.2,740,15,Native,Iridaceae,Patersonia,occidentalis,18,H,E,broad,C3,N,30,28.8,26.4,NA,NA,0.68,0.32,NA,NA,0.86,3.3,NA,NA,45.7,15.6,307,5,1.9,86.9,278.1,186,0.629,0.762
Melaleuca Park Conservation Area,Persoonia saccata,Veneklaas,W_Australia,18.2,740,15,Native,Proteaceae,Persoonia,saccata,19,S,E,needle,C3,N,30,29.6,21.6,NA,NA,0.48,0.52,NA,NA,0.71,3.3,NA,NA,45,19.3,391,5.3,2.5,82.1,282.9,282,0.704,0.775
Melaleuca Park Conservation Area,Petrophile linearis,Veneklaas,W_Australia,18.2,740,15,Native,Proteaceae,Petrophile,linearis,20,S,E,broad,C3,N,30,41.6,18.4,NA,NA,0.53,0.47,NA,NA,0.62,3.4,NA,NA,41,22,537,6.2,3.4,75.2,289.8,416,0.736,0.794
Melaleuca Park Conservation Area,Regelia ciliata,Veneklaas,W_Australia,18.2,740,15,Native,Myrtaceae,Regelia,ciliata,21,S,E,broad,C3,N,30,18.8,64.8,NA,NA,0.54,0.46,NA,NA,1.13,1.7,NA,NA,85.8,14.6,273,9.5,1.5,105.1,259.9,167,0.674,0.712
Melaleuca Park Conservation Area,Scholtzia involucrata,Veneklaas,W_Australia,18.2,740,15,Native,Myrtaceae,Scholtzia,involucrata,22,S,E,broad,C3,N,30,23.6,56.3,NA,NA,0.63,0.37,NA,NA,1.3,2.3,NA,NA,79,14.7,332,10.1,1.8,74.8,290.2,213,0.703,0.795
Melaleuca Park Conservation Area,Stirlingia latifolia,Veneklaas,W_Australia,18.2,740,15,Native,Proteaceae,Stirlingia,latifolia,23,S,E,broad,C3,N,30,28.8,34.4,NA,NA,0.6,0.4,NA,NA,0.93,2.7,NA,NA,61.2,16.5,459,7.2,2.1,65.3,299.7,317,0.731,0.821
Melaleuca Park Conservation Area,Verticordia nitens,Veneklaas,W_Australia,18.2,740,15,Native,Myrtaceae,Verticordia,nitens,24,S,E,needle,C3,N,30,18.4,30.2,NA,NA,0.64,0.36,NA,NA,1.12,3.7,NA,NA,57.5,21.4,547,6.1,2,92,273,340,0.711,0.748
Melaleuca Park Conservation Area,Xanthorrhoea preissii,Veneklaas,W_Australia,18.2,740,15,Native,Xanthorrhoeaceae,Xanthorrhoea,preissii,25,stem rosette,E,needle,C3,N,30,24,13.4,NA,NA,0.67,0.33,NA,NA,0.8,5.9,NA,NA,24.8,18.3,431,3.1,2.3,77.7,287.3,265,0.728,0.787
Melaleuca Park Conservation Area,Anigozanthos humilis,Veneklaas,W_Australia,18.2,740,15,Native,Haemodoraceae,Anigozanthos,humilis,26,H,E,broad,C3,N,30,4,173.4,NA,NA,0.92,0.08,NA,NA,3.55,2,NA,NA,356.7,20.4,571,NA,NA,71.2,293.8,571,0.805,0.805
Melaleuca Park Conservation Area,Drosera sp,Veneklaas,W_Australia,18.2,740,15,Native,Droseraceae,Drosera,sp,27,H,E,broad,C3,N,30,4,201.4,NA,NA,0.88,0.12,NA,NA,1.49,0.7,NA,NA,98.2,4.8,NA,NA,NA,NA,NA,NA,NA,NA
Melaleuca Park Conservation Area,Gladiolus caryophyllaceus,Veneklaas,W_Australia,18.2,740,15,Invasive,Iridaceae,Gladiolus,caryophyllaceus,28,H,E,broad,C3,N,30,4,114.7,NA,NA,0.73,0.27,NA,NA,1.9,1.7,NA,NA,188.7,16.2,385,NA,NA,82.9,282.1,NA,0.773,0.773
Melaleuca Park Conservation Area,Pterostylis sp,Veneklaas,W_Australia,18.2,740,15,Native,Orchidaceae,Pterostylis,sp,29,H,E,broad,C3,N,30,4,267.7,NA,NA,0.88,0.12,NA,NA,2.31,0.9,NA,NA,152.4,5.8,90,NA,NA,123.4,241.6,NA,0.662,0.662
Melaleuca Park Conservation Area,Stylidium sp,Veneklaas,W_Australia,18.2,740,15,Native,Stylidiaceae,Stylidium,sp,30,H,E,broad,C3,N,30,4,89,NA,NA,0.71,0.29,NA,NA,1.83,2.1,NA,NA,94.9,9.1,196,NA,NA,89.1,275.9,NA,0.756,0.756
