location_name,latitude (deg),longitude (deg),locality,state
17 km W of Kumarl,-32.45,121.22,"17 km W of Kumarl, WA",WA
17.5 km ENE of Pingaring,-32.4,118.45,"17.5 km ENE of Pingaring, WA",WA
18 km E of Dampier,-20.4,116.42,"18 km E of Dampier, WA",WA
18 km N of Margaret River,-18.1,125.36,"18 km N of Margaret River, WA",WA
18 km N of North Bannister,-32.25,116.27,"18 km N of North Bannister, WA",WA
18 km N of Walpole,-34.48,116.46,"18 km N of Walpole, WA",WA
18 km S of Cataby,-30.54,115.32,"18 km S of Cataby, WA",WA
18 km SW of Katanning,-33.41,117.33,"18 km SW of Katanning, WA",WA
18 km W of Coolgardie,-30.58,120.58,"18 km W of Coolgardie, WA",WA
185 km SW of Roebuck Roadhouse,-19.05,121.4,"185 km SW of Roebuck Roadhouse, WA",WA
185 kmEof Hyden,-30.57,121.1,"185 kmEof Hyden, WA",WA
19 km E of Cranbrook,-34.18,117.39,"19 km E of Cranbrook, WA",WA
19 km E of Dudinin,-32.5,118.05,"19 km E of Dudinin, WA",WA
19 km N of Diemals,-29.3,119.18,"19 km N of Diemals, WA",WA
19 km NE of Peak Charles,-32.45,121.18,"19 km NE of Peak Charles, WA",WA
19 km NNW of Mt Ragged,-33.16,123.17,"19 km NNW of Mt Ragged, WA",WA
19 km S of Gibb River Road turnoff,-17.48,123.33,"19 km S of Gibb River Road turnoff, WA",WA
19 km SSE of Derby,-17.22,123.45,"19 km SSE of Derby, WA",WA
19 km WNW of Moffettah Well,-24.11,120.02,"19 km WNW of Moffettah Well, WA",WA
196 km NNE of Carnarvon,-23.23,114.26,"196 km NNE of Carnarvon, WA",WA
2 km E of Dedari,-30.57,121.1,"2 km E of Dedari, WA",WA
2 km N of Evanston,-29.25,119.17,"2 km N of Evanston, WA",WA
2 km S of Lawley River,-14.4,126.0,"2 km S of Lawley River, WA",WA
20 km N of Geraldton,-28.46,114.37,"20 km N of Geraldton, WA",WA
20 km NE of Bungalbin Hill,-30.24,119.23,"20 km NE of Bungalbin Hill, WA",WA
20 km NW of Munglinup,-33.33,120.45,"20 km NW of Munglinup, WA",WA
20 km S of Kununurra,-15.56,128.44,"20 km S of Kununurra, WA",WA
20 km SE of Jerramungup,-34.05,119.05,"20 km SE of Jerramungup, WA",WA
20 km SW of Mt Elvire homestead,-29.33,119.36,"20 km SW of Mt Elvire homestead, WA",WA
20.8 km E of Windjana Gorge,-17.24,125.02,"20.8 km E of Windjana Gorge, WA",WA
21 km ENE of Cosmo Newbery Mission_1,-27.33,123.03,"21 km ENE of Cosmo Newbery Mission, WA",WA
21 km ENE of Cosmo Newbery Mission_2,-27.55,123.05,"21 km ENE of Cosmo Newbery Mission, WA",WA
21 km N of Ravensthorpe,-33.26,120.04,"21 km N of Ravensthorpe, WA",WA
21 km S of Lake Magenta,-33.21,119.09,"21 km S of Lake Magenta, WA",WA
21 km W of Ravensthorpe_1,-33.26,120.04,"21 km W of Ravensthorpe, WA",WA
21 km W of Ravensthorpe_2,-33.36,119.37,"21 km W of Ravensthorpe, WA",WA
22 km N of Bullfinch,-30.59,119.07,"22 km N of Bullfinch, WA",WA
22 km NW of Lake Barlee,-29.15,119.08,"22 km NW of Lake Barlee, WA",WA
22 km S of Lake Magenta,-33.21,119.09,"22 km S of Lake Magenta, WA",WA
22 km from Cataby,-30.26,115.19,"22 km from Cataby, WA",WA
23 km S of Kununurra,-15.56,128.44,"23 km S of Kununurra, WA",WA
23 km W of Coolgardie,-30.57,121.0,"23 km W of Coolgardie, WA",WA
23.5 km S of Cooma Well,-24.17,120.2,"23.5 km S of Cooma Well, WA",WA
24 km N of Tallering Station,-28.13,115.51,"24 km N of Tallering Station, WA",WA
24 km S W of Kununurra,-15.46,128.44,"24 km S W of Kununurra, WA",WA
24 km SW of Nannup,-34.0,115.42,"24 km SW of Nannup, WA",WA
25 km E of Jurien,-30.18,115.14,"25 km E of Jurien, WA",WA
25 km ENE of Beyondie HS,-24.47,120.02,"25 km ENE of Beyondie HS, WA",WA
25 km SW of York,-31.55,116.58,"25 km SW of York, WA",WA
25.5 km W of Manjimup,-34.15,115.55,"25.5 km W of Manjimup, WA",WA
27 km N of Bungalbin Hill,-30.13,119.4,"27 km N of Bungalbin Hill, WA",WA
27 km NE of La Grange T.O.,-18.3,122.03,"27 km NE of La Grange T.O., WA",WA
27.5 km W of Southern Cross,-31.16,119.1,"27.5 km W of Southern Cross, WA",WA
28 km N Bungalbin Hills,-30.13,119.4,"28 km N Bungalbin Hills, WA",WA
28 km N of Zanthus,-29.5,123.34,"28 km N of Zanthus, WA",WA
29 km E of Well 24 CSR,-23.1,123.4,"29 km E of Well 24 CSR, WA",WA
29 km N of Bullfinch,-30.55,119.06,"29 km N of Bullfinch, WA",WA
3 km E of Bulla Bulling,-31.01,120.52,"3 km E of Bulla Bulling, WA",WA
3 km N of Gibb River crossing,-16.05,126.3,"3 km N of Gibb River crossing, WA",WA
3 km N of Gibb Rock Crossing,-16.95,120.3,"3 km N of Gibb Rock Crossing, WA",WA
3 km N of Mia Mia Homestead,-23.23,114.26,"3 km N of Mia Mia Homestead, WA",WA
3 km S of Augusta,-34.2,115.09,"3 km S of Augusta, WA",WA
3 km S of Yellowdine,-31.17,119.39,"3 km S of Yellowdine, WA",WA
3 km from Lamboo Station turnoff,-18.27,127.21,"3 km from Lamboo Station turnoff, WA",WA
30 km E of Derby,-17.15,123.43,"30 km E of Derby, WA",WA
30 km E of Jerramungup,-33.53,119.12,"30 km E of Jerramungup, WA",WA
30 km E of Yellowdine,-31.57,119.59,"30 km E of Yellowdine, WA",WA
30 km ESE of Collie,-33.27,115.54,"30 km ESE of Collie, WA",WA
30 km N of Bullfinch,-30.58,119.06,"30 km N of Bullfinch, WA",WA
30 km NE of Mount Barker,-34.3,117.35,"30 km NE of Mount Barker, WA",WA
30 km W of Sandstone,-27.59,119.18,"30 km W of Sandstone, WA",WA
30 km W of Watheroo,-30.18,115.45,"30 km W of Watheroo, WA",WA
31 km E of Pindar,-28.28,115.59,"31 km E of Pindar, WA",WA
31 km N of Mullewa,-28.12,115.31,"31 km N of Mullewa, WA",WA
32 km NNW of Walpole,-34.4,116.4,"32 km NNW of Walpole, WA",WA
32 km SE of Manjimup,-34.3,116.15,"32 km SE of Manjimup, WA",WA
32 km from Bencubbin,-30.49,117.51,"32 km from Bencubbin, WA",WA
33 km NNW of Queen Victoria Spring,-30.16,123.17,"33 km NNW of Queen Victoria Spring, WA",WA
33.6 km W of Fitzroy River Crossing,-18.09,125.0,"33.6 km W of Fitzroy River Crossing, WA",WA
