Sp code,Species Name,Status,Family,Fire Response,FR data source,Seed storage,SS data source,Life Form,Seed mass (mg),SM data source,Nutrient-acquisition strategy,NAS data source,Leaf P,Leaf N,nitrogen_fixing,life_history
ANDLEH,Andersonia lehmanniana,native,ERICACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,0.2,Roche 1997,Ericoid,Cornelissen et al. 2003 for Family,NA,NA,0,perennial
ANIMAN,Anigozanthos manglesii,native,HAEMODORACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,forb,0.7,Roche 1997,FRLRH,Brundrett&Abbott 1991,NA,NA,0,perennial
APHCYP,Aphelia cyperoides,native,CENTROLEPIDACEAE,SEEDER,Burrows et al. 2008,soil,Inferred using data for Family,forb,NA,NA,None,NM assumed status for Family,NA,NA,0,annual
ARCCAL,Arctotheca calendula,weed,ASTERACEAE,SEEDER,Burrows et al. 2008,soil,Burrows et al. 2008,forb,NA,Kew SID,AMF,McGee 1986,NA,NA,0,annual
ASPASP,Asparagus asparagoides,weed,ASPARAGACEAE,RESPROUTER,Alcoa DB,soil,Infered (weed),forb,35.39,Approximation: avg seed mass of Asparagus species (n = 29),AMF,Brundrett 2009 for Family; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
ASTCIL,Astroloma ciliatum,native,ERICACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,74.9,Approximation: avg seed mass of Astroloma species (n = 4).,Ericoid,Cornelissen et al. 2003 for Family,NA,NA,0,perennial
ASTFAS,Astartea fascicularis,native,MYRTACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,NA,Kew SID,AMF,Genus not listed in Brundrett 2008; assumed for AMF,NA,NA,0,perennial
ASTPAL,Astroloma pallidum,native,ERICACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,120,McAlinden 1998,Ericoid,Cornelissen et al. 2003 for Family,NA,NA,0,perennial
ASTSCO,Astartea scoparia,native,MYRTACEAE,SEEDER,Alcoa DB,canopy,Assume for Genus; fruit a woody capsule,shrub,0.07,Weighed,AMF,Genus not listed in Brundrett 2008; assumed for AMF,NA,NA,0,perennial
ATRPRO,Atriplex prostrata,weed,CHENOPODIACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,None,NM: Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
AUSCAE,Austrodanthonia caespitosa,native,POACEAE,SEEDER,Smith et al. 2000,soil,Smith et al. 2000,grass,0.77,Nursery records,AMF,McGee 1986,NA,NA,0,perennial
AUSCAM,Austrostipa campylachne,native,POACEAE,RESPROUTER,Burrows et al. 2008,soil,Inferred using data for Family,grass,4.54,Anne Cochrane,AMF,Lamont 1982 for Family,NA,NA,0,perennial
AUSPIL,Austrodanthonia pilosa,native,POACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,grass,NA,Kew SID,AMF,Lamont 1982 for Family,NA,NA,0,perennial
AUSSEM,Austrostipa semibarbata,native,POACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Family,grass,7.93,Weighed,AMF,Lamont 1982 for Family,NA,NA,0,perennial
AUSSET,Austrodanthonia setacea,native,POACEAE,SEEDER,Alcoa DB,soil,Vlahos & Bell 1986,grass,1.2,Weighed,AMF,Lamont 1982 for Family,NA,NA,0,perennial
AVEBAR,Avena barbata,weed,POACEAE,SEEDER,Alcoa DB,soil,Rachel Standishtandish,grass,NA,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
AVEFAT,Avena fatua,weed,POACEAE,SEEDER,Alcoa DB,soil,Bellairs & Bell 1993,grass,NA,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
BAECAM,Baeckea camphorosmae,native,MYRTACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,0.27,Nursery records,AMF/ECM,Brundrett 2009 for Genus,NA,NA,0,perennial
BANATT,Banksia attenuata,native,PROTEACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,tree,102.7,Milberg et al 1998,Root clusters,Skene 1998,NA,NA,0,perennial
BANGRA,Banksia grandis,native,PROTEACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,tree,78,"Standish et al, unpub data",Root clusters,Skene 1998; Brundrett&Abbott 1991,0.04,0.88,0,perennial
BANLIT,Banksia littoralis,native,PROTEACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,tree,24.39,Nursery records,Root clusters,Skene 1998,NA,NA,0,perennial
BANSEM,Banksia seminuda,native,PROTEACEAE,SEEDER,Bell et al. 1993,canopy,Bell et al. 1993,tree,12.77,Anne Cochrane,Root clusters,Skene 1998,NA,NA,0,perennial
BEASQU,Beaufortia squarrosa,native,MYRTACEAE,SEEDER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,1.09,Weighed,AMF,Genus not listed in Brundrett 2008; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
BILFLO,Billardiera floribunda,native,PITTOSPORACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,3.56,Weighed,AMF,Brundrett 2008 for Genus,0.06,2.22,0,perennial
BILFRA,Billardiera fraseri,native,PITTOSPORACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Genus,shrub,2.79,Approximation: avg seed mass of Billardiera species (n = 12).,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
BILFUS,Billardiera fusiformis,native,PITTOSPORACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Genus,shrub,2.28,Weighed,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
BILHET,Billardiera heterophylla,native,PITTOSPORACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Genus,shrub,2.79,Approximation: avg seed mass of Billardiera species (n = 12).,AMF,Brundrett&Abbott 1991,0.05,0.87,0,perennial
BILVAR,Billardiera variifolia,native,PITTOSPORACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,2.61,Weighed,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
BORCRE,Boronia crenulata,native,RUTACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,1.43,Nursery records,AMF,Brundrett 2008 for Genus,0.04,1.39,0,perennial
BORFAS,Boronia fastigiata,native,RUTACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,2,Roche 1997,AMF,Brundrett 2008 for Genus,0.03,0.51,0,perennial
BORMOL,Boronia molloyae,native,RUTACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,2.64,Approximation: avg seed mass of Boronia species (n = 16).,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
BORNIT,Borya nitida,native,BORYACEAE,SEEDER,Alcoa DB,soil,Default,forb,0.18,Approximation: avg seed mass of Borya species (n= 2).,AMF,Brundrett 2009 for Family; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
BORRAM,Boronia ramosa,native,RUTACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,shrub,5.03,Weighed,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
BORSCA,Boronia scabra,native,RUTACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,shrub,2.64,Approximation: avg seed mass of Boronia species (n = 16).,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
BOSAQU,Bossiaea aquifolium,native,FABACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,9,"Standish et al, unpub data",AMF,Sprent 2001; Brundrett&Abbott 1991,0.05,2.17,1,perennial
BOSERI,Bossiaea eriocarpa,native,FABACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,NA,Kew SID,AMF,Sprent 2001; Lamont 1982 on AMF for Family,NA,NA,1,perennial
BOSORN,Bossiaea ornata,native,FABACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,3,"Standish et al, unpub data",AMF,Sprent 2001; Brundrett&Abbott 1991,0.05,1.83,1,perennial
BOSPUL,Bossiaea pulchella,native,FABACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,18,"Standish et al, unpub data",AMF,Sprent 2001; Brundrett&Abbott 1991,NA,NA,1,perennial
BRAPUS,Brachyscome pusilla,native,ASTERACEAE,SEEDER,Alcoa DB,soil,Infered using data for Family,forb,0.4,Approximation: avg seed mass of Brachyscome species (n = 26),AMF,Lamont 1982 for Family,NA,NA,0,annual
BRARAP,Brassica rapa,weed,BRASSICACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,None,NM: Brundrett 2009 for Family,NA,NA,0,annual
BRATOU,Brassica tournefortii,weed,BRASSICACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,None,NM: McGee 1986,NA,NA,0,annual
BRIMAX,Briza maxima,weed,POACEAE,SEEDER,Burrows et al. 2008,soil,Infered (weed),grass,NA,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,0.34,3.17,0,annual
BRIMIN,Briza minor,weed,POACEAE,SEEDER,Burrows et al. 2008,soil,Bellairs & Bell 1993,grass,NA,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,NA,1.73,0,annual
BROARE,Bromus arenarius,weed,POACEAE,SEEDER,Alcoa DB,soil,Infered (weed),grass,NA,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
BROHOR,Bromus hordeaceus,weed,POACEAE,SEEDER,Burrows et al. 2008,soil,Infered (weed),grass,NA,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
BROMAD,Bromus madritensis,weed,POACEAE,SEEDER,Alcoa DB,soil,Infered (weed),grass,NA,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
BURCON,Burchardia congesta,native,COLCHICACEAE,RESPROUTER,Burrows et al. 2008 for Genus,soil,Default,forb,1.1,Weighed,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
CAEMIC,Caesia micrantha,native,HEMEROCALLIDACEAE,RESPROUTER,Burrows et al. 2008 for Genus,soil,Inferred using data for Family,forb,1.15,Weighed,AMF,Brundrett 2008 for Family,NA,NA,0,perennial
CALFLA,Caladenia flava,native,ORCHIDACEAE,RESPROUTER,Burrows et al. 2008,soil,Default,forb,0.005,Approximation: avg seed mass of Orchidaceae species (n = 60),OMF,Cornelissen et al. 2003 for Family,0.23,3.06,0,perennial
CALGRA,Calothamnus graniticus,native,MYRTACEAE,RESPROUTER,Burrows et al. 2008 for Genus,canopy,Lamont et al. 1991 for Genus,shrub,1.6,Anne Cochrane,AMF,Genus not listed in Brundrett 2008; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
CALMAC,Caladenia macrostylis,native,ORCHIDACEAE,RESPROUTER,Burrows et al. 2008,soil,Default,forb,0.005,Approximation: avg seed mass of Orchidaceae species (n = 60),OMF,Cornelissen et al. 2003 for Family,NA,NA,0,perennial
CALQUA,Calothamnus quadrifidus,native,MYRTACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,NA,Kew SID,AMF,Genus not listed in Brundrett 2008; Brundrett pers. comm. 10 Aug 2012,0.05,1.2,0,perennial
CALREP,Caladenia reptans,native,ORCHIDACEAE,RESPROUTER,Burrows et al. 2008,soil,Default,forb,0.005,Approximation: avg seed mass of Orchidaceae species (n = 60),OMF,Cornelissen et al. 2003 for Family,NA,NA,0,perennial
CALRUP,Calothamnus rupestris,native,MYRTACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,NA,Kew SID,AMF,Genus not listed in Brundrett 2008; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
CALSAN,Calothamnus sanguineus,native,MYRTACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,0.57,Weighed,AMF,Genus not listed in Brundrett 2008; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
CARANN,Carrichtera annua,weed,BRASSICACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,None,NM: Brundrett 2009 for Family,NA,NA,0,annual
CAREDU,Carpobrotus edulis,weed,AIZOACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,0.19,Nursery records,None,NM: Brundrett 2009 for Family,NA,NA,0,perennial
CARPAU,Cardamine paucijuga,native,BRASSICACEAE,SEEDER,Alcoa DB,soil,Infered using data for Family,forb,0.81,Approximation: avg seed mass of Cardamine species (n = 18).,None,NM: Brundrett 2009 for Family,NA,NA,0,annual
CARPYC,Carduus pycnocephalus,weed,ASTERACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,5.33,Approximation: avg seed mass of Carduus species (n = 8),AMF,Brundrett 2009 for Family; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
CASGLA,Cassytha glabella,native,LAURACEAE,SEEDER,Alcoa DB,soil,Default,forb,22.21,Weighed,Root hemiparasite,Brundrett 2008 for Genus,NA,NA,0,perennial
CASRAC,Cassytha racemosa,native,LAURACEAE,SEEDER,Burrows et al. 2008,soil,Burrows et al. 2008,forb,34.48,Nursery records,Root hemiparasite,Brundrett 2008 for Genus,NA,NA,0,perennial
CENALE,Centrolepis alepyroides,native,CENTROLEPIDACEAE,SEEDER,Alcoa DB,soil,Bellairs & Bell 1993,forb,0.06,Approximation: avg seed mass of Centrolepis species (n = 5).,None,NM: Brundrett 2008 for Genus,NA,NA,0,annual
CENARI,Centrolepis aristata,native,CENTROLEPIDACEAE,SEEDER,Alcoa DB,soil,Bellairs & Bell 1993,forb,NA,Kew SID,None,NM: Brundrett 2008 for Genus,0.09,1.97,0,annual
CENCAL,Centaurea calcitrapa,weed,ASTERACEAE,SEEDER,Rachel Standish,soil,Infered (weed),forb,NA,Kew SID,AMF,Brundrett 2009 for Family; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
CENDRU,Centrolepis drummondiana,native,CENTROLEPIDACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,forb,0.06,Approximation: avg seed mass of Centrolepis species (n = 5).,None,NM: Brundrett 2008 for Genus,NA,NA,0,annual
CENERY,Centaurium erythraea,weed,GENTIANACEAE,SEEDER,Smith et al. 2000,soil,Smith et al. 2000,forb,NA,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
CENPIL,Centrolepis pilosa,native,CENTROLEPIDACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,forb,0.06,Approximation: avg seed mass of Centrolepis species (n = 5).,None,NM: Brundrett 2008 for Genus,NA,NA,0,annual
CERGLO,Cerastium glomeratum,weed,CARYOPHYLLACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,None,NM: Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
CHACOR,Chamaescilla corymbosa,native,ASPARAGACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,forb,0.3,Roche 1997,AMF,Brundrett&Abbott 1991,0.12,2.3,0,perennial
CHAPAL,Chamaecytisus palmensis,weed,FABACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Family,shrub,4.94,Approximation based on one species,AMF,Sprent 2001; AMF assumed,NA,NA,1,perennial
CHEAMB,Chenopodium ambrosioides,weed,CHENOPODIACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,None,NM: Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
CHEPUM,Chenopodium pumilio,native,CHENOPODIACEAE,SEEDER,Alcoa DB,soil,Default,forb,0.6,Approximation: avg seed mass of Chenopodium species (n = 48).,None,NM: Brundrett 2008 for Family,NA,NA,0,annual
CHOCOR,Chorizema cordatum,native,FABACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Genus,shrub,1.55,Weighed,AMF,Sprent 2001; Lamont 1982 on AMF for Family,NA,NA,1,perennial
CHODIC,Chorizema dicksonii,native,FABACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,4.3,Weighed,AMF,Sprent 2001; Lamont 1982 on AMF for Family,NA,NA,1,perennial
CHOILI,Chorizema ilicifolium,native,FABACEAE,SEEDER,Burrows et al. 2008,soil,Bell et al. 1993,shrub,1.8,Hanley et al 2003,AMF,Sprent 2001; Lamont 1982 on AMF for Family,NA,NA,1,perennial
CHORHO,Chorizema rhombeum,native,FABACEAE,SEEDER,Burrows et al. 2008,soil,Bell et al. 1993,shrub,1.38,Weighed,AMF,Lamont 1982 on Nfixer and AMF for Family,NA,NA,1,perennial
CIRVUL,Cirsium vulgare,weed,ASTERACEAE,SEEDER,Burrows et al. 2008,soil,Infered (weed),forb,NA,Kew SID,AMF,Brundrett 2009 for Family; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
CLEPUB,Clematis pubescens,native,RANUNCULACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,2.92,Nursery records,AMF,Brundrett&Abbott 1991,0.11,2.24,0,perennial
COMCAL,Comesperma calymega,native,POLYGALACEAE,RESPROUTER,Burrows et al. 2008,soil,Inferred using data for Family,forb,0.55,Weighed,AMF/ECM,McGee 1986,NA,NA,0,perennial
COMVIR,Comesperma virgatum,native,POLYGALACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Family,shrub,1.49,Weighed,AMF,Brundrett&Abbott 1991,0.06,1.67,0,perennial
CONACU,Conostylis aculeata,native,HAEMODORACEAE,RESPROUTER,Burrows et al. 2008,soil,Bell et al. 1993,forb,0.34,Nursery records,FRLRH,Brundrett 2009 for Family,NA,NA,0,perennial
CONBON,Conyza bonariensis,weed,ASTERACEAE,SEEDER,Smith et al. 2000,soil,Smith et al. 2000,forb,NA,Kew SID,AMF,Brundrett 2009 for Family; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
