abbrev,individual_id,bundle_id,xylem_id,max_lumen_width,min_lumen_width,wall_thickness_1,wall_thickness_2,wall_thickness_3
actelind,1,1,2,17.647,13.419,4.567,4.061,4.963
actelind,1,2,2,8.944,5.971,3.495,4.164,4.298
actelind,1,3,2,12.82,12.596,3.508,2.697,2.379
actelind,1,1,3,14.202,13.955,3.298,4.129,4.34
actelind,1,2,3,12.794,8.904,4.814,2.986,3.768
actelind,1,3,3,11.455,11.225,4.7,2.585,4.087
actelind,1,1,4,14.119,9.814,4.431,3.967,4.645
actelind,1,2,4,9.818,10.073,4.204,3.635,2.777
actelind,1,3,4,11.176,12.062,2.396,3.906,3.203
actelind,1,1,5,14.527,12.322,4.628,6.229,4.129
actelind,1,2,5,9.944,8.281,4.02,2.84,4.391
actelind,1,3,5,15.608,12.388,2.818,1.599,2.484
actelind,2,1,1,12.366,10.236,3.508,4.015,2.041
actelind,2,2,1,13.086,13.927,3.074,3.35,2.933
actelind,2,3,1,12.463,13.909,3.205,3.893,2.745
actelind,2,1,2,11.426,8.417,2.948,2.396,3
actelind,2,2,2,10.929,12.099,2.996,2.991,4.498
actelind,2,3,2,13.216,10.397,5.052,4.27,3.355
actelind,2,1,3,14.091,9.444,2.539,3.468,3.829
actelind,2,2,3,9.129,10.777,3.0087,3.178,3.935
actelind,2,3,3,12.173,11.197,4.501,3.944,3.614
actelind,2,1,4,11.686,9.782,3.591,2.697,3.574
actelind,2,2,4,9.873,10.584,2.703,2.877,3.682
actelind,2,3,4,12.332,9.489,3.687,3.338,3.404
actelind,2,1,5,10.677,9.096,4.759,3.64,3.762
actelind,2,2,5,14.872,11.547,2.61,1.808,1.873
actelind,2,3,5,12.391,8.277,4.164,4.518,4.275
actelind,3,1,1,17.313,18.973,2.261,2.645,2.321
actelind,3,2,1,12.689,19.965,3.907,3.174,3.274
actelind,3,3,1,18.601,15.574,4.624,2.783,4.015
actelind,3,1,2,21.106,10.484,2.66,4.877,3.741
actelind,3,2,2,19.593,13.209,3.278,3.687,2.753
actelind,3,3,2,17.983,12.961,3.741,3.85,2.66
actelind,3,1,3,22.172,15.967,5.155,3.741,3.762
actelind,3,2,3,20.025,12.166,3.385,3.732,3.485
actelind,3,3,3,15.43,12.857,3.809,3.078,3.656
actelind,3,1,4,16.678,11.084,4.366,2.783,2.42
actelind,3,2,4,17.96,13.918,4.061,4.222,3.523
actelind,3,3,4,19.005,12.003,4.353,3.964,2.66
actelind,3,1,5,19.272,15.007,3.508,4.015,3.388
actelind,3,2,5,14.703,14.804,3.561,3.583,3.408
actelind,3,3,5,16.9,18.469,3.725,4.015,3.371
alecdive,1,1,1,9.955,7.327,1.636,1.716,1.547
alecdive,1,2,1,5.104,4.599,2.236,1.851,2.248
alecdive,1,3,1,7.133,8.026,1.589,1.421,1.711
alecdive,1,1,2,6.767,6.533,1.893,1.927,1.389
alecdive,1,2,2,4.512,4.649,1.586,1.798,2.19
alecdive,1,3,2,8.442,7.263,1.506,1.853,1.376
alecdive,1,1,3,6.03,5.242,1.715,1.861,1.78
alecdive,1,2,3,4.394,5.466,1.746,1.672,1.723
alecdive,1,3,3,5.429,6.357,1.498,1.62,0.953
alecdive,1,1,4,7.984,5.275,2.684,2.01,1.869
alecdive,1,2,4,6.9,4.077,1.455,1.51,2.013
alecdive,1,3,4,6.822,6.086,1.749,1.762,1.834
alecdive,1,1,5,8.444,6.788,1.608,1.664,1.658
alecdive,1,2,5,7.967,7.18,1.852,1.866,2.301
alecdive,1,3,5,5.781,4.435,1.342,1.445,2.009
alstcons,1,1,1,11.489,11.533,1.874,1.855,2.384
alstcons,1,2,1,17.173,17.564,2.546,2.132,2.327
alstcons,1,3,1,20.573,18.721,1.554,1.868,2.194
alstcons,1,1,2,14.945,10.04,2.277,1.948,1.948
alstcons,1,2,2,15.331,7.863,2.926,2.269,2.218
alstcons,1,3,2,17.126,16.886,2.4,2.346,2.642
alstcons,1,1,3,17.374,19.101,2.228,2.399,2.004
alstcons,1,2,3,20.335,17.858,2.625,3.108,2.995
alstcons,1,3,3,15.282,12.671,2.451,2.337,2.712
alstcons,1,1,4,19.818,17.816,2.79,2.276,2.14
alstcons,1,2,4,18.136,20.222,2.262,1.908,2.682
alstcons,1,3,4,13.895,8.989,3.598,2.76,1.883
alstcons,1,1,5,18.728,14.609,2.987,2.242,2.417
alstcons,1,2,5,17.875,17.283,1.894,2.039,2.234
alstcons,1,3,5,8.055,7.197,2.346,2.051,1.489
alstcons,2,1,1,21.073,20.066,2.563,2.112,2.265
alstcons,2,2,1,23.51,16.803,2.026,2.489,1.69
alstcons,2,3,1,22.261,17.33,2.08,2.702,1.599
alstcons,2,1,2,15.844,13.657,1.554,2.14,2.207
alstcons,2,2,2,15.099,12.986,1.51,1.709,1.421
alstcons,2,3,2,12.343,14.61,2.667,2.223,1.554
alstcons,2,1,3,20.105,17.291,1.518,2.091,2.119
alstcons,2,2,3,16.443,15.584,2.941,2.514,1.633
alstcons,2,3,3,18.712,14.205,2.844,1.849,2.31
alstcons,2,1,4,15.276,14.542,1.987,1.653,1.508
alstcons,2,2,4,13.104,14.528,1.479,2.221,1.777
alstcons,2,3,4,19.01,17.385,2.226,2.221,2.194
alstcons,2,1,5,19.072,18.931,1.75,2.112,2.265
alstcons,2,2,5,18.284,11.037,1.631,1.653,1.353
alstcons,2,3,5,12.937,13.136,1.631,2.702,1.832
alstcons,3,1,1,12.834,11.104,2.117,2.654,2.039
alstcons,3,2,1,21.139,17.474,1.623,1.749,1.937
alstcons,3,3,1,16.648,15.832,2.276,2.31,1.508
alstcons,3,1,2,15.05,13.971,1.699,1.546,1.252
alstcons,3,2,2,15.128,12.412,2.519,1.135,1.699
alstcons,3,3,2,15.249,12.286,2.488,1.799,1.709
alstcons,3,1,3,14.003,11.437,1.848,1.601,2.117
alstcons,3,2,3,19.926,13.672,1.686,1.778,2.069
alstcons,3,3,3,17.528,15.004,2.587,2.207,1.725
alstcons,3,1,4,14.096,10.052,1.843,1.646,1.979
alstcons,3,2,4,12.904,10.345,1.794,1.612,1.666
alstcons,3,3,4,17.372,15.898,1.609,1.709,1.582
alstcons,3,1,5,13.362,10.662,1.58,1.467,1.853
alstcons,3,2,5,19.662,17.049,2.96,2.091,2.118
alstcons,3,3,5,13.925,13.99,1.688,1.997,2.405
alyxrusc,1,1,1,6.989,4.537,2.07,2.206,2.665
alyxrusc,1,2,1,5.346,3.356,1.988,1.753,2.091
alyxrusc,1,3,1,4.056,4.235,2.044,2.027,2.389
alyxrusc,1,1,2,7.06,3.994,1.749,2.713,2.592
alyxrusc,1,2,2,5.937,4.676,1.943,1.666,1.671
alyxrusc,1,3,2,4.084,3.287,1.895,2.606,1.634
alyxrusc,1,1,3,5.659,4.316,2.24,2.327,2.053
alyxrusc,1,2,3,6.546,4.306,2.255,1.225,1.699
alyxrusc,1,3,3,5.643,4.89,2.053,1.794,1.568
alyxrusc,1,1,4,4.472,3.879,2.402,1.856,2.712
alyxrusc,1,2,4,5.478,4.866,1.666,1.81,1.876
alyxrusc,1,3,4,4.16,3.788,2.126,1.738,1.885
alyxrusc,1,1,5,5.437,5.62,2.554,2.344,2.381
alyxrusc,1,2,5,4.868,3.229,2.602,2.215,1.77
alyxrusc,1,3,5,4.533,4.738,1.333,1.621,2.146
alyxrusc,2,1,1,10.659,6.476,2.412,1.177,2.619
alyxrusc,2,2,1,7.164,3.965,1.809,2.247,2.11
alyxrusc,2,3,1,8.577,4,1.852,1.403,1.923
alyxrusc,2,1,2,9.519,4.959,1.866,1.685,1.841
alyxrusc,2,2,2,3.485,3.966,2.636,2.518,2.216
alyxrusc,2,3,2,7.377,3.84,1.993,1.917,1.622
alyxrusc,2,1,3,5.505,3.173,2.812,1.987,1.855
alyxrusc,2,2,3,5.477,3.114,2.336,3.059,2.022
alyxrusc,2,3,3,7.166,4.394,1.377,1.94,1.828
alyxrusc,2,1,4,4.759,4.177,2.676,2.317,2.075
alyxrusc,2,2,4,6.94,4.275,1.542,1.784,2.009
alyxrusc,2,3,4,8.804,4.857,1.38,1.983,2.137
alyxrusc,2,1,5,7.118,4.468,1.38,1.72,1.983
alyxrusc,2,2,5,4.237,7.186,2.203,2.203,1.501
alyxrusc,2,3,5,7.37,4.476,1.597,1.879,2.328
alyxrusc,3,1,1,8.782,7.16,2.189,2.403,2.489
alyxrusc,3,2,1,7.137,4.742,2.62,2.448,3.145
alyxrusc,3,3,1,9.076,6.847,2.373,2.328,2.909
alyxrusc,3,1,2,9.08,7.791,2.453,1.921,2.446
alyxrusc,3,2,2,9.028,6.609,2.782,2.203,2.667
alyxrusc,3,3,2,6.922,5.341,2.661,2.236,2.168
alyxrusc,3,1,3,9.075,4.987,2.188,1.818,1.881
alyxrusc,3,2,3,7.041,5.464,2.562,2.009,2.386
alyxrusc,3,3,3,8.749,5.907,1.925,1.879,2.124
alyxrusc,3,1,4,7.819,6.801,2.244,2.282,2.294
alyxrusc,3,2,4,8.164,6.362,1.424,3.164,2.644
alyxrusc,3,3,4,8.194,6.787,2.128,1.869,2.165
alyxrusc,3,1,5,7.332,6.012,2.647,2.152,1.635
alyxrusc,3,2,5,10.324,5.365,2.651,2.766,2.397
alyxrusc,3,3,5,6.893,8.86,2.259,2.619,2.676
anthniti,1,1,1,7.207,10.886,1.074,1.461,1.229
anthniti,1,2,1,20.866,12.061,3.103,2.559,2.84
anthniti,1,3,1,14.403,16.604,1.707,2.107,1.922
anthniti,1,1,2,10.814,9.755,1.413,1.406,1.374
anthniti,1,2,2,16.505,14.155,2.907,2.891,2.713
anthniti,1,3,2,12.699,12.604,1.519,1.707,2.086
anthniti,1,1,3,11.051,12.707,1.49,1.708,1.463
anthniti,1,2,3,16.868,18.444,2.491,2.432,2.427
anthniti,1,3,3,16.205,12.215,2.269,1.922,1.753
anthniti,1,1,4,13.717,13.332,1.554,1.881,1.648
anthniti,1,2,4,11.138,8.14,2.008,1.683,1.831
anthniti,1,3,4,15.912,15.514,1.813,1.866,1.339
anthniti,1,1,5,14.106,13.51,2.667,1.957,2.98
anthniti,1,2,5,11.848,9.619,3.01,1.962,2.222
anthniti,1,3,5,13.462,12.145,1.894,1.554,1.441
anthniti,2,1,1,12.924,12.21,2.776,2.587,2.613
anthniti,2,2,1,10.896,9.187,2.541,2.843,2.865
anthniti,2,3,1,12.286,13.532,2.516,1.686,2.4
anthniti,2,1,2,17.394,13.414,2.417,1.633,2.563
anthniti,2,2,2,12.019,9.614,2.702,3.006,2.767
anthniti,2,3,2,18.16,15.041,1.973,1.638,1.433
anthniti,2,1,3,18.661,14.975,2.514,2.667,2.405
anthniti,2,2,3,11.43,11.409,2.805,1.914,2.265
anthniti,2,3,3,8.75,7.477,1.599,1.602,1.707
anthniti,2,1,4,12.067,9.496,2.59,2.31,2.074
anthniti,2,2,4,9.301,6.419,1.957,2.262,1.855
anthniti,2,3,4,19.466,16.151,2.624,2.783,3.017
anthniti,2,1,5,13.579,8.459,2.541,3.026,2.464
anthniti,2,2,5,9.863,8.598,1.669,1.446,2.578
anthniti,2,3,5,14.75,13.312,2.074,2.14,2.072
anthniti,3,1,1,22.806,22.291,1.899,1.951,1.901
anthniti,3,2,1,13.112,13.739,1.708,2.118,1.264
anthniti,3,3,1,18.931,14.108,1.932,1.933,1.463
anthniti,3,1,2,16.98,16.568,2.147,1.987,1.382
anthniti,3,2,2,14.972,15.951,2.005,1.749,1.623
anthniti,3,3,2,20.148,11.289,1.76,2.255,2.248
anthniti,3,1,3,16.741,15.709,1.589,1.832,0.961
anthniti,3,2,3,10.942,13.199,1.639,1.708,1.859
anthniti,3,3,3,19.746,15.174,1.703,1.87,1.794
anthniti,3,1,4,17.76,14.506,2.358,2.199,1.932
anthniti,3,2,4,18.823,16.661,2.126,2.734,2.239
anthniti,3,3,4,14.696,20.16,1.866,1.957,2.072
anthniti,3,1,5,20.973,19.845,1.788,2.158,1.919
anthniti,3,2,5,12.728,10.828,1.252,1.207,1.287
anthniti,3,3,5,13.827,11.186,2.532,2.747,2.136
argytrif,1,1,1,19.748,16.575,1.592,1.592,1.718
argytrif,1,2,1,23.185,22.267,1.674,1.656,2.189
argytrif,1,3,1,21.996,14.988,2.247,1.62,1.957
argytrif,1,1,2,17.263,16.302,1.129,2.365,1.798
argytrif,1,2,2,16.995,14.837,1.562,1.41,1.559
argytrif,1,3,2,17.001,13.835,2.013,1.765,1.859
argytrif,1,1,3,14.894,16.365,1.778,1.478,2.022
argytrif,1,2,3,19.783,11.094,2.346,1.322,1.62
argytrif,1,3,3,21.939,13.959,1.711,2.326,1.98
argytrif,1,1,4,21.229,14.662,1.586,2.09,1.424
argytrif,1,2,4,14.985,11.12,2.224,1.939,1.762
argytrif,1,3,4,26.13,15.76,1.371,1.859,1.541
argytrif,1,1,5,23.429,22.111,1.893,1.608,1.718
argytrif,1,2,5,17.055,15.731,1.498,1.639,1.738
argytrif,1,3,5,25.867,17.899,2.379,1.933,1.695
argytrif,2,1,1,12.111,11.548,1.88,1.485,1.723
argytrif,2,2,1,13.373,12.973,2.298,2.298,1.762
argytrif,2,3,1,22.286,16.204,3.25,2.593,1.562
argytrif,2,1,2,18.29,14.62,1.718,1.798,2.05
argytrif,2,2,2,9.799,10.344,3.193,2.074,1.797
argytrif,2,3,2,15.692,15.071,2.602,2.298,2.373
argytrif,2,1,3,9.957,6.563,2.201,2.131,1.533
argytrif,2,2,3,16.515,9.642,2.45,2.58,2.566
argytrif,2,3,3,10.845,10.774,2.328,1.817,1.869
argytrif,2,1,4,8.947,5.096,1.283,2.075,2.07
argytrif,2,2,4,13.367,12.574,3.283,2.263,1.773
argytrif,2,3,4,18.511,17.377,2.274,2.732,2.825
argytrif,2,1,5,12.505,8.435,2.158,2.09,2.676
argytrif,2,2,5,11.395,11.292,2.597,2.644,2.379
argytrif,2,3,5,23.756,19.146,2.247,1.663,2.556
argytrif,3,1,1,14.826,13.539,1.957,1.684,1.873
argytrif,3,2,1,11.469,11.982,2.189,1.695,1.98
argytrif,3,3,1,16.634,19.58,2.368,2.379,2.645
argytrif,3,1,2,10.754,11.243,1.541,1.782,2.306
argytrif,3,2,2,22.269,18.946,2.379,2.065,2.203
argytrif,3,3,2,9.087,5.63,2.259,2.644,2.122
argytrif,3,1,3,11.68,12.4,2.908,1.886,2.306
argytrif,3,2,3,14.578,11.477,1.988,1.867,1.994
argytrif,3,3,3,14.759,13.892,2.68,2.247,2.556
argytrif,3,1,4,18.039,15.586,1.711,2.333,2.492
argytrif,3,2,4,22.123,12.973,1.762,2.274,1.925
argytrif,3,3,4,12.188,12.589,2.063,1.957,2.013
argytrif,3,1,5,19.224,11.532,2.21,1.947,2.405
argytrif,3,2,5,22.466,18.183,2.496,3.208,1.695
argytrif,3,3,5,10.913,11.28,2.029,1.608,2.057
gossbidw,1,1,1,6.257,5.824,1.89,2.05,2.271
gossbidw,1,2,1,6.572,5.108,1.842,1.997,1.654
gossbidw,1,3,1,8.513,6.98,2.431,1.979,3.028
gossbidw,1,1,2,6.978,6.399,3.237,2.973,2.609
gossbidw,1,2,2,8.116,7.042,2.766,1.502,1.441
gossbidw,1,3,2,7.649,6.303,2.218,2.692,1.576
gossbidw,1,1,3,5.09,8.608,1.874,2.353,1.394
gossbidw,1,2,3,8.176,6.51,3.025,3.129,2.813
gossbidw,1,3,3,8.137,6.606,2.431,2.362,3.098
gossbidw,1,1,4,7.757,8.153,2.199,3.138,2.347
gossbidw,1,2,4,9.363,6.771,2.657,2.834,2.749
gossbidw,1,3,4,9.061,7.902,1.95,2.128,2.128
gossbidw,1,1,5,4.663,5.672,2.912,1.86,1.846
gossbidw,1,2,5,9.078,4.919,3.448,1.941,1.473
gossbidw,1,3,5,8.927,7.95,1.842,2.727,1.427
backangu,1,1,1,5.675,4.498,2.095,1.898,2.009
backangu,1,2,1,6.112,5.597,1.453,1.884,1.393
backangu,1,3,1,6.202,5.343,1.941,2.42,1.569
backangu,1,1,2,4.339,3.587,2.131,1.817,2.176
backangu,1,2,2,5.922,5.456,2.247,2.556,1.941
backangu,1,3,2,5.534,4.894,2.133,1.797,2.151
backangu,1,1,3,4.973,4.232,2.566,2.381,1.498
backangu,1,2,3,4.386,4.232,1.738,2.737,2.62
backangu,1,3,3,3.913,3.125,1.869,1.762,1.246
backangu,1,1,4,4.614,5.521,2.208,2.266,1.851
backangu,1,2,4,5.905,5.147,1.784,1.97,2.205
backangu,1,3,4,4.636,4.288,1.886,2.291,2.176
backangu,1,1,5,6.259,3.793,1.128,2.203,2.592
backangu,1,2,5,5.462,5.024,1.656,1.271,1.586
backangu,1,3,5,6.166,4.335,1.898,1.762,1.97
backangu,2,1,1,4.875,7.39,2.057,2.205,1.541
backangu,2,2,1,7.671,4.077,1.97,1.97,2.715
backangu,2,3,1,7.017,4.894,2.013,1.941,1.501
backangu,2,1,2,6.949,6.008,3.385,2.257,1.933
backangu,2,2,2,6.287,6.08,1.859,2.52,2.203
backangu,2,3,2,4.467,3.492,1.784,1.988,2.029
backangu,2,1,3,5.993,4.678,2.496,1.738,2.21
backangu,2,2,3,5.382,5.91,3.373,1.941,2.219
backangu,2,3,3,6.028,4.275,2.18,1.539,3.251
backangu,2,1,4,4.759,4.65,2.034,2.203,1.684
backangu,2,2,4,5.258,5.112,2.557,2.247,2.044
backangu,2,3,4,7.938,6.778,2.492,3.547,2.431
backangu,2,1,5,7.173,4.549,2.657,1.933,2.05
backangu,2,2,5,7.329,5.023,1.947,1.869,2.129
backangu,2,3,5,4.992,5.323,2.306,1.994,1.957
backangu,3,1,1,5.851,6.07,2.371,1.618,1.884
backangu,3,2,1,6.231,5.809,2.52,1.498,1.869
backangu,3,3,1,6.605,6.242,2.76,2.05,2.102
backangu,3,1,2,4.745,1.815,1.501,1.684,2.089
backangu,3,2,2,7.382,4.654,1.817,1.935,1.873
backangu,3,3,2,6.482,6.917,2.011,1.467,1.941
backangu,3,1,3,6.156,6.362,1.834,1.886,1.817
backangu,3,2,3,7.609,5.462,2.257,1.957,2.766
backangu,3,3,3,4.369,4.322,2.604,1.506,2.034
backangu,3,1,4,5.502,4.65,1.817,2.448,1.935
backangu,3,2,4,3.946,5.24,2.68,1.674,2.131
backangu,3,3,4,6.471,5.936,2.013,1.906,1.376
backangu,3,1,5,8.1,6.649,2.821,1.869,1.435
backangu,3,2,5,4.879,4.386,2.506,2.027,1.005
backangu,3,3,5,6.438,5.24,1.501,1.97,1.771
baloinop,1,1,1,20.896,17.906,2.024,1.708,1.418
baloinop,1,2,1,20.324,17.559,1.725,1.469,1.651
baloinop,1,3,1,19.394,14.145,1.829,1.956,1.364
baloinop,1,1,2,19.158,23.231,2.364,1.984,2.315
baloinop,1,2,2,16.754,18.279,2.18,2.377,2.193
baloinop,1,3,2,22.883,15.905,2.421,2.03,2.452
baloinop,1,1,3,15.994,14.461,2.007,2.302,2.037
baloinop,1,2,3,17.789,16.683,2.122,2.125,2.152
baloinop,1,3,3,15.91,16.152,2.239,2.196,2.012
