abbrev,individual,fresh_vol,dry_mass,drying_temp,
ardibake,1,71.18,36.38,80,x
ardibake,2,37.14,19.36,80,x
ardibake,3,36.2,18.11,80,x
argyacti,1,42.28,23.99,80,x
argyacti,2,54.38,29.22,80,x
argyacti,3,75.8,48.48,80,x
argykink,1,62.44,43.69,80,x
argykink,2,92.33,61.81,80,x
argykink,3,77.67,57.48,80,x
argytrif,1,65.1,42.95,80,x
argytrif,2,49.72,32.24,80,x
argytrif,3,55.58,35.2,80,x
argytrif,4,61.64,28.21,80,x
arytdict,1,67.83,52.75,110,x
arytdict,3,85.64,81.03,80,x
arytdict,2,72.81,67.21,80,x
arytdist,1,59.5,49.03,80,x
arytdist,2,66.68,54.03,80,x
arytdist,3,80.47,58.73,80,x
arytfove,1,82.96,75.09,80,x
arytfove,2,60.09,51.62,80,x
arytfove,3,82.19,66.93,80,x
arytmicr,1,103.8,89.74,80,x
arytmicr,2,58.5,49.81,80,x
arytmicr,3,42.42,32.35,80,x
atalmult,1,73.98,52.08,80,x
atalsali,1,55.99,53.54,80,x
atalsali,2,69.13,61.63,80,x
atalsali,3,67.36,58.8,80,
atalsali,4,44.09,30.91,80,x
atrabent,1,38.6,27.99,80,x
atrabent,2,75.13,46.99,80,x
atrabent,3,66.84,45.33,80,x
atrachar,1,59.01,45.85,80,x
atrachar,2,67.85,52.23,80,x
atrachar,3,69.33,50.15,80,x
aurarhom,1,55.62,42.62,80,x
aurarhom,2,81.12,57.1,80,x
aurarhom,3,42.75,29.64,80,x
backking,1,59.6,48.74,80,x
backking,2,64.35,51.6,80,x
backking,3,65.42,51.77,80,x
backmyrt,3,49.99,40.3441,110,x
backmyrt,1,38.82,33.1,110,x
backmyrt,2,45.18,39.5,110,x
backsuba,1,76.44,69.88,80,x
backsuba,2,82.22,70.68,80,x
backsuba,3,78.11,67.6,80,x
balomarm,1,96.36,70.22,80,x
balomarm,2,87.71,57.8,80,x
balomarm,3,94.65,61.5,80,x
barksyri,1,91.82,68.83,80,x
barksyri,2,92.24,71.84,110,x
beilelli,1,106.76,76.98,80,x
beilelli,2,65.73,45.2,80,x
beilelli,3,69.23,44.73,80,x
beilobtu,1,85.91,64.55,80,x
beilobtu,2,92.32,69.21,80,x
bosipent,1,72.5,60.71,80,x
bosipent,2,91.91,76.78,80,x
bosipent,3,84.63,69.74,80,x
bositran,1,57.78,45.16,80,x
bositran,2,51,40.54,80,x
bositran,3,76.48,64.7,80,x
boucneur,1,62.31,51.73,80,x
boucneur,2,102.47,81.6,80,x
boucneur,3,84.38,64.82,80,x
bracacer,1,72.82,31.12,80,x
bracacer,2,125.88,41.27,80,
bracacer,3,43.85,24.34,80,x
bracaust,1,66.01,33.05,80,x
bracaust,2,71.58,40.57,80,x
bracaust,3,89.1,32.68,80,x
bracrupe,2,30.2,19.01,80,
breyoblo,1,48.52,33.11,80,x
breyoblo,2,39.32,25.14,80,x
breyoblo,3,47.8,35.51,80,x
bridexal,1,86.06,57.26,80,x
bridexal,2,97.94,63.83,80,x
bridexal,3,71.09,49.74,80,x
bridleic,1,43.62,34.16,80,x
bridleic,2,68.13,51.35,80,x
bridleic,3,103.36,71.08,80,x
bursinca,1,58.38,48.07,80,x
bursinca,2,55.69,43.22,80,x
bursinca,3,67.84,52.44,80,x
bursspin,1,175.37,137.63,80,x
cariovat,1,36.99,29.29,80,x
cariovat,2,50.41,38.79,80,x
casemult,1,40.05,30.25,80,x
casemult,2,61.31,45.33,80,x
casemult,3,63.58,44.52,80,x
castalph,1,62.69,43.72,80,x
castalph,2,52.6,32.8,80,x
castalph,3,104.44,63.16,80,x
castalph,4,90.51,51.06,80,x
castaust,1,75.88,45.68,80,x
castaust,2,69.78,40.45,80,x
castaust,3,91.31,50.48,80,x
celtpani,1,60.6,40.12,80,x
celtpani,2,84.73,52.06,80,x
celtpani,3,91.01,62.72,80,x
cinnoliv,1,68.16,37.81,80,x
cinnoliv,2,80.94,42.28,80,x
cinnoliv,3,68.31,39.04,80,x
cinnvire,1,89.75,52.11,80,x
cinnvire,2,49.06,27.09,80,x
cinnvire,3,104.66,49.58,80,x
citraust,1,62.05,44.47,80,x
citraust,2,42.46,29.93,80,x
citraust,3,59.39,41.09,80,x
cleicunn,1,78.29,51.93,80,x
cleicunn,2,45.84,28.32,80,x
cleicunn,3,88.62,53.99,80,x
clerflor,1,113.65,70.09,80,x
clerflor,2,153.82,91.44,80,x
clerflor,3,152.04,88.44,80,x
clertome,1,70.07,43.38,80,x
clertome,2,51.95,29.01,80,x
clertome,3,90.33,47.07,80,x
coatpani,1,90.65,72.36,80,x
coatpani,2,62.13,45.21,80,x
coatpani,3,52.25,47.3,80,x
commbart,1,51.55,19.25,110,x
commbart,2,128.22,39.22,110,x
commbart,3,67.13,20.44,110,x
coryrupe,1,85.6,49.61,80,x
coryrupe,2,83.93,44.91,80,x
coryrupe,3,67.14,38.25,80,x
crotpheb,1,35.8,30.19,80,x
crotpheb,2,72.31,59.58,80,x
crotpheb,3,98.66,78.4,80,x
crotverr,1,78.62,42.34,80,x
crotverr,2,61.73,33.24,80,x
crotverr,3,66.4,41.66,80,x
crypbidw,1,76.49,64.28,80,x
crypbidw,2,67.78,52.15,80,x
crypbidw,3,85.79,60.51,80,x
cryperyt,1,87.87,57.93,80,x
cryperyt,2,74.56,42.54,80,x
cryperyt,3,86.86,51.49,110,x
crypfloy,1,55.48,39.29,80,x
crypfove,1,85.21,52.42,80,x
crypfove,2,70.27,38.22,80,x
crypfove,3,49.08,26.12,80,x
crypglau,1,76.24,54.5,80,x
crypglau,2,81.81,47.36,80,x
crypglau,3,60.11,33.17,110,x
crypglau,4,61.55,36.72,110,x
cryplaev,1,70.02,49.57,80,x
cryplaev,2,80.83,57.22,80,x
cryplaev,3,66.07,46.21,80,x
cryplaev,4,60.86,41.49,80,x
crypmacd,1,88.8,62,110,x
crypmicr,1,56.12,35.95,80,x
crypobov,1,72.31,35.82,80,x
crypscle,1,73.07,54.61,80,x
cryptrip,1,112.49,67.37,80,x
cupaflag,1,59.93,43.34,80,x
cupaflag,2,52.28,36.57,80,x
cupaflag,3,62.13,41.9,80,x
cupanewm,1,108.17,80.8,80,x
cupanewm,2,96.24,46.98,80,x
cupaparv,1,62.06,48.09,80,x
cupaparv,2,38.29,29.32,80,x
cupaparv,3,42.94,31.4,80,x
cupasimu,1,89.5,67.01,80,x
cupasimu,2,38.89,28.55,80,x
cupasimu,3,49.11,33.73,80,x
cupawads,1,37.29,29.72,80,x
cyclcopr,1,31.43,21.99,80,x
cyclcopr,2,38.51,26.78,80,x
cyclcopr,3,95.95,65.83,80,x
cycllong,1,69.76,49.65,80,x
cycllong,2,49.32,32.49,80,x
cycllong,3,78.11,50.65,80,x
daphapat,1,37.6,21.58,80,x
daphapat,2,67.38,37.52,80,x
daphapat,3,53.47,29.12,80,x
dendexce,1,78.03,20.3,80,x
dendexce,2,65.08,17,80,x
dendexce,3,65.64,24.49,80,x
denhcela,1,122,86.63,80,x
denhcela,2,89.85,58.27,80,x
denhcela,3,54.31,33.55,80,x
denhdisp,1,46.57,31.23,80,x
denhdisp,2,56.89,36.84,80,x
denhdisp,3,55.54,35.67,80,x
denhpitt,1,53.67,35.87,80,x
denhpitt,2,83.72,53.61,80,x
denhpitt,3,92.07,60.88,80,x
dinoeryt,1,85.02,65.95,80,x
dinoeryt,2,28.58,20.47,80,x
diosfasc,1,62.27,45.79,80,x
diosfasc,2,77.74,54.1,80,x
diosfasc,3,87.06,57.62,80,x
dioshumi,1,47.7,39.42,80,x
dioshumi,2,72.21,52.81,80,x
dioshumi,3,117.71,92.27,80,x
diplaust,1,75.91,33.56,80,x
dorysass,1,94.4,54.48,80,x
dorysass,2,65.38,29.11,80,x
dorysass,3,89.89,39.9,80,x
dubomyop,1,55.62,23.23,80,x
dubomyop,2,71.46,31.41,80,x
dubomyop,3,76.28,36.14,80,x
dysofras,1,55.47,40.79,80,x
dysofras,2,54.53,31.06,80,x
dysofras,3,58.55,36.38,80,x
dysorufu,1,75.9,42.59,80,x
dysorufu,2,69.45,36.6,80,x
dysorufu,3,66.44,45.4,80,x
ehreacum,3,93.36,49.39,80,x
elaeeumu,3,57.92,38.37,110,x
elaeeumu,2,46.74,30.69,110,x
elaeeumu,1,109.85,68.28,110,x
elaegran,1,71.51,43.28,80,x
elaegran,2,155.18,60.87,80,x
elaegran,3,83.38,56.88,80,x
elaeobov,1,39.35,24.47,80,x
elaeobov,2,69.07,40.66,80,x
elaeobov,3,55.66,29.73,80,x
elatbidw,1,42.14,36.6,80,x
elatbidw,2,33.58,26.55,80,x
elatbidw,3,32.08,25.14,80,x
elatnerv,1,56.83,43.92,80,x
elatnerv,2,92.24,68.55,80,x
elatnerv,3,58.18,41.87,80,x
emmealph,1,196.93,140.19,80,x
emmealph,2,95.73,65.22,80,x
emmealph,3,59.97,42.29,80,x
endicras,1,79.42,52.72,80,x
endicras,2,97.85,60.63,80,x
endicras,3,87,46.77,80,x
endidisc,1,105.09,71.64,110,x
endidisc,2,65.12,43.06,110,x
endidisc,3,94.43,53.76,110,x
endihaye,1,97.52,66.72,80,x
endihaye,2,60.39,42.71,80,x
endihaye,3,86.16,63.01,80,x
endihaye,4,59.78,40.84,80,x
endimuel,1,46.09,34.55,80,x
endimuel,2,84.99,59.96,80,x
endimuel,3,69.73,46.5,80,
endipube,1,83.33,62.44,80,x
endipube,2,74.68,53.72,80,x
endipube,3,50.8,35.92,80,x
erytnume,1,60.05,17.96,80,x
erytnume,2,79.82,23.2,80,x
erytnume,3,80.19,8.84,80,x
eupolaur,1,54.31,32.11,80,x
eupolaur,2,42.31,22.99,80,x
eupolaur,3,71.87,36.82,80,x
eurofalc,1,48.62,25.76,80,x
eurofalc,2,60.83,28.64,80,x
eurofalc,3,55.61,21.53,80,x
evervacc,1,106.96,86.14,80,x
evervacc,2,66.51,52.28,80,x
evervacc,3,24,18.61,80,x
ficufras,1,62.32,27.61,80,x
ficufras,2,44.92,17.97,80,x
ficufras,3,111.56,44.23,80,x
ficuhenn,1,92.58,33.01,80,x
ficumacr,1,101.39,54.42,80,x
ficumacr,2,85.58,41.32,80,x
ficumacr,3,80.12,35.66,80,x
ficuobli,1,68.7,40.12,80,x
ficuwatk,1,73.6,33.53,110,x
ficuwatk,4,82.35,32.42,80,x
ficuwatk,2,60.33,24.98,110,x
ficuwatk,3,78.04,44.29,110,x
fingerlime,1,44.79,31.03,80,x
fingerlime,2,50.96,34.33,80,x
fingerlime,3,89.3,59.54,80,x
flinaust,1,60.7,55.48,80,x
flinaust,2,50.57,44.1,80,x
flinaust,3,54.22,42.88,80,x
flinbenn,1,38.8,29.29,80,x
flinbenn,2,37.29,28.37,80,x
flinbenn,3,55.36,40.87,80,x
flinscho,1,129.13,86.25,80,x
flinscho,2,63.49,34.7,80,x
flinxant,1,80.15,52.41,80,x
flinxant,2,43.69,34.31,80,x
flinxant,3,51.73,39.98,80,x
floyprae,1,25.98,17.36,80,
fontaust,1,20.81,14.53,80,x
gmelleic,1,56.24,35.81,80,x
gmelleic,2,99.45,57.89,80,x
gmelleic,3,112.52,55.07,80,x
gmelleic,4,84.52,39.46,80,x
gosshill,1,54.62,41.36,80,x
gosshill,2,62.4,47.25,80,x
gosspunc,1,68.26,50.14,80,x
gosspunc,2,88.08,63.61,80,x
grevhelm,1,72.26,57.86,80,x
grevhelm,2,85.97,69.3,80,x
grevhelm,3,72.84,60.7,80,x
grevhill,1,40,27.95,80,x
grevhill,2,73.48,53.08,110,x
grevhill,3,98.23,66.72,110,x
grevrobu,1,75.59,50.35,80,x
grevrobu,2,58.54,36.78,80,x
grevrobu,3,68.88,41.44,80,x
guilmono,1,92.5,63.64,80,x
guilmono,2,47.62,29.95,80,x
guilmono,3,86.98,58.77,80,x
guilmono,4,29.13,18.32,80,x
halfkend,1,85.21,78.35,80,x
halfkend,2,73.71,63.65,80,x
halfkend,3,62.94,54.23,80,x
harpalat,1,40.16,27,80,x
harpalat,2,48.65,31.59,80,x
harpalat,3,52.84,34.25,80,x
harpalat,4,56.06,34.95,80,x
harphill,1,111.96,68.21,80,x
harphill,2,59.86,33.77,80,x
harphill,3,55.065,33.67,80,x
harppend,1,91.02,72.13,80,x
harppend,2,68.49,50.15,80,x
harppend,3,46.65,33.26,80,x
hedrporp,1,78.49,52.79,80,x
hedrporp,2,38.42,23.01,80,x
hedrporp,3,83.89,63.01,80,x
heliglab,1,80.85,58.45,80,x
heliglab,2,71.71,53.23,80,x
heliglab,3,76.77,50.78,80,x
hibihete,1,58.41,25.4908,110,x
hibihete,2,68.54,30.0099,110,x
hibihete,3,83.97,37.2958,110,x
hodgovat,2,96.84,68.25,80,x
hodgovat,3,80.02,53.22,80,x
hodgovat,4,81.72,49.96,80,x
homaalni,1,88.27,65.76,80,x
homaalni,2,62.54,47.95,80,x
homapopu,1,143.4,50.32,110,x
homapopu,2,57.34,21.86,110,x
homapopu,3,73.99,32.8,110,x
hymeflav,1,98.06,53.04,80,x
hymeflav,2,60.55,31.99,80,x
hymeflav,3,89.39,41.59,80,x
ixorbeck,1,79.55,64.52,80,x
ixorbeck,2,141.73,108,80,x
ixorbeck,3,64.75,48.3,80,x
ixorquee,1,42.27,36.6,80,x
jagepseu,1,67.06,50.89,80,x
jagepseu,2,65.52,48.68,80,x
jagepseu,3,65.03,44.99,80,x
karrbent,1,87.21,49.46,80,x
karrbent,2,70.45,41.74,80,x
karrbent,3,90.49,54.65,80,x
lenwprom,1,72.67,48.6,80,x
lenwprom,2,54.78,33.77,80,x
lenwprom,3,56.99,34.64,80,x
litsaust,1,57.37,30.23,110,x
litsaust,2,124,56.7,110,x
litsreti,1,70.38,32.64,80,x
litsreti,2,93.83,33.46,110,x
macainte,1,85.4,54.49,80,x
macainte,2,77.63,53.04,80,x
macainte,3,79.51,50.01,80,x
macatern,1,43.81,33.36,80,x
macatern,2,91.3,72.2,80,x
macatern,3,82.27,59.91,80,x
mallclao,1,60.35,33.93,80,x
mallclao,2,50.65,32.87,80,x
mallclao,3,52.77,31.63,80,x
malldisc,1,78.86,49.62,80,x
malldisc,2,39.53,23.99,80,x
malldisc,3,41.79,24,80,x
malldisc,4,56.7,31.57,80,x
malldisc,5,39.17,20.32,80,x
medicunn,1,78.45,59.94,80,x
medicunn,2,72.9,55.04,80,x
medicunn,3,86.93,61.46,80,x
meiosten,1,51.16,35.18,80,x
meiosten,2,75.32,51.19,80,x
meiosten,3,95.8,61.03,80,x
melihaye,1,58.67,31.97,80,x
melihaye,2,58.53,33.24,80,x
melihaye,3,52.29,30.31,80,x
miscaila,1,58.5,43.08,80,x
miscaila,2,121.06,90.69,80,x
miscaila,3,83.36,59.75,80,x
miscanod,1,67.61,62.62,80,x
miscanod,2,36.31,30.24,80,x
miscanod,3,47.52,41.5,80,x
miscaust,1,106.5,77,80,x
miscaust,2,61.14,41.08,80,x
miscaust,3,134.82,88.78,80,x
misclaut,1,90.85,56.94,110,x
miscpyri,1,115.9,81.73,110,x
miscpyri,2,58.3,39.84,110,x
miscpyri,3,67.42,46.05,110,x
miscpyri,4,65.42,41.89,110,x
murrovat,1,42.75,42.59,80,x
murrovat,2,65.47,62.02,80,x
murrovat,3,20.57,19.45,80,x
murrovat,4,27.51,24.46,80,x
myrshowi,1,68.81,41.21,80,x
myrsvari,1,65.36,48.19,80,x
neoldeal,1,68.01,42.09,80,x
neoldeal,2,64.72,34.2,80,x
neoldeal,3,72.68,46,80,x
niemchar,1,44.04,30.16,80,x
niemchar,2,67.95,44.97,80,x
niemchar,3,120.6,80.13,80,x
niemchar,4,82.44,57.97,80,x
notejohn,1,66.86,60.52,80,x
notejohn,2,69.28,58.25,80,x
notejohn,3,74.92,61.09,80,x
notejohn,4,73.42,51.1,80,x
notelong,1,88.12,65.63,80,x
notelong,2,85.55,65.84,80,x
notelong,3,63.14,50.61,80,x
oleapani,1,72.9,56.2,110,x
oritexce,1,110.11,68.6,80,x
oritexce,2,52.85,33.41,80,x
oritexce,3,64.14,42.18,80,x
owenveno,1,56.96,47.54,80,x
owenveno,2,63.47,54.73,80,x
owenveno,3,46.98,40.71,80,x
paraprui,1,105.14,44.38,80,x
paraprui,2,128.82,75.31,80,x
paveaust,1,110.57,79.1,80,x
paveaust,2,64.79,45.51,80,x
paveaust,3,98,68.02,80,x
penncunn,1,109.54,52.38,80,x
penncunn,2,107.71,49.42,80,x
penncunn,3,80.83,35.18,80,x
pentaust,1,75.96,60.1,80,x
pentaust,2,53.53,39.74,80,x
pentaust,3,94.17,69.43,80,x
phalcher,2,49.05,25.65,80,x
phalcher,3,67.02,29.06,80,x
phylsaur,1,66.6,49.58,80,x
phylsaur,2,53.63,39.33,80,x
phylsaur,3,59.99,43.75,80,x
phylsaur,4,55.46,38.95,80,x
piliglab,1,66.99,45.14,80,x
piliglab,2,57.62,35.01,80,x
piliglab,3,71.68,41.27,80,x
pittlanc,4,64.52,43.42,80,x
pittmult,1,47.65,37.39,80,x
pittmult,2,51.28,36.52,80,x
pittmult,3,43.75,30.54,80,x
pittspin,1,68.3,51.15,80,x
pittspin,2,45.55,33.93,80,x
pittspin,3,99.92,69.75,80,x
pittvisc,1,54.41,37.51,80,x
planaust,1,116.25,84.21,80,x
planaust,2,87.64,64.82,80,x
planaust,3,88.53,65.64,80,x
planpohl,1,54.24,40.99,80,x
planpohl,2,95.42,63.06,80,x
pleiquee,2,54.4,30.99,110,x
pleiquee,1,108.79,69.45,110,x
pleiquee,3,62.6,35.62,110,x
pleuoppo,1,52.48,40.05,80,x
pleuoppo,2,67.73,47.33,80,x
pleuoppo,3,59.49,41.38,80,x
polycunn,1,51.81,31.51,80,x
polycunn,2,54.97,32.14,80,x
polycunn,3,52,32.87,80,x
polyeleg,1,80.99,35.31,80,x
polyniti,1,68.01,39.51,110,x
pseulach,1,72.96,44.04,80,x
pseulach,2,84.4,51.46,80,x
pseulach,3,45.88,29.47,80,x
psycdaph,2,52.59,34.93,80,x
psycdaph,3,57.35,37.88,80,x
psycdaph,4,89.23,55.3,80,x
psycsimm,1,57.9,30.62,80,x
psycsimm,2,53.86,31.69,80,x
psycsimm,3,36.57,21.38,80,x
quinverd,1,88.71,43.56,80,x
quinverd,2,55.57,25.62,80,x
quinverd,3,112.68,51.2,80,x
rhodacum,1,55.35,43.09,110,x
rhodarge,1,47.72,31.97,80,x
rhodarge,2,70.93,47.06,80,x
rhodarge,3,64.32,43.04,80,x
rhoddumi,1,79.75,56.75,80,x
rhoddumi,2,75.39,45.73,80,x
rhodglab,1,46.91,36.6,110,x
rhodglab,2,88.3,67.08,110,x
rhodglab,3,39.2,30.05,110,x
rhodrhod,1,88.1,53.77,80,x
rhodrhod,2,107.81,76.13,80,x
rhodrhod,3,95.74,56.84,80,x
rhodrube,1,68.64,47.12,80,x
rhodrube,2,42.8,28.24,80,x
rhodrube,3,51.35,32.65,80,x
rhodrube,4,43.35,23.62,80,x
rhodspgl,1,101.25,69.92,80,
rhysbifo,1,83.73,63.33,80,x
rhysbifo,2,55.2,40.56,80,x
rhysbifo,3,63.59,43.6,80,x
sarcsimp,1,55.89,45.38,80,x
sarcsimp,2,77.63,61.2,80,x
sarcsimp,3,37.99,29.34,80,x
sarcstip,1,78.61,57.87,80,x
sarcstip,2,90.61,65.11,80,x
sarcstip,3,74.05,51.26,80,x
schiovat,1,100.2,50.69,110,x
schiovat,2,72.24,43.07,110,x
schiovat,3,95.41,55.98,110,x
scolbrau,1,49.95,35.46,80,x
scolbrau,2,53.57,41.97,80,x
scolbrau,3,58.22,38.18,80,x
siphaust,1,43.28,29.71,80,x
siphaust,2,226.29,149.89,80,x
siphaust,3,67.01,46.02,80,x
siphaust,4,87.63,57.72,80,x
sloaaust,1,64.53,29.23,80,x
sloaaust,2,62.82,33.27,80,x
sloaaust,3,61.35,30.74,80,x
sloawool,1,72.63,39.33,80,x
sloawool,2,94.45,47.63,80,x
sloawool,3,81.17,36.37,80,x
sloawool,4,49.68,21.61,80,x
solainaq,1,74.23,37.6,80,x
solainaq,2,70.98,35.22,80,x
solainaq,3,57.6,26.1,80,x
stensali,1,134.53,90.05,80,x
stensali,2,143.71,91.97,80,x
stensali,3,61.37,37.72,80,x
stensinu,1,74.09,44.55,80,x
stensinu,2,68.03,40.47,80,x
stensinu,3,80.97,45.88,80,x
sterquad,1,31.88,18.08,80,x
sterquad,2,68.63,26.59,80,x
sterquad,3,44.69,13.5,80,x
sterquad,4,95.42,25.48,80,x
strypsil,1,107.86,83.22,80,x
strypsil,2,74.9,57.59,80,x
strypsil,3,77.27,48.28,80,x
sympstaw,1,37.1,19.48,80,x
sympstaw,2,85.03,43.51,80,x
sympstaw,3,71.46,36.85,80,x
sympthwa,1,58.08,33.11,80,x
synoglan,1,77.6,40.32,80,x
synoglan,2,98.16,48.78,80,x
synoglan,3,42.25,20.96,80,x
syzycory,1,64.58,40.31,80,x
syzycory,2,63.77,36.38,80,x
syzycory,3,84.91,44.93,80,x
syzycory,4,85.52,44.77,80,x
syzycreb,1,54.93,32.18,80,x
syzycreb,2,63.02,33.36,80,x
syzycreb,3,93.26,43.13,80,x
syzyfran,1,112.92,71.63,80,x
syzyfran,2,93.64,57.56,80,
syzyfran,3,79.51,45.63,80,x
syzylueh,4,64.47,43.32,110,
syzylueh,1,87.52,46.1757,110,x
syzylueh,2,47.79,28.8274,110,x
syzylueh,3,55.44,29.5714,110,x
syzyoleo,1,57.82,40.96,80,x
syzyoleo,2,44.61,31.83,80,x
syzyoleo,3,60.44,44.26,80,x
syzyoleo,4,36.17,23.52,80,x
tabepand,1,58.71,36.02,80,x
tabepand,2,67.5,43.66,80,
tapepseu,1,56.7,34.76,110,x
tasminsi,1,51.6,32.29,80,x
tasminsi,2,49.77,29.06,80,x
tasminsi,3,60.83,35.15,80,x
toecdasy,1,52.46,42.98,110,x
toectena,1,56.18,43.92,80,x
toectena,2,53.35,34.87,80,x
toectena,3,83.23,60.98,80,x
tooncili,1,115.02,51.83,80,x
tooncili,2,65.87,28.44,80,x
tooncili,3,81.6,24.49,80,x
trifixor,1,35.02,29.26,80,x
trifixor,2,50.36,38.36,80,x
trifixor,3,54.93,41.04,80,x
triuyoun,1,23.51,19.99,80,x
triuyoun,2,42.54,33.76,80,x
triuyoun,3,54.94,42.77,80,x
triuyoun,4,37.32,28.84,80,x
turrpube,1,88.5,62.49,80,x
turrpube,2,47.86,32.2,80,x
turrpube,3,59.71,39.77,80,x
turrpube,4,97.42,61.31,80,x
vitelign,1,71.11,52.81,80,x
vitelign,2,97.56,72.43,80,x
vitelign,3,113.28,78.32,80,x
vitelign,4,172.42,118.31,80,x
vitemeli,1,40.28,28.13,110,x
wilkaust,1,57.29,37.44,80,x
wilkaust,2,64.47,40.04,80,x
wilkaust,3,73.72,43.95,80,x
wilkhueg,1,50.61,35.2,80,x
wilkhueg,2,85.84,58.07,80,x
wilkhueg,3,67.96,41.9,80,x
wilkmacr,1,60.24,43.17,80,x
wilkmacr,2,80.13,56.38,80,x
wilkmacr,3,72.89,47.62,80,x
xantoppo,1,99.36,81.02,110,x
xantoppo,2,72.4,60.48,110,x
xantoppo,3,69.91,58.89,110,x
xyloterr,1,52.93,34.21,110,x
xyloterr,2,61.5,40,110,x
xyloterr,3,33.53,24.53,110,x
zantbrac,1,86.97,54.62,80,x
zantbrac,2,59.01,34.52,80,x
zantbrac,3,102.26,57.32,80,x
