abbrev,individual_id,sample_id,leaflet_id,leaf_area_mm2,leaf_fresh_mass_g,leaf_dry_mass_g,notes,
alecsubd,4,2,a,1376.08,0.298,0.1853,,
alecsubd,4,2,b,1333.34,0.282,0.1736,,
alecsubd,4,2,c,397.19,0.083,0.0513,,
alecsubd,4,2,d,340.52,0.067,0.0413,,
alecsubd,4,2,e,78.09,0.015,0.0094,,
alecsubd,4,2,f,43.99,0.007,0.0052,,
alecsubd,4,3,rachis,113.58,0.085,0.0529,,
alecsubd,4,3,b,1940.45,0.375,0.2333,,
alecsubd,4,3,a,1894.06,0.371,0.2246,,
alecsubd,4,3,d,521.97,0.094,0.0598,,
alecsubd,4,3,c,336.89,0.06,0.0363,,
alecsubd,4,4,rachis,121.02,0.077,0.0481,,
alecsubd,4,4,b,1237.5,0.262,0.1618,,
alecsubd,4,4,f,84.16,0.016,0.0103,,
alecsubd,4,4,d,484.41,0.094,0.0585,,
alecsubd,4,4,c,427.53,0.078,0.0482,,
alecsubd,4,4,e,87.62,0.015,0.0091,,
alecsubd,4,4,a,1026.93,0.0219,0.0134,suspect,
alstcons,1,1,NA,1474.16,0.208,0.0592,,
alstcons,1,2,NA,1513.58,0.261,0.0821,,
alstcons,1,3,NA,1560.52,0.223,0.0631,,
alstcons,1,4,NA,1666.7,0.264,0.0758,,
alstcons,2,1,NA,1580.34,0.275,0.088,,
alstcons,2,2,NA,1717.5,0.264,0.0845,,
alstcons,2,3,NA,1467.63,0.243,0.0774,,
alstcons,2,4,NA,1483.22,0.23,0.0788,,
alstcons,3,1,NA,1454.04,0.235,0.0783,,
alstcons,3,2,NA,1637.05,0.262,0.0841,,
alstcons,3,3,NA,1675.69,0.278,0.093,,
alstcons,3,4,NA,1803.03,0.291,0.0894,,
alstcons,4,1,NA,1492.25,0.202,0.0642,,
alstcons,4,2,NA,1750.64,0.232,0.0715,,
alstcons,4,3,NA,661.83,0.087,0.0279,,
alstcons,4,4,NA,620.33,0.086,0.0244,,
alyxrusc,1,1,NA,38.44,0.009,0.0059,,
alyxrusc,1,2,NA,50.55,0.014,0.0081,,
alyxrusc,1,3,NA,46.97,0.013,0.0069,,
alyxrusc,1,4,NA,46.5,0.012,0.0068,,
alyxrusc,2,1,NA,52.58,0.016,0.0074,,
alyxrusc,2,2,NA,79.84,0.022,0.0102,,
alyxrusc,2,3,NA,42.58,0.009,0.0048,,
alyxrusc,2,4,NA,64.03,0.017,0.0067,,
alyxrusc,3,1,NA,167.61,0.044,0.0282,,
alyxrusc,3,2,NA,69.03,0.017,0.0105,,
alyxrusc,3,3,NA,58.27,0.014,0.0083,,
alyxrusc,3,4,NA,92.83,0.025,0.0157,,
alyxrusc,4,1,NA,90.99,0.026,0.0178,,
alyxrusc,4,2,NA,59.9,0.011,0.0076,,
alyxrusc,4,3,NA,52.72,0.009,0.0063,,
alyxrusc,4,4,NA,50.7,0.01,0.0059,,
anthniti,1,1,rachis,191.8,0.2614,0.085,,
anthniti,1,1,c,3099.69,0.7766,0.2204,,
anthniti,1,1,b,2638.19,0.6639,0.1869,,
anthniti,1,1,d,2228.22,0.5459,0.1574,,
anthniti,1,1,a,1761.43,0.4175,0.1187,,
anthniti,1,2,rachis,172.22,0.1909,0.0614,,
anthniti,1,2,c,1602.44,0.3809,0.1262,,
anthniti,1,2,b,1701.89,0.3926,0.1284,,
anthniti,1,2,a,1608.11,0.3676,0.1206,,
anthniti,1,2,d,1322.09,0.3001,0.0985,,
anthniti,1,3,rachis,167.21,0.2291,0.0766,,
anthniti,1,3,b,3806.77,0.9589,0.2767,,
anthniti,1,3,c,3071.18,0.7733,0.2194,,
anthniti,1,3,a,2804.99,0.6874,0.2002,,
anthniti,1,3,d,2174.25,0.5269,0.1534,,
anthniti,1,4,rachis,248.1,0.3254,0.1211,,
anthniti,1,4,a,1651.48,0.3917,0.1371,,
anthniti,1,4,f,1134.83,0.2721,0.0921,,
anthniti,1,4,e,2264.3,0.5303,0.1718,,
anthniti,1,4,c,1433.29,0.3418,0.1083,,
anthniti,1,4,d,1518.1,0.3531,0.1144,,
anthniti,1,4,b,2297.82,0.529,0.1726,,
anthniti,2,1,rachis,259.26,0.31,0.1102,,
anthniti,2,1,b,2969.82,0.5043,0.2703,,
anthniti,2,1,c,2326.31,0.4285,0.2022,,
anthniti,2,1,a,2911.48,0.4938,0.2415,,
anthniti,2,1,d,1698.87,0.4609,0.1353,,
anthniti,2,2,rachis,348.6,0.184,0.1396,,
anthniti,2,2,c,3391.73,0.5794,0.3202,suspect,
anthniti,2,2,b,3760.34,0.4399,0.3305,suspect,
anthniti,2,2,d,3494.92,0.3568,0.307,suspect,
anthniti,2,2,a,3009.84,0.2907,0.2588,suspect,
anthniti,2,3,rachis,161.34,0.4043,0.0648,,
anthniti,2,3,c,1905.05,0.9329,0.196,suspect,
anthniti,2,3,b,1505.18,0.9682,0.1479,suspect,
anthniti,2,3,d,1269.82,0.9265,0.1218,suspect,
anthniti,2,3,a,1026.6,0.7603,0.098,suspect,
anthniti,2,4,rachis,213.83,0.33,0.1093,,
anthniti,2,4,b,1731.03,0.8038,0.1998,,
anthniti,2,4,c,1537.89,0.6122,0.1646,,
anthniti,2,4,a,1758.32,0.7556,0.1878,,
anthniti,2,4,d,1673.28,0.4124,0.1705,,
araubidw,1,1,NA,300.17,0.0895,0.0481,,
araubidw,1,2,NA,201.24,0.0588,0.0322,,
araubidw,1,3,NA,247.02,0.0731,0.04,,
araubidw,1,4,NA,300.66,0.0813,0.0443,,
araubidw,2,1,NA,329.12,0.1365,0.0503,,
araubidw,2,2,NA,330.28,0.119,0.0451,,
araubidw,2,3,NA,337.2,0.1302,0.0481,,
araubidw,2,4,NA,317.32,0.1316,0.0487,,
araubidw,3,1,NA,313.23,0.1027,0.038,,
araubidw,3,2,NA,354.58,0.1388,0.0516,,
araubidw,3,3,NA,264.55,0.0878,0.0333,,
araubidw,3,4,NA,303.76,0.1083,0.0394,,
araubidw,4,1,NA,454.08,0.2035,0.0877,,
araubidw,4,2,NA,394.75,0.1644,0.0734,,
araubidw,4,3,NA,316.2,0.1538,0.068,,
araubidw,4,4,NA,398.54,0.1827,0.0819,,
araucunn,1,1,NA,30.37,0.009,0.0042,,
araucunn,1,2,NA,31.38,0.006,0.0031,,
araucunn,1,3,NA,22.2,0.007,0.0034,,
araucunn,1,4,NA,19.42,0.008,0.0039,,
araucunn,2,1,NA,30.4,0.005,0.0029,,
araucunn,2,2,NA,31,0.005,0.0032,,
araucunn,2,3,NA,23.1,0.008,0.0044,,
araucunn,2,4,NA,19.5,0.005,0.0029,,
araucunn,3,1,NA,42.58,0.012,0.0069,,
araucunn,3,2,NA,37.24,0.01,0.0055,,
araucunn,3,3,NA,45.9,0.013,0.0074,,
araucunn,3,4,NA,42.61,0.013,0.0073,,
araucunn,4,1,NA,30.78,0.009,0.0045,,
araucunn,4,2,NA,26.97,0.01,0.004,,
araucunn,4,3,NA,20.27,0.006,0.003,,
araucunn,4,4,NA,27.36,0.008,0.0041,,
argytrif,1,1,rachis,69.73,0.0515,0.0249,,
argytrif,1,1,b,2022.89,0.395,0.2067,,
argytrif,1,1,c,1667.38,0.313,0.1619,,
argytrif,1,1,a,1979.2,0.3752,0.191,,
argytrif,1,2,rachis,96.25,0.074,0.0386,,
argytrif,1,2,b,1685.68,0.3274,0.1839,,
argytrif,1,2,c,1430.18,0.2743,0.1524,,
argytrif,1,2,a,2072.5,0.3892,0.2154,,
argytrif,1,3,rachis,78.68,0.0638,0.0328,,
argytrif,1,3,b,1919.24,0.3274,0.1813,,
argytrif,1,3,a,1881.95,0.317,0.1749,,
argytrif,1,3,c,1557.63,0.2592,0.1429,,
argytrif,1,4,rachis,83.48,0.0841,0.0414,,
argytrif,1,4,c,3391.25,0.7177,0.3705,,
argytrif,1,4,b,3066.41,0.6352,0.3198,,
argytrif,1,4,a,2701.7,0.5321,0.2718,,
argytrif,2,1,rachis,48.247,0.0789,0.0412,,
argytrif,2,1,b,2943.49,0.539,0.3025,,
argytrif,2,1,c,2331.2,0.416,0.236,,
argytrif,2,1,a,3108.92,0.5455,0.3048,,
argytrif,2,2,rachis,132.632,0.1079,0.057,,
argytrif,2,2,b,3909.23,0.6712,0.3703,,
argytrif,2,2,c,3097.08,0.5309,0.2908,,
argytrif,2,2,a,3170.58,0.5381,0.2904,,
argytrif,2,3,rachis,101.7,0.0802,0.0422,,
argytrif,2,3,b,2317.54,0.3927,0.2169,,
argytrif,2,3,c,2426.47,0.4088,0.2245,,
argytrif,2,3,a,2025.29,0.3322,0.1775,,
argytrif,2,4,rachis,80.95,0.0762,0.045,,
argytrif,2,4,c,3146.43,0.5127,0.3052,,
argytrif,2,4,a,2414.84,0.3925,0.233,,
argytrif,2,4,b,2804.2,0.4549,0.2653,,
argytrif,3,1,rachis,46.75,0.0335,0.0163,,
argytrif,3,1,b,2044.31,0.3711,0.1823,,
argytrif,3,1,c,1487.28,0.2611,0.128,,
argytrif,3,1,a,1974.76,0.3417,0.1647,,
argytrif,3,2,rachis,51.17,0.039,0.0203,,
argytrif,3,2,b,1930.36,0.3615,0.1754,,
argytrif,3,2,c,1706.58,0.3194,0.1512,,
argytrif,3,2,a,1669.33,0.306,0.1438,,
argytrif,3,3,rachis,26.28,0.0233,0.0082,,
argytrif,3,3,b,1826.77,0.3326,0.1678,,
argytrif,3,3,a,1289.58,0.2324,0.1171,,
argytrif,3,3,c,1671.96,0.2974,0.1485,,
argytrif,3,4,rachis,51.375,0.0564,0.0295,,
argytrif,3,4,b,3045.6,0.5648,0.3085,,
argytrif,3,4,c,3074.03,0.5827,0.3048,,
argytrif,3,4,a,1875.36,0.3484,0.1818,,
argytrif,4,1,rachis,31.65,0.0306,0.0133,,
argytrif,4,1,b,1131.82,0.195,0.1173,,
argytrif,4,1,a,841.06,0.1436,0.0869,,
argytrif,4,1,c,1081.84,0.1795,0.1046,,
argytrif,4,2,rachis,114.03,0.0935,0.0548,,
argytrif,4,2,b,2201.89,0.4052,0.2402,,
argytrif,4,2,c,1830.16,0.3273,0.1966,,
argytrif,4,2,a,1918.09,0.3426,0.2039,,
argytrif,4,3,rachis,42.6,0.0317,0.0181,,
argytrif,4,3,a,924.92,0.1534,0.0937,,
argytrif,4,3,b,992.71,0.163,0.0993,,
argytrif,4,3,c,711.31,0.1152,0.0694,,
argytrif,4,4,rachis,84.12,0.0679,0.0382,,
argytrif,4,4,c,1984.12,0.331,0.188,,
argytrif,4,4,b,1990.18,0.328,0.1847,,
argytrif,4,4,a,1815.95,0.2991,0.1656,,
backangu,1,1,NA,94.6,0.0203,0.0076,,
backangu,1,2,NA,77.47,0.0181,0.0076,,
backangu,1,3,NA,116.47,0.0281,0.0116,,
backangu,1,4,NA,81.89,0.0192,0.0086,,
backangu,2,1,NA,153.52,0.0359,0.0158,,
backangu,2,2,NA,106.91,0.0253,0.011,,
backangu,2,3,NA,153.42,0.0358,0.0165,,
backangu,2,4,NA,157.14,0.0367,0.0168,,
backangu,3,1,NA,166.06,0.0458,0.0221,,
backangu,3,2,NA,220.39,0.057,0.0269,,
backangu,3,3,NA,247.71,0.0667,0.0298,,
backangu,3,4,NA,248.61,0.0652,0.0285,,
backangu,4,1,NA,150.19,0.0363,0.0174,,
backangu,4,2,NA,136.32,0.0317,0.0151,,
backangu,4,3,NA,112.19,0.0252,0.0116,,
backangu,4,4,NA,117.88,0.027,0.0123,,
baloinop,1,1,NA,3342.2,0.9908,0.3754,,
baloinop,1,2,NA,2265.85,0.7023,0.2575,,
baloinop,1,3,NA,3926.74,1.2351,0.4799,,
baloinop,1,4,NA,2583,0.7885,0.311,,
baloinop,2,1,NA,2553.39,0.7212,0.2478,,
baloinop,2,2,NA,1362.05,0.3816,0.1429,,
baloinop,2,3,NA,2248.57,0.7355,0.2603,,
baloinop,2,4,NA,1235.67,0.3905,0.1352,,
baloinop,3,1,NA,2236.231,0.6805,0.2551,,
baloinop,3,2,NA,2410.58,0.784,0.2733,,
baloinop,3,3,NA,2201.07,0.7028,0.2565,,
baloinop,3,4,NA,1564.77,0.4799,0.1773,,
baloinop,4,1,NA,1905.09,0.5914,0.2315,,
baloinop,4,2,NA,1896.96,0.5901,0.2306,,
baloinop,4,3,NA,1864.13,0.6233,0.2424,,
baloinop,4,4,NA,2065.37,0.6258,0.2139,,
bracdisc,1,1,NA,6976.06,1.0182,0.3392,,
bracdisc,1,2,NA,7035.3,0.804,0.3057,,
bracdisc,1,3,NA,9903.5,1.442,0.5223,,
bracdisc,1,4,NA,7613.38,1.153,0.3721,,
bracdisc,2,1,NA,10264.4,1.4275,0.4525,,
bracdisc,2,2,NA,6473.96,0.893,0.3006,,
bracdisc,2,3,NA,10515.85,1.4455,0.5049,,
bracdisc,2,4,NA,13593.58,2.0325,0.6705,,
bracdisc,3,1,NA,6341.83,1.0191,0.3387,,
bracdisc,3,2,NA,9293.14,1.5153,0.4639,,
bracdisc,3,3,NA,7315.61,1.0661,0.3808,,
bracdisc,3,4,NA,11009.56,1.75,0.5591,,
bracdisc,4,1,NA,9012.82,1.113,0.3491,,
bracdisc,4,2,NA,5292.15,0.637,0.2071,,
bracdisc,4,3,NA,8530.25,1.087,0.3597,,
bracdisc,4,4,NA,3124.53,0.359,0.113,,
bracrupe,1,1,NA,866.18,0.202,0.085,,
bracrupe,1,2,NA,811.16,0.166,0.0696,,
bracrupe,1,3,NA,1634.17,0.395,0.1643,,
bracrupe,1,4,NA,712.92,0.166,0.0721,,
bracrupe,2,1,NA,671.89,0.154,0.0752,,
bracrupe,2,2,NA,632.17,0.142,0.0677,,
bracrupe,2,3,NA,789.36,0.17,0.0804,,
bracrupe,2,4,NA,570.86,0.112,0.0535,,
bracrupe,3,1,NA,481.02,0.128,0.0661,,
bracrupe,3,2,NA,907.9,0.239,0.1212,,
bracrupe,3,3,NA,700.47,0.159,0.0799,,
bracrupe,3,4,NA,539.28,0.152,0.0752,,
bracrupe,4,1,NA,1041.31,0.2715,0.1288,,
bracrupe,4,2,NA,1161.85,0.331,0.1624,,
bracrupe,4,3,NA,658.18,0.1816,0.091,,
bracrupe,4,4,NA,1138.45,0.3114,0.1547,,
bursspin,1,1,NA,18.58,0.001,0.0009,suspect,
bursspin,1,2,NA,24.27,0.001,0.0009,suspect,
bursspin,1,3,NA,19.37,0.003,0.0025,,
bursspin,1,4,NA,25.02,0.003,0.0023,,
bursspin,2,1,NA,42.79,0.005,0.004,,
bursspin,2,2,NA,31.6,0.005,0.0035,,
bursspin,2,3,NA,35.66,0.004,0.0023,,
bursspin,2,4,NA,21.12,0.003,0.0014,,
bursspin,3,1,NA,169.91,0.0337,0.0148,,
bursspin,3,2,NA,132.78,0.0286,0.014,,
bursspin,3,3,NA,187.91,0.0369,0.0165,,
bursspin,3,4,NA,217.25,0.0434,0.0186,,
bursspin,4,1,NA,140.51,0.0371,0.0185,,
bursspin,4,2,NA,130.47,0.0359,0.018,,
bursspin,4,3,NA,135.78,0.0371,0.0174,,
bursspin,4,4,NA,159.29,0.043,0.021,,
capparbo,1,1,NA,1496.4,0.4362,0.1894,,
capparbo,1,2,NA,1541.79,0.4462,0.196,,
capparbo,1,3,NA,1790.71,0.5698,0.2424,,
capparbo,1,4,NA,1566.6,0.4774,0.2042,,
capparbo,2,1,NA,1257.99,0.3924,0.1993,,
capparbo,2,2,NA,1130.08,0.3615,0.1771,,
capparbo,2,3,NA,1081.96,0.3651,0.1791,,
capparbo,2,4,NA,999.64,0.3543,0.1755,,
capparbo,3,1,NA,674.95,0.1904,0.0811,,
capparbo,3,2,NA,605.79,0.1627,0.0634,,
capparbo,3,3,NA,733.48,0.2163,0.0873,,
capparbo,3,4,NA,715.61,0.1991,0.0852,,
capparbo,4,1,NA,1090.91,0.3026,0.1252,,
capparbo,4,2,NA,1454.73,0.3844,0.1609,,
capparbo,4,3,NA,1364.55,0.3643,0.1506,,
capparbo,4,4,NA,1340.27,0.3661,0.1583,,
casemult,1,1,NA,1594.8,0.426,0.1572,,
casemult,1,2,NA,1604.74,0.425,0.1628,,
casemult,1,3,NA,1076.61,0.294,0.1162,,
casemult,1,4,NA,860.89,0.245,0.0968,,
casemult,2,1,NA,1790.66,0.445,0.1728,,
casemult,2,2,NA,1386.48,0.369,0.1444,,
casemult,2,3,NA,1262.9,0.287,0.1118,,
casemult,2,4,NA,1631.62,0.385,0.1509,,
casemult,3,1,NA,1011.83,0.224,0.0934,,
casemult,3,2,NA,1934.41,0.451,0.1765,,
casemult,3,3,NA,1201.63,0.262,0.1108,,
casemult,3,4,NA,1060.85,0.212,0.0841,,
casemult,4,1,NA,2097.55,0.468,0.1834,,
casemult,4,2,NA,1924.82,0.437,0.1807,,
casemult,4,3,NA,1080.43,0.258,0.1027,,
casemult,4,4,NA,1136.97,0.249,0.1005,,
citrmoor,1,1,NA,3024.29,0.6772,0.2327,,
citrmoor,1,2,NA,3209.96,0.5952,0.1959,,
citrmoor,1,3,NA,2431.01,0.4494,0.1514,,
citrmoor,1,4,NA,3862.44,0.7071,0.2397,,
citrmoor,2,1,NA,2670.67,0.6854,0.2259,,
citrmoor,2,2,NA,3092.55,0.6306,0.2181,,
citrmoor,2,3,NA,2406.77,0.481,0.1634,,
citrmoor,2,4,NA,2691.87,0.5624,0.1891,,
citrmoor,3,1,NA,4510.18,0.8266,0.3059,,
citrmoor,3,2,NA,4414.26,0.8063,0.2843,,
citrmoor,3,3,NA,3745.74,0.6398,0.2345,,
citrmoor,3,4,NA,4449.53,0.7724,0.293,,
citrmoor,4,1,NA,4122.65,1.036,0.3588,,
citrmoor,4,2,NA,2649.06,0.7285,0.2471,,
citrmoor,4,3,NA,3199.52,0.771,0.2728,,
citrmoor,4,4,NA,3597.09,0.8858,0.3106,,
claoaust,1,1,NA,2636.27,0.614,0.2168,,
claoaust,1,2,NA,2032.83,0.498,0.1817,,
claoaust,1,3,NA,956.8,0.202,0.0737,,
claoaust,1,4,NA,1269.88,0.305,0.0927,,
claoaust,2,1,NA,2274.32,0.492,0.1404,,
claoaust,2,2,NA,2288.2,0.46,0.1036,,
claoaust,2,3,NA,1398.41,0.28,0.0836,,
claoaust,2,4,NA,1097.89,0.214,0.0583,,
claoaust,3,1,NA,1410.42,0.246,0.0873,,
claoaust,3,2,NA,1549.65,0.277,0.0858,,
claoaust,3,3,NA,1354.85,0.226,0.0717,,
claoaust,3,4,NA,1733.81,0.292,0.1015,,
claoaust,4,1,NA,1728.51,0.346,0.1049,,
claoaust,4,2,NA,1877.66,0.358,0.1109,,
claoaust,4,3,NA,1827.55,0.345,0.1046,,
claoaust,4,4,NA,2620.69,0.511,0.1845,,
crotacro,1,1,NA,2634.84,0.7339,0.276,,
crotacro,1,2,NA,2824.13,0.7456,0.2471,,
crotacro,1,3,NA,1599.69,0.3774,0.12,,
crotacro,1,4,NA,2240.1,0.66,0.2458,,
crotacro,2,1,NA,2242.54,0.6533,0.2204,,
crotacro,2,2,NA,3450.76,1.0076,0.3802,,
crotacro,2,3,NA,2014.8,0.5176,0.1515,,
crotacro,2,4,NA,2034.13,0.5542,0.1822,,
crotacro,3,1,NA,2293.02,0.602,0.2196,,
crotacro,3,2,NA,2751.01,0.765,0.2836,,
crotacro,3,3,NA,1539.04,0.432,0.1558,,
