abbrev,individual_id,fresh_vol,dry_mass,drying_temp
planmyrs,1,21.94,17.1,80
planmyrs,2,9.4,7.38,80
planmyrs,3,9.29,7.77,80
planmyrs,4,6.04,5.37,80
polyeleg,1,47.5,17.7624,80
polyeleg,2,75.92,36.9794,80
polyeleg,3,35.45,15.3693,80
psycdaph,1,7.75,5.64,80
myrsvari,1,5.99,4.91,80
rhoddumi,1,4.64,3.1224,80
santlanc,1,10.11,8.8009,80
santlanc,2,9.01,6.8838,80
santlanc,3,7.11,5.8936,80
strebrun,1,19.05,12.28,80
strebrun,2,19.39,12.74,80
strebrun,3,26.68,17.169,80
syzyaust,1,23.05,11.7,80
syzyaust,2,7.52,4.87,80
trifcame,1,22.6,17.81,80
trifcame,2,15.83,13.2592,80
trifcame,2,66.39,51.9691,80
