species,diaspore_type,dispersal_mode,seed_dispersal_uncertain,showy_fruit_no_reward,diaspore_diam_mm_lower,diaspore_diam_mm_upper,mean_diaspore_diam_mm,diaspore_notes,diaspore_measurement_notes,fruit_type,fruit_diam_mm_lower,fruit_diam_mm_upper,fruit_notes,Butler_dispersal_mode,Butler_seed_diam_mm,
Cyclophyllum coprosmoides,drupe,endozoochory,,NA,6,20,13,orange,,drupe,6,20,orange,ae,4,
Cyclophyllum longipetalum,drupe,endozoochory,,NA,10,12,11,orange,,drupe,10,12,orange,ae,4,
Daphnandra apatela,achene,anemochory,,NA,2.5,,2.5,,used Butler,hypanthium,10,,green,wa,2.5,
Decaspermum humile,berry,endozoochory,,NA,3,6,4.5,black,,berry,3,6,black,ae,1.5,
Dendrocnide excelsa,pedicel,endozoochory,,NA,5,,2.5,purple,used Butler,pedicel,5,,purple,ae,2.5,
Dendrocnide photinophylla,pedicel,endozoochory,,NA,5,,2,white,used Butler,pedicel,5,,white,ae,2,
Denhamia bilocularis,seed_aril,endozoochory,,NA,3,,3,orange,used Butler,capsule,6,,yellow,ae,3,
Denhamia celastroides,seed_aril,endozoochory,,NA,3,,3,red,used Butler,capsule,10,15,yellow,ae,3,
Denhamia disperma,seed_aril,endozoochory,,NA,4.5,,4.5,yellow,used Butler,capsule,9,13,yellow,ae,4.5,
Denhamia pittosporoides,seed_aril,endozoochory,,NA,3,,3,orange,used Butler,capsule,12,15,yellow,ae,3,
Dinosperma erythrococcum,seed,endozoochory,,no,2,,2,,used Butler,follicle,4,6,red,eu,2,
Diospyros australis,berry,endozoochory,,NA,8,20,14,black,,berry,8,20,black,ae,7,
Diospyros fasciculosa,berry,endozoochory,,NA,8,10,9,black,,berry,8,10,black,ae,6,
Diospyros geminata,berry,endozoochory,,NA,8,12,10,red,,berry,8,12,red,ae,3,
Diospyros humilis,berry,endozoochory,,NA,8,10,9,yellow,,berry,8,10,yellow,ae,3,
Diospyros pentamera,berry,endozoochory,,NA,8,10,9,red,,berry,8,10,red,ae,6,
Diploglottis australis,seed_aril,endozoochory,,NA,9,,9,orange,used Butler,capsule,15,20,yellow,ae,9,
Doryphora sassafras,achene,anemochory,,NA,3.5,5,4.25,,excluding feathery style,hypanthium,10,20,green,wa,3,
Drypetes deplanchei,drupe,endozoochory,,NA,10,20,15,red,,drupe,10,20,red,ae,8,
Duboisia myoporoides,berry,endozoochory,,NA,5,8,6.5,black,,berry,5,8,black,ae,2,
Dysoxylum fraserianum,seed_aril,endozoochory,,NA,5.5,,5.5,red,used Butler,capsule,10,30,pink,ae,5.5,
Dysoxylum rufum,seed_aril,endozoochory,,NA,5,,5,red,used Butler,capsule,20,30,yellow,ae,5,
Ehretia acuminata,drupe,endozoochory,,NA,4,5,4.5,orange,,drupe,4,5,orange,ae,3,
Ehretia membranifolia,drupe,endozoochory,,NA,3,4,3.5,black,,drupe,3,4,black,ae,2,
Elaeocarpus eumundi,drupe,endozoochory,,NA,15,18,16.5,blue,,drupe,15,18,blue,ae,8,
Elaeocarpus grandis,drupe,endozoochory,,NA,20,30,25,blue,,drupe,20,30,blue,ae,6,
Elaeocarpus kirtonii,drupe,endozoochory,,NA,10,13,11.5,blue,,drupe,10,13,blue,ae,5,
Elaeocarpus obovatus,drupe,endozoochory,,NA,6,12,9,blue,,drupe,6,12,blue,ae,4.5,
Elaeodendron australe,drupe,endozoochory,,NA,12,20,16,red,,drupe,12,20,red,ae,8,
Elattostachys bidwillii,seed_aril,endozoochory,,NA,5,,5,white aril,used Butler,capsule,15,20,pink,ae,5,
Elattostachys nervosa,seed_aril,endozoochory,,NA,6,,6,red aril,used Butler,capsule,12,15,red,ae,6,
Elattostachys xylocarpa,seed_aril,endozoochory,,NA,5,,5,white aril,used Butler,capsule,15,20,yellow,ae,5,
Emmenosperma alphitonioides,drupe,endozoochory,,NA,5,8,6.5,"drupaceous, orange",,drupe,5,8,"drupaceous, orange",ae,3,
Endiandra compressa,berry,endozoochory,,NA,30,40,35,black,,berry,30,40,black,ae,35,
Endiandra crassiflora,berry,endozoochory,,NA,12,25,18.5,black,,berry,12,25,black,ae,6,
Endiandra discolor,berry,endozoochory,,NA,16,26,21,black,,berry,16,26,black,ae,12,
Endiandra hayesii,berry,endozoochory,,NA,10,15,12.5,black,estimated diam,berry,10,15,black,ae,12,
Endiandra lowiana,berry,endozoochory,,NA,40,60,50,red,,berry,40,60,red,ae,36,
Endiandra muelleri,berry,endozoochory,,NA,15,20,17.5,black,estimated diam,berry,15,20,black,ae,15,
Endiandra pubens,berry,endozoochory,,NA,50,60,55,red,,berry,50,60,red,ae,35,
Erythrina numerosa,seed,unknown,,yes,5,,5,red,used Butler,pod,13,24,black,eu,5,
Erythroxylum sp. Splityard Creek,drupe,endozoochory,,NA,4,6,5,red,estimated diam,drupe,4,6,red,ae,3,
Eupomatia laurina,berry,endozoochory,,NA,15,25,20,green,,berry,15,25,green,ae,2,
Euroschinus falcatus,drupe,endozoochory,,NA,5,,5,black,estimated diam,drupe,5,0,black,ae,4,
Everistia vacciniifolia,drupe,endozoochory,,NA,4,7,5.5,black,,drupe,4,7,black,ae,3,
Excoecaria dallachyana,seed,ballistichory,,no,4.6,,4.6,,used Butler,capsule,6,12,brown,un,4.5,
Exocarpus latifolius,drupe,endozoochory,,NA,4,8,6,red,,drupe,4,8,red,ae,5,
Ficus fraseri,fig,endozoochory,,NA,15,20,1,red,used Butler,fig,15,20,red,ae,1,
Ficus henneana,fig,endozoochory,,NA,20,25,1,red,used Butler,fig,20,25,red,ae,1,
Ficus macrophylla,fig,endozoochory,,NA,15,25,1,purple,used Butler,fig,15,25,purple,ae,1,
Ficus obliqua,fig,endozoochory,,NA,6,10,1,orange,used Butler,fig,6,10,orange,ae,1,
Ficus rubiginosa,fig,endozoochory,,NA,8,17,1,red,used Butler,fig,8,17,red,ae,1,
Ficus watkinsiana,fig,endozoochory,,NA,20,30,1,black,used Butler,fig,20,30,black,ae,1,
Flindersia australis,seed,anemochory,,NA,6,,6,,used Butler; excluded 40mm wing,capsule,50,,brown,wa,6,
Flindersia bennettii,seed,anemochory,,NA,4,,4,,used Butler; excluded 40mm wing,capsule,50,,brown,wa,4,
Flindersia collina,seed,anemochory,,NA,4,,4,,used Butler; excluded 20mm wing,capsule,30,,brown,wa,4,
Flindersia schottiana,seed,anemochory,,NA,5,,5,,used Butler; excluded 50mm wing,capsule,50,,brown,wa,5,
Flindersia xanthoxyla,seed,anemochory,,NA,4,,4,,used Butler; excluded 40mm wing,capsule,50,,brown,wa,4,
Floydia praealta,drupe,hoarding,,NA,30,,30,drupe like,used Butler,drupe,30,0,drupe like,un,30,
Fontainea australis,drupe,endozoochory,,NA,15,20,17.5,"drupaceous, red",estimated diam,drupe,15,20,"drupaceous, red",ae,15,
Geijera salicifolia,seed,endozoochory,,no,5,,5,,used Butler,follicle,5,6,green,un,5,
Gmelina leichhardtii,drupe,endozoochory,,NA,15,25,20,purple,,drupe,15,25,purple,ae,7,
Gossia acmenoides,berry,endozoochory,,NA,6,,6,black,,berry,6,0,black,ae,2,
Gossia bidwillii,berry,endozoochory,,NA,5,6,5.5,black,,berry,5,6,black,ae,2,
Gossia hillii,berry,endozoochory,,NA,8,10,9,black,,berry,8,10,black,ae,3,
Gossia punctata,berry,endozoochory,,NA,9,12,10.5,black,,berry,9,12,black,ae,2,
Grevillea helmsiae,seed,anemochory,,NA,5,,5,,used Butler,follicle,20,,brown,wa,5,
Grevillea hilliana,seed,anemochory,,NA,5,,5,,used Butler,follicle,20,,brown,wa,5,
Grevillea robusta,seed,anemochory,,NA,5,,5,,used Butler,follicle,15,,brown,wa,5,
Guilfoylia monostylis,berry,endozoochory,,NA,10,17,13.5,black,,berry,10,17,black,ae,9,
Guioa semiglauca,seed_aril,endozoochory,,NA,6,,6,orange,used Butler,capsule,10,12,red,ae,6,
Halfordia kendack,drupe,endozoochory,,NA,6,15,10.5,black,,drupe,6,15,black,ae,3,
Harpullia alata,seed_aril,endozoochory,,NA,10,,10,orange,used Butler,capsule,15,25,yellow,ae,10,
Harpullia hillii,seed_aril,endozoochory,,NA,8,,8,red,used Butler,capsule,8,20,yellow,ae,8,
Harpullia pendula,seed,endozoochory,,yes,8,,8,,used Butler,capsule,13,25,yellow,eu,8,
Hedraianthera porphyropetala,seed_aril,endozoochory,,NA,4,,4,white aril,used Butler,capsule,15,25,green,ae,4,
Helicia glabriflora,drupe,endozoochory,,NA,15,,15,drupaceous; blue,,drupe,15,0,drupaceous; blue,ae,8,
Hibiscus heterophyllus,seed,endozoochory,uncertain,no,4,,4,,estimate,capsule,15,,brown,un,5,
Hodgkinsonia ovatiflora,drupe,endozoochory,,NA,4,6,5,,estimated diam,drupe,4,6,green,ae,1.5,
Homalanthus populifolius,seed_aril,endozoochory,,NA,4,,4,yellow,used Butler,capsule,6,9,purple,ae,4,
Homalium alnifolium,seed,anemochory,uncertain,no,1,,1,,used Butler,capsule,3,,brown,un,1,
Hymenosporum flavum,seed,anemochory,,NA,4,,4,,used Butler,capsule,25,35,black,wa,4,
Ixora beckleri,drupe,endozoochory,,NA,8,12,10,black,,drupe,8,12,black,ae,3,
Ixora queenslandica,drupe,endozoochory,,NA,8,11,9.5,black,,drupe,8,11,black,ae,4,
Jagera pseudorhus,seed_aril,endozoochory,,NA,4,,4,orange,used Butler,capsule,14,18,yellow,ae,4,
Karrabina benthamiana,seed,anemochory,,NA,2,,2,,used Butler,capsule,5,10,brown,wa,2,
Lenwebbia prominens,berry,endozoochory,,NA,9,19,14,black,,berry,9,19,black,ae,2.5,
Litsea australis,berry,endozoochory,,NA,13,17,15,black,,berry,13,17,black,ae,8,
Litsea reticulata,berry,endozoochory,,NA,10,14,12,black,,berry,10,14,black,ae,8,
Macadamia integrifolia,follicle,hoarding,,NA,25,35,30,green,,follicle,25,35,green,un,20,
Macadamia ternifolia,follicle,hoarding,,NA,15,20,17.5,green,,follicle,15,20,green,un,12,
Mallotus claoxyloides,seed,myrmecochory,uncertain,no,4,,4,,used Butler,capsule,6,8,grey,un,4,
Mallotus discolor,capsule,endozoochory,,NA,6,10,8,yellow,,capsule,6,10,yellow,eu,3,
Mallotus philippensis,seed,endozoochory,,NA,3,,3,,used Butler,capsule,4,9,red,eu,3,
Medicosma cunninghamii,seed,myrmecochory,,no,1,,1,,used Butler,follicle,5,7,brown,un,1,
Medicosma forsteri,seed,myrmecochory,,no,1,,1,,used congener,follicle,5,7,brown,un,1,
Meiogyne stenopetala,berry,endozoochory,,NA,10,,10,yellow,diam estimate based on individual fruit,berry,10,0,yellow,ae,8,
Melicope hayesii,seed_aril,endozoochory,,no,4,,4,black aril,used Butler,follicle,4,6,brown,un,3,
Melicope micrococca,seed_aril,endozoochory,,no,4,,4,black aril,used Butler,follicle,4,6,green,un,3,
Micromelum minutum,berry,endozoochory,,NA,8,10,9,orange,,berry,8,10,orange,ae,3,
Mischarytera lautereriana,seed_aril,endozoochory,,NA,10,,10,orange,used Butler,capsule,10,25,green,ae,10,
Mischocarpus ailae,seed_aril,endozoochory,,NA,6,,6,orange,used Butler,capsule,10,15,orange,ae,6,
Mischocarpus anodontus,seed_aril,endozoochory,,NA,8,,8,purple,used Butler,capsule,10,20,orange,ae,8,
Mischocarpus australis,seed_aril,endozoochory,,NA,6,,6,purple,used Butler,capsule,5,12,red,ae,6,
Mischocarpus pyriformis,seed_aril,endozoochory,,NA,6,,6,red,used Butler,capsule,15,20,yellow,ae,6,
Murraya ovatifoliolata,berry,endozoochory,,NA,6,8,7,red,estimated diam,berry,6,8,red,ae,4,
Myrsine howittiana,drupe,endozoochory,,NA,5,7,6,blue,,drupe,5,7,blue,ae,5,
Myrsine variabilis,drupe,endozoochory,,NA,4,6,5,blue,,drupe,4,6,blue,ae,4,
Neolitsea australiensis,berry,endozoochory,,NA,12,20,16,black,,berry,12,20,black,ae,8,
Neolitsea dealbata,berry,endozoochory,,NA,9,11,10,black,,berry,9,11,black,ae,5,
Niemeyera chartacea,berry,endozoochory,,NA,15,20,17.5,black,estimated diam,berry,15,20,black,ae,8,
Notelaea johnsonii,drupe,endozoochory,,NA,7,10,8.5,black,estimated diam,drupe,7,10,black,ae,6,
Notelaea longifolia,drupe,endozoochory,,NA,10,15,12.5,black,,drupe,10,15,black,ae,7,
Notelaea microcarpa,drupe,endozoochory,,NA,5,10,7.5,black,,drupe,5,10,black,ae,4,
Olea paniculata,drupe,endozoochory,,NA,8,12,10,black,,drupe,8,12,black,ae,4.5,
Orites excelsus,seed,anemochory,,NA,5,,5,,used Butler,follicle,15,,brown,wa,5,
Owenia cepiodora,drupe,endozoochory,,NA,15,20,17.5,red,,drupe,15,20,red,ae,10,
Owenia venosa,drupe,endozoochory,,NA,20,30,25,red,,drupe,20,30,red,ae,8,
Pararchidendron pruinosum,seed,endozoochory,,yes,5,,5,,used Butler,pod,10,20,orange,ae,5,
Pavetta australiensis,drupe,endozoochory,,NA,6,8,7,black,,drupe,6,8,black,ae,3,
Pennantia cunninghamii,drupe,endozoochory,,NA,10,15,12.5,black,,drupe,10,15,black,ae,7,
Pentaceras australis,samara,anemochory,,NA,5,,5,,used Butler,samara,5,,,wa,5,
Phaleria chermsideana,drupe,endozoochory,,NA,11,15,13,red,,drupe,11,15,red,ae,6,
Phyllanthus sauropodoides,seed,endozoochory,uncertain,no,1,,1,,used Butler,capsule,6,7,green,un,1,
Pilidiostigma glabrum,berry,endozoochory,,NA,10,15,12.5,black,,berry,10,15,black,ae,4,
Pittosporum lancifolium,berry,endozoochory,,NA,6,10,8,capsule-like; black,,berry,6,10,capsule-like; black,ae,2,
Pittosporum multiflorum,berry,endozoochory,,NA,6,10,8,orange,,berry,6,10,orange,ae,4,
Pittosporum revolutum,seed,endozoochory,,NA,2,,2,red,used Butler,capsule,15,25,yellow,ae,2,
Pittosporum spinescens,berry,endozoochory,,NA,15,50,32.5,orange,,berry,15,50,orange,ae,2.5,
Pittosporum undulatum,seed,endozoochory,,NA,1,,1,red,used Butler,capsule,8,20,yellow,ae,1,
Pittosporum viscidum,berry,endozoochory,,NA,8,12,10,black,,berry,8,12,black,ae,2,
