species,family,Growth form,mean leaf area (cm2),dry matter content (%),SLA (mm2/mg),presence of hair on adult leaves,presence of hair on juvenile leaves,presence of spines on vegetative parts of plant,latitude,longitude
Cardwellia sublimis,Proteaceae,Tree,41.20453333,40.4929767,7.666978558,0,0,0,-16.10325,145.4461667
Dysoxylum papuanum,Meliaceae,Tree,32.5075,36.10583248,13.16093117,0,0,0,-16.10325,145.4461667
Syzygium sayeri,Myrtaceae,Tree,53.745375,38.55988123,9.197069519,0,0,0,-16.10325,145.4461667
Eucalyptus platyphylla,Myrtaceae,Tree,45.1098,47.36307171,7.170529328,0,0,0,-19.33671667,146.75485
Heteropogon triticeus,Poaceae,Herb,2.2880625,44.70251352,13.02811388,0,,0,-19.33671667,146.75485
Panicum decompositum,Poaceae,Herb,1.451777778,43.79284082,11.36173913,0,,0,-19.33671667,146.75485
Themeda triandra,Poaceae,Herb,1.243214286,54.10199557,13.24736534,1,,0,-19.33671667,146.75485
Jasminum didymum,Oleaceae,Climber,5.403090909,48.49090102,13.60045767,0,0,0,-19.33205,146.7726
Paraserianthes toona,Fabaceae,Tree,0.131862069,41.57248157,22.60047281,0,0,0,-19.33205,146.7726
Pouteria sericea,Sapotaceae,Tree,11.5781,43.71867293,10.53512284,1,1,0,-19.33205,146.7726
Strychnos lucida,Loganiaceae,Shrub,11.9077,24.18982245,16.24515689,0,0,1,-19.33205,146.7726
Eucalyptus radiata radiata ,Myrtaceae,Tree,28.9821,45.28189202,7.644974941,0,0,0,-38.42978333,144.92245
Eucalyptus baxteri,Myrtaceae,Tree,38.8057,42.59481038,6.061496407,0,0,0,-38.42978333,144.92245
Pteridium esculentum,Dennstaedtiaceae,Shrub,2.5706,38.56698958,6.091469194,0,0,0,-38.42978333,144.92245
Xanthorrhoea minor,Xanthorrhoeaceae,Shrub,3.224666667,37.80359029,1.801489758,0,0,1,-38.42978333,144.92245
Eucalyptus radiata radiata ,Myrtaceae,Tree,33.4505,49.02886062,4.665992468,0,0,0,-38.00965,145.6197167
Gahnia radula,Cyperaceae,Herb,6.727375,59.55400087,4.939335536,1,,0,-38.00965,145.6197167
Austrostipa muelleri,Poaceae,Herb,1.866333333,39.7634196,3.494279903,0,,0,-38.00965,145.6197167
Joycea pallida,Poaceae,Herb,0.9296,43.87614679,4.859383168,0,,0,-38.00965,145.6197167
Heritiera actinophylla,Malvaceae,Tree,37.07723077,38.42807525,13.96306019,0,0,0,-28.21913333,153.1272
Heritiera trifoliatum,Malvaceae,Tree,20.56777778,49.76285692,11.01849173,0,0,0,-28.21913333,153.1272
Baloghia inophylla,Euphorbiaceae,Tree,65.769625,34.70422241,7.922858003,0,0,0,-28.21913333,153.1272
Doryphora sassafrass,Atherospermataceae,Tree,18.4332,32.92,11.19878493,0,0,0,-28.21913333,153.1272
Callitris endlicheri,Cupressaceae,Tree,0.3051,42.3572744,4.42173913,0,0,0,-29.81518333,151.1209667
Alphitonia excelsa,Rhamnaceae,Shrub,14.9071,42.04703872,7.97171123,1,1,0,-28.08541667,151.72905
Corymbia maculata,Myrtaceae,Tree,27.09225,45.23845802,7.300033681,0,0,0,-28.08541667,151.72905
Einadia hastata,Amaranthaceae,Shrub,1.2105,19.69740223,17.54347826,0,0,0,-28.08541667,151.72905
Olearia elliptica,Asteraceae,Shrub,6.9068,36.7969061,10.67511592,0,0,0,-28.08541667,151.72905
Bossiaea eriocarpa,Fabaceae,Shrub,3.6377,48.60426929,12.28952703,0,0,1,-32.02021667,116.0435667
Eucalyptus marginata,Myrtaceae,Tree,24.6295,41.67040191,8.83094299,0,0,0,-32.02021667,116.0435667
Macrozamia riedlei,Zamiaceae,Shrub,13.31366667,48.73792009,3.546108316,0,0,0,-32.02021667,116.0435667
Xanthorrhoea preissii,Xanthorrhoeaceae,Shrub,3.5812,31.47656941,2.011910112,0,0,0,-32.02021667,116.0435667
Adenanthos cygnorum,Proteaceae,Tree,1.0739,37.890625,5.53556701,1,1,0,-31.68866667,115.8855167
Banksia attenuata,Proteaceae,Tree,4.8963,44.71050751,3.913908873,1,1,0,-31.68866667,115.8855167
Eremaea pauciflora,Myrtaceae,Shrub,0.0607,43.7585,6.935795331,1,1,0,-31.68866667,115.8855167
Regelia inops,Myrtaceae,Shrub,0.0734,50.97538462,11.07623589,0,0,0,-31.68866667,115.8855167
Eucalyptus oblongifolia,Myrtaceae,Tree,40.948,32.58291154,7.595270114,0,0,0,-42.90863333,155.6333333
Pteridium esculentum,Dennstaedtiaceae,Shrub,3.3962,39.15126626,5.937412587,0,0,0,-42.90863333,155.6333333
Pultenaea juniperina,Fabaceae,Shrub,0.1612,29.57746479,7.676190476,0,0,1,-42.90863333,155.6333333
Pultenaea obcordata,Fabaceae,Shrub,0.9619,30.53691275,10.57032967,1,1,0,-42.90863333,155.6333333
Anopterus glandulosus,Escalloniaceae,Shrub,23.2142,23.56119628,12.38090667,0,0,0,-42.67931667,146.6689833
Atherosperma moschatum,Atherospermataceae,tree,15.1517,32.63297872,12.34857376,1,1,0,-42.67931667,146.6689833
Dicksonia antarctica,Dicksoniaceae,Shrub,3.73,37.45762712,16.87782805,0,0,0,-42.67931667,146.6689833
Nothofagus cuninghamii,Fagaceae,tree,0.7754,46.93877551,11.23768116,0,0,0,-42.67931667,146.6689833
Eucalyptus incrassata,Myrtaceae,Tree,14.3039,50.41869523,2.762437234,0,0,0,-35.23505,139.1322333
Lepidosperma laterale,Cyperaceae,Herb,2.1305,52.56410256,3.056671449,0,0,0,-35.23505,139.1322333
Melaleuca uncinata,Myrtaceae,Shrub,0.3244,50.41666667,2.680991736,0,0,0,-35.23505,139.1322333
Atriplex stipitata,Amaranthaceae,Shrub,0.4761,43.97163121,7.679032258,1,1,0,-34.34738333,139.5173667
Eucalyptus oleosa,Myrtaceae,Tree,8.0616,52.53259779,3.848019093,0,0,0,-34.34738333,139.5173667
Sclerolaena obliquicuspis,Amaranthaceae,Shrub,0.0752,22.80701754,5.784615385,1,1,1,-34.34738333,139.5173667
Zygophyllum aeremeum,Zygophyllaceae,Shrub,0.2403,36.03603604,3.00375,0,0,0,-34.34738333,139.5173667
Eucalyptus leptophylla,Myrtaceae,Tree,3.7588,45.45002486,4.112472648,0,0,0,-34.31963333,139.5025833
Eucalyptus socialis,Myrtaceae,Tree,8.9234,47.00495994,3.62150974,0,0,0,-34.31963333,139.5025833
Triodia irritans,Poaceae,Herb,1.9329,62.72141707,2.481258023,0,0,1,-34.31963333,139.5025833
Prostanthera aspalathoides,Myrtaceae,Shrub,0.0397,56.25,4.411111111,0,0,0,-34.31963333,139.5025833
Eucalyptus cosmophylla,Myrtaceae,Shrub,23.3633,48.97891306,3.173068043,0,0,0,-35.34095,138.7398333
Allocasuarina muelleriana,Casuarinaceae,Shrub,0.5344,49.30555556,3.763380282,0,0,0,-35.34095,138.7398333
Pultenaea pedunculata,Fabaceae,Shrub,0.0594,60,6.6,0,0,0,-35.34095,138.7398333
