Species,Date,Temp,CO2,Potnum,MeasTemp,Time.x,A_sat_umol_per_m2_s1,Cond_at_A_sat_mol_per_m2_s1,Ci_at_A_sat_ppm,Trans_at_A_sat_mmol_per_m2_s1,Time.y,A_max_umol_per_m2_s1,Cond_at_A_max_mol_per_m2_s1,Ci_at_A_max_ppm,Trans_at_A_max_mmol_per_m2_s1,CO2R,LA (cm2),Height (cm),Basaldia (mm),LeafDW (g),StemDW (g),RootDW (g),LMA (g m-2),LAR (m2 kg-1),age_at_harvest,Water,RootShoot,Leafnum,LAR m2 kg-1),Basaldia1 (mm),Basaldia2 (mm),Tipdia1 (mm),Tipdia2 (mm),Branchnum,Mainstemnum,Primarybranchnum,Secondarybranchnum,Tertiarybranchnum,leaf_area_cm2_one_leaf,leaf_dry_mass_g_one_leaf,LMA_g_m2_one_leaf,LSolSugA (g m-2),LStarchA (g m-2),LSolPro (g m-2),ChlAandB (umol m-2),ChlAB,LeafpercentN (%),LeafpercentC (%),harvest_age,sample_temp,context
Eucalyptus saligna,2/04/2008,Amb,280,143,28,43696,17.8,0.444,295,5.54,12:18:21,28.1,0.41,1300,5.43,1499.44,6606,110,NA,23.91,22.36,11.68,36.34,NA,150_days,Wet,0.25,462,11.3,9.99,9.93,1.94,3.06,49,NA,30,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Amb_temp_and_280_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus saligna,2/04/2008,Amb,280,151,28,54138,18.6,0.265,245,4.7,15:12:29,27.9,0.141,1080,3.03,1499.18,6724,119,NA,25.54,23.13,19.77,37.98,NA,150_days,Wet,0.4,635,9.7,9.76,11.28,2.19,2.41,52,NA,33,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Amb_temp_and_280_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus saligna,2/04/2008,Amb,280,153,28,49161.5,16.9,0.3115,269.5,4.815,12:57:14,25.3,0.107,1030,2.35,1500.26,6465,95,NA,23.09,16.6,31.44,35.84,NA,150_days,Wet,0.78,413,9,9.54,10.97,1.61,2.46,39,NA,25,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Amb_temp_and_280_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus saligna,2/04/2008,Amb,280,159,28,34643,16.6,0.265,260,4.18,09:47:35,25.6,0.341,1290,4.53,1498.58,6642,106,NA,22.14,16.06,12.6,33.37,NA,150_days,Wet,0.33,652,13,9.88,9.92,1.52,1.97,84,NA,28,56,0,20.54,0.0729,35.49,1.64,2.4,NA,NA,NA,3.7573,47.02,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Amb_temp_and_280_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus saligna,2/04/2008,Amb,400,44,28,44443.5,15.775,0.28075,269.5,4.6525,12:44:13,26.2,0.31,1270,4.95,1501.17,3976,109,NA,13.27,15.28,11.64,33.38,NA,150_days,Wet,0.4,314,9.8,10.46,10.57,1.33,2.16,37,NA,32,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Amb_temp_and_400_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus saligna,2/04/2008,Amb,400,71,28,53176.25,12.875,0.2545,283.75,4.6899999999999995,15:09:57,20.9,0.124,1140,2.75,1500.63,5907,124,NA,24.32,30.77,34.56,41.35,NA,150_days,Wet,0.62,481,6.5,14.77,14.06,1.81,3.24,64,NA,28,36,0,NA,NA,NA,NA,NA,3.25,243.45,1.97,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Amb_temp_and_400_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus saligna,2/04/2008,Amb,400,72,28,33974.75,13.875,0.331,299,4.8725,09:49:57,25.7,0.322,1290,4.63,1499.81,3238,90,NA,14.49,15.68,33.63,44.89,NA,150_days,Wet,1.1,253,5,10.6,10.16,1.7,2.62,35,NA,22,13,0,NA,NA,NA,NA,NA,4.32,258.7,2.27,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Amb_temp_and_400_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus saligna,2/04/2008,Amb,400,74,28,51096,13.225,0.20725,262.75,4.1825,14:35:13,23.8,0.171,1180,3.63,1500.75,5350,127,NA,19.79,25.03,19.7,37.1,NA,150_days,Wet,0.43,438,8.2,13.04,12.41,2.07,2.6,47,NA,26,21,0,NA,NA,NA,NA,NA,4.58,357.44,1.95,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Amb_temp_and_400_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus saligna,2/04/2008,Amb,400,79,28,42290.5,13.15,0.2495,281,4.1775,12:08:23,21.8,0.226,1260,3.96,1500.61,4491,104,NA,18.34,17.42,20.62,40.93,NA,150_days,Wet,0.57,347,7.9,11.54,12.28,1.78,3.29,32,NA,24,8,0,11.63,0.0523,44.97,3.04,1.87,NA,NA,NA,2.7117,48.63,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Amb_temp_and_400_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus saligna,31/03/2008,Elv,400,360,28,38546.25,15.125,0.40525,305.75,4.215,11:08:18,23.1,0.421,1640,4.1,1800.59,6953,134,NA,31.15,34.14,26.07,44.87,NA,150_days,Wet,0.38,674,7.4,12.25,12.22,2.03,1.68,96,NA,37,59,0,NA,NA,NA,NA,NA,2.08,502.33,1.69,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Elv_temp_and_400_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus saligna,31/03/2008,Elv,400,361,28,45716,17,0.516,310,4.89,12:52:28,26.4,0.448,1620,4.23,1798.97,6184,127,NA,25.78,25.51,32.91,41.75,NA,150_days,Wet,0.63,563,7.2,10.99,11.09,1.99,2.72,93,NA,33,60,0,17.4,0.0779,44.77,4.82,5.7,NA,NA,NA,2.8257,48.37,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Elv_temp_and_400_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus saligna,31/03/2008,Elv,400,375,28,54562,17.175,0.6,316.75,5.83,15:34:10,23.1,0.488,1640,5,1799.78,7598,127,NA,34.88,31,45.28,45.98,NA,150_days,Wet,0.68,624,6.8,10.77,10.91,2.15,3,44,NA,30,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Elv_temp_and_400_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus saligna,31/03/2008,Elv,400,379,28,52555.5,9.2025,0.1363,244.75,2.025,14:59:12,16.1,0.177,1580,2.68,1801.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.09,0.0731,55.84,4.63,6.68,1.99,278.27,1.57,1.9313,47.64,,measurements_made_at_28_deg_C,grown_at_Elv_temp_and_400_ppm_CO2_and_measurements_made_at_28_deg_C
Eucalyptus saligna,31/03/2008,Elv,400,380,28,42764.25,16,0.35150000000000003,290.75,3.9425,11:41:50,26.2,0.375,1590,5.49,1799.61,9462,151,NA,37.32,35.75,31.46,39.39,NA,150_days,Wet,0.42,1027,8.9,11.83,12.02,1.81,3,123,NA,39,84,0,NA,NA,NA,NA,NA,3.35,499.78,1.83,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Elv_temp_and_400_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus saligna,31/03/2008,Elv,640,514,28,39315,14.3,0.351,300,4.33,11:05:19,20.1,0.334,1620,4.55,1799.46,8564,140,NA,36.7,38.03,22.37,42.89,NA,150_days,Wet,0.29,1535,8.6,13,13.02,1.65,2.87,210,NA,47,162,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Elv_temp_and_640_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus saligna,31/03/2008,Elv,640,521,28,43030,15.8,0.368,294,4.18,12:07:17,25.7,0.299,1580,3.64,1799.64,6373,115,NA,32.61,29.34,35.44,51.18,NA,150_days,Wet,0.56,685,6.5,13.78,13.69,1.67,3.28,91,NA,35,56,0,18.67,0.0833,44.62,3.49,8.23,NA,NA,NA,2.2823,47.58,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Elv_temp_and_640_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus saligna,31/03/2008,Elv,640,528,28,51128,12.6,0.269,295,2.81,14:22:18,18.1,0.234,1600,3.41,1800.07,8356,160,NA,35.57,39.28,41.06,42.55,NA,150_days,Wet,0.54,935,7.1,13.14,13.99,1.45,2.5,117,NA,50,67,0,9.23,0.0556,60.24,3.44,9.8,NA,NA,NA,1.973,47.45,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Elv_temp_and_640_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus saligna,31/03/2008,Elv,640,547,28,44814,21,0.671,307,5.19,12:36:55,31.4,0.596,1620,5.51,1799.84,8132,148,NA,31.97,40.36,49.51,39.29,NA,150_days,Wet,0.66,1269,6.6,14.42,14.53,1.61,3.08,163,NA,38,125,0,11.93,0.0541,45.35,3.17,11.46,NA,NA,NA,1.9893,47.04,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Elv_temp_and_640_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus saligna,31/03/2008,Elv,640,585,28,53302,16,0.327,285,4.13,14:58:30,25.8,0.225,1530,2.79,1799.77,8451,170,NA,39.64,41.86,30.13,46.88,NA,150_days,Wet,0.37,331,7.5,13.78,13.13,1.78,2.87,36,NA,34,2,0,NA,NA,NA,NA,NA,1.05,400.38,2.16,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Elv_temp_and_640_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus sideroxylon,1/04/2008,Elv,400,314,28,45278,24.95,0.7484999999999999,331.5,8.6425,13:03:18,33.9,0.694,1390,7.24,1500.04,1107,78,NA,9.4,8.14,10.21,84.67,NA,150_days,Wet,0.58,431,4,7.19,6.56,0.55,0.53,25,1,25,0,0,NA,NA,NA,NA,NA,3.92,24.72,2.16,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Elv_temp_and_400_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus sideroxylon,1/04/2008,Elv,400,317,28,42776.25,26.575,0.502,297.25,7.105,12:22:48,37.1,0.543,1340,7.95,1500.24,1173,117,NA,7.68,10.67,5.81,65.47,NA,150_days,Wet,0.32,410,4.9,6.66,6.97,0.72,0.75,52,1,47,5,0,3.96,0.0277,69.95,10.78,5.01,NA,NA,NA,3.8515,51.69,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Elv_temp_and_400_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus sideroxylon,1/04/2008,Elv,400,326,28,55124.75,17.675,0.496,329.5,6.3075,15:42:24,29.7,0.449,1350,5.96,1499.97,773,103,NA,5.78,4.56,4.3,74.58,NA,150_days,Wet,0.42,253,5.3,5.4,6.46,0.95,0.72,20,2,20,0,0,NA,NA,NA,NA,NA,4.68,20.8,2.26,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Elv_temp_and_400_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus sideroxylon,1/04/2008,Elv,400,330,28,35202.25,18.9,0.27275,272.5,3.5375,10:13:42,28.9,0.415,1350,4.63,1500.9,1235,111,NA,10.89,12.77,11.14,88.5,NA,150_days,Wet,0.47,376,3.5,7.31,8.92,0.74,0.61,26,1,26,0,0,4.72,0.0355,75.21,7.89,2.8,NA,NA,NA,4.0173,51.92,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Elv_temp_and_400_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus sideroxylon,1/04/2008,Elv,400,350,28,52932.25,18.5,0.49475,328.5,5.7275,15:08:50,23.4,0.466,1390,5.31,1500.84,775,78,NA,6.36,7.22,5.48,82.1,NA,150_days,Wet,0.4,367,4.1,5.83,5.36,0.61,0.62,22,3,19,3,0,3.1,0.0276,89.03,9.01,2.58,NA,NA,NA,3.9487,51.91,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Elv_temp_and_400_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus sideroxylon,2/04/2008,Elv,280,413,28,35210,21.9,0.329,277,4.95,10:00:34,27.6,0.34,1330,4.58,1499.09,831,95,NA,7.88,7.24,6.36,94.27,NA,150_days,Dry,0.42,361,3.8,6.82,5.24,0.81,0.82,26,1,26,0,0,5.9,0.0417,70.68,6.92,4.48,NA,NA,NA,4.4133,49.91,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Elv_temp_and_280_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus sideroxylon,2/04/2008,Elv,280,420,28,55733,21.8,0.342,277,6.5,15:41:45,27.1,0.342,1320,6.05,1500.82,906,96,NA,6.16,6.79,6.11,68.09,NA,150_days,Wet,0.47,222,4.8,6.21,5.65,0.87,0.85,11,1,11,0,0,5.78,0.0286,49.48,2.58,0.29,NA,NA,NA,4.438,51.16,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Elv_temp_and_280_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus sideroxylon,2/04/2008,Elv,280,434,28,45813,16.3,0.238,274,3.8,12:56:27,21.2,0.111,1140,2.16,1500.64,1019,77,NA,6.54,4.07,4.67,64.13,NA,150_days,Wet,0.44,235,6.7,6.37,5.87,0.68,0.72,21,2,21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Elv_temp_and_280_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus sideroxylon,2/04/2008,Elv,280,485,28,53587,26.3,0.478,294,7.78,15:02:06,31.9,0.434,1040,7.43,1200.99,896,62,NA,5.12,2.69,5.11,56.17,NA,150_days,Wet,0.65,399,6.9,5.34,4.27,0.75,0.78,27,3,24,3,0,NA,NA,NA,NA,NA,4.12,28.98,2.15,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Elv_temp_and_280_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus sideroxylon,2/04/2008,Elv,280,491,28,43450,23,0.572,320,7.29,12:16:28,28.1,0.47,1360,6.64,1500.95,914,82,NA,7.6,5.6,5.04,83.32,NA,150_days,Wet,0.38,353,5,6.16,5.94,0.36,0.59,31,1,31,0,0,NA,NA,NA,NA,NA,5.17,23.56,2.44,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Elv_temp_and_280_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus sideroxylon,3/04/2008,Amb,280,106,28,43569,21.1,0.568,311,7.59,12:16:27,24.5,0.532,1370,7.1,1501.09,1212,90,NA,8.5,7.72,5.09,70.15,NA,150_days,Wet,0.31,368,5.7,6.4,6.29,0.46,0.51,34,1,34,0,0,NA,NA,NA,NA,NA,2.8,16.63,1.96,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Amb_temp_and_280_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus sideroxylon,3/04/2008,Amb,280,117,28,52240,35.7,0.688,279,11.8,14:40:39,46.5,0.522,1280,9.54,1500.29,855,84,NA,6.52,6.41,6.11,75.57,NA,150_days,Wet,0.47,376,4.5,6.11,4.62,0.75,0.84,55,4,52,3,0,NA,NA,NA,NA,NA,4.02,21.5,2.29,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Amb_temp_and_280_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus sideroxylon,3/04/2008,Amb,280,120,28,36394,21.5,0.538,297,5.77,10:16:53,28.4,0.54,1340,5.78,1501.31,709,65,NA,3.66,2.88,4.27,50.87,NA,150_days,Wet,0.65,196,6.5,3.67,4.07,0.63,0.54,14,2,14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Amb_temp_and_280_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus sideroxylon,3/04/2008,Amb,280,122,28,45824,22.4,0.335,261,5.8,12:32:01,27.1,0.258,1940,4.44,2202.33,840,67,NA,6.97,4.47,7.76,82.46,NA,150_days,Wet,0.68,208,4.4,5.88,4.3,0.69,0.53,14,1,12,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Amb_temp_and_280_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus sideroxylon,3/04/2008,Amb,280,125,28,52205,21,0.369,272,6.43,14:19:17,27,0.364,1980,6.66,2207.83,898,61,NA,6.45,5.1,6.92,71.78,NA,150_days,Wet,0.59,402,4.8,5.19,4.86,0.65,0.74,35,2,35,0,0,NA,NA,NA,NA,NA,3.95,18.55,1.77,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Amb_temp_and_280_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus sideroxylon,3/04/2008,Amb,400,4,28,44317.75,18.25,0.383,302.5,6.1,12:43:07,27,0.508,1360,7.85,1499.8,1022,57,NA,7.76,5.51,12.89,76.24,NA,150_days,Wet,0.95,294,3.9,6.61,6.3,0.55,0.71,27,2,27,0,0,NA,NA,NA,NA,NA,8.05,19.61,2.76,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Amb_temp_and_400_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus sideroxylon,3/04/2008,Amb,400,33,28,42081.75,15.4,0.24375,282.5,4.0775,12:07:50,35,0.226,1190,4.3,1500.94,522,66,NA,4.51,4.45,4.17,86.57,NA,150_days,Wet,0.46,167,3.9,5.94,5.19,0.6,0.65,14,1,14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Amb_temp_and_400_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus sideroxylon,3/04/2008,Amb,400,34,28,34818.5,21.6,0.3995,296.25,7.3725,10:06:16,46.8,0.425,1270,7.44,1500.58,447,59,NA,3.94,2.08,2.78,88.22,NA,150_days,Wet,0.45,296,5,4.73,4.97,0.67,0.63,27,1,24,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Amb_temp_and_400_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus sideroxylon,3/04/2008,Amb,640,215,28,NA,20.525,0.43374999999999997,289.5,4.7299999999999995,NA,33,0.459,1310,4.94,1499.19,1056,74,NA,13.85,9.71,12.09,131.21,NA,150_days,Dry,0.51,275,3,7.91,6.75,1.01,0.84,36,1,23,13,0,6.23,0.0568,91.17,11.96,4.12,NA,NA,NA,3.858,50.44,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Amb_temp_and_640_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus sideroxylon,3/04/2008,Amb,640,219,28,NA,19.7,0.483,297,4.24,NA,33.7,0.516,1310,4.43,1499.83,1276,78,NA,8.31,8.77,12.38,65.04,NA,150_days,Wet,0.72,347,4.3,7.6,8.07,0.74,0.67,32,1,30,2,0,9.86,0.0622,63.08,8.9,7.37,NA,NA,NA,4.1493,48.65,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Amb_temp_and_640_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
Eucalyptus sideroxylon,3/04/2008,Amb,640,220,28,44188,16.8,0.316,288,5.48,12:26:24,30.3,0.305,1270,5.19,1500,1627,83,NA,11.58,8.02,13.32,71.17,NA,150_days,Wet,0.68,543,4.9,5.38,5.6,0.87,0.84,52,2,52,0,0,NA,NA,NA,NA,NA,4.06,22.09,2.08,NA,NA,harvested_at_150_days,measurements_made_at_28_deg_C,grown_at_Amb_temp_and_640_ppm_CO2_and_measurements_made_at_28_deg_C_and_harvested_at_150_days
