species,Tree,Leaf type,Obs,initial entry,Photosynthesis (umol m-2 s-1),PARi (umol m-2 s-1),Irradiance,Stomatal conductance (mol m-2 s-1),Ci (umol mol-1),Ci/Ca,Transpiration (mmol m-2 s-1),Leaf to air VPD (kPa),Tair (degC),Tleaf (degC),CO2R (umol mol-1),CO2S (umol mol-1),H2OR (mmol mol-1),H2OS (mmol mol-1),RH_R,RH_S,Atmospheric pressure (kPa),Reference air saturation vapor pressure (kPa),Reference air vapor pressure (kPa),Reference air vapor pressure deficit (kPa),sampling_period
Eucalpytus tetradonta,ET2N,expanding,11,11,0.72,1400,saturating,0.109,326,0.905,4.53,4.14,38.54,38.83,362.93,360.12,22.709,27.982,33.37,41.12,100.8,6.825,2.277,4.547,October
Eucalpytus tetradonta,ET2N,expanding,12,12,-2.58,1792,saturating,0.0431,428,1.171,2.27,5.11,38.72,40.65,363.41,365.5,22.841,25.49,33.25,37.1,100.7,6.892,2.291,4.6,October
Eucalyptus tetrodonta,ET3N,mature,13,13,14.3,1872,saturating,0.475,270,0.793,13.2,3.08,39.65,38.94,363.08,340.58,23.741,38.894,32.88,53.86,100.8,7.245,2.382,4.863,October
Eucalyptus tetrodonta,ET3N,mature,14,14,12.5,1866,saturating,0.425,274,0.8,11.9,3.08,39.61,38.62,362.31,342.37,23.964,37.758,33.27,52.42,100.8,7.229,2.405,4.824,October
Eucalyptus tetrodonta,ET3N,mature,15,15,15.1,1969,saturating,0.573,276,0.814,13.2,2.65,39.5,37.68,362.52,339.06,23.337,38.614,32.57,53.9,100.8,7.187,2.341,4.846,October
Eucalpytus tetradonta,ET3N,mature,16,16,9.42,609,limiting,0.441,295,0.85,9.94,2.5,39.28,36.04,362.57,347.11,23.004,34.533,32.51,48.8,100.8,7.102,2.309,4.793,October
Eucalpytus tetradonta,ET3N,mature,17,17,8.43,614,limiting,0.446,301,0.863,9.92,2.47,39.21,35.87,363.18,348.89,22.776,34.284,32.29,48.61,100.8,7.076,2.285,4.791,October
Eucalyptus tetrodonta,ET3N,mature,18,18,12.8,1178,saturating,0.422,273,0.796,11.4,2.96,39.14,37.84,363.27,343.16,22.874,36.062,32.56,51.34,100.8,7.049,2.295,4.754,October
Eucalpytus tetradonta,ET3N,mature,19,19,6.71,556,limiting,0.434,310,0.883,9.85,2.51,39.04,36.01,363.26,351.02,22.888,34.335,32.75,49.13,100.8,7.011,2.296,4.715,October
Eucalpytus tetradonta,ET3N,mature,20,20,7.11,544,limiting,0.407,306,0.873,9.33,2.52,38.94,35.84,363.05,350.6,22.922,33.73,32.98,48.53,100.8,6.974,2.3,4.674,October
Eucalpytus tetradonta,ET3N,mature,21,21,9.01,619,limiting,0.362,293,0.835,8.84,2.65,38.79,35.99,365.22,350.73,22.705,32.938,32.93,47.77,100.8,6.918,2.278,4.64,October
Eucalyptus tetrodonta,ET3N,mature,22,22,11.6,1627,saturating,0.312,265,0.767,9.25,3.15,38.67,37.54,363.48,345.7,22.406,33.132,32.71,48.37,100.8,6.873,2.248,4.625,October
Eucalyptus tetrodonta,ET3N,mature,23,23,13.8,1946,saturating,0.418,267,0.782,11.6,3.04,38.65,37.97,362.74,341.46,22.338,35.739,32.65,52.23,100.8,6.866,2.242,4.624,October
Eucalyptus tetrodonta,ET3N,mature,24,24,10,1949,saturating,0.283,267,0.77,9.55,3.55,38.39,38.64,362.66,346.64,22.077,33.151,32.71,49.11,100.8,6.77,2.214,4.555,October
Eucalyptus tetrodonta,ET3N,mature,25,25,12,1542,saturating,0.425,279,0.811,10.4,2.69,38,36.58,362.53,343.93,22.452,34.432,33.98,52.12,100.8,6.629,2.252,4.376,October
Eucalpytus tetradonta,ET3N,expanding,26,26,2.31,909,saturating,0.182,317,0.888,6.1,3.42,37.89,37.26,362.56,357.18,22.447,29.553,34.17,44.99,100.7,6.589,2.252,4.338,October
Eucalpytus tetradonta,ET3N,expanding,27,27,-2.23,1852,saturating,0.0817,381,1.048,3.67,4.43,37.85,39.29,362.5,363.57,22.56,26.847,34.42,40.96,100.8,6.575,2.263,4.312,October
Eucalpytus tetradonta,ET3N,expanding,28,28,-5.2,1805,saturating,0.0894,433,1.179,3.97,4.39,37.94,39.22,362.73,367.21,22.402,27.034,34.01,41.04,100.7,6.607,2.247,4.36,October
Eucalpytus tetradonta,ET3N,expanding,29,29,-2.9,1784,saturating,0.0935,387,1.062,4.29,4.54,38.21,39.7,362.65,364.26,22.396,27.405,33.51,41.01,100.8,6.704,2.247,4.458,October
Eucalpytus tetradonta,ET3N,expanding,30,30,-2.45,1849,saturating,0.0972,376,1.035,4.64,4.72,38.51,40.45,362.43,363.35,23.156,28.566,34.08,42.05,100.7,6.814,2.322,4.492,October
Eucalpytus tetradonta,ET3N,expanding,31,31,0.7,1773,saturating,0.144,327,0.912,5.93,4.15,38.77,39.34,361.87,358.48,22.989,29.902,33.38,43.42,100.7,6.91,2.307,4.604,October
Eucalyptus miniata,EM3N,mature,32,32,18.7,1756,saturating,0.736,271,0.813,15.7,2.57,40.2,38.04,362.2,333.52,22.646,40.742,30.44,54.76,100.7,7.461,2.271,5.19,October
Eucalyptus miniata,EM3N,mature,33,33,17.8,1849,saturating,0.604,266,0.794,14.3,2.73,40.01,37.98,362.24,335.21,22.501,38.898,30.57,52.84,100.7,7.386,2.258,5.128,October
Eucalyptus miniata,EM3N,mature,34,34,22.1,1848,saturating,0.982,272,0.826,16.2,2.12,39.84,36.87,362.31,329.31,22.478,41.124,30.81,56.37,100.7,7.319,2.255,5.064,October
Eucalyptus miniata,EM3N,mature,35,35,18.9,1823,saturating,0.571,258,0.772,14.2,2.86,39.58,38.11,362.47,334.01,21.712,38.145,30.17,53.01,100.7,7.218,2.178,5.04,October
Eucalyptus miniata,EM3N,mature,36,36,16.9,1898,saturating,0.568,268,0.795,13.5,2.73,39.46,37.7,362.62,336.95,22.355,37.904,31.26,53,100.7,7.171,2.242,4.93,October
Eucalyptus miniata,EM3N,mature,37,37,13.6,1009,saturating,0.373,260,0.761,11.3,3.29,39.29,38.48,362.67,341.63,22.023,35.183,31.08,49.65,100.7,7.106,2.209,4.898,October
Eucalyptus miniata,EM3N,mature,38,38,14.8,1830,saturating,0.458,266,0.783,12.2,2.96,38.97,37.76,362.28,339.61,21.689,35.819,31.14,51.43,100.7,6.985,2.175,4.81,October
Eucalyptus miniata,EM3N,mature,39,39,18,1854,saturating,0.575,263,0.784,13.4,2.68,38.74,37.32,362.71,335.58,21.482,37.023,31.23,53.83,100.7,6.899,2.155,4.744,October
Eucalyptus miniata,EM3N,expanding,40,40,4.35,1856,saturating,0.207,297,0.839,8.08,3.99,38.67,39.33,362.59,353.94,21.977,31.375,32.07,45.79,100.7,6.873,2.204,4.669,October
Eucalyptus miniata,EM3N,expanding,41,41,-4.03,1867,saturating,0.0601,439,1.199,3.35,5.43,38.61,41.42,362.64,366.01,21.535,25.442,31.53,37.24,100.7,6.851,2.16,4.691,October
Eucalyptus miniata,EM3N,expanding,42,42,-2.93,1853,saturating,0.0627,408,1.118,3.33,5.18,38.61,40.9,362.79,364.85,21.856,25.736,31.99,37.67,100.7,6.851,2.192,4.659,October
Eucalyptus miniata,EM3N,expanding,43,43,-1.97,1855,saturating,0.0252,449,1.233,1.57,5.99,38.74,42.31,362.52,364.19,21.912,23.75,31.86,34.53,100.7,6.899,2.198,4.701,October
Eucalyptus miniata,EM3N,expanding,44,44,-4.46,1844,saturating,0.0232,624,1.697,1.52,6.28,38.99,42.92,362.98,367.65,21.75,23.529,31.19,33.75,100.7,6.993,2.181,4.812,October
Eucalyptus miniata,EM3N,expanding,45,45,-1.94,1794,saturating,0.105,363,1.001,5.31,5.01,39.39,41.1,362.72,362.74,22.089,28.271,31,39.67,100.7,7.144,2.215,4.93,October
Eucalyptus miniata,EM3N,expanding,46,46,-0.816,1867,saturating,0.106,343,0.95,5.51,5.13,39.51,41.29,362.34,360.93,21.492,27.903,29.98,38.92,100.7,7.191,2.156,5.035,October
Eucalyptus miniata,EM3N,expanding,47,47,-4.41,1778,saturating,0.0646,438,1.196,3.86,5.81,39.67,42.35,362.59,366.19,21.104,25.627,29.17,35.42,100.7,7.252,2.116,5.137,October
Eucalyptus miniata,EM3N,expanding,48,48,0.781,1852,saturating,0.112,318,0.886,5.92,5.22,39.68,41.61,362.27,358.78,21.455,28.355,29.65,39.19,100.7,7.256,2.152,5.105,October
Eucalyptus miniata,EM1N,mature,1,49,11.1,1193,saturating,0.355,277,0.796,10,3.03,39.25,37.84,365.68,348.18,23.911,35.524,33.72,50.1,100.4,7.091,2.391,4.7,October
Eucalyptus miniata,EM1N,mature,2,50,13.1,1054,saturating,0.447,279,0.808,10.7,2.64,39.14,36.96,365.41,345.27,23.956,36.316,33.98,51.52,100.4,7.049,2.395,4.654,October
Eucalyptus miniata,EM1N,mature,3,51,9.01,424,limiting,0.516,306,0.874,9.82,2.15,38.67,35.15,365.14,350.2,23.89,35.27,34.75,51.3,100.4,6.873,2.388,4.485,October
Eucalyptus miniata,EM1N,mature,4,52,18.8,1375,saturating,0.656,273,0.807,12,2.16,37.95,35.82,365.59,338.16,23.41,37.335,35.4,56.46,100.4,6.611,2.34,4.27,October
Eucalyptus miniata,EM1N,mature,5,53,19.9,628,saturating,0.627,267,0.792,10.5,1.96,37.78,34.61,365.36,337.3,23.422,35.544,35.76,54.26,100.4,6.55,2.342,4.208,October
Eucalyptus miniata,EM1N,mature,6,54,11.4,522,limiting,0.732,308,0.886,10.6,1.74,37.67,34.04,365.6,347.49,23.701,35.942,36.4,55.2,100.4,6.511,2.37,4.141,October
Eucalyptus miniata,EM1N,mature,7,55,10.1,526,limiting,0.591,308,0.88,9.32,1.83,37.34,33.76,365.81,349.85,23.518,34.302,36.78,53.65,100.4,6.395,2.352,4.043,October
Eucalyptus miniata,EM1N,mature,8,56,12.4,643,limiting,0.62,299,0.862,9.66,1.82,37.2,33.9,365.85,346.94,23.602,34.779,37.19,54.81,100.4,6.347,2.36,3.986,October
Eucalyptus miniata,EM1N,mature,9,57,12.7,701,limiting,0.622,299,0.862,9.48,1.78,37.01,33.75,365.85,346.74,23.739,34.712,37.8,55.27,100.4,6.281,2.374,3.907,October
Eucalyptus miniata,EM1N,mature,10,58,9.32,486,limiting,0.439,303,0.863,7.41,1.87,36.16,33.11,365.36,351.05,23.358,31.966,38.94,53.3,100.4,5.995,2.335,3.661,October
Eucalyptus miniata,EM1N,mature,11,59,17,1627,saturating,0.458,263,0.769,9.3,2.26,35.68,35.17,366.15,341.89,23.485,34.273,40.2,58.67,100.4,5.839,2.347,3.492,October
Eucalyptus miniata,EM1N,mature,12,60,12.6,1517,saturating,0.27,254,0.73,7.03,2.73,35.64,35.74,366.13,348.03,23.204,31.38,39.82,53.85,100.4,5.826,2.32,3.506,October
Eucalyptus miniata,EM1N,mature,13,61,23.5,1563,saturating,0.68,258,0.772,11.1,1.93,35.91,34.93,366.8,334.18,24.007,36.798,40.58,62.2,100.4,5.914,2.4,3.514,October
Eucalyptus miniata,EM1N,mature,14,62,19.2,1047,saturating,0.718,278,0.82,10.5,1.76,36.09,34.16,366.39,338.93,23.885,36.119,39.98,60.46,100.4,5.972,2.388,3.585,October
Eucalyptus miniata,EM1N,mature,15,63,14.1,1278,saturating,0.28,246,0.71,7.01,2.64,35.77,35.44,366.1,346.27,23.206,31.367,39.54,53.45,100.4,5.868,2.32,3.548,October
Eucalyptus miniata,EM1N,mature,16,64,11.6,590,limiting,0.603,303,0.869,8.44,1.63,35.58,32.76,365.99,348.49,23.587,33.385,40.6,57.47,100.4,5.807,2.358,3.449,October
Eucalyptus miniata,EM1N,mature,17,65,16.1,1632,saturating,0.464,269,0.786,8.73,2.1,35.04,34.69,365.37,342.43,24.257,34.382,43.03,60.99,100.4,5.636,2.425,3.211,October
Eucalyptus miniata,EM1N,mature,18,66,21.9,1604,saturating,0.706,267,0.797,10.1,1.71,35.08,33.91,365.53,335.08,24.237,35.928,42.88,63.56,100.4,5.649,2.422,3.227,October
Eucalyptus miniata,EM1N,mature,19,67,19.7,1617,saturating,0.608,267,0.79,10,1.92,35.21,34.58,365.8,338.08,24.273,35.875,42.65,63.04,100.4,5.69,2.427,3.263,October
Eucalyptus miniata,EM1N,mature,20,68,14.7,1606,saturating,0.286,242,0.702,7.32,2.7,35.29,36.01,365.32,344.58,24.056,32.57,42.08,56.97,100.4,5.715,2.405,3.31,October
Eucalyptus miniata,EM1N,mature,21,69,16.2,1410,saturating,0.399,259,0.756,8.35,2.29,35.54,35.14,365.43,342.58,24.218,33.902,41.79,58.5,100.4,5.794,2.421,3.373,October
Eucalyptus miniata,EM1N,expanding,22,70,1.29,1556,saturating,0.0797,316,0.87,2.99,3.69,35.9,37.52,365.89,363.04,24.337,27.829,41.17,47.08,100.4,5.91,2.433,3.477,October
Eucalyptus miniata,EM1N,expanding,23,71,-0.882,1650,saturating,0.0627,364,0.995,2.62,4.09,36.12,38.49,365.84,365.75,24.266,27.332,40.56,45.68,100.4,5.982,2.426,3.556,October
Eucalyptus miniata,EM1N,expanding,24,72,-0.36,1600,saturating,0.0854,348,0.954,3.42,3.95,36.4,38.5,365.77,364.7,24.832,28.825,40.86,47.44,100.4,6.075,2.482,3.593,October
Eucalyptus miniata,EM1N,expanding,25,73,1.52,1618,saturating,0.0766,307,0.847,3.25,4.15,36.65,39.02,365.7,362.46,24.907,28.691,40.42,46.56,100.4,6.159,2.489,3.669,October
Eucalyptus miniata,EM1N,expanding,26,74,1.47,1493,saturating,0.12,320,0.885,4.55,3.77,36.79,38.35,365.21,361.48,24.769,30.055,39.89,48.4,100.4,6.206,2.476,3.73,October
Eucalyptus miniata,EM1N,expanding,27,75,-0.308,1661,saturating,0.0695,347,0.951,2.99,4.22,36.8,38.84,365.67,364.73,23.889,27.387,38.46,44.09,100.4,6.209,2.388,3.821,October
Eucalyptus miniata,EM1N,expanding,28,76,-4.23,1618,saturating,0.0499,478,1.294,2.12,4.14,36.79,38.4,365.13,369.26,24.068,26.544,38.77,42.76,100.4,6.206,2.406,3.8,October
Eucalyptus miniata,EM1N,expanding,29,77,-2.67,1591,saturating,0.0526,421,1.145,2.37,4.39,36.77,39.13,365.52,367.67,23.991,26.756,38.69,43.15,100.4,6.199,2.398,3.801,October
Eucalyptus miniata,EM1N,expanding,30,78,-2.97,1568,saturating,0.0428,451,1.225,1.94,4.4,36.78,38.98,365.55,368.26,23.845,26.114,38.42,42.08,100.4,6.203,2.383,3.82,October
Eucalyptus miniata,EM1N,mature,1,79,12.3,681,limiting,0.932,312,0.902,9.6,1.32,35.2,32.68,364.92,346.08,24.99,36.136,44.09,63.76,100.8,5.687,2.507,3.179,October
Eucalyptus miniata,EM1N,mature,2,80,11.9,500,limiting,0.938,313,0.904,9.32,1.28,35.22,32.48,364.26,346.14,25.227,36.021,44.46,63.48,100.8,5.693,2.531,3.162,October
Eucalyptus miniata,EM1N,mature,3,81,10.9,508,limiting,0.924,316,0.91,9.16,1.27,35.22,32.42,364.13,347.23,25.345,35.951,44.66,63.36,100.8,5.693,2.542,3.15,October
Eucalyptus miniata,EM1N,mature,4,82,8.94,303,limiting,0.931,323,0.924,8.86,1.22,35.19,32.2,363.87,349.43,25.584,35.826,45.16,63.24,100.8,5.683,2.567,3.117,October
Eucalyptus miniata,EM1N,mature,5,83,8.78,307,limiting,0.915,323,0.924,8.75,1.22,35.15,32.16,363.75,349.6,25.61,35.703,45.32,63.17,100.8,5.671,2.57,3.101,October
Eucalyptus miniata,EM1N,mature,6,84,8.88,450,limiting,0.896,323,0.924,8.71,1.23,35.12,32.15,363.74,349.45,25.465,35.524,45.13,62.96,100.8,5.661,2.555,3.106,October
Eucalyptus miniata,EM1N,mature,7,85,10.5,476,limiting,0.866,316,0.91,8.65,1.26,35.1,32.2,363.55,347.25,25.398,35.449,45.07,62.91,100.8,5.655,2.549,3.106,October
Eucalyptus miniata,EM1N,mature,8,86,9.87,447,limiting,0.832,318,0.914,8.44,1.27,35.11,32.27,363.41,348.05,25.777,35.541,45.7,63.01,100.8,5.658,2.586,3.072,October
Eucalyptus miniata,EM1N,mature,9,87,9.5,444,limiting,0.829,319,0.914,8.3,1.25,35.12,32.29,363.73,348.9,26.199,35.768,46.43,63.39,100.8,5.661,2.629,3.033,October
Eucalyptus miniata,EM2N,mature,37,88,18.8,1497,saturating,0.679,272,0.811,11.6,2.02,38.1,35.96,362.81,335.51,25.695,39.082,38.61,58.73,100.6,6.665,2.573,4.091,October
Eucalyptus miniata,EM2N,mature,38,89,19.7,1707,saturating,0.828,277,0.829,12.8,1.91,37.7,36.11,363.07,334.32,26.015,40.729,39.94,62.53,100.6,6.522,2.605,3.917,October
Eucalyptus miniata,EM2N,mature,39,90,16.4,1719,saturating,0.498,267,0.787,10.9,2.45,37.78,37.16,363.48,339.38,26.279,38.841,40.18,59.39,100.6,6.55,2.632,3.918,October
Eucalyptus miniata,EM2N,mature,40,91,17.8,1585,saturating,0.646,274,0.812,11.8,2.15,37.84,36.43,363.41,337.24,25.724,39.395,39.2,60.03,100.6,6.571,2.576,3.995,October
Eucalyptus miniata,EM2N,mature,41,92,17.6,1177,saturating,0.802,283,0.84,12.9,1.98,37.93,36.17,363.35,336.97,25.384,40.269,38.48,61.05,100.6,6.603,2.541,4.062,October
Eucalyptus miniata,EM2N,mature,42,93,16.4,1664,saturating,0.576,273,0.807,11.8,2.35,38.42,37.19,362.9,338.32,26.32,39.969,38.85,58.99,100.5,6.781,2.634,4.147,October
Eucalyptus miniata,EM2N,mature,43,94,21.1,1598,saturating,0.655,260,0.782,12.5,2.24,38.5,37.11,362.71,332.32,26.462,40.842,38.89,60.03,100.5,6.81,2.649,4.162,October
Eucalyptus miniata,EM2N,mature,44,95,12.5,1596,saturating,0.504,285,0.83,10.8,2.41,38.45,37.15,362.74,343.22,26.798,39.286,39.49,57.89,100.5,6.792,2.682,4.11,October
Eucalyptus miniata,EM2N,mature,45,96,18.1,1587,saturating,0.792,280,0.834,12.9,1.98,38.3,36.45,362.66,335.73,26.32,41.125,39.1,61.09,100.5,6.737,2.634,4.103,October
Eucalyptus miniata,EM2N,expanding,46,97,-2.85,1578,saturating,0.0499,427,1.169,2.4,4.67,38.14,40.34,362.93,365.3,25.88,28.672,38.79,42.97,100.5,6.679,2.591,4.088,October
Eucalyptus miniata,EM2N,expanding,47,98,-4.48,1631,saturating,0.0436,500,1.361,2.11,4.69,38.17,40.48,362.79,367.25,26.496,28.962,39.65,43.34,100.5,6.69,2.653,4.037,October
Eucalyptus miniata,EM2N,expanding,48,99,-4.68,1636,saturating,0.0674,451,1.228,2.98,4.32,38.24,39.65,362.92,367.23,25.971,29.445,38.72,43.9,100.5,6.715,2.6,4.115,October
Eucalyptus miniata,EM2N,expanding,49,100,-4.36,1590,saturating,0.0638,447,1.219,2.97,4.53,38.33,40.31,362.79,366.72,26.431,29.896,39.21,44.35,100.5,6.748,2.646,4.102,October
Eucalyptus miniata,EM2N,expanding,50,101,-5.31,1467,saturating,0.0645,470,1.278,2.99,4.52,38.43,40.26,362.77,367.83,26.353,29.838,38.89,44.04,100.5,6.785,2.639,4.146,October
Eucalyptus miniata,EM2N,expanding,51,102,-1.91,1582,saturating,0.0701,381,1.047,3.12,4.35,38.51,39.98,362.83,363.75,26.775,30.397,39.33,44.65,100.5,6.814,2.68,4.134,October
Eucalpytus tetradonta,ET1N,mature,52,103,10.7,734,limiting,0.413,285,0.825,10,2.66,39.11,37.28,362.66,345.66,25.668,37.256,36.5,52.97,100.5,7.038,2.569,4.469,October
Eucalpytus tetradonta,ET1N,mature,53,104,8.18,449,limiting,0.387,300,0.859,8.02,2.26,38.48,35.39,362.6,349.41,25.673,34.968,37.77,51.44,100.5,6.803,2.569,4.233,October
Eucalpytus tetradonta,ET1N,mature,54,105,9.92,692,limiting,0.375,288,0.829,8.16,2.36,38.09,35.78,362.5,347.25,25.781,35.202,38.73,52.88,100.5,6.661,2.58,4.081,October
Eucalpytus tetradonta,ET1N,mature,55,106,6.7,339,limiting,0.402,309,0.881,7.85,2.14,37.96,35.01,362.26,350.92,25.885,34.966,39.16,52.9,100.5,6.614,2.59,4.024,October
Eucalpytus tetradonta,ET1N,mature,56,107,7.56,314,limiting,0.407,305,0.872,8.03,2.16,37.84,35.02,362.41,349.96,25.433,34.745,38.72,52.9,100.5,6.571,2.544,4.027,October
Eucalpytus tetradonta,ET1N,mature,57,108,6.01,389,limiting,0.24,298,0.844,5.39,2.34,37.61,34.57,362.72,353.2,25.337,31.609,39.06,48.73,100.5,6.49,2.535,3.955,October
Eucalpytus tetradonta,ET1N,mature,58,109,4.8,254,limiting,0.234,306,0.864,5.38,2.39,37.39,34.87,362.4,354.34,25.798,32.051,40.25,50,100.5,6.413,2.581,3.831,October
Eucalyptus tetrodonta,ET1N,mature,59,110,11.1,1701,saturating,0.298,268,0.774,7.51,2.66,37.01,36.51,362.45,346.05,25.924,34.592,41.29,55.09,100.5,6.281,2.593,3.688,October
Eucalyptus tetrodonta,ET1N,mature,60,111,10.4,1276,saturating,0.282,269,0.776,7.35,2.74,36.97,36.8,362.28,346.78,26.316,34.824,42.01,55.59,100.5,6.267,2.633,3.634,October
Eucalyptus tetrodonta,ET1N,mature,61,112,10,1743,saturating,0.24,260,0.748,7.1,3.06,37.18,37.86,362.47,347.39,27.034,35.285,42.65,55.67,100.5,6.34,2.704,3.636,October
Eucalyptus tetrodonta,ET1N,mature,62,113,12.8,1736,saturating,0.383,271,0.789,9.14,2.59,37.15,36.85,362.51,343.44,25.947,36.515,41.01,57.71,100.5,6.329,2.596,3.734,October
Eucalyptus tetrodonta,ET1N,mature,63,114,11.6,1437,saturating,0.24,248,0.718,7.16,3.09,37.17,37.6,362.48,345.58,25.793,34.103,40.72,53.84,100.5,6.336,2.58,3.756,October
Eucalpytus tetradonta,ET1N,expanding,64,115,1.36,1808,saturating,0.135,325,0.903,4.27,3.19,36.68,36.83,363.44,359.97,25.48,30.457,41.32,49.39,100.5,6.169,2.549,3.62,October
Eucalpytus tetradonta,ET1N,expanding,65,116,0.4,784,limiting,0.0857,333,0.923,3.08,3.55,36.54,37.42,362.75,360.93,25.315,28.908,41.36,47.23,100.5,6.122,2.532,3.59,October
Eucalpytus tetradonta,ET1N,expanding,66,117,-3.57,1639,saturating,0.0638,429,1.172,2.72,4.16,36.63,39.03,362.84,365.92,25.523,28.683,41.49,46.63,100.5,6.152,2.552,3.6,October
Eucalpytus tetradonta,ET1N,expanding,67,118,-5.35,1438,saturating,0.0689,467,1.269,2.81,3.99,36.8,38.64,362.88,368.05,25.557,28.832,41.17,46.44,100.5,6.209,2.556,3.653,October
Eucalpytus tetradonta,ET1N,expanding,68,119,-2.93,1151,saturating,0.071,409,1.121,2.65,3.66,36.81,37.79,362.44,364.81,26.031,29.126,41.9,46.89,100.4,6.213,2.603,3.61,October
Eucalpytus tetradonta,ET1N,expanding,69,120,4.83,1719,saturating,0.177,293,0.828,4.97,2.86,36.43,36.32,361.97,354.03,26.259,32.044,43.15,52.66,100.4,6.085,2.626,3.459,October
Eucalpytus tetradonta,ET1N,expanding,70,121,-0.671,1665,saturating,0.077,356,0.984,2.68,3.42,36.29,37.14,362.13,361.78,26.09,29.204,43.21,48.37,100.4,6.038,2.609,3.429,October
Eucalpytus tetradonta,ET1N,expanding,71,122,0.637,1494,saturating,0.0902,330,0.916,3.02,3.31,35.99,36.97,362.37,360.3,26.136,29.668,44.02,49.97,100.4,5.94,2.615,3.325,October
Eucalyptus miniata,EM3,mature,1,123,15.6,1287,saturating,1.07,296,0.888,11,1.36,36.6,34.41,356.54,333.4,27.947,40.615,45.78,66.53,101.1,6.142,2.812,3.33,October
Eucalyptus miniata,EM3,mature,2,124,18.9,1501,saturating,0.839,277,0.841,10.1,1.5,36.49,34.55,356.21,329.54,28.132,39.711,46.37,65.46,101.1,6.105,2.831,3.274,October
Eucalyptus miniata,EM3,mature,3,125,19.2,1478,saturating,1.12,285,0.867,11.5,1.37,36.58,34.71,356.34,328.79,28.185,41.394,46.23,67.89,101.1,6.135,2.836,3.299,October
Eucalyptus miniata,EM3,mature,4,126,22.6,1515,saturating,1.22,277,0.854,12.3,1.38,36.79,34.99,356.1,324.18,28.072,42.211,45.51,68.43,101.1,6.206,2.824,3.382,October
Eucalyptus miniata,EM3,mature,5,127,15.2,1493,saturating,0.857,290,0.869,11.6,1.7,37.05,35.75,356.64,333.75,28.051,41.446,44.85,66.26,101.1,6.295,2.823,3.472,October
Eucalyptus miniata,EM3,mature,6,128,18.4,1371,saturating,0.871,279,0.846,11.2,1.62,36.92,35.33,356.27,329.73,27.976,40.9,45.05,65.86,101.1,6.25,2.816,3.435,October
Eucalyptus miniata,EM3,expanding,7,129,-4.37,1443,saturating,0.245,374,1.042,6.23,2.66,36.71,36.71,356.28,358.85,27.929,35.134,45.47,57.2,101.1,6.179,2.81,3.369,October
Eucalyptus miniata,EM3,expanding,8,130,-4.2,1542,saturating,0.227,374,1.041,6.11,2.8,36.68,37.06,356.71,359.11,27.85,34.922,45.42,56.95,101.1,6.169,2.802,3.367,October
