Sp code,Species Name,Status,Family,Fire Response,FR data source,Seed storage,SS data source,Life Form,Seed mass (mg),SM data source,Nutrient-acquisition strategy,NAS data source,Leaf P,Leaf N
STYCIL,Stylidium ciliatum,native,STYLIDIACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,perennial forb,0.07,Weighed,AMF,Brundrett 2008 for Genus,,
STYDIU,Stylidium diuroides,native,STYLIDIACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,perennial forb,0.02,Kew SID,AMF,Brundrett 2008 for Genus,,
STYHIS,Stylidium hispidum,native,STYLIDIACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,perennial forb,0.40,Nursery records,AMF,Brundrett 2008 for Genus,0.07,1.33
STYJUN,Stylidium junceum,native,STYLIDIACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,perennial forb,0.10,Nursery records,AMF,Brundrett&Abbott 1991,,
STYLAT,Stylidium lateriticola,native,STYLIDIACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,perennial forb,0.14,Approximation: avg seed mass of Stylidium species (n = 40),AMF,Brundrett 2008 for Genus,,
STYLIN,Stylidium lineatum,native,STYLIDIACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,perennial forb,0.08,Weighed,AMF,Brundrett 2008 for Genus,,
STYOBT,Stylidium obtusatum,native,STYLIDIACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,perennial forb,0.14,Approximation: avg seed mass of Stylidium species (n = 40),AMF,Brundrett 2008 for Genus,,
STYPIL,Stylidium piliferum,native,STYLIDIACEAE,SEEDER,Burrows et al. 2008,soil,Burrows et al. 2008,perennial forb,0.11,Weighed,AMF,Brundrett&Abbott 1991,,
STYREP,Stylidium repens,native,STYLIDIACEAE,RESPROUTER,Burrows et al. 2008,soil,Inferred using data for Genus,perennial forb,0.14,Approximation: avg seed mass of Stylidium species (n = 40),AMF,Brundrett 2008 for Genus,,
STYSCH,Stylidium schoenoides,native,STYLIDIACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,perennial forb,0.14,Approximation: avg seed mass of Stylidium species (n = 40),AMF,Brundrett 2008 for Genus,,
STYTEN,Styphelia tenuiflora,native,ERICACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,50.00,Roche 1997 ,Ericoid,Cornelissen et al. 2003 for Family,0.04,1.1
SYMSQU,Symphyotrichum squamatum*,weed,ASTERACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual forb,ND,,AMF,Brundrett 2009 for Family; Brundrett pers. comm. 10 Aug 2012,,
TAROFF,Taraxacum officinale*,weed,ASTERACEAE,SEEDER,Alcoa DB,soil,Infered (weed),perennial forb,0.70,Kew SID,AMF,Brundrett 2009 for Family; Brundrett pers. comm. 10 Aug 2012,,
TAXLIN,Taxandria linearifolia,native,MYRTACEAE,SEEDER,Alcoa DB,canopy,Lamont et al. 1991 for Genus,shrub,0.14,Weighed,AMF/ECM,Genus not listed in Brundrett 2008; Brundrett pers. comm. 10 Aug 2012,,
TETCAP,Tetraria capillaris,native,CYPERACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Family,perennial sedge,5.88,Approximation: avg seed mass of Tetraria species (n = 2).,Root clusters,Lamont 1982 for Family,0.03,0.7
TETHIR,Tetratheca hirsuta,native,ELAEOCARPACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,7.00,Roche 1997 ,AMF,Brundrett&Abbott 1991,,
TETLAE,Tetrarrhena laevis,native,POACEAE,RESPROUTER,Roche 1997,soil,Bell et al. 1993,perennial grass,6.64,Weighed,AMF,Brundrett&Abbott 1991,,
TETOCT,Tetraria octandra,native,CYPERACEAE,RESPROUTER,Roche 1997,soil,Inferred using data for Family,perennial sedge,9.64,McAlinden 1998,Root clusters,Lamont 1982 for Family,,
THECRI,Thelymitra crinita,native,ORCHIDACEAE,RESPROUTER,Burrows et al. 2008,soil,Default,perennial forb,0.005,Approximation: avg seed mass of Orchidaceae species (n = 60),OMF,Cornelissen et al. 2003 for Family,,
THEMAC,Thelymitra macrophylla,native,ORCHIDACEAE,RESPROUTER,Burrows et al. 2008,soil,Default,perennial forb,0.005,Approximation: avg seed mass of Orchidaceae species (n = 60),OMF,Cornelissen et al. 2003 for Family,,
THOGLU,Thomasia glutinosa,native,MALVACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Genus,shrub,0.81,Weighed,AMF,Brundrett&Abbott 1991,,
THOPAN,Thomasia paniculata,native,MALVACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Genus,shrub,1.50,Approximation: avg seed mass of Thomasia species (n = 8).,AMF,Brundrett 2008 for Genus,,
THOPAU,Thomasia pauciflora,native,MALVACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,1.50,Approximation: avg seed mass of Thomasia species (n = 8).,AMF,Brundrett 2008 for Genus,,
THYANC,Thysanotus anceps,native,ASPARAGACEAE,RESPROUTER,Alcoa DB,soil,Infered using data for Genus,perennial forb,2.09,Approximation: avg seed mass of Thysanotus species (n = 12),SubepidermalMF,Brundrett 2008 for Genus,,
THYASP,Thysanotus asper,native,ASPARAGACEAE,RESPROUTER,Alcoa DB,soil,Infered using data for Genus,perennial forb,2.09,Approximation: avg seed mass of Thysanotus species (n = 12),SubepidermalMF,Brundrett 2008 for Genus,,
THYDIC,Thysanotus dichotomus,native,ASPARAGACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,perennial forb,2.79,Weighed,SubepidermalMF,Brundrett&Abbott 1991,,
THYFAS,Thysanotus fastigiatus,native,ASPARAGACEAE,RESPROUTER,Smith et al. 2000,soil,Smith et al. 2000,perennial forb,1.78,Weighed,SubepidermalMF,Brundrett 2008 for Genus,,
THYMAN,Thysanotus manglesianus,native,ASPARAGACEAE,RESPROUTER,Burrows et al. 2008,soil,Infered using data for Genus,perennial forb,0.99,McAlinden 1998,SubepidermalMF,Brundrett 2008 for Genus,,
THYMUL,Thysanotus multiflorus,native,ASPARAGACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,perennial forb,4.00,Roche 1997 ,SubepidermalMF,Brundrett&Abbott 1991,,
THYPAT,Thysanotus patersonii,native,ASPARAGACEAE,RESPROUTER,Burrows et al. 2008,soil,Infered using data for Genus,perennial forb,0.87,Kew SID,SubepidermalMF,McGee 1988,,
THYSPA,Thysanotus sparteus,native,ASPARAGACEAE,RESPROUTER,Burrows et al. 2008,soil,Infered using data for Genus,perennial forb,4.59,McAlinden 1998,SubepidermalMF,Brundrett 2008 for Genus,,
THYTHY,Thysanotus thyrsoideus,native,ASPARAGACEAE,SEEDER,Burrows et al. 2008,soil,Burrows et al. 2008,perennial forb,0.72,Weighed,SubepidermalMF,Brundrett 2008 for Genus,0.16,
TRAPIL,Trachymene pilosa,native,ARALIACEAE,SEEDER,Smith et al. 2000,soil,Vlahos & Bell 1986,annual forb,1.49,Kew SID,AMF,Brundrett&Abbott 1991,,
TRIANG,Trifolium angustifolium*,weed,FABACEAE,SEEDER,Alcoa DB,soil,Grant & Koch 1997,annual forb,1.51,Approximation: avg seed mass of Trifolium species (n= 105).,Nfixer/AMF,Sprent 2001/ AMF assumed,,
TRIARV,Trifolium arvense*,weed,FABACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual forb,1.51,Approximation: avg seed mass of Trifolium species (n= 105).,Nfixer/AMF,Sprent 2001/ AMF assumed,,
TRIBRU,Tripterococcus brunonis,native,CELASTRACEAE,RESPROUTER,Roche 1997,soil,Bell et al. 1993,perennial forb,1.00,Roche 1997 ,AMF,Brundrett 2008 for Genus,,
TRICAM,Trifolium campestre*,weed,FABACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual forb,0.30,Kew SID,Nfixer/AMF,Sprent 2001/ AMF assumed,,
TRIDUB,Trifolium dubium*,weed,FABACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual forb,0.40,Kew SID,Nfixer/AMF,Sprent 2001/ AMF assumed,,
TRIELA,Tricoryne elatior,native,HEMEROCALLIDACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,perennial forb,5.46,McAlinden 1998,AMF,Brundrett 2008 for Genus,,
TRIFRA,Trifolium fragiferum*,weed,FABACEAE,SEEDER,Alcoa DB,soil,Infered (weed),perennial forb,1.20,Kew SID,Nfixer/AMF,Sprent 2001/ AMF assumed,,
TRIGLO,Trifolium glomeratum*,weed,FABACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual forb,0.40,Kew SID,Nfixer/AMF,Sprent 2001/ AMF assumed,,
TRIHIR,Trifolium hirtum*,weed,FABACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual forb,3.20,Kew SID,Nfixer/AMF,Sprent 2001/ AMF assumed,,
TRIHUM,Tricoryne humilis,native,HEMEROCALLIDACEAE,RESPROUTER,Norman et al. 2006,soil,Inferred using data for Genus,perennial forb,5.88,Weighed,AMF,Brundrett 2008 for Genus,,
TRIPRA,Trifolium pratense*,weed,FABACEAE,SEEDER,Alcoa DB,soil,Infered (weed),perennial forb,1.50,Kew SID,Nfixer/AMF,Sprent 2001/ AMF assumed,,
TRIREP,Trifolium repens*,weed,FABACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual forb,0.60,Kew SID,Nfixer/AMF,Sprent 2001/ AMF assumed,,
TRISPA,Trichocline spathulata,native,ASTERACEAE,RESPROUTER,Norman et al. 2006,soil,Infered using data for Family,perennial forb,3.47,Nursery records,AMF,Lamont 1982 for Family,0.14,2.4
TRYFLO,Trymalium floribundum,native,RHAMNACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,1.17,Kew SID,ECM,Brundrett&Abbott 1991; Brundrett pers. comm. 10 Aug 2012,,
TRYLED,Trymalium ledifolium,native,RHAMNACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,1.44,Grant 1993,ECM,Brundrett 2008 for Genus; Brundrett pers. comm. 10 Aug 2012,0.06,1.6
TYPDOM,Typha domingensis,native,TYPHACEAE,RESPROUTER,Alcoa DB,soil,Default,perennial forb,0.10,Kew SID,None,NM:Brundrett pers. comm. 10 Aug 2012,,
TYPORI,Typha orientalis*,weed,TYPHACEAE,RESPROUTER,Alcoa DB,soil,Infered (weed),perennial forb,0.20,Kew SID,None,NM:Brundrett pers. comm. 10 Aug 2012,,
URSANT,Ursinia anthemoides*,weed,ASTERACEAE,SEEDER,Burrows et al. 2008,soil,Burrows et al. 2008,annual forb,1.43,Milberg et al 1999,AMF,Brundrett 2009 for Family; Brundrett pers. comm. 10 Aug 2012,,
VELDEA,Vellereophyton dealbatum*,weed,ASTERACEAE,SEEDER,Smith et al. 2000,soil,Smith et al. 2000,annual forb,0.02,Kew SID,AMF,Brundrett 2009 for Family; Brundrett pers. comm. 10 Aug 2012,,
VELTRI,Velleia trinervis,native,GOODENIACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,perennial forb,1.15,Kew SID,AMF,Brundrett 2008 for Family,,
VERARV,Veronica arvensis*,weed,PLANTAGINACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual forb,0.12,Kew SID,AMF,Brundrett 2008 for Family,,
VERPER,Veronica persica*,weed,PLANTAGINACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual forb,0.96,Kew SID,AMF,Brundrett 2008 for Family,,
VERVIR,Verbascum virgatum*,weed,SCROPHULARIACEAE,RESPROUTER,Burrows et al. 2008,soil,Infered (weed),annual forb,0.14,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,,
VIMJUN,Viminaria juncea,native,FABACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,6.90,Kew SID,Nfixer/Root clusters/AMF,Brundrett&Abbott 1991,0.05,1.5
VULBRO,Vulpia bromoides*,weed,POACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual grass,0.48,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,,
VULMYU,Vulpia myuros*,weed,POACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual grass,0.48,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,,
WAHCAP,Wahlenbergia capensis*,weed,CAMPANULACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual forb,0.02,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,,
WAHPRE,Wahlenbergia preissii,native,CAMPANULACEAE,SEEDER,Alcoa DB,soil,Bellairs & Bell 1993,annual forb,0.03,Approximation: avg seed mass of Wahlenbergia species (n = 31).,AMF,Brundrett 2008 for Family,,
WAIACU,Waitzia acuminata,native,ASTERACEAE,SEEDER,Alcoa DB,soil,Infered using data for Family,annual forb,0.36,Weighed,AMF,Lamont 1982 for Family,,
XANATK,Xanthosia atkinsoniana,native,APIACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,perennial forb,0.59,Weighed,AMF,Brundrett 2008 for Genus,,
XANCAN,Xanthosia candida,native,APIACEAE,SEEDER,Smith et al. 2000,soil,Bell et al. 1993,perennial forb,0.54,Weighed,AMF,Brundrett&Abbott 1991,0.05,1.21
XANCIL,Xanthosia ciliata,native,APIACEAE,SEEDER,Alcoa DB,soil,Infered using data for Family,shrub,1.28,Weighed,AMF,Brundrett 2008 for Genus,,
XANGRA,Xanthorrhoea gracilis,native,XANTHORRHOEACE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,14.00,"Standish et al, unpub data",AMF,Brundrett&Abbott 1991,0.03,0.53
XANHUE,Xanthosia huegelii,native,APIACEAE,RESPROUTER,Roche 1997,soil,Bell et al. 1993,perennial forb,0.70,Roche 1997 ,AMF,Brundrett 2008 for Genus,,
XANPRE,Xanthorrhoea preissii,native,XANTHORRHOEACE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,18.52,Nursery records,AMF,Brundrett&Abbott 1991,0.04,0.73
XYLOCC,Xylomelum occidentale,native,PROTEACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,tree,363.00,Weighed,Root clusters,Skene 1998; Brundrett&Abbott 1991,,
