Sp code,Species Name,Status,Family,Fire Response,FR data source,Seed storage,SS data source,Life Form,Seed mass (mg),SM data source,Nutrient-acquisition strategy,NAS data source,Leaf P,Leaf N
JUNCAP,Juncus capitatus*,weed,JUNCACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual rush,0.02,Kew SID,Root clusters,Brundrett 2009 for Family,,
JUNHOL,Juncus holoschoenus,native,JUNCACEAE,RESPROUTER,Alcoa DB,soil,Default,perennial rush,0.04,Kew SID,Root clusters,Brundrett 2009 for Family,,
JUNPAL,Juncus pallidus,native,JUNCACEAE,RESPROUTER,Alcoa DB,soil,Default,perennial rush,0.01,Kew SID,None,Not root clusters; Shane et al. 2006,,
JUNPLA,Juncus planifolius,native,JUNCACEAE,SEEDER,Alcoa DB,soil,Default,perennial rush,0.01,Kew SID,Root clusters,Brundrett 2009 for Family,,
JUNSUB,Juncus subsecundus,native,JUNCACEAE,RESPROUTER,Alcoa DB,soil,Default,perennial rush,0.01,Kew SID,Root clusters,Brundrett 2009 for Family,,
KENCAR,Kennedia carinata,native,FABACEAE,SEEDER,Burrows et al. 2008,soil,Bell et al. 1993,shrub,14.22,Weighed,Nfixer/Root clusters/AMF,Skene 1998; Lamont 1982 on AMF for Family,,
KENCOC,Kennedia coccinea,native,FABACEAE,SEEDER,Ward et al. 1997,soil,Bell et al. 1993,shrub,29.50,Hanley et al 2003,Nfixer/Root clusters/AMF,Skene 1998; Lamont 1982 on AMF for Family,0.08,2.4
KENNIG,Kennedia nigricans,native,FABACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,shrub,13.44,Weighed,Nfixer/Root clusters/AMF,Skene 1998; Lamont 1982 on AMF for Family,,
KENPRO,Kennedia prostrata,native,FABACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,19.48,Kew SID,Nfixer/Root clusters/AMF,Skene 1998; Brundrett&Abbott 1991,0.12,2.71
KUNERI,Kunzea ericifolia,native,MYRTACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,1.28,Nursery records,AMF/ECM,Brundrett 2008 for Genus; Brundrett pers. comm. 10 Aug 2012,,
KUNMIC,Kunzea micrantha,native,MYRTACEAE,RESPROUTER,Alcoa DB,canopy,Lamont et al. 1991 for Genus,shrub,2.99,Kew SID,AMF/ECM,Brundrett 2008 for Genus; Brundrett pers. comm. 10 Aug 2012,,
KUNREC,Kunzea recurva,native,MYRTACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,0.10,Weighed,AMF/ECM,Brundrett 2008 for Genus; Brundrett pers. comm. 10 Aug 2012,,
