Family ,Species,Status,Fruit type,Sex type,Code,Source
Fabaceae (Mimosaceae),Acacia flavescens ,e,legume,mono,3,Hyland et al.  (2003)
Fabaceae (Mimosaceae),Acacia fleckeri ,e,legume,bi,1,Hyland et al.  (2003)
Fabaceae (Mimosaceae),Acacia hylonoma ,e,legume,bi,1,Hyland et al.  (2003)
Fabaceae (Mimosaceae),Acacia lamprocarpa ,e,legume,bi,1,Hyland et al.  (2003)
Fabaceae (Mimosaceae),Acacia leptocarpa ,n,legume,mono,3,Hyland et al.  (2003)
Fabaceae (Mimosaceae),Acacia mangium,n,legume,mono,3,Sedgley et al. (1992)
Fabaceae (Mimosaceae),Acacia melanoxylon ,e,legume,mono,3,Hyland et al.  (2003)
Fabaceae (Mimosaceae),Acacia midgleyi ,e,legume,mono,3,Hyland et al.  (2003)
Fabaceae (Mimosaceae),Acacia oraria ,n,legume,bi,1,Hyland et al.  (2003)
Fabaceae (Mimosaceae),Acacia polystachya ,n,legume,mono,3,Hyland et al.  (2003)
Fabaceae (Mimosaceae),Acacia shirleyi ,e,legume,mono,3,Hyland et al.  (2003)
Fabaceae (Mimosaceae),Acacia spirorbis ssp. solandri ,e,legume,bi,1,Hyland et al.  (2003)
Fabaceae (Mimosaceae),Adenanthera pavonina ,n,legume,bi,1,Hyland et al.  (2003)
Fabaceae (Mimosaceae),Albizia lebbeck ,n,legume,bi,1,Hyland et al.  (2003)
Fabaceae (Mimosaceae),Albizia procera ,n,legume,bi,1,Hyland et al.  (2003)
Fabaceae (Mimosaceae),Albizia retusa ,n,legume,bi,1,Hyland et al.  (2003)
Fabaceae (Mimosaceae),Albizia ssp. (Sir Charles Hardy Is BH 25849RFK) ,e,legume,bi,1,Hyland et al.  (2003)
Fabaceae (Mimosaceae),Albizia ssp. (Windsor Tableland BG 2181) ,e,legume,bi,1,Hyland et al.  (2003)
Fabaceae (Mimosaceae),Archidendron grandiflorum ,n,legume,bi,1,Nielsen (1982) 
Fabaceae (Mimosaceae),Archidendron hendersonii ,e,legume,bi,1,Nielsen (1982)
Fabaceae (Mimosaceae),Archidendron hirsutum ,e,legume,bi,1,Nielsen (1982)
Fabaceae (Mimosaceae),Archidendron kanisii ,e,legume,bi,1,Nielsen (1982)
Fabaceae (Mimosaceae),Archidendron lucyi ,n,legume,bi,1,Nielsen (1982)
Fabaceae (Mimosaceae),Archidendron ramiflorum ,e,legume,bi,1,Nielsen (1982)
Fabaceae (Mimosaceae),Archidendron vaillantii ,e,legume,bi,1,Nielsen (1982)
Fabaceae (Mimosaceae),Archidendron whitei ,e,legume,bi,1,Nielsen (1982)
Fabaceae (Mimosaceae),Archidendropsis xanthoxylon ,e,legume,bi,1,Nielsen (1982)
Fabaceae (Mimosaceae),Cathormion umbellatum ssp. moniliforme ,n,legume,bi,1,Cowan (1998)
Fabaceae (Mimosaceae),Pararchidendron pruinosum ,n,legume,bi,1,Hyland et al. (2003)
Fabaceae (Mimosaceae),Paraserianthes toona ,n,legume,bi,1,Cowan (1998)
Grossulariaceae,Abrophyllum ornans ,e,berry,bi,1,Hyland et al.  (2003)
Grossulariaceae,Polyosma alangiacea ,e,berry,bi,1,Hyland et al.  (2003)
Grossulariaceae,Polyosma hirsuta ,e,berry,bi,1,Hyland et al.  (2003)
Grossulariaceae,Polyosma reducta vel aft. ,e,berry,bi,1,Hyland et al.  (2003)
Grossulariaceae,Polyosma rhytophloia ,e,berry,bi,1,Hyland et al.  (2003)
Grossulariaceae,Polyosma rigidiuscula ,e,berry,bi,1,Hyland et al.  (2003)
Grossulariaceae,Polyosma ssp. (Mt Bellenden Ker BH 2524RFK) ,e,berry,bi,1,Hyland et al.  (2003)
Grossulariaceae,Polyosma ssp. (Mt Lewis BH 25241RFK) ,e,berry,bi,1,Hyland et al.  (2003)
Grossulariaceae,Quintinia quatrefagesii ,e,capsule,bi,1,Hyland et al.  (2003)
Gyrostemonaceae,Codonocarpus attenuatus ,e,schizocarp,dio or mono,4,unresolved
Hamamelidaceae,Neostrearia fleckeri ,e,capsule,mono,3,Hewson (1989)
Hamamelidaceae,Noahdendron nicholasii ,e,capsule,mono,3,Hewson (1989)
Hamamelidaceae,Ostrearia australiana ,e,capsule,mono,3,Hewson (1989)
Hernandiaceae,Gyrocarpus americanus ,n,nut,mono,3, Hyland et al. (2003)
Hernandiaceae,Hernandia albiflora ,e,drupe,mono,3,"Hyland 13439, QRS"
Hernandiaceae,Hernandia nymphaeifolia ,n,drupe,mono,3,"Forster 25261, Booth, Vicary, QRS"
Himantandraceae,Galbulimima baccata ,n,follicles,bi,1,Hyland et al. (2003)
Icacinaceae,Apodytes brachystylis ,e,drupe,bi,1,Guymer (1984)
Icacinaceae,Citronella moorei ,e,drupe,dio,2,Guymer (1984)
Icacinaceae,Citronella smythii ,e,drupe,bi,1,Guymer (1984)
Icacinaceae,Gomphandra australiana ,n,drupe,dio,2,Guymer (1984)
Icacinaceae,Irvingbaileya australis,e,drupe,dio,2,Guymer (1984)
Icacinaceae,Pennantia cunninghamii ,e,drupe,dio,2,Guymer (1984)
Lauraceae,Beilschmiedia bancroftii ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Beilschmiedia brunnea ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Beilschmiedia castrisinensis ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Beilschmiedia collina ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Beilschmiedia obtusifolia ,n,drupe,bi,1,Hyland (1989)
Lauraceae,Beilschmiedia oligandra ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Beilschmiedia peninsularis ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Beilschmiedia recurva ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Beilschmiedia tooram ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Beilschmiedia volckii ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Cinnamomum baileyanum ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Cinnamomum laubatii ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Cinnamomum oliveri ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Cinnamomum propinquum ,n,drupe,bi,1,Hyland (1989)
Lauraceae,Cryptocarya angulata ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Cryptocarya bamagana ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Cryptocarya bellendenkerana ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Cryptocarya brassii ,n,drupe,bi,1,Hyland (1989)
Lauraceae,Cryptocarya burckiana ,n,drupe,bi,1,Hyland (1989)
Lauraceae,Cryptocarya clarksoniana ,n,drupe,bi,1,Hyland (1989)
Lauraceae,Cryptocarya claudiana ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Cryptocarya cocosoides ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Cryptocarya corrugata ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Cryptocarya cunninghamii ,n,drupe,bi,1,Hyland (1989)
Lauraceae,Cryptocarya densiflora ,n,drupe,bi,1,Hyland (1989)
Lauraceae,Cryptocarya endiaridrifolia ,n,drupe,bi,1,Hyland (1989)
Lauraceae,Cryptocarya exfoliata ,n,drupe,bi,1,Hyland (1989)
Lauraceae,Cryptocarya glaucocarpa ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Cryptocarya grandis ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Cryptocarya hypospadia ,n,drupe,bi,1,Hyland (1989)
Lauraceae,Cryptocarya laevigata ,n,drupe,bi,1,Hyland (1989)
Lauraceae,Cryptocarya leucophylla ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Cryptocarya lividula ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Cryptocarya mackinnoniana ,n,drupe,bi,1,Hyland (1989)
Lauraceae,Cryptocarya melanocarpa ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Cryptocarya murrayi ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Cryptocarya oblata ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Cryptocarya onoprienkoana ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Cryptocarya pleurosperma ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Cryptocarya putida ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Cryptocarya rhodosperma ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Cryptocarya saccharata ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Cryptocarya smaragdina ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Cryptocarya ssp. (Boonjee BH 25794RFK) ,e,drupe,bi,1,Hyland et al. (2003)
Lauraceae,Cryptocarya ssp. (Gadgarra BH 25231RFK) ,e,drupe,bi,1,Hyland et al. (2003)
Lauraceae,Cryptocarya triplinervis var. riparia ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Cryptocarya vulgaris ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Endiandra acuminata ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Endiandra anthropophagorum ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Endiandra bellendenkerana ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Endiandra bessaphila ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Endiandra collinsii ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Endiandra compressa ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Endiandra cooperana ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Endiandra cowleyana ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Endiandra dichrophylla ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Endiandra dielsiana ,n,drupe,bi,1,Hyland (1989)
Lauraceae,Endiandra discolor ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Endiandra glauca ,n,drupe,bi,1,Hyland (1989)
Lauraceae,Endiandra globosa ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Endiandra grayi ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Endiandra hypotephra ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Endiandra impressicosta ,n,drupe,bi,1,Hyland (1989)
Lauraceae,Endiandra insignis ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Endiandra jonesii ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Endiandra leptodendron ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Endiandra limnophila ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Endiandra longipedicellata ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Endiandra microneura ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Endiandra monothyra  ssp. monothyra ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Endiandra monothyra  ssp. trichophylla ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Endiandra montana ,n,drupe,bi,1,Hyland (1989)
Lauraceae,Endiandra palmerstonii ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Endiandra phaeocarpa ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Endiandra sankeyana ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Endiandra sideroxylon ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Endiandra wolfei ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Endiandra xanthocarpa ,e,drupe,bi,1,Hyland (1989)
Lauraceae,Lindera queenslandica ,n,drupe,dio,2,Hyland (1989)
Lauraceae,Litsea bennettii ,e,drupe,dio,2,Hyland (1989)
Lauraceae,Litsea bindoniana ,e,drupe,dio,2,Hyland (1989)
Lauraceae,Litsea breviumbellata ,n,drupe,dio,2,Hyland (1989)
Lauraceae,Litsea connorsii ,e,drupe,dio,2,Hyland (1989)
Lauraceae,Litsea fawcettiana ,e,drupe,dio,2,Hyland (1989)
Lauraceae,Litsea glutinosa ,n,drupe,dio,2,Hyland (1989)
Lauraceae,Litsea granitica ,e,drupe,dio,2,Hyland (1989)
Lauraceae,Litsea leefeana ,e,drupe,dio,2,Hyland (1989)
Lauraceae,Litsea macrophylla ,n,drupe,dio,2,Hyland (1989)
Lauraceae,Neolitsea brassii ,n,drupe,dio,2,Hyland (1989)
Lauraceae,Neolitsea dealbata ,e,drupe,dio,2,Hyland (1989)
Lecythidaceae,Barringtonia acutangula ssp. acutangula ,n,capsule,bi,1,Henderson (1982)
Lecythidaceae,Barringtonia asiatica ,n,capsule,bi,1,Henderson (1982)
Lecythidaceae,Barringtonia calyptrata ,n,capsule,bi,1,Henderson (1982)
Lecythidaceae,Barringtonia racemosa ,n,capsule,bi,1,Henderson (1982)
Lecythidaceae,Planchonia careya ,n,berry,bi,1,Henderson (1982)
Loganiaceae,Fagraea berteroana ,n,berry,bi,1,Morley and Toelken (1983)
Loganiaceae,Fagraea cambagei ,n,berry,bi,1,Morley and Toelken (1983)
Loganiaceae,Fagraea fagraeacea ,e,berry,bi,1,Morley and Toelken (1983)
Loganiaceae,Fagraea racemosa ,n,berry,bi,1,Morley and Toelken (1983)
Loganiaceae,Strychnos lucida ,n,berry,bi,1,Morley and Toelken (1983)
Loganiaceae,Strychnos psilosperma ,n,berry,bi,1,Morley and Toelken (1983)
Lythraceae,Lagerstroemia archeriana ,n,capsule,bi,1,Hewson (1990)
Malvaceae,Hibiscus tiliaceus ,n,capsule,bi,1,Hyland et al. (2003)
Malvaceae,Macrostelia grandifolia ssp. grandifolia ,e,capsule,dio,2,Fryxell (1974)
Malvaceae,Thespesia populneoides ,n,capsule,bi,1,Hyland et al. (2003)
Malvaceae (Bombacaceae),Adansonia gregorii ,e,capsule,bi,1,Hyland et al.  (2003)
Malvaceae (Bombacaceae),Bombax ceiba ,n,capsule,bi,1,Hyland et al.  (2003)
Malvaceae (Sterculiaceae),Argyrodendron actinophyllum ssp. diversifolium ,e,samara,mono,3, Hyland et al. (2003)
Malvaceae (Sterculiaceae),Argyrodendron peralatum ,e,samara,mono,3, Hyland et al. (2003)
Malvaceae (Sterculiaceae),Argyrodendron polyandrum ,e,samara,mono,3, Hyland et al. (2003)
Malvaceae (Sterculiaceae),Argyrodendron ssp. (Boonjee BH 2139RFK) ,e,samara,mono,3, Hyland et al. (2003)
Malvaceae (Sterculiaceae),Argyrodendron ssp. (Mt Haig LSS 14307) ,e,samara,mono,3, Hyland et al. (2003)
Malvaceae (Sterculiaceae),Argyrodendron ssp. (Penta Tulip Oak BH 2565RFK) ,e,samara,mono,3, Hyland et al. (2003)
Malvaceae (Sterculiaceae),Argyrodendron ssp. (Whyanbeel BH 1106RFK) ,e,samara,mono,3, Hyland et al. (2003)
Malvaceae (Sterculiaceae),Argyrodendron trifoliolatum ,e,samara,mono,3,"Gray 806, QRS"
Malvaceae (Sterculiaceae),Brachychiton acerifolius ,e,follicles,mono,3, Guymer (1988). 
Malvaceae (Sterculiaceae),Brachychiton albidus ,e,follicles,mono,3,Guymer (1988). 
Malvaceae (Sterculiaceae),Brachychiton australis ,e,follicles,mono,3,Guymer (1988). 
Malvaceae (Sterculiaceae),Brachychiton chillagoensis ,e,follicles,mono,3,Guymer (1988). 
Malvaceae (Sterculiaceae),Brachychiton diversifolius ssp. diversifolius ,e,follicles,mono,3,Guymer (1988). 
Malvaceae (Sterculiaceae),Brachychiton garrawayae ,e,follicles,mono,3,Guymer (1988). 
Malvaceae (Sterculiaceae),Brachychiton grandiflorus ,e,follicles,mono,3,Guymer (1988). 
Malvaceae (Sterculiaceae),Brachychiton velutinosus ,n,follicles,mono,3,Guymer (1988). 
Malvaceae (Sterculiaceae),Brachychiton viridiflorus ,e,follicles,mono,3,Guymer (1988). 
Malvaceae (Sterculiaceae),Brachychiton xanthophyllus ,e,follicles,mono,3,Guymer (1988). 
Malvaceae (Sterculiaceae),Commersonia bartramia ,n,capsule,bi,1,Hyland et al.  (2003)
Malvaceae (Sterculiaceae),Commersonia ssp. (Klondike BH 25863RFK) ,e,capsule,bi,1,Hyland et al.  (2003)
Malvaceae (Sterculiaceae),Firmiana papuana ,n,follicles,mono,3,"Hyland 4925, QRS"
Malvaceae (Sterculiaceae),Franciscodendron laurifolium ,e,follicles,bi,1,"Hyland 9175, QRS"
Malvaceae (Sterculiaceae),Heritiera littoralis ,n,samara,mono,3,Hyland et al. (2003)
Malvaceae (Sterculiaceae),Kleinhovia hospita ,n,capsule,bi,1,Hyland et al. (2003)
Malvaceae (Sterculiaceae),Melochia umbellata ,n,capsule,bi,1,Hyland et al. (2003)
Malvaceae (Sterculiaceae),Sterculia holtzei ,e,"dry, deh, follicle",mono,3,Guymer (1988)
Malvaceae (Sterculiaceae),Sterculia quadrifida ,n,"dry, deh, follicle",mono,3,"Gross 2003-30, NE"
Malvaceae (Sterculiaceae),Sterculia shillinglawii ,n,"dry, deh, follicle",mono,3,"Guymer (1988), p. 207"
Malvaceae (Tiliaceae),Berrya javanica ,n,capsule,bi,1,Halford (1993)
Malvaceae (Tiliaceae),Grewia breviflora ,e,drupe,mono,3,"Hyland 13817, QRS"
Malvaceae (Tiliaceae),Grewia papuana ,n,drupe,mono,3,"Hyland 15330, QRS"
Malvaceae (Tiliaceae),Schoutenia ovata ,n,nut,bi,1,Check Reinwardtia 7:91-138
Malvaceae (Tiliaceae),Trichospermum pleiostigma ,n,capsule,mono,3,"D. Halford,  pers. comm."
Melastomataceae,Memecylon hylandii ,e,berry,bi,1,Hyland et al. (2003)
Melastomataceae,Memecylon pauciflorum var. pauciflorum ,n,berry,bi,1,Hyland et al. (2003)
Melastomataceae,Pternandra coerulescens ,n,berry,bi,1,Hyland et al. (2003)
Meliaceae,Aglaia argentea ,n,berry,dio,2,Pennington (1975)
Meliaceae,Aglaia australiensis ,e,berry,dio,2,Pennington (1975)
Meliaceae,Aglaia brassii ,n,berry,dio,2,Pennington (1975)
Meliaceae,Aglaia brownii ,n,berry,dio,2,Pennington (1975)
Meliaceae,Aglaia elaeagnoidea ,n,berry,dio,2,Pennington (1975)
Meliaceae,Aglaia euryanthera ,n,berry,dio,2,Pennington (1975)
Meliaceae,Aglaia meridionalis ,e,berry,dio,2,Pennington (1975)
Meliaceae,Aglaia sapindina ,n,berry,dio,2,Pennington (1975)
Meliaceae,Aglaia spectabilis ,n,berry,dio,2,Pennington (1975)
Meliaceae,Aglaia tomentosa ,n,berry,dio,2,Pennington (1975)
Meliaceae,Anthocarapa nitidula ,n,capsule,mono,3, 
Meliaceae,Chisocheton longistipitatus ,n,capsule,bi,1,"Gray 3849, QRS"
Meliaceae,Dysoxylum alliaceum ,n,capsule,bi,1,Hyland et al. (2003) 
Meliaceae,Dysoxylum arborescens ,n,capsule,bi,1,"Hyland 12892, QRS"
Meliaceae,Dysoxylum gaudichaudianum ,n,capsule,dio,2,Hyland et al.2003 
Meliaceae,Dysoxylum klanderi ,e,capsule,dio,2,Hyland et al.2003 
Meliaceae,Dysoxylum latifolium ,n,capsule,bi,1,Hyland et al. (2003)
Meliaceae,Dysoxylum mollissimum ssp. molle ,n,capsule,bi,1,Hyland et al. (2003)
Meliaceae,Dysoxylum oppositifolium ,n,capsule,dio,2,Hyland et al.2003 
Meliaceae,Dysoxylum papuanum ,n,capsule,bi,1,Hyland et al. (2003)
Meliaceae,Dysoxylum parasiticum ,n,capsule,bi,1,Hyland et al. (2003)
Meliaceae,Dysoxylum pettigrewianum ,n,capsule,dio,2,Hyland et al.2003 
Meliaceae,Dysoxylum rufum ,e,capsule,dio,2,Hyland et al.2003 
Meliaceae,Dysoxylum setosum ,n,capsule,dio,2,Hyland et al.2003 
Meliaceae,Dysoxylum ssp. (Gosschalk LA BG 786) ,e,capsule,dio,2,Hyland et al.  (2003)
Meliaceae,Melia azedarach ,n,drupe,mono,3,Pennington (1975)
Meliaceae,Synoum glandulosum ssp. paniculosum ,e,capsule,bi,1,Hyland et al. (2003)
Meliaceae,Toona ciliata ,n,capsule,mono,3,Pennington (1975)
Meliaceae,Turraea pubescens ,n,capsule,bi,1,Pennington (1975)
Meliaceae,Vavaea amicorum ,n,berry,mono?,4,unresolved
Meliaceae,Vavaea australiana ,e,berry,bi,1,Hyland et al. (2003)
Monimiaceae,Daphnandra repandula ,e,achene,bi,1,Hyland et al.  (2003)
Monimiaceae,Doryphora aromatica ,e,achene,bi,1,Hyland et al.  (2003)
Monimiaceae,Dryadodaphne ssp. (Mt Lewis BH 1496RFK) ,e,achene,bi,1,Hyland et al.  (2003)
Monimiaceae,Hedycarya loxocarya ,e,drupe,dio,2,Hyland et al.  (2003)
Monimiaceae,Kibara rigidifolia ,n,drupe,dio,2,Hyland et al.  (2003)
Monimiaceae,Levieria acuminata ,n,drupe,dio,2,Phillipson (1980)
Monimiaceae,Monimiaceae Gen. Nov. ssp. (Davies Creek LJW 6430) ,e,drupe,?,4,unresolved
Monimiaceae,Steganthera australiana ,n,fleshy-indeh,mono/dio,4,unresolved
Monimiaceae,Steganthera macooraia ,e,drupe,mono,3,"Gray 2180, QRS"
Monimiaceae,Tetrasynandra laxiflora ,e,drupe,dio,2,"prob dio, need more material"
Monimiaceae,Tetrasynandra longipes ,e,drupe,dio,2,"Cooper 110 (male) & Hyland 13645 (female), QRS"
Monimiaceae,Tetrasynandra pubescens ,e,drupe,mono/dio,4,unresolved
Monimiaceae,Tetrasynandra ssp. (Mt Lewis BH 1053RFK) ,e,drupe,mono,3,Hyland et al. (2003); not QRS
Monimiaceae,Wilkiea angustifolia ,e,drupe,dio?,2,"Hyland 14468 & Hyland 11695, QRS"
Monimiaceae,Wilkiea ssp. (Mt Molloy LSS 3955) ,e,drupe,dio,2,Hyland et al. (2003).
Monimiaceae,Wilkiea ssp. (palmerston BH 80RFK) ,e,drupe,dio,2,"Female flowers not seen, probably dioecious, see also Hyland et al. (2003)"
Monimiaceae,Wilkiea wardellii ,e,drupe,mono/dio,4,unresolved
Moraceae,Antiaris toxicaria var. macrophylla ,n,drupe,mono,3,Chew (1989) 
Moraceae,Artocarpus glaucus ,n,syncarp,mono,3,Chew (1989) 
Moraceae,Ficus adenosperma ,n,synconium,dio,2,"D. D. Dixon, pers. comm"
Moraceae,Ficus albipila ,n,synconium,mono,3,"D. Dixon, pers. comm"
Moraceae,Ficus atricha ,n,synconium,mono,3,"D. Dixon, pers. comm"
Moraceae,Ficus benjamina ,n,synconium,mono,3,"D. Dixon, pers. comm"
Moraceae,Ficus brachypoda ,e,synconium,mono,3,"D. Dixon, pers. comm"
Moraceae,Ficus cerasicarpa,?,synconium,mono,3,"D. Dixon, pers. comm"
Moraceae,Ficus congesta ,n,synconium,dio,2,"D. D. Dixon,, pers. comm"
Moraceae,Ficus copiosa ,n,synconium,dio,2,"D. Dixon, pers. comm"
Moraceae,Ficus coronulata ,e,synconium,dio,2,"D. Dixon, pers. comm"
Moraceae,Ficus crassipes ,e,synconium,mono,3,"D. Dixon, pers. comm"
Moraceae,Ficus cumingii var. androbrota ,n,synconium,dio,2,"D. Dixon, pers. comm"
Moraceae,Ficus destruens ,e,synconium,mono,3,"D. Dixon, pers. comm"
Moraceae,Ficus drupacea ,n,synconium,mono,3,"D. Dixon, pers. comm"
Moraceae,Ficus fraseri ,n,synconium,dio,2,"D. Dixon, pers. comm"
Moraceae,Ficus hispida ,n,synconium,dio,2,"D. Dixon, pers. comm"
Moraceae,Ficus leptoclada ,e,synconium,dio,2,"D. Dixon, pers. comm"
Moraceae,Ficus melinocarpa var. hololampra ,n,synconium,dio,2,"D. Dixon, pers. comm"
Moraceae,Ficus microcarpa ,n,synconium,mono,3,"D. Dixon, pers. comm"
Moraceae,Ficus mollior ,n,synconium,dio,2,"D. Dixon, pers. comm"
Moraceae,Ficus nodosa ,n,synconium,dio,2,"D. Dixon, pers. comm"
Moraceae,Ficus obliqua ,n,synconium,mono,3,"D. Dixon, pers. comm"
Moraceae,Ficus opposita var. indecora ,n,synconium,dio,2,"D. Dixon, pers. comm"
Moraceae,Ficus opposita var. micrantha,e,synconium,dio,2,"D. Dixon, pers. comm"
Moraceae,Ficus opposita var. opposita ,e,synconium,dio,2,"D. Dixon, pers. comm"
Moraceae,Ficus platypoda  ,e,synconium,mono,3,"D. Dixon, pers. comm"
Moraceae,Ficus pleurocarpa ,e,synconium,mono,3,"D. Dixon, pers. comm"
Moraceae,Ficus racemosa ,n,synconium,mono,3,"D. Dixon, pers. comm"
Moraceae,Ficus rubiginosa ,e,synconium,mono,3,"D. Dixon, pers. comm"
Moraceae,Ficus septica ,n,synconium,dio,2,"D. Dixon, pers. comm"
Moraceae,Ficus subnervosa ,n,synconium,mono,3,"D. Dixon, pers. comm"
Moraceae,Ficus subpuberula ,e,synconium,mono,3,"D. Dixon, pers. comm"
Moraceae,Ficus superba var. henneana ,n,synconium,mono,3,"D. Dixon, pers. comm"
Moraceae,Ficus tinctoria ,n,synconium,dio,2,"D. Dixon, pers. comm"
Moraceae,Ficus triradiata ,e,synconium,mono,3,"D. Dixon, pers. comm"
Moraceae,Ficus variegata ,n,synconium,dio,2,"D. Dixon, pers. comm"
Moraceae,Ficus virens var. dasycarpa,e,synconium,mono,3,"D. Dixon, pers. comm"
Moraceae,Ficus virens var. sublanceolata ,n,synconium,mono,3,"D. Dixon, pers. comm"
Moraceae,Ficus virens var. virens ,n,synconium,mono,3,"D. Dixon, pers. comm"
Moraceae,Ficus virgata ,n,synconium,dio,2,"D. Dixon, pers. comm"
Moraceae,Ficus watkinsiana ,e,synconium,mono,3,Hyland et al. (2003)
Moraceae,Streblus brunonianus ,e,achene,mono,3,Chew (1989) 
Moraceae,Streblus glaber var. australianus ,e,achene,mono,3,Chew (1989) 
Myristicaceae,Horsfieldia australiana ,e,capsule,dio,2,Hyland et al.  (2003)
Myristicaceae,Myristica insipida ,e,capsule,dio,2,Hyland et al.  (2003)
Myrsinaceae,Ardisia pachyrrhachis ,e,drupe,bi,1,Hyland et al.  (2003)
Myrsinaceae,Rapanea achradifolia ,e,drupe,dio,2,"B.Jackes, pers. comm."
Myrsinaceae,Rapanea benthamiana ,e,drupe,dio,2,"B.Jackes, pers. comm."
Myrsinaceae,Rapanea porosa ,e,drupe,dio,2,"B.Jackes, pers. comm."
Myrsinaceae,Rapanea variabilis ,e,drupe,dio,2,"B.Jackes, pers. comm."
Myrtaceae,Acmena divaricata ,e,berry,bi,1,"P. Wilson,, pers. comm."
Myrtaceae,Acmena graveolens ,e,berry,bi,1,"P. Wilson, pers. comm."
Myrtaceae,Acmena hemilampra ssp. hemilampra ,n,berry,bi,1,"P. Wilson, pers. comm."
Myrtaceae,Acmena hemilampra ssp. orophila ,e,berry,bi,1,"P. Wilson, pers. comm."
Myrtaceae,Acmena mackinnoniana ,e,berry,bi,1,"P. Wilson, pers. comm."
Myrtaceae,Acmena resa ,e,berry,bi,1,"P. Wilson, pers. comm."
Myrtaceae,Acmena smithii ,e,berry,bi,1,"P. Wilson, pers. comm."
Myrtaceae,Acmena ssp. (Cooper Creek GS 1419) ,e,berry,bi,1,"P. Wilson, pers. comm."
Myrtaceae,Acmenosperma claviflorum ,n,berry,bi,1,"P. Wilson, pers. comm."
Myrtaceae,Acmenosperma pringlei ,e,berry,bi,1,Hyland et al.  (2003)
Myrtaceae,Allosyncarpia ternata ,e,capsule,bi,1,Blake (1977)
Myrtaceae,Archirhodomyrtus beckleri ,e,berry,bi,1,"P. Wilson, pers. comm."
Myrtaceae,Asteromyrtus angustifolia ,e,berry,bi,1,Hyland et al. (2003)
Myrtaceae,Asteromyrtus brassii ,n,berry,bi,1,Hyland et al. (2003)
Myrtaceae,Austromyrtus dallachiana ,e,berry,bi,1,Hyland et al.  (2003)
Myrtaceae,Austromyrtus floribunda ,n,berry,bi,1,Hyland et al.  (2003)
Myrtaceae,Austromyrtus hillii ,e,berry,bi,1,Hyland et al.  (2003)
