location_name,latitude (deg),longitude (deg),locality,state
Bibra Lake,-32.090789,115.811681,"Bibra Lake, WA",WA
Bilpin,-33.4814,150.548,"Bilpin, NSW",NSW
"Binnu, near petrol station",-28.041725,114.673661,"Binnu, near petrol station, WA",WA
Black Mountain,-35.2633,149.0875,"Black Mountain, ACT",ACT
Blackwall Reach Reserve,-32.020664,115.781166,"Blackwall Reach Reserve, WA",WA
Bold Park,-31.956153,115.771194,"Bold Park, WA",WA
Calingiri,-31.05,116.26,"Calingiri, WA",WA
"Carnarvon, Babbage Is. Rd. - WA - -24.874416°S",-24.874416,113.652727,"Carnarvon, Babbage Is. Rd., WA",WA
"Carnarvon, Babbage Is. Rd. - WA - -24.874754°S",-24.874754,113.647182,"Carnarvon, Babbage Is. Rd., WA",WA
"Carnarvon, HMAS Sydney II Memorial Ave/NW Coastal Hwy",-24.898387,113.709527,"Carnarvon, HMAS Sydney II Memorial Ave/NW Coastal Hwy, WA",WA
"Carnarvon, Pistol Range",-24.915561,113.726319,"Carnarvon, Pistol Range, WA",WA
"Carnarvon, Police Stn Robinson St",-24.876905,113.661888,"Carnarvon, Police Stn Robinson St, WA",WA
"Carnarvon, Whitlock Creek Rd.",-24.875818,113.643032,"Carnarvon, Whitlock Creek Rd., WA",WA
"Carnarvon, off Babbage Is Rd near Water treatment plant",-24.872476,113.650147,"Carnarvon, off Babbage Is Rd near Water treatment plant, WA",WA
Chandler,-32.272654,116.147284,"Chandler, WA",WA
"Chandler Block, Ashendon",-32.274659,116.148736,"Chandler Block, Ashendon, WA",WA
"Cooke, Mt Cooke",-32.374901,116.343771,"Cooke, Mt Cooke, WA",WA
"Cooper Creek, 19 km E by S of Mt Borradaile",-12.1,133.066667,"Cooper Creek, 19 km E by S of Mt Borradaile, NT",NT
Credo Station,-29.92833,120.55209,"Credo Station, WA",WA
Cunnawarra NP,-33.4814,150.548,"Cunnawarra NP, NSW",NSW
"Darlington, Perth - WA - 31.57",-31.57,115.52,"Darlington, Perth, WA",WA
"Deer Rd, Marrinup Forest",-32.670894,116.002099,"Deer Rd, Marrinup Forest, WA",WA
Doyles Creek,-32.5219,150.7972,"Doyles Creek, NSW",NSW
"Eighty-mile beach, south of Broome, northern WA",-19.7235,121.3948,"Eighty-mile beach, south of Broome, northern WA, WA",WA
Elliot,-17.562,133.558,"Elliot, NT",NT
Flint,-32.355794,116.42177,"Flint, WA",WA
"Garden Street Extension, Gosnells",-32.083798,115.951307,"Garden Street Extension, Gosnells",NA
"Geraldton, Chapman River Park",-32.002416,115.887664,"Geraldton, Chapman River Park, WA",WA
"Gordon, Karrakup",-32.254388,116.074643,"Gordon, Karrakup, WA",WA
Gosnells,-32.075489,116.004589,"Gosnells, WA",WA
Harris River NP,-33.151141,116.189276,"Harris River NP, WA",WA
Hincks Nat. Pk,-33.5,136.9,"Hincks Nat. Pk, SA",SA
"Howse Drive, Wurmaring",-32.931353,116.220352,"Howse Drive, Wurmaring, WA",WA
"Inggarda, One Tree Point Nature Reserve",-24.848342,113.649294,"Inggarda, One Tree Point Nature Reserve, WA",WA
Jandakot,-32.098467,115.860237,"Jandakot, WA",WA
John Connell Reserve,-32.082059,115.869784,"John Connell Reserve, WA",WA
Karijini National Park,-22.525,118.7833,"Karijini National Park, WA",WA
Ken Hurst,-32.080353,115.885446,"Ken Hurst, WA",WA
Kings Park,-31.965344,115.828254,"Kings Park, WA",WA
Kooljerrinup Reserve,-32.762984,115.730891,"Kooljerrinup Reserve, WA",WA
Koondoola Bushland,-31.836861,115.867444,"Koondoola Bushland, WA",WA
Lake Claremont,-31.975178,115.779525,"Lake Claremont, WA",WA
Lightning Swamp,-31.869692,115.906885,"Lightning Swamp, WA",WA
"Maida Vale, Kalamunda",-31.947915,116.024429,"Maida Vale, Kalamunda, WA",WA
"Maide Vale, Kalamunda",-31.943948,116.032539,"Maide Vale, Kalamunda, WA",WA
"Maniana reserve, Queens Park",-32.002849,115.956506,"Maniana reserve, Queens Park, WA",WA
Marrarup,-32.79,115.955,"Marrarup, WA",WA
Maxwell Park/Russo Reserve,-31.873596,115.905237,"Maxwell Park/Russo Reserve, WA",WA
Maylands Lakes,-31.946201,115.90474,"Maylands Lakes, WA",WA
"McPherson Park, Noranda",-31.878238,115.914017,"McPherson Park, Noranda, WA",WA
Mount Ainslie,-35.2633,149.0875,"Mount Ainslie, ACT",ACT
Mullion Flora Res.,-33.11,149.17,"Mullion Flora Res., NSW",NSW
"NW Coastal Hwy near Meadow, S of Shark Bay turnoff",-26.796343,114.611323,"NW Coastal Hwy near Meadow, S of Shark Bay turnoff, WA",WA
Napoleon Reef,-33.4172,149.7492,"Napoleon Reef, NSW",NSW
Nedlands - WA - -31.987193,-31.987193,115.803525,"Nedlands, WA",WA
Nedlands - WA - 32.021461°S,-32.021461,115.924081,"Nedlands, WA",WA
Perth,-31.57,115.52,"Perth, WA",WA
"Pindalup, Coach Rd, Wurmaring",-32.757457,116.278162,"Pindalup, Coach Rd, Wurmaring, WA",WA
Piney Lakes,-32.048486,115.831575,"Piney Lakes, WA",WA
"Piney Lakes, Winthrop",-32.048163,115.836028,"Piney Lakes, Winthrop, WA",WA
Pinnaroo,-35.5539,140.7614,"Pinnaroo, SA",SA
"Poison Gully, High Wycombe",-31.953895,116.008039,"Poison Gully, High Wycombe, WA",WA
Pulletop NR,-33.9656,146.0842,"Pulletop NR, NSW",NSW
Purnululu World Heritage Park,-17.528933,128.304879,"Purnululu World Heritage Park, WA",WA
"Queens Park Rd, Wilson",-32.021215,115.920882,"Queens Park Rd, Wilson, WA",WA
Ron Carroll Reserve,-32.052815,115.858461,"Ron Carroll Reserve, WA",WA
S of Carnarvon,-24.951306,113.725193,"S of Carnarvon, WA",WA
"Serpentine, Karnet",-32.399333,116.013952,"Serpentine, Karnet, WA",WA
Shenton Park Bushland,-31.948431,115.794516,"Shenton Park Bushland, WA",WA
Southern Beekeeper's Nature Reserve,-30.414635,115.105712,"Southern Beekeeper's Nature Reserve, WA",WA
"Urbrae, Torrens Rd, Banksiadale",-32.581259,116.05793,"Urbrae, Torrens Rd, Banksiadale, WA",WA
Walyarta - WA - -19.7170E,-19.717,121.6084,"Walyarta, WA",WA
Walyarta - WA - -19.7175E,-19.7175,121.5312,"Walyarta, WA",WA
Walyarta - WA - -19.7178E,-19.7178,121.5605,"Walyarta, WA",WA
Walyarta - WA - -19.71E,-19.71,121.61,"Walyarta, WA",WA
Walyarta - WA - -19.7231E,-19.7231,121.6495,"Walyarta, WA",WA
Walyarta - WA - -19.7241E,-19.7241,121.3338,"Walyarta, WA",WA
Walyarta - WA - -19.7268E,-19.7268,121.3135,"Walyarta, WA",WA
Walyarta - WA - -19.7892E,-19.7892,121.3908,"Walyarta, WA",WA
Walyarta - WA - -19°72.12,-19.7212,121.4036,"Walyarta, WA",WA
Walyarta - WA - -19°72.31,-19.7231,121.3964,"Walyarta, WA",WA
Walyarta - WA - -19°72.35,-19.7235,121.394,"Walyarta, WA",WA
Walyarta - WA - -19°72.41,-19.7241,121.3751,"Walyarta, WA",WA
Walyarta - WA - -19°72.59,-19.7259,121.3708,"Walyarta, WA",WA
Walyarta - WA - -19°72.62,-19.7262,121.3822,"Walyarta, WA",WA
Walyarta - WA - -19°76.44,-19.7644,120.6735,"Walyarta, WA",WA
Walyarta - WA - -19°76.59,-19.7659,121.392,"Walyarta, WA",WA
Walyarta - WA - -19°77.16,-19.7716,120.6744,"Walyarta, WA",WA
Walyarta - WA - -19°78.37,-19.7837,121.3392,"Walyarta, WA",WA
Warick Bushland,-31.841531,115.818384,"Warick Bushland, WA",WA
Watheroo National Park,-30.2,115.83,"Watheroo National Park, WA",WA
Wellington State Forest,-33.416403,115.962774,"Wellington State Forest, WA",WA
Wireless Hill,-32.03102,115.828159,"Wireless Hill, WA",WA
adjacent to Shark Bay turnoff,-26.40964,114.463753,"adjacent to Shark Bay turnoff, WA",WA
near Lancelin,-24.915561,115.388583,"near Lancelin, WA",WA
"near Nilgen, Indiana Ocean Dr -24.874416°S, 113.652727°E",-24.874416,113.652727,"near Nilgen, Indiana Ocean Dr -24.874416°S, 113.652727°E, WA",WA
"towards Carnarvon, Indian Ocean Dr",-24.98598,113.765527,"towards Carnarvon, Indian Ocean Dr, WA",WA
