species,treatment,trait_name,value,source_id,sampling_date
Banksia oblongifolia,Disturbed,P_senesced (mg g-1),0.081,Tsujii_2023_2,2019
Banksia serrata,Disturbed,P_senesced (mg g-1),0.075,Tsujii_2023_2,2019
Banksia spinulosa,Disturbed,P_senesced (mg g-1),0.125,Tsujii_2023_2,2019
Dodonaea triquetra,Disturbed,P_senesced (mg g-1),0.165,Tsujii_2023_2,2019
Eucalyptus haemastoma,Disturbed,P_senesced (mg g-1),0.098,Tsujii_2023_2,2019
Hakea sericea,Disturbed,P_senesced (mg g-1),0.114,Tsujii_2023_2,2019
Lambertia formosa,Disturbed,P_senesced (mg g-1),0.082,Tsujii_2023_2,2019
Leptospermum trinervium,Disturbed,P_senesced (mg g-1),0.103,Tsujii_2023_2,2019
Pittosporum undulatum,Disturbed,P_senesced (mg g-1),0.254,Tsujii_2023_2,2019
Acacia longifolia,Disturbed,P-i (mg g-1),0.201,Tsujii_2023_2,2019
Allocasuarina littoralis,Disturbed,P-i (mg g-1),0.087,Tsujii_2023_2,2019
Angophora hispida,Disturbed,P-i (mg g-1),0.077,Tsujii_2023_2,2019
Banksia oblongifolia,Disturbed,P-i (mg g-1),0.093,Tsujii_2023_2,2019
Banksia serrata,Disturbed,P-i (mg g-1),0.052,Tsujii_2023_2,2019
Banksia spinulosa,Disturbed,P-i (mg g-1),0.139,Tsujii_2023_2,2019
Dodonaea triquetra,Disturbed,P-i (mg g-1),0.166,Tsujii_2023_2,2019
Eucalyptus haemastoma,Disturbed,P-i (mg g-1),0.222,Tsujii_2023_2,2019
Hakea sericea,Disturbed,P-i (mg g-1),0.075,Tsujii_2023_2,2019
Lambertia formosa,Disturbed,P-i (mg g-1),0.081,Tsujii_2023_2,2019
Leptospermum trinervium,Disturbed,P-i (mg g-1),0.11,Tsujii_2023_2,2019
Pittosporum undulatum,Disturbed,P-i (mg g-1),0.236,Tsujii_2023_2,2019
Acacia longifolia,Disturbed,P-L (mg g-1),0.136,Tsujii_2023_2,2019
Allocasuarina littoralis,Disturbed,P-L (mg g-1),0.072,Tsujii_2023_2,2019
Angophora hispida,Disturbed,P-L (mg g-1),0.106,Tsujii_2023_2,2019
Banksia oblongifolia,Disturbed,P-L (mg g-1),0.085,Tsujii_2023_2,2019
Banksia serrata,Disturbed,P-L (mg g-1),0.067,Tsujii_2023_2,2019
Banksia spinulosa,Disturbed,P-L (mg g-1),0.089,Tsujii_2023_2,2019
Dodonaea triquetra,Disturbed,P-L (mg g-1),0.157,Tsujii_2023_2,2019
Eucalyptus haemastoma,Disturbed,P-L (mg g-1),0.133,Tsujii_2023_2,2019
Hakea sericea,Disturbed,P-L (mg g-1),0.077,Tsujii_2023_2,2019
Lambertia formosa,Disturbed,P-L (mg g-1),0.084,Tsujii_2023_2,2019
Leptospermum trinervium,Disturbed,P-L (mg g-1),0.099,Tsujii_2023_2,2019
Pittosporum undulatum,Disturbed,P-L (mg g-1),0.2,Tsujii_2023_2,2019
Acacia longifolia,Disturbed,P-M (mg g-1),0.044,Tsujii_2023_2,2019
Allocasuarina littoralis,Disturbed,P-M (mg g-1),0.055,Tsujii_2023_2,2019
Angophora hispida,Disturbed,P-M (mg g-1),0.056,Tsujii_2023_2,2019
Banksia oblongifolia,Disturbed,P-M (mg g-1),0.088,Tsujii_2023_2,2019
Banksia serrata,Disturbed,P-M (mg g-1),0.062,Tsujii_2023_2,2019
Banksia spinulosa,Disturbed,P-M (mg g-1),0.026,Tsujii_2023_2,2019
Dodonaea triquetra,Disturbed,P-M (mg g-1),0.077,Tsujii_2023_2,2019
Eucalyptus haemastoma,Disturbed,P-M (mg g-1),0.048,Tsujii_2023_2,2019
Hakea sericea,Disturbed,P-M (mg g-1),0.027,Tsujii_2023_2,2019
Lambertia formosa,Disturbed,P-M (mg g-1),0.042,Tsujii_2023_2,2019
Leptospermum trinervium,Disturbed,P-M (mg g-1),0.021,Tsujii_2023_2,2019
Pittosporum undulatum,Disturbed,P-M (mg g-1),0.096,Tsujii_2023_2,2019
Acacia longifolia,Disturbed,P-N (mg g-1),0.22,Tsujii_2023_2,2019
Allocasuarina littoralis,Disturbed,P-N (mg g-1),0.126,Tsujii_2023_2,2019
Angophora hispida,Disturbed,P-N (mg g-1),0.12,Tsujii_2023_2,2019
Banksia oblongifolia,Disturbed,P-N (mg g-1),0.105,Tsujii_2023_2,2019
Banksia serrata,Disturbed,P-N (mg g-1),0.087,Tsujii_2023_2,2019
Banksia spinulosa,Disturbed,P-N (mg g-1),0.127,Tsujii_2023_2,2019
Dodonaea triquetra,Disturbed,P-N (mg g-1),0.18,Tsujii_2023_2,2019
Eucalyptus haemastoma,Disturbed,P-N (mg g-1),0.154,Tsujii_2023_2,2019
Hakea sericea,Disturbed,P-N (mg g-1),0.064,Tsujii_2023_2,2019
Lambertia formosa,Disturbed,P-N (mg g-1),0.08,Tsujii_2023_2,2019
Leptospermum trinervium,Disturbed,P-N (mg g-1),0.114,Tsujii_2023_2,2019
Pittosporum undulatum,Disturbed,P-N (mg g-1),0.196,Tsujii_2023_2,2019
Acacia longifolia,Disturbed,P-R (mg g-1),0.061,Tsujii_2023_2,2019
Allocasuarina littoralis,Disturbed,P-R (mg g-1),0.048,Tsujii_2023_2,2019
Angophora hispida,Disturbed,P-R (mg g-1),0.03,Tsujii_2023_2,2019
Banksia oblongifolia,Disturbed,P-R (mg g-1),0.037,Tsujii_2023_2,2019
Banksia serrata,Disturbed,P-R (mg g-1),0.038,Tsujii_2023_2,2019
Banksia spinulosa,Disturbed,P-R (mg g-1),0.04,Tsujii_2023_2,2019
Dodonaea triquetra,Disturbed,P-R (mg g-1),0.044,Tsujii_2023_2,2019
Eucalyptus haemastoma,Disturbed,P-R (mg g-1),0.029,Tsujii_2023_2,2019
Hakea sericea,Disturbed,P-R (mg g-1),0.025,Tsujii_2023_2,2019
Lambertia formosa,Disturbed,P-R (mg g-1),0.036,Tsujii_2023_2,2019
Leptospermum trinervium,Disturbed,P-R (mg g-1),0.045,Tsujii_2023_2,2019
Pittosporum undulatum,Disturbed,P-R (mg g-1),0.027,Tsujii_2023_2,2019
Acacia longifolia,Disturbed,P-total (mg g-1),0.639,Tsujii_2023_2,2019
Allocasuarina littoralis,Disturbed,P-total (mg g-1),0.384,Tsujii_2023_2,2019
Angophora hispida,Disturbed,P-total (mg g-1),0.398,Tsujii_2023_2,2019
Banksia oblongifolia,Disturbed,P-total (mg g-1),0.423,Tsujii_2023_2,2019
Banksia serrata,Disturbed,P-total (mg g-1),0.313,Tsujii_2023_2,2019
Banksia spinulosa,Disturbed,P-total (mg g-1),0.401,Tsujii_2023_2,2019
Dodonaea triquetra,Disturbed,P-total (mg g-1),0.63,Tsujii_2023_2,2019
Eucalyptus haemastoma,Disturbed,P-total (mg g-1),0.563,Tsujii_2023_2,2019
Hakea sericea,Disturbed,P-total (mg g-1),0.259,Tsujii_2023_2,2019
Lambertia formosa,Disturbed,P-total (mg g-1),0.324,Tsujii_2023_2,2019
Leptospermum trinervium,Disturbed,P-total (mg g-1),0.386,Tsujii_2023_2,2019
Pittosporum undulatum,Disturbed,P-total (mg g-1),0.74,Tsujii_2023_2,2019
Acacia longifolia,Disturbed,Rdarea (umol CO2 m-2 s-1),1.771,Tsujii_2023_2,2019
Allocasuarina littoralis,Disturbed,Rdarea (umol CO2 m-2 s-1),1.299,Tsujii_2023_2,2019
Angophora hispida,Disturbed,Rdarea (umol CO2 m-2 s-1),0.794,Tsujii_2023_2,2019
Banksia oblongifolia,Disturbed,Rdarea (umol CO2 m-2 s-1),1.232,Tsujii_2023_2,2019
Banksia serrata,Disturbed,Rdarea (umol CO2 m-2 s-1),0.968,Tsujii_2023_2,2019
Banksia spinulosa,Disturbed,Rdarea (umol CO2 m-2 s-1),1.211,Tsujii_2023_2,2019
Dodonaea triquetra,Disturbed,Rdarea (umol CO2 m-2 s-1),1.545,Tsujii_2023_2,2019
Eucalyptus haemastoma,Disturbed,Rdarea (umol CO2 m-2 s-1),2.172,Tsujii_2023_2,2019
Hakea sericea,Disturbed,Rdarea (umol CO2 m-2 s-1),0.716,Tsujii_2023_2,2019
Lambertia formosa,Disturbed,Rdarea (umol CO2 m-2 s-1),2.343,Tsujii_2023_2,2019
Leptospermum trinervium,Disturbed,Rdarea (umol CO2 m-2 s-1),1.912,Tsujii_2023_2,2019
Pittosporum undulatum,Disturbed,Rdarea (umol CO2 m-2 s-1),0.951,Tsujii_2023_2,2019
Acacia floribunda,High-P,Aarea (umol Co2 m-2 s-1),11.03,Wright_2001,1998
Allocasuarina sp1,High-P,Aarea (umol Co2 m-2 s-1),9.44,Wright_2001,1998
Astrotricha floccosa,High-P,Aarea (umol Co2 m-2 s-1),11.86,Wright_2001,1998
Eucalyptus paniculata,High-P,Aarea (umol Co2 m-2 s-1),9.23,Wright_2001,1998
Eucalyptus umbra,High-P,Aarea (umol Co2 m-2 s-1),8.58,Wright_2001,1998
Gompholobium latifolium,High-P,Aarea (umol Co2 m-2 s-1),NA,Wright_2001,1998
Leptospermum polygalifolium,High-P,Aarea (umol Co2 m-2 s-1),8.59,Wright_2001,1998
Lomatia silaifolia,High-P,Aarea (umol Co2 m-2 s-1),5.88,Wright_2001,1998
Macrozamia communis,High-P,Aarea (umol Co2 m-2 s-1),7.19,Wright_2001,1998
Persoonia linearis,High-P,Aarea (umol Co2 m-2 s-1),7.41,Wright_2001,1998
Pultenea daphnoides,High-P,Aarea (umol Co2 m-2 s-1),9.6,Wright_2001,1998
Pultenea flexilis,High-P,Aarea (umol Co2 m-2 s-1),10.09,Wright_2001,1998
Syncarpia glomulifera,High-P,Aarea (umol Co2 m-2 s-1),9.16,Wright_2001,1998
Synoum glandulosum,High-P,Aarea (umol Co2 m-2 s-1),6.46,Wright_2001,1998
Xylomelum pyriforme,High-P,Aarea (umol Co2 m-2 s-1),10.48,Wright_2001,1998
Acacia floribunda,High-P,LL (year),1.11,Wright_2002,1998-2000
Allocasuarina sp1,High-P,LL (year),NA,Wright_2002,1998-2000
Astrotricha floccosa,High-P,LL (year),0.52,Wright_2002,1998-2000
Eucalyptus paniculata,High-P,LL (year),1.09,Wright_2002,1998-2000
Eucalyptus umbra,High-P,LL (year),2.06,Wright_2002,1998-2000
Gompholobium latifolium,High-P,LL (year),2.2,Wright_2002,1998-2000
Leptospermum polygalifolium,High-P,LL (year),0.61,Wright_2002,1998-2000
Lomatia silaifolia,High-P,LL (year),2.27,Wright_2002,1998-2000
Macrozamia communis,High-P,LL (year),NA,Wright_2002,1998-2000
Persoonia linearis,High-P,LL (year),3.38,Wright_2002,1998-2000
Pultenea daphnoides,High-P,LL (year),0.78,Wright_2002,1998-2000
Pultenea flexilis,High-P,LL (year),1.38,Wright_2002,1998-2000
Syncarpia glomulifera,High-P,LL (year),1.91,Wright_2002,1998-2000
Synoum glandulosum,High-P,LL (year),0.98,Wright_2002,1998-2000
Xylomelum pyriforme,High-P,LL (year),3.43,Wright_2002,1998-2000
Acacia floribunda,High-P,LMA (g m-2),104.4,Tsujii_2023,2019-2020
Allocasuarina sp1,High-P,LMA (g m-2),154.5,Tsujii_2023,2019-2020
Astrotricha floccosa,High-P,LMA (g m-2),82.8,Tsujii_2023,2019-2020
Eucalyptus paniculata,High-P,LMA (g m-2),158.9,Tsujii_2023,2019-2020
Eucalyptus umbra,High-P,LMA (g m-2),232,Tsujii_2023,2019-2020
Gompholobium latifolium,High-P,LMA (g m-2),87,Tsujii_2023,2019-2020
Leptospermum polygalifolium,High-P,LMA (g m-2),88.8,Tsujii_2023,2019-2020
Lomatia silaifolia,High-P,LMA (g m-2),147.5,Tsujii_2023,2019-2020
Macrozamia communis,High-P,LMA (g m-2),276,Tsujii_2023,2019-2020
Persoonia linearis,High-P,LMA (g m-2),138,Tsujii_2023,2019-2020
Pultenea daphnoides,High-P,LMA (g m-2),109.6,Tsujii_2023,2019-2020
Pultenea flexilis,High-P,LMA (g m-2),98.7,Tsujii_2023,2019-2020
Syncarpia glomulifera,High-P,LMA (g m-2),153.1,Tsujii_2023,2019-2020
Synoum glandulosum,High-P,LMA (g m-2),92.5,Tsujii_2023,2019-2020
Xylomelum pyriforme,High-P,LMA (g m-2),141.7,Tsujii_2023,2019-2020
Acacia floribunda,High-P,N (mg g-1),25,Tsujii_2023,2019-2020
Allocasuarina sp1,High-P,N (mg g-1),12.48,Tsujii_2023,2019-2020
Astrotricha floccosa,High-P,N (mg g-1),11.34,Tsujii_2023,2019-2020
Eucalyptus paniculata,High-P,N (mg g-1),11.89,Tsujii_2023,2019-2020
Eucalyptus umbra,High-P,N (mg g-1),9.51,Tsujii_2023,2019-2020
Gompholobium latifolium,High-P,N (mg g-1),20.34,Tsujii_2023,2019-2020
Leptospermum polygalifolium,High-P,N (mg g-1),13.15,Tsujii_2023,2019-2020
Lomatia silaifolia,High-P,N (mg g-1),7.33,Tsujii_2023,2019-2020
Macrozamia communis,High-P,N (mg g-1),16.47,Tsujii_2023,2019-2020
Persoonia linearis,High-P,N (mg g-1),9.09,Tsujii_2023,2019-2020
Pultenea daphnoides,High-P,N (mg g-1),18.83,Tsujii_2023,2019-2020
Pultenea flexilis,High-P,N (mg g-1),19.08,Tsujii_2023,2019-2020
Syncarpia glomulifera,High-P,N (mg g-1),9.37,Tsujii_2023,2019-2020
Synoum glandulosum,High-P,N (mg g-1),15.65,Tsujii_2023,2019-2020
Xylomelum pyriforme,High-P,N (mg g-1),9.55,Tsujii_2023,2019-2020
Acacia floribunda,High-P,P_senesced (mg g-1),0.152,Wright_2003,1998-2000
Allocasuarina sp1,High-P,P_senesced (mg g-1),NA,Wright_2003,1998-2000
Astrotricha floccosa,High-P,P_senesced (mg g-1),0.236,Wright_2003,1998-2000
Eucalyptus paniculata,High-P,P_senesced (mg g-1),0.222,Wright_2003,1998-2000
Eucalyptus umbra,High-P,P_senesced (mg g-1),0.124,Wright_2003,1998-2000
Gompholobium latifolium,High-P,P_senesced (mg g-1),0.098,Wright_2003,1998-2000
Leptospermum polygalifolium,High-P,P_senesced (mg g-1),0.148,Wright_2003,1998-2000
Lomatia silaifolia,High-P,P_senesced (mg g-1),0.086,Wright_2003,1998-2000
Macrozamia communis,High-P,P_senesced (mg g-1),0.382,Wright_2003,1998-2000
Persoonia linearis,High-P,P_senesced (mg g-1),0.186,Wright_2003,1998-2000
Pultenea daphnoides,High-P,P_senesced (mg g-1),0.047,Wright_2003,1998-2000
Pultenea flexilis,High-P,P_senesced (mg g-1),0.046,Wright_2003,1998-2000
Syncarpia glomulifera,High-P,P_senesced (mg g-1),0.081,Wright_2003,1998-2000
Synoum glandulosum,High-P,P_senesced (mg g-1),0.178,Wright_2003,1998-2000
Xylomelum pyriforme,High-P,P_senesced (mg g-1),0.06,Wright_2003,1998-2000
Acacia floribunda,High-P,P-i (mg g-1),0.233,Tsujii_2023,2019-2020
Allocasuarina sp1,High-P,P-i (mg g-1),0.081,Tsujii_2023,2019-2020
Astrotricha floccosa,High-P,P-i (mg g-1),0.109,Tsujii_2023,2019-2020
Eucalyptus paniculata,High-P,P-i (mg g-1),0.127,Tsujii_2023,2019-2020
Eucalyptus umbra,High-P,P-i (mg g-1),0.104,Tsujii_2023,2019-2020
Gompholobium latifolium,High-P,P-i (mg g-1),0.09,Tsujii_2023,2019-2020
Leptospermum polygalifolium,High-P,P-i (mg g-1),0.107,Tsujii_2023,2019-2020
Lomatia silaifolia,High-P,P-i (mg g-1),0.14,Tsujii_2023,2019-2020
Macrozamia communis,High-P,P-i (mg g-1),0.075,Tsujii_2023,2019-2020
Persoonia linearis,High-P,P-i (mg g-1),0.144,Tsujii_2023,2019-2020
Pultenea daphnoides,High-P,P-i (mg g-1),0.122,Tsujii_2023,2019-2020
Pultenea flexilis,High-P,P-i (mg g-1),0.111,Tsujii_2023,2019-2020
Syncarpia glomulifera,High-P,P-i (mg g-1),0.082,Tsujii_2023,2019-2020
Synoum glandulosum,High-P,P-i (mg g-1),0.177,Tsujii_2023,2019-2020
Xylomelum pyriforme,High-P,P-i (mg g-1),0.095,Tsujii_2023,2019-2020
Acacia floribunda,High-P,P-L (mg g-1),0.095,Tsujii_2023,2019-2020
Allocasuarina sp1,High-P,P-L (mg g-1),0.055,Tsujii_2023,2019-2020
Astrotricha floccosa,High-P,P-L (mg g-1),0.088,Tsujii_2023,2019-2020
Eucalyptus paniculata,High-P,P-L (mg g-1),0.101,Tsujii_2023,2019-2020
Eucalyptus umbra,High-P,P-L (mg g-1),0.102,Tsujii_2023,2019-2020
Gompholobium latifolium,High-P,P-L (mg g-1),0.042,Tsujii_2023,2019-2020
Leptospermum polygalifolium,High-P,P-L (mg g-1),0.083,Tsujii_2023,2019-2020
Lomatia silaifolia,High-P,P-L (mg g-1),0.078,Tsujii_2023,2019-2020
Macrozamia communis,High-P,P-L (mg g-1),0.168,Tsujii_2023,2019-2020
Persoonia linearis,High-P,P-L (mg g-1),0.08,Tsujii_2023,2019-2020
Pultenea daphnoides,High-P,P-L (mg g-1),0.038,Tsujii_2023,2019-2020
Pultenea flexilis,High-P,P-L (mg g-1),0.046,Tsujii_2023,2019-2020
Syncarpia glomulifera,High-P,P-L (mg g-1),0.083,Tsujii_2023,2019-2020
Synoum glandulosum,High-P,P-L (mg g-1),0.207,Tsujii_2023,2019-2020
Xylomelum pyriforme,High-P,P-L (mg g-1),0.1,Tsujii_2023,2019-2020
Acacia floribunda,High-P,P-M (mg g-1),0.043,Tsujii_2023,2019-2020
Allocasuarina sp1,High-P,P-M (mg g-1),0.049,Tsujii_2023,2019-2020
Astrotricha floccosa,High-P,P-M (mg g-1),0.079,Tsujii_2023,2019-2020
Eucalyptus paniculata,High-P,P-M (mg g-1),0.054,Tsujii_2023,2019-2020
Eucalyptus umbra,High-P,P-M (mg g-1),0.055,Tsujii_2023,2019-2020
Gompholobium latifolium,High-P,P-M (mg g-1),0.065,Tsujii_2023,2019-2020
Leptospermum polygalifolium,High-P,P-M (mg g-1),0.058,Tsujii_2023,2019-2020
Lomatia silaifolia,High-P,P-M (mg g-1),0.047,Tsujii_2023,2019-2020
Macrozamia communis,High-P,P-M (mg g-1),0.12,Tsujii_2023,2019-2020
Persoonia linearis,High-P,P-M (mg g-1),0.039,Tsujii_2023,2019-2020
Pultenea daphnoides,High-P,P-M (mg g-1),0.057,Tsujii_2023,2019-2020
Pultenea flexilis,High-P,P-M (mg g-1),0.083,Tsujii_2023,2019-2020
Syncarpia glomulifera,High-P,P-M (mg g-1),0.054,Tsujii_2023,2019-2020
Synoum glandulosum,High-P,P-M (mg g-1),0.126,Tsujii_2023,2019-2020
Xylomelum pyriforme,High-P,P-M (mg g-1),0.082,Tsujii_2023,2019-2020
Acacia floribunda,High-P,P-N (mg g-1),0.153,Tsujii_2023,2019-2020
Allocasuarina sp1,High-P,P-N (mg g-1),0.077,Tsujii_2023,2019-2020
Astrotricha floccosa,High-P,P-N (mg g-1),0.114,Tsujii_2023,2019-2020
Eucalyptus paniculata,High-P,P-N (mg g-1),0.142,Tsujii_2023,2019-2020
Eucalyptus umbra,High-P,P-N (mg g-1),0.095,Tsujii_2023,2019-2020
Gompholobium latifolium,High-P,P-N (mg g-1),0.095,Tsujii_2023,2019-2020
Leptospermum polygalifolium,High-P,P-N (mg g-1),0.121,Tsujii_2023,2019-2020
Lomatia silaifolia,High-P,P-N (mg g-1),0.067,Tsujii_2023,2019-2020
Macrozamia communis,High-P,P-N (mg g-1),0.171,Tsujii_2023,2019-2020
Persoonia linearis,High-P,P-N (mg g-1),0.115,Tsujii_2023,2019-2020
Pultenea daphnoides,High-P,P-N (mg g-1),0.064,Tsujii_2023,2019-2020
Pultenea flexilis,High-P,P-N (mg g-1),0.093,Tsujii_2023,2019-2020
Syncarpia glomulifera,High-P,P-N (mg g-1),0.097,Tsujii_2023,2019-2020
Synoum glandulosum,High-P,P-N (mg g-1),0.182,Tsujii_2023,2019-2020
Xylomelum pyriforme,High-P,P-N (mg g-1),0.115,Tsujii_2023,2019-2020
Acacia floribunda,High-P,P-R (mg g-1),0.062,Tsujii_2023,2019-2020
Allocasuarina sp1,High-P,P-R (mg g-1),0.036,Tsujii_2023,2019-2020
Astrotricha floccosa,High-P,P-R (mg g-1),0.027,Tsujii_2023,2019-2020
Eucalyptus paniculata,High-P,P-R (mg g-1),0.052,Tsujii_2023,2019-2020
Eucalyptus umbra,High-P,P-R (mg g-1),0.032,Tsujii_2023,2019-2020
Gompholobium latifolium,High-P,P-R (mg g-1),0.032,Tsujii_2023,2019-2020
Leptospermum polygalifolium,High-P,P-R (mg g-1),0.043,Tsujii_2023,2019-2020
Lomatia silaifolia,High-P,P-R (mg g-1),0.028,Tsujii_2023,2019-2020
Macrozamia communis,High-P,P-R (mg g-1),0.121,Tsujii_2023,2019-2020
Persoonia linearis,High-P,P-R (mg g-1),0.053,Tsujii_2023,2019-2020
Pultenea daphnoides,High-P,P-R (mg g-1),0.021,Tsujii_2023,2019-2020
Pultenea flexilis,High-P,P-R (mg g-1),0.04,Tsujii_2023,2019-2020
Syncarpia glomulifera,High-P,P-R (mg g-1),0.03,Tsujii_2023,2019-2020
Synoum glandulosum,High-P,P-R (mg g-1),0.044,Tsujii_2023,2019-2020
Xylomelum pyriforme,High-P,P-R (mg g-1),0.031,Tsujii_2023,2019-2020
Acacia floribunda,High-P,P-total (mg g-1),0.609,Tsujii_2023,2019-2020
Allocasuarina sp1,High-P,P-total (mg g-1),0.3,Tsujii_2023,2019-2020
Astrotricha floccosa,High-P,P-total (mg g-1),0.408,Tsujii_2023,2019-2020
Eucalyptus paniculata,High-P,P-total (mg g-1),0.485,Tsujii_2023,2019-2020
Eucalyptus umbra,High-P,P-total (mg g-1),0.379,Tsujii_2023,2019-2020
Gompholobium latifolium,High-P,P-total (mg g-1),0.323,Tsujii_2023,2019-2020
Leptospermum polygalifolium,High-P,P-total (mg g-1),0.431,Tsujii_2023,2019-2020
Lomatia silaifolia,High-P,P-total (mg g-1),0.359,Tsujii_2023,2019-2020
Macrozamia communis,High-P,P-total (mg g-1),0.644,Tsujii_2023,2019-2020
Persoonia linearis,High-P,P-total (mg g-1),0.436,Tsujii_2023,2019-2020
Pultenea daphnoides,High-P,P-total (mg g-1),0.295,Tsujii_2023,2019-2020
Pultenea flexilis,High-P,P-total (mg g-1),0.363,Tsujii_2023,2019-2020
Syncarpia glomulifera,High-P,P-total (mg g-1),0.346,Tsujii_2023,2019-2020
Synoum glandulosum,High-P,P-total (mg g-1),0.761,Tsujii_2023,2019-2020
Xylomelum pyriforme,High-P,P-total (mg g-1),0.412,Tsujii_2023,2019-2020
Acacia floribunda,High-P,Rdarea (umol CO2 m-2 s-1),1.265,Wright_2001,1998
Allocasuarina sp1,High-P,Rdarea (umol CO2 m-2 s-1),1.194,Wright_2001,1998
Astrotricha floccosa,High-P,Rdarea (umol CO2 m-2 s-1),0.704,Wright_2001,1998
Eucalyptus paniculata,High-P,Rdarea (umol CO2 m-2 s-1),0.786,Wright_2001,1998
Eucalyptus umbra,High-P,Rdarea (umol CO2 m-2 s-1),1.125,Wright_2001,1998
Gompholobium latifolium,High-P,Rdarea (umol CO2 m-2 s-1),NA,Wright_2001,1998
