family,species,Location,SDH confirm,Granite yes=y,Conservtion status,flowering_time,fruiting_time,Geographic_range_relative_to_TPBNR,taxon_name,species2,fire_response,plant_growth_substrate,life_history,woodiness,plant_growth_form
ASPARAGACEAE,Lomandra nigricans T.Mcfarlane,"1,2,3,5,11",•,,,NNNNYNYNYNNN,NNNNYNYNYNNN,west_of,Lomandra nigricans,,,,,,
ASPARAGACEAE,Lomandra pauciflora (R.Br.) Ewart,,• new PERTH,,,,,west_of,Lomandra pauciflora,,,,,,
ASPARAGACEAE,Lomandra purpurea (Endl.) Ewart,,• new Dilly,y,,,,west_of,Lomandra purpurea,,,,,,
ASPARAGACEAE,Lomandra rigida Labill.,3,• sp. Indet.,,,YNNNNNNNNNNN,YNNNNNNNNNNN,,Lomandra rigida,,,,,,
ASPARAGACEAE,Lomandra sonderi (F.Muell.) Ewart.,3,•,,,NNNNNNYNNNNN,NNNNNNYNNNNN,west_of,Lomandra sonderi,,,,,,
ASPARAGACEAE,Thysanotus asper Lindl.,"1,2",• sp. Indet.,,,YYNNNNYNNNNN,YYNNNNYNNNNN,,Thysanotus asper,,,,,,
ASPARAGACEAE,Thysanotus dichotomus (Labill.) R.Br.,,new Dilly,y,,,,west_of,Thysanotus dichotomus,,,,,,
ASPARAGACEAE,Thysanotus glaucifolius Brittan,"3,10",•,,,YNNNNNNNNNNN,YNNNNNNNNNNN,east_of,Thysanotus glaucifolius,,,,,,
ASPARAGACEAE,Thysanotus gracilis R.Br.,"2,10,11",•,,,NNYYNNNNNNNN,NNYYNNNNNNNN,west_of,Thysanotus gracilis,,,,,,
ASPARAGACEAE,Thysanotus isantherus R.Br.,,•,y,,,,west_of,Thysanotus isantherus,Thysanotus isantherus R.Br.,resprout,terrestrial,perennial,herbaceous,geophyte
ASPARAGACEAE,Thysanotus multiflorus R.Br.,3,•,,,YNNNNNNNNNNN,YNNNNNNNNNNN,west_of,Thysanotus multiflorus,,,,,,
ASPARAGACEAE,Thysanotus patersonii R.Br.,"1,2",•,y,,NNNNNNNNYYNN,NNNNNNNNYYNN,centered_on,Thysanotus patersonii,Thysanotus patersonii R.Br.,resprout,terrestrial,perennial,herbaceous,geophyte
ASPARAGACEAE,Thysanotus sparteus R.Br.,,• new PERTH,y,,,,centered_on,Thysanotus sparteus,Thysanotus sparteus R.Br.,resprout,terrestrial,perennial,herbaceous,geophyte
ASPARAGACEAE,Thysanotus tenellus Endl.,"3,5",•,y,,YNNNNNNNNNNY,YNNNNNNNNNNY,west_of,Thysanotus tenellus,Thysanotus tenellus Endl.,resprout,terrestrial,perennial,herbaceous,geophyte
ASPARAGACEAE,Thysanotus thyrsoideus Baker,2,•,,,NNNNNNNNNYNN,NNNNNNNNNYNN,west_of,Thysanotus thyrsoideus,,,,,,
BORYACEAE,Borya nitida Labill.,"8,12",•,y,,NNNNNNNNYYNN,NNNNNNNNYYNN,east_of,Borya nitida,Borya nitida Labill.,seeder,terrestrial,perennial,herbaceous,
CENTROLEPIDACEAE,Aphelia cyperoides R.Br.,,•,y,,,,west_of,Aphelia cyperoides,Aphelia cyperoides R.Br.,seeder,terrestrial,annual,,
CENTROLEPIDACEAE,Centrolepis aristata (R.Br.) Poir.,8,•,y,,,,west_of,Centrolepis aristata,Centrolepis aristata (R.Br.) Poir.,seeder,terrestrial,annual,,
CENTROLEPIDACEAE,Centrolepis caespitosa D.A.Cooke,,• new PERTH,,,,,west_of,Centrolepis caespitosa,,,,,,
CENTROLEPIDACEAE,Centrolepis drummondiana (Nees) Walp.,,•,y,,,,west_of,Centrolepis drummondiana,Centrolepis drummondiana (Nees) Walp.,seeder,terrestrial,annual,,
CENTROLEPIDACEAE,Centrolepis fascicularis Labill.,,• new PERTH,,,,,west_of,Centrolepis fascicularis,,,,,,
CENTROLEPIDACEAE,Centrolepis glabra (Sond.) Hieron.,,•,y,,,,centered_on,Centrolepis glabra,Centrolepis glabra (Sond.) Hieron.,seeder,aquatic,annual,,
CENTROLEPIDACEAE,Centrolepis humillima Benth.,,•,y,,,,centered_on,Centrolepis humillima,Centrolepis humillima Benth.,seeder,terrestrial,annual,,
CENTROLEPIDACEAE,Centrolepis pilosa Hieron.,,•,y,,,,centered_on,Centrolepis pilosa,Centrolepis pilosa Hieron.,seeder,terrestrial,annual,,
CENTROLEPIDACEAE,Centrolepis polygyna (R.Br.) Hieron.,"8,9",•,y,,,,centered_on,Centrolepis polygyna,Centrolepis polygyna (R.Br.) Hieron.,seeder,terrestrial,annual,,
CENTROLEPIDACEAE,Centrolepis strigosa (R.Br.) Roem. & Schult.,"7,8,9",•,y,,,,east_of,Centrolepis strigosa,Centrolepis strigosa (R.Br.) Roem. & Schult.,seeder,terrestrial,annual,,
COLCHICACEAE,Burchardia congesta Lindl.,"1,2,5,11",• name change,y,,YYNNNNNNYYNN,YYNNNNNNYYNN,west_of,Burchardia congesta,Burchardia congesta Lindl.,resprout,terrestrial,perennial,herbaceous,
COLCHICACEAE,Wurmbea dioica (R.Br.) F.Muell. subsp. alba T.Macfarlane,,•,y,,,,west_of,Wurmbea dioica,Wurmbea dioica (R.Br.) F.Muell. subsp. alba T.Macfarlane,resprout,terrestrial,perennial,herbaceous,geophyte
CYPERACEAE,"Ammothryon grandiflorum (Lehm.) R.L.Barrett, K.L.Wilson & J.J.Bruhl",12,• name change,,,NNNNNNNNNNNY,NNNNNNNNNNNY,west_of,Ammothryon grandiflorum,,,,,,
CYPERACEAE,Baumea sp. laxa (K.Wilson 11052),,• new PERTH,,,,,west_of,Baumea laxa,,,,,,
CYPERACEAE,Chaetospora curvifolia R.Br.,"10,11",• name change,,,NNNNNNNYNYYY,NNNNNNNYNYYY,west_of,Chaetospora curvifolia,,,,,,
CYPERACEAE,Chaetospora subbulbosa (Benth.) K.L.Wilson & R.L.Barrett,5.8,• name change,,,,,west_of,Chaetospora subbulbosa,,,,,,
CYPERACEAE,Cyathochaeta avenacea (R.Br.) Benth.,,• new PERTH,,,,,west_of,Cyathochaeta avenacea,,,,,,
CYPERACEAE,Cyathochaeta equitans K.L.Wilson,"2,11",• new det.,,,YNNNNNNNNNNN,YNNNNNNNNNNN,centered_on,Cyathochaeta equitans,,,,,,
CYPERACEAE,Cyperus tenuiflorus Rottb.,"1,11",• sp. indet,,,NNNNYNNNNNNN,NNNNYNNNNNNN,,Cyperus tenuiflorus,,,,,,
CYPERACEAE,*Cyperus congestus Vahl,"1,11",•,,,NNNNYNNNNNNN,NNNNYNNNNNNN,west_of,Cyperus congestus,,,,,,
CYPERACEAE,Evandra aristata R.Br.,"1,3",•,,,YYNNNNNNNNNN,YYNNNNNNNNNN,west_of,Evandra aristata,,,,,,
CYPERACEAE,*Ficinia marginata  (Thunb.) Fourc.,1,• alien,y,,,,west_of,Ficinia marginata,,,,,,
CYPERACEAE,"Ficinia nodosa (Rottb.) Goetgh., Muasya & D.A.Simpson","1,2,7,8,9,11,13",• name change,,,YYNNYYNNNNNN,YYNNYYNNNNNN,centered_on,Ficinia nodosa,,,,,,
CYPERACEAE,Gahnia sp. Headland (G.J. Keighery 8501),11,• name change,,,,,east_of,Gahnia sp. Headland (G.J.Keighery 8501),,,,,,
CYPERACEAE,Gahnia trifida Labill.,"2,3.8",•,,,YNNNNNNNNNNN,YNNNNNNNNNNN,centered_on,Gahnia trifida,,,,,,
CYPERACEAE,Gymnoschoenus anceps (R.Br.) C.B.Clarke,,• new PERTH,,,,,west_of,Gymnoschoenus anceps,,,,,,
CYPERACEAE,Isolepis cernua (Vahl) Roem. & Schult.,9,•,y,,,,west_of,Isolepis cernua,Isolepis cernua (Vahl) Roem. & Schult.,seeder,terrestrial,annual,,
CYPERACEAE,*Isolepis prolifer (Rottb.) R.Br.,13,• alien,,,,,,Isolepis prolifer,,,,,,
CYPERACEAE,Isolepis sp. Cape Vancouver,,• new PERTH,y,,,,,Isolepis sp. Cape Vancouver,,,,,,
CYPERACEAE,Lepidosperma angustatum R.Br.,"1,3,4,8",•,y,,NNYNYNYNNNNN,NNYNYNYNNNNN,centered_on,Lepidosperma angustatum,Lepidosperma angustatum R.Br.,resprout,terrestrial,perennial,herbaceous,
CYPERACEAE,Lepidosperma aff. fimbriatum Nees.,"1,3,5,6,11",• name change for L brunonianum,,,,,,Lepidosperma aff. fimbriatum Nees.,,,,,,
CYPERACEAE,Lepidosperma drummondii Benth.,,• new PERTH,,,,,centered_on,Lepidosperma drummondii,,,,,,
CYPERACEAE,Lepidosperma effusum Benth.,2,•,,,,,west_of,Lepidosperma effusum,,,,,,
CYPERACEAE,Lepidosperma gladiatum Labill.,"1,2,4,5,8,9,11,12",•,,,NNNNNNNYNNNN,NNNNNNNYNNNN,centered_on,Lepidosperma gladiatum,,,,,,
CYPERACEAE,Lepidosperma gracile R.Br.,,• new PERTH,y,,,,west_of,Lepidosperma gracile,Lepidosperma gracile R.Br.,resprout,terrestrial,perennial,herbaceous,
CYPERACEAE,Lepidosperma hopperi R.L.Barrett,,•,y,,,,centered_on,Lepidosperma hopperi,Lepidosperma hopperi R.L.Barrett,resprout,terrestrial,perennial,herbaceous,
CYPERACEAE,Lepidosperma longitudinale Labill.,1,•,,,NNNNNNNNYNNN,NNNNNNNNYNNN,west_of,Lepidosperma longitudinale,,,,,,
CYPERACEAE,Lepidosperma striatum R.Br.,"1,3",•,,,,,west_of,Lepidosperma striatum,,,,,,
CYPERACEAE,Lepidosperma tetraquetrum Nees.,,•,,,,,west_of,Lepidosperma tetraquetrum,,,,,,
CYPERACEAE,"Lepidosperma sp. Carracarrup Creek (S. Kern, R. Jasper, D. Brassington LCH 16738)",,• new PERTH,,,,,east_of,"Lepidosperma sp. Carracarrup Creek (S.Kern, R.Jasper, D.Brassington LCH 16738)",,,,,,
CYPERACEAE,Lepidosperma sp. indet (CSIRO 353A),1,• sp. Indet.,,,,,,Lepidosperma inops,,,,,,
CYPERACEAE,Machaerina acuta (Labill.) J.Kern,,• new PERTH,,,,,centered_on,Machaerina acuta,,,,,,
CYPERACEAE,Machaerina articulata (R.Br.) T.Koyama,"1,2,3,13",• name change,,,,,west_of,Machaerina articulata,,,,,,
CYPERACEAE,Machaerina juncea (R.Br.) T.Koyama,"1,3,12",• name change,,,,,west_of,Machaerina juncea,,,,,,
CYPERACEAE,Machaerina laxa (Nees) T.Koyama,,• new PERTH,y,,,,west_of,Machaerina laxa,Machaerina laxa (Nees) T.Koyama,resprout,terrestrial,perennial,herbaceous,
CYPERACEAE,Machaerina preissii (Nees) L.A.S.Johnson & T.Koyama,13,• name change,,,,,west_of,Machaerina preissii,,,,,,
CYPERACEAE,Machaerina rubiginosa (Spreng.) T.Koyama,,• new PERTH,,,,,west_of,Machaerina rubiginosa,,,,,,
CYPERACEAE,Mesomelaena graciliceps (C.B.Clarke) K.L.Wilson,,• new PERTH,,,,,west_of,Mesomelaena graciliceps,,,,,,
CYPERACEAE,Mesomelaena tetragona (R.Br.) Benth.,"1,3.8",•,,,NYYYYNYNNNNN,NYYYYNYNNNNN,centered_on,Mesomelaena tetragona,,,,,,
CYPERACEAE,Mesomelaena stygia (R.Br.) Nees.,"1,3,8",•,y,,,,centered_on,Mesomelaena stygia,Mesomelaena stygia (R.Br.) Nees.,resprout,terrestrial,perennial,herbaceous,
CYPERACEAE,Mesomelaena sp. aff. stygia (CSIRO 384),1,• sp. Indet.,,,NNNNNNYNYNNN,NNNNNNYNYNNN,,Mesomelaena sp. aff. stygia (CSIRO 384),,,,,,
CYPERACEAE,Morelotia octandra (Nees) R.L.Barrett & J.J.Bruhl,,•,y,,,,west_of,Morelotia octandra,Morelotia octandra (Nees) R.L.Barrett & J.J.Bruhl,resprout,terrestrial,perennial,herbaceous,
CYPERACEAE,Netrostylis sp. Jarrah Forest (R. Davis 7391),,• new Dilly,y,,,,west_of,Netrostylis sp. Jarrah Forest (R.Davis 7391),,,,,,
CYPERACEAE,Schoenus acuminatus R.Br.,,• new PERTH,,,,,west_of,Schoenus acuminatus,,,,,,
CYPERACEAE,Schoenus breviculmis Benth.,,• new PERTH,,,,,east_of,Schoenus breviculmis,,,,,,
CYPERACEAE,Schoenus brevifolius R.Br.,"2,3,8",• sp. Unknown,,,YNNNNNNNNNYN,YNNNNNNNNNYN,,Schoenus brevifolius,,,,,,
CYPERACEAE,Schoenus brevisetis (R.Br.) Poir.,,• new Dilly,y,,,,centered_on,Schoenus brevisetis,,,,,,
CYPERACEAE,Schoenus caespititius W.Fitzg.,"6,11,12",•,,,,,centered_on,Schoenus caespititius,,,,,,
CYPERACEAE,Schoenus cruentus (Nees) Benth.,,• new PERTH,,,,,west_of,Schoenus cruentus,,,,,,
CYPERACEAE,Schoenus efoliatus F.Muell.,,• new PERTH,,,,,west_of,Schoenus efoliatus,,,,,,
CYPERACEAE,Schoenus hexandrus F. Muell. & Tate.,11,• sp. Indet.,,,,,,Schoenus hexandrus,,,,,,
CYPERACEAE,Schoenus multiglumis Benth.,,• new PERTH,,,,,west_of,Schoenus multiglumis,,,,,,
CYPERACEAE,Schoenus nitens (R.Br.) Roem. & Schult.,,•,,,,,west_of,Schoenus nitens,,,,,,
CYPERACEAE,Schoenus odontocarpus F.Muell.,,•,y,,,,centered_on,Schoenus odontocarpus,Schoenus odontocarpus F.Muell.,seeder,terrestrial,annual,,
CYPERACEAE,Schoenus pedicellatus (R.Br.) Benth.,,• new PERTH,y,,,,west_of,Schoenus pedicellatus,Schoenus pedicellatus (R.Br.) Benth.,resprout,terrestrial,perennial,herbaceous,
CYPERACEAE,Schoenus rigens S. T. Blake.,"2,4",• sp. Indet.,,,NNNYYNNNNNNN,NNNYYNNNNNNN,,Schoenus rigens,,,,,,
CYPERACEAE,Schoenus sp. Cape Riche Cushion (G.J. Keighery 9922),,• new PERTH,,,,,east_of,Schoenus sp. Cape Riche Cushion (G.J.Keighery 9922),,,,,,
CYPERACEAE,Schoenus sp. carsei (K.Wilson 11054),,• new PERTH,,,,,,Schoenus carsei,,,,,,
CYPERACEAE,Schoenus sp. Grassy (E. Gude & J. Harvey 250),,• new PERTH,,P2,,,west_of,Schoenus sp. Grassy (E.Gude & J.Harvey 250),Schoenus sp. Grassy (E. Gude & J. Harvey 250),resprout,terrestrial,perennial,herbaceous,
CYPERACEAE,Schoenus sp. South coast (R. Davis 10239),,• new PERTH,,,,,west_of,Schoenus sp. South coast (R.Davis 10239),,,,,,
CYPERACEAE,Schoenus subflavus Kuek.,11,•,,P2,,,centered_on,Schoenus subflavus,,,,,,
CYPERACEAE,Schoenus sublateralis (Steud.) C.B.Clarke,,• new Dilly,y,,,,west_of,Schoenus sublateralis,,,,,,
CYPERACEAE,Schoenus submicrostachyus Kük.,,• new PERTH,,,,,centered_on,Schoenus submicrostachyus,,,,,,
CYPERACEAE,Tricostularia sp. Two Peoples Bay (G. Wardell-Johnson GWJ 114),,• new consvn,,,,,east_of,Tricostularia sp. Two Peoples Bay (G.Wardell-Johnson GWJ 114),,,,,,
DASYPOGONACEAE,Calectasia demarzii R.L.Barrett,"2,5",• name change,,,YNNNNNYYNYNN,YNNNNNYYNYNN,centered_on,Calectasia demarzii,,,,,,
DASYPOGONACEAE,Dasypogon bromeliifolius R.Br.,"1,3,5",•,,,YNNNYNYNYYYN,YNNNYNYNYYYN,west_of,Dasypogon bromeliifolius,,,,,,
DASYPOGONACEAE,Kingia australis R.Br.,10,•,,,,,west_of,Kingia australis,,,,,,
HAEMODORACEAE,Anigozanthos flavidus Redoute,"2,3",•,,,YYNNYNNNYYNN,YYNNYNNNYYNN,west_of,Anigozanthos flavidus,,,,,,
HAEMODORACEAE,Anigozanthos preissii Endl.,"1,3",•,,,NNNNNNNNYYNN,NNNNNNNNYYNN,west_of,Anigozanthos preissii,,,,,,
HAEMODORACEAE,Conostylis aculeata R.Br. subsp. aculeata,"2,6.8.11",•,,,NNNNNNNNYYYN,NNNNNNNNYYYN,west_of,Conostylis aculeata subsp. aculeata,,,,,,
HAEMODORACEAE,Conostylis serrulata R.Br.,"1,4,5,6",•,,,NNNNNNNYYYYN,NNNNNNNYYYYN,west_of,Conostylis serrulata,,,,,,
HAEMODORACEAE,Conostylis setigera R.Br. subsp. setigera,"2,3",• name change,,,NNNNNNNNYYNN,NNNNNNNNYYNN,west_of,Conostylis setigera subsp. setigera,,,,,,
HAEMODORACEAE,Haemodorum laxum R.Br.,,• new SDH,y,,,,west_of,Haemodorum laxum,Haemodorum laxum R.Br.,resprout,terrestrial,perennial,herbaceous,geophyte
HAEMODORACEAE,Haemodorum sparsiflorum F.Muell.,,• new SDH,,,,,west_of,Haemodorum sparsiflorum,,,,,,
HAEMODORACEAE,Haemodorum spicatum R.Br.,"3,11",•,y,,YNNNNNNNNNNN,YNNNNNNNNNNN,west_of,Haemodorum spicatum,Haemodorum spicatum R.Br.,resprout,terrestrial,perennial,herbaceous,geophyte
HAEMODORACEAE,Phlebocarya ciliata R.Br.,,• new SDH,,,,,west_of,Phlebocarya ciliata,,,,,,
HAEMODORACEAE,Tribonanthes violacea Endl.,12,•,y,,NNNNYNYNNNNN,NNNNYNYNNNNN,centered_on,Tribonanthes violacea,Tribonanthes violacea Endl.,resprout,terrestrial,perennial,herbaceous,geophyte
HEMEROCALLIDACEAE,Agrostocrinum hirsutum (Lindl.) Keighery,,• new Dilly,y,,,,west_of,Agrostocrinum hirsutum,,,,,,
HEMEROCALLIDACEAE,Agrostocrinum scabrum (R.Br.) BailL.,"1,3,5",•,y,,YNNNNNYNNYYN,YNNNNNYNNYYN,centered_on,Agrostocrinum scabrum,Agrostocrinum scabrum (R.Br.) BailL.,resprout,terrestrial,perennial,herbaceous,
HEMEROCALLIDACEAE,Chamaescilla corymbosa (R.Br.) Benth.,3,•,y,,NNNNNNNNYNNN,NNNNNNNNYNNN,centered_on,Chamaescilla corymbosa,Chamaescilla corymbosa (R.Br.) Benth.,resprout,terrestrial,perennial,herbaceous,geophyte
HEMEROCALLIDACEAE,Dianella revoluta R.Br.,"7,8,9",•,,,,,centered_on,Dianella revoluta,,,,,,
HEMEROCALLIDACEAE,Johnsonia lupulina R.Br.,"1,3,4",•,,,YYNNYYNNYYYY,YYNNYYNNYYYY,west_of,Johnsonia lupulina,,,,,,
HEMEROCALLIDACEAE,Tricoryne elatior R.Br.,,• new Dilly,y,,,,centered_on,Tricoryne elatior,,,,,,
HEMEROCALLIDACEAE,Stypandra glauca R.Br.,"7,9",• name change,y,,,,centered_on,Stypandra glauca,Stypandra glauca R.Br.,resprout,terrestrial,perennial,herbaceous,
IRIDACEAE,Crocosmia x crocosmiiflora (E.Morren) N.E.Br.,11,•,,,NNYNNNNNNNNN,NNYNNNNNNNNN,west_of,Crocosmia x crocosmiiflora (E.Morren) N.E.Br.,,,,,,
IRIDACEAE,Moraea flaccida (Sweet) Steud.,11,• name change,,,,,west_of,Moraea flaccida,,,,,,
IRIDACEAE,Patersonia lanata R.Br.,,• new PERTH,,,,,east_of,Patersonia lanata,,,,,,
IRIDACEAE,Patersonia occidentalis R.Br.,"2,8,10",•,y,,NNNNNNNNNNYN,NNNNNNNNNNYN,centered_on,Patersonia occidentalis,Patersonia occidentalis R.Br.,resprout,terrestrial,perennial,herbaceous,
IRIDACEAE,Patersonia umbrosa Endl.,"1,3,3",•,,,NNNNNNNNNNYN,NNNNNNNNNNYN,west_of,Patersonia umbrosa,,,,,,
IRIDACEAE,Romulea rosea var. australis (Ewart) M.P.de Vos,11,• name change,y,,NNNNNNYNNNNN,NNNNNNYNNNNN,west_of,Romulea rosea var. australis,Romulea rosea var. australis (Ewart) M.P.de Vos,resprout,terrestrial,perennial,,
JUNCACEAE,*Juncus capitatus Weigel.,13,• alien,,,NNYNNNNNNNNN,NNYNNNNNNNNN,west_of,Juncus capitatus,,,,,,
JUNCACEAE,Juncus kraussii Hochst.,"2,11,13",•,,,YNYYNNNNNNNN,YNYYNNNNNNNN,centered_on,Juncus kraussii,,,,,,
JUNCACEAE,Juncus meianthus K.L.Wilson,,• new PERTH,y,P3,,,west_of,Juncus meianthus,Juncus meianthus K.L.Wilson,resprout,terrestrial,perennial,herbaceous,
JUNCACEAE,Juncus pallidus R.Br.,13,•,,,NNYNNNNNNNNN,NNYNNNNNNNNN,west_of,Juncus pallidus,,,,,,
JUNCAGINACEAE,Cycnogeton lineare (Endl.) Sond.,"1,2,9,10,13",• name change,,,YNNNNNYNYYNN,YNNNNNYNYYNN,west_of,Cycnogeton lineare,,,,,,
JUNCAGINACEAE,Triglochin minutissima F.Muell.,,• new PERTH,,,,,east_of,Triglochin minutissima,,,,,,
JUNCAGINACEAE,Triglochin striata Ruiz Lopez & Pavon.,3,•,,,YNNNNNNNNNNN,YNNNNNNNNNNN,centered_on,Triglochin striata,,,,,,
ORCHIDACEAE,Caladenia brownii Hopper,,• new APBr,,,,,west_of,Caladenia brownii,,,,,,
ORCHIDACEAE,Caladenia cairnsiana F. Muell.,&,•,,,,,centered_on,Caladenia cairnsiana,,,,,,
ORCHIDACEAE,Caladenia corynephora A.S.George,"2,11",•,,,YNNNNNNNNNYN,YNNNNNNNNNYN,west_of,Caladenia corynephora,,,,,,
ORCHIDACEAE,Caladenia fuscolutescens Hopper & A.P.Br.,"3,11",• name change,,,NNNNNNNNYYNN,NNNNNNNNYYNN,east_of,Caladenia fuscolutescens,,,,,,
ORCHIDACEAE,Caladenia flava R.Br. subsp. flava,"1,2,3,6,10,11",• stat. change,y,,NNNNNNNNYYNN,NNNNNNNNYYNN,centered_on,Caladenia flava subsp. flava,Caladenia flava R.Br. subsp. flava,resprout,terrestrial,perennial,herbaceous,
ORCHIDACEAE,Caladenia flava subsp. sylvestris Hopper & A.P.Br.,,• new PERTH,y,,,,west_of,Caladenia flava subsp. sylvestris,Caladenia flava subsp. sylvestris Hopper & A.P.Br.,resprout,terrestrial,perennial,herbaceous,
ORCHIDACEAE,Caladenia granitora Hopper & A.P.Br.,12,• name change,y,,NNNNNNNNNNYN,NNNNNNNNNNYN,east_of,Caladenia granitora,Caladenia granitora Hopper & A.P.Br.,resprout,terrestrial,perennial,herbaceous,
ORCHIDACEAE,Caladenia heberleana Hopper & A.P.Br.,,• new APBr,,,,,centered_on,Caladenia heberleana,,,,,,
ORCHIDACEAE,Caladenia latifolia R.Br.,"1,2,9,11",•,y,,NNNNYNNNYYNN,NNNNYNNNYYNN,centered_on,Caladenia latifolia,Caladenia latifolia R.Br.,resprout,terrestrial,perennial,herbaceous,
ORCHIDACEAE,Caladenia longicauda Lindl.,&,•,,,,,centered_on,Caladenia longicauda,,,,,,
ORCHIDACEAE,Caladenia longicauda Lindl. x pectinata R.S.Rogers,"2,6",•,,,NNNNNNNNNYNN,NNNNNNNNNYNN,,Caladenia longicauda x Caladenia pectinata,,,,,,
ORCHIDACEAE,Caladenia marginata Lindl.,,•,y,,,,west_of,Caladenia marginata,Caladenia marginata Lindl.,resprout,terrestrial,perennial,herbaceous,
ORCHIDACEAE,Caladenia pectinata R.S.Rogers,"1,3,6,10,11,12",•,,,NNNNNNNNYYNN,NNNNNNNNYYNN,west_of,Caladenia pectinata,,,,,,
ORCHIDACEAE,Caladenia plicata Fitzg.,,• new APBr,,,,,west_of,Caladenia plicata,,,,,,
ORCHIDACEAE,Caladenia serotina Hopper & A.P.Br.,,• new APBr,,,,,west_of,Caladenia serotina,,,,,,
ORCHIDACEAE,Caladenia x ericksoniae Nicholls,1,•,,,,,centered_on,Caladenia x ericksoniae,,,,,,
ORCHIDACEAE,Calochilus uliginosus D.L.Jones,12,• name change,,,NNNNNNNNNYNN,NNNNNNNNNYNN,west_of,Calochilus uliginosus,,,,,,
ORCHIDACEAE,Corysanthes recurva (D.L.Jones) D.L.Jones & M.A.Clem.,12,• name change,,,NNNNNNYNNNNN,NNNNNNYNNNNN,west_of,Corysanthes recurva,,,,,,
ORCHIDACEAE,Corysanthes despectans (D.L.Jones & R.C.Nash) D.L.Jones & M.A.Clem.,&,• name change,,,,,west_of,Corysanthes despectans,,,,,,
ORCHIDACEAE,Cryptostylis ovata R.Br.,11,•,y,,NNNNNNNNNNNY,NNNNNNNNNNNY,west_of,Cryptostylis ovata,Cryptostylis ovata R.Br.,resprout,terrestrial,perennial,herbaceous,geophyte
ORCHIDACEAE,Cyanicula gemmata (Lindl.) Hopper & A.P.Br.,,• name change,y,,,,west_of,Cyanicula gemmata,Cyanicula gemmata (Lindl.) Hopper & A.P.Br.,resprout,terrestrial,perennial,herbaceous,geophyte
ORCHIDACEAE,Cyanicula sericea (Lindl.) Hopper & A.P.Br.,3,• name change,y,,NNNNNNNNYNNN,NNNNNNNNYNNN,west_of,Cyanicula sericea,Cyanicula sericea (Lindl.) Hopper & A.P.Br.,resprout,terrestrial,perennial,herbaceous,geophyte
