NDat,Species,AuthTax,Family,Order,trait_name,Reference,Character_state,Value,Min,Max,Notes,User,Date,User_update,Date_update,FullRef,WeblinkRef
122702,Afrolicania elaeosperma,Mildbr.,Chrysobalanaceae,Malpighiales,305. Filament (D1),"Prance GT, Sothers CA. 2003. Chrysobalanaceae 1: Chrysobalanus to Parinari. In: Orchard AE, Wilson AJG, eds. Species Plantarum: Flora of the World 9. Canberra: Australian Biological Resources Study. http://speciesplantarum.net/species-plantarum-flora-world",305. Filament (D1): (3) short and narrow,NA,NA,NA,NA,Mario Coiro,05-Jul-13,NA,NA,"Prance GT, Sothers CA. 2003. Chrysobalanaceae 1: Chrysobalanus to Parinari. In: Orchard AE, Wilson AJG, eds. Species Plantarum: Flora of the World 9. Canberra: Australian Biological Resources Study.",http://speciesplantarum.net/species-plantarum-flora-world
205986,Afrolicania elaeosperma,Mildbr.,Chrysobalanaceae,Malpighiales,412. Placentation (D1),"Prance G.T. 2014. Chrysobalanaceae. In: Kubitzki K. (ed.) The Families and Genera of Vascular Plants. XI. Flowering Plants. Malpighiales. Berlin, Heidelberg: Springer.",412. Placentation (D1): (2) basal,NA,NA,NA,NA,Maria von Balthazar,16-May-17,NA,NA,"Prance G.T. 2014. Chrysobalanaceae. In: Kubitzki K. (ed.) The Families and Genera of Vascular Plants. XI. Flowering Plants. Malpighiales. Berlin, Heidelberg: Springer.",NA
18679,Akebia quinata,(Houttuyn) Decaisne,Lardizabalaceae,Ranunculales,412. Placentation (D1),http://www.efloras.org/flora_page.aspx?flora_id=2,412. Placentation (D1): (6) laminar,NA,NA,NA,Female flowers.,Laetitia Carrive,02-Jan-12,NA,NA,NA,http://www.efloras.org/flora_page.aspx?flora_id=2
206019,Alangium chinense,(Lour.) Harms,Cornaceae,Cornales,311. Anther orientation (D1),"Eyde R. H. 1968. Flowers, fruits, and phylogeny of Alangiaceae. Journal of the Arnold Arboretum 49: 167-192.",311. Anther orientation (D1): (1) latrorse,NA,NA,NA,NA,Maria von Balthazar,17-May-17,NA,NA,"Eyde R. H. 1968. Flowers, fruits, and phylogeny of Alangiaceae. Journal of the Arnold Arboretum 49: 167-192.",NA
82975,Alangium chinense,(Lour.) Harms,Cornaceae,Cornales,404. Style differentiation (D1),http://www.efloras.org/flora_page.aspx?flora_id=2,"404. Style differentiation (D1): (4) present, long and wide",NA,NA,NA,Illustration.,Laetitia Carrive,26-Mar-13,Maria von Balthazar,16-May-17,NA,http://www.efloras.org/flora_page.aspx?flora_id=2
151111,Albizia julibrissin,Durazz.,Fabaceae,Fabales,5002. Aperture shape (D1),"Buchner R. & Weber M. (2000 onwards). PalDat - a palynological database: Descriptions, illustrations, identification, and information retrieval.
Published on the Internet http://www.paldat.org. http://www.paldat.org/http://www.paldat.org/",5002. Aperture shape (D1): (6) absent,NA,NA,NA,NA,Béatrice Albert,27-May-14,NA,NA,"Buchner R. & Weber M. (2000 onwards). PalDat - a palynological database: Descriptions, illustrations, identification, and information retrieval.
Published on the Internet http://www.paldat.org",http://www.paldat.org/
25986,Alisma plantago-aquatica,L.,Alismataceae,Alismatales,5002. Aperture shape (D1),"Buchner R. & Weber M. (2000 onwards). PalDat - a palynological database: Descriptions, illustrations, identification, and information retrieval.
Published on the Internet http://www.paldat.org. http://www.paldat.org/http://www.paldat.org/",5002. Aperture shape (D1): (1) pore,NA,NA,NA,NA,Charlotte Prieu,13-Apr-12,NA,NA,"Buchner R. & Weber M. (2000 onwards). PalDat - a palynological database: Descriptions, illustrations, identification, and information retrieval.
Published on the Internet http://www.paldat.org",http://www.paldat.org/
188179,Allium fistulosum,L.,Amaryllidaceae,Asparagales,305. Filament (D1),http://eol.org/,305. Filament (D1): (4) long and wide,NA,NA,NA,NA,Maria von Balthazar,27-Oct-15,NA,NA,NA,http://eol.org/
127133,Allium fistulosum,L.,Amaryllidaceae,Asparagales,313. Anther dehiscence (D1),"Kubitzki K, ed. 1998. Flowering Plants. Monocotyledons. Lilianae. The families and genera of vascular plants III. Berlin: Springer.",313. Anther dehiscence (D1): (1) poricidal,NA,NA,NA,NA,Guillaume Chomicki,09-Jul-13,NA,NA,"Kubitzki K, ed. 1998. Flowering Plants. Monocotyledons. Lilianae. The families and genera of vascular plants III. Berlin: Springer.",NA
190180,Alluaudia procera,(Drake) Drake,Didiereaceae,Caryophyllales,207. Symmetry of perianth (D1),"Schatz GE. 2001. Flore Générique des Arbres de Madagascar. Royal Botanic Gardens, Kew & Missouri Botanical Garden.",207. Symmetry of perianth (D1): (3) disymmetric,NA,NA,NA,NA,Maria von Balthazar,26-Nov-15,NA,NA,"Schatz GE. 2001. Flore Générique des Arbres de Madagascar. Royal Botanic Gardens, Kew & Missouri Botanical Garden.",NA
123219,Alophia drummondii,(Graham) R.C.Foster,Iridaceae,Asparagales,234. Perianth differentiation (D1),http://eol.org/,234. Perianth differentiation (D1): (2) marked differentiation among petaloid tepals,NA,NA,NA,NA,Guillaume Chomicki,05-Jul-13,NA,NA,NA,http://eol.org/
206031,Alstroemeria aurea,Graham,Alstroemeriaceae,Liliales,312. Anther attachment (D1),"Bayer C. 1998. Alstroemeriaceae. In: Kubitzki K, Bayer C. eds. The families and genera of vascular plants. III. Berlin, Heidelberg: Springer, 79-82.",312. Anther attachment (D1): (2) dorsifixed at base,NA,NA,NA,NA,Maria von Balthazar,17-May-17,NA,NA,"Bayer C. 1998. Alstroemeriaceae. In: Kubitzki K, Bayer C. eds. The families and genera of vascular plants. III. Berlin, Heidelberg: Springer, 79-82.",NA
84987,Altingia excelsa,Noronha,Altingiaceae,Saxifragales,404. Style differentiation (D1),Bogle LA. 1986. The floral morphology and vascular anatomy of the Hamameldiaceae: subfamily Liquidambaroideae. Annals of the Missouri Botanical Garden 73: 325-347.,404. Style differentiation (D1): (7) continuous (apical extension of carpel with decurrent stigma),NA,NA,NA,NA,Georg Tschan,27-Mar-13,Maria von Balthazar,17-May-17,Bogle LA. 1986. The floral morphology and vascular anatomy of the Hamameldiaceae: subfamily Liquidambaroideae. Annals of the Missouri Botanical Garden 73: 325-347.,NA
84821,Altingia excelsa,Noronha,Altingiaceae,Saxifragales,102. Ovary position (D1),"Vink, W. 1958. Hamamelidaceae. In: Van Steenis GGJ, ed. Flora Malesiana, ser. 1, vol. 5. Djakarta: Noordhoff-Kolff, 363-379.",102. Ovary position (D1): (3) 3/4-inferior or more,NA,NA,NA,NA,Georg Tschan,27-Mar-13,NA,NA,"Vink, W. 1958. Hamamelidaceae. In: Van Steenis GGJ, ed. Flora Malesiana, ser. 1, vol. 5. Djakarta: Noordhoff-Kolff, 363-379.",NA
424,Amborella trichopoda,NA,Amborellaceae,Amborellales,400. Gynoecium phyllotaxy (D1),"Endress PK, Igersheim A. 2000. The reproductive structures of the basal angiosperm Amborella trichopoda (Amborellaceae). International Journal of Plant Sciences 161: S237–S248.",400. Gynoecium phyllotaxy (D1): (2) spiral,NA,NA,NA,NA,Hervé Sauquet,01-Sep-10,NA,NA,"Endress PK, Igersheim A. 2000. The reproductive structures of the basal angiosperm Amborella trichopoda (Amborellaceae). International Journal of Plant Sciences 161: S237–S248.",NA
411,Amborella trichopoda,NA,Amborellaceae,Amborellales,207. Symmetry of perianth (D1),"Endress PK, Igersheim A. 2000. The reproductive structures of the basal angiosperm Amborella trichopoda (Amborellaceae). International Journal of Plant Sciences 161: S237–S248.",207. Symmetry of perianth (D1): (1) actinomorphic spiral,NA,NA,NA,NA,Hervé Sauquet,01-Sep-10,NA,NA,"Endress PK, Igersheim A. 2000. The reproductive structures of the basal angiosperm Amborella trichopoda (Amborellaceae). International Journal of Plant Sciences 161: S237–S248.",NA
151122,Amborella trichopoda,NA,Amborellaceae,Amborellales,5002. Aperture shape (D1),"Buchner R. & Weber M. (2000 onwards). PalDat - a palynological database: Descriptions, illustrations, identification, and information retrieval.
Published on the Internet http://www.paldat.org. http://www.paldat.org/http://www.paldat.org/",5002. Aperture shape (D1): (4) ulcus,NA,NA,NA,NA,Béatrice Albert,27-May-14,NA,NA,"Buchner R. & Weber M. (2000 onwards). PalDat - a palynological database: Descriptions, illustrations, identification, and information retrieval.
Published on the Internet http://www.paldat.org",http://www.paldat.org/
41459,Amborella trichopoda,NA,Amborellaceae,Amborellales,230. Perianth phyllotaxy (D1),"Endress PK, Igersheim A. 2000. The reproductive structures of the basal angiosperm Amborella trichopoda (Amborellaceae). International Journal of Plant Sciences 161: S237–S248.",230. Perianth phyllotaxy (D1): (1) spiral,NA,NA,NA,NA,Hervé Sauquet,28-Jan-13,NA,NA,"Endress PK, Igersheim A. 2000. The reproductive structures of the basal angiosperm Amborella trichopoda (Amborellaceae). International Journal of Plant Sciences 161: S237–S248.",NA
41940,Amborella trichopoda,NA,Amborellaceae,Amborellales,330. Androecium structural phyllotaxy (D1),"Endress PK, Igersheim A. 2000. The reproductive structures of the basal angiosperm Amborella trichopoda (Amborellaceae). International Journal of Plant Sciences 161: S237–S248.",330. Androecium structural phyllotaxy (D1): (1) spiral,NA,NA,NA,NA,Hervé Sauquet,29-Jan-13,NA,NA,"Endress PK, Igersheim A. 2000. The reproductive structures of the basal angiosperm Amborella trichopoda (Amborellaceae). International Journal of Plant Sciences 161: S237–S248.",NA
118754,Ancistrocladus korupensis,D.W.Thomas & Gereau,Ancistrocladaceae,Caryophyllales,207. Symmetry of perianth (D1),"Duncan WT, Roy E.  1993. Ancistrocladus korupensis (Ancistrocladaceae): A New Species of Liana from Cameroon. Novon 3: 494-498.",207. Symmetry of perianth (D1): (4) asymmetric,NA,NA,NA,NA,Julien Massoni,03-Jul-13,NA,NA,"Duncan WT, Roy E.  1993. Ancistrocladus korupensis (Ancistrocladaceae): A New Species of Liana from Cameroon. Novon 3: 494-498.",NA
86589,Androsace spinulifera,(Franch.) R.Knuth,Primulaceae,Ericales,412. Placentation (D1),http://www.efloras.org/flora_page.aspx?flora_id=2,412. Placentation (D1): (5) free-central,NA,NA,NA,NA,Jürg Schönenberger,09-Apr-13,NA,NA,NA,http://www.efloras.org/flora_page.aspx?flora_id=2
120606,Androstachys johnsonii,Prain,Picrodendraceae,Malpighiales,305. Filament (D1),"Leandri J. 1958.  111. famille Euphorbiaceae, tome 1. In: Humbert H, ed. Flore de Madagascar et des Comores (plantes vasculaires). Typographie Firmin-Didot et Co, 1-199.",305. Filament (D1): (0) absent,NA,NA,NA,for superior stamens (in the column),Charlotte Prieu,04-Jul-13,NA,NA,"Leandri J. 1958.  111. famille Euphorbiaceae, tome 1. In: Humbert H, ed. Flore de Madagascar et des Comores (plantes vasculaires). Typographie Firmin-Didot et Co, 1-199.",NA
308121,Anisoptera marginata,Korth.,Dipterocarpaceae,Malvales,102. Ovary position (D1),"Symington, C.F. 1934. Notes on Malayan Dipterocarpaceae II. Gard. Bull. Singapore 8: 1–40.",102. Ovary position (D1): (4) 1/4-inferior or less,NA,NA,NA,NA,Maria von Balthazar,01-Dec-20,NA,NA,"Symington, C.F. 1934. Notes on Malayan Dipterocarpaceae II. Gard. Bull. Singapore 8: 1–40.",NA
308119,Anisoptera marginata,Korth.,Dipterocarpaceae,Malvales,314. Connective extension (apical) (D1),"Symington, C.F. 1934. Notes on Malayan Dipterocarpaceae II. Gard. Bull. Singapore 8: 1–40.",314. Connective extension (apical) (D1): (3) very long extension,NA,NA,NA,NA,Maria von Balthazar,01-Dec-20,NA,NA,"Symington, C.F. 1934. Notes on Malayan Dipterocarpaceae II. Gard. Bull. Singapore 8: 1–40.",NA
181116,Annona muricata,L.,Annonaceae,Magnoliales,313. Anther dehiscence (D1),"Endress PK. 1994. Shapes, sizes and evolutionary trends in stamens of Magnoliidae. Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie 115: 429-460.",313. Anther dehiscence (D1): (2) H-valvate,NA,NA,NA,NA,Maria von Balthazar,06-Jun-15,NA,NA,"Endress PK. 1994. Shapes, sizes and evolutionary trends in stamens of Magnoliidae. Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie 115: 429-460.",NA
181167,Annona muricata,L.,Annonaceae,Magnoliales,330. Androecium structural phyllotaxy (D1),"Leins P, Erbar C. 1996. Early floral developmental studies in Annonaceae. In: Morawetz W, Winkler H. eds. Reproductive morphology in Annonaceae. Biosystematics and Ecology Series 10. Wien: Österreichische Akademie der Wissenschaften, 1–28.",330. Androecium structural phyllotaxy (D1): (2) irregular,NA,NA,NA,NA,Julien Massoni,08-Jun-15,NA,NA,"Leins P, Erbar C. 1996. Early floral developmental studies in Annonaceae. In: Morawetz W, Winkler H. eds. Reproductive morphology in Annonaceae. Biosystematics and Ecology Series 10. Wien: Österreichische Akademie der Wissenschaften, 1–28.",NA
120209,Aralidium pinnatifidum,(Jungh. & de Vriese) Miq.,Torricelliaceae,Apiales,400. Gynoecium phyllotaxy (D1),Van Steenis CGGJ (ed.). 1950. Flora Malesiana. Ser. 1 v.1.,400. Gynoecium phyllotaxy (D1): (1) two or more whorls,NA,NA,NA,NA,Amy Leung Wing Sze,04-Jul-13,NA,NA,Van Steenis CGGJ (ed.). 1950. Flora Malesiana. Ser. 1 v.1.,NA
129072,Arctopus echinatus,L.,Apiaceae,Apiales,234. Perianth differentiation (D1),"Magee, AR, Van Wyk B-E, Tilney PM, Van der Bank M. 2008. A taxonomic revision of the South African endemic genus Arctopus (Saniculoideae, Apiaceae). Annals of the Missouri Botanical Garden 95: 475–490.",234. Perianth differentiation (D1): (8) weak differentiation,NA,NA,NA,weak differentiation between whorls in shape and size,Maria von Balthazar,23-Sep-13,Maria von Balthazar,02-Jun-15,"Magee, AR, Van Wyk B-E, Tilney PM, Van der Bank M. 2008. A taxonomic revision of the South African endemic genus Arctopus (Saniculoideae, Apiaceae). Annals of the Missouri Botanical Garden 95: 475–490.",NA
37952,Asarum canadense,L.,Aristolochiaceae,Piperales,314. Connective extension (apical) (D1),Kelly L. 1997. A cladistic analysis of Asarum (Aristolochiaceae) and implications for the evolution of herkogamy. American Journal of Botany 84: 1752–1765.,314. Connective extension (apical) (D1): (2) long extension,NA,NA,NA,NA,Julien Massoni,28-Nov-12,NA,NA,Kelly L. 1997. A cladistic analysis of Asarum (Aristolochiaceae) and implications for the evolution of herkogamy. American Journal of Botany 84: 1752–1765.,NA
