original_name,cleaned_name,aligned_name,taxonomic_dataset,taxon_rank,aligned_reason,alignment_code
Aotus sp. Cunderdin (B.J. Lepschi et al. 3587),Aotus sp. Cunderdin (B.J. Lepschi et al. 3587),Aotus sp. Cunderdin (B.J.Lepschi et al. 3587),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Aotus sp. Diffusa (W.E. Blackall & C.A. Gardner 1739),Aotus sp. Diffusa (W.E. Blackall & C.A. Gardner 1739),Aotus sp. Diffusa (W.E.Blackall & C.A.Gardner 1739),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Aotus sp. Dundas (M.A. Burgman 2835),Aotus sp. Dundas (M.A. Burgman 2835),Aotus sp. Dundas (M.A.Burgman 2835),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Aotus sp. Esperance (P.G. Wilson 7904),Aotus sp. Esperance (P.G. Wilson 7904),Aotus sp. Esperance (P.G.Wilson 7904),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Aotus sp. Scott River (K.F. Kenneally 2371),Aotus sp. Scott River (K.F. Kenneally 2371),Aotus sp. Scott River (K.F.Kenneally 2371),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Aotus sp. Southern Wheatbelt (C.A. Gardner & W.E. Blackall 1412),Aotus sp. Southern Wheatbelt (C.A. Gardner & W.E. Blackall 1412),Aotus sp. Southern Wheatbelt (C.A.Gardner & W.E.Blackall 1412),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Aotus sp. Tortile (G.J. Keighery 3767),Aotus sp. Tortile (G.J. Keighery 3767),Aotus sp. Tortile (G.J.Keighery 3767),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Aotus sp. West River (M.D. Crisp 9336),Aotus sp. West River (M.D. Crisp 9336),Aotus sp. West River (M.D.Crisp 9336),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Arthropodium sp. Goldfields (H. Pringle 2188),Arthropodium sp. Goldfields (H. Pringle 2188),Arthropodium sp. Goldfields (H.Pringle 2188),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Arthropodium sp. Yenyenning (G.J. Keighery & N. Gibson 2957),Arthropodium sp. Yenyenning (G.J. Keighery & N. Gibson 2957),Arthropodium sp. Yenyenning (G.J.Keighery & N.Gibson 2957),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Astroloma sp. Grass Patch (A.J.G. Wilson 110),Astroloma sp. Grass Patch (A.J.G. Wilson 110),Astroloma sp. Grass Patch (A.J.G.Wilson 110),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Baeckea sp. Dandaragan (G. Paczkowska s.n. PERTH 08245606),Baeckea sp. Dandaragan (G. Paczkowska s.n. PERTH 08245606),Baeckea sp. Dandaragan (G.Paczkowska s.n. PERTH 08245606),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Baeckea sp. Esperance (A.R.Gunness AG2435),Baeckea sp. Esperance (A.R.Gunness AG2435),Baeckea sp. Esperance (A.G.Gunness AG 2435),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Baeckea sp. Eujinyn (J.Buegge D99),Baeckea sp. Eujinyn (J.Buegge D99),Baeckea sp. Eujinyn (J.Buegge D 99),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Baeckea sp. Payne's Find (S.Patrick 1095),Baeckea sp. Payne's Find (S.Patrick 1095),Baeckea sp. Paynes Find (S.Patrick 1095),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
"Baeckea sp. Sandstone (C.A.Gardner s.n., 26 Oct. 1963)","Baeckea sp. Sandstone (C.A.Gardner s.n., 26 Oct. 1963)",Baeckea sp. Sandstone (C.A.Gardner s.n. 26 Oct. 1963),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Baeckea sp. Stockton Road (M.E.Trudgen MET22077 & B.Rye),Baeckea sp. Stockton Road (M.E.Trudgen MET22077 & B.Rye),Baeckea sp. Stockton Road (M.E.Trudgen MET 22077 & B.Rye),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Baeckea sp. Wiakli (G.M.Storr s.n. 4/10/1958),Baeckea sp. Wiakli (G.M.Storr s.n. 4/10/1958),Baeckea sp. Wialki (G.M.Storr s.n. 4/10/1958),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Baeckea sp. Wildflower Show (?A.M.Coates S4407),Baeckea sp. Wildflower Show (A.M.Coates S4407),Baeckea sp. Wildflower Show (?A.M.Coates S 4407),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Baeckea sp. Yorkrakine (C.A.Gardner s.n. 9/1933),Baeckea sp. Yorkrakine (C.A.Gardner s.n. 9/1933),Baeckea sp. Yorkrakine (C.A.Gardner s.n. 09/1933),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Banksia nivea subsp. Morangup (M. Pieroni 94/2),Banksia nivea subsp. Morangup (M. Pieroni 94/2),Banksia nivea subsp. Morangup (M.Pieroni 9/42),APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Borya sp. Wheatbelt (A.S. George 16470),Borya sp. Wheatbelt (A.S. George 16470),Borya sp. Wheatbelt (A.S.George 16470),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Bossiaea lalagoises,Bossiaea lalagoises,Bossiaea lalagoides,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Bossiaea sp. Jackson Range (G. Cockerton & S. McNee LCS 13614),Bossiaea sp. Jackson Range (G. Cockerton & S. McNee LCS 13614),Bossiaea sp. Jackson Range (G.Cockerton & S.McNee LCS 13614),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Caesia sp. Ennuin (N. Gibson & M.N. Lyons 2737),Caesia sp. Ennuin (N. Gibson & M.N. Lyons 2737),Caesia sp. Ennuin (N.Gibson & M.N.Lyons 2737),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Caesia sp. Wongan (K.F. Kenneally 8820),Caesia sp. Wongan (K.F. Kenneally 8820),Caesia sp. Wongan (K.F.Kenneally 8820),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Caladenia flava subsp. late red (G. Brockman GBB 2381),Caladenia flava subsp. late red (G. Brockman GBB 2381),Caladenia flava subsp. late red (G.Brockman GBB 2381),APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Caladenia sp. Muddarning Hill (S.D. Hopper 4013),Caladenia sp. Muddarning Hill (S.D. Hopper 4013),Caladenia sp. Muddarning Hill (S.D.Hopper 4013),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Caladenia sp. Wandoo (G. Brockman GBB 671),Caladenia sp. Wandoo (G. Brockman GBB 671),Caladenia sp. Wandoo (G.Brockman GBB 671),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Callistachys sp. south-coast variant (M. Carter 180),Callistachys sp. south-coast variant (M. Carter 180),Callistachys sp. south-coast variant (M.Carter 180),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Calochilus sp. Boyup Brook (E. Chapman s.n. 12/10/2002),Calochilus sp. Boyup Brook (E. Chapman s.n. 12/10/2002),Calochilus sp. Boyup Brook (E.Chapman s.n. 12/10/2002),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Conostylis seorsiflora subsp. Nyabing (A. Coates s.n. 2/10/1988),Conostylis seorsiflora subsp. Nyabing (A. Coates s.n. 2/10/1988),Conostylis seorsiflora subsp. Nyabing (A.Coates s.n. 2/10/1998),APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Conostylis sp. Eneabba (M. Hislop 3864),Conostylis sp. Eneabba (M. Hislop 3864),Conostylis sp. Eneabba (M.Hislop 3864),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Cyanicula sp. Dale (G. Brockman 713),Cyanicula sp. Dale (G. Brockman 713),Cyanicula sp. Dale (G.Brockman 713),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Cyanicula sp. Esperance (G. Brockman 735),Cyanicula sp. Esperance (G. Brockman 735),Cyanicula sp. Esperance (G.Brockman 735),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Dampiera angulata subsp. Peak Charles (K.R. Newbey 5402),Dampiera angulata subsp. Peak Charles (K.R. Newbey 5402),Dampiera angulata subsp. Peak Charles (K.R.Newbey 5402),APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Dampiera sp. Forrestania (F. Lullfitz L 4034),Dampiera sp. Forrestania (F. Lullfitz L 4034),Dampiera sp. Forrestania (F.Lullfitz L 4034),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Dampiera sp. Jurien (G. Lullfitz s.n. 10/7/1986),Dampiera sp. Jurien (G. Lullfitz s.n. 10/7/1986),Dampiera sp. Jurien (G.Lullfitz s.n. 10/7/1986),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Dampiera sp. Ravensthorpe (G.F. Craig 8277),Dampiera sp. Ravensthorpe (G.F. Craig 8277),Dampiera sp. Ravensthorpe (G.F.Craig 8277),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Dampiera sp. Wialki (B.H. Smith 482),Dampiera sp. Wialki (B.H. Smith 482),Dampiera sp. Wialki (B.H.Smith 482),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Dampiera sp. Wongan Hills (R.D. Royce 6637),Dampiera sp. Wongan Hills (R.D. Royce 6637),Dampiera sp. Wongan Hills (R.D.Royce 6637),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Darwinia sp. Corrigin (T. Erickson TEE 308),Darwinia sp. Corrigin (T. Erickson TEE 308),Darwinia sp. Corrigin (T.Erickson TEE 308),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Daviesia euryloba,Daviesia euryloba,Daviesia eurylobos,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Dicrastylis gielsii,Dicrastylis gielsii,Dicrastylis gilesii,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Dillwynia sp. Capel (P.A. Jurjevich 1771),Dillwynia sp. Capel (P.A. Jurjevich 1771),Dillwynia sp. Capel (P.A.Jurjevich 1771),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Dillwynia sp. Coujinup Hill (M.A. Burgman 1560),Dillwynia sp. Coujinup Hill (M.A. Burgman 1560),Dillwynia sp. Coujinup Hill (M.A.Burgman 1560),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Dillwynia sp. Northern Sandplains (M. Hislop 3278),Dillwynia sp. Northern Sandplains (M. Hislop 3278),Dillwynia sp. Northern Sandplains (M.Hislop 3278),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Diuris carecta,Diuris carecta,Diuris carectum,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Diuris sp. Augusta (G. Brockman GBB 1469),Diuris sp. Augusta (G. Brockman GBB 1469),Diuris sp. Augusta (G.Brockman GBB 1469),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Diuris sp. Munglinup (G. Brockman GBB 1693),Diuris sp. Munglinup (G. Brockman GBB 1693),Diuris sp. Munglinup (G.Brockman GBB 1693),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Eutaxia sp. Jasper Hill (R.J. Cranfield 8607),Eutaxia sp. Jasper Hill (R.J. Cranfield 8607),Eutaxia sp. Jasper Hill (R.J.Cranfield 8607),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Gastrolobium sp. East Peak (E.D. Middleton EDM 43),Gastrolobium sp. East Peak (E.D. Middleton EDM 43),Gastrolobium sp. East Peak (E.D.Middleton EDM 43),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Gastrolobium sp. Prostrate Boddington (M. Hislop 2130),Gastrolobium sp. Prostrate Boddington (M. Hislop 2130),Gastrolobium sp. Prostrate Boddington (M.Hislop 2130),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Gastrolobium wonganense,Gastrolobium wonganense,Gastrolobium wonganensis,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Geleznowia sp. Binnu (K.A. Shepherd & J. Wege KS 1301),Geleznowia sp. Binnu (K.A. Shepherd & J. Wege KS 1301),Geleznowia sp. Binnu (K.A.Shepherd & J.Wege KS 1301),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Goodenia pulchella subsp. Coastal Plain A (M. Hislop 634),Goodenia pulchella subsp. Coastal Plain A (M. Hislop 634),Goodenia pulchella subsp. Coastal Plain A (M.Hislop 634),APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Goodenia pulchella subsp. Coastal Plain B (L.W. Sage 2336),Goodenia pulchella subsp. Coastal Plain B (L.W. Sage 2336),Goodenia pulchella subsp. Coastal Plain B (L.W.Sage 2336),APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Goodenia pulchella subsp. Dragon Rocks (A.M. Coates 3374),Goodenia pulchella subsp. Dragon Rocks (A.M. Coates 3374),Goodenia pulchella subsp. Dragon Rocks (A.M.Coates 3374),APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Goodenia pulchella subsp. Mt Barker (K.F. Kenneally 1166),Goodenia pulchella subsp. Mt Barker (K.F. Kenneally 1166),Goodenia pulchella subsp. Mt Barker (K.F.Kenneally 1166),APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Goodenia pulchella subsp. Wheatbelt (L.W. Sage & F. Hort 795),Goodenia pulchella subsp. Wheatbelt (L.W. Sage & F. Hort 795),Goodenia pulchella subsp. Wheatbelt (L.W.Sage & F.Hort 795),APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Goodenia sp. Stirling Range (R. Cranfield & D. Kabay 9148),Goodenia sp. Stirling Range (R. Cranfield & D. Kabay 9148),Goodenia sp. Stirling Range (R.Cranfield & D.Kabay 9148),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Grevillea sp. Cooljarloo (B.J. Keighery 28 B),Grevillea sp. Cooljarloo (B.J. Keighery 28 B),Grevillea sp. Cooljarloo (B.J.Keighery 28 B),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Grevillea sp. Gillingarra (R.J. Cranfield 4087),Grevillea sp. Gillingarra (R.J. Cranfield 4087),Grevillea sp. Gillingarra (R.J.Cranfield 4087),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Grevillea sp. Yerilgee Hills (T. Laslett TL 025),Grevillea sp. Yerilgee Hills (T. Laslett TL 025),Grevillea sp. Yerilgee Hills (T.Laslett TL 025),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Grevillea synapheae subsp. A Flora of Australia (S.D. Hopper 6333),Grevillea synapheae subsp. A Flora of Australia (S.D. Hopper 6333),Grevillea synapheae subsp. A Flora of Australia (S.D.Hopper 6333),APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Guichenotia basivirida,Guichenotia basivirida,Guichenotia basiviridis,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Hakea pycononura,Hakea pycononura,Hakea pycnoneura,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Hakea sp. Walyunga (B. Keighery 2599),Hakea sp. Walyunga (B. Keighery 2599),Hakea sp. Walyunga (B.Keighery 2599),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Halorgis luminosa,Halorgis luminosa,Haloragis luminosa,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Hemigenia dulca,Hemigenia dulca,Hemigenia dulcis,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Hemigenia pimelifolia,Hemigenia pimelifolia,Hemigenia pimeleifolia,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Homalanthus novo-guineensis,Homalanthus novo-guineensis,Homalanthus novoguineensis,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Hysterobaeckea sp. Exclamation Lake (M.E. Trudgen 1524),Hysterobaeckea sp. Exclamation Lake (M.E. Trudgen 1524),Hysterobaeckea sp. Exclamation Lake (M.E.Trudgen 1524),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Kennedia sp. South coast (T.R. Lally 1576 & I.P. Lally),Kennedia sp. South coast (T.R. Lally 1576 & I.P. Lally),Kennedia sp. south coast (T.R.Lally 1576 & I.P.Lally),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Lambertia orbifolia subsp. Scott River Plains (L.W. Sage 684),Lambertia orbifolia subsp. Scott River Plains (L.W. Sage 684),Lambertia orbifolia subsp. Scott River Plains (L.W.Sage 684),APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Latrobea colophona,Latrobea colophona,Latrobea colophon,APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Latrobea sp. South Coast (A.M. Ashby 1949),Latrobea sp. South Coast (A.M. Ashby 1949),Latrobea sp. South Coast (A.M.Ashby 1949),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Lechenaultia formosa subsp. Wheatbelt (R.J. Cranfield 4718),Lechenaultia formosa subsp. Wheatbelt (R.J. Cranfield 4718),Lechenaultia formosa subsp. 'Wheatbelt' (R.J.Cranfield 4718),APC,subspecies,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Leptospermum sp. Peak Charles/Norseman (K.R.Newbey 5243),Leptospermum sp. Peak Charles / Norseman (K.R.Newbey 5243),Leptospermum sp. Peak Charles/Norseman (K.R.Newbey 5243),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Leucopogon elegans subsp. elegans,Leucopogon elegans subsp. elegans,Leucopogon elegans var. elegans,APC,variety,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Leucopogon sp. Arrino (M. Hislop 2675),Leucopogon sp. Arrino (M. Hislop 2675),Leucopogon sp. Arrino (M.Hislop 2675),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
Leucopogon sp. Avon (J. Buegge D34),Leucopogon sp. Avon (J. Buegge D34),Leucopogon sp. Avon (J.Buegge D34),APC,species,Fuzzy match of taxon name to an APC-accepted canonical name once punctuation and filler words are removed (2026-09-01),match_05a_fuzzy_accepted_canonical_name
