Site,Season,Species,Plant ,Leaf,Time,WP
1,Wet/Dry,Alphitonia excelsa,1,2,15:00,-1.7
1,Wet/Dry,Alphitonia excelsa,1,3,15:00,-2
1,Wet/Dry,Alphitonia excelsa,1,1,17:00,-1.75
1,Wet/Dry,Alphitonia excelsa,1,2,17:00,-1.55
1,Wet/Dry,Alphitonia excelsa,1,3,17:00,-1.9
1,Wet/Dry,Alphitonia excelsa,2,1,5:00,-1.3
1,Wet/Dry,Alphitonia excelsa,2,2,5:00,-1
1,Wet/Dry,Alphitonia excelsa,2,3,5:00,-1.05
1,Wet/Dry,Alphitonia excelsa,2,1,9:00,-2.7
1,Wet/Dry,Alphitonia excelsa,2,2,9:00,-2.65
1,Wet/Dry,Alphitonia excelsa,2,3,9:00,-2.9
1,Wet/Dry,Alphitonia excelsa,2,1,11:00,-2.2
1,Wet/Dry,Alphitonia excelsa,2,2,11:00,-2.3
1,Wet/Dry,Alphitonia excelsa,2,3,11:00,-2.2
1,Wet/Dry,Alphitonia excelsa,2,1,13:00,-2.3
1,Wet/Dry,Alphitonia excelsa,2,2,13:00,-2.05
1,Wet/Dry,Alphitonia excelsa,2,3,13:00,-2.45
1,Wet/Dry,Alphitonia excelsa,2,1,15:00,-2.2
1,Wet/Dry,Alphitonia excelsa,2,2,15:00,-2.2
1,Wet/Dry,Alphitonia excelsa,2,3,15:00,-2.45
1,Wet/Dry,Alphitonia excelsa,2,1,17:00,-2
1,Wet/Dry,Alphitonia excelsa,2,2,17:00,-1.95
1,Wet/Dry,Alphitonia excelsa,2,3,17:00,-2.1
1,Wet/Dry,Alphitonia excelsa,3,1,5:00,-1.15
1,Wet/Dry,Alphitonia excelsa,3,2,5:00,-1.4
1,Wet/Dry,Alphitonia excelsa,3,3,5:00,-0.7
1,Wet/Dry,Alphitonia excelsa,3,1,9:00,-2.2
1,Wet/Dry,Alphitonia excelsa,3,2,9:00,-1.7
1,Wet/Dry,Alphitonia excelsa,3,3,9:00,-2.3
1,Wet/Dry,Alphitonia excelsa,3,1,11:00,-1.85
1,Wet/Dry,Alphitonia excelsa,3,2,11:00,-1.7
1,Wet/Dry,Alphitonia excelsa,3,3,11:00,-1.6
1,Wet/Dry,Alphitonia excelsa,3,1,13:00,-1.9
