species,Accepted_name_rank,orig.species,ps.type,little.d13.org,big.D13.org,big.D13.merged,latitude,longitude,collection.year,collection.month,author,year,location_name,source_id
Dodonaea viscosa,species,Dodonaea viscosa ssp cuneata,C3,-25.6,NA,17.6824601246412,-32.97,146.13,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.13_deg_long,
Dodonaea viscosa,species,Dodonaea viscosa ssp angustissima,C3,-27.5,NA,19.5824601246412,-32.97,146.13,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.13_deg_long,
Elaeocarpus serratus,species,Elaeocarpus angustifolius,C3,-28.38,NA,20.3278473301286,-26.75,152.867,2004,NA,unpub,NA,at_-26.75_deg_lat_and_152.867_deg_long,
Empodisma minus,species,Empodisma minus,C3,-27.99,NA,20.1648092463352,-26.85,153,1994,NA,unpub,NA,at_-26.85_deg_lat_and_153_deg_long,
Epacris pulchella,species,Epacris pulchella,C3,-30.25,NA,22.4248092463352,-26.85,153,1994,NA,unpub,NA,at_-26.85_deg_lat_and_153_deg_long,
Eremophila deserti,species,Eremophila deserti,C3,-26.3,NA,18.3824601246412,-32.97,146.15,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.15_deg_long,
Eremophila glabra,species,Eremophila glabra,C3,-26.9,NA,18.9824601246412,-32.97,146.13,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.13_deg_long,
Eremophila glabra,species,Eremophila glabra,C3,-26.3,NA,18.3824601246412,-32.97,146.15,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.15_deg_long,
Eremophila longifolia,species,Eremophila longifolia,C3,-26.3,NA,18.3824601246412,-32.97,146.13,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.13_deg_long,
Eremophila mitchellii,species,Eremophila mitchelli,C3,-26.8,NA,18.8824601246412,-32.97,146.13,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.13_deg_long,
Eriostemon australasius,species,Eriostemon australasius,C3,-29.7,NA,21.7823740602752,-33.68,151.13,1998,NA,unpub,NA,at_-33.68_deg_lat_and_151.13_deg_long,
Philotheca difformis,species,Philotheca difformis,C3,-25.6,NA,17.6824601246412,-32.97,146.15,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.15_deg_long,
Philotheca difformis,species,Philotheca difformis,C3,-25.3,NA,17.3824601246412,-32.97,146.13,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.13_deg_long,
Philotheca myoporoides,species,Eriostemon myoporoides,C3,-28.73,NA,20.9048092463352,-26.85,153,1994,NA,unpub,NA,at_-26.85_deg_lat_and_153_deg_long,
Eucalyptus beyeri,species,Eucalyptus paniculata,C3,-31.7,NA,23.7823850801193,-33.58,151.3,1998,NA,unpub,NA,at_-33.58_deg_lat_and_151.3_deg_long,
Eucalyptus x bucknellii,species,Eucalyptus populnea,C3,-26.7,NA,18.6234292557256,-34.126,146.196,2005,NA,unpub,NA,at_-34.126_deg_lat_and_146.196_deg_long,
Eucalyptus carnea,species,Eucalyptus umbra,C3,-29.4,NA,21.4823850801193,-33.58,151.3,1998,NA,unpub,NA,at_-33.58_deg_lat_and_151.3_deg_long,
Eucalyptus diversicolor,species,Eucalyptus diversicolor,C3,-27.1317,NA,19.0778411975884,-34,116,2004,NA,Burgess_Dawson,2007,at_-34_deg_lat_and_116_deg_long,secondary_02
Eucalyptus dumosa,species,Eucalyptus dumosa,C3,-24.7,NA,16.7824601246412,-32.97,146.15,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.15_deg_long,
Eucalyptus globulus,species,Eucalyptus globulus,C3,-27.57,NA,19.6069119635143,-34.32,117.5,2000,November,Cernusak_etal,2005,at_-34.32_deg_lat_and_117.5_deg_long,secondary_01
Eucalyptus globulus,species,Eucalyptus globulus,C3,-29.39,NA,21.404163591816,-34.97,117.33,2001,December,Cernusak_etal,2005,at_-34.97_deg_lat_and_117.33_deg_long,secondary_01
Eucalyptus haemastoma,species,Eucalyptus haemastoma,C3,-30.1,NA,22.0234728699771,-33.691,151.144,2005,NA,unpub,NA,at_-33.691_deg_lat_and_151.144_deg_long,
Eucalyptus haemastoma,species,Eucalyptus haemostoma,C3,-29.4,NA,21.4823740602752,-33.68,151.13,1998,NA,unpub,NA,at_-33.68_deg_lat_and_151.13_deg_long,
Eucalyptus intertexta,species,Eucalyptus intertexta,C3,-27.4,NA,19.4824601246412,-32.97,146.13,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.13_deg_long,
Eucalyptus socialis,species,Eucalyptus socialis,C3,-25.9,NA,17.9824601246412,-32.97,146.15,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.15_deg_long,
Eutaxia microphylla,species,Eutaxia microphylla,C3,-26.7,NA,18.7824601246412,-32.97,146.15,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.15_deg_long,
Exocarpos aphyllus,species,Exocarpos aphyllus,C3,-26.5,NA,18.5824601246412,-32.97,146.13,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.13_deg_long,
Gardenia actinocarpa,species,Gardenia actinocarpa,C3,-33.3917,NA,25.437009127071,-16.133,145.433,2000,NA,unpub,NA,at_-16.133_deg_lat_and_145.433_deg_long,
Gardenia actinocarpa,species,Gardenia actinocarpa,C3,-33.33,NA,25.375309127071,-16.133,145.433,2000,NA,unpub,NA,at_-16.133_deg_lat_and_145.433_deg_long,
Gardenia ovularis,species,Gardenia ovularis,C3,-32.54,NA,24.585309127071,-16.133,145.433,2000,NA,unpub,NA,at_-16.133_deg_lat_and_145.433_deg_long,
Gardenia ovularis,species,Gardenia ovularis,C3,-32.5842,NA,24.6295383594275,-16.1,145.433,2000,NA,unpub,NA,at_-16.1_deg_lat_and_145.433_deg_long,
Geijera linearifolia,species,Geijera parviflora,C3,-27.2,NA,19.2824601246412,-32.97,146.13,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.13_deg_long,
Gompholobium glabratum,species,Gompholobium glabratum,C3,-28.6,NA,20.6823740602752,-33.68,151.13,1998,NA,unpub,NA,at_-33.68_deg_lat_and_151.13_deg_long,
Gompholobium latifolium,species,Gompholobium latifolium,C3,-32.5,NA,24.5823850801193,-33.58,151.3,1998,NA,unpub,NA,at_-33.58_deg_lat_and_151.3_deg_long,
Gompholobium pinnatum,species,Gompholobium pinnatum,C3,-31.08,NA,23.2548092463352,-26.85,153,1994,NA,unpub,NA,at_-26.85_deg_lat_and_153_deg_long,
Grevillea anethifolia,species,Grevillea anethifolia,C3,-26,NA,18.0824601246412,-32.97,146.15,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.15_deg_long,
Grevillea buxifolia,species,Grevillea buxifolia,C3,-29.1,NA,21.1823740602752,-33.68,151.13,1998,NA,unpub,NA,at_-33.68_deg_lat_and_151.13_deg_long,
Grevillea robusta,species,Grevillea robusta,C3,-27.37,NA,19.3178473301286,-26.75,152.867,2004,NA,unpub,NA,at_-26.75_deg_lat_and_152.867_deg_long,
Grevillea speciosa,species,Grevillea speciosa,C3,-28.8,NA,20.8823740602752,-33.68,151.13,1998,NA,unpub,NA,at_-33.68_deg_lat_and_151.13_deg_long,
Hakea dactyloides,species,Hakea dactyloides,C3,-28.9,NA,20.9823740602752,-33.68,151.13,1998,NA,unpub,NA,at_-33.68_deg_lat_and_151.13_deg_long,
Hakea dactyloides,species,Hakea dactyloides,C3,-30.2,NA,22.1234728699771,-33.691,151.144,2005,NA,unpub,NA,at_-33.691_deg_lat_and_151.144_deg_long,
Hakea gibbosa,species,Hakea gibbosa,C3,-29.25,NA,21.4248092463352,-26.85,153,1994,NA,unpub,NA,at_-26.85_deg_lat_and_153_deg_long,
Hakea tephrosperma,species,Hakea tephrosperma,C3,-24.7,NA,16.7824601246412,-32.97,146.13,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.13_deg_long,
Hakea tephrosperma,species,Hakea tephrosperma,C3,-26.6,NA,18.5234292557256,-34.126,146.196,2005,NA,unpub,NA,at_-34.126_deg_lat_and_146.196_deg_long,
Hakea teretifolia,species,Hakea teretifolia,C3,-28.2,NA,20.2823740602752,-33.68,151.13,1998,NA,unpub,NA,at_-33.68_deg_lat_and_151.13_deg_long,
Hakea teretifolia,species,Hakea teretifolia,C3,-29.7,NA,21.6234728699771,-33.691,151.144,2005,NA,unpub,NA,at_-33.691_deg_lat_and_151.144_deg_long,
Hibbertia bracteata,species,Hibbertia bracteata,C3,-28.9,NA,20.9823740602752,-33.68,151.13,1998,NA,unpub,NA,at_-33.68_deg_lat_and_151.13_deg_long,
Hibbertia lucens,species,Hibbertia salicifolia,C3,-28.9,NA,21.0748092463352,-26.85,153,1994,NA,unpub,NA,at_-26.85_deg_lat_and_153_deg_long,
Lambertia formosa,species,Lambertia formosa,C3,-28.6,NA,20.6823740602752,-33.68,151.13,1998,NA,unpub,NA,at_-33.68_deg_lat_and_151.13_deg_long,
Lasiopetalum ferrugineum,species,Lasiopetalum ferrugineum,C3,-30.4,NA,22.4823850801193,-33.58,151.3,1998,NA,unpub,NA,at_-33.58_deg_lat_and_151.3_deg_long,
Leptospermum liversidgei,species,Leptospermum liversidgei,C3,-28.64,NA,20.8148092463352,-26.85,153,1994,NA,unpub,NA,at_-26.85_deg_lat_and_153_deg_long,
Leptospermum liversidgei,species,Leptospermum polygalifolium,C3,-29.7,NA,21.7823850801193,-33.58,151.3,1998,NA,unpub,NA,at_-33.58_deg_lat_and_151.3_deg_long,
Leptospermum speciosum,species,Leptospermum speciosum,C3,-28.47,NA,20.6448092463352,-26.85,153,1994,NA,unpub,NA,at_-26.85_deg_lat_and_153_deg_long,
Leptospermum trinervium,species,Leptospermum trinervium,C3,-30.9,NA,22.9823740602752,-33.68,151.13,1998,NA,unpub,NA,at_-33.68_deg_lat_and_151.13_deg_long,
Styphelia leptospermoides,species,Leucopogon leptospermoides,C3,-30.51,NA,22.6848092463352,-26.85,153,1994,NA,unpub,NA,at_-26.85_deg_lat_and_153_deg_long,
Lomatia silaifolia,species,Lomatia silaifolia,C3,-29.5,NA,21.5823850801193,-33.58,151.3,1998,NA,unpub,NA,at_-33.58_deg_lat_and_151.3_deg_long,
Lupinus angustifolius,species,Lupinus angustifolias,C3,-27.74,NA,19.7768870666253,-34.63,117.53,2000,November,Cernusak_etal,2002,at_-34.63_deg_lat_and_117.53_deg_long,secondary_03
Macrozamia communis,species,Macrozamia communis,C3,-28.2,NA,20.2823850801193,-33.58,151.3,1998,NA,unpub,NA,at_-33.58_deg_lat_and_151.3_deg_long,
Melaleuca nodosa,species,Melaleuca nodosa,C3,-30.89,NA,23.0648092463352,-26.85,153,1994,NA,unpub,NA,at_-26.85_deg_lat_and_153_deg_long,
Melaleuca sieberi,species,Melaleuca sieberi,C3,-29.02,NA,21.1948092463352,-26.85,153,1994,NA,unpub,NA,at_-26.85_deg_lat_and_153_deg_long,
Melaleuca uncinata,species,Melaleuca uncinata,C3,-27.7,NA,19.7824601246412,-32.97,146.13,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.13_deg_long,
Melaleuca uncinata,species,Melaleuca uncinata,C3,-26.8,NA,18.8824601246412,-32.97,146.15,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.15_deg_long,
Micromyrtus sessilis,species,Micromyrtus sessilis,C3,-28.1,NA,20.1824601246412,-32.97,146.15,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.15_deg_long,
Mirbelia rubiifolia,species,Mirbelia reticulata,C3,-27.43,NA,19.6048092463352,-26.85,153,1994,NA,unpub,NA,at_-26.85_deg_lat_and_153_deg_long,
Olearia decurrens,species,Olearia decurrens,C3,-28.7,NA,20.7824601246412,-32.97,146.15,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.15_deg_long,
Olearia pimeleoides,species,Olearia pimelioides,C3,-28.4,NA,20.4824601246412,-32.97,146.15,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.15_deg_long,
Olearia pimeleoides,species,Olearia pimelioides,C3,-28.9,NA,20.9824601246412,-32.97,146.13,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.13_deg_long,
Persoonia levis,species,Persoonia levis,C3,-29,NA,21.0823740602752,-33.68,151.13,1998,NA,unpub,NA,at_-33.68_deg_lat_and_151.13_deg_long,
Persoonia linearis,species,Persoonia linearis,C3,-30.5,NA,22.5823850801193,-33.58,151.3,1998,NA,unpub,NA,at_-33.58_deg_lat_and_151.3_deg_long,
Persoonia virgata,species,Persoonia virgata,C3,-29.52,NA,21.6948092463352,-26.85,153,1994,NA,unpub,NA,at_-26.85_deg_lat_and_153_deg_long,
Petrophile shirleyae,species,Petrophila shirleyae,C3,-30.3,NA,22.4748092463352,-26.85,153,1994,NA,unpub,NA,at_-26.85_deg_lat_and_153_deg_long,
Phyllota phylicoides,species,Phyllota phylicoides,C3,-29.5,NA,21.5823740602752,-33.68,151.13,1998,NA,unpub,NA,at_-33.68_deg_lat_and_151.13_deg_long,
Pimelea linifolia,species,Pimelea linifolia,C3,-29.9,NA,21.9823740602752,-33.68,151.13,1998,NA,unpub,NA,at_-33.68_deg_lat_and_151.13_deg_long,
Pimelea microcephala,species,Pimelea microcephala,C3,-26.9,NA,18.9824601246412,-32.97,146.13,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.13_deg_long,
Pomaderris wendlandiana,species,Pomaderris ferruginea,C3,-30.6,NA,22.6823850801193,-33.58,151.3,1998,NA,unpub,NA,at_-33.58_deg_lat_and_151.3_deg_long,
Pultenaea daphnoides,species,Pultenaea daphnoides,C3,-29.8,NA,21.8823850801193,-33.58,151.3,1998,NA,unpub,NA,at_-33.58_deg_lat_and_151.3_deg_long,
Pultenaea flexilis,species,Pultenaea flexilis,C3,-29.4,NA,21.4823850801193,-33.58,151.3,1998,NA,unpub,NA,at_-33.58_deg_lat_and_151.3_deg_long,
Pultenaea paleacea,species,Pultenaea paleacea,C3,-28.6,NA,20.7748092463352,-26.85,153,1994,NA,unpub,NA,at_-26.85_deg_lat_and_153_deg_long,
Ranunculus lappaceus,species,Ranunculus lappaceus,C3,-28.72,NA,21.1881137753339,-36.1,148.3,1981,NA,Korner_etal,1988,at_-36.1_deg_lat_and_148.3_deg_long,secondary_04
Santalum acuminatum,species,Santalum acuminatum,C3,-27.3,NA,19.3824601246412,-32.97,146.15,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.15_deg_long,
Senna artemisioides,species,Senna artemisioides var 3 lft,C3,-26.3,NA,18.3824601246412,-32.97,146.13,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.13_deg_long,
Senna artemisioides,species,Senna artemisioides var 1 lft,C3,-25.3,NA,17.3824601246412,-32.97,146.13,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.13_deg_long,
Solanum ferocissimum,species,Solanum ferocissium,C3,-29.3,NA,21.3824601246412,-32.97,146.13,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.13_deg_long,
Teucrium puberulum,species,Spartothamnella puberula,C3,-29.1,NA,21.1824601246412,-32.97,146.13,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.13_deg_long,
Sprengelia sprengelioides,species,Sprengelia sprengelioides,C3,-29.7,NA,21.8748092463352,-26.85,153,1994,NA,unpub,NA,at_-26.85_deg_lat_and_153_deg_long,
Strangea linearis,species,Strangea linearis,C3,-29.94,NA,22.1148092463352,-26.85,153,1994,NA,unpub,NA,at_-26.85_deg_lat_and_153_deg_long,
Syncarpia glomulifera,species,Syncarpia glomulifera,C3,-29.2,NA,21.2823850801193,-33.58,151.3,1998,NA,unpub,NA,at_-33.58_deg_lat_and_151.3_deg_long,
Synoum glandulosum,species,Synoum glandulosum,C3,-29,NA,21.0823850801193,-33.58,151.3,1998,NA,unpub,NA,at_-33.58_deg_lat_and_151.3_deg_long,
Triodia scariosa,species,Triodia scariosa,C4,-13.8,NA,5.8824601246412,-32.97,146.15,1998,NA,unpub,NA,at_-32.97_deg_lat_and_146.15_deg_long,
Xanthorrhoea johnsonii,species,Xanthorrhoea johnsonii,C3,-26.99,NA,19.1648092463352,-26.85,153,1994,NA,unpub,NA,at_-26.85_deg_lat_and_153_deg_long,
Xanthostemon chrysanthus,species,Xanthostemon chrysanthus,C3,-32.27,NA,24.315309127071,-16.133,145.433,2000,NA,unpub,NA,at_-16.133_deg_lat_and_145.433_deg_long,
Xanthostemon chrysanthus,species,Xanthostemon chrysanthus,C3,-32.9224,NA,24.967709127071,-16.133,145.433,2000,NA,unpub,NA,at_-16.133_deg_lat_and_145.433_deg_long,
Xanthostemon formosus,species,Xanthostemon formosus,C3,-32.3271,NA,24.3723790664182,-16.167,145.4,2000,NA,unpub,NA,at_-16.167_deg_lat_and_145.4_deg_long,
Xanthostemon formosus,species,Xanthostemon formosus,C3,-32.89,NA,24.935309127071,-16.133,145.433,2000,NA,unpub,NA,at_-16.133_deg_lat_and_145.433_deg_long,
Xylomelum pyriforme,species,Xylomelum pyriforme,C3,-29.2,NA,21.2823850801193,-33.58,151.3,1998,NA,unpub,NA,at_-33.58_deg_lat_and_151.3_deg_long,
