Family,Date,Species,Forest location,Canopy location,replicate,Photo,Cond,Ci,Trmmol,Tleaf,CO2S,RH_S,PARi,Rdark,Contributors
Protaceae,14/09/2010,Cardwellia sublimis,177-55,upper,1,14.54,0.3366,283.2,4.55,30.548,367.126,75.086,1799,-1.53,Crous & Atkin
Protaceae,14/09/2010,Cardwellia sublimis,244-52,upper,2,11.52,0.2454,285.2,3.294,30.778,373.612,78.214,1800,-0.71,Crous & Atkin
Protaceae,14/09/2010,Cardwellia sublimis,248-42,upper,3,11.84,0.2746,291.8,3.416,31.434,373.602,83.658,1800,-1,Crous & Atkin
Protaceae,14/09/2010,Cardwellia sublimis,258-31,upper,4,11.44,0.2242,280.6,2.738,31.618,374.69,86.68,1800,-0.73,Crous & Atkin
Protaceae,21/09/2010,Cardwellia sublimis,177-55,lower,1,13.56,0.7494,332.8,2.436,28.15,370.384,88.03,1799,-0.66,Crous & Atkin
Protaceae,21/09/2010,Cardwellia sublimis,244-52,lower,2,13.08,0.759,336.4,2.28,28.166,372.402,89.578,1800.2,-0.75,Crous & Atkin
Protaceae,21/09/2010,Cardwellia sublimis,248-42,lower,3,9.364,0.6308,348.8,2.012,28.184,379.466,89.542,1800,-0.55,Crous & Atkin
Protaceae,21/09/2010,Cardwellia sublimis,258-31,lower,4,8.784,0.4572,343.2,1.71,28.17,380.764,88.824,1799,-0.36,Crous & Atkin
Xanthophyllaceae,15/09/2010,Xanthophyllum octandrum,14-38,upper,1,7.435,0.068075,198.75,0.98625,31.04,384.0875,77.6525,1798.25,-0.51,Crous & Atkin
Xanthophyllaceae,14/09/2010,Xanthophyllum octandrum,75-51,upper,2,7.698,0.2256,319,1.782,29.748,381.968,86.908,1799.4,-0.96,Crous & Atkin
Xanthophyllaceae,14/09/2010,Xanthophyllum octandrum,103-51,upper,3,12.32,0.206,266.2,2.216,31.276,373.76,88.922,1799.8,-0.86,Crous & Atkin
Xanthophyllaceae,21/09/2010,Xanthophyllum octandrum,14-38,lower,1,10.4,0.1354,244.6,1.508,31.048,378.464,87.932,1799.2,-0.76,Crous & Atkin
Xanthophyllaceae,21/09/2010,Xanthophyllum octandrum,75-51,lower,2,4.664,0.65,374,1.68,27.864,389.848,89.746,1799.4,-0.73,Crous & Atkin
Xanthophyllaceae,22/09/2010,Xanthophyllum octandrum,103-51,lower,3,9.334,0.278,313.8,2.76,30.444,377.854,84.15,1798.8,-0.48,Crous & Atkin
Apocynaceae,23/09/2010,Alstonia scholaris,23-31,upper,1,14.64,0.2148,247.4,2.718,31.604,370.042,83.38,1799,-1.26,Crous & Atkin
Apocynaceae,23/09/2010,Alstonia scholaris,118-47,upper,2,13.96,0.2084,250.2,2.376,30.562,370.1,80.194,1799,-1.8,Crous & Atkin
Apocynaceae,23/09/2010,Alstonia scholaris,263-20,upper,3,9.23,0.1368,260.4,2.02,31.398,380.412,77.852,1800.8,-0.69,Crous & Atkin
Apocynaceae,23/09/2010,Alstonia scholaris,326-36,upper,4,12.48,0.1868,252,2.658,31.886,372.486,80.932,1798.8,-1.31,Crous & Atkin
Sapindaceae,23/09/2010,Synima cordierorum,40-52,upper,1,9.582,0.1276,246.6,1.902,31.812,379.448,80.322,1798.8,-1.49,Crous & Atkin
Sapindaceae,23/09/2010,Synima cordierorum,44-48,upper,2,11.56,0.197,268.4,2.592,32.04,374.756,84.022,1798.8,-1.52,Crous & Atkin
Sapindaceae,23/09/2010,Synima cordierorum,105-35,upper,3,11.425,0.20825,275.75,2.5375,31.14,375.585,82.1275,1798.75,-0.65,Crous & Atkin
Sapindaceae,23/09/2010,Synima cordierorum,107-26,upper,4,11.4,0.2158,277.4,2.79,31.694,374.634,83.136,1799.8,-1.31,Crous & Atkin
Araceae ,17/09/2010,Licuala ramsayii,,understory,1,1.996,0.0224,241.8,0.4202,30.926,395.162,68.864,1799.8,-0.124142857,Crous & Atkin
Araceae ,17/09/2010,Licuala ramsayii,,understory,2,2.454,0.0352,272,0.6798,30.482,395.016,64.844,1799.6,-0.224857143,Crous & Atkin
Araceae ,17/09/2010,Licuala ramsayii,,understory,3,1.664,0.02538,278.8,0.52,31.052,395.604,65.314,1800,-0.262142857,Crous & Atkin
Araceae ,22/09/2010,Licuala ramsayii,,understory,4,2.352,0.09756,349.8,0.6834,28.16,393.754,81.934,1799.8,-0.143833333,Crous & Atkin
Araceae ,17/09/2010,Linospadix minor,,understory,1,2.286,0.05298,314.4,0.9688,30.396,394.862,66.544,1800,-0.290428571,Crous & Atkin
Araceae ,17/09/2010,Linospadix minor,,understory,2,2.768,0.07348,321,1.294,30.428,392.694,68.17,1800.2,-0.211428571,Crous & Atkin
Araceae ,17/09/2010,Linospadix minor,,understory,3,2.778,0.04504,283.2,0.8476,30.866,393.726,68.148,1799.2,-0.266142857,Crous & Atkin
Araceae ,22/09/2010,Linospadix minor,,understory,4,2.766,0.1998,366.6,1.154,28.142,393.724,84.438,1799.6,-0.199,Crous & Atkin
Lauraceae,15/09/2010,Cryptocarya laevigata,,understory,1,8.052,0.1044,246.6,1.518,30.156,381.494,73.994,1800.2,-0.418857143,Crous & Atkin
Lauraceae,15/09/2010,Cryptocarya laevigata,,understory,2,3.014,0.02592,196,0.509,31.176,392.658,69.018,1800,-0.281142857,Crous & Atkin
Lauraceae,15/09/2010,Cryptocarya laevigata,,understory,5,2.906,0.02896,221.2,0.564,31.194,392.996,69.506,1800,-0.523714286,Crous & Atkin
Lauraceae,15/09/2010,Cryptocarya laevigata,,understory,3,4.214,0.05656,258.8,1.008,30.904,389.502,71.336,1799,,Crous & Atkin
Lauraceae,15/09/2010,Cryptocarya laevigata,,understory,4,4.346,0.09298,304.6,1.326,29.722,389.876,72.918,1800,-0.187285714,Crous & Atkin
Proteaceae,14/09/2010,Darlingia darlingiana,,understory,1,2.4175,0.03985,289.25,0.528,30.335,394.745,77.6,1800.75,-0.4705,Crous & Atkin
Proteaceae,14/09/2010,Darlingia darlingiana,,understory,2,3.3825,0.071475,306.75,0.99575,30.4925,392.14,76.725,1799.25,-0.30725,Crous & Atkin
Proteaceae,14/09/2010,Darlingia darlingiana,,understory,3,2.49,0.057275,314,0.89175,30.825,393.7175,74.9025,1798.75,-0.20425,Crous & Atkin
Proteaceae,14/09/2010,Darlingia darlingiana,,understory,4,2.5125,0.052375,307.25,0.8545,30.955,394.6225,74.5225,1799.75,-0.0958,Crous & Atkin
Proteaceae,15/09/2010,Darlingia darlingiana,,understory,5,2.912,0.04868,286.4,0.8638,31.388,393.416,74.48,1800,-0.150571429,Crous & Atkin
Rubiaceae,15/09/2010,Atractocarpus hirtus,,understory,1,4.14,0.125,325.8,2.014,30.988,390.21,75.922,1800,-0.292285714,Crous & Atkin
Rubiaceae,15/09/2010,Atractocarpus hirtus,,understory,2,2.902,0.111,339.8,1.714,30.466,392.302,74.312,1801,-0.223714286,Crous & Atkin
Rubiaceae,15/09/2010,Atractocarpus hirtus,,understory,3,2.55,0.1302,350.4,2.034,30.836,392.93,76.05,1800,-0.161142857,Crous & Atkin
Rubiaceae,15/09/2010,Atractocarpus hirtus,,understory,4,3.82,0.09002,311.8,1.478,30.7,390.938,73.472,1800.2,-0.282571429,Crous & Atkin
Annonaceae,17/09/2010,Pseudovaria frogatti,,understory,1,1.366,0.01176,198.8,0.2556,31.386,396.094,64.7,1799,-0.091428571,Crous & Atkin
Annonaceae,17/09/2010,Pseudovaria frogatti,,understory,2,3.562,0.08984,317,1.566,30.48,392.398,68.9,1800.2,-0.322428571,Crous & Atkin
Annonaceae,17/09/2010,Pseudovaria frogatti,,understory,3,3.654,0.06768,292.8,1.22,30.428,390.912,67.12,1800,-0.223,Crous & Atkin
Annonaceae,17/09/2010,Pseudovaria frogatti,,understory,4,1.478,0.01638,240.2,0.359,31.352,396.814,64.128,1800,-0.264714286,Crous & Atkin
Annonaceae,22/09/2010,Pseudovaria frogatti,,understory,5,2.574,0.1202,354.4,0.8112,28.17,393.972,82.64,1800,-0.264,Crous & Atkin
Zamiaceae,15/09/2010,Bowenia spectabilis,,understory,1,2.808,0.0388,267.4,0.7182,30.92,394.28,69.942,1800,-0.100657143,Crous & Atkin
Zamiaceae,15/09/2010,Bowenia spectabilis,,understory,2,4.474,0.05792,255.2,1.018,30.93,390.166,72.136,1800,-0.376857143,Crous & Atkin
Zamiaceae,15/09/2010,Bowenia spectabilis,,understory,3,1.796,0.02344,261.8,0.445,31.03,395.102,69.5,1799.8,,Crous & Atkin
Zamiaceae,15/09/2010,Bowenia spectabilis,,understory,7,3.786,0.05236,264.2,0.913,30.88,390.772,71.96,1800,-0.291428571,Crous & Atkin
Zamiaceae,15/09/2010,Bowenia spectabilis,,understory,4,2.116,0.03476,285.6,0.661,31.282,394.344,70.992,1799.4,-0.202857143,Crous & Atkin
Zamiaceae,23/09/2010,Bowenia spectabilis,,understory,5,2.964,0.0577,296,1.368,28.14,392.806,38.304,1799,-0.354428571,Crous & Atkin
Zamiaceae,23/09/2010,Bowenia spectabilis,,understory,6,3.748,0.07662,297.6,1.762,28.158,390.754,39.74,1799,-0.374285714,Crous & Atkin
Agavaceae,17/09/2010,Cordyline cannifolia,,understory,1,2.434,0.02664,237.4,0.523,30.936,394.664,66.824,1799.2,-0.325714286,Crous & Atkin
Agavaceae,22/09/2010,Cordyline cannifolia,,understory,2,2.414,0.1168,356.2,0.7862,28.18,394.596,82.332,1800,-0.373285714,Crous & Atkin
Agavaceae,23/09/2010,Cordyline cannifolia,,understory,3,4.026,0.097,316.6,1.13,30.024,392.056,81.758,1799.8,-0.432142857,Crous & Atkin
Agavaceae,23/09/2010,Cordyline cannifolia,,understory,4,2.076,0.1048,356.6,0.825,28.13,394.094,79.896,1800,-0.415428571,Crous & Atkin
Myrtaceae,22/09/2010,Syzygium monospermum,,understory,1,3.052,0.07954,326.6,0.4094,28.146,392.3,87.184,1799.6,-0.375571429,Crous & Atkin
Myrtaceae,22/09/2010,Syzygium monospermum,,understory,2,2.912,0.10544,343.6,0.6416,28.144,392.96,84.356,1799,-0.269285714,Crous & Atkin
Myrtaceae,22/09/2010,Syzygium monospermum,,understory,3,3.058,0.08028,326.6,0.5638,28.17,393.022,82.234,1799,-0.251142857,Crous & Atkin
Myrtaceae,22/09/2010,Syzygium monospermum,,understory,4,2.554,0.09492,346,0.6634,28.174,394.362,81.82,1800,-0.274,Crous & Atkin
Dilleniaceae,23/09/2010,Tetracera nordtiana,,understory,1,3.38,0.1564,351.8,1.05,28.14,392.264,82.396,1799.8,-0.423571429,Crous & Atkin
Dilleniaceae,23/09/2010,Tetracera nordtiana,,understory,2,3.624,0.1664,350.2,1.042,28.136,390.798,83.134,1800,-0.268571429,Crous & Atkin
Dilleniaceae,23/09/2010,Tetracera nordtiana,,understory,3,2.376,0.1052,351.8,0.7012,28.112,393.27,82.092,1800,-0.167071429,Crous & Atkin
Dilleniaceae,23/09/2010,Tetracera nordtiana,,understory,4,1.478,0.1418,374.8,0.8658,28.138,396.102,83.444,1800,-0.259142857,Crous & Atkin
Dilleniaceae,23/09/2010,Tetracera nordtiana,,understory,5,1.768,0.06846,348.8,0.4576,28.144,395.006,82.112,1799.4,-0.210828571,Crous & Atkin
