Species,Soil type,Mean specific leaf area (cm2 g-1),Mean percent leaf nitrogen,Mean percent leaf phosphorus,Mean area-based light saturated photosynthetic rate (umol m-2s-1),Mean area-based leaf dark respriation rate (umol m-2s-1),Minimum light requirement (PPFD5),Light compensation point for growth,Responsiveness of growth to light (RGR mol-1m-2 PPFD),Relative growth rate at 2 mol m-2 PPFD,Relative growth rate at 4 mol m-2 PPFD,Relative growth rate at 8 mol m-2 PPFD,Relative growth rate at 12 mol m-2 PPFD,Photosynthetic Photon Flux Density (PPFD),Relative Growth Rate (RGR)
Argyrodendron trifoliolatum,Basalt,150.9,,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,154.29,,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,156.17,,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,156.41,,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,156.49,,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,161.26,,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,162.46,,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,162.55,,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,163.55,,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,167.02,,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,167.09,,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,172.19,,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,176.75,,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,184.82,,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,185.87,,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,187.78,,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,188.24,,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,199.08,,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,203.73,,,,,,,,,,,,,
Argyrodendron trifoliolatum,Basalt,229.87,,,,,,,,,,,,,
Austrobuxus swainii,Rhyolite,124.77,1.424,0.0484,,,,,,,,,,,
Austrobuxus swainii,Rhyolite,195.3,1.455,0.0531,,,,,,,,,,,
Austrobuxus swainii,Rhyolite,178.85,1.51,0.0555,1.71,-0.47,,,,,,,,,
Austrobuxus swainii,Rhyolite,133.33,1.482,0.0649,3.77,-0.289,,,,,,,,,
Austrobuxus swainii,Rhyolite,179.36,1.296,0.0649,4.05,-0.314,,,,,,,,,
Austrobuxus swainii,Rhyolite,239.52,1.407,0.0687,,,,,,,,,,,
Austrobuxus swainii,Rhyolite,176.32,1.416,0.0728,,,,,,,,,,,
Austrobuxus swainii,Rhyolite,188.78,1.24,0.0735,5.05,-0.255,,,,,,,,,
Austrobuxus swainii,Rhyolite,164.53,1.543,0.0854,4.87,-0.327,,,,,,,,,
Austrobuxus swainii,Rhyolite,164.3,0.981,,,,,,,,,,,,
Austrobuxus swainii,Rhyolite,207.7,1.223,,,,,,,,,,,,
Austrobuxus swainii,Rhyolite,202.85,1.228,,,,,,,,,,,,
Austrobuxus swainii,Rhyolite,170.5,1.266,,,,,,,,,,,,
Austrobuxus swainii,Rhyolite,190.69,1.276,,,,,,,,,,,,
Austrobuxus swainii,Rhyolite,163.65,1.318,,,,,,,,,,,,
Austrobuxus swainii,Rhyolite,139.19,,,,,,,,,,,,,
Austrobuxus swainii,Rhyolite,142.35,,,,,,,,,,,,,
Austrobuxus swainii,Rhyolite,143.49,,,,,,,,,,,,,
Austrobuxus swainii,Rhyolite,146.55,,,,,,,,,,,,,
Austrobuxus swainii,Rhyolite,157.59,,,,,,,,,,,,,
Austrobuxus swainii,Rhyolite,161.23,,,,,,,,,,,,,
Austrobuxus swainii,Rhyolite,161.79,,,,,,,,,,,,,
Austrobuxus swainii,Rhyolite,172.41,,,,,,,,,,,,,
Austrobuxus swainii,Rhyolite,236.78,,,,,,,,,,,,,
Castanospermum australe,Basalt,215.66,2.614,0.1282,,,,,,,,,,,
Castanospermum australe,Basalt,242.34,2.501,0.1305,,,,,,,,,,,
Castanospermum australe,Basalt,239.05,3.121,0.1364,4.16,-0.384,,,,,,,,,
Castanospermum australe,Basalt,177.9,2.854,0.1368,3.55,-0.486,,,,,,,,,
Castanospermum australe,Basalt,277.08,2.334,0.1387,4.12,-0.544,,,,,,,,,
Castanospermum australe,Basalt,192.17,2.223,0.1397,4.18,-0.39,,,,,,,,,
Castanospermum australe,Basalt,298.38,3.058,0.1624,,,,,,,,,,,
Castanospermum australe,Basalt,267.44,3.001,0.186,,,,,,,,,,,
Castanospermum australe,Basalt,260.13,2.959,0.2012,5.61,-0.82,,,,,,,,,
Castanospermum australe,Basalt,254.81,2.344,,,,,,,,,,,,
Castanospermum australe,Basalt,218.72,2.567,,,,,,,,,,,,
Castanospermum australe,Basalt,206,2.575,,,,,,,,,,,,
Castanospermum australe,Basalt,256.72,2.649,,,,,,,,,,,,
Castanospermum australe,Basalt,281.34,2.82,,,,,,,,,,,,
Castanospermum australe,Basalt,237.83,2.869,,,,,,,,,,,,
Castanospermum australe,Basalt,274.75,2.892,,,,,,,,,,,,
Castanospermum australe,Basalt,156.41,,,,,,,,,,,,,
Castanospermum australe,Basalt,194.03,,,,,,,,,,,,,
Castanospermum australe,Basalt,211.88,,,,,,,,,,,,,
Castanospermum australe,Basalt,222.86,,,,,,,,,,,,,
Castanospermum australe,Basalt,224,,,,,,,,,,,,,
Castanospermum australe,Basalt,232.33,,,,,,,,,,,,,
Castanospermum australe,Basalt,246.44,,,,,,,,,,,,,
Castanospermum australe,Basalt,254.95,,,,,,,,,,,,,
Castanospermum australe,Basalt,258.8,,,,,,,,,,,,,
Castanospermum australe,Basalt,260.32,,,,,,,,,,,,,
Castanospermum australe,Basalt,261.37,,,,,,,,,,,,,
Castanospermum australe,Basalt,263.47,,,,,,,,,,,,,
Castanospermum australe,Basalt,266.92,,,,,,,,,,,,,
Castanospermum australe,Basalt,269.33,,,,,,,,,,,,,
Castanospermum australe,Basalt,276.89,,,,,,,,,,,,,
Castanospermum australe,Basalt,279.52,,,,,,,,,,,,,
Castanospermum australe,Basalt,282.7,,,,,,,,,,,,,
Castanospermum australe,Basalt,288.73,,,,,,,,,,,,,
Castanospermum australe,Basalt,298.7,,,,,,,,,,,,,
Castanospermum australe,Basalt,312.09,,,,,,,,,,,,,
Castanospermum australe,Basalt,314.67,,,,,,,,,,,,,
Castanospermum australe,Basalt,319.4,,,,,,,,,,,,,
Castanospermum australe,Basalt,323.21,,,,,,,,,,,,,
Castanospermum australe,Basalt,341.92,,,,,,,,,,,,,
Castanospermum australe,Basalt,452.76,,,,,,,,,,,,,
Cryptocarya rigida,Rhyolite,172.34,1.391,0.0641,3.3,-0.385,,,,,,,,,
Cryptocarya rigida,Rhyolite,184.83,1.138,0.0647,,,,,,,,,,,
Cryptocarya rigida,Rhyolite,153.03,1.529,0.0706,3.66,-0.41,,,,,,,,,
Cryptocarya rigida,Rhyolite,165.1,1.138,0.0709,,,,,,,,,,,
Cryptocarya rigida,Rhyolite,179.17,1.397,0.0746,,,,,,,,,,,
Cryptocarya rigida,Rhyolite,199.07,1.335,0.0785,,,,,,,,,,,
Cryptocarya rigida,Rhyolite,192.96,1.404,0.0797,3.92,-0.398,,,,,,,,,
Cryptocarya rigida,Rhyolite,181.71,1.503,0.0987,4.81,-0.209,,,,,,,,,
Cryptocarya rigida,Rhyolite,230.93,1.601,0.1029,4.68,-0.432,,,,,,,,,
Cryptocarya rigida,Rhyolite,170.77,1.103,,,,,,,,,,,,
Cryptocarya rigida,Rhyolite,196.38,1.162,,,,,,,,,,,,
Cryptocarya rigida,Rhyolite,154.94,1.175,,,,,,,,,,,,
Cryptocarya rigida,Rhyolite,190.92,1.22,,,,,,,,,,,,
Cryptocarya rigida,Rhyolite,167.48,1.323,,,,,,,,,,,,
Cryptocarya rigida,Rhyolite,115.83,1.403,,,,,,,,,,,,
Cryptocarya rigida,Rhyolite,132.31,,,,,,,,,,,,,
Cryptocarya rigida,Rhyolite,152.63,,,,,,,,,,,,,
Cryptocarya rigida,Rhyolite,155.69,,,,,,,,,,,,,
Cryptocarya rigida,Rhyolite,157.39,,,,,,,,,,,,,
Cryptocarya rigida,Rhyolite,160.5,,,,,,,,,,,,,
Cryptocarya rigida,Rhyolite,167.82,,,,,,,,,,,,,
Cryptocarya rigida,Rhyolite,174.82,,,,,,,,,,,,,
Cryptocarya rigida,Rhyolite,184.81,,,,,,,,,,,,,
Cryptocarya rigida,Rhyolite,190.75,,,,,,,,,,,,,
Cryptocarya rigida,Rhyolite,192.03,,,,,,,,,,,,,
Cryptocarya rigida,Rhyolite,197.01,,,,,,,,,,,,,
Diploglottis australis,Basalt,211.3,2.394,0.1227,,,,,,,,,,,
Diploglottis australis,Basalt,121.47,2.58,0.1249,,,,,,,,,,,
Diploglottis australis,Basalt,171.75,2.802,0.152,5.8,-0.479,,,,,,,,,
Diploglottis australis,Basalt,197.85,2.53,0.1626,4.68,-0.546,,,,,,,,,
Diploglottis australis,Basalt,136.52,1.841,0.1704,5.73,-0.633,,,,,,,,,
Diploglottis australis,Basalt,274.1,2.365,0.1707,7.37,-0.784,,,,,,,,,
Diploglottis australis,Basalt,341.81,3.276,0.2318,,,,,,,,,,,
Diploglottis australis,Basalt,244.62,2.971,0.2657,8.31,-0.629,,,,,,,,,
Diploglottis australis,Basalt,158.06,4.613,0.4369,,,,,,,,,,,
Diploglottis australis,Basalt,153.51,1.16,,,,,,,,,,,,
Diploglottis australis,Basalt,130.35,1.967,,,,,,,,,,,,
Diploglottis australis,Basalt,168.62,2.228,,,,,,,,,,,,
Diploglottis australis,Basalt,189.49,2.294,,,,,,,,,,,,
Diploglottis australis,Basalt,241.08,2.364,,,,,,,,,,,,
Diploglottis australis,Basalt,218.54,2.705,,,,,,,,,,,,
Diploglottis australis,Basalt,211.67,2.734,,,,,,,,,,,,
Diploglottis australis,Basalt,252.95,2.945,,,,,,,,,,,,
Diploglottis australis,Basalt,336.03,2.972,,,,,,,,,,,,
Diploglottis australis,Basalt,177.32,3.116,,,,,,,,,,,,
Diploglottis australis,Basalt,236.63,3.293,,,,,,,,,,,,
Diploglottis australis,Basalt,365.78,3.452,,,,,,,,,,,,
Diploglottis australis,Basalt,155.12,,,,,,,,,,,,,
Diploglottis australis,Basalt,156.14,,,,,,,,,,,,,
Diploglottis australis,Basalt,156.18,,,,,,,,,,,,,
Diploglottis australis,Basalt,166.69,,,,,,,,,,,,,
Diploglottis australis,Basalt,167.53,,,,,,,,,,,,,
Diploglottis australis,Basalt,168.12,,,,,,,,,,,,,
Diploglottis australis,Basalt,168.5,,,,,,,,,,,,,
Diploglottis australis,Basalt,183.03,,,,,,,,,,,,,
Diploglottis australis,Basalt,184.85,,,,,,,,,,,,,
Diploglottis australis,Basalt,186.37,,,,,,,,,,,,,
Diploglottis australis,Basalt,187.45,,,,,,,,,,,,,
Diploglottis australis,Basalt,189.49,,,,,,,,,,,,,
Diploglottis australis,Basalt,191.3,,,,,,,,,,,,,
Diploglottis australis,Basalt,194.54,,,,,,,,,,,,,
Diploglottis australis,Basalt,198.71,,,,,,,,,,,,,
Diploglottis australis,Basalt,200.2,,,,,,,,,,,,,
Diploglottis australis,Basalt,200.2,,,,,,,,,,,,,
Diploglottis australis,Basalt,202.13,,,,,,,,,,,,,
Diploglottis australis,Basalt,203.47,,,,,,,,,,,,,
Diploglottis australis,Basalt,208.36,,,,,,,,,,,,,
Diploglottis australis,Basalt,217.9,,,,,,,,,,,,,
Diploglottis australis,Basalt,218.09,,,,,,,,,,,,,
Diploglottis australis,Basalt,231.34,,,,,,,,,,,,,
Diploglottis australis,Basalt,246.27,,,,,,,,,,,,,
Diploglottis australis,Basalt,246.4,,,,,,,,,,,,,
Diploglottis australis,Basalt,277.71,,,,,,,,,,,,,
Diploglottis australis,Basalt,297.64,,,,,,,,,,,,,
Diploglottis australis,Basalt,312.92,,,,,,,,,,,,,
Diploglottis australis,Basalt,318.48,,,,,,,,,,,,,
Diploglottis australis,Basalt,452.71,,,,,,,,,,,,,
Elaeocarpus reticulatus,Rhyolite,155.87,1.185,0.0331,4.82,-0.297,,,,,,,,,
Elaeocarpus reticulatus,Rhyolite,75.58,1.001,0.036,,,,,,,,,,,
Elaeocarpus reticulatus,Rhyolite,129.81,1.011,0.0401,4.13,-0.519,,,,,,,,,
Elaeocarpus reticulatus,Rhyolite,141.75,1.063,0.0412,,,,,,,,,,,
Elaeocarpus reticulatus,Rhyolite,157.89,1.12,0.0458,5.74,-0.507,,,,,,,,,
Elaeocarpus reticulatus,Rhyolite,137.88,0.871,0.0484,,,,,,,,,,,
Elaeocarpus reticulatus,Rhyolite,110.61,0.756,0.0545,,,,,,,,,,,
Elaeocarpus reticulatus,Rhyolite,157.9,1.15,0.0568,5.49,-0.341,,,,,,,,,
Elaeocarpus reticulatus,Rhyolite,176.99,1.262,0.0678,6.37,-0.357,,,,,,,,,
Elaeocarpus reticulatus,Rhyolite,106.58,0.878,,,,,,,,,,,,
Elaeocarpus reticulatus,Rhyolite,122.61,0.953,,,,,,,,,,,,
Elaeocarpus reticulatus,Rhyolite,152.59,0.994,,,,,,,,,,,,
Elaeocarpus reticulatus,Rhyolite,143.36,1.179,,,,,,,,,,,,
Elaeocarpus reticulatus,Rhyolite,123.77,1.187,,,,,,,,,,,,
Elaeocarpus reticulatus,Rhyolite,138.6,1.237,,,,,,,,,,,,
Elaeocarpus reticulatus,Rhyolite,103.89,,,,,,,,,,,,,
Elaeocarpus reticulatus,Rhyolite,104.97,,,,,,,,,,,,,
Elaeocarpus reticulatus,Rhyolite,113.19,,,,,,,,,,,,,
Elaeocarpus reticulatus,Rhyolite,120.39,,,,,,,,,,,,,
Elaeocarpus reticulatus,Rhyolite,139.65,,,,,,,,,,,,,
Elaeocarpus reticulatus,Rhyolite,146.27,,,,,,,,,,,,,
Elaeocarpus reticulatus,Rhyolite,159.03,,,,,,,,,,,,,
Flindersia schottiana,Basalt,178.31,1.96,0.0696,,,,,,,,,,,
Flindersia schottiana,Basalt,135.33,1.544,0.0751,,,,,,,,,,,
Flindersia schottiana,Basalt,124.23,1.478,0.0767,1.73,-0.974,,,,,,,,,
Flindersia schottiana,Basalt,151.19,1.773,0.0802,,,,,,,,,,,
Flindersia schottiana,Basalt,183.63,1.835,0.0902,,,,,,,,,,,
Flindersia schottiana,Basalt,170.8,1.723,0.1004,3.72,-0.608,,,,,,,,,
Flindersia schottiana,Basalt,157.7,1.773,0.1088,4.05,-0.324,,,,,,,,,
Flindersia schottiana,Basalt,185.24,1.987,0.1155,3.37,-0.851,,,,,,,,,
Flindersia schottiana,Basalt,133.81,2.818,0.2615,7.22,-0.608,,,,,,,,,
Flindersia schottiana,Basalt,138.86,1.376,,,,,,,,,,,,
Flindersia schottiana,Basalt,150.81,1.439,,,,,,,,,,,,
Flindersia schottiana,Basalt,104.99,1.459,,,,,,,,,,,,
Flindersia schottiana,Basalt,178.96,1.711,,,,,,,,,,,,
Flindersia schottiana,Basalt,157.03,1.819,,,,,,,,,,,,
Flindersia schottiana,Basalt,135.97,1.833,,,,,,,,,,,,
Flindersia schottiana,Basalt,85.22,,,,,,,,,,,,,
Flindersia schottiana,Basalt,118.97,,,,,,,,,,,,,
Flindersia schottiana,Basalt,125.79,,,,,,,,,,,,,
Flindersia schottiana,Basalt,127.84,,,,,,,,,,,,,
Flindersia schottiana,Basalt,135.68,,,,,,,,,,,,,
Flindersia schottiana,Basalt,140.06,,,,,,,,,,,,,
Flindersia schottiana,Basalt,141.24,,,,,,,,,,,,,
Flindersia schottiana,Basalt,152.39,,,,,,,,,,,,,
Flindersia schottiana,Basalt,156.58,,,,,,,,,,,,,
Flindersia schottiana,Basalt,158.42,,,,,,,,,,,,,
Flindersia schottiana,Basalt,160.26,,,,,,,,,,,,,
Flindersia schottiana,Basalt,176.85,,,,,,,,,,,,,
Flindersia schottiana,Basalt,177.49,,,,,,,,,,,,,
Flindersia schottiana,Basalt,192.48,,,,,,,,,,,,,
Flindersia schottiana,Basalt,211.86,,,,,,,,,,,,,
Flindersia schottiana,Basalt,214.47,,,,,,,,,,,,,
Flindersia schottiana,Basalt,251.79,,,,,,,,,,,,,
Flindersia schottiana,Basalt,268.94,,,,,,,,,,,,,
Flindersia schottiana,Basalt,274.57,,,,,,,,,,,,,
Flindersia schottiana,Basalt,320.86,,,,,,,,,,,,,
Mallotus philippensis,Basalt,231.74,2.529,0.1206,,,,,,,,,,,
Mallotus philippensis,Basalt,246.67,2.434,0.1297,,,,,,,,,,,
Mallotus philippensis,Basalt,174.28,2.1,0.1407,4.72,-0.431,,,,,,,,,
Mallotus philippensis,Basalt,224.93,2.659,0.1554,5.07,-0.479,,,,,,,,,
Mallotus philippensis,Basalt,243.59,2.356,0.1613,5.63,-0.33,,,,,,,,,
Mallotus philippensis,Basalt,226.84,2.623,0.1654,,,,,,,,,,,
Mallotus philippensis,Basalt,294.7,2.391,0.1665,4.34,-1.51,,,,,,,,,
Mallotus philippensis,Basalt,212.51,2.565,0.1765,,,,,,,,,,,
Mallotus philippensis,Basalt,282.02,2.379,0.2003,9.18,-0.797,,,,,,,,,
Mallotus philippensis,Basalt,185.35,1.765,,,,,,,,,,,,
Mallotus philippensis,Basalt,269.02,2.188,,,,,,,,,,,,
Mallotus philippensis,Basalt,388.87,2.239,,,,,,,,,,,,
Mallotus philippensis,Basalt,272.58,2.383,,,,,,,,,,,,
Mallotus philippensis,Basalt,303.61,2.388,,,,,,,,,,,,
Mallotus philippensis,Basalt,218.31,2.561,,,,,,,,,,,,
Mallotus philippensis,Basalt,208,,,,,,,,,,,,,
Mallotus philippensis,Basalt,226.95,,,,,,,,,,,,,
Mallotus philippensis,Basalt,239,,,,,,,,,,,,,
Mallotus philippensis,Basalt,239.3,,,,,,,,,,,,,
Mallotus philippensis,Basalt,241.17,,,,,,,,,,,,,
Mallotus philippensis,Basalt,251.27,,,,,,,,,,,,,
Mallotus philippensis,Basalt,252,,,,,,,,,,,,,
Mallotus philippensis,Basalt,255.83,,,,,,,,,,,,,
Mallotus philippensis,Basalt,285.22,,,,,,,,,,,,,
Mallotus philippensis,Basalt,291.64,,,,,,,,,,,,,
Mallotus philippensis,Basalt,298.14,,,,,,,,,,,,,
Polyscias elegans,Basalt,176.48,2.01,0.0906,4.69,-1.01,,,,,,,,,
Polyscias elegans,Basalt,290.63,1.708,0.0977,5.85,-0.83,,,,,,,,,
Polyscias elegans,Basalt,295.34,1.884,0.1012,,,,,,,,,,,
Polyscias elegans,Basalt,312.54,2.609,0.1357,5.95,-1.03,,,,,,,,,
Polyscias elegans,Basalt,368.36,4.883,0.1386,,,,,,,,,,,
Polyscias elegans,Basalt,233.6,2.034,0.1533,6.38,-1.2,,,,,,,,,
Polyscias elegans,Basalt,282.64,2.419,0.1654,6.75,-1.33,,,,,,,,,
Polyscias elegans,Basalt,250.81,2.151,0.177,,,,,,,,,,,
Polyscias elegans,Basalt,337.83,1.806,,,,,,,,,,,,
Polyscias elegans,Basalt,260.82,1.859,,,,,,,,,,,,
Polyscias elegans,Basalt,227.33,1.994,,,,,,,,,,,,
Polyscias elegans,Basalt,533.68,2.072,,,,,,,,,,,,
Polyscias elegans,Basalt,206.79,2.507,,,,,,,,,,,,
Polyscias elegans,Basalt,263.47,2.638,,,,,,,,,,,,
Polyscias elegans,Basalt,722.86,3.263,,,,,,,,,,,,
Polyscias elegans,Basalt,215.53,,,,,,,,,,,,,
Polyscias elegans,Basalt,225.08,,,,,,,,,,,,,
Polyscias elegans,Basalt,238.54,,,,,,,,,,,,,
Polyscias elegans,Basalt,247.95,,,,,,,,,,,,,
Polyscias elegans,Basalt,271.39,,,,,,,,,,,,,
Polyscias elegans,Basalt,304.13,,,,,,,,,,,,,
Polyscias elegans,Basalt,320.37,,,,,,,,,,,,,
Polyscias elegans,Basalt,344.04,,,,,,,,,,,,,
Polyscias elegans,Basalt,345.52,,,,,,,,,,,,,
Polyscias murrayi,Basalt,108.98,3.028,0.0901,,,,,,,,,,,
Polyscias murrayi,Basalt,118.75,2.018,0.1185,5.81,-0.381,,,,,,,,,
Polyscias murrayi,Basalt,126.68,2.711,0.1245,,,,,,,,,,,
Polyscias murrayi,Basalt,231.57,3.003,0.1333,,,,,,,,,,,
Polyscias murrayi,Basalt,183.58,3.068,0.1466,4.85,-0.877,,,,,,,,,
Polyscias murrayi,Basalt,288.87,1.795,0.1629,7.24,-0.61,,,,,,,,,
Polyscias murrayi,Basalt,178.33,2.882,0.1647,8.51,-0.454,,,,,,,,,
Polyscias murrayi,Basalt,310.78,2.879,0.1729,13.4,-1.42,,,,,,,,,
Polyscias murrayi,Basalt,280.95,1.752,,,,,,,,,,,,
Polyscias murrayi,Basalt,101.07,1.971,,,,,,,,,,,,
Polyscias murrayi,Basalt,71.11,2.315,,,,,,,,,,,,
Polyscias murrayi,Basalt,383.85,2.444,,,,,,,,,,,,
Polyscias murrayi,Basalt,403.2,2.514,,,,,,,,,,,,
Polyscias murrayi,Basalt,247.1,2.599,,,,,,,,,,,,
Polyscias murrayi,Basalt,311.79,3.129,,,,,,,,,,,,
Polyscias murrayi,Basalt,103.15,,,,,,,,,,,,,
Polyscias murrayi,Basalt,125.13,,,,,,,,,,,,,
Polyscias murrayi,Basalt,135.05,,,,,,,,,,,,,
Polyscias murrayi,Basalt,136.83,,,,,,,,,,,,,
Polyscias murrayi,Basalt,182.58,,,,,,,,,,,,,
Polyscias murrayi,Basalt,183.72,,,,,,,,,,,,,
Polyscias murrayi,Basalt,184.14,,,,,,,,,,,,,
Polyscias murrayi,Basalt,200.58,,,,,,,,,,,,,
Polyscias murrayi,Basalt,205.7,,,,,,,,,,,,,
Polyscias murrayi,Basalt,215.14,,,,,,,,,,,,,
Polyscias murrayi,Basalt,241.74,,,,,,,,,,,,,
Polyscias murrayi,Basalt,253.84,,,,,,,,,,,,,
Polyscias murrayi,Basalt,283.78,,,,,,,,,,,,,
Polyscias murrayi,Basalt,285.89,,,,,,,,,,,,,
Polyscias murrayi,Basalt,377.43,,,,,,,,,,,,,
Sarcopteryx stipata,Basalt,118.37,1.786,0.0759,,,,,,,,,,,
Sarcopteryx stipata,Basalt,185.49,1.773,0.0771,4.72,-0.652,,,,,,,,,
Sarcopteryx stipata,Basalt,230.28,1.871,0.097,4.98,-0.632,,,,,,,,,
Sarcopteryx stipata,Basalt,234.82,2.02,0.0989,4.07,-0.721,,,,,,,,,
Sarcopteryx stipata,Basalt,191.57,1.657,0.1082,5.17,-0.591,,,,,,,,,
Sarcopteryx stipata,Basalt,139.32,2.13,0.1117,,,,,,,,,,,
Sarcopteryx stipata,Basalt,198.13,1.703,0.1122,,,,,,,,,,,
Sarcopteryx stipata,Basalt,162.03,2.05,0.1161,6.42,-0.541,,,,,,,,,
Sarcopteryx stipata,Basalt,186.91,2.024,0.1171,,,,,,,,,,,
Sarcopteryx stipata,Basalt,240.31,1.709,,,,,,,,,,,,
Sarcopteryx stipata,Basalt,189.58,1.807,,,,,,,,,,,,
Sarcopteryx stipata,Basalt,220,1.972,,,,,,,,,,,,
Sarcopteryx stipata,Basalt,204.75,1.989,,,,,,,,,,,,
Sarcopteryx stipata,Basalt,238,2.238,,,,,,,,,,,,
Sarcopteryx stipata,Basalt,298.21,2.405,,,,,,,,,,,,
Sarcopteryx stipata,Basalt,166.13,,,,,,,,,,,,,
Sarcopteryx stipata,Basalt,175.36,,,,,,,,,,,,,
Sarcopteryx stipata,Basalt,181.82,,,,,,,,,,,,,
Sarcopteryx stipata,Basalt,190,,,,,,,,,,,,,
Sarcopteryx stipata,Basalt,194.7,,,,,,,,,,,,,
Sarcopteryx stipata,Basalt,194.74,,,,,,,,,,,,,
Sarcopteryx stipata,Basalt,196.99,,,,,,,,,,,,,
Sarcopteryx stipata,Basalt,203.83,,,,,,,,,,,,,
Sarcopteryx stipata,Basalt,207.07,,,,,,,,,,,,,
Sarcopteryx stipata,Basalt,210.79,,,,,,,,,,,,,
Sarcopteryx stipata,Basalt,213.69,,,,,,,,,,,,,
Sarcopteryx stipata,Basalt,230.22,,,,,,,,,,,,,
Sarcopteryx stipata,Basalt,233.67,,,,,,,,,,,,,
Sarcopteryx stipata,Basalt,238.57,,,,,,,,,,,,,
Sarcopteryx stipata,Basalt,243.42,,,,,,,,,,,,,
Sarcopteryx stipata,Rhyolite,131.91,1.607,0.0649,4.37,-0.283,,,,,,,,,
Sarcopteryx stipata,Rhyolite,152.4,1.888,0.0668,,,,,,,,,,,
Sarcopteryx stipata,Rhyolite,193.66,1.556,0.0718,5.62,-0.414,,,,,,,,,
Sarcopteryx stipata,Rhyolite,214.9,1.828,0.0789,,,,,,,,,,,
Sarcopteryx stipata,Rhyolite,226.72,1.419,0.0802,5.63,-0.267,,,,,,,,,
Sarcopteryx stipata,Rhyolite,232.32,1.762,0.094,6.96,-1.16,,,,,,,,,
Sarcopteryx stipata,Rhyolite,246.48,1.656,0.0946,,,,,,,,,,,
Sarcopteryx stipata,Rhyolite,226.18,1.859,0.1062,,,,,,,,,,,
Sarcopteryx stipata,Rhyolite,183.27,1.479,0.1113,7.08,-0.575,,,,,,,,,
