Species,treatment,Rep,pi_o,RWC @ TLP,Emax,TLP (-Mpa),Mean Predawn water potential (Mpa) at gs<0.05,Mean Midday water potential (Mpa) at gs<0.05,site
Correa glabra,Well-watered,1,1.464343869,0.85589478,5.889334196,-1.971239219,,,The University of Melbourne Burnley campus
Correa glabra,Well-watered,2,1.529654258,0.851316531,7.441355092,-1.96457223,,,The University of Melbourne Burnley campus
Correa glabra,Well-watered,3,1.447402906,0.851373974,6.802419209,-1.853847174,,,The University of Melbourne Burnley campus
Correa glabra,Well-watered,4,1.350268803,0.808250684,4.980305771,-1.876341434,,,The University of Melbourne Burnley campus
Correa glabra,Well-watered,5,1.413163409,0.846142739,6.649608867,-1.808673291,,,The University of Melbourne Burnley campus
Dianella revoluta,Well-watered,1,,,,,,,The University of Melbourne Burnley campus
Dianella revoluta,Well-watered,2,0.961558111,0.909546069,4.502208932,-1.225659311,,,The University of Melbourne Burnley campus
Dianella revoluta,Well-watered,3,,,,,,,The University of Melbourne Burnley campus
Dianella revoluta,Well-watered,4,0.746091504,0.915414964,3.18524324,-0.99196752,,,The University of Melbourne Burnley campus
Dianella revoluta,Well-watered,5,0.620329794,0.914411643,1.82717226,-0.909242384,,,The University of Melbourne Burnley campus
Eutaxia microphylla,Well-watered,1,1.222588081,0.845656652,8.005045097,-1.443161946,,,The University of Melbourne Burnley campus
Eutaxia microphylla,Well-watered,2,1.306822007,0.839055029,18.71173058,-1.412350581,,,The University of Melbourne Burnley campus
Eutaxia microphylla,Well-watered,3,1.29133555,0.864222862,8.610547306,-1.515519808,,,The University of Melbourne Burnley campus
Eutaxia microphylla,Well-watered,4,1.400394526,0.855485116,8.648072161,-1.669935418,,,The University of Melbourne Burnley campus
Eutaxia microphylla,Well-watered,5,1.359052649,0.898532142,12.47189525,-1.53193879,,,The University of Melbourne Burnley campus
Enchylaena tomentosa,Well-watered,1,1.396653445,0.710428736,4.017259903,-2.136530717,,,The University of Melbourne Burnley campus
Enchylaena tomentosa,Well-watered,2,,,,,,,The University of Melbourne Burnley campus
Enchylaena tomentosa,Well-watered,3,1.324802881,0.674220542,3.138637368,-2.235161411,,,The University of Melbourne Burnley campus
Enchylaena tomentosa,Well-watered,4,1.609761278,0.84022431,9.857983745,-2.003004745,,,The University of Melbourne Burnley campus
Enchylaena tomentosa,Well-watered,5,1.464225796,0.712207676,4.535753888,-2.144669898,,,The University of Melbourne Burnley campus
Ficinia nodosa,Well-watered,1,0.684487776,0.970072284,6.487448572,-0.772364753,,,The University of Melbourne Burnley campus
Ficinia nodosa,Well-watered,2,0.499622463,0.940224872,3.085130455,-0.612316411,,,The University of Melbourne Burnley campus
Ficinia nodosa,Well-watered,3,1.024910932,0.943281077,10.43419959,-1.177084698,,,The University of Melbourne Burnley campus
Ficinia nodosa,Well-watered,4,0.514700342,0.89669167,1.877227495,-0.712390548,,,The University of Melbourne Burnley campus
Ficinia nodosa,Well-watered,5,0.634700737,0.931278136,2.507172155,-0.850718874,,,The University of Melbourne Burnley campus
Hibbertia obtusifolia,Well-watered,1,0.883369073,0.860339754,4.767497846,-1.080085121,,,The University of Melbourne Burnley campus
Hibbertia obtusifolia,Well-watered,2,1.081935934,0.81618539,5.334491529,-1.361316564,,,The University of Melbourne Burnley campus
Hibbertia obtusifolia,Well-watered,3,1.204365334,0.85429939,7.954142375,-1.452857344,,,The University of Melbourne Burnley campus
Hibbertia obtusifolia,Well-watered,4,1.086220586,0.806994012,5.032473319,-1.382388305,,,The University of Melbourne Burnley campus
Hibbertia obtusifolia,Well-watered,5,1.066947382,0.787421546,5.113222696,-1.351650205,,,The University of Melbourne Burnley campus
Isotoma axillaris,Well-watered,1,0.973207607,0.872220168,4.986377562,-1.227868735,,,The University of Melbourne Burnley campus
Isotoma axillaris,Well-watered,2,,,,,,,The University of Melbourne Burnley campus
Isotoma axillaris,Well-watered,3,,,,,,,The University of Melbourne Burnley campus
Isotoma axillaris,Well-watered,4,1.153843928,0.865923712,6.129535332,-1.406580627,,,The University of Melbourne Burnley campus
Isotoma axillaris,Well-watered,5,0.838019822,0.825193461,2.916235617,-1.13867358,,,The University of Melbourne Burnley campus
Lomandra filiformis,Well-watered,1,2.578779145,0.933649702,18.53663599,-3.010680008,,,The University of Melbourne Burnley campus
Lomandra filiformis,Well-watered,2,2.525456336,0.955962294,28.35480944,-2.822594987,,,The University of Melbourne Burnley campus
Lomandra filiformis,Well-watered,3,2.787857684,0.942405876,35.60793496,-3.094651156,,,The University of Melbourne Burnley campus
Lomandra filiformis,Well-watered,4,2.489714892,0.941056114,31.77955701,-2.82065762,,,The University of Melbourne Burnley campus
Lomandra filiformis,Well-watered,5,2.824318753,0.955437934,42.21990398,-3.043011382,,,The University of Melbourne Burnley campus
Olearia axillaris,Well-watered,1,1.283192798,0.829916704,7.342655914,-1.570836977,,,The University of Melbourne Burnley campus
Olearia axillaris,Well-watered,2,1.146174473,0.843544185,5.609419166,-1.468455296,,,The University of Melbourne Burnley campus
Olearia axillaris,Well-watered,3,1.140670576,0.869297871,7.551946127,-1.360523885,,,The University of Melbourne Burnley campus
Olearia axillaris,Well-watered,4,1.095227781,0.811535751,3.70153793,-1.545439845,,,The University of Melbourne Burnley campus
Olearia axillaris,Well-watered,5,1.420912876,0.744137331,4.226969004,-2.115565919,,,The University of Melbourne Burnley campus
Prostanthera nivea,Well-watered,1,1.00458367,0.884029891,5.684918309,-1.220487157,,,The University of Melbourne Burnley campus
Prostanthera nivea,Well-watered,2,0.962045895,0.893947749,3.789143423,-1.301040112,,,The University of Melbourne Burnley campus
Prostanthera nivea,Well-watered,3,0.957664628,0.785074088,2.726259125,-1.482360392,,,The University of Melbourne Burnley campus
Prostanthera nivea,Well-watered,4,0.953170238,0.883330448,4.986153652,-1.182760931,,,The University of Melbourne Burnley campus
Prostanthera nivea,Well-watered,5,0.940061945,0.854733776,3.672198666,-1.27422533,,,The University of Melbourne Burnley campus
Platylobium obtusangulum,Well-watered,1,1.189358615,0.829681222,9.565661455,-1.374219123,,,The University of Melbourne Burnley campus
Platylobium obtusangulum,Well-watered,2,0.823927248,0.884164088,5.301790676,-0.9711154,,,The University of Melbourne Burnley campus
Platylobium obtusangulum,Well-watered,3,1.386307579,0.851279912,20.22121826,-1.501642944,,,The University of Melbourne Burnley campus
Platylobium obtusangulum,Well-watered,4,1.123796653,0.835042125,12.12279575,-1.327312114,,,The University of Melbourne Burnley campus
Platylobium obtusangulum,Well-watered,5,1.520251514,0.79972093,11.29674092,-1.786204645,,,The University of Melbourne Burnley campus
Pelagonium rodneyanum,Well-watered,1,0.922192912,0.90663779,5.694474837,-1.110390532,,,The University of Melbourne Burnley campus
Pelagonium rodneyanum,Well-watered,2,0.984548572,0.895350575,7.215223176,-1.168639707,,,The University of Melbourne Burnley campus
Pelagonium rodneyanum,Well-watered,3,0.951858973,0.894213818,6.092850458,-1.159266937,,,The University of Melbourne Burnley campus
Pelagonium rodneyanum,Well-watered,4,0.869139766,0.916232365,5.461403012,-1.035727414,,,The University of Melbourne Burnley campus
Pelagonium rodneyanum,Well-watered,5,0.95199522,0.868528775,4.882644191,-1.179136902,,,The University of Melbourne Burnley campus
Stypandra glauca,Well-watered,1,1.517178699,0.7966842,5.3294385,-2.093508245,,,The University of Melbourne Burnley campus
Stypandra glauca,Well-watered,2,2.374710323,0.848351032,16.18951492,-2.832260867,,,The University of Melbourne Burnley campus
Stypandra glauca,Well-watered,3,1.2977014,0.843871988,5.042143279,-1.72134351,,,The University of Melbourne Burnley campus
Stypandra glauca,Well-watered,4,0.562619309,0.853964887,0.927623793,-1.127465623,,,The University of Melbourne Burnley campus
Stypandra glauca,Well-watered,5,1.523262763,0.836014167,5.567891285,-2.077559378,,,The University of Melbourne Burnley campus
Stylidium graminifolia,Well-watered,1,1.418500047,0.863164018,11.37078259,-1.658357679,,,The University of Melbourne Burnley campus
Stylidium graminifolia,Well-watered,2,1.469696528,0.845494584,9.401193124,-1.746208238,,,The University of Melbourne Burnley campus
Stylidium graminifolia,Well-watered,3,1.50466578,0.842033352,11.65476329,-1.816406439,,,The University of Melbourne Burnley campus
Stylidium graminifolia,Well-watered,4,1.591401722,0.853307597,11.0019838,-1.885565867,,,The University of Melbourne Burnley campus
