Species,Replicate,Root Biomass (g) 0-10cm depth,Green shoot biomass (g),Non-green shoot biomass (g),Total shoot biomass (g),Root:Shoot ratio
Dichelachne crinita,2,0.2243,0.1705,0.8229,0.9934,0.225790215
Dichelachne crinita,3,0.1773,0.1471,1.4772,1.6243,0.109154713
Drosera pelata,1,0.045,0.054,0,0.054,0.833333333
Drosera pelata,2,0.089,0.08,0,0.08,1.1125
Drosera pelata,3,0.072,0.094,0,0.094,0.765957447
Elymus scaber,1,0.887,0.426,0.829,1.255,0.706772908
Elymus scaber,2,0.394,0.469,0.552,1.021,0.38589618
Elymus scaber,3,0.787,0.486,0.8969,1.3829,0.569093933
Elymus scaber,4,0.44,0.362,0.696,1.058,0.415879017
Elymus scaber,5,0.248,0.271,0.551,0.822,0.301703163
Enneapogon nigricans,1,0.696,0.255,0.313,0.568,1.225352113
Enneapogon nigricans,2,0.81,0.3643,0.748,1.1123,0.728220804
Enneapogon nigricans,3,0.25,0.1348,0.291,0.4258,0.587130108
Enneapogon nigricans,4,0.479,0.184,0.651,0.835,0.573652695
Enneapogon nigricans,5,0.676,0.22,1.0159,1.2359,0.54696982
Eragrostis brownii,1,0.703,1.032,1.727,2.759,0.254802465
Eragrostis brownii,2,0.714,1.067,1.239,2.306,0.30962706
Eragrostis brownii,3,0.29,0.72,0.582,1.302,0.222734255
Eryngium ovinum,1,0.928,1.29,2.822,4.112,0.225680934
Eryngium ovinum,2,1.925,1.535,3.282,4.817,0.399626323
Eryngium ovinum,3,1.587,1.669,2.17,3.839,0.413388903
Galium divaricatum,1,0.001,0.0038,0.0024,0.0062,0.161290323
Galium divaricatum,2,0.0028,0.0131,0.0076,0.0207,0.1352657
Galium divaricatum,3,0.0017,0.01,0.0052,0.0152,0.111842105
Galium divaricatum,4,0.002,0.0082,0.0028,0.011,0.181818182
Galium divaricatum,5,0.0041,0.0152,0.0084,0.0236,0.173728814
Hydrocotyle laxiflora,1,0.205,0.148,0,0.148,1.385135135
Hydrocotyle laxiflora,2,0.241,0.209,0,0.209,1.153110048
Hydrocotyle laxiflora,3,0.171,0.091,0,0.091,1.879120879
Geranium solanderi,1,0.172,0.349,0,0.349,0.492836676
Geranium solanderi,2,0.069,0.206,0,0.206,0.334951456
Geranium solanderi,3,0.545,0.187,0,0.187,2.914438503
Gonocarpus tetragynus,1,0.084,0.1723,0.223,0.3953,0.212496838
Gonocarpus tetragynus,2,0.088,0.093,0.152,0.245,0.359183673
Gonocarpus tetragynus,3,0.427,0.307,0.541,0.848,0.503537736
Goodenia hederacea,1,0.097,0.442,0.184,0.626,0.154952077
Goodenia hederacea,2,0.078,0.308,0.141,0.449,0.173719376
Goodenia hederacea,3,0.345,1.304,0.648,1.952,0.176741803
Hibbertia obtusiflora,1,2.968,1.719,2.293,4.012,0.739780658
Hibbertia obtusiflora,2,0.315,0.655,1.074,1.729,0.182186235
Hibbertia obtusiflora,3,2.76,4.972,6.276,11.248,0.245376956
Holcus lanatus,1,0.27,0.38,1.714,2.094,0.128939828
Holcus lanatus,2,0.131,0.236,1.515,1.751,0.074814392
Holcus lanatus,3,0.55,0.579,3.269,3.848,0.142931393
Hypericum graminium,1,0.045,0.064,0.103,0.167,0.269461078
Hypericum graminium,2,0.02,0.0232,0.0104,0.0336,0.595238095
Hypericum graminium,3,0.0161,0.0283,0.0108,0.0391,0.411764706
Hypochaeris glabra,1,0.007,0.027,0,0.027,0.259259259
Hypochaeris glabra,2,0.013,0.051,0,0.051,0.254901961
Hypochaeris glabra,3,0.009,0.053,0,0.053,0.169811321
Hypochaeris radicata,1,0.46,0.456,0,0.456,1.00877193
Hypochaeris radicata,2,0.242,0.154,0.009,0.163,1.484662577
Hypochaeris radicata,3,0.343,0.462,0,0.462,0.742424242
Hypochaeris radicata,4,0.855,0.439,0,0.439,1.9476082
Hypochaeris radicata,5,0.185,0.236,0.031,0.267,0.692883895
Joycea pallida,1,61.184,70.564,382.195,452.759,0.135135911
Joycea pallida,2,67.718,49.289,178.672,227.961,0.297059585
Joycea pallida,3,13.694,20.274,85.733,106.007,0.129180148
Joycea pallida,4,112.734,68.143,228.508,296.651,0.380022316
Joycea pallida,5,15.04,20.197,48.745,68.942,0.218154391
Liniaria pelisserana,1,0.0025,0.0021,0.0102,0.0123,0.203252033
Liniaria pelisserana,2,0.0016,0.0019,0.0493,0.0512,0.03125
Liniaria pelisserana,3,0.017,0.0165,0.0694,0.0859,0.19790454
Lolium rigidum,1,0.035,0.102,0.022,0.124,0.282258065
Lolium rigidum,2,0.092,0.368,0.002,0.37,0.248648649
Lolium rigidum,3,0.023,0.086,0,0.086,0.26744186
Lomandra filiformis,1,0.776,0.906,0.304,1.21,0.641322314
Lomandra filiformis,2,0.274,0.815,0.195,1.01,0.271287129
Lomandra filiformis,3,1.883,1.591,0.132,1.723,1.092861288
Lomandra filiformis,4,2.907,3.124,0.998,4.122,0.705240175
Lomandra filiformis,5,0.533,1.779,0.12,1.899,0.280674039
Luzula merionalis,1,1.752,0.554,0.101,0.655,2.67480916
Luzula merionalis,2,1.58,0.314,0.075,0.389,4.061696658
Luzula merionalis,3,0.068,0.068,0,0.068,1
Melichrus urceolatus,1,43.45,12.934,23.979,36.913,1.177092081
Melichrus urceolatus,2,41.616,6.584,9.8171,16.4011,2.537390785
Melichrus urceolatus,3,20.355,13.676,15.101,28.777,0.707335719
Microlaena stipoides,1,2.385,0.598,0.679,1.277,1.867658575
Microlaena stipoides,2,1.503,0.224,0.55,0.774,1.941860465
Microlaena stipoides,3,1.675,0.19,0.59,0.78,2.147435897
Microlaena stipoides,4,1.689,0.333,0.36,0.693,2.437229437
Microlaena stipoides,5,3.996,0.769,1.68,2.449,1.631686403
Microtis unifolia,1,0.048,0.0223,0.3265,0.3488,0.137614679
Moenchia erectus,1,0.0016,0.0026,0.0174,0.02,0.08
Moenchia erectus,2,0.001,0.005,0.0199,0.0249,0.040160643
Moenchia erectus,3,0.0008,0.0013,0.0155,0.0168,0.047619048
Myosotis discolor,1,0.0053,0.034,0.044,0.078,0.067948718
Myosotis discolor,2,0.0023,0.017,0.016,0.033,0.06969697
Myosotis discolor,3,0.0055,0.022,0.062,0.084,0.06547619
Nassella trichotoma,1,18.314,11.845,25.776,37.621,0.486802584
Nassella trichotoma,2,1.567,0.859,1.748,2.607,0.601074031
Nassella trichotoma,3,10.21,4.641,13.193,17.834,0.572501963
Oxalis perennans,1,0.118,0.064,0,0.064,1.84375
Oxalis perennans,2,0.195,0.094,0.025,0.119,1.638655462
Oxalis perennans,3,0.265,0.068,0.061,0.129,2.054263566
Panicum effusium,1,0.312,0.3337,0.3797,0.7134,0.437342304
Panicum effusium,2,2.662,1.617,1.642,3.259,0.816814974
Panicum effusium,3,0.388,0.3276,0.7235,1.0511,0.369137094
Parentucellia latifolia,1,,0.0107,0.033,0.0437,0
Parentucellia latifolia,2,0.0016,0.0069,0.0105,0.0174,0.091954023
Parentucellia latifolia,3,0.0102,0.0457,0.0307,0.0764,0.133507853
Petrorhagia nanteuilii,1,0.0062,0.0048,0.0329,0.0377,0.164456233
Petrorhagia nanteuilii,2,0.0225,0.0268,0.0772,0.104,0.216346154
Petrorhagia nanteuilii,3,0.0068,0.0197,0.0353,0.055,0.123636364
