Species,Replicate,Date,Plant height (cm),Plant width (cm),Diameter of the thickest root (mm),Number of primary root axes,Tap root (yes/no)
Daucus glochidiatus,3,27/09/2005,3.8,3.9,1.29,1,yes
Davesia mimosoides,1,13/12/2005,53.5,16,8.35,1,yes
Davesia mimosoides,2,19/12/2005,71.8,35.5,14.25,1,yes
Davesia mimosoides,3,13/12/2005,77.3,48.5,,,
Desmodium varians,1,9/11/2005,6.9,20.3,5.54,1,yes
Desmodium varians,2,9/11/2005,9,23.7,11.81,1,yes
Desmodium varians,3,9/11/2005,9.2,18.2,8.15,1,yes
Dichelachne crinita,1,21/11/2005,31.5,11.7,0.6,29,no
Dichelachne crinita,2,28/11/2005,29.1,16.5,0.41,42,no
Dichelachne crinita,3,28/11/2005,23.6,10.6,0.52,39,no
Drosera pelata,1,27/09/2005,7.4,3.2,2.07,1,yes
Drosera pelata,2,27/09/2005,5.3,2.9,1.12,1,yes
Drosera pelata,3,27/09/2005,7.6,3.8,1.38,1,yes
Elymus scaber,1,31/10/2005,26.3,19.5,0.77,61,no
Elymus scaber,2,31/10/2005,20,21.2,0.73,55,no
Elymus scaber,3,31/10/2005,21.9,18.1,0.58,83,no
Elymus scaber,4,6/11/2005,22.4,10.5,0.6,60,no
Elymus scaber,5,9/11/2005,32.4,13.6,0.55,42,no
Enneapogon nigricans,1,31/10/2005,7.9,10.3,0.68,76,no
Enneapogon nigricans,2,6/11/2005,10.8,14.2,0.55,92,no
Enneapogon nigricans,3,6/11/2005,9,9.2,0.61,35,no
Enneapogon nigricans,4,10/11/2005,14.8,14.4,0.61,31,no
Enneapogon nigricans,5,10/11/2005,22.1,13.3,0.76,51,no
Eragrostis brownii,1,5/12/2005,23.3,35.5,0.67,146,no
Eragrostis brownii,2,13/12/2005,15.3,25.4,0.59,91,no
Eragrostis brownii,3,13/12/2005,18,30.2,0.49,85,no
Eryngium ovinum,1,5/12/2005,44.5,29.5,3.3,6,no
Eryngium ovinum,2,5/12/2005,33.6,33.2,7.54,10,yes
Eryngium ovinum,3,5/12/2005,38.1,36.2,7.33,2,yes
Galium divaricatum,1,21/10/2005,5.9,1,0.41,1,yes
Galium divaricatum,2,21/10/2005,7.2,1.7,0.6,1,yes
Galium divaricatum,3,24/10/2005,10.3,4.7,0.42,1,yes
Galium divaricatum,4,27/10/2005,7.3,2,0.4,2,yes
Galium divaricatum,5,27/10/2005,8.6,3.1,0.55,1,yes
Geranium solanderi,1,27/09/2005,7.7,18.6,0.95,36,no
Geranium solanderi,2,27/09/2005,13.1,16.5,0.75,22,no
Geranium solanderi,3,27/09/2005,8.7,11.7,2.11,40,yes
Gonocarpus tetragynus,1,24/10/2005,8.1,5.6,2.21,1,yes
Gonocarpus tetragynus,2,24/10/2005,10.7,5.6,2.39,1,yes
Gonocarpus tetragynus,3,28/10/2005,11.1,7.2,2.63,2,yes
Goodenia hederacea,1,30/09/2005,4.3,10.4,1.95,1,yes
Goodenia hederacea,2,30/09/2005,3.5,7.1,1.56,3,yes
Goodenia hederacea,3,30/09/2005,12.8,20.4,2.86,2,yes
Hibbertia obtusiflora,1,5/11/2005,18.1,22.5,9.7,1,yes
Hibbertia obtusiflora,2,5/11/2005,14.7,10.4,3.93,1,yes
Hibbertia obtusiflora,3,5/11/2005,28.7,16.2,8.18,1,yes
Holcus lanatus,1,13/12/2005,34.5,20,0.49,60,no
Holcus lanatus,2,13/12/2005,59.8,22,0.75,30,no
Holcus lanatus,3,13/12/2005,28.2,34.5,0.46,115,no
Hypericum graminium,1,17/10/2005,9.1,14.7,1.97,1,yes
Hypericum graminium,2,17/10/2005,8.7,3.9,1.16,1,yes
Hypericum graminium,3,24/10/2005,7.5,2.8,1.32,1,yes
Hypochaeris glabra,1,27/09/2005,1.1,3.6,2.17,1,yes
Hypochaeris glabra,2,28/09/2005,1.9,4.5,2.01,1,yes
Hypochaeris glabra,3,28/09/2005,1.5,4.4,1.71,1,yes
Hypochaeris radicata,1,20/09/2005,1.3,9.1,4.92,1,yes
Hypochaeris radicata,2,20/09/2005,1.6,5.7,5.27,1,yes
Hypochaeris radicata,3,20/09/2005,1,9.2,6.39,1,yes
Hypochaeris radicata,4,21/09/2005,1.8,9.6,6.1,3,yes
Hypochaeris radicata,5,21/09/2005,3,7,5.42,5,yes
Joycea pallida,1,1/10/2005,73.8,71.2,2.24,570,no
Joycea pallida,2,3/10/2005,68.5,57.5,3.09,582,no
Joycea pallida,3,9/10/2005,54.3,41.7,1.55,193,no
Joycea pallida,4,10/10/2005,65.8,73.5,2.38,1030,no
Joycea pallida,5,10/10/2005,46.8,57.6,2.47,150,no
Liniaria pelisserana,1,21/10/2005,9.2,1.4,0.85,1,yes
Liniaria pelisserana,2,21/10/2005,10.3,0.7,0.65,1,yes
Liniaria pelisserana,3,24/10/2005,16.8,2.4,1.28,1,yes
Lolium rigidum,1,13/10/2005,32.8,8.5,0.61,10,no
Lolium rigidum,2,15/10/2005,19.5,16.2,0.57,18,no
Lolium rigidum,3,17/10/2005,16.2,14.6,0.6,14,no
Lomandra filiformis,1,24/10/2005,10.5,15.7,3.27,10,no
Lomandra filiformis,2,24/10/2005,13.7,16.1,3.23,1,yes
Lomandra filiformis,3,27/10/2005,10.3,15.8,3.3,9,no
Lomandra filiformis,4,28/10/2005,20.3,25.3,5.17,3,no
Lomandra filiformis,5,28/10/2005,14.6,16.1,3.22,1,yes
Luzula merionalis,1,1/10/2005,6.9,13.9,0.27,270,no
Luzula merionalis,2,3/10/2005,4.2,10.4,0.31,360,
Luzula merionalis,3,3/10/2005,6,7.8,0.3,27,
Melichrus urceolatus,1,13/12/2005,36.5,65.5,12.44,11,no
Melichrus urceolatus,2,13/12/2005,31.7,23.5,10.42,7,no
Melichrus urceolatus,3,13/12/2005,21.6,42,10.87,4,yes
Microlaena stipoides,1,20/09/2005,4.2,9.4,1.16,94,no
Microlaena stipoides,2,20/09/2005,4.4,9.9,0.99,57,no
Microlaena stipoides,3,21/09/2005,3.8,10.9,1.15,63,no
Microlaena stipoides,4,21/09/2005,3.1,12.4,0.8,77,no
Microlaena stipoides,5,21/09/2005,4.6,13.2,1.27,125,no
Microtis unifolia,1,5/12/2005,15.3,5.3,1.11,8,no
Moenchia erectus,1,24/10/2005,6.5,1.8,0.47,1,yes
Moenchia erectus,2,27/10/2005,9,3.4,0.19,1,yes
Moenchia erectus,3,28/10/2005,5.9,1.3,0.32,1,yes
Myosotis discolor,1,28/10/2005,10.7,5.1,0.94,1,yes
Myosotis discolor,2,28/10/2005,10.7,4.4,0.78,1,yes
Myosotis discolor,3,28/10/2005,10.3,3.8,0.82,1,yes
Nassella trichotoma,1,30/09/2005,33.5,42,0.86,666,no
Nassella trichotoma,2,30/09/2005,23.4,15.8,0.73,87,no
Nassella trichotoma,3,30/09/2005,23.2,25.6,0.74,465,no
Oxalis perennans,1,30/09/2005,2.3,3.7,2.03,1,yes
Oxalis perennans,2,30/09/2005,2.9,8,3.87,1,yes
Oxalis perennans,3,1/10/2005,5.8,11.5,0.88,3,no
Panicum effusium,1,5/12/2005,13.3,21.3,0.74,31,no
Panicum effusium,2,5/12/2005,21.6,37.8,0.68,156,no
Panicum effusium,3,5/12/2005,21.5,24.8,0.67,60,no
Parentucellia latifolia,1,21/10/2005,9.3,1.3,,,
Parentucellia latifolia,2,21/10/2005,7.5,1.3,0.7,1,yes
Parentucellia latifolia,3,21/10/2005,9,1.8,1.53,1,yes
Petrorhagia nanteuilii,1,21/10/2005,10,1.5,0.98,1,yes
Petrorhagia nanteuilii,2,21/10/2005,12.9,3,1.5,1,yes
Petrorhagia nanteuilii,3,24/10/2005,13.2,2.3,1.22,1,yes
Petrorhagia nanteuilii,4,24/10/2005,11.3,1.6,0.9,1,yes
Petrorhagia nanteuilii,5,27/10/2005,33.5,20.3,2.82,1,yes
Plantago varia,1,27/09/2005,5.4,6.2,4.97,1,yes
Plantago varia,2,27/09/2005,7.4,5.2,4.94,1,yes
Plantago varia,3,27/09/2005,7.4,6.5,5.73,1,yes
Plantago varia,4,27/09/2005,5.9,5.6,6.26,1,yes
Plantago varia,5,27/09/2005,5.4,4.2,3.06,1,yes
Poa bulbosa,1,13/09/2005,2,2.3,0.01,15,no
Poa bulbosa,2,13/09/2005,2.3,2,0.016,12,no
Poa bulbosa,3,13/09/2005,2.1,2.4,0.015,20,no
Poa labillardieri,1,30/09/2005,41.6,,1.35,744,no
Poa labillardieri,2,3/10/2005,29.1,29.2,1.09,246,no
Poa labillardieri,3,3/10/2005,42.7,36.2,1.25,740,no
Poa labillardieri,4,3/10/2005,28.7,27.2,1.35,312,no
Poa labillardieri,5,3/10/2005,44.6,45.1,1.1,728,no
Solenogyne dominii,1,20/09/2005,0.8,5.3,1.5,31,no
Solenogyne dominii,2,20/09/2005,1.1,5.1,1.33,11,no
Solenogyne dominii,3,20/09/2005,0.6,5.9,1.6,16,no
Stipa scabra,1,20/09/2005,19.1,16.5,1.01,83,no
Stipa scabra,2,20/09/2005,9.3,15.9,0.85,85,no
Stipa scabra,3,20/09/2005,9.9,10.8,1.01,75,no
Themeda australis,1,9/11/2005,64.5,62.5,1.26,515,no
Themeda australis,2,10/11/2005,59.3,47.5,1.49,64,no
Themeda australis,3,10/11/2005,54,57.5,1.19,610,no
Themeda australis,4,21/11/2005,85,46,1.24,89,no
Themeda australis,5,13/12/2005,22.2,37.5,1.07,196,no
Tolpis umbellata,1,27/10/2005,10.6,4.4,1.42,1,yes
Tolpis umbellata,2,28/10/2005,11.3,3.8,1.29,1,yes
Tolpis umbellata,3,28/10/2005,14.8,5.1,1.36,1,yes
Tricoryne elator,1,15/10/2005,15.7,26.6,3.82,520,no
Tricoryne elator,2,15/10/2005,16.5,30.7,3.19,232,no
Tricoryne elator,3,15/10/2005,17,35.6,3.11,315,no
Trifolium arvense,1,31/10/2005,8.3,5,0.86,3,yes
Trifolium arvense,2,31/10/2005,8.5,6.3,1.15,1,yes
Trifolium arvense,3,6/11/2005,14.3,4.7,0.72,1,yes
Trifolium arvense,4,9/11/2005,12.2,4.8,0.96,1,yes
Trifolium arvense,5,10/11/2005,13.8,7.5,1.05,1,yes
Trifolium dubium,1,27/10/2005,8.7,4.6,0.99,1,yes
Trifolium dubium,2,27/10/2005,6,2.6,0.69,1,yes
Trifolium dubium,3,27/10/2005,6.6,2.9,0.75,1,yes
Trifolium dubium,4,28/10/2005,9,4.7,0.93,1,yes
Trifolium dubium,5,28/10/2005,7,2,0.54,1,yes
Trifolium glomeratum,1,27/10/2005,6.2,4.6,0.79,1,yes
Trifolium glomeratum,2,31/10/2005,6.4,9.9,1.14,1,yes
Trifolium glomeratum,3,31/10/2005,7.1,4.2,0.61,1,yes
Trifolium glomeratum,4,6/11/2005,4.1,2.2,0.61,1,yes
Trifolium glomeratum,5,9/11/2005,11.7,5.5,0.72,1,yes
Trifolium striatum,1,21/11/2005,14,5.8,0.93,1,yes
Trifolium striatum,2,22/11/2005,19.5,3.3,0.7,1,yes
Trifolium striatum,3,23/11/2005,17.4,7.4,0.7,1,yes
Trifolium striatum,4,28/01/2005,17.2,4.3,0.61,1,yes
Trifolium striatum,5,28/01/2005,16.6,6.2,0.82,1,yes
Trifolium subterraneum,1,27/10/2005,9.7,18.3,2.06,1,yes
Trifolium subterraneum,2,27/10/2005,6.3,10.9,1.44,1,yes
Trifolium subterraneum,3,27/10/2005,4.8,15.8,1.7,2,yes
Trifolium subterraneum,4,28/10/2005,4.6,11.4,2.03,2,yes
Trifolium subterraneum,5,28/10/2005,7.9,7.7,1.5,1,yes
Triptilodiscus pygmaeus,1,21/10/2005,8.6,4.2,1.12,1,yes
Triptilodiscus pygmaeus,2,21/10/2005,5.5,2.5,0.6,1,yes
Triptilodiscus pygmaeus,3,24/10/2005,6.3,2.4,0.69,1,yes
Triptilodiscus pygmaeus,4,24/10/2005,10.1,5.4,0.9,1,yes
Triptilodiscus pygmaeus,5,27/10/2005,5.9,4.2,0.76,1,yes
Vulpia bromoides,1,21/10/2005,12.3,2.5,0.32,16,no
Vulpia bromoides,2,21/10/2005,11.4,4.9,0.39,22,no
Vulpia bromoides,3,24/10/2005,22.6,9.2,0.39,14,no
Vulpia bromoides,4,28/10/2005,10,2.7,0.26,18,no
Vulpia bromoides,5,28/10/2005,16.6,0.4,0.33,30,no
Wahlenbergia communis,1,13/10/2005,31.9,16.8,5.62,1,no
Wahlenbergia communis,2,17/10/2005,12.7,7.3,2.86,1,no
Wahlenbergia communis,3,17/10/2005,9.4,11.6,4.15,1,no
Wurmbia dioica,1,20/09/2005,7.6,2.8,0.46,10,no
Wurmbia dioica,2,21/09/2005,7.9,4.3,0.79,12,no
Wurmbia dioica,3,21/09/2005,6.9,5.6,0.42,23,no
