Species,Replicate,Date,leaf angle (degrees from horizontal),Leaf fresh mass (g),Leaf length (cm),Leaf width (cm),Leaf area (mm2),Specific leaf area (mm2.g-1),Leaf perimeter (mm),Leaf dry mass (g),Leaf Dry Matter Content (LDMC; dry mass / fresh mass)
Geranium solanderi,3,27/09/2005,18,0.1747,13.2,3.1,590.72,17272.51462,417.36,0.0342,0.195764167
Gonocarpus tetragynus,1,13/10/2005,57,0.0158,1.3,0.458,41.405,9201.111111,30.616,0.0045,0.284810127
Gonocarpus tetragynus,2,13/10/2005,,0.0178,1.3,0.422,44.774,11480.51282,30.21,0.0039,0.219101124
Gonocarpus tetragynus,3,15/10/2005,66,0.0166,1.3,0.55,44.308,11975.13514,30.459,0.0037,0.222891566
Goodenia hederacea,1,30/09/2005,10,0.3113,5.5,2.1,563.01,5311.415094,139.56,0.106,0.340507549
Goodenia hederacea,2,30/09/2005,34,0.1003,4.6,1.4,286.96,12422.51082,108.36,0.0231,0.230309073
Goodenia hederacea,3,1/10/2005,65,0.1351,5.1,1.9,400.31,13082.02614,123.2,0.0306,0.22649889
Hibbertia obtusiflora,1,15/10/2005,86,0.171,1.75,0.527,61.011,14188.60465,40.125,0.0043,0.025146199
Hibbertia obtusiflora,2,15/10/2005,78,0.0223,1.6,0.675,67.541,10893.70968,37.942,0.0062,0.278026906
Hibbertia obtusiflora,3,15/10/2005,56,0.0197,2,0.55,68.186,12397.45455,45.393,0.0055,0.279187817
Holcus lanatus,1,17/10/2005,47,0.142,11.7,0.95,835.48,25241.08761,256.04,0.0331,0.233098592
Holcus lanatus,2,17/10/2005,78,0.1051,10,0.8,628.82,25984.29752,214.2,0.0242,0.230256898
Holcus lanatus,3,17/10/2005,74,0.0773,11.85,0.5,554.87,33027.97619,256.09,0.0168,0.217335058
Hydrocotyle laxiflora,1,20/09/2005,,0.0509,1.9,1.8,224.32,20579.81651,84.772,0.0109,0.214145383
Hydrocotyle laxiflora,2,21/09/2005,,0.0984,2.6,2.3,352.01,16073.51598,100.19,0.0219,0.222560976
Hydrocotyle laxiflora,3,21/09/2005,,0.104,2.9,2.8,435.92,23820.76503,119.5,0.0183,0.175961538
Hypericum graminium,1,17/10/2005,72,0.0027,0.9,0.328,20.81,26012.5,20.806,0.0008,0.296296296
Hypericum graminium,2,17/10/2005,46,0.0037,1.05,0.391,28.029,28029,33.332,0.001,0.27027027
Hypericum graminium,3,24/10/2005,78,0.0051,1.15,0.4,31.168,20778.66667,32.531,0.0015,0.294117647
Hypochaeris glabra,1,27/09/2005,6,0.0473,2.2,0.9,119.8,28523.80952,54.751,0.0042,0.088794926
Hypochaeris glabra,2,28/09/2005,19,0.0646,2.2,1.1,164.51,30464.81481,56.594,0.0054,0.083591331
Hypochaeris glabra,3,28/09/2005,14,0.0947,2.8,1.3,253.42,33344.73684,70.591,0.0076,0.080253432
Hypochaeris radicata,1,20/09/2005,,0.2912,6,1.8,660.56,24285.29412,165.13,0.0272,0.093406593
Hypochaeris radicata,2,20/09/2005,,0.1666,4.6,1.4,424.61,19749.30233,153.36,0.0215,0.129051621
Hypochaeris radicata,3,20/09/2005,,0.2426,5.4,1.3,434.69,12455.30086,139.41,0.0349,0.143858203
Hypochaeris radicata,4,21/09/2005,,0.1094,4,1,288.49,21529.10448,105.05,0.0134,0.122486289
Hypochaeris radicata,5,21/09/2005,,0.2293,4.4,1.6,462.3,15941.37931,123.23,0.029,0.126471871
Joycea pallida,1,10/10/2005,78,0.1819,39.4,0.169,486.51,4496.395564,826.56,0.1082,0.594832325
Joycea pallida,2,10/10/2005,76,0.3445,51.3,0.247,713.58,4375.107296,1062.7,0.1631,0.473439768
Joycea pallida,3,10/10/2005,68,0.1276,22.1,0.263,281.86,4769.204738,458.31,0.0591,0.463166144
Joycea pallida,4,10/10/2005,57,0.1094,29.5,0.127,289.41,5131.382979,615.69,0.0564,0.515539305
Joycea pallida,5,10/10/2005,62,0.1907,32.6,0.218,518,5899.77221,751.78,0.0878,0.460409019
Liniaria pelisserana,1,15/10/2005,48,0.0081,1.2,0.271,23.62,18169.23077,26.481,0.0013,0.160493827
Liniaria pelisserana,2,15/10/2005,63,0.0047,1.4,0.115,15.656,19570,29.675,0.0008,0.170212766
Liniaria pelisserana,3,21/10/2005,70,0.003,1.1,0.119,10.186,25465,22.656,0.0004,0.133333333
Lolium rigidum,1,13/10/2005,84,0.0833,15.1,0.5,513.79,33581.04575,317.64,0.0153,0.183673469
Lolium rigidum,2,15/10/2005,57,0.0945,11.6,0.53,457.89,17543.67816,246.93,0.0261,0.276190476
Lolium rigidum,3,17/10/2005,69,0.0366,7.75,0.412,210.53,19493.51852,164.97,0.0108,0.295081967
Lomandra filiformis,1,13/10/2005,58,0.3217,21.6,0.35,662.36,5170.647931,485.23,0.1281,0.398197078
Lomandra filiformis,2,13/10/2005,73,0.198,12.7,0.372,411.18,5107.826087,292.71,0.0805,0.406565657
Lomandra filiformis,3,15/10/2005,78,0.301,12.5,0.45,564.51,4570.931174,324.48,0.1235,0.410299003
Lomandra filiformis,4,15/10/2005,56,0.1434,13.8,0.289,381.15,6258.62069,300.68,0.0609,0.424686192
Lomandra filiformis,5,17/10/2005,60,0.1145,11.3,0.288,294.31,6454.166667,254.67,0.0456,0.398253275
Luzula merionalis,1,1/10/2005,46,0.0555,5.7,0.6,242.36,21834.23423,126.01,0.0111,0.2
Luzula merionalis,2,3/10/2005,26,0.1,6.8,0.8,363.06,18714.43299,152.06,0.0194,0.194
Luzula merionalis,3,3/10/2005,54,0.0176,4.6,0.3,101.76,24228.57143,97.346,0.0042,0.238636364
Melichrus urceolatus,1,5/12/2005,65,0.019,1.8,0.426,35.871,6293.157895,29.203,0.0057,0.3
Melichrus urceolatus,2,5/12/2005,66,0.0099,1.5,0.389,34.437,6377.222222,32.35,0.0054,0.545454545
Melichrus urceolatus,3,5/12/2005,68,0.0066,1.15,0.344,24.466,7413.939394,25.833,0.0033,0.5
Microlaena stipoides,1,20/09/2005,,0.0203,3.3,0.5,149.19,21312.85714,81.046,0.007,0.344827586
Microlaena stipoides,2,20/09/2005,,0.0176,3.7,0.35,115.75,16535.71429,85.448,0.007,0.397727273
Microlaena stipoides,3,21/09/2005,,0.0146,2.8,0.35,94.796,17554.81481,64.579,0.0054,0.369863014
Microlaena stipoides,4,21/09/2005,,0.0267,4.2,0.4,155.66,15411.88119,92.566,0.0101,0.378277154
Microlaena stipoides,5,21/09/2005,,0.0314,4.5,0.5,192.11,16851.75439,97.804,0.0114,0.363057325
Moenchia erectus,1,24/10/2005,68,0.0037,1,0.268,17.692,29486.66667,23.968,0.0006,0.162162162
Moenchia erectus,2,28/10/2005,16,0.0035,1,0.29,18.502,30836.66667,23.32,0.0006,0.171428571
Moenchia erectus,3,28/10/2005,42,0.0041,1.2,0.258,20.416,25520,28.458,0.0008,0.195121951
Myosotis discolor,1,28/10/2005,28,0.0264,2.6,0.6,116.06,41450,59.135,0.0028,0.106060606
Myosotis discolor,2,28/10/2005,35,0.0085,1.65,0.35,44.423,40384.54545,35.702,0.0011,0.129411765
Myosotis discolor,3,28/10/2005,17,0.0142,2,0.4,67.591,35574.21053,44.901,0.0019,0.133802817
Nassella trichotoma,1,30/09/2005,73,0.0133,12.3,0.076,62.107,10895.96491,256.32,0.0057,0.428571429
Nassella trichotoma,2,30/09/2005,83,0.0104,12.8,0.051,57.778,11555.6,256.99,0.005,0.480769231
Nassella trichotoma,3,30/09/2005,74,0.0211,17.5,0.073,103.17,11463.33333,367.57,0.009,0.426540284
Oxalis perennans,1,30/09/2005,65,0.0209,1.5,0.9,84.745,32594.23077,96.946,0.0026,0.124401914
Oxalis perennans,2,30/09/2005,37,0.0078,1.5,0.85,56.444,47036.66667,87.359,0.0012,0.153846154
Oxalis perennans,3,1/10/2005,59,0.009,1.1,0.6,56.573,51430,81.282,0.0011,0.122222222
Panicum effusium,1,5/12/2005,68,0.0555,11.4,0.498,427.11,26203.06748,237.65,0.0163,0.293693694
Panicum effusium,2,5/12/2005,22,0.1132,15.4,0.478,693.98,21754.85893,339.66,0.0319,0.28180212
Panicum effusium,3,5/12/2005,20,0.0253,4.95,0.418,162.92,17708.69565,107.97,0.0092,0.363636364
Parentucellia latifolia,1,21/10/2005,13,0.0062,0.765,0.655,21.591,26988.75,24.897,0.0008,0.129032258
Parentucellia latifolia,2,21/10/2005,30,0.0045,0.685,0.5,14.401,20572.85714,15.784,0.0007,0.155555556
Parentucellia latifolia,3,21/10/2005,14,0.0068,0.795,0.685,26.072,37245.71429,25.659,0.0007,0.102941176
Petrorhagia nanteuilii,1,13/10/2005,22,0.007,1.9,0.162,28.645,19096.66667,40.019,0.0015,0.214285714
Petrorhagia nanteuilii,2,13/10/2005,38,0.0112,2.7,0.196,45.756,19893.91304,61.85,0.0023,0.205357143
Petrorhagia nanteuilii,3,15/10/2005,26,0.0103,1.7,0.239,30.731,19206.875,36.388,0.0016,0.155339806
Petrorhagia nanteuilii,4,15/10/2005,54,0.0051,2,0.123,23.864,23864,42.165,0.001,0.196078431
Petrorhagia nanteuilii,5,17/10/2005,60,0.0061,1.8,0.16,24.638,16425.33333,37.508,0.0015,0.245901639
Plantago varia,1,27/09/2005,61,0.3619,8.4,1.4,635.27,11243.71681,198.01,0.0565,0.156120475
Plantago varia,2,27/09/2005,58,0.1913,4.2,1.6,357.44,13189.6679,102.71,0.0271,0.141662311
Plantago varia,3,27/09/2005,69,0.2575,6.4,1.4,526.41,13637.56477,152.5,0.0386,0.149902913
Plantago varia,4,27/09/2005,30,0.7852,12.2,2.1,1178.9,9694.901316,313.09,0.1216,0.154865003
Plantago varia,5,27/09/2005,59,0.5086,9.2,1.3,930.28,11880.97063,213.36,0.0783,0.153952025
Poa bulbosa,1,13/09/2005,,0.0015,1.096,0.065,7.6201,19050.25,24.429,0.0004,0.266666667
Poa bulbosa,2,13/09/2005,,0.0018,1.016,0.065,12.616,25232,24.628,0.0005,0.277777778
Poa bulbosa,3,13/09/2005,,0.0012,0.876,0.056,10.036,20072,22.392,0.0005,0.416666667
Poa labillardieri,1,3/10/2005,78,0.0932,38.3,0.096,311.46,6845.274725,782.4,0.0455,0.488197425
Poa labillardieri,2,3/10/2005,83,0.0814,28.7,0.138,263.23,7057.104558,592.58,0.0373,0.458230958
Poa labillardieri,3,3/10/2005,84,0.1072,24.4,0.175,284.49,6294.026549,504.28,0.0452,0.421641791
Poa labillardieri,4,3/10/2005,66,0.1346,39,0.139,384.27,5337.083333,816.67,0.072,0.534918276
Poa labillardieri,5,3/10/2005,76,0.1626,30.4,0.158,360.41,5411.561562,628.44,0.0666,0.409594096
Solenogyne dominii,1,20/09/2005,,0.0748,2.6,1.1,218.65,16077.20588,74.26,0.0136,0.181818182
Solenogyne dominii,2,20/09/2005,,0.0854,2.8,1.2,254.34,13974.72527,82.462,0.0182,0.213114754
Solenogyne dominii,3,20/09/2005,,0.1251,3.7,1.4,331.3,13920.16807,100.92,0.0238,0.190247802
Stipa scabra,1,20/09/2005,,0.0769,13.4,0.184,186.05,6160.596026,285.86,0.0302,0.392717815
