Species_reconciled with updates and additions,growth form,seed size categorical: <10mm,seed size categorical: >10mm,leaf type,leaves lobed,leaf longevity,wood density species,wood density genus,wood density family,Height (m),leaf length minimum (mm),leaf length maximum (mm),leaf width minimum (mm),leaf width maximum (mm),seed length minimum (mm),seed length maximum (mm),seed width minimum (mm),seed width maximum (mm),seed breadth (mm),plant_height_duplicate,wood_density_duplicate,seed_width_min_duplicate,seed_width_max_duplicate,seed_length_min_duplicate,seed_length_max_duplicate,leaf_width_min_duplicate,leaf_width_max_duplicate,leaf_length_min_duplicate,leaf_length_max_duplicate
Rostellularia adscendens,shrub,1,0,simple,no,evergreen,NA,NA,NA,0.5,5,30,2,15,1,1,1,1,NA,Duplicate of WAH_1998_5331,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saurauia andreana,tree,1,0,simple,no,evergreen,NA,NA,NA,6,100,260,40,85,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crispiloba disperma,shrub,0,1,simple,no,evergreen,NA,NA,NA,4,50,250,20,50,8,11,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wittsteinia vacciniacea,shrub,1,0,simple,no,evergreen,NA,NA,NA,0.5,10,50,7,24,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Achyranthes aspera,shrub,1,0,simple,no,evergreen,NA,NA,NA,1.5,15,170,7,90,1,2,1,2,NA,Duplicate of Metcalfe_2009_004,NA,NA,NA,NA,NA,NA,NA,NA,NA
Buchanania arborescens,tree,1,0,simple,no,evergreen,390,390,508,25,50,260,20,70,6,9,4,5,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0516,Duplicate of Barlow_1981_0516,Duplicate of Barlow_1981_0516,Duplicate of Barlow_1981_0516
Buchanania mangoides,tree,1,0,simple,no,evergreen,NA,390,508,13,120,400,30,70,4,5,3,4,NA,Duplicate of Barlow_1981_0517,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0517,Duplicate of Barlow_1981_0517,Duplicate of Barlow_1981_0517,NA
Buchanania obovata,tree,1,1,simple,no,evergreen,NA,390,508,13,55,250,20,80,6,9,4,5,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0518,NA,Duplicate of Barlow_1981_0518
Semecarpus australiensis,tree,0,1,simple,no,evergreen,NA,NA,508,40,100,350,40,120,15,17,12,15,NA,Duplicate of Barlow_1981_3829,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3829,Duplicate of Barlow_1981_3829,Duplicate of Barlow_1981_3829,NA
Cananga odorata,tree,1,0,simple,no,evergreen,390,390,435,30,80,220,50,90,7,10,6,7,2,Duplicate of Barlow_1981_0584,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0584,Duplicate of Barlow_1981_0584,NA
Fitzalania Gregory_River,tree,0,1,simple,no,evergreen,NA,NA,NA,10,40,130,22,60,7,8,5,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fitzalania heteropetala,tree,0,1,simple,no,evergreen,NA,NA,435,5,45,120,20,57,10,11,7,8,2,Duplicate of Barlow_1981_1618,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haplostichanthus ramiflorus,shrub,1,0,simple,no,evergreen,NA,NA,435,3,80,240,50,60,9,10,9,10,6,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_2644,NA
Haplostichanthus johnsonii,tree,1,1,simple,no,evergreen,NA,NA,435,4,30,100,10,30,4,9,4,9,4,Duplicate of Barlow_1981_2643,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_2643,NA,Duplicate of Barlow_1981_2643,NA
Meiogyne stenopetala,shrub,0,1,simple,no,evergreen,NA,NA,NA,5,70,100,15,30,7,9,5,7,3,Duplicate of Barlow_1981_3061,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3061,NA,NA,NA
Meiogyne cylindrocarpa_trichocarpa,tree,1,1,simple,no,evergreen,NA,NA,435,7,40,115,30,50,7,13,6,10,3,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3059,NA,NA
Miliusa brahei,tree,1,1,simple,no,deciduous,NA,NA,435,30,40,140,10,55,7,10,4,5,3,NA,NA,NA,Duplicate of NTH_2014_026,Duplicate of NTH_2014_026,NA,NA,Duplicate of Brock_1993_239,Duplicate of Barlow_1981_3078,Duplicate of Barlow_1981_3078
Pseuduvaria mulgraveana-glabrescens,tree,1,1,simple,no,evergreen,NA,NA,435,7,50,160,20,70,5,8,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseuduvaria mulgraveana-mulgraveana,shrub,1,0,simple,no,evergreen,NA,NA,435,7,100,200,30,65,5,8,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseuduvaria villosa,shrub,1,1,simple,no,evergreen,NA,NA,435,6,60,200,20,80,10,13,10,10,6,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3625,NA,NA,Duplicate of Barlow_1981_3625
Xylopia monosperma,tree,1,1,simple,no,evergreen,NA,NA,435,18,50,70,20,35,10,10,5,6,NA,NA,NA,NA,NA,NA,NA,Duplicate of NTH_2014_034,NA,NA,NA
Alstonia constricta,tree,0,1,simple,no,evergreen,NA,NA,NA,18,60,180,7,45,6,7,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alstonia muelleriana,tree,0,1,simple,no,evergreen,668,502,473,25,50,90,15,70,5,6,1,1,NA,Duplicate of Metcalfe_2009_015,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alstonia spectabilis_spectabilis,tree,0,1,simple,no,evergreen,NA,502,473,25,70,360,30,125,5,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alstonia spectabilis_ophioxyloides,tree,0,1,simple,no,evergreen,NA,NA,NA,20,70,360,30,125,5,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alyxia buxifolia,shrub,1,0,simple,no,evergreen,NA,NA,NA,2,10,40,5,25,4,5,4,5,NA,NA,NA,NA,NA,Duplicate of Jordan_2001_0043,NA,NA,NA,NA,NA
Alyxia magnifolia,shrub,1,1,simple,no,evergreen,NA,NA,NA,5,40,150,22,80,6,8,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alyxia oblongata,shrub,1,1,simple,no,evergreen,NA,NA,473,5,25,35,8,11,8,10,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alyxia orophila,tree,1,1,simple,no,evergreen,NA,NA,473,5,10,50,5,25,6,8,5,6,NA,Duplicate of Forster_1992_4,NA,NA,NA,NA,NA,NA,Duplicate of Forster_1992_4,NA,Duplicate of Forster_1992_4
Alyxia ruscifolia,shrub,0,1,simple,no,evergreen,NA,NA,473,5,15,65,5,30,8,13,6,10,NA,Duplicate of Forster_1992_3,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Forster_1992_3
Alyxia sharpei,shrub,0,1,simple,no,evergreen,NA,NA,NA,4,10,40,4,6,6,8,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Forster_1992_5
Alyxia spicata,shrub,1,1,simple,no,evergreen,NA,NA,473,NA,30,110,25,40,8,13,7,9,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Forster_1992_2,Duplicate of Brock_1993_018,NA
Carissa lanceolata,shrub,1,0,simple,no,evergreen,NA,NA,473,3,7,50,2,15,6,6,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carissa laxiflora,shrub,1,0,simple,no,evergreen,NA,NA,473,2,30,90,10,50,6,6,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carissa ovata,shrub,1,0,simple,no,evergreen,NA,NA,473,4,5,55,4,40,6,7,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cerbera floribunda,tree,0,1,simple,no,evergreen,500,443,473,30,90,300,20,50,45,70,30,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cerbera inflata,tree,0,1,simple,no,evergreen,430,443,473,30,80,340,20,70,50,55,25,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cerbera manghas,tree,0,1,simple,no,evergreen,NA,443,473,12,80,250,30,70,50,72,30,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kopsia arborea,tree,0,1,simple,no,evergreen,NA,NA,473,20,100,250,35,80,17,20,12,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neisosperma kilneri,tree,0,1,simple,no,evergreen,NA,NA,NA,20,50,150,25,65,48,70,22,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neisosperma poweri,tree,0,1,simple,no,evergreen,NA,NA,473,10,60,170,20,60,22,40,12,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ochrosia elliptica,shrub,1,1,simple,no,evergreen,NA,NA,473,6,55,170,25,70,35,45,18,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ochrosia minima,shrub,1,1,simple,no,evergreen,NA,NA,473,5,45,160,15,42,10,18,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ochrosia moorei,tree,0,1,simple,no,evergreen,NA,NA,NA,11,80,200,20,32,10,14,5,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tabernaemontana orientalis,tree,1,0,simple,no,evergreen,NA,NA,473,8,50,200,15,75,6,7,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Brock_1993_115
Tabernaemontana pandacaqui,shrub,1,0,simple,no,evergreen,NA,NA,473,4,30,200,20,50,4,7,4,4,NA,Duplicate of Metcalfe_2009_262,NA,NA,NA,NA,NA,NA,NA,NA,NA
Voacanga grandifolia,tree,1,1,simple,no,deciduous,NA,NA,473,8,100,460,35,200,8,13,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wrightia laevis-millgar,tree,0,1,simple,no,deciduous,NA,NA,473,40,70,180,20,80,18,27,1,2,NA,Duplicate of Metcalfe_2009_283,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wrightia pubescens-penicillata,tree,0,1,simple,no,deciduous,NA,NA,473,8,30,150,15,65,10,20,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wrightia saligna,tree,0,1,simple,no,deciduous,NA,NA,473,12,40,190,14,17,10,15,1,2,NA,NA,NA,NA,NA,NA,NA,Duplicate of Brock_1993_341,NA,NA,NA
Wrightia versicolor,tree,0,1,simple,no,deciduous,NA,NA,NA,20,55,130,25,45,9,13,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ilex arnhemensis ssp. arnhemensis,tree,1,0,simple,no,evergreen,NA,NA,NA,25,75,135,25,55,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ilex arnhemensis-ferdinandi,tree,1,0,simple,no,evergreen,NA,NA,NA,25,75,135,25,55,1,1,1,1,NA,Duplicate of Metcalfe_2009_155,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ilex Gadgarra,tree,1,0,simple,no,evergreen,NA,NA,NA,25,50,70,20,20,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agathis atropurpurea,tree,0,1,simple,no,evergreen,400,400,407,50,30,70,5,25,3,4,3,4,NA,Duplicate of Barlow_1981_0060,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0060,NA,Duplicate of Barlow_1981_0060,Duplicate of Barlow_1981_0060
Agathis microstachya,tree,0,1,simple,no,evergreen,400,400,407,50,20,90,5,25,4,6,4,6,NA,Duplicate of Barlow_1981_0061,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0061,Duplicate of Barlow_1981_0061,Duplicate of Barlow_1981_0061,Duplicate of Barlow_1981_0061
Agathis robusta,tree,0,1,simple,no,evergreen,400,400,407,50,50,130,10,40,12,13,5,6,NA,Duplicate of Barlow_1981_0062,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0062,Duplicate of Barlow_1981_0062,Duplicate of Barlow_1981_0062,Duplicate of Barlow_1981_0062
Araucaria bidwillii,tree,0,1,simple,no,evergreen,392,415,407,50,10,50,5,10,45,50,20,28,NA,Duplicate of Barlow_1981_0285,NA,Duplicate of Barlow_1981_0285,NA,NA,NA,NA,Duplicate of Barlow_1981_0285,Duplicate of Barlow_1981_0285,Duplicate of Barlow_1981_0285
Araucaria cunninghamii,tree,0,1,simple,no,evergreen,437,415,407,50,5,20,2,3,10,10,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wollemia nobilis,tree,0,1,simple,no,evergreen,NA,NA,NA,40,20,80,4,6,8,10,6,8,3,Duplicate of Barlow_1981_4234,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4234,NA,NA,NA
Argophyllum Babinda,shrub,1,0,simple,no,evergreen,NA,NA,580,3,100,170,45,105,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argophyllum Koolmoon-Creek,shrub,1,0,simple,no,evergreen,NA,NA,580,4,85,20,35,95,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argophyllum lejourdanii,shrub,1,0,simple,no,evergreen,NA,NA,580,6,45,180,20,70,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argophyllum nullumense,shrub,1,0,simple,no,evergreen,NA,NA,NA,8,50,150,20,50,0.5,1,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corokia whiteana,shrub,1,0,simple,yes,evergreen,NA,NA,NA,3,20,70,6,20,4,7,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bedfordia arborescens,tree,1,0,simple,no,evergreen,NA,NA,NA,12,150,240,35,50,2,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olearia argophylla,tree,1,0,simple,no,evergreen,NA,NA,NA,15,70,140,10,90,1,1.5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olearia canescens,shrub,1,0,simple,no,evergreen,NA,NA,NA,2,10,60,3,21,1,1.5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olearia elliptica,shrub,1,0,simple,no,evergreen,NA,NA,NA,2,20,115,5,38,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olearia heterocarpa,shrub,1,0,simple,no,evergreen,NA,NA,NA,5,20,110,4,18,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Olearia oppositifolia,shrub,1,0,simple,no,evergreen,NA,NA,NA,2.5,20,100,6,39,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ozothamnus cassinioides,shrub,1,0,simple,no,evergreen,NA,NA,NA,3,9,30,1,3,0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ozothamnus diosmifolius,shrub,1,0,simple,no,evergreen,NA,NA,NA,5,10,15,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ozothamnus rufescens,shrub,1,0,simple,no,evergreen,NA,NA,NA,4,4,17,1,3,0.5,1,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cassinia (Ozothamnus) straminae,shrub,1,0,simple,no,evergreen,NA,NA,NA,2,30,80,2,6,0.5,1,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ozothamnus vagans,shrub,1,0,simple,no,evergreen,NA,NA,NA,3,15,50,3.5,4,0.5,1,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atherosperma moschatum,tree,1,1,simple,no,evergreen,NA,NA,NA,30,40,80,12,25,4,5,2,3,NA,Duplicate of Barlow_1981_0345,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daphnandra apatela,tree,1,1,simple,no,evergreen,559,NA,NA,35,60,150,15,40,2,3,2,3,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1106,NA,NA,NA
Daphnandra johnsonii,tree,0,1,simple,no,evergreen,NA,NA,NA,20,60,120,20,60,1,2,1,1,NA,Duplicate of Barlow_1981_1107,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1107,NA,NA,NA
Daphnandra melasmena,tree,1,0,simple,no,evergreen,NA,NA,NA,20,40,90,20,50,1,2,1,1,NA,Duplicate of Barlow_1981_1108,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1108,NA
Daphnandra micrantha,tree,1,1,simple,no,evergreen,NA,NA,NA,25,70,170,25,50,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1109,NA,NA
Daphnandra repandula,tree,0,1,simple,no,evergreen,541,541,550,30,60,260,20,70,4,6,2,3,NA,Duplicate of Barlow_1981_1110,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1110,Duplicate of Barlow_1981_1110,NA,Duplicate of Barlow_1981_1110
Daphnandra tenuipes,tree,1,0,simple,no,evergreen,563.3,NA,NA,20,40,130,15,30,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doryphora aromatica,tree,1,1,simple,no,evergreen,460,467,522,40,50,135,20,50,3,3,2,2,NA,Duplicate of Barlow_1981_1301,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1301,NA,Duplicate of Barlow_1981_1301,Duplicate of Barlow_1981_1301
Doryphora sassafras,tree,1,1,simple,no,evergreen,516,NA,NA,45,30,100,20,40,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1302,Duplicate of Barlow_1981_1302,NA
Dryadodaphne trachyphloia,tree,1,1,simple,no,evergreen,NA,NA,522,45,40,170,10,40,3,3,2,2,NA,Duplicate of Barlow_1981_1303,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1303,NA,Duplicate of Barlow_1981_1303,NA
Balanops australiana,tree,0,1,simple,no,evergreen,678,678,678,35,45,100,15,50,12,13,9,12,3,Duplicate of Barlow_1981_0357,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0357,Duplicate of Barlow_1981_0357,Duplicate of Barlow_1981_0357,NA
Deplanchea tetraphylla,tree,0,1,simple,no,evergreen,410,410,410,20,100,350,55,180,12,14,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argusia argentea,shrub,1,0,simple,no,evergreen,NA,NA,466,5,60,250,20,130,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carmona retusa,shrub,1,0,simple,yes,evergreen,NA,NA,466,4,5,30,5,15,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordia aspera,tree,1,1,simple,no,evergreen,NA,NA,NA,10,70,300,40,160,7,8,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordia dichotoma,tree,1,1,simple,yes,evergreen,440,440,466,20,35,210,25,105,7,15,3,10,NA,Duplicate of Metcalfe_2009_068,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordia subcordata,tree,1,1,simple,no,evergreen,NA,440,466,10,55,180,40,160,18,20,15,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordia wallichii,tree,0,1,simple,no,evergreen,NA,NA,NA,6,60,160,60,150,10,12,8,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ehretia acuminata,tree,1,0,simple,no,deciduous,493,493,466,30,60,220,20,120,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ehretia grahamii,shrub,1,0,simple,no,evergreen,NA,NA,NA,3,15,60,10,40,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ehretia laevis,shrub,1,0,simple,no,evergreen,NA,493,466,6,60,110,20,40,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ehretia membranifolia,tree,1,0,simple,no,evergreen,NA,493,466,12,30,160,5,30,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ehretia saligna,shrub,1,0,simple,no,evergreen,NA,493,466,6,100,250,6,20,1,1,1,1,NA,Duplicate of WAH_1998_1989,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tournefortia muelleri,shrub,1,0,simple,no,evergreen,NA,NA,466,3,70,280,45,160,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trichodesma zeylanicum,shrub,1,0,simple,no,evergreen,NA,NA,466,2,17,160,2,42,3,5,3,5,2,Duplicate of WAH_1998_6428,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idiospermum australiense,tree,0,1,simple,no,evergreen,600,600,600,25,100,240,30,70,40,50,40,50,NA,Duplicate of Barlow_1981_2729,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_2729,NA,NA,NA
Aphananthe philippinensis,tree,1,0,simple,no,evergreen,593,593,513,35,25,75,15,35,5,7,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celtis hildebrandii,tree,1,0,simple,no,evergreen,NA,615,513,38,65,130,30,70,7,10,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celtis paniculata,tree,1,0,simple,no,evergreen,570,615,513,20,45,150,15,60,6,10,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0663
Celtis philippensis,tree,1,0,simple,no,evergreen,660,615,513,15,25,210,10,100,6,10,5,9,NA,Duplicate of Barlow_1981_0664,NA,NA,NA,NA,NA,NA,Duplicate of NTH_2014_242,NA,NA
Celtis timorensis,tree,1,0,simple,no,evergreen,NA,615,513,10,60,90,30,45,6,9,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trema orientalis,tree,1,0,simple,no,evergreen,330,330,513,30,40,200,10,80,2,2,2,2,NA,Duplicate of Barlow_1981_4152,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4152,Duplicate of Barlow_1981_4152
Capparis arborea,tree,1,0,simple,no,evergreen,700,700,700,10,30,150,15,60,7,10,5,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capparis canescens,shrub,0,1,simple,no,evergreen,NA,NA,NA,6,35,100,25,60,7,9,5,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capparis jacobsii,tree,0,1,simple,no,evergreen,NA,NA,NA,10,40,110,20,45,6,8,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Brock_1993_057,Duplicate of NTH_2014_049
Capparis lanceolaris,shrub,0,1,simple,no,evergreen,NA,NA,NA,5,45,145,18,50,6,12,5,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capparis lasiantha,shrub,0,1,simple,no,evergreen,NA,NA,NA,3,30,80,7,20,4,6,4,5,3,NA,NA,NA,NA,NA,NA,Duplicate of NTH_2014_050,Duplicate of NTH_2014_050,NA,Duplicate of NTH_2014_050
Capparis lasiantha,shrub,0,1,simple,no,evergreen,NA,NA,NA,3,30,80,7,20,4,6,4,5,3,NA,NA,NA,NA,NA,NA,Duplicate of NTH_2014_050,Duplicate of NTH_2014_050,NA,Duplicate of NTH_2014_050
Capparis lucida,shrub,1,1,simple,no,evergreen,NA,700,700,12,30,100,20,50,6,8,5,6,3,Duplicate of WAH_1998_1083,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capparis mitchellii,shrub,0,1,simple,no,evergreen,NA,NA,NA,5,30,60,10,25,6,10,5,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capparis ornans,shrub,0,1,simple,no,evergreen,NA,NA,NA,5,60,140,20,70,9,12,6,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capparis sepiaria,shrub,1,0,simple,no,evergreen,NA,NA,NA,6,15,100,5,40,5,5,5,5,3,NA,NA,NA,NA,Duplicate of NTH_2014_052,Duplicate of NTH_2014_052,NA,NA,NA,NA
Capparis sp. (Forty Mile Scrub BH 3883RFK),tree,1,1,simple,no,evergreen,NA,700,700,10,50,80,20,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capparis velutina,shrub,0,1,simple,no,evergreen,NA,NA,NA,15,50,110,15,50,6,8,5,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Citronella smythii,tree,1,1,simple,no,evergreen,560,561,493,25,110,190,40,90,10,14,10,12,NA,Duplicate of Barlow_1981_0704,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0704,NA,Duplicate of Barlow_1981_0704,NA
Allocasuarina torulosa,tree,1,0,simple,no,evergreen,NA,588,669,20,0.3,0.8,0.3,0.4,2,2,1,2,NA,Duplicate of Barlow_1981_0165,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0165,NA,NA
