canonicalName,,,,Resprout,Soil seed bank,Wind,Bird/mammal,Canopy seed storage
Lepidosperma oldfieldii,,,,y,,n,y,
Leptecophylla abietina,,,,n,,n,y,
Leptecophylla divaricata,,,,n,,n,y,
Leptecophylla juniperina subsp. juniperina,,,,n,,n,y,
Leptecophylla juniperina subsp. parvifolia,,,,n,,n,y,
Leptecophylla pendulosa,,,,n,,n,y,
Leptecophylla pogonocalyx,,,,,,,,
Leptomeria glomerata,,,,,,,,
Leptospermum glaucescens,,,,n,n,n,,n
Leptospermum grandiflorum,,,,y,n,n,n,y
Leptospermum nitidum,,,,y,n,n,n,y
Leptospermum riparium,,,,y,n,n,n,y
Leptospermum rupestre,,,,n,n,n,n,y
Libertia pulchella var. pygmaea,,,,,,,,
Lilaeopsis sp. West Coast (A.Moscal 5655),,,,,,,,
Linum albidum,,,,,,,,
Liparophyllum exiguum,,,,,,,,
Liparophyllum gunnii,,,,,,,,
Lomatia polymorpha,,,,n,,,,
Lomatia tasmanica,,,,,,,,
Lomatia tinctoria,,,,y,,,,
Luzula australasica subsp. australasica,,,,,,,,
Luzula poimena,,,,,,,,
Lycopodiella diffusa,,,,,,,,
Melaleuca pustulata,,,,y,,n,n,y
Melicytus angustifolius subsp. angustifolius,,,,,,,y,
Micrantheum serpentinum,,,,,,,,
Microcachrys tetragona,,,,n,n,n,y,n
Microlaena tasmanica,,,,y,,n,n,n
Microlaena tasmanica var. subalpina,,,,,,,,
Microlaena tasmanica var. tasmanica,,,,,,,,
Milligania densiflora,,,,y,,,,
Milligania johnstonii,,,,,,,,
Milligania lindoniana,,,,,,,,
Milligania longifolia,,,,,,,,
Milligania stylosa,,,,,,,,
Monotoca empetrifolia,,,,n,y,n,y,
Monotoca linifolia,,,,n,y,n,y,
Monotoca linifolia subsp. algida,,,,,,,,
Monotoca linifolia subsp. linifolia,,,,,,,,
Monotoca submutica,,,,,,,,
Monotoca submutica var. autumnalis,,,,,,,,
Monotoca submutica var. submutica,,,,,,,,
Montitega dealbata,,,,,,,,
Myriophyllum austropygmaeum,,,,,,,,
Nablonium calyceroides,,,,,,,,
Nematolepis squamea subsp. retusa,,,,,,,,
Nothofagus gunnii,,,,n,n,n,n,n
Notogrammitis garrettii,,,,,,,,
Notogrammitis gunnii,,,,,,,,
Notogrammitis pseudociliata,,,,,,,,
Odixia achlaena,,,,,,,,
Odixia angusta,,,,,,,,
Olearia archeri,,,,,,y,,
Olearia ericoides,,,,,,y,,
Olearia hookeri,,,,,,y,,
Olearia ledifolia,,,,n,,y,,
Olearia obcordata,,,,n,,y,,
Olearia persoonioides,,,,n,,y,,
Olearia phlogopappa subsp. angustifolia,,,,,,y,,
Olearia phlogopappa subsp. gunniana,,,,,,y,,
Olearia phlogopappa subsp. phlogopappa,,,,,,y,,
Olearia phlogopappa subsp. subrepanda,,,,,,y,,
Olearia pinifolia,,,,n,,y,,
Olearia rugosa subsp. intermedia,,,,,,y,,
Olearia tasmanica,,,,n,,y,,
Oreobolus acutifolius,,,,y,,,,
Oreobolus oligocephalus,,,,y,,,,
Oreobolus oxycarpus subsp. brownii,,,,y,,,,
Oreobolus tholicarpus,,,,,,,,
Oreomyrrhis gunnii,,,,,,,,
Oreomyrrhis sessiliflora,,,,,,,,
Orites acicularis,,,,n,y,n,n,n
Orites diversifolius,,,,n,y,n,n,n
Orites milliganii,,,,n,y,n,n,n
Orites revolutus,,,,y,y,n,n,n
Oschatzia saxifraga,,,,,,,,
Ourisia integrifolia,,,,,,,,
Ozothamnus antennaria,,,,,,y,,
Ozothamnus bracteolatus,,,,,,y,,
Ozothamnus costatifructus,,,,,,y,,
Ozothamnus ericifolius,,,,,,y,,
Ozothamnus hookeri,,,,,,y,,
Ozothamnus ledifolius,,,,,,y,,
Ozothamnus lycopodioides,,,,,,y,,
Ozothamnus purpurascens,,,,,,y,,
Ozothamnus reflexifolius,,,,,,y,,
Ozothamnus reticulatus,,,,,,y,,
Ozothamnus rodwayi,,,,n,,y,,
Ozothamnus rodwayi var. kingii,,,,,,,,
Ozothamnus rodwayi var. oreophilus,,,,,,,,
Ozothamnus rodwayi var. rodwayi,,,,,,,,
Ozothamnus scutellifolius,,,,,,y,,
Ozothamnus x expansifolius,,,,,,,,
Pachycladon radicata,,,,,,,,
Pappochroma gunnii,,,,,,,,
Pappochroma pappocromum,,,,,,,,
Pappochroma stellatum,,,,,,,,
Pappochroma trigonum,,,,,,,,
Pentachondra ericifolia,,,,,,,,
Pentachondra involucrata,,,,,,,,
Pentapogon quadrifidus var. parviflorus,,,,,,,,
Persoonia gunnii,,,,n,,,,
Persoonia juniperina var. brevifolia,,,,,,,,
Persoonia juniperina var. juniperina,,,,,,,,
Persoonia juniperina var. mollis,,,,,,,,
Persoonia juniperina var. ulicina,,,,,,,,
Persoonia moscalii,,,,,,,,
Persoonia muelleri,,,,,,,,
Persoonia muelleri var. angustifolia,,,,,,,,
Persoonia muelleri var. densifolia,,,,,,,,
Persoonia muelleri var. muelleri,,,,,,,,
