Species,longevity,Regeneration strategy,Root structure,N_fixer
Dampiera linearis,Perennial,Seed,Arbuscular mycorrhizal,no
Dasypogon bromeliifolius,Perennial,Fleshy organ,Other non-mycorrhizal,no
Desmocladus fasciculatus,Perennial,Fleshy organ,Other non-mycorrhizal,no
Desmocladus flexuosus,Perennial,Fleshy organ,Other non-mycorrhizal,no
Drosera menziesii,Perennial,Fleshy organ,Other non-mycorrhizal,no
Drosera pallida,Perennial,Fleshy organ,Other non-mycorrhizal,no
Drosera stolonifera,Perennial,Fleshy organ,Other non-mycorrhizal,no
Elythranthera brunonis,Perennial,Fleshy organ,Orchid mycorrhizal,no
Eucalyptus marginata,Perennial,Seed,Ectomycorrhizal,no
Goodenia eatoniana,Perennial,Seed,Arbuscular mycorrhizal,no
Grevillea pulchella,Perennial,Woody rootstock,Proteoid root,no
Grevillea pul. subsp. ascendens,Perennial,Woody rootstock,Proteoid root,no
Grevillea quercifolia,Perennial,Woody rootstock,Proteoid root,no
Grevillea trifida,Perennial,Woody rootstock,Proteoid root,no
Haemodorum simplex,Perennial,Fleshy organ,Other non-mycorrhizal,no
Hakea amplexicaulis,Perennial,Woody rootstock,Proteoid root,no
Hakea falcata,Perennial,Woody rootstock,Proteoid root,no
Hakea oleifolia,Perennial,Woody rootstock,Proteoid root,no
Hakea trifurcata,Perennial,Woody rootstock,Proteoid root,no
Hakea undulata,Perennial,Woody rootstock,Proteoid root,no
Hakea varia,Perennial,Woody rootstock,Proteoid root,no
Hemigenia rigida,Perennial,Seed,Arbuscular mycorrhizal,no
Hibbertia amplexicaulis,Perennial,Woody rootstock,Arbuscular mycorrhizal,no
Hibbertia commutata,Perennial,Woody rootstock,Arbuscular mycorrhizal,no
Hybanthus debilissimus,Annual,Seed,Arbuscular mycorrhizal,no
Hydrocotyle callicarpa,Annual,Seed,Arbuscular mycorrhizal,no
Isopogon axillaris,Perennial,Seed,Proteoid root,no
Isopogon formosus,Perennial,Seed,Proteoid root,no
Isopogon sphaerocephalus,Perennial,Seed,Proteoid root,no
Johnsonia acaulis,Perennial,Seed,Arbuscular mycorrhizal,no
Johnsonia lupulina,Perennial,Fleshy organ,Arbuscular mycorrhizal,no
Kingia australis,Perennial,Woody rootstock,Other non-mycorrhizal,no
Kunzea recurva,Perennial,Seed,Ectomycorrhizal,no
Lepidosperma leptostachyum,Perennial,Fleshy organ,Other non-mycorrhizal,no
Lepidosperma squamatum,Perennial,Fleshy organ,Other non-mycorrhizal,no
Leptomeria cunninghamii,Perennial,Seed,Arbuscular mycorrhizal,no
Leucopogon australis,Perennial,Woody rootstock,Ericoid mycorrhizal,no
Leucopogon capitellatus,Perennial,Woody rootstock,Ericoid mycorrhizal,no
Leucopogon glabellus,Perennial,Woody rootstock,Ericoid mycorrhizal,no
Leucopogon gracillimus,Perennial,Woody rootstock,Ericoid mycorrhizal,no
Leucopogon pendulus,Perennial,Woody rootstock,Ericoid mycorrhizal,no
Leucopogon propinquus,Perennial,Woody rootstock,Ericoid mycorrhizal,no
Leucopogon verticillatus,Perennial,Woody rootstock,Ericoid mycorrhizal,no
Levenhookia preissii,Annual,Seed,Arbuscular mycorrhizal,no
Levenhookia pusilla,Annual,Seed,Arbuscular mycorrhizal,no
Lindsaea linearis,Perennial,Fleshy organ,Arbuscular mycorrhizal,no
Logania serpyllifolia,Perennial,Woody rootstock,Arbuscular mycorrhizal,no
Lomandra hermaphrodita,Perennial,Fleshy organ,Other non-mycorrhizal,no
Lomandra integra,Perennial,Fleshy organ,Other non-mycorrhizal,no
Lomandra pauciflora,Perennial,Fleshy organ,Other non-mycorrhizal,no
Lomandra sericea,Perennial,Fleshy organ,Other non-mycorrhizal,no
Lomandra sonderi,Perennial,Fleshy organ,Other non-mycorrhizal,no
Luzula meridionalis,Perennial,Fleshy organ,Other non-mycorrhizal,no
Marianthus sp.Walpole,Perennial,Seed,Arbuscular mycorrhizal,no
Melaleuca thymoides,Perennial,Woody rootstock,Ectomycorrhizal,no
Mesomelaena stygia,Perennial,Fleshy organ,Other non-mycorrhizal,no
Olax phyllanthi,Perennial,Seed,Other non-mycorrhizal,no
Opercularia hispidula,Perennial,Woody rootstock,Arbuscular mycorrhizal,no
Orchid sp. unknown 1,Perennial,Fleshy organ,Orchid mycorrhizal,no
Orchid sp. unknown 2,Perennial,Fleshy organ,Orchid mycorrhizal,no
Orchid sp. unknown 3,Perennial,Fleshy organ,Orchid mycorrhizal,no
Orchid sp. unknown 4,Perennial,Fleshy organ,Orchid mycorrhizal,no
Patersonia occidentalis,Perennial,Fleshy organ,Arbuscular mycorrhizal,no
Patersonia umbrosa,Perennial,Fleshy organ,Arbuscular mycorrhizal,no
Pentapeltis peltigera,Perennial,Woody rootstock,Arbuscular mycorrhizal,no
Pentapeltis silvatica,Perennial,Woody rootstock,Arbuscular mycorrhizal,no
Persoonia elliptica,Perennial,Woody rootstock,Proteoid root,no
Persoonia longifolia,Perennial,Woody rootstock,Proteoid root,no
Petrophile diversifolia,Perennial,Seed,Proteoid root,no
Petrophile serruriae,Perennial,Seed,Proteoid root,no
Pimelea rosea,Perennial,Seed,Arbuscular mycorrhizal,no
Pimelea sylvestris,Perennial,Seed,Arbuscular mycorrhizal,no
Pithocarpa pulchella,Perennial,Seed,Arbuscular mycorrhizal,no
Platysace filiformis,Perennial,Seed,Arbuscular mycorrhizal,no
Platysace tenuissima,Perennial,Seed,Arbuscular mycorrhizal,no
Platytheca galioides,Annual,Seed,Arbuscular mycorrhizal,no
Podocarpus drouynianus,Perennial,Woody rootstock,Arbuscular mycorrhizal,no
Poranthera huegelii,Annual,Seed,Arbuscular mycorrhizal,no
Pterostylis pyramidalis,Perennial,Fleshy organ,Orchid mycorrhizal,no
Pterostylis recurva,Perennial,Fleshy organ,Orchid mycorrhizal,no
Pterostylis vittatus,Perennial,Fleshy organ,Orchid mycorrhizal,no
Pyrorchis nigricans,Perennial,Fleshy organ,Orchid mycorrhizal,no
Scaevola striata,Perennial,Seed,Arbuscular mycorrhizal,no
Stackhousia monogyna,Perennial,Woody rootstock,Arbuscular mycorrhizal,no
Stirlingia tenuifolia,Perennial,Woody rootstock,Proteoid root,no
Stylidium aff. junceum,Perennial,Seed,Arbuscular mycorrhizal,no
Stylidium amoenum,Perennial,Seed,Arbuscular mycorrhizal,no
Stylidium calcaratum,Annual,Seed,Arbuscular mycorrhizal,no
Stylidium luteum,Perennial,Woody rootstock,Arbuscular mycorrhizal,no
Stylidium scandens,Perennial,Seed,Arbuscular mycorrhizal,no
Stylidium schoenoides,Perennial,Seed,Arbuscular mycorrhizal,no
Stylidium sp. unknown,Annual,Seed,Arbuscular mycorrhizal,no
Styphelia tenuiflora,Perennial,Seed,Ericoid mycorrhizal,no
Synaphea petiolaris,Perennial,Fleshy organ,Proteoid root,no
Taxandria parviceps ms,Perennial,Seed,Arbuscular mycorrhizal,no
Tetraria capillaris,Perennial,Fleshy organ,Other non-mycorrhizal,no
Tetraria octandra,Perennial,Seed,Other non-mycorrhizal,no
Tetrarrhena laevis,Perennial,Fleshy organ,Arbuscular mycorrhizal,no
Tetratheca affinis,Perennial,Seed,Arbuscular mycorrhizal,no
Tetratheca hispidissima,Perennial,Seed,Arbuscular mycorrhizal,no
Thelymitra crinita,Perennial,Fleshy organ,Orchid mycorrhizal,no
Thelymitra sp. unknown,Perennial,Fleshy organ,Orchid mycorrhizal,no
Thomasia heterophylla ms,Perennial,Seed,Arbuscular mycorrhizal,no
Thysanotus tenellus,Perennial,Fleshy organ,Arbuscular mycorrhizal,no
Treemandra diffusa,Perennial,Seed,Arbuscular mycorrhizal,no
Treemandra stelligera,Perennial,Woody rootstock,Arbuscular mycorrhizal,no
Tricoryne elatior,Perennial,Fleshy organ,Arbuscular mycorrhizal,no
Trymalium ledifolium,Perennial,Seed,Ectomycorrhizal,no
Velleia trinervis,Perennial,Seed,Arbuscular mycorrhizal,no
Xanthorrhoea gracilis,Perennial,Woody rootstock,Arbuscular mycorrhizal,no
Xanthorrhoea preissii,Perennial,Woody rootstock,Arbuscular mycorrhizal,no
Xanthosia candida,Perennial,Woody rootstock,Arbuscular mycorrhizal,no
Xanthosia eichleri,Perennial,Seed,Arbuscular mycorrhizal,no
Xanthosia huegelii,Perennial,Seed,Arbuscular mycorrhizal,no
Xanthosia rotundifolia,Perennial,Seed,Arbuscular mycorrhizal,no
Xanthosia singuliflora,Perennial,Woody rootstock,Arbuscular mycorrhizal,no
Xanthosia tasmanica,Perennial,Seed,Arbuscular mycorrhizal,no
