genus_root,taxon_name,text,life_history_a,life_history_f,parasitic_a,parasitic_f,plant_growth_form_a,plant_growth_form_f,plant_growth_substrate_a,plant_growth_substrate_f,sex_type_a,sex_type_f,stem_growth_habit_a,stem_growth_habit_f,woodiness_a,woodiness_f,authors
Acacia,Acacia adsurgens,multi-stemmed glabrous shrub to about 4 m high with smooth bark becoming fibrous in older plants.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia alleniana,"erect shrub or rarely a small tree, 2-4 m high.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,erect,erect,woody,NA,NA
Acacia,Acacia argyraea,shrub,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia auriculiformis,"erect tree, 6-20 m high.",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,erect,erect,woody,NA,NA
Acacia,Acacia basedowii,"low spreading shrub to 1 m high, often with spiny branch tips.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia bivenosa,glabrous shrub to about 3 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia calcicola,erect or spreading shrub or tree to about 8 m high with persistent fissured bark.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia chippendalei,low spreading shrub to 1 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia colei,shub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia,Acacia conspersa,"erect shrub or spindly tree, 2-7.5 m high, slightly mealy or hoary.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,erect spindly,erect spindly,woody,NA,NA
Acacia,Acacia cowleana,acacia cowleana is a shrub or small tree to 8 m high with smooth grey bark.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia sp. El Sharana,perennial shrub.,perennial,perennial,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia sp. Gove,small tree.,perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia dictyophleba,"glabrous shrub to about 4 m high, often with sparsely tuberculate branchlets.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia difficilis,"erect shrub or tree, 2.5-9 m high.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,erect,erect,woody,NA,NA
Acacia,Acacia dimidiata,"erect shrub or small tree, 2-4 m high.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,erect,erect,woody,NA,NA
Acacia,Acacia dolichophylla,shrub to about 7 m high with smooth greyish bark.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia dunnii,"erect shrub or small tree, 3-5 m high, pruinose.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,erect,erect,woody,NA,NA
Acacia,Acacia estrophiolata,slow-growing glabrous tree to about 14 m high with pendulous branchlets and persistent fissured bark.,perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia georginae,"spreading, often gnarled small tree or shrub often to 6 m high and rarely to 8 m high.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,spreading,spreading,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia gonocarpa,"erect shrub, 0.5-2(3) m high.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,NA
Acacia,Acacia helicophylla,"erect spindly shrub, 2-4 m high, viscid.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spindly,erect spindly,woody,NA,NA
Acacia,Acacia hemignosta,"erect shrub or small tree, 2-5(7) m high, glaucous or pruinose.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,erect,erect,woody,NA,NA
Acacia,Acacia hemsleyi,shrub,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia hilliana,"low spreading glabrous shrub to about 1.5 m high, usually with a flat-topped or domed canopy.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia holosericea,"erect shrub, 2-5 m high.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,NA
Acacia,Acacia humifusa,"spreading shrub, 0.3-2 m high.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,NA
Acacia,Acacia inaequilatera,often a gnarled glabrous shrub or small tree usually 2-4  m high with corky bark becoming finer on branches.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia kelleri,a perennial obligate-seeding shrub to 6 m tall.,perennial,perennial,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Northern Territory Government 2008, Threatened Plants on the Bradshaw Field Training Area, Final Report on 2007 Survey, prepared by I.D. Cowie and B.M. Stuckey, Department Natural Resources, Environment and the Arts."
Acacia,Acacia kempeana,obconical or rounded glabrous multi-stemmed shrub to about 5 m high with persistent fissured bark.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia latescens,"erect tree, 4-9 m high.",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,erect,erect,woody,NA,NA
Acacia,Acacia latzii,shrubs or trees to 5 m tail;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,NA,NA,woody,NA,"Maslin, B.R. (1980), Acacia (Leguminosae-Mimosoideae): A contribution to the flora of central Australia. Journal of the Adelaide Botanic Gardens 2(4): 313."
Acacia,Acacia leptocarpa,"tree, 5-15 m high.",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia ligulata,acacia ligulata is a glabrous shrub to about 4 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia macdonnellensis,"shrub or small tree usually to about 6 m high, rarely to 11 m high with dark fissured bark.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia maconochieana,tree,perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia maitlandii,a compact to whippy glabrous resinous shrub to about 3.5 m high with smooth grey bark.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,compact,compact,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia melleodora,a variable (compact to whippy) shrub to about 4 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,compact,compact,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia mimula,"erect tree, to 7 m high.",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,erect,erect,woody,NA,NA
Acacia,Acacia minutifolia,"low spreading shrub to 1 m high, often with a flat-topped or domed canopy.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia minyura,dense grey obconical to rounded multi-stemmed shrub to about 4 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,dense,dense,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia monticola,distinctive shrub to small tree to about 5 m high with minniritchi bark.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia mountfordiae,"erect shrub, 2-4 m high, sometimes pruinose.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,NA
Acacia,Acacia multisiliqua,"erect shrub or prostrate in exposed coastal situations, to 2.5 m high.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect prostrate,erect prostrate,woody,NA,NA
Acacia,Acacia murrayana,glabrous usually clonal shrub (or rarely tree) rarely exceeding 5 m high.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia nuperrima,"spreading shrub, to 1 m high, scurfy resinous or mealy.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,NA
Acacia,Acacia nyssophylla,dense intricate shrub to 3 m high with fibrous bark.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,dense,dense,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia oligoneura,"open shrub, 1-1.5 m high, thin stems arising from woodyrootstock after fire.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,open,open,woody_root woody,woodyrootstock,NA
Acacia,Acacia oncinocarpa,"spreading shrub or tree, 1.5-4 m high.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,spreading,spreading,woody,NA,NA
Acacia,Acacia paraneura,"tall shrub or tree to about 8 m high, often with a sparse whispy crown and with pendulous branch extremities.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia pellita,"erect shrub or slender tree, 2-8 m high.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,erect,erect,woody,NA,NA
Acacia,Acacia perryi,"spreading shrub to 1.2 m high, foliage slightly viscid, flowers golden.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,NA
Acacia,Acacia peuce,"tree to circa 15 m tall, canopy drooping at maturity, habit often con;",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,"Jessop, J. ed 1981. Flora of Central Australia. Australian Systematic Botany Society/Reed, Sydney."
Acacia,Acacia platycarpa,"shrub or slender tree, 3-8 m high, usually pruinose.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia plectocarpa,"tall shrub or small tree, 3-7 m high.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia praelongata,"tree, 3-8 m high.",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia praetermissa,"erect shrub, 0.5-1.2 m high.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect,erect,woody,NA,NA
Acacia,Acacia pruinocarpa,glabrous large shrub or tree to about 10 m high often with glaucous branchlets.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia retivenea,shrub,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia rhodophloia,shrub or tree to about 5 m high with minniritchi bark.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia salicina,shrub or tree 3-13 m high with pendulous branchlets and a tendency to root sucker.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia setulifera,"a bushy resinous, shrub to 0.5 or rarely 1 m tall.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,bushy,bushy,woody,NA,"Northern Territory Government 2008, Threatened Plants on the Bradshaw Field Training Area, Final Report on 2007 Survey, prepared by I.D. Cowie and B.M. Stuckey, Department Natural Resources, Environment and the Arts."
Acacia,Acacia spondylophylla,low spreading viscid shrub rarely exceeding 1 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia sibirica,obconical or rounded glabrous multi-stemmed shrub to about 5 m high with persistent fissured bark at least towards base.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia strongylophylla,"glabrous straggly shrub 1-4 m high, sometimes with glaucous branchlets.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia sublanata,shrub.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia tenuissima,multi-stemmed glabrous shrub to about 4 m high with smooth bark.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia tetragonophylla,intricate shrub or rarely tree 2-5 m high.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia thomsonii,shrub,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia tolmerensis,shrub.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia torulosa,"shrub to slender tree, 2-8 m high.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia umbellata,"erect shrub or rarely a tree, 1-3(5) m high.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,erect,erect,woody,NA,NA
Acacia,Acacia undoolyana,shrub or small tree to 15 m high with persistent fissured bark.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia validinervia,glabrous clonal shrub 1-4 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia victoriae,"shrub or small tree to about 6 m high, sometimes with glaucous upper stems and spiny stipules.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia yirrkallensis,shrub to circa 0.8 m.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia sp. China Wall,perennial shrub.,perennial,perennial,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia ayersiana,dense rounded or obconic multi-stemmed shrub to about 8 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,dense,dense,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia sp. laterite,a very open perennial shrub to circa 3 m high.,perennial,perennial,NA,NA,shrub,shrub,NA,NA,NA,NA,open,open,woody,NA,NA
Acacia,Acacia aptaneura,acacia aptaneura is a erect shrub to tree to about 8 m high with the lateral branches ascending or the lowermost spreading.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,erect decumbent spreading,erect ascending spreading,woody,NA,"Southern Region Checklist, 2007"
Acacia,Acacia ramulosa,dense multi-stemmed shrub to about 5 m high with erect rigid phyllodes.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect dense,erect dense,woody,NA,NA
Acacia,Acacia brachystachya,dense multi-stemmed shrub to about 5 m high with erect rigid phyllodes.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect dense,erect dense,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia rigens,dense rounded shrub 2-5 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,dense,dense,woody,NA,NA
Acacia,Acacia incurvaneura,dense grey obconical to rounded multi-stemmed shrub to about 5 m high.,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,dense,dense,woody,NA,NA
Acacia,Acacia mangium,"tree, 10 m high.",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia tumida,small tree to 8 m.,perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia sessiliceps,shrub or small tree to about 7 m high.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Flora of Central Australia, 1981"
Acacia,Acacia sericophylla,often a gnarled shrub or small tree to about 8 m high with thick persistent somewhat corky bark.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia sp. Lake Woods,"tree, 4-5 m high;",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acanthospermum,Acanthospermum,annual or perennial herbs.,annual perennial,annual perennial,NA,NA,herb,herbs,NA,NA,NA,NA,NA,NA,herbaceous,NA,NA
Acanthospermum,Acanthospermum hispidum,erect annual herb to about 80 cm high with an indumentum of simple hairs and sessile glandular globules on the stems and leaves.,annual,annual,NA,NA,herb,herb,NA,NA,NA,NA,erect,erect,herbaceous,NA,NA
Acanthus,Acanthus,"shrubs or with leaves in basal rosettes, lacking cystoliths.",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,rosette,rosettes,woody,NA,NA
Acanthus,Acanthus ebracteatus,subshrubs forming loose thickets to 2.0 m.,NA,NA,NA,NA,subshrub,subshrubs,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acanthus,Acanthus ilicifolius,"multistemmed shrubs, 1-1.5 m tall;",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,NA,NA,woody,NA,"Cowie, I.D., Short, P.S., and Osterkamp Madsen, M., 2011, Floodplain Flora: A flora of the coastal floodplains of the Northern Territory, Australia. Northern Territory Herbarium, Department of Natural Resources, Environment, the Arts and Sport, p 164."
Achyranthes,Achyranthes,perennial or annual herbs.,annual perennial,annual perennial,NA,NA,herb,herbs,NA,NA,NA,NA,NA,NA,herbaceous,NA,"Wheeler, J.R. (1992). Amaranthaceae. In Wheeler, J.R. (ed.), Flora of the Kimberley Region. (Department of Conservation & Land Management: Como). pp. 106-133."
Achyranthes,Achyranthes aspera,erect annual or shortlivedperennial herb to about 1 m high.,annual short_lived_perennial,annual shortlivedperennial,NA,NA,herb,herb,NA,NA,NA,NA,erect,erect,herbaceous,NA,NA
Acrostichum,Acrostichum,Plants terrestrial.,NA,NA,NA,NA,NA,NA,terrestrial,terrestrial,NA,NA,NA,NA,NA,NA,"Short, P., Dixon, D. and Osterkamp Madsen, M. 2003, A review of ferns and fern allies of the Northern Territory, The Beagle, Records of the Museums and Art Galleries of the Northern Territory, vol. 19, p 39."
