current full name without authority,Endemicity_level,Growth Form,Raunkier_life_form,Height_max (m),Clonality,Photosynthetic pathway,MIN length Leaf (mm),MAX length Leaf (mm),MIN width Leaf (mm),MAX width Leaf (mm),Leaf_type,1_Nutrient_uptake_strategy,1_Dispersal_mode,Fruit_type,Fruit_functional_type,Min_length_fruit(mm),Max_length_fruit(mm),Min_breadth_fruit(mm),Max_breadth_fruit(mm),Width_fruit(mm),Min_length_seed (mm),Seed_mass (g),1_Pollination_syndrome,Sex habit,Shade tolerance,References,regen_strategy,plant_height_unique
Bolboschoenus fluviatilis,Australia,Tussock,Hemicryophyte,2,Clonal below ground,C3,NA,NA,7,11,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,3,4,1.5,2,1.5,2,NA,Wind,hermaphrodite,NA,Bruhl 1995/APNI/NSW Flora Online,Clonal below ground,NA
Bulbostylis,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulbostylis barbata,Australia,Tussock,Therophyte,0.3,Clonal below ground,C4,NA,NA,0.2,0.3,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,0.5,0.8,0.4,0.6,0.4,0.6,NA,Wind,gynomonoecious,NA,Bruhl 1995/NSW Flora Online,Clonal below ground,NA
Bulbostylis densa,Australia,Tussock,Therophyte,0.4,not_vegetative,C4,NA,NA,0.2,0.3,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,0.7,0.9,0.5,0.8,0.5,0.8,NA,Wind,gynomonoecious,NA,Bruhl 1995/APNI/NSW Flora Online,NA,NA
Bulbostylis pyriformis,Australia,Tussock,Therophyte,0.4,not_vegetative,C4,NA,20,NA,0.4,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,1,1.4,0.8,1,0.8,1,NA,Wind,gynomonoecious,NA,Bruhl 1995/NSW Flora Online,NA,NA
Bulbostylis sp. (White Mountains R.J.Cumming+ 19025),NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carex,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carex appressa,Australia,Tussock,Hemicryophyte Geophyte,2,Clonal below ground,C3,400,1200,2,4,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,2,3,1,1.7,1,1.7,8.4e-4,Wind,monoecious,NA,Bruhl 1995/NSW Flora Online/ePIC/FloraBase,Clonal below ground,NA
Carex breviculmis,Australia,Tussock,Hemicryophyte Geophyte,0.2,Clonal below ground,C3,NA,350,2,3,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,2,303,1,1.5,1,1.5,NA,NA,monoecious,NA,Bruhl 1995/NSW Flora Online/ePIC,Clonal below ground,1
Carex breviscapa,NA,NA,NA,NA,not_vegetative,C3,NA,NA,3,7,simple,NA,NA,utricle,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,NA,NA,NA,monoecious,NA,Bruhl 1995,NA,NA
Carex brunnea,Australia,Tussock,Hemicryophyte Geophyte,0.8,Clonal below ground,C3,250,800,2,4,simple,NA,NA,utricle,Dry dehiscent or indehsicent without attractant or wing,3,4.5,1.5,1.5,1.5,1.5,NA,Wind,monoecious,NA,Bruhl 1995/APNI/NSW Flora Online,Clonal below ground,1
Carex cruciata var. rafflesiana,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious,NA,Bruhl 1995/APNI,NA,NA
Carex cryptostachys,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious,NA,Bruhl 1995,NA,NA
Carex declinata,Australia,Tussock,Hemicryophyte Geophyte,1.2,Clonal below ground,C3,NA,NA,3,10,simple,NA,NA,utricle,Dry dehiscent or indehsicent without attractant or wing,3.5,6,1.5,1.7,1.5,1.7,NA,Wind,monoecious,NA,Bruhl 1995/NSW Flora Online,Clonal below ground,1.2
Carex fascicularis,Australia,Tussock,Hemicryophyte Geophyte,1.5,Clonal below ground,C3,600,1500,6,11,simple,NA,NA,utricle,Dry dehiscent or indehsicent without attractant or wing,5,7.5,1.3,2,1.3,2,NA,Wind,monoecious,NA,Bruhl 1995/APNI/NSW Flora Online/FloraBase,Clonal below ground,NA
Carex horsfieldii,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious,NA,Bruhl 1995/APNI,NA,NA
Carex hubbardii,Australia,Tussock,Hemicryophyte Geophyte,0.5,Clonal below ground,C3,NA,NA,2,4.5,simple,NA,NA,utricle,Dry dehiscent or indehsicent without attractant or wing,5,6.5,1.5,1.5,1.5,1.5,NA,Wind,monoecious,NA,Bruhl 1995/NSW Flora Online,Clonal below ground,1
Carex indica,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious,NA,Bruhl 1995/APNI,NA,NA
Carex inversa,Australia,Tussock,Hemicryophyte Geophyte,0.75,Clonal below ground,C3,NA,NA,0.7,2,simple,NA,NA,utricle,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,NA,3.7e-4,Wind,monoecious,NA,Bruhl 1995/APNI/NSW Flora Online/FloraBase/ePIC,Clonal below ground,NA
Carex maculata,Australia,Tussock,Hemicryophyte Geophyte,0.7,Clonal below ground,C3,NA,NA,2,8,simple,NA,NA,utricle,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,NA,NA,NA,monoecious,NA,Bruhl 1995/APNI/NSW Flora Online,Clonal below ground,1
Carex phacota,NA,NA,NA,NA,not_vegetative,C3,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monoecious,NA,Bruhl 1995,NA,NA
Carex polyantha,Australia,Tussock,Hemicryophyte Geophyte,0.8,Clonal below ground,C3,200,800,4,9,simple,NA,NA,utricle,Dry dehiscent or indehsicent without attractant or wing,2,3,1.5,1.5,1.5,1.5,NA,Wind,monoecious,NA,Bruhl 1995/APNI/NSW Flora Online,Clonal below ground,1
Chorizandra cymbaria,Australia,Tussock,Hemicryophyte Geophyte,1,Clonal below ground,C3,250,750,NA,NA,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,2.7,4,1.5,2.7,1.5,2.7,0.00325,Wind,monoecious,NA,Bruhl 1995/NSW Flora Online/FloraBase/ePIC,Clonal below ground,NA
Cladium procerum,Australia,Tussock,Hemicryophyte,2.5,Clonal below ground,C3,NA,2500,5,20,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,2,2.5,1.3,2,1.3,2,0.00143,Wind,hermaphrodite,NA,Bruhl 1995/NSW Flora Online/FloraBase/ePIC,Clonal below ground,2.5
Cyperus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyperus alopecuroides,NA,Tussock,Hemicryophyte Geophyte,1.5,Clonal below ground,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7e-5,NA,hermaphrodite,NA,Bruhl 1995/APNI/FloraBase/ePIC,Clonal below ground,NA
Cyperus alterniflorus,Australia,Tussock,Hemicryophyte Geophyte,2,Clonal below ground,NA,NA,NA,NA,12,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,1.6,2.3,0.5,0.7,0.5,0.7,2.5e-4,Wind,hermaphrodite,NA,Bruhl 1995/APNI/NSW Flora Online/FloraBase/ePIC,Clonal below ground,NA
Cyperus angustatus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/APNI,NA,NA
Cyperus aquatilis,Australia,Tussock,Therophyte,0.35,not_vegetative,NA,NA,NA,1,3,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,0.5,0.8,0.5,0.5,0.5,0.5,6e-5,Wind,hermaphrodite,NA,Bruhl 1995/APNI/NSW Flora Online/FloraBase/ePIC,NA,NA
Cyperus aromaticus,NA,Tussock,Geophyte,0.7,Clonal below ground,NA,50,150,3,5,simple,arbuscular mycorrhiza,Endozoochory Water,nutlet,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,NA,NA,Wind,hermaphrodite,light demanding,Bruhl 1995/PIER/FNQ Local Council Priority Weeds/Wang & Qiu 2006,Clonal below ground,1
Cyperus betchei,Australia,Tussock,Hemicryophyte,1.2,Clonal below ground,NA,NA,NA,2,6,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,1.9,2.2,0.4,0.4,0.4,0.4,NA,Wind,hermaphrodite,NA,Bruhl 1995/APNI/NSW Flora Online/FloraBase,Clonal below ground,NA
Cyperus betchei subsp. betchei,Australia,Tussock,Hemicryophyte,1,Clonal below ground,NA,NA,NA,2,6,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,1.9,2.2,0.4,0.4,0.4,0.4,NA,Wind,hermaphrodite,NA,Bruhl 1995/NSW Flora Online,Clonal below ground,1
Cyperus bifax,Australia,Tussock,Geophyte,1,Clonal below ground,NA,500,750,NA,4,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,NA,1.2,NA,1.8,NA,0.8,3e-4,Wind,hermaphrodite,NA,Bruhl 1995/APNI/NSW Flora Online/FloraBase/ePIC,Clonal below ground,NA
Cyperus blakeanus,NA,Tussock,Hemicryophyte,0.55,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wind,hermaphrodite,NA,Bruhl 1995/FloraBase,NA,NA
Cyperus bowmannii,Australia,Tussock,NA,0.45,not_vegetative,NA,NA,NA,1,2,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,1.5,2,NA,NA,NA,NA,NA,Wind,hermaphrodite,NA,Bruhl 1995/APNI/NSW Flora Online,NA,1
Cyperus breviculmis,NA,Tussock,NA,0.2,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/APNI/FloraBase,NA,NA
Cyperus brevifolius,NA,Tussock,Geophyte,0.5,Clonal below ground,NA,NA,NA,1,3,simple,arbuscular mycorrhiza,Wind Water,nut,Dry dehiscent or indehsicent without attractant or wing,1,1.5,0.5,0.7,NA,NA,NA,Wind,hermaphrodite,shade tolerant,Bruhl 1995/APNI/NSW Flora Online/FloraBase/PIER/Wang & Qiu 2006,Clonal below ground,NA
Cyperus bulbosus,Australia,Tussock,Geophyte,0.4,Clonal below ground,NA,NA,NA,1,2,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,1.3,1.5,0.5,0.8,0.5,0.8,NA,Wind,hermaphrodite,NA,Bruhl 1995/NSW Flora Online/FloraBase,Clonal below ground,NA
Cyperus carinatus,NA,Tussock,Geophyte,1,Clonal below ground,NA,NA,NA,NA,NA,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,NA,NA,Wind,hermaphrodite,NA,Bruhl 1995/FloraBase/APNI,Clonal below ground,NA
Cyperus castaneus,Australia,Tussock,Therophyte,0.1,not_vegetative,NA,NA,NA,NA,1,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,0.7,1,0.2,0.2,0.2,0.2,NA,Wind,hermaphrodite,NA,Bruhl 1995/NSW Flora Online/APNI,NA,NA
Cyperus castaneus - C. cuspidatus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995,NA,NA
Cyperus cephalotes,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/APNI,NA,NA
Cyperus compactus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/APNI,NA,NA
Cyperus compressus,NA,Tussock,Therophyte,0.4,not_vegetative,NA,NA,NA,1.5,3,simple,arbuscular mycorrhiza,Wind Water,achene,Dry dehiscent or indehsicent without attractant or wing,1,1.3,NA,NA,NA,NA,3.6e-4,Wind,hermaphrodite,NA,Bruhl 1995/PIER/Wang & Qiu 2006/ePIC,NA,NA
Cyperus concinnus,NA,NA,Hemicryophyte Geophyte,0.65,Clonal below ground,NA,NA,NA,1,2,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,NA,0.5,NA,0.4,NA,0.4,1e-5,NA,hermaphrodite,NA,Bruhl 1995/APNI/NSW Flora Online/ePIC,Clonal below ground,NA
Cyperus conicus,NA,Tussock,Hemicryophyte Geophyte,1,Clonal below ground,NA,NA,NA,3,5,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,NA,1.8,0.8,0.8,0.8,0.8,5.4e-4,Wind,hermaphrodite,NA,Bruhl 1995/APNI/NSW Flora Online/ePIC,Clonal below ground,NA
Cyperus conicus var. conicus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995,NA,NA
Cyperus cristulatus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995,NA,NA
Cyperus cuspidatus,NA,Tussock,Therophyte,0.15,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/FloraBase,NA,NA
Cyperus cyperinus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995,NA,NA
Cyperus cyperoides,Australia,Tussock,Hemicryophyte Geophyte,0.75,Clonal below ground,NA,NA,750,NA,3.5,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,1.7,2.3,0.5,0.5,0.5,0.5,3.4e-4,Wind,hermaphrodite,NA,Bruhl 1995/ePIC/NSW Flora Online/APNI,Clonal below ground,NA
Cyperus dactylotes,Australia,Tussock,Hemicryophyte Geophyte,1.2,Clonal below ground,NA,NA,NA,NA,6.5,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,1.3,1.6,0.5,0.5,0.5,0.5,1.2e-4,Wind,hermaphrodite,NA,Bruhl 1995/ePIC/NSW Flora Online/FloraBase,Clonal below ground,NA
Cyperus decompositus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/APNI,NA,NA
Cyperus dietrichiae,Australia,Tussock,Hemicryophyte Geophyte,0.45,Clonal below ground,NA,NA,NA,NA,2.5,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,NA,1.7,NA,0.4,NA,0.4,NA,Wind,hermaphrodite,NA,Bruhl 1995/APNI/NSW Flora Online,Clonal below ground,NA
Cyperus dietrichiae var. dietrichiae,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995,NA,NA
Cyperus dietrichiae var. brevibracteatus,Australia,Tussock,Hemicryophyte Geophyte,0.45,Clonal below ground,NA,NA,NA,NA,2.5,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,NA,1.7,NA,0.4,NA,0.4,NA,Wind,hermaphrodite,NA,Bruhl 1995/APNI/NSW Flora Online,Clonal below ground,1
Cyperus difformis,Australia,Tussock,Therophyte,0.7,not_vegetative,NA,NA,NA,2,5,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,0.5,0.7,0.3,0.3,0.3,0.3,6e-5,Wind,hermaphrodite,NA,Bruhl 1995/ePIC/NSW Flora Online/FloraBase,NA,NA
Cyperus digitatus,NA,Tussock,Hemicryophyte Geophyte,1,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e-5,NA,hermaphrodite,NA,Bruhl 1995/ePIC/FloraBase/APNI,NA,NA
Cyperus distans,NA,NA,Hemicryophyte Geophyte,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2e-4,NA,hermaphrodite,NA,Bruhl 1995/ePIC,NA,NA
Cyperus eglobosus,Australia,Tussock,Hemicryophyte,0.5,not_vegetative,NA,NA,NA,NA,1.5,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,NA,1,NA,0.8,NA,0.8,NA,Wind,hermaphrodite,NA,Bruhl 1995/NSW Flora Online,NA,1
Cyperus enervis,Australia,Tussock,Hemicryophyte,0.5,not_vegetative,NA,NA,NA,NA,0.5,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,1.2,1.3,0.7,0.9,0.7,0.9,NA,Wind,hermaphrodite,NA,Bruhl 1995/APNI/NSW Flora Online,NA,NA
Cyperus esculentus,NA,Tussock,Geophyte,0.7,Clonal below ground,NA,NA,NA,3,6,simple,No obvious special uptake strategy,Wind Water,achene,Dry dehiscent or indehsicent without attractant or wing,1.5,1.8,0.8,0.8,0.8,0.8,1.6e-4,Wind,hermaphrodite,NA,Bruhl 1995/PIER/ePIC/Mosango et al. 2001/APNI/NSW Flora Online,Clonal below ground,NA
Cyperus exaltatus,Australia,Tussock,Hemicryophyte Geophyte,1.8,not_vegetative,NA,NA,NA,5,15,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,0.6,0.8,0.3,0.5,0.3,0.5,7e-5,Wind,hermaphrodite,NA,Bruhl 1995/APNI/NSW Flora Online/ePIC,NA,NA
Cyperus flaccidus,Australia,Tussock,Therophyte,0.2,not_vegetative,NA,NA,NA,1,2,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,NA,0.5,NA,0.3,NA,0.3,NA,Wind,hermaphrodite,NA,Bruhl 1995/APNI/NSW Flora Online/FloraBase,NA,NA
Cyperus flavidus,Australia,Tussock,Therophyte Hemicryophyte,0.6,not_vegetative,NA,NA,NA,1,2,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,0.8,1.2,0.4,0.6,NA,NA,NA,Wind,hermaphrodite,NA,Bruhl 1995/APNI/NSW Flora Online,NA,NA
Cyperus fulvus,Australia,Tussock,Hemicryophyte,0.5,not_vegetative,NA,NA,NA,NA,6,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,1.5,2,0.6,0.9,0.6,0.9,NA,Wind,hermaphrodite,NA,Bruhl 1995/APNI/NSW Flora Online,NA,NA
Cyperus gilesii,Australia,Tussock,Therophyte Hemicryophyte,0.35,not_vegetative,NA,NA,NA,NA,4.5,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,2,2.5,0.3,0.5,0.3,0.5,NA,Wind,hermaphrodite,NA,Bruhl 1995/NSW Flora Online,NA,NA
Cyperus gracilis,Australia,Tussock,Hemicryophyte,0.4,not_vegetative,NA,NA,NA,NA,1,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,NA,1.2,NA,0.8,NA,0.8,NA,Wind,hermaphrodite,NA,Bruhl 1995/NSW Flora Online,NA,1
Cyperus gunnii subsp. novae-hollandiae,NA,NA,Hemicryophyte Geophyte,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-5,Wind,hermaphrodite,NA,Bruhl 1995/ePIC,NA,NA
Cyperus gymnocaulos,NA,Tussock,Hemicryophyte Geophyte,1,Clonal below ground,NA,NA,NA,NA,NA,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,NA,1,0.5,0.7,0.5,0.7,1.1e-4,Wind,hermaphrodite,NA,Bruhl 1995/ePIC/NSW Flora Online/FloraBase,Clonal below ground,NA
Cyperus haspan,Australia,Tussock,Therophyte Hemicryophyte,0.8,Clonal below ground,NA,NA,NA,2,5,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,0.4,0.8,NA,0.4,NA,0.4,7e-5,Wind,hermaphrodite,NA,Bruhl 1995/APNI/NSW Flora Online/FloraBase/ePIC,Clonal below ground,NA
Cyperus haspan subsp. haspan,Australia,Tussock,NA,0.4,Clonal below ground,NA,NA,NA,NA,NA,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,0.4,0.5,NA,NA,NA,NA,NA,Wind,hermaphrodite,NA,Bruhl 1995/NSW Flora Online/FloraBase,Clonal below ground,1
Cyperus haspan subsp. juncoides,Australia,Tussock,Hemicryophyte Geophyte,1,Clonal below ground,NA,NA,NA,NA,NA,simple,NA,NA,nut,Dry dehiscent or indehsicent without attractant or wing,0.5,0.8,NA,NA,NA,NA,NA,Wind,hermaphrodite,NA,Bruhl 1995/NSW Flora Online/FloraBase,Clonal below ground,1
Cyperus holoschoenus,NA,Tussock,Hemicryophyte Geophyte,1.5,Clonal below ground,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7e-4,Wind,hermaphrodite,NA,Bruhl 1995/APNI/FloraBase/ePIC,Clonal below ground,NA
Cyperus hyalinus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/APNI,NA,NA
Cyperus imbecillis,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus involucratus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus iria,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus isabellinus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus javanicus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus kyllingia,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus laevigatus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus laevis,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
Cyperus laxus,NA,NA,NA,NA,not_vegetative,NA,NA,NA,NA,NA,simple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hermaphrodite,NA,Bruhl 1995/,NA,NA
