character,unit_in,unit_checked,unit_standard,traitname_short,dataset_id
water concentration per unit dry mass,g/g,g/g,g/g,leaf_water_content_per_mass,23
dispersal mode,,,,dispersal_syndrome,24
flowering season,,,,flowering_time,24
growth form,,,,plant_growth_form,24
longevity,,,,life_history,24
NT,,,,NA,24
plant maximum height,m,m,m,plant_height_max,24
seritony,,,,serotiny,24
dispersal mode,,,,dispersal_syndrome,25
growth form,,,,plant_growth_form,25
lineage,,,,lineage,25
seed mass,mg,mg,mg,seed_mass,25
dispersal mode,,,,dispersal_syndrome,26
dispersal structures fresh weight,mg,mg,mg,dispersal_structures_fresh_mass,26
growth form,,,,plant_growth_form,26
height,cm,cm,m,plant_height,26
dispersal mode,,,,dispersal_syndrome,27
growth form,,,,plant_growth_form,27
height,cm,cm,m,plant_height,27
leaf area,mm2,mm2,mm2,leaf_area,27
longevity,year,year,year,lifespan,27
seed mass,mg,mg,mg,seed_mass,27
leaf area,mm2,mm2,mm2,leaf_area,28
leaf type,,,,leaf_type,28
specific leaf area,m2kg,m2kg,mm2/mg,specific_leaf_area,28
stem area,mm,mm,mm2,stem_cross_section_area,28
stem area no bark,mm,mm,mm2,stem_cross_section_area,28
stem density,g/m3,g/cm3,mg/mm3,wood_density,28
wood density,g/cm3,g/cm3,mg/mm3,wood_density,28
aquatic,,,,aquatic,29
dispersal appendage,,,,dispersal_appendage,29
flowering time,,,,flowering_time,29
fruiting time,,,,fruiting_time,29
glacous,,,,glaucous,29
growth form,,,,plant_growth_form,29
leaf length (range),mm,mm,mm,leaf_length_range,29
leaf longevity,,,,leaf_phenology,29
leaf shape,,,,leaf_shape,29
leaf type,,,,leaf_type,29
leaf width (range),mm,mm,mm,leaf_width_range,29
longevity,,,,life_history,29
maximum height,m,m,m,plant_height_max,29
seed depth (range),mm,mm,mm,seed_depth_range,29
seed diameter (range),mm,mm,mm,seed_breadth_range,29
seed length (range),mm,mm,mm,seed_length_range,29
seed shape,,,,seed_shape,29
succulent,,,,succulent,29
leaf area,mm2,mm2,mm2,leaf_area,30
leaf mass per area,,g/m2,mm2/mg,leaf_mass_per_area,30
plant height,m,m,m,plant_height,30
root wood density,g/cm3,g/cm3,g/cm3,root_wood_density,30
stem wood density,g/cm3,g/cm3,mg/mm3,wood_density,30
growth form,,,,plant_growth_form,31
lamina thickness,mm,mm,mm,leaf_thickness,31
leaf area,cm2,cm2,mm2,leaf_area,31
leaf longevity,,,,leaf_phenology,31
leaf N per area,g/m2,g/m2,g/m2,leaf_N_per_area,31
leaf N per mass,%,%,mg/g,leaf_N_per_dry_mass,31
leaf P per area,g/m2,g/m2,g/m2,leaf_P_per_area,31
leaf P per mass,%,%,mg/g,leaf_P_per_dry_mass,31
leaf type,,,,leaf_type,31
nitrogen fixer,,,,nitrogen_fixing,31
specific leaf area,cm2/g,cm2/g,mm2/mg,specific_leaf_area,31
13-C,,parts per 1000,per mille,leaf_delta13C,32
15-N,,parts per 1000,per mille,leaf_delta15N,32
aarea,umol m-2 s-1,umol m-2 s-1,umol/m2/s,photosynthetic_rate_per_area,32
amass,nmol g-1 s-1,nmol g-1 s-1,umol/g/s,photosynthetic_rate_per_dry_mass,32
growth form,,,,plant_growth_form,32
gs,mol m-2 s-1,mol m-2 s-1,mmol/m2/s,stomatal_conductance,32
k_area,,g/m2,g/m2,leaf_K_per_area,32
k_mass,,%,mg/g,leaf_K_per_dry_mass,32
leaf area,cm2,cm2,mm2,leaf_area,32
leaf form,,,,leaf_compoundness,32
leaf longevity,,,month,leaf_lifespan,32
leaf mass area,g/m2,g/m2,mm2/mg,leaf_mass_per_area,32
leaf thickness,microns,microns,mm,leaf_thickness,32
leaf type,,,,leaf_type,32
longevity,,,,leaf_phenology,32
n_area,,g/m2,g/m2,leaf_N_per_area,32
n_mass,,%,mg/g,leaf_N_per_dry_mass,32
nitrogen fixer,,,,nitrogen_fixing,32
p_area,,g / m2,g/m2,leaf_P_per_area,32
p_mass,,%,mg/g,leaf_P_per_dry_mass,32
photosynthetic pathway,,,,photosynthetic_pathway,32
plant height,,m,m,plant_height,32
Rd,umol m-2 s-1,umol m-2 s-1,umol/m2/s,leaf_dark_respiration_per_area,32
specific leaf area,cm2/g,cm2/g,mm2/mg,specific_leaf_area,32
W leaf area,cm2,cm2,mm2,leaf_area,32
water content,%,%,,NA,32
wood density mean,,g / cm3,mg/mm3,wood_density,33
wood density standard deviation,,,mg/mm3,wood_density_SD,33
wood density (dry mass/fresh volume),g/cm3,g/cm3,mg/mm3,wood_density,34
growth form,,,,plant_growth_form,35
leaf shape,,,,leaf_shape,35
leaf thickness,mm,mm,mm,leaf_thickness,35
longevity,,,,leaf_phenology,35
Narea,,g / m2,g/m2,leaf_N_per_area,35
nitrogen fixer,,,,nitrogen_fixing,35
Nmass,%,%,mg/g,leaf_N_per_dry_mass,35
Parea,,g / m2,g/m2,leaf_P_per_area,35
Pmass,%,%,mg/g,leaf_P_per_dry_mass,35
specific leaf area,,cm2 / g,mm2/mg,specific_leaf_area,35
N mass,%,%,mg/g,leaf_N_per_dry_mass,36
P mass,%,%,mg/g,leaf_P_per_dry_mass,36
N mass,,%,mg/g,leaf_N_per_dry_mass,37
P mass,,%,mg/g,leaf_P_per_dry_mass,37
specific leaf area,,g m-2,mm2/mg,specific_leaf_area,38
carbon-13,%,parts per 1000,per mille,leaf_delta13C,39
leaf area,mm2,mm2,mm2,leaf_area,39
leaf mass area,gm2,gm2,mm2/mg,leaf_mass_per_area,39
plant height,m,m,m,plant_height,39
wood density,g/cm3,g/cm3,mg/mm3,wood_density,39
Aa,?molCO2,molCO2,,NA,40
Am,nmolCO2,nmolCO2,,photosynthetic_rate_per_area,40
gs,?molH2O,umolH2O/m2/s,mmol/m2/s,stomatal_conductance,40
Karea,mgK/cm2,mgK/cm2,g/m2,leaf_K_per_area,40
Kmass,mgK/g,mgK/g,mg/g,leaf_K_per_dry_mass,40
LAR,mm2/mg,mm2/mg,mm2/mg,leaf_area_ratio,40
LDMC,mg/g,mg/g,g/g,leaf_dry_matter_content,40
leaf area,cm2,cm2,mm2,leaf_area,40
LMF,g/g,g/g,g/g,leaf_mass_fraction,40
LWCa,gH2O/cm2,gH2O/cm2,gH2O/cm2,leaf_water_content_per_area,40
Narea,mgN/cm2,mgN/cm2,g/m2,leaf_N_per_area,40
Nmass,mgN/g,mgN/g,mg/g,leaf_N_per_dry_mass,40
Parea,mgP/cm2,mgP/cm2,g/m2,leaf_P_per_area,40
Pmass,mgP/g,mgP/g,mg/g,leaf_P_per_dry_mass,40
PNUE,?molCO2,umolCO2/s/gN,umolCO2/s/gN,leaf_PNUE,40
PWUE,?molCO2,?molCO2,umolCO2/umol H20,leaf_PWUE,40
specific leaf area,mm2/mg,mm2/mg,mm2/mg,specific_leaf_area,40
Aa,?molCO2/m2/s,umolCO2/m2/s,umol/m2/s,photosynthetic_rate_per_area,41
Am,nmolCO2/g/s,nmolCO2/g/s,umol/g/s,photosynthetic_rate_per_dry_mass,41
continent,,,,NA,41
family,,,,NA,41
gs,?molH2O/m2/s,umolH2O/m2/s,mmol/m2/s,stomatal_conductance,41
Karea,mgK/cm2,mgK/cm2,g/m2,leaf_K_per_area,41
Kmass,mgK/g,mgK/g,mg/g,leaf_K_per_dry_mass,41
LAR,mm2/mg,mm2/mg,mm2/mg,leaf_area_ratio,41
LDMC,mg/g,mg/g,g/g,leaf_dry_matter_content,41
leaf area,cm2,cm2,mm2,leaf_area,41
LMF,g/g,g/g,g/g,leaf_mass_fraction,41
longevity,,,,leaf_phenology,41
LWCa,gH2O/cm2,gH2O/cm2,gH2O /cm2,leaf_water_content_per_area,41
Mass20,g,g,,NA,41
Narea,mgN/cm2,mgN/cm2,g/m2,leaf_N_per_area,41
Nmass,mgN/g,mgN/g,mg/g,leaf_N_per_dry_mass,41
order,,,,NA,41
Parea,mgP/cm2,mgP/cm2,g/m2,leaf_P_per_area,41
Pmass,mgP/g,mgP/g,mg/g,leaf_P_per_dry_mass,41
PNUE,?molCO2/s/gN,umolCO2/s/gN,umolCO2/s/gN,leaf_PNUE,41
PWUE,?,umol CO2 / umol H2O,umolCO2/umolH20,leaf_PWUE,41
specific leaf area,mm2/mg,mm2/mg,mm2/mg,specific_leaf_area,41
specific leaf area,cm2/g,cm2/g,mm2/mg,specific_leaf_area,42
leaf area,cm2,cm2,mm2,leaf_area,43
leaf mass area,g/m2,g/m2,mm2/mg,leaf_mass_per_area,43
dispersal mechanism,,,,dispersal_syndrome,44
growth form,,,,plant_growth_form,44
leaf area,cm2,cm2,mm2,leaf_area,45
leaf mass area,g/m2,g/m2,mm2/mg,leaf_mass_per_area,45
plant height,m,m,m,plant_height,45
plant height,m,m,m,plant_height,46
specific leaf area,cm2/g,cm2/g,mm2/mg,specific_leaf_area,46
leaf mass area,g/m2,g/m2,mm2/mg,leaf_mass_per_area,47
longevity,,,,life_history,48
nitrogen fixer,,,,nitrogen_fixing,48
regeneration strategy,,,,regen_strategy,48
root structure,,,,root_structure,48
growth form,,,,plant_growth_form,49
leaf length maximum,mm,mm,mm,leaf_length_max,49
leaf length minimum,mm,mm,mm,leaf_length_min,49
leaf lobed,,,,leaf_lobed,49
leaf longevity,,,,leaf_phenology,49
leaf type,,,,leaf_type,49
leaf width maximum,mm,mm,mm,leaf_width_max,49
leaf width minimum,mm,mm,mm,leaf_width_min,49
plant height,m,m,m,plant_height,49
seed breadth,mm,mm,mm,seed_breadth,49
seed length maximum,mm,mm,mm,seed_length_max,49
seed length minimum,mm,mm,mm,seed_length_min,49
seed size < 10mm,,,,seed_size_less_than_10mm,49
seed size > 10mm,,,,seed_size_over_10mm,49
seed width maximum,mm,mm,mm,seed_width_max,49
seed width minimum,mm,mm,mm,seed_width_min,49
wood density,?,kg m-3,mg/mm3,wood_density,49
wood density (family),?,?,,wood_density,49
wood density (genus),?,?,,wood_density,49
15-N,?,parts per 1000,per mille,leaf_delta15N,50
delta 13C,?,unknown,per mille,leaf_delta13C,50
growth form,,,,plant_growth_form,50
longevity,,,,leaf_phenology,50
nitrogen fixer,,,,nitrogen_fixing,50
Nmass,?,%,mg/g,leaf_N_per_dry_mass,50
photosynthetic pathway,,,,photosynthetic_pathway,50
Pmass,?,%,mg/g,leaf_P_per_dry_mass,50
leaf longevity,,,,leaf_phenology,51
longevity,,,,life_history,51
nitrogen fixer,,,,nitrogen_fixing,51
Nmass,,%,mg/g,leaf_N_per_dry_mass,51
photosynthetic pathway,,,,photosynthetic_pathway,51
plant height maximum,cm,cm,m,plant_height_max,51
seed mass,mg,mg,mg,seed_mass,51
specific leaf area,cm2/g,cm2/g,mm2/mg,specific_leaf_area,51
Carea,?,g/m2,g/m2,leaf_C_per_area,52
Cmass,?,mg/g,mg/g,leaf_C_per_dry_mass,52
compound_l,,,,leaf_compoundness,52
evergreen,,,,leaf_phenology,52
latitude,,,,NA,52
leaf area,?,mm2,mm2,leaf_area,52
longitude,,,,NA,52
Narea,?,g/m2,g/m2,leaf_N_per_area,52
nitrogen fixer,,,,nitrogen_fixing,52
Nmass,?,mg /g,mg/g,leaf_N_per_dry_mass,52
Parea,?,g / m2,g/m2,leaf_P_per_area,52
photosynth,,,,NA,52
plant height,m,m,m,plant_height,52
Pmass,?,mg /g,mg/g,leaf_P_per_dry_mass,52
seed mass,?,mg,mg,seed_mass,52
specific leaf area,mm2/mg,mm2/mg,mm2/mg,specific_leaf_area,52
woodiness,,,,woodiness,52
seed_mass,mg,mg,mg,seed_mass,53
flowering time,,,,flowering_time,54
habit,,,,growth_habit,54
leaf length maximum,mm,mm,mm,leaf_length_max,54
leaf length minimum,mm,mm,mm,leaf_length_min,54
leaf width maximum,mm,mm,mm,leaf_width_max,54
leaf width minimum,mm,mm,mm,leaf_width_min,54
longevity,,,,life_history,54
photosynthetic pathway,,,,photosynthetic_pathway,54
plant height maximum,m,m,m,plant_height_max,54
plant height minimum,m,m,m,plant_height_min,54
seed length maximum,mm,mm,mm,seed_length_max,54
seed length minimum,mm,mm,mm,seed_length_min,54
seed mass,mg,mg,mg,seed_mass,54
growth form,,,,plant_growth_form,55
leaf length maximum,mm,mm,mm,leaf_length_max,55
leaf length minimum,mm,mm,mm,leaf_length_min,55
leaf shape,,,,leaf_shape,55
leaf type,,,,leaf_type,55
leaf width maximum,mm,mm,mm,leaf_width_max,55
leaf width minimum,mm,mm,mm,leaf_width_min,55
longevity,,,,life_history,55
plant height maximum,m,m,m,plant_height_max,55
plant height minimum,m,m,m,plant_height_min,55
flowering time,,,,flowering_time,56
growth form,,,,plant_growth_form,56
leaf length maximum,cm,cm,mm,leaf_length_max,56
leaf length minimum,cm,cm,mm,leaf_length_min,56
leaf longevity,,,,leaf_phenology,56
leaf shape,,,,leaf_shape,56
leaf type,,,,leaf_type,56
leaf width maximum,cm,cm,mm,leaf_width_max,56
leaf width minimum,cm,cm,mm,leaf_width_min,56
longevity,,,,life_history,56
plant height,m,m,m,plant_height,56
plant height minimum,m,m,m,plant_height_min,56
seed breadth,mm,mm,mm,seed_breadth,56
seed length,mm,mm,mm,seed_length,56
seed shape,,,,seed_shape,56
seed width,mm,mm,mm,seed_width,56
dispersal mechanism,,,,dispersal_syndrome,57
growth form,,,,plant_growth_form,57
LDMC,mg/g,mg/g,g/g,leaf_dry_matter_content,57
LDMC,%,%,g/g,leaf_dry_matter_content,57
leaf area,mm2,mm2,mm2,leaf_area,57
longevity,,,,life_history,57
plant height,cm,cm,m,plant_height,57
seed mass,mg,mg,mg,seed_mass,57
specific leaf area,mg/mm2,mg/mm2,mm2/mg,specific_leaf_area,57
growth form,,,,plant_growth_form,58
leaf length extreme maximum,mm,mm,mm,leaf_length_max_extreme,58
leaf length extreme minimum,mm,mm,mm,leaf_length_min_extreme,58
leaf length maximum,mm,mm,mm,leaf_length_max,58
leaf length minimum,mm,mm,mm,leaf_length_min,58
leaf shape,,,,leaf_shape,58
leaf type,,,,leaf_type,58
leaf width extreme maximum,mm,mm,mm,leaf_width_max_extreme,58
leaf width extreme minimum,mm,mm,mm,leaf_width_min_extreme,58
leaf width maximum,mm,mm,mm,leaf_width_max,58
leaf width minimum,mm,mm,mm,leaf_width_min,58
plant height extreme maximum,m,m,m,plant_height_max_extreme,58
plant height maximum,m,m,m,plant_height_max,58
plant height minimum,m,m,m,plant_height_min,58
seed breadth maximum,mm,mm,mm,seed_breadth_max,58
seed breadth minimum,mm,mm,mm,seed_breadth_min,58
seed length maximum,mm,mm,mm,seed_length_max,58
seed length minimum,mm,mm,mm,seed_length_min,58
seed shape,,,,seed_shape,58
seed width maximum,mm,mm,mm,seed_width_max,58
seed width minimum,mm,mm,mm,seed_width_min,58
"wood density, oven dry mass/fresh volume",g/cm3,g/cm3,mg/mm3,wood_density,59
dispersal mechanism,,,,dispersal_syndrome,60
flowering time,,,,flowering_time,60
fruiting time,,,,fruiting_time,60
growth form,,,,plant_growth_form,60
leaf length,mm,mm,mm,leaf_length,60
leaf longevity,,,,leaf_phenology,60
leaf shape,,,,leaf_shape,60
leaf type,,,,leaf_type,60
leaf width,mm,mm,mm,leaf_width,60
longevity,,,,life_history,60
plant height,m,m,m,plant_height,60
seed breadth,mm,mm,mm,seed_breadth,60
seed length,mm,mm,mm,seed_length,60
seed shape,,,,seed_shape,60
seed width,mm,mm,mm,seed_width,60
Aarea,?,umolCO2/m2/s,umol/m2/s,photosynthetic_rate_per_area,61
Amass,umol/kg/s,umol/kg/s,umol/g/s,photosynthetic_rate_per_dry_mass,61
bark thickness (bark/whole stem),,,mm,bark_thickness,61
d13C,?,unknown,per mille,leaf_delta13C,61
E,mmol/m2/s,mmol/m2/s,mmol/m2/s,leaf_elasticModulus,61
Kl,10^4 x kg m-1 s-1 MPa -1,10^4 x kg m-1 s-1 MPa -1,10^4xkg/m/s/Mpa,leaf_specific_conductivity,61
Ksap,kg m-1 s-1 MPa -1,kg m-1 s-1 MPa -1,kg/m/s/Mpa,sapwood_specific_conductivity,61
LA/SA,m2/m2,m2/m2,m2/m2,leafArea_per_sapwood_area,61
leaf area,cm2,cm2,mm2,leaf_area,61
leaf mass area,g/m2,g/m2,mm2/mg,leaf_mass_per_area,61
plant height maximum,m,m,m,plant_height_max,61
PSImd,MPa,MPa,,NA,61
PSIpd,Mpa,Mpa,,NA,61
Rarea,?,mmol CO2 m-2 s-1,mmol/m2/s,leaf_dark_respiration_per_area,61
Rmass,umol/kg/s,umol/kg/s,umol k/g /s,leaf_dark_respiration_per_dry_mass,61
SA,mm,mm,mm2,stem_cross_section_area,61
wood density (Kasia),?,g / cm3,mg/mm3,wood_density,61
wood density (Sean),?,g / cm3,mg/mm3,wood_density,61
WUE,mmol CO2/mol H2O/m2/s,mmol CO2/mol H2O/m2/s,,water_use_efficiency,61
d13C,?,unknown,per mille,leaf_delta13C,62
d15N,?,unknown,per mille,leaf_delta15N,62
leaf carbon,%,%,mg/g,leaf_C_per_dry_mass,62
leaf nitrogen,?,mg /g,mg/g,leaf_N_per_dry_mass,62
leaf phosphorous,?,ug / g,mg/g,leaf_P_per_dry_mass,62
Aarea,?,umol/m2/s,umol/m2/s,photosynthetic_rate_per_area,63
Amass,?,nmol g-1 s-1,umol/g/s,photosynthetic_rate_per_dry_mass,63
growth form,,,,plant_growth_form,63
leaf area,cm2,cm2,mm2,leaf_area,63
leaf chlorophyll,umol/g,umol/g,umol /g,leaf_chlorophyll_per_dry_mass,63
leaf longevity,,,,leaf_phenology,63
leaf longevity,month,month,month,leaf_lifespan,63
leaf thickness,mm,mm,mm,leaf_thickness,63
leaf type,,,,leaf_type,63
Narea,?,g/m2,g/m2,leaf_N_per_area,63
nitrogen fixer,,,,nitrogen_fixing,63
Nmass,?,%,mg/g,leaf_N_per_dry_mass,63
Parea,?,g / m2,g/m2,leaf_P_per_area,63
photosynthetic pathway,,,,photosynthetic_pathway,63
Pmass,?,%,mg/g,leaf_P_per_dry_mass,63
specific leaf area,cm2/g,cm2/g,mm2/mg,specific_leaf_area,63
water content (saturated),gH2O/gDW,gH2O/gDW,gH2O/gDW,leaf_water_content_per_mass,63
water content?,%,%,%,leaf_water_content_per_mass,63
leaf area,cm2,cm2,mm2,leaf_area,64
leaf mass area,mg/cm2,mg/cm2,mm2/mg,leaf_mass_per_area,64
leaf mass area standard error,mg/cm2,mg/cm2,mm2/mg,leaf_mass_per_area_SE,64
Aarea,umol/m2/s,umol/m2/s,umol/m2/s,photosynthetic_rate_per_area,65
Amass,nmol/g/s,nmol/g/s,umol/g/s,photosynthetic_rate_per_dry_mass,65
growth form,,,,plant_growth_form,65
leaf longevity,,,,leaf_phenology,65
leaf type,,,,leaf_type,65
Narea,g/m2,g/m2,g/m2,leaf_N_per_area,65
nitrogen fixer,,,,nitrogen_fixing,65
Nmass,%,%,mg/g,leaf_N_per_dry_mass,65
photosynthetic pathway,,,,photosynthetic_pathway,65
specific leaf area,cm2/g,cm2/g,mm2/mg,specific_leaf_area,65
Aarea,umol/m2/s,umol/m2/s,umol/m2/s,photosynthetic_rate_per_area,66
Amass,nmol/g/s,nmol/g/s,umol/g/s,photosynthetic_rate_per_dry_mass,66
growth form,,,,plant_growth_form,66
leaf area,,cm2,mm2,leaf_area,66
leaf form,,,,leaf_compoundness,66
leaf longevity,,,,leaf_phenology,66
longevity,,,,leaf_phenology,66
Narea,g/m2,g/m2,g/m2,leaf_N_per_area,66
nitrogen fixer,,,,nitrogen_fixing,66
Nmass,%,%,mg/g,leaf_N_per_dry_mass,66
photosynthetic pathway,,,,photosynthetic_pathway,66
Rdarea,?,mmol CO2 m-2 s-1,umol/m2/s,leaf_dark_respiration_per_area,66
Rdmass,?,mmol CO2 g-1 s-1,mmol/g /s,leaf_dark_respiration_per_dry_mass,66
specific leaf area,cm2/g,cm2/g,mm2/mg,specific_leaf_area,66
growth form,,,,plant_growth_form,67
leaf area,mm2,mm2,mm2,leaf_area,67
leaf type,,,,leaf_type,67
plant height maximum,m,m,m,plant_height_max,67
specific leaf area,cm2/g,cm2/g,mm2/mg,specific_leaf_area,67
growth form,,,,plant_growth_form,68
leaf area,cm2,cm2,mm2,leaf_area,68
leaf longevity,,,,leaf_phenology,68
leaf shape,,,,leaf_shape,68
leaf type,,,,leaf_type,68
leaflet area,cm2,cm2,mm2,leaf_area,68
longevity,,,,life_history,68
nitrogen fixer,,,,nitrogen_fixing,68
photosynthetic pathway,,,,photosynthetic_pathway,68
woodiness,,,,woodiness,68
A,nmol/g/s,nmol/g/s,umol/g/s,photosynthetic_rate_per_dry_mass,69
nitrogen?,%,%,mg/g,leaf_N_per_dry_mass,69
specific leaf area,m2/kg,m2/kg,mm2/mg,specific_leaf_area,69
leaf area,mm2,mm2,mm2,leaf_area,70
leaf mass area,?,ug / mm2,mm2/mg,leaf_mass_per_area,70
leaf N,mg/g,mg/g,mg/g,leaf_N_per_dry_mass,70
leaf P,mg/g,mg/g,mg/g,leaf_P_per_dry_mass,70
leaf thickness,mm,mm,mm,leaf_thickness,70
specific leaf area,?,cm2/g,mm2/mg,specific_leaf_area,70
leaf N,%,%,mg/g,leaf_N_per_dry_mass,71
specific leaf area,cm2/g,cm2/g,mm2/mg,specific_leaf_area,71
altitude,m,m,m,altitude,72
easting,m,m,m,easting,72
foliage height,cm,cm,m,plant_height,72
growth form,,,,plant_growth_form,72
LDMC,mg/g-1,mg/g-1,g/g,leaf_dry_matter_content,72
leaf area,mm2,mm2,mm2,leaf_area,72
northing,m,m,m,northing,72
seed mass (mean),mg,mg,mg,seed_mass,72
specific leaf area,mm2/mg-1,mm2/mg-1,mm2/mg,specific_leaf_area,72
Aarea,?,?,umol/m2/s,photosynthetic_rate_per_area,73
