character,unit_in,unit_checked,unit_standard,data_type,conversion,traitname_short,traitname_full,dataset_id
seed breadth,mm,mm,mm,N,1,seed_breadth,Seed breadth,6
seed length,mm,mm,mm,N,1,seed_length,Seed length,6
seed mass,mg,mg,mg,N,1,seed_mass,Seed dry mass,6
seed width,mm,mm,mm,N,1,seed_width,Seed width,6
leaf area,mm2,mm2,mm2,N,1,leaf_area,Leaf area,7
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,8
leaf area,mm2,mm2,mm2,N,1,leaf_area,Leaf area,8
leaf dry mass,g,g,mg,N,1000,leaf_dry_mass,Leaf dry mass,8
leaf width,mm,mm,mm,N,1,leaf_width,Leaf width,8
plant height,m,m,m,N,1,plant_height,Plant height,8
specific leaf area,mm2/g,mm2/g,mm2/mg,N,1,specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",8
fire response,,,,C,NA,fire_response,Plant response to fire,9
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,9
longevity,,year,year,N,1,lifespan,Life span (years),9
origin,,,,C,NA,origin,"Origin (native, alien)",9
dispersal mode,,,,C,NA,dispersal_syndrome,Dispersal syndrome,10
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,10
leaf area,mm2,mm2,mm2,N,1,leaf_area,Leaf area,10
plant height,mm,mm,m,N,0.001,plant_height,Plant height,10
seed mass,mg,mg,mg,N,1,seed_mass,Seed dry mass,10
specific leaf area,mm2/mg,mm2/mg,mm2/mg,N,1,specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",10
seed mass reserve,mg,mg,mg,N,1,seed_mass_reserve,Seed dry mass reserve,11
seed mass reserve percent,%,%,%,N,1,seed_mass_reserve_percent,Seed dry mass reserve percent,11
seed mass whole,mg,mg,mg,N,1,seed_mass,Seed dry mass,11
seed mass whole n,,,mg,N,NA,NA,NA,11
seed mass whole standard deviation,,,mg,N,NA,NA,NA,11
seed provenance,,,,C,NA,seed_provenance,Seed provenance,11
% leaf N,%,%,mg/g,N,10,leaf_N_per_dry_mass,Leaf nitrogen (N) content per leaf dry mass,12
% leaf P,%,%,mg/g,N,10,leaf_P_per_dry_mass,Leaf phosphorus (P) content per leaf dry mass,12
leaf area,cm2,cm2,mm2,N,100,leaf_area,Leaf area,12
leaf N,,%,mg/g,N,10,leaf_N_per_dry_mass,Leaf nitrogen (N) content per leaf dry mass,12
leaf P,,%,mg/g,N,10,leaf_P_per_dry_mass,Leaf phosphorus (P) content per leaf dry mass,12
specific leaf area,g/cm2,cm2/g,mm2/mg,N,0.1,specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",12
leaf area,mm2,mm2,mm2,N,1,leaf_area,Leaf area,13
leaf N,%,%,mg/g,N,10,leaf_N_per_dry_mass,Leaf nitrogen (N) content per leaf dry mass,13
leaf N area,g/m2,g/m2,g/m2,N,1,leaf_N_per_area,Leaf nitrogen (N) content per leaf area,13
leaf P,%,%,mg/g,N,10,leaf_P_per_dry_mass,Leaf phosphorus (P) content per leaf dry mass,13
leaf P area,g/m2,g/m2,g/m2,N,1,leaf_P_per_area,Leaf phosphorus (P) content per leaf area,13
plant maximum height,m,m,m,N,1,plant_height_max,Plant height maximum,13
specific leaf area,cm2/g,mm2 / mg,mm2/mg,N,1,specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",13
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,14
leaf area,cm2,cm2,mm2,N,100,leaf_area,Leaf area,14
leaf form,,,,C,NA,leaf_compoundness,Leaf compoundness,14
leaf longevity,,,,C,NA,leaf_phenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",14
leaf type,,,,C,NA,leaf_type,"Leaf type (broadleaf, needle, article)",14
N fixer,,,,C,NA,nitrogen_fixing,Plant nitrogen fixation capacity,14
photosynthetic pathway,,,,C,NA,photosynthetic_pathway,Photosynthetic pathway,14
leaf area,cm2,cm2,mm2,N,100,leaf_area,Leaf area,15
leaf mass per area,g/m2,g/m2,mm2/mg,N,1,leaf_mass_per_area,Leaf dry mass per area,16
leaf size,mm2,mm2,mm2,N,1,leaf_area,Leaf area,16
longevity,,,,C,NA,leaf_phenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",16
dispersal appendage,,,,C,NA,dispersal_appendage,Dispersal unit appendages,17
dispersal mode,,,,C,NA,dispersal_syndrome,Dispersal syndrome,17
fruit type,,,,C,NA,fruit_type,Fruit type,17
seed volume,mm3,mm3,mm3,N,1,seed_volume,Seed volume,17
cell wall fraction mean,,,dimensionless,N,1,leaf_cell_wall_fraction,Leaf cell wall fraction (fraction of cell wall material recovered from total leaf biomass),18
cell wall fraction standard error,,,dimensionless,N,1,leaf_cell_wall_fraction_SE,Leaf cell wall fraction (fraction of cell wall material recovered from total leaf biomass) standard error,18
cell wall N concentration mean,mmol/g,mmol/g,mmol/g,N,1,leaf_cell_wall_N,Leaf cell wall nitrogen concentration,18
cell wall N concentration standard error,mmol/g,mmol/g,mmol/g,N,1,leaf_cell_wall_N_SE,Leaf cell wall nitrogen concentration standard error,18
cell wall N fraction mean,,,dimensionless,N,1,leaf_cell_wall_Nfraction,Leaf cell wall nitrogen fraction,18
cell wall N fraction standard error,,,dimensionless,N,1,leaf_cell_wall_Nfraction_SE,Leaf cell wall nitrogen fraction standard error,18
leaf age,,,month,C,1,leaf_age,Leaf age (categorical),18
leaf mass per area mean,g/m2,g/m2,mm2/mg,N,1,leaf_mass_per_area,Leaf dry mass per area,18
leaf mass per area standard error,g/m2,g/m2,mm2/mg,N,1,leaf_mass_per_area_SE,Leaf dry mass per area standard error,18
leaf N mean,mmol/g,mmol/g,mg/g,N,14.0067,leaf_N_per_dry_mass,Leaf nitrogen (N) content per leaf dry mass,18
leaf N standard error,mmol/g,mmol/g,mg/g,N,1,leaf_N_per_dry_mass_SE,Leaf nitrogen (N) content per leaf dry mass standard error,18
photosynthetic pathway,,,,C,NA,photosynthetic_pathway,Photosynthetic pathway,18
thickness mean,mm,mm,mm,N,1,leaf_thickness,Leaf thickness,18
thickness standard error,mm,mm,mm,N,1,leaf_thickness_SE,Leaf thickness standard error,18
water content mean,mol/m2,mol/m2,mol/m2,N,1,leaf_water_content_per_area,Leaf water content per area,18
water content standard error,mol/m2,mol/m2,mol/m2,N,1,leaf_water_content_per_area_SE,Leaf water content per area standard error,18
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,19
leaf area,cm2,cm2,mm2,N,100,leaf_area,Leaf area,19
leaf dry matter content,mg/g,mg/g,g/g,N,0.001,leaf_dry_matter_content,"Leaf dry mass per leaf fresh mass (Leaf dry matter content, LDMC)",19
origin,,,,C,NA,origin,"Origin (native, alien)",19
photosynthetic pathway,,,,C,NA,photosynthetic_pathway,Photosynthetic pathway,19
plant maximum height,m,m,m,N,1,plant_height_max,Plant height maximum,19
specific leaf area,,mm2 mg-1,mm2/mg,N,1,specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",19
specific leaf area,cm2/g,cm2/g,mm2/mg,N,0.1,specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",20
wd,g/cm3,g/cm3,mg/mm3,N,1,wood_density,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",20
leaf dry matter content,g,g/g,g/g,N,1,leaf_dry_matter_content,"Leaf dry mass per leaf fresh mass (Leaf dry matter content, LDMC)",21
leaf mass per area,,unknown,mm2/mg,N,1000,leaf_mass_per_area,Leaf dry mass per area,21
plant height,cm,cm,m,N,0.01,plant_height,Plant height,21
specific leaf area,,mm2/mg,mm2/mg,N,1,specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",21
lineage,,,,C,NA,lineage,"Lineage (dicot, monocot)",23
N mass,mg/g,mg/g,mg/g,N,1,leaf_N_per_dry_mass,Leaf nitrogen (N) content per leaf dry mass,23
specific leaf area,cm2/g,?,mm2/mg,N,100,specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",23
water concentration per unit dry mass,g/g,g/g,g/g,N,NA,leaf_water_content_per_mass,Leaf water content per mass,23
dispersal mode,,,,C,NA,dispersal_syndrome,Dispersal syndrome,24
flowering season,,,,C,NA,flowering_time,Plant reproductive phenology timing (flowering),24
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,24
longevity,,,,C,NA,life_history,"Life history (annual, biennial, perennial, ephemeral)",24
NT,,,,NA,NA,NA,NA,24
plant maximum height,m,m,m,N,1,plant_height_max,Plant height maximum,24
seritony,,,,C,NA,serotiny,Serotiny,24
dispersal mode,,,,C,NA,dispersal_syndrome,Dispersal syndrome,25
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,25
lineage,,,,C,NA,lineage,"Lineage (dicot, monocot)",25
seed mass,mg,mg,mg,N,1,seed_mass,Seed dry mass,25
dispersal mode,,,,C,NA,dispersal_syndrome,Dispersal syndrome,26
dispersal structures fresh weight,mg,mg,mg,N,NA,dispersal_structures_fresh_mass,Dispersal structures fresh mass,26
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,26
height,cm,cm,m,N,0.01,plant_height,Plant height,26
dispersal mode,,,,C,NA,dispersal_syndrome,Dispersal syndrome,27
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,27
height,cm,cm,m,N,0.01,plant_height,Plant height,27
leaf area,mm2,mm2,mm2,N,1,leaf_area,Leaf area,27
longevity,year,year,year,N,1,lifespan,Plant lifespan (longevity),27
seed mass,mg,mg,mg,N,1,seed_mass,Seed dry mass,27
leaf area,mm2,mm2,mm2,N,1,leaf_area,Leaf area,28
leaf type,,,,C,NA,leaf_type,"Leaf type (broadleaf, needle, article)",28
specific leaf area,m2kg,m2kg,mm2/mg,N,1,specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",28
stem area,mm,mm,mm2,N,1,stem_cross_section_area,Stem cross-sectional area,28
stem area no bark,mm,mm,mm2,N,1,stem_cross_section_area,Stem cross-sectional area,28
stem density,g/m3,g/cm3,mg/mm3,N,1,wood_density,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",28
wood density,g/cm3,g/cm3,mg/mm3,N,1,wood_density,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",28
aquatic,,,,C,NA,aquatic,Aquatic,29
dispersal appendage,,,,C,NA,dispersal_appendage,Dispersal unit appendages,29
flowering time,,,,C,NA,flowering_time,Plant reproductive phenology timing (flowering),29
fruiting time,,,,C,NA,fruiting_time,Plant reproductive phenology timing (fruiting),29
glacous,,,,C,NA,glaucous,Glaucous,29
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,29
leaf length (range),mm,mm,mm,N,1,leaf_length_range,Leaf length range,29
leaf longevity,,,,C,NA,leaf_phenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",29
leaf shape,,,,C,NA,leaf_shape,Leaf shape,29
leaf type,,,,C,NA,leaf_type,"Leaf type (broadleaf, needle, article)",29
leaf width (range),mm,mm,mm,N,1,leaf_width_range,Leaf width range,29
longevity,,,,C,NA,life_history,"Life history (annual, biennial, perennial, ephemeral)",29
maximum height,m,m,m,N,1,plant_height_max,Plant height maximum,29
seed depth (range),mm,mm,mm,N,2,seed_depth_range,Seed depth range,29
seed diameter (range),mm,mm,mm,N,2,seed_breadth_range,Seed breadth range,29
seed length (range),mm,mm,mm,N,1,seed_length_range,Seed length (range),29
seed shape,,,,C,NA,seed_shape,Seed shape,29
succulent,,,,C,NA,succulent,Succulent,29
leaf area,mm2,mm2,mm2,N,1,leaf_area,Leaf area,30
leaf mass per area,,g/m2,mm2/mg,N,1,leaf_mass_per_area,Leaf dry mass per area,30
plant height,m,m,m,N,1,plant_height,Plant height,30
root wood density,g/cm3,g/cm3,g/cm3,N,1,root_wood_density,Root wood density,30
stem wood density,g/cm3,g/cm3,mg/mm3,N,1,wood_density,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",30
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,31
lamina thickness,mm,mm,mm,N,1,leaf_thickness,Leaf thickness,31
leaf area,cm2,cm2,mm2,N,100,leaf_area,Leaf area,31
leaf longevity,,,,C,NA,leaf_phenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",31
leaf N per area,g/m2,g/m2,g/m2,N,1,leaf_N_per_area,Leaf nitrogen (N) content per leaf area,31
leaf N per mass,%,%,mg/g,N,10,leaf_N_per_dry_mass,Leaf nitrogen (N) content per leaf dry mass,31
leaf P per area,g/m2,g/m2,g/m2,N,1,leaf_P_per_area,Leaf phosphorus (P) content per leaf area,31
leaf P per mass,%,%,mg/g,N,10,leaf_P_per_dry_mass,Leaf phosphorus (P) content per leaf dry mass,31
leaf type,,,,C,NA,leaf_type,"Leaf type (broadleaf, needle, article)",31
nitrogen fixer,,,,C,NA,nitrogen_fixing,Plant nitrogen fixation capacity,31
specific leaf area,cm2/g,cm2/g,mm2/mg,N,0.1,specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",31
13-C,,parts per 1000,per mille,N,1,leaf_delta13C,Leaf carbon (C) isotope signature (delta 13C),32
15-N,,parts per 1000,per mille,N,1,leaf_delta15N,Leaf nitrogen (C) isotope signature (delta 15N),32
aarea,umol m-2 s-1,umol m-2 s-1,umol/m2/s,N,1,photosynthetic_rate_per_area,Leaf photosynthesis rate per leaf area,32
amass,nmol g-1 s-1,nmol g-1 s-1,umol/g/s,N,0.001,photosynthetic_rate_per_dry_mass,Leaf photosynthesis rate per leaf dry mass,32
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,32
gs,mol m-2 s-1,mol m-2 s-1,mmol/m2/s,N,1000,stomatal_conductance,Stomatal conductance,32
k_area,,g/m2,g/m2,N,1,leaf_K_per_area,Leaf potassium (K) content per leaf area,32
k_mass,,%,mg/g,N,10,leaf_K_per_dry_mass,Leaf potassium (K) content per dry mass,32
leaf area,cm2,cm2,mm2,N,100,leaf_area,Leaf area,32
leaf form,,,,C,NA,leaf_compoundness,LeafCompoundness,32
leaf longevity,,,month,N,1,leaf_lifespan,Leaf lifespan (longevity),32
leaf mass area,g/m2,g/m2,mm2/mg,N,1,leaf_mass_per_area,Leaf dry mass per area,32
leaf thickness,microns,microns,mm,N,0.001,leaf_thickness,Leaf thickness,32
leaf type,,,,C,NA,leaf_type,"Leaf type (broadleaf, needle, article)",32
longevity,,,,C,NA,leaf_phenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",32
n_area,,g/m2,g/m2,N,1,leaf_N_per_area,Leaf nitrogen (N) content per leaf area,32
n_mass,,%,mg/g,N,10,leaf_N_per_dry_mass,Leaf nitrogen (N) content per leaf dry mass,32
nitrogen fixer,,,,C,NA,nitrogen_fixing,Plant nitrogen fixation capacity,32
p_area,,g / m2,g/m2,N,1,leaf_P_per_area,Leaf phosphorus (P) content per leaf area,32
p_mass,,%,mg/g,N,10,leaf_P_per_dry_mass,Leaf phosphorus (P) content per leaf dry mass,32
photosynthetic pathway,,,,C,NA,photosynthetic_pathway,Photosynthetic pathway,32
plant height,,m,m,N,1,plant_height,Plant height,32
Rd,umol m-2 s-1,umol m-2 s-1,umol/m2/s,N,1,leaf_dark_respiration_per_area,Leaf respiration rate per leaf area,32
specific leaf area,cm2/g,cm2/g,mm2/mg,N,0.1,specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",32
W leaf area,cm2,cm2,mm2,N,100,leaf_area,Leaf area,32
water content,%,%,,NA,NA,NA,NA,32
wood density mean,,g / cm3,mg/mm3,N,1,wood_density,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",33
wood density standard deviation,,,mg/mm3,N,1,wood_density_SD,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",33
wood density (dry mass/fresh volume),g/cm3,g/cm3,mg/mm3,N,1,wood_density,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",34
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,35
leaf shape,,,,C,NA,leaf_shape,Leaf shape,35
leaf thickness,mm,mm,mm,N,1,leaf_thickness,Leaf thickness,35
longevity,,,,C,NA,leaf_phenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",35
Narea,,g / m2,g/m2,N,1,leaf_N_per_area,Leaf nitrogen (N) content per leaf area,35
nitrogen fixer,,,,C,NA,nitrogen_fixing,Plant nitrogen fixation capacity,35
Nmass,%,%,mg/g,N,10,leaf_N_per_dry_mass,Leaf nitrogen (N) content per leaf dry mass,35
Parea,,g / m2,g/m2,N,1,leaf_P_per_area,Leaf phosphorus (P) content per leaf area,35
Pmass,%,%,mg/g,N,10,leaf_P_per_dry_mass,Leaf phosphorus (P) content per leaf dry mass,35
specific leaf area,,cm2 / g,mm2/mg,N,0.1,specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",35
N mass,%,%,mg/g,N,10,leaf_N_per_dry_mass,Leaf nitrogen (N) content per leaf dry mass,36
P mass,%,%,mg/g,N,10,leaf_P_per_dry_mass,Leaf phosphorus (P) content per leaf dry mass,36
N mass,,%,mg/g,N,10,leaf_N_per_dry_mass,Leaf nitrogen (N) content per leaf dry mass,37
P mass,,%,mg/g,N,10,leaf_P_per_dry_mass,Leaf phosphorus (P) content per leaf dry mass,37
specific leaf area,,g m-2,mm2/mg,N,1,specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",38
carbon-13,%,parts per 1000,per mille,N,1,leaf_delta13C,Leaf carbon (C) isotope signature (delta 13C),39
leaf area,mm2,mm2,mm2,N,1,leaf_area,Leaf area,39
leaf mass area,gm2,gm2,mm2/mg,N,1,leaf_mass_per_area,Leaf dry mass per area,39
plant height,m,m,m,N,1,plant_height,Plant height,39
wood density,g/cm3,g/cm3,mg/mm3,N,1,wood_density,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",39
Aa,?molCO2,molCO2,,NA,NA,NA,NA,40
Am,nmolCO2,nmolCO2,,N,1,photosynthetic_rate_per_area,Leaf photosynthesis rate per leaf area,40
gs,?molH2O,umolH2O/m2/s,mmol/m2/s,N,0.001,stomatal_conductance,Stomatal conductance,40
Karea,mgK/cm2,mgK/cm2,g/m2,N,10,leaf_K_per_area,Leaf potassium (K) content per leaf area,40
Kmass,mgK/g,mgK/g,mg/g,N,1,leaf_K_per_dry_mass,Leaf potassium (K) content per dry mass,40
LAR,mm2/mg,mm2/mg,mm2/mg,N,1,leaf_area_ratio,Leaf area per plant dry mass,40
LDMC,mg/g,mg/g,g/g,N,0.001,leaf_dry_matter_content,Leaf dry mass per leaf fresh mass,40
leaf area,cm2,cm2,mm2,N,100,leaf_area,Leaf area,40
LMF,g/g,g/g,g/g,N,1,leaf_mass_fraction,Leaf mass fraction,40
LWCa,gH2O/cm2,gH2O/cm2,gH2O/cm2,N,1,leaf_water_content_per_area,Leaf water content per area,40
Narea,mgN/cm2,mgN/cm2,g/m2,N,10,leaf_N_per_area,Leaf nitrogen (N) content per leaf area,40
Nmass,mgN/g,mgN/g,mg/g,N,1,leaf_N_per_dry_mass,Leaf nitrogen (N) content per leaf dry mass,40
Parea,mgP/cm2,mgP/cm2,g/m2,N,10,leaf_P_per_area,Leaf phosphorus (P) content per leaf area,40
Pmass,mgP/g,mgP/g,mg/g,N,1,leaf_P_per_dry_mass,Leaf phosphorus (P) content per leaf dry mass,40
PNUE,?molCO2,umolCO2/s/gN,umolCO2/s/gN,N,1,leaf_PNUE,"Leaf photosynthesis rate per leaf nitrogen (N) content (photosynthetic nitrogen use efficiency, PNUE)",40
PWUE,?molCO2,?molCO2,umolCO2/umol H20,N,1,leaf_PWUE,Leaf photosynthesis rate per leaf transpiration (water use effinciency: WUE),40
specific leaf area,mm2/mg,mm2/mg,mm2/mg,N,1,specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",40
Aa,?molCO2/m2/s,umolCO2/m2/s,umol/m2/s,N,1,photosynthetic_rate_per_area,Leaf photosynthesis rate per leaf area,41
Am,nmolCO2/g/s,nmolCO2/g/s,umol/g/s,N,1000,photosynthetic_rate_per_dry_mass,Leaf photosynthesis rate per leaf dry mass,41
continent,,,,NA,NA,NA,NA,41
family,,,,C,NA,NA,NA,41
gs,?molH2O/m2/s,umolH2O/m2/s,mmol/m2/s,N,0.001,stomatal_conductance,Stomatal conductance,41
Karea,mgK/cm2,mgK/cm2,g/m2,N,10,leaf_K_per_area,Leaf potassium (K) content per leaf area,41
Kmass,mgK/g,mgK/g,mg/g,N,1,leaf_K_per_dry_mass,Leaf potassium (K) content per dry mass,41
LAR,mm2/mg,mm2/mg,mm2/mg,N,1,leaf_area_ratio,Leaf area per plant dry mass,41
LDMC,mg/g,mg/g,g/g,N,0.001,leaf_dry_matter_content,Leaf dry mass per leaf fresh mass,41
leaf area,cm2,cm2,mm2,N,100,leaf_area,Leaf area,41
LMF,g/g,g/g,g/g,N,1,leaf_mass_fraction,Leaf mass fraction,41
longevity,,,,NA,NA,leaf_phenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",41
LWCa,gH2O/cm2,gH2O/cm2,gH2O /cm2,N,1,leaf_water_content_per_area,Leaf water content per area,41
Mass20,g,g,,NA,NA,NA,NA,41
Narea,mgN/cm2,mgN/cm2,g/m2,N,10,leaf_N_per_area,Leaf nitrogen (N) content per leaf area,41
Nmass,mgN/g,mgN/g,mg/g,N,1,leaf_N_per_dry_mass,Leaf nitrogen (N) content per leaf dry mass,41
order,,,,NA,NA,NA,NA,41
Parea,mgP/cm2,mgP/cm2,g/m2,N,10,leaf_P_per_area,Leaf phosphorus (P) content per leaf area,41
Pmass,mgP/g,mgP/g,mg/g,N,1,leaf_P_per_dry_mass,Leaf phosphorus (P) content per leaf dry mass,41
PNUE,?molCO2/s/gN,umolCO2/s/gN,umolCO2/s/gN,N,1,leaf_PNUE,"Leaf photosynthesis rate per leaf nitrogen (N) content (photosynthetic nitrogen use efficiency, PNUE)",41
PWUE,?,umol CO2 / umol H2O,umolCO2/umolH20,N,1,leaf_PWUE,Leaf photosynthesis rate per leaf transpiration (water use effinciency: WUE),41
specific leaf area,mm2/mg,mm2/mg,mm2/mg,N,1,specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",41
specific leaf area,cm2/g,cm2/g,mm2/mg,N,0.1,specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",42
leaf area,cm2,cm2,mm2,N,100,leaf_area,Leaf area,43
leaf mass area,g/m2,g/m2,mm2/mg,N,1,leaf_mass_per_area,Leaf dry mass per area,43
dispersal mechanism,,,,C,NA,dispersal_syndrome,Dispersal syndrome,44
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,44
leaf area,cm2,cm2,mm2,N,100,leaf_area,Leaf area,45
leaf mass area,g/m2,g/m2,mm2/mg,N,1,leaf_mass_per_area,Leaf dry mass per area,45
plant height,m,m,m,N,1,plant_height,Plant height,45
plant height,m,m,m,N,1,plant_height,Plant height,46
specific leaf area,cm2/g,cm2/g,mm2/mg,N,0.1,specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",46
leaf mass area,g/m2,g/m2,mm2/mg,N,1,leaf_mass_per_area,Leaf dry mass per area,47
longevity,,,,C,NA,life_history,"Life history (annual, biennial, perennial, ephemeral)",48
nitrogen fixer,,,,C,NA,nitrogen_fixing,Plant nitrogen fixation capacity,48
regeneration strategy,,,,C,NA,regen_strategy,Regeneration strategy,48
root structure,,,,C,NA,root_structure,Root structure,48
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,49
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,49
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,49
leaf lobed,,,,C,NA,leaf_lobed,Leaf lobed,49
leaf longevity,,,,C,NA,leaf_phenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",49
leaf type,,,,C,NA,leaf_type,"Leaf type (broadleaf, needle, article)",49
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,49
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,49
plant height,m,m,m,N,1,plant_height,Plant height,49
seed breadth,mm,mm,mm,N,1,seed_breadth,Seed breadth,49
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),49
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),49
seed size < 10mm,,,,C,NA,seed_size_less_than_10mm,Seed size less than 10mm,49
seed size > 10mm,,,,C,NA,seed_size_over_10mm,Seed size over 10mm,49
seed width maximum,mm,mm,mm,N,1,seed_width_max,Seed width maximum,49
seed width minimum,mm,mm,mm,N,1,seed_width_min,Seed width minimum,49
wood density,?,kg m-3,mg/mm3,N,0.001,wood_density,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",49
wood density (family),?,?,,NA,NA,wood_density,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",49
wood density (genus),?,?,,NA,NA,wood_density,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",49
15-N,?,parts per 1000,per mille,N,1,leaf_delta15N,Leaf nitrogen (C) isotope signature (delta 15N),50
delta 13C,?,unknown,per mille,N,1,leaf_delta13C,Leaf carbon (C) isotope signature (delta 13C),50
growth form,,,,C,NA,plant_growth_form,Plant Growth Form,50
