dataset_id,dataset_num,metadata_id,primary_source_id,source_access,compiled_for,data_contributor,contributor_institution_2016,year_collected,primary_data_collector,data_collector_institution_2016,primary_lab_leader_when_collected,primary_lab_leader_institution,data_description,collection_type,sample_age_class,original_file,need_further_checking,notes
dataset_042,42,71,69,Appendix: 10.1093/aob/mcs289,10.1093/aob/mcs289,Rachael Gallagher,Macquarie University Sydney,2011,Christopher Lusk,University of Waikato,Christopher Lusk,University of Waikato,SLA for 10 rainforest seedlings,glasshouse,seedlings,lusk_2013.pdf,,
dataset_044,44,73,71,Appendix: 10.1016/j.ppees.2012.09.003,10.1016/j.ppees.2012.09.003,Rachael Gallagher,Macquarie University Sydney,2012,Santiago Soliveres,Bern University,unknown,University of New South Wales,?,dispersal and growth form data for grazing land species ,adult_assumed,soliveres.xls,,
dataset_045,45,74,72,Appendix: 10.1111/j.1469-8137.2011.03887.x,10.1111/j.1469-8137.2011.03887.x,Rachael Gallagher,Macquarie University Sydney,2008,Don Butler,Queensland Herbarium,Mark Westoby,Macquarie University,"LMA, height and leaf size data for 43 species collected by Don Butler",field,adult,Butler_2011.pdf,,
dataset_046,46,75,73,Paper: 10.1007/s11258-011-9956-5,10.1007/s11258-011-9956-5,Rachael Gallagher,Macquarie University Sydney,2011,Kirsten Knox,Unknown,Peter Clarke,University of New England,SLA and height data for 28 species from Knox (2011),field,adult,Knox_2011.pdf,,
dataset_047,47,76,74,Paper: 10.1111/j.1365-3040.2009.02024.x,10.1111/j.1365-3040.2009.02024.x,Rachael Gallagher,Macquarie University Sydney,2009,Foteini Hassiotou,Unknown,Erik Veneklaas,University of Western Australia,LMA for 6 banksia species,glasshouse,sapling,Hassitou_2009.pdf,,
dataset_048,48,77,75,Appendix: 10.1111/j.1654-1103.2011.01323.x,10.1111/j.1654-1103.2011.01323.x,Rachael Gallagher,Macquarie University Sydney,2007,Burak Pekin,Unknown,Unknown,NA,"Longevity, regeneration and mycorrhiza data for 125 species",field,adult,Pekin_2011.pdf,,
dataset_049,49,78,76,NA,10.1111/j.1466-8238.2010.00641.x,Rachael Gallagher,Macquarie University Sydney,2010,Robert Kooyman,Royal Botanic Gardens Sydney; Macquarie University,NA,NA,Rainforest species traits,published literature,adult_assumed,Aust_RF_Traits_Kooyman_original.xls,,
dataset_050,50,79,77,NA,10.1007/s00442-002-1150-y,Rachael Gallagher,Macquarie University Sydney,1998,Susanne Schmidt,University of Queensland,Unknown,NA,Compilation of data from Susanne Schmidt published in 10.1007/s00442-002-1150-y,field,adult,schmidt data for RhysWhitleyJuly2012.xls,,
dataset_053,53,80,10,URL: http://data.kew.org/sid/,AUSTRAITS,Rachael Gallagher,Macquarie University Sydney,2014,Kew Botanic Gardens,Kew Botanic Gardens,NA,NA,Seed mass data for all Australian species from KEW Botanic Gardens Seed Information Database,field_assumed,adult,SID_australia.xls,STU- which dataset is this? ,
dataset_054,54,81,78,URL: http://ausgrass2.myspecies.info/,AUSTRAITS,Rachael Gallagher,Macquarie University Sydney,2014,"Bryan K Simon, Yucely Alfonso",unknown,NA,NA,grass trait data from various sources,unknown,adult,poaceae_GrassBase.xls,,
