character,unit_in,unit_checked,unit_standard,data_type,conversion,traitname_short,traitname_full,dataset_id,character2,unit2,dataset_id2
growth form,,,,C,NA,PlantGrowthForm,Plant Growth Form,68,growth form,,68
leaf area,cm2,cm2,mm2,N,100,leaf_area,Leaf area,68,leaf area,cm2,68
leaf longevity,,,,C,NA,LeafPhenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",68,leaf longevity,,68
leaf shape,,,,C,NA,leaf_shape,Leaf shape,68,leaf shape,,68
leaf type,,,,C,NA,leaf_type,LeafType,68,leaf type,,68
leaflet area,cm2,cm2,mm2,N,100,leaf_area,leaf_area,68,leaflet area,cm2,68
longevity,,,,C,NA,lifeHistory,"Life history (annual, biennial, perennial, ephemeral)",68,longevity,,68
nitrogen fixer,,,,C,NA,nitrogenFixing,Plant nitrogen fixation capacity,68,nitrogen fixer,,68
photosynthetic pathway,,,,C,NA,photosynthetic_pathway,Photosynthetic pathway,68,photosynthetic pathway,,68
woodiness,,,,C,NA,woodiness,Woodiness,68,woodiness,,68
A,nmol/g/s,nmol/g/s,umol g-1 s-1,N,0.001,photosyntheticRate_perDryMass,Leaf photosynthesis rate per leaf dry mass,69,A,nmol/g/s,69
nitrogen?,%,%,mg g-1,N,10,leaf_N_perDryMass,Leaf nitrogen (N) content per leaf dry mass,69,nitrogen?,%,69
specific leaf area,m2/kg,m2/kg,mm2 mg-1,N,1,SLA,"Leaf area per leaf dry mass (specific leaf area, SLA)",69,specific leaf area,m2/kg,69
leaf area,mm2,mm2,mm2,N,1,leaf_area,Leaf area,70,leaf area,mm2,70
leaf mass area,?,ug / mm2,mm2 mg-1,N,1,LMA,leaf dry mass per area,70,leaf mass area,?,70
leaf N,mg/g,mg/g,mg g-1,N,1,leaf_N_perDryMass,Leaf nitrogen (N) content per leaf dry mass,70,leaf N,mg/g,70
leaf P,mg/g,mg/g,mg g-1,N,1,leaf_P_perDryMass,Leaf phosphorus (P) content per leaf dry mass,70,leaf P,mg/g,70
leaf thickness,mm,mm,mm,N,1,leaf_thickness,Leaf thickness,70,leaf thickness,mm,70
specific leaf area,?,cm2/g,mm2 mg-1,N,0.1,SLA,"Leaf area per leaf dry mass (specific leaf area, SLA)",70,specific leaf area,?,70
leaf N,%,%,mg g-1,N,10,leaf_N_perDryMass,Leaf nitrogen (N) content per leaf dry mass,71,leaf N,%,71
specific leaf area,cm2/g,cm2/g,mm2 mg-1,N,0.1,SLA,"Leaf area per leaf dry mass (specific leaf area, SLA)",71,specific leaf area,cm2/g,71
altitude,m,m,m,N,1,altitude,,72,altitude,m,72
easting,m,m,m,N,1,easting,,72,easting,m,72
foliage height,cm,cm,m,N,0.01,plant_height,Plant height,72,foliage height,cm,72
growth form,,,,C,NA,growth_form,Plant Growth Form,72,growth form,,72
LDMC,mg/g-1,mg/g-1,g g-1,N,0.001,LDMC,Leaf dry mass per leaf fresh mass ,72,LDMC,mg/g-1,72
leaf area,mm2,mm2,mm2,N,1,leaf_area,Leaf area,72,leaf area,mm2,72
northing,m,m,m,N,1,northing,,72,northing,m,72
seed mass (mean),mg,mg,mg,N,1,seed_mass,Seed dry mass,72,seed mass (mean),mg,72
specific leaf area,mm2/mg-1,mm2/mg-1,mm2 mg-1,N,1,SLA,"Leaf area per leaf dry mass (specific leaf area, SLA)",72,specific leaf area,mm2/mg-1,72
Aarea,?,?,umol m-2 s-1,N,1,photosyntheticRate_perArea,Photosynthetic rate per area,73,Aarea,,73
Amass,umol/kg/s,umol/kg/s,umol g-1 s-1,N,1,photosyntheticRate_perDryMass,Leaf photosynthesis rate per leaf dry mass,73,Amass,umol/kg/s,73
gl N,mg/g,mg/g,mg g-1,N,1,gl N,,73,gl N,mg/g,73
gl P,mg/g,mg/g,mg g-1,N,1,gl P,,73,gl P,mg/g,73
growth form,,,,C,NA,growth_form,Plant Growth Form,73,growth form,,73
Ks,kg m-1 s-1 MPa -1,kg m-1 s-1 MPa -1,kg m-1 s-1 MPa -1,N,1,sapwood_specificConductivity,Sapwood specific conductivity / stem specific conductivity,73,Ks,kg m-1 s-1 MPa -1,73
leaf area,cm2,cm2,mm2,N,100,leaf_area,Leaf area,73,leaf area,cm2,73
leaf mass area,g/m2,g/m2,mm2 mg-1,N,1,LMA,leaf dry mass per area,73,leaf mass area,g/m2,73
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,73,plant height maximum,m,73
Rarea,,,,N,NA,Rarea,,73,Rarea,,73
Rmass,umol/kg/s,umol/kg/s,umol kg-1 s-1,N,1,leaf_darkRespiration_perDryMass,Leaf respiration rate per leaf dry mass,73,Rmass,umol/kg/s,73
wood density,,g/cm3,mg mm-3,N,1,wood_density,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",73,wood density,,73
flowering month begin,,,,C,NA,flowering_month_start,Flowering month start,74,flowering month begin,,74
flowering month end,,,,C,NA,flowering_month_end,Flowering month end,74,flowering month end,,74
growth form,,,,C,NA,growth_form,Plant Growth Form,74,growth form,,74
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,74,leaf length maximum,mm,74
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,74,leaf length minimum,mm,74
leaf shape,,,,C,NA,leaf_shape,Leaf shape,74,leaf shape,,74
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,74,leaf width maximum,mm,74
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,74,leaf width minimum,mm,74
lignotuber,,,,C,NA,lignotuber,Lignotuber,74,lignotuber,,74
longevity,,,,C,NA,lifeHistory,"Life history (annual, biennial, perennial, ephemeral)",74,longevity,,74
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,74,plant height maximum,m,74
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,74,plant height minimum,m,74
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),74,seed length maximum,mm,74
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),74,seed length minimum,mm,74
seed width maximum,mm,mm,mm,N,1,seed_width_max,Seed width maximum,74,seed width maximum,mm,74
seed width minimum,mm,mm,mm,N,1,seed_width_min,Seed width minimum,74,seed width minimum,mm,74
flowering month end,,,,C,NA,flowering_month_end,Flowering month end,75,flowering month end,,75
flowering month start,,,,C,NA,flowering_month_start,Flowering month start,75,flowering month start,,75
growth form,,,,C,NA,growth_form,Plant Growth Form,75,growth form,,75
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,75,leaf length maximum,mm,75
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,75,leaf length minimum,mm,75
leaf shape,,,,C,NA,leaf_shape,Leaf shape,75,leaf shape,,75
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,75,leaf width maximum,mm,75
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,75,leaf width minimum,mm,75
longevity,,,,C,NA,lifeHistory,"Life history (annual, biennial, perennial, ephemeral)",75,longevity,,75
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,75,plant height maximum,m,75
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,75,plant height minimum,m,75
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),75,seed length maximum,mm,75
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),75,seed length minimum,mm,75
seed width maximum,mm,mm,mm,N,1,seed_width_max,Seed width maximum,75,seed width maximum,mm,75
seed with minimum,mm,mm,mm,N,1,seed_width_min,Seed width minimum,75,seed with minimum,mm,75
flowering month end,,,,C,NA,flowering_month_end,Flowering month end,76,flowering month end,,76
flowering month start,,,,C,NA,flowering_month_start,Flowering month start,76,flowering month start,,76
growth form,,,,C,NA,growth_form,Plant Growth Form,76,growth form,,76
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,76,leaf length maximum,mm,76
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,76,leaf length minimum,mm,76
leaf shape,,,,C,NA,leaf_shape,Leaf shape,76,leaf shape,,76
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,76,leaf width maximum,mm,76
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,76,leaf width minimum,mm,76
longevity,,,,C,NA,lifeHistory,"Life history (annual, biennial, perennial, ephemeral)",76,longevity,,76
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,76,plant height maximum,m,76
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,76,plant height minimum,m,76
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),76,seed length maximum,mm,76
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),76,seed length minimum,mm,76
flowering month end,,,,C,NA,flowering_month_end,Flowering month end,77,flowering month end,,77
flowering month start,,,,C,NA,flowering_month_start,Flowering month start,77,flowering month start,,77
growth form,,,,C,NA,growth_form,Plant Growth Form,77,growth form,,77
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,77,leaf length maximum,mm,77
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,77,leaf length minimum,mm,77
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,77,leaf width maximum,mm,77
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,77,leaf width minimum,mm,77
longevity,,,,C,NA,lifeHistory,"Life history (annual, biennial, perennial, ephemeral)",77,longevity,,77
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,77,plant height maximum,m,77
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),77,seed length maximum,mm,77
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),77,seed length minimum,mm,77
seed width maximum,mm,mm,mm,N,1,seed_width_max,Seed width maximum,77,seed width maximum,mm,77
seed with minimum,mm,mm,mm,N,1,seed_width_min,Seed width minimum,77,seed with minimum,mm,78
flowering month end,,,,C,NA,flowering_month_end,Flowering month end,78,flowering month end,,78
flowering month start,,,,C,NA,flowering_month_start,Flowering month start,78,flowering month start,,78
growth form,,,,C,NA,growth_form,Plant Growth Form,78,growth form,,78
leaf length extreme maximum,mm,mm,mm,N,1,leaf_length_max_extreme,Leaf length extreme maximum,78,leaf length extreme maximum,mm,78
leaf length extreme minimum,mm,mm,mm,N,1,leaf_length_min_extreme,Leaf length extreme minimum,78,leaf length extreme minimum,mm,78
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,78,leaf length maximum,mm,78
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,78,leaf length minimum,mm,78
leaf width extreme maximum,mm,mm,mm,N,1,leaf_width_max_extreme,Leaf width extreme maximum,78,leaf width extreme maximum,mm,78
leaf width extreme minimum,mm,mm,mm,N,1,leaf_width_min_extreme,Leaf width extreme minimum,78,leaf width extreme minimum,mm,78
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,78,leaf width maximum,mm,78
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,78,leaf width minimum,mm,78
longevity,,,,C,NA,lifeHistory,"Life history (annual, biennial, perennial, ephemeral)",78,longevity,,78
plant height extreme maximum,m,m,m,N,1,plant_height_max_extreme,Plant height maximum extreme,78,plant height extreme maximum,m,78
plant height extreme minimum,m,m,m,N,1,plant_height_min_extreme,Plant height minimum extreme,78,plant height extreme minimum,m,78
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,78,plant height maximum,m,78
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,78,plant height minimum,m,79
flowering month end,,,,C,NA,flowering_month_end,Flowering month end,79,flowering month end,,79
flowering month start,,,,C,NA,flowering_month_start,Flowering month start,79,flowering month start,,79
growth form,,,,C,NA,growth_form,Plant Growth Form,79,growth form,,79
leaf length extreme maximum,mm,mm,mm,N,1,leaf_length_max_extreme,Leaf length extreme maximum,79,leaf length extreme maximum,mm,79
leaf length extreme minimum,mm,mm,mm,N,1,leaf_length_min_extreme,Leaf length extreme minimum,79,leaf length extreme minimum,mm,79
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,79,leaf length maximum,mm,79
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,79,leaf length minimum,mm,79
leaf width extreme maximum,mm,mm,mm,N,1,leaf_width_max_extreme,Leaf width extreme maximum,79,leaf width extreme maximum,mm,79
leaf width extreme minimum,mm,mm,mm,N,1,leaf_width_min_extreme,Leaf width extreme minimum,79,leaf width extreme minimum,mm,79
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,79,leaf width maximum,mm,79
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,79,leaf width minimum,mm,79
longevity,,,,C,NA,lifeHistory,"Life history (annual, biennial, perennial, ephemeral)",79,longevity,,79
plant height extreme maximum,m,m,m,N,1,plant_height_max_extreme,Plant height maximum extreme,79,plant height extreme maximum,m,79
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,79,plant height maximum,m,79
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,79,plant height minimum,m,79
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),79,seed length maximum,mm,79
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),79,seed length minimum,mm,80
flowering month end,,,,C,NA,flowering_month_end,Flowering month end,80,flowering month end,,80
flowering month start,,,,C,NA,flowering_month_start,Flowering month start,80,flowering month start,,80
growth form,,,,C,NA,growth_form,Plant Growth Form,80,growth form,,80
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,80,leaf length maximum,mm,80
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,80,leaf length minimum,mm,80
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,80,leaf width maximum,mm,80
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,80,leaf width minimum,mm,80
longevity,,,,C,NA,lifeHistory,"Life history (annual, biennial, perennial, ephemeral)",80,longevity,,80
plant height maximum,,m,m,N,1,plant_height_max,Plant height maximum,80,,,
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,80,plant height maximum,m,81
flowering month end,,,,C,NA,flowering_month_end,Flowering month end,81,flowering month end,,81
flowering month start,,,,C,NA,flowering_month_start,Flowering month start,81,flowering month start,,81
growth form,,,,C,NA,growth_form,Plant Growth Form,81,growth form,,81
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,81,leaf length maximum,mm,81
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,81,leaf length minimum,mm,81
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,81,leaf width maximum,mm,81
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,81,leaf width minimum,mm,81
longevity,,,,C,NA,lifeHistory,"Life history (annual, biennial, perennial, ephemeral)",81,longevity,,81
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,81,plant height maximum,m,81
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,81,plant height minimum,m,81
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),81,seed length maximum,mm,81
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),81,seed length minimum,mm,81
seed width maximum,mm,mm,mm,N,1,seed_width_max,Seed width maximum,81,seed width maximum,mm,81
seed width minimum,mm,mm,mm,N,1,seed_width_min,Seed width minimum,81,seed width minimum,mm,82
flowering month end,,,,C,NA,flowering_month_end,Flowering month end,82,flowering month end,,82
flowering month start,,,,C,NA,flowering_month_start,Flowering month start,82,flowering month start,,82
growth form,,,,C,NA,growth_form,Plant Growth Form,82,growth form,,82
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,82,leaf length maximum,mm,82
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,82,leaf length minimum,mm,82
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,82,leaf width maximum,mm,82
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,82,leaf width minimum,mm,82
longevity,,,,C,NA,lifeHistory,"Life history (annual, biennial, perennial, ephemeral)",82,longevity,,82
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,82,plant height maximum,m,82
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,82,plant height minimum,m,82
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),82,seed length maximum,mm,82
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),82,seed length minimum,mm,82
seed width maximum,mm,mm,mm,N,1,seed_width_max,Seed width maximum,82,seed width maximum,mm,82
seed width minimum,mm,mm,mm,N,1,seed_width_min,Seed width minimum,82,seed width minimum,mm,83
flowering month end,,,,C,NA,flowering_month_end,Flowering month end,83,flowering month end,,83
flowering month start,,,,C,NA,flowering_month_start,Flowering month start,83,flowering month start,,83
growth form,,,,C,NA,growth_form,Plant Growth Form,83,growth form,,83
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,83,leaf length maximum,mm,83
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,83,leaf length minimum,mm,83
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,83,leaf width maximum,mm,83
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,83,leaf width minimum,mm,83
longevity,,,,C,NA,lifeHistory,"Life history (annual, biennial, perennial, ephemeral)",83,longevity,,83
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,83,plant height maximum,m,83
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,83,plant height minimum,m,83
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),83,seed length maximum,mm,83
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),83,seed length minimum,mm,83
seed width maximum,mm,mm,mm,N,1,seed_width_max,Seed width maximum,83,seed width maximum,mm,83
seed width minimum,mm,mm,mm,N,1,seed_width_min,Seed width minimum,83,seed width minimum,mm,84
flowering month end,,,,C,NA,flowering_month_end,Flowering month end,84,flowering month end,,84
flowering month start,,,,C,NA,flowering_month_start,Flowering month start,84,flowering month start,,84
growth form,,,,C,NA,growth_form,Plant Growth Form,84,growth form,,84
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,84,leaf length maximum,mm,84
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,84,leaf length minimum,mm,84
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,84,leaf width maximum,mm,84
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,84,leaf width minimum,mm,84
longevity,,,,C,NA,lifeHistory,"Life history (annual, biennial, perennial, ephemeral)",84,longevity,,84
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,84,plant height maximum,m,84
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,84,plant height minimum,m,84
seed breadth maximum, mm, mm,mm,N,1,seed_breadth_max,Seed breadth maximum,84,seed breadth maximum, mm,84
seed breadth minimum,mm,mm,mm,N,1,seed_breadth_min,Seed breadth min,84,seed breadth minimum,mm,84
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),84,seed length maximum,mm,84
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),84,seed length minimum,mm,84
seed width maximum,mm,mm,mm,N,1,seed_width_max,Seed width maximum,84,seed width maximum,mm,84
seed width minimum,mm,mm,mm,N,1,seed_width_min,Seed width minimum,84,seed width minimum,mm,85
flowering month end,,,,C,NA,flowering_month_end,Flowering month end,85,flowering month end,,85
flowering month start,,,,C,NA,flowering_month_start,Flowering month start,85,flowering month start,,85
growth form,,,,C,NA,growth_form,Plant Growth Form,85,growth form,,85
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,85,leaf length maximum,mm,85
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,85,leaf length minimum,mm,85
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,85,leaf width maximum,mm,85
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,85,leaf width minimum,mm,85
longevity,,,,C,NA,lifeHistory,"Life history (annual, biennial, perennial, ephemeral)",85,longevity,,85
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,85,plant height maximum,m,85
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,85,plant height minimum,m,85
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),85,seed length maximum,mm,85
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),85,seed length minimum,mm,85
seed width maximum,mm,mm,mm,N,1,seed_width_max,Seed width maximum,85,seed width maximum,mm,85
seed width minimum,mm,mm,mm,N,1,seed_width_min,Seed width minimum,85,seed width minimum,mm,86
flowering month end,,,,C,NA,flowering_month_end,Flowering month end,86,flowering month end,,86
flowering month start,,,,C,NA,flowering_month_start,Flowering month start,86,flowering month start,,86
growth form,,,,C,NA,growth_form,Plant Growth Form,86,growth form,,86
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,86,leaf length maximum,mm,86
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,86,leaf length minimum,mm,86
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,86,leaf width maximum,mm,86
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,86,leaf width minimum,mm,86
longevity,,,,C,NA,lifeHistory,"Life history (annual, biennial, perennial, ephemeral)",86,longevity,,86
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,86,plant height maximum,m,86
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,86,plant height minimum,m,86
seed breadth maximum,mm,mm,mm,N,1,seed_breadth_max,Seed breadth maximum,86,seed breadth maximum,mm,86
seed breadth minimum,mm,mm,mm,N,1,seed_breadth_min,Seed breadth min,86,seed breadth minimum,mm,86
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),86,seed length maximum,mm,86
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),86,seed length minimum,mm,86
seed width maximum,mm,mm,mm,N,1,seed_width_max,Seed width maximum,86,seed width maximum,mm,86
seed width minimum,mm,mm,mm,N,1,seed_width_min,Seed width minimum,86,seed width minimum,mm,87
flowering month end,,,,C,NA,flowering_month_end,Flowering month end,87,flowering month end,,87
flowering month start,,,,C,NA,flowering_month_start,Flowering month start,87,flowering month start,,87
growth form,,,,C,NA,growth_form,Plant Growth Form,87,growth form,,87
leaf length maximum,mm,mm,mm,N,1,leaf_length_max,Leaf length maximum,87,leaf length maximum,mm,87
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,87,leaf length minimum,mm,87
leaf width maximum,mm,mm,mm,N,1,leaf_width_max,Leaf width maximum,87,leaf width maximum,mm,87
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,87,leaf width minimum,mm,87
longevity,,,,C,NA,lifeHistory,"Life history (annual, biennial, perennial, ephemeral)",87,longevity,,87
plant height maximum,m,m,m,N,1,plant_height_max,Plant height maximum,87,plant height maximum,m,87
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,87,plant height minimum,m,87
seed breadth maximum,mm,mm,mm,N,1,seed_breadth_max,Seed breadth maximum,87,seed length maximum,mm,87
seed breadth minimum,mm,mm,mm,N,1,seed_breadth_min,Seed breadth min,87,seed length minimum,mm,87
seed length maximum,mm,mm,mm,N,1,seed_length_max,Seed length (max),87,seed width maximum,mm,87
seed length minimum,mm,mm,mm,N,1,seed_length_min,Seed length (min),87,seed width minimum,mm,88
seed width maximum,,mm,mm,N,1,seed_width_max,Seed width maximum,87,growth form,,88
seed width minimum,mm,mm,mm,N,1,seed_width_min,Seed width minimum,87,leaf length extreme maximum,mm,88
growth form,mm,,,C,NA,growth_form,Plant Growth Form,88,leaf length extreme minimum,mm,88
leaf length extreme maximum,mm,mm,mm,N,1,leaf_length_max_extreme,Leaf length extreme maximum,88,leaf length maximum,mm,88
leaf length extreme minimum,mm,mm,mm,N,1,leaf_length_min_extreme,Leaf length extreme minimum,88,leaf length minimum,mm,88
leaf length maximum,,mm,mm,N,1,leaf_length_max,Leaf length maximum,88,leaf type,,88
leaf length minimum,mm,mm,mm,N,1,leaf_length_min,Leaf length minimum,88,leaf width extreme maximum,mm,88
leaf type,mm,,,C,NA,leaf_type,LeafType,88,leaf width extreme minimum,mm,88
leaf width extreme maximum,mm,mm,mm,N,1,leaf_width_max_extreme,Leaf width extreme maximum,88,leaf width maximum,mm,88
leaf width extreme minimum,mm,mm,mm,N,1,leaf_width_min_extreme,Leaf width extreme minimum,88,leaf width minimum,mm,88
leaf width maximum,,mm,mm,N,1,leaf_width_max,Leaf width maximum,88,longevity,,88
leaf width minimum,m,mm,mm,N,1,leaf_width_min,Leaf width minimum,88,plant height extreme maximum,m,88
longevity,m,,,C,NA,lifeHistory,"Life history (annual, biennial, perennial, ephemeral)",88,plant height maximum,m,88
plant height extreme maximum,m,m,m,N,1,plant_height_max_extreme,Plant height maximum extreme,88,plant height minimum,m,89
plant height extreme minimum,,m,m,N,1,plant_height_min_extreme,Plant height minimum extreme,88,flowering month end,,89
plant height maximum,,m,m,N,1,plant_height_max,Plant height maximum,88,flowering month start,,89
plant height minimum,,m,m,N,1,plant_height_min,Plant height minimum,88,growth form,,89
flowering month end,mm,,,C,NA,flowering_month_end,Flowering month end,89,leaf length maximum,mm,89
flowering month start,mm,,,C,NA,flowering_month_start,Flowering month start,89,leaf length minimum,mm,89
growth form,mm,,,C,NA,growth_form,Plant Growth Form,89,leaf width maximum,mm,89
leaf length extreme maximum,mm,mm,mm,N,1,leaf_length_max_extreme,Leaf length extreme maximum,89,leaf width minimum,mm,89
leaf length extreme minimum,,mm,mm,N,1,leaf_length_min_extreme,Leaf length extreme minimum,89,longevity,,89
leaf length maximum,m,mm,mm,N,1,leaf_length_max,Leaf length maximum,89,plant height maximum,m,89
leaf length minimum,m,mm,mm,N,1,leaf_length_min,Leaf length minimum,89,plant height minimum,m,90
leaf width extreme maximum,,mm,mm,N,1,leaf_width_max_extreme,Leaf width extreme maximum,89,flowering month end,,90
leaf width extreme minimum,,mm,mm,N,1,leaf_width_min_extreme,Leaf width extreme minimum,89,flowering month start,,90
leaf width maximum,,mm,mm,N,1,leaf_width_max,Leaf width maximum,89,growth form,,90
leaf width minimum,mm,mm,mm,N,1,leaf_width_min,Leaf width minimum,89,leaf length maximum,mm,90
longevity,mm,,,C,NA,lifeHistory,"Life history (annual, biennial, perennial, ephemeral)",89,leaf length minimum,mm,90
plant height extreme maximum,mm,m,m,N,1,plant_height_max_extreme,Plant height maximum extreme,89,leaf width maximum,mm,90
plant height extreme minimum,mm,m,m,N,1,plant_height_min_extreme,Plant height minimum extreme,89,leaf width minimum,mm,90
plant height maximum,,m,m,N,1,plant_height_max,Plant height maximum,89,longevity,,90
plant height minimum,m,m,m,N,1,plant_height_min,Plant height minimum,89,plant height maximum,m,90
flowering month end,mm,,,C,NA,flowering_month_end,Flowering month end,90,seed breadth maximum,mm,90
flowering month start,mm,,,C,NA,flowering_month_start,Flowering month start,90,seed breadth minimum,mm,90
growth form,mm,,,C,NA,growth_form,Plant Growth Form,90,seed length maximum,mm,90
