character,unit_in,unit_checked,unit_standard,data_type,conversion,traitname_short,traitname_full,dataset_id,character2,unit2,dataset_id2
leaf area,cm2,cm2,mm2,N,100,leaf_area,Leaf area,19,leaf area,cm2,19
leaf dry matter content,mg/g,mg/g,g g-1,N,0.001,LDMC,"Leaf dry mass per leaf fresh mass (Leaf dry matter content, LDMC)",19,leaf dry matter content,mg/g,19
origin,,,,C,NA,origin,"Origin (native, alien)",19,origin,,19
photosynthetic pathway,,,,C,NA,photosynthetic_pathway,Photosynthetic pathway,19,photosynthetic pathway,,19
plant maximum height,m,m,m,N,1,plant_height_max,Plant height maximum,19,plant maximum height,m,19
specific leaf area,,mm2 mg-1,mm2 mg-1,N,1,SLA,"Leaf area per leaf dry mass (specific leaf area, SLA)",19,specific leaf area,,19
specific leaf area,cm2/g,cm2/g,mm2 mg-1,N,0.1,SLA,"Leaf area per leaf dry mass (specific leaf area, SLA)",20,specific leaf area,cm2/g,20
wd,g/cm3,g/cm3,mg mm-3,N,1,wood_density,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",20,wd,g/cm3,20
leaf dry matter content,g,g/g,g g-1,N,1,LDMC,"Leaf dry mass per leaf fresh mass (Leaf dry matter content, LDMC)",21,leaf dry matter content,g,21
leaf mass per area,,unknown,mm2 mg-1,N,1000,LMA,leaf dry mass per area,21,leaf mass per area,,21
plant height,cm,cm,m,N,0.01,plant_height,Plant height,21,plant height,cm,21
specific leaf area,,mm2/mg,mm2 mg-1,N,1,SLA,"Leaf area per leaf dry mass (specific leaf area, SLA)",21,specific leaf area,,21
lineage,,,,C,NA,lineage,"Lineage (dicot, monocot)",23,lineage,,23
N mass,mg/g,mg/g,mg g-1,N,1,leaf_N_perDryMass,Leaf nitrogen (N) content per leaf dry mass,23,N mass,mg/g,23
specific leaf area,cm2/g,?,mm2 mg-1,N,100,SLA,"Leaf area per leaf dry mass (specific leaf area, SLA)",23,specific leaf area,cm2/g,23
water concentration per unit dry mass,g/g,g/g,g g-1,N,NA,leaf_waterContent_perMass,Leaf water content per mass,23,water concentration per unit dry mass,g/g,23
dispersal mode,,,,C,NA,dispersal_syndrome,Dispersal syndrome,24,dispersal mode,,24
flowering season,,,,C,NA,flowering_time,Plant reproductive phenology timing (flowering),24,flowering season,,24
growth form,,,,C,NA,PlantGrowthForm,Plant Growth Form,24,growth form,,24
longevity,,,,C,NA,lifeHistory,"Life history (annual, biennial, perennial, ephemeral)",24,longevity,,24
NT,,,,NA,NA,NA,NA,24,NT,,24
plant maximum height,m,m,m,N,1,plant_height_max,Plant height maximum,24,plant maximum height,m,24
seritony,,,,C,NA,serotiny,Serotiny,24,seritony,,24
dispersal mode,,,,C,NA,dispersal_syndrome,Dispersal syndrome,25,dispersal mode,,25
growth form,,,,C,NA,PlantGrowthForm,Plant Growth Form,25,growth form,,25
lineage,,,,C,NA,lineage,"Lineage (dicot, monocot)",25,lineage,,25
seed mass,mg,mg,mg,N,1,seed_mass,Seed dry mass,25,seed mass,mg,25
dispersal mode,,,,C,NA,dispersal_syndrome,Dispersal syndrome,26,dispersal mode,,26
dispersal structures fresh weight,mg,mg,mg,N,NA,dispersal_structures_freshMass,Dispersal structures fresh mass,26,dispersal structures fresh weight,mg,26
growth form,,,,C,NA,PlantGrowthForm,Plant Growth Form,26,growth form,,26
height,cm,cm,m,N,0.01,plant_height,Plant height,26,height,cm,26
dispersal mode,,,,C,NA,dispersal_syndrome,Dispersal syndrome,27,dispersal mode,,27
growth form,,,,C,NA,PlantGrowthForm,Plant Growth Form,27,growth form,,27
height,cm,cm,m,N,0.01,plant_height,Plant height,27,height,cm,27
leaf area,mm2,mm2,mm2,N,1,leaf_area,Leaf area,27,leaf area,mm2,27
longevity,year,year,year,N,1,lifeSpan,Plant lifespan (longevity),27,longevity,year,27
