genus,spp,binomial,max height (m),leaf length min (mm) ,leaf length max (mm) ,leaf width min (mm) ,leaf width max (mm) ,flowering month begin,flowering month end,seed min length (mm),seed max length (mm),longevity,growth form ,min height (m),extreme max height (m),extreme min leaf length (mm),extreme max leaf length (mm),extreme min leaf width (mm),extreme max leaf width (mm),seed min width (mm),seed max width (mm)
Gastrolobium,tomentosum,Gastrolobium tomentosum,1,13,30,8,20,8,11,2.5,3,p,s,,,,,,,,
Gastrolobium,glabratum,Gastrolobium glabratum,0.8,10,27,12,24,8,10,2.5,3,p,s,,,,42,,28,,
Gastrolobium,ovalifolium,Gastrolobium ovalifolium,0.1,12,32,13,20,8,9,3,3,p,s,,,,,,,,
Gastrolobium,rotundifolium,Gastrolobium rotundifolium,0.8,19,26,8,18,,,,,p,s,,,,32,,,,
Gastrolobium,polystachyum,Gastrolobium polystachyum,1,5,35,7,25,7,9,,,p,s,,,,,,,,
Gastrolobium,propinquum,Gastrolobium propinquum,1,17,40,6,11,6,9,3,3,p,s,0.5,1.8,,65,,14,,
Gastrolobium,diabolophyllum,Gastrolobium diabolophyllum,1.5,12,26,10,32,9,9,3,3,p,s,0.5,,,,,,,
Gastrolobium,floribundum,Gastrolobium floribundum,2,28,41,5,10,8,11,,,p,s,0.5,,20,83,,,,
Gastrolobium,glaucum,Gastrolobium glaucum,1.2,13,17,8,11,8,10,,,p,s,0.1,,10,,6,13,,
Gastrolobium,laytonii,Gastrolobium laytonii,3,29,50,10,22,6,9,3,3,p,s,,,,,,,,
Gastrolobium,microcarpum,Gastrolobium microcarpum,2.5,25,36,7,16,8,10,3,4,p,s,1,,16,,,,,
Gastrolobium,crassifolium,Gastrolobium crassifolium,1.5,12,25,4,14,7,12,3,3,p,s,0.3,,,,,,,
Gastrolobium,hians,Gastrolobium hians,1.7,32,60,5,8,9,9,,,p,s,0.7,,,,,,,
Gastrolobium,pycnostachyum,Gastrolobium pycnostachyum,1,11,22,11,14,8,10,2,3,p,s,,,,,,,,
Gastrolobium,parvifolium,Gastrolobium parvifolium,0.8,4,15,2,5,,,,,p,s,0.4,,,,,,,
Gastrolobium,velutinum,Gastrolobium velutinum,1,7,18,2.5,8,8,10,,,p,s,,,,,,,,
Gastrolobium,heterophyllum,Gastrolobium heterophyllum,0.3,16,29,3,5,8,10,,,p,s,0.05,1.8,8,,1.5,,,
Gastrolobium,nutans,Gastrolobium nutans,1.5,12,25,3.5,5,8,10,2,2,p,s,0.5,,,,2,,,
Gastrolobium,pusillum,Gastrolobium pusillum,,7,12,5.5,8,8,10,,,p,s,,,,,,,,
Gastrolobium,brownii,Gastrolobium brownii,3,8,30,4,9,9,11,2,2.5,p,s,1.5,,,,,,,
Gastrolobium,hookeri,Gastrolobium hookeri,0.5,13,15,5,7,10,10,,,p,s,,,,,,,,
Gastrolobium,obovatum,Gastrolobium obovatum,0.6,18,30,12,24,8,10,2,3,p,s,0.3,,,,,,,
Gastrolobium,plicatum,Gastrolobium plicatum,1.5,25,40,10,12,9,10,2,2,p,s,,,,,,,,
Gastrolobium,spathulatum,Gastrolobium spathulatum,1.5,8,22,4,10,8,10,3,3,p,s,,,,,,,,
Gastrolobium,stowardii,Gastrolobium stowardii,0.5,10,18,5,7,9,10,,,p,s,,,,,,,,
Gastrolobium,bennettsianum,Gastrolobium bennettsianum,2,6,30,4,12,8,10,3,3,p,s,,,,,,,,
Gastrolobium,pulchellum,Gastrolobium pulchellum,1.5,8,25,4,12,9,10,1,2,p,s,,,,,,,,
Gastrolobium,truncatum,Gastrolobium truncatum,0.5,5,12,5,9,5,10,,,p,s,,,,,,,,
Gastrolobium,latifolium,Gastrolobium latifolium,0.05,15,35,10,55,8,10,,2.5,p,s,,,,,,,,
Gastrolobium,appressum,Gastrolobium appressum,0.3,4,7.5,1.5,2.5,9,12,3,3,p,s,0.2,,,,,,,
Gastrolobium,calycinum,Gastrolobium calycinum,1.5,17,40,12,24,8,11,3,5,p,s,0.5,,,70,,,,
Gastrolobium,hamulosum,Gastrolobium hamulosum,0.4,6,11.5,3,4.5,8,10,1.5,2,p,s,0.2,,,,,,,
Gastrolobium,oxylobioides,Gastrolobium oxylobioides,0.8,12,37,5,10,8,10,2.5,3,p,s,,,,,,,,
Gastrolobium,racemosum,Gastrolobium racemosum,2.5,25,46,8,13,9,11,3,3.5,p,s,,,20,60,5,35,,
Gastrolobium,reflexum,Gastrolobium reflexum,2.5,10,23,15,30,9,12,,,p,s,0.6,,,,,,,
Gastrolobium,rigidum,Gastrolobium rigidum,1,20,40,10,20,9,10,,,p,s,,,,,,,,
Gastrolobium,spectabile,Gastrolobium spectabile,4,25,45,23,45,9,11,,,p,s,0.8,,,,,,,
Gastrolobium,tenue,Gastrolobium tenue,0.6,15,25,1,1,9,10,2.5,2.5,p,s,0.2,,,,,,,
Gastrolobium,dorrienii,Gastrolobium dorrienii,0.5,10,17,8,12,10,10,,,p,s,,,,,,,,
Gastrolobium,retusum,Gastrolobium retusum,2,11,40,6,10,10,10,,,p,s,,,,,,,,
Gastrolobium,whicherensis,Gastrolobium whicherensis,1.6,20,25,3,5,10,10,,,p,s,,,,,,,,
Gastrolobium,ebracteolatum,Gastrolobium ebracteolatum,4,50,115,3.5,10,10,12,,,p,s,1.5,,,,,,,
Gastrolobium,acutum,Gastrolobium acutum,1.5,12,22,4,6,8,9,,,p,s,,,,,,,,
Gastrolobium,capitatum,Gastrolobium capitatum,0.3,35,55,3,10,6,9,,,p,s,,,,,,,,
Gastrolobium,alternifolium,Gastrolobium alternifolium,0.3,25,50,12,30,7,9,,,p,s,,,,,,,,
Gastrolobium,linearifolium,Gastrolobium linearifolium,1,35,70,4,6,8,10,,,p,s,0.3,,,,,,,
Gastrolobium,nervosum,Gastrolobium nervosum,0.5,25,40,20,22,8,10,2.5,2.5,p,s,0.3,,,,,,,
Gastrolobium,crispatum,Gastrolobium crispatum,2.5,20,35,15,20,9,10,2.5,2.5,p,s,,,,,,,,
Gastrolobium,effusum,Gastrolobium effusum,1,10,25,3,4,7,8,,,p,s,,,,,,,,
Gastrolobium,stipulare,Gastrolobium stipulare,0.5,20,30,2,3,9,9,,,p,s,,,,,,,,
Gastrolobium,ilicifolium,Gastrolobium ilicifolium,4,18,48,15,30,8,10,,,p,s,,,,,,,,
Gastrolobium,rhombifolium,Gastrolobium rhombifolium,2,20,49,8,25,9,9,,,p,s,,,,,,,,
Gastrolobium,tricuspidatum,Gastrolobium tricuspidatum,1,20,30,5,15,9,10,,,p,s,,,,,,,,
Gastrolobium,cruciatum,Gastrolobium cruciatum,0.5,2,8,1.5,5,9,9,,,p,s,0.2,,,,,,,
Gastrolobium,epacridoides,Gastrolobium epacridoides,1,11,14,8,8,8,9,,,p,s,,,,,,,,
Gastrolobium,punctatum,Gastrolobium punctatum,1,8,12,2,3,9,10,,,p,s,0.3,,,,,,,
Gastrolobium,reticulatum,Gastrolobium reticulatum,1.2,10,10,2,2,7,10,1,2,p,s,,,,,,,,
Gastrolobium,coriaceum,Gastrolobium coriaceum,2,25,80,6,30,9,10,1,2,p,s,,,,,,,,
Gastrolobium,crenulatum,Gastrolobium crenulatum,1.2,11,35,9,20,9,11,,,p,s,,,,,,,,
Gastrolobium,pyramidale,Gastrolobium pyramidale,1.5,25,50,12,25,9,10,,,p,s,,,,,,,,
Gastrolobium,leakeanum,Gastrolobium leakeanum,2,50,65,20,40,9,9,,,p,s,1,,,,,,,
Gastrolobium,mondurup,Gastrolobium mondurup,3,25,58,11,24,9,9,,,p,s,2,,,,,,,
Gastrolobium,luteifolium,Gastrolobium luteifolium,1.3,30,50,20,30,9,9,,,p,s,1,,,,,,,
Gastrolobium,vestitum,Gastrolobium vestitum,3,30,45,25,35,10,10,,,p,s,1,,,,,,,
Gastrolobium,rubrum,Gastrolobium rubrum,1.5,30,70,12,30,9,10,,,p,s,,,,,,,,
Gastrolobium,melanopetalum,Gastrolobium melanopetalum,3,14,60,4,20,9,12,,,p,s,,,,,,,,
Gastrolobium,sericeum,Gastrolobium sericeum,1,6,50,6,30,9,12,,,p,s,,,,,,,,
Gastrolobium,minus,Gastrolobium minus,0.2,10,75,10,40,7,10,,,p,s,,,,,,,,
Gastrolobium,modestum,Gastrolobium modestum,0.5,15,70,8,45,9,10,,,p,s,,,,,,,,
Gastrolobium,bracteolosum,Gastrolobium bracteolosum,1,30,125,2,22,7,11,3.5,3.5,p,s,,,,,,,,
Gastrolobium,subcordatum,Gastrolobium subcordatum,1.5,6,45,7,35,9,10,3,3,p,s,,,,,,,,
Gastrolobium,celsianum,Gastrolobium celsianum,1.2,15,100,4,55,8,11,2.5,2.5,p,s,,,,,,,,
Gastrolobium,formosum,Gastrolobium formosum,1,40,55,10,18,11,11,,,p,s,,,,,,,,
Gastrolobium,papilio,Gastrolobium papilio,1.5,5,18,10,28,10,10,,,p,s,,,,,,,,
Gastrolobium,praemorsum,Gastrolobium praemorsum,0.6,9,55,7,52,8,12,3,3,p,s,,,,,,,,
Gastrolobium,ferrugineum,Gastrolobium ferrugineum,3,20,30,23,39,5,9,,,p,s,2.5,,,,,,,
Gastrolobium,humile,Gastrolobium humile,,8,11,4,6,,,,2.5,p,s,,,,,,,,
Gastrolobium,venulosum,Gastrolobium venulosum,0.5,20,27,4,7,8,9,,,p,s,,,,,,,,
Gastrolobium,axillare,Gastrolobium axillare,1.2,20,40,7,22,9,9,,,p,s,,,,,,,,
Gastrolobium,nudum,Gastrolobium nudum,0.8,15,34,15,34,2,2,,,p,s,,,,,,,,
Gastrolobium,cyanophyllum,Gastrolobium cyanophyllum,1.2,15,30,15,20,9,11,,,p,s,,,,,,,,
Gastrolobium,dilatatum,Gastrolobium dilatatum,1,20,40,8,20,8,9,,,p,s,,,,,,,,
Gastrolobium,elegans,Gastrolobium elegans,3,25,40,5,7,9,10,,,p,s,,,,,,,,
Gastrolobium,lehmannii,Gastrolobium lehmannii,1.5,25,50,12,22,9,10,,,p,s,,,,,,,,
