Site,Site_name,Species abb,Species,Sub-genus,Section,Series,Annual rainfall(mm a-1),Driest quarter rainfall(mm a-1),Evaporation (mm a-1),Rainfall-Evaporation,Rainfall/Evaporation,Area (cm2),Thickness(mm),Width/length,FW/DW,SLA(m2 kg-1),N mass (mg g-1),N area(g m-2),d13C,[Rubisco] (mg g-1),[Chl](mmol g-1),Chl a /b(mol mol-1),Carot/Chl(mmol mol-1),Rubisco N%,Thylakoid N%,Rubisco/Chl(mmol mol-1)
xeric,Glencoe,E. sieberi,Eucalyptus sieberi,Eucalyptus,Cineraceae,Psathyroxylon,686,136.9,1100,-414,0.62,26.8,0.42,0.16,1.66,3.68,12.96,3.51,-29.64,15.13,1750,2.81,314,16.76,9.5,15.81
xeric,Glencoe,E. triflora,Eucalyptus triflora,Eucalyptus,Eucalyptus,Strictae,768,175.8,1300,-532,0.59,25.2,0.57,0.18,1.88,2.96,11.01,3.53,-29.15,,2017,2.76,266,,13.8,
xeric,Glencoe,E. elata,Eucalyptus elata,Eucalyptus,Aromatica,Radiatae,694,148.8,1300,-606,0.53,14.4,0.41,0.09,1.69,4.13,9.69,2.34,-30.22,14.16,1615,3.02,319,20.8,11.73,14.72
xeric,Glencoe,E. elata,Eucalyptus elata,Eucalyptus,Aromatica,Radiatae,789,118.2,1500,-711,0.53,19.3,0.32,0.14,1.69,5.27,13.27,2.52,-29.91,13.51,2444,2.77,297,16.23,12.93,9.92
xeric,Glencoe,E. melliodora,Eucalyptus melliodora,Symphyomyrtus,Adnataria,Melliodorae,784,132.2,1700,-916,0.46,16.3,0.41,0.14,1.73,4.1,10.98,2.68,-30.69,15.31,1395,2.72,360,22.43,8.87,19.84
xeric,Glencoe,E. bosistoana,Eucalyptus bosistoana,Symphyomyrtus,Adnataria,Submelliodorae,859,182.8,1300,-441,0.66,19.2,0.4,0.16,1.44,4.12,9.67,2.35,-30.35,16.18,1645,2.79,316,26.6,11.95,22.98
xeric,Glencoe,E. paniculata,Eucalyptus paniculata,Symphyomyrtus,Adnataria,Rhodoxylon,1134,191.4,1500,-366,0.76,27.7,0.4,0.26,1.81,4.41,8.64,1.96,-30.12,,1383,2.44,308,,11.76,
xeric,Glencoe,E. tereticornis,Eucalyptus tereticornis,Symphyomyrtus,Liberivalvae,Erythroxylon,716,142.9,1300,-584,0.55,22.9,0.42,0.2,1.77,4.12,11.13,2.71,-29.92,13.51,1544,2.64,347,18.96,9.86,15.37
xeric,Glencoe,E. globulus spp globulus,Eucalyptus globulus spp globulus,Symphyomyrtus,Maidenaria,Globulares,800,160,1000,-200,0.8,46.6,0.57,0.16,1.63,2.82,10.62,3.78,-28.7,13.35,2002,2.61,293,19.87,13.26,11.92
xeric,Glencoe,E. badgensis,Eucalyptus badgensis,Symphyomyrtus,Maidenaria,Compactae,694,148.8,1300,-606,0.53,13.6,0.41,0.1,1.66,4.27,13.17,3.11,-30.25,12.68,1897,2.76,343,15.27,10.03,11.55
xeric,Glencoe,E. benthamii var. benthamii,Eucalyptus benthamii var. benthamii,Symphyomyrtus,Maidenaria,Benthamianae,1000,183.4,1500,-500,0.67,25.3,0.29,0.21,1.7,5.27,12.43,2.37,-31.34,20.84,2186,2.75,301,26.78,12.32,16.66
xeric,Glencoe,E. brookerana,Eucalyptus brookerana,Symphyomyrtus,Maidenaria,Faveolatae,1938,285.4,1100,838,1.76,31,0.39,0.3,1.62,3.87,12.11,3.14,-28.86,17.39,1775,2.67,362,22.03,10.14,16.4
xeric,Glencoe,E. cypellocarpa,Eucalyptus cypellocarpa,Symphyomyrtus,Maidenaria,Globulares,896,176.2,1300,-404,0.69,43.5,0.49,0.16,1.67,3.65,9.65,2.69,-28.07,5.94,1677,2.52,281,9.79,12.22,11.3
xeric,Glencoe,E. dunnii,Eucalyptus dunnii,Symphyomyrtus,Maidenaria,Bridgesianae,1378,166.2,1500,-122,0.92,20.4,0.32,0.32,1.88,5.74,12.27,2.16,-30.33,20.15,2395,2.58,312,25.33,13.34,14.31
xeric,Glencoe,E. quadrangulata,Eucalyptus quadrangulata,Symphyomyrtus,Maidenaria,Globulares,1354,214.8,1500,-146,0.9,23.1,0.39,0.17,1.55,3.88,8.19,2.11,-31.65,7.74,1198,2.57,333,14.13,10.14,9.61
xeric,Glencoe,E. smithii,Eucalyptus smithii,Symphyomyrtus,Maidenaria,Compactae,1354,214.8,1500,-146,0.9,16.4,0.32,0.13,1.7,4.69,11.95,2.58,-29.25,17.28,2235,2.83,293,23.46,13.2,13.68
xeric,Glencoe,E. viminalis,Eucalyptus viminalis,Symphyomyrtus,Maidenaria,Viminales,607,135.6,1300,-693,0.47,25.6,0.32,0.19,1.74,4.6,13.14,2.86,-30.23,23.92,2178,2.53,309,29.59,11.91,23.34
xeric,Glencoe,E. viminalis,Eucalyptus viminalis,Symphyomyrtus,Maidenaria,Viminales,823,186.3,1100,-277,0.75,39.2,0.34,0.21,1.51,5.14,14.69,2.9,-29.92,13.65,2833,2.42,291,13.87,13.18,9.17
xeric,Glencoe,E. nitens,Eucalyptus nitens,Symphyomyrtus,Maidenaria,Globulares,1749,281.3,1100,649,1.59,26.2,0.41,0.16,1.23,3.22,13.08,4.07,-28.2,12.49,1577,2.71,303,16.24,8.59,16.1
xeric,Glencoe,E. botryoides,Eucalyptus botryoides,Symphyomyrtus,Latoangulatae,Annulares,916,163.2,1300,-384,0.7,24.6,0.32,0.32,1.97,6.16,12.37,1.93,-30.92,10.48,2176,2.86,289,14.17,12.86,9.02
xeric,Glencoe,E. grandis,Eucalyptus grandis,Symphyomyrtus,Latoangulatae,Transversae,,,,,,40.2,0.31,0.28,1.73,6.19,12.64,2.05,-29.69,24.89,2458,2.67,304,30.94,13.66,17.86
xeric,Glencoe,E. saligna,Eucalyptus saligna,Symphyomyrtus,Latoangulatae,Transversae,857,148,1500,-643,0.57,31.4,0.35,0.22,1.81,6.17,12.17,1.92,-29.34,15.04,2400,2.82,318,21.12,13.91,12.79
xeric,Glencoe,E. saligna,Eucalyptus saligna,Symphyomyrtus,Latoangulatae,Transversae,1134,191.4,1500,-366,0.76,33.1,0.38,0.41,1.82,5.06,14.82,3.02,-29.1,23.72,2470,2.69,322,27.44,12.45,18.05
xeric,Glencoe,E. saligna,Eucalyptus saligna,Symphyomyrtus,Latoangulatae,Transversae,963,192.8,1500,-537,0.64,38.3,0.38,0.3,1.93,6.15,10.21,1.68,-30.37,13.3,2054,2.77,295,21.52,14.32,12.47
mesic,Mt. Worth,E. cameronii,Eucalyptus cameronii,Eucalyptus,Capillulus,Pachyphloius,800,148,1500,-700,0.53,16.8,0.34,0.26,2.1,5.47,13.39,2.53,-27.72,11.83,3085,2.69,253,13.83,16.72,7.65
mesic,Mt. Worth,E. muelleriana,Eucalyptus muelleriana,Eucalyptus,Capillulus,Pachyphloius,896,176.2,1300,-404,0.69,24.9,0.36,0.23,2.15,6.46,14.91,2.35,-30,32.46,3840,2.43,231,35.9,18.21,15.97
mesic,Mt. Worth,E. regnans,Eucalyptus regnans,Eucalyptus,Eucalyptus,Regnantes,1200,193,1100,100,1.09,39.6,0.33,0.28,2.06,6.01,18.75,3.12,-30.59,18.02,4014,2.78,232,15.19,15.08,8.07
mesic,Mt. Worth,E. delegatensis,Eucalyptus delegatensis,Eucalyptus,Cineraceae,Fraxinales,1200,200,900,300,1.33,28.8,0.43,0.25,2.04,4.64,16.52,3.57,-29.39,15.58,2827,2.68,241,15.27,12.19,10.27
mesic,Mt. Worth,E. dendromorpha,Eucalyptus dendromorpha,Eucalyptus,Eucalyptus,Strictae,1100,221.3,1300,-200,0.85,18.5,0.43,0.17,2.19,4.63,15.76,3.45,-28.95,17.08,2813,2.89,273,17.51,12.48,11.66
mesic,Mt. Worth,E. fastigata,Eucalyptus fastigata,Eucalyptus,Eucalyptus,Regnantes,845,183.2,1300,-455,0.65,34.4,0.33,0.24,2.27,7.19,18.19,2.55,-29.63,29.82,4142,2.36,229,25.2,15.95,12.62
mesic,Mt. Worth,E. fraxinoides,Eucalyptus fraxinoides,Eucalyptus,Cineraceae,Fraxinales,545,93.4,1300,-755,0.42,24.5,0.38,0.14,2.01,4.41,14.64,3.32,-28.27,24.97,2862,2.8,250,25.61,13.53,15.59
mesic,Mt. Worth,E. obliqua,Eucalyptus obliqua,Eucalyptus,Eucalyptus,Eucalyptus,628,66.3,1500,-872,0.42,21.2,0.43,0.23,2.11,5.04,14.71,2.92,-29.52,18.63,2649,2.49,262,20.89,12.4,15.5
mesic,Mt. Worth,E. obliqua,Eucalyptus obliqua,Eucalyptus,Eucalyptus,Eucalyptus,1418,208.9,1100,318,1.29,32.7,0.33,0.28,2.07,5.6,17.99,3.23,-30.09,19.15,4049,2.51,244,17.09,15.81,8.46
mesic,Mt. Worth,E. obliqua,Eucalyptus obliqua,Eucalyptus,Eucalyptus,Eucalyptus,1685,246.7,1500,185,1.12,53.4,0.43,0.46,2.13,5.1,16.72,3.3,-28.49,19.83,3172,2.58,238,19.52,13.53,11.3
mesic,Mt. Worth,E. oreades,Eucalyptus oreades,Eucalyptus,Cineraceae,Fraxinales,1048,200.9,1500,-452,0.7,25.8,0.51,0.15,2.14,4.05,14.66,3.61,-29.68,20.36,3073,2.37,236,21.05,14.96,11.39
mesic,Mt. Worth,E. sieberi,Eucalyptus sieberi,Eucalyptus,Cineraceae,Psathyroxylon,686,136.9,1100,-414,0.62,23.2,0.48,0.16,2.14,4.29,13.89,3.27,-28.3,28.25,2659,2.56,258,34.17,13.5,19.22
mesic,Mt. Worth,E. triflora,Eucalyptus triflora,Eucalyptus,Eucalyptus,Strictae,768,175.8,1300,-532,0.59,24.4,0.52,0.21,2.09,3.77,14.62,3.87,-29.37,8.82,2659,2.66,252,9.42,12.75,5.94
mesic,Mt. Worth,E. elata,Eucalyptus elata,Eucalyptus,Aromatica,Radiatae,694,148.8,1300,-606,0.53,11.7,0.33,0.08,2.1,6.89,17.42,2.57,-31.14,32.86,4667,2.57,254,30.22,18.87,12.42
mesic,Mt. Worth,E. elata,Eucalyptus elata,Eucalyptus,Aromatica,Radiatae,789,118.2,1500,-711,0.53,19.7,0.26,0.2,2.23,9.34,20.53,2.24,-31.93,20.7,4574,2.54,256,17.79,15.87,7.47
mesic,Mt. Worth,E. melliodora,Eucalyptus melliodora,Symphyomyrtus,Adnataria,Melliodorae,784,132.2,1700,-916,0.46,29.7,0.39,0.18,2.23,5.94,17.42,2.94,-29.56,24.88,3397,2.76,252,22.52,13.84,13.07
mesic,Mt. Worth,E. bosistoana,Eucalyptus bosistoana,Symphyomyrtus,Adnataria,Submelliodorae,859,182.8,1300,-441,0.66,17.8,0.35,0.3,2.01,5.74,14.86,2.59,-30.51,16.88,3428,2.58,238,18.17,16.14,8.96
mesic,Mt. Worth,E. paniculata,Eucalyptus paniculata,Symphyomyrtus,Adnataria,Rhodoxylon,1134,191.4,1500,-366,0.76,23.6,0.33,0.26,2.11,7.14,15.23,2.14,-30.35,18.84,3985,2.37,248,18.26,18.44,8.68
mesic,Mt. Worth,E. tereticornis,Eucalyptus tereticornis,Symphyomyrtus,Liberivalvae,Erythroxylon,716,142.9,1300,-584,0.55,20.2,0.28,0.17,1.86,5.68,18.53,3.26,-31.03,25.59,2936,2.63,279,21.63,11.09,14.87
mesic,Mt. Worth,E. globulus spp globulus,Eucalyptus globulus spp globulus,Symphyomyrtus,Maidenaria,Globulares,800,160,1000,-200,0.8,39.1,0.51,0.14,1.95,3.65,12.78,3.51,-29.14,16.36,2652,2.44,239,18.5,14.73,10.63
mesic,Mt. Worth,E. badjensis,Eucalyptus badjensis,Symphyomyrtus,Maidenaria,Compactae,694,148.8,1300,-606,0.53,9.4,0.38,0.08,1.98,5.01,16.78,3.35,-30.18,19.84,3407,2.45,248,18.7,14.27,10.21
mesic,Mt. Worth,E. benthamii var. benthamii,Eucalyptus benthamii var. benthamii,Symphyomyrtus,Maidenaria,Benthamianae,1000,183.4,1500,-500,0.67,16.9,0.3,0.13,2.16,7.48,19.1,2.55,-31.07,37.85,4306,2.52,238,32.37,15.74,16.25
mesic,Mt. Worth,E. brookeriana,Eucalyptus brookeriana,Symphyomyrtus,Maidenaria,Faveolatae,1938,285.4,1100,838,1.76,19.2,0.4,0.21,1.96,5.29,16.35,3.11,-28.17,22.58,3583,2.19,246,22,15.41,11.84
mesic,Mt. Worth,E. cypellocarpa,Eucalyptus cypellocarpa,Symphyomyrtus,Maidenaria,Globulares,896,176.2,1300,-404,0.69,45.1,0.46,0.13,2.05,5.13,13.56,2.65,-29.34,21.14,3271,2.49,253,23.93,16.57,10.44
mesic,Mt. Worth,E. dunnii,Eucalyptus dunnii,Symphyomyrtus,Maidenaria,Bridgesianae,1378,166.2,1500,-122,0.92,30.5,0.31,0.5,2.12,7.22,20.41,2.85,-29.37,31.02,4060,2.54,255,24.37,14.16,14.3
mesic,Mt. Worth,E. quadrangulata,Eucalyptus quadrangulata,Symphyomyrtus,Maidenaria,Globulares,1354,214.8,1500,-146,0.9,21.2,0.38,0.11,1.88,5.55,13.85,2.5,-31.48,16.36,3322,2.64,241,18.59,16.94,8.03
mesic,Mt. Worth,E. smithii,Eucalyptus smithii,Symphyomyrtus,Maidenaria,Compactae,1354,214.8,1500,-146,0.9,18.3,0.34,0.12,1.99,6.43,17.98,2.82,-31.26,32.52,4582,2.41,231,28.65,17.86,12.75
mesic,Mt. Worth,E. viminalis,Eucalyptus viminalis,Symphyomyrtus,Maidenaria,Viminales,607,135.6,1300,-693,0.47,15.7,0.31,0.12,2.11,5.9,18.84,3.48,-29.6,24.94,3972,2.55,245,21.12,14.58,14.09
mesic,Mt. Worth,E. viminalis,Eucalyptus viminalis,Symphyomyrtus,Maidenaria,Viminales,823,186.3,1100,-277,0.75,36.8,0.27,0.2,2.06,6.86,19.79,2.94,-30.97,28.98,3869,2.42,259,23.44,13.7,13.31
mesic,Mt. Worth,E. nitens,Eucalyptus nitens,Symphyomyrtus,Maidenaria,Globulares,1749,281.3,1100,649,1.59,37.4,0.4,0.11,1.81,4.28,18.1,4.25,-29.85,13.04,3147,2.61,251,11.19,12.33,7.69
mesic,Mt. Worth,E. botryoides,Eucalyptus botryoides,Symphyomyrtus,Latoangulatae,Annulares,916,163.2,1300,-384,0.7,32.7,0.37,0.21,2.05,5.76,16.07,2.82,-29.29,17.59,3208,2.55,244,17.58,14.44,9.96
mesic,Mt. Worth,E. grandis,Eucalyptus grandis,Symphyomyrtus,Latoangulatae,Transversae,,,,,,23.6,0.33,0.22,2.22,6.98,19.61,2.84,-30.08,39.87,4142,2.6,253,32.02,14.9,17.85
mesic,Mt. Worth,E. saligna,Eucalyptus saligna,Symphyomyrtus,Latoangulatae,Transversae,857,148,1500,-643,0.57,30.8,0.29,0.26,2.2,8.93,16.99,1.93,-31.56,31.93,4181,2.61,247,30.19,17.66,14.13
mesic,Mt. Worth,E. saligna,Eucalyptus saligna,Symphyomyrtus,Latoangulatae,Transversae,1134,191.4,1500,-366,0.76,24.6,0.39,0.15,2.06,5.04,17.26,3.43,-28.96,23.34,3429,2.16,315,20.61,13.94,12.06
mesic,Mt. Worth,E. saligna,Eucalyptus saligna,Symphyomyrtus,Latoangulatae,Transversae,963,192.8,1500,-537,0.64,55,0.33,0.34,2.14,6.59,20.05,3.05,-28.83,27.82,4155,2.52,244,23.2,14.54,11.81
