genus,species,binomial,longevity,growth form,min height (m),max height (m),leaf length min (mm),leaf length max (mm),leaf width min (mm),leaf width max (mm),flowering month begin,flowering month end,seed min length (mm),seed max length (mm),seed min width (mm),seed max width (mm)
Calytrix,sapphirina,Calytrix sapphirina,p,s,,1,2.5,10,1,2,all year,all year,2.75,2.75,0.6,0.6
Calytrix,habrantha,Calytrix habrantha,p,s,,0.5,4,12,0.3,0.8,11,1,,,,
Calytrix,superba,Calytrix superba,p,s,,1,2.5,6.5,1,2,12,2,,,,
Calytrix,plumulosa,Calytrix plumulosa,p,s,,0.4,3,11,0.4,1,10,11,,,,
Calytrix,simplex,Calytrix simplex,p,s,,0.5,1.5,10,0.6,1,,,,,,
Calytrix,brevifolia,Calytrix brevifolia,p,s,,2.5,3,14,0.8,1.5,8,1,,,,
Calytrix,truncatifolia,Calytrix truncatifolia,p,s,,1.6,2,5,0.75,1.2,6,9,,,,
Calytrix,formosa,Calytrix formosa,p,s,,0.7,1,2,0.6,1.2,9,11,,,,
Calytrix,paucicostata,Calytrix paucicostata,p,s,,0.6,5,10,0.5,1,9,10,,,,
Calytrix,amethystina,Calytrix amethystina,p,s,,0.6,0.7,3,0.6,1.25,8,9,,,,
Calytrix,gracilis,Calytrix gracilis,p,s,,1,2,8,0.4,0.6,8,10,3,3,0.5,0.5
Calytrix,variabilis,Calytrix variabilis,p,s,,1,1,12,0.6,2,7,12,,,,
Calytrix,breviseta,Calytrix breviseta,p,s,,1,1.5,9,0.5,1.5,,,,,,
Calytrix,pulchella,Calytrix pulchella,p,s,,0.6,3,10,0.6,1,8,11,,,,
Calytrix,tenuiramea,Calytrix tenuiramea,p,s,,0.6,2,7,0.5,1,1,3,,,,
Calytrix,leschenaultii,Calytrix leschenaultii,p,s,,1,1,4,0.5,1.6,6,11,2.75,3.75,0.6,0.8
Calytrix,sylvana,Calytrix sylvana,p,s,,1,1,4,0.5,1.25,8,10,,,,
Calytrix,merrelliana,Calytrix merrelliana,p,s,,0.2,1.5,3,0.4,0.8,10,12,2.25,2.25,1,1
Calytrix,violacea,Calytrix violacea,p,s,,0.45,2,8.5,0.5,1,8,11,,,,
Calytrix,parvivallis,Calytrix parvivallis,p,s,,0.5,2,3,0.5,0.8,10,10,,,,
Calytrix,nematoclada,Calytrix nematoclada,p,s,,0.45,1.5,3,0.5,1,11,1,2,2,0.6,0.6
Calytrix,acutifolia,Calytrix acutifolia,p,s,,2,2.5,15,0.5,1,4,12,2.5,2.5,0.6,0.6
