Species Name,Location,Months Until First Fruiting,Resprouter,Persistent canopy seedbank,Persistent soil seedbank,Growth form
Daviesia nematophylla,"Lake Cronin-Yellowdine area, Western Australia",,No,No,Yes,Shrub
Dianella revoluta var. divaricata,"Lake Cronin-Yellowdine area, Western Australia",,Yes,No,,Hemicryptophyte
Dodonaea stenozyga,"Lake Cronin-Yellowdine area, Western Australia",,No,No,Yes,Shrub
Enchylaena lanata,"Lake Cronin-Yellowdine area, Western Australia",,No,No,No,Low shrub
Eremophila caperata,"Lake Cronin-Yellowdine area, Western Australia",,,No,Yes,Shrub
Eremophila decipiens subsp. decipiens,"Lake Cronin-Yellowdine area, Western Australia",,,No,Yes,Shrub
Eremophila drummondii,"Lake Cronin-Yellowdine area, Western Australia",,,No,Yes,Shrub
Eremophila ionantha,"Lake Cronin-Yellowdine area, Western Australia",,,No,Yes,Shrub
Eremophila oppositifolia subsp. angustifolia,"Lake Cronin-Yellowdine area, Western Australia",,,No,Yes,Shrub
Eremophila scoparia,"Lake Cronin-Yellowdine area, Western Australia",,,No,Yes,Shrub
Eriochiton sclerolaenoides,"Lake Cronin-Yellowdine area, Western Australia",,No,No,Yes,Low shrub
Erodium cygnorum,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Erymophyllum ramosum subsp. ramosum,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Eucalyptus celastroides subsp. celastroides,"Lake Cronin-Yellowdine area, Western Australia",,Yes,Yes,No,Tree
Eucalyptus celastroides subsp. virella,"Lake Cronin-Yellowdine area, Western Australia",,Yes,Yes,No,Tree
Eucalyptus flocktoniae subsp. flocktoniae,"Lake Cronin-Yellowdine area, Western Australia",,Yes,Yes,No,Tree
Eucalyptus longicornis,"Lake Cronin-Yellowdine area, Western Australia",,No,Yes,No,Tree
Eucalyptus moderata,"Lake Cronin-Yellowdine area, Western Australia",,Yes,Yes,No,Tree
Eucalyptus salmonophloia,"Lake Cronin-Yellowdine area, Western Australia",,Yes,Yes,No,Tree
Eucalyptus salubris,"Lake Cronin-Yellowdine area, Western Australia",228,No,Yes,No,Tree
Eucalyptus yilgarnensis,"Lake Cronin-Yellowdine area, Western Australia",,Yes,Yes,No,Tree
Exocarpos aphyllus,"Lake Cronin-Yellowdine area, Western Australia",,No,No,Yes,Shrub
Gilruthia osbornei,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Goodenia berardiana,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Goodenia mimuloides,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Goodenia pusilliflora,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Grevillea acuaria,"Lake Cronin-Yellowdine area, Western Australia",,Yes,No,Yes,Shrub
Grevillea huegelii,"Lake Cronin-Yellowdine area, Western Australia",,Yes,No,Yes,Shrub
Grevillea oncogyne,"Lake Cronin-Yellowdine area, Western Australia",,Yes,No,Yes,Shrub
Hakea kippistiana,"Lake Cronin-Yellowdine area, Western Australia",,Yes,Yes,No,Shrub
Haloragis trigonocarpa,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Hyalosperma demissum,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Hyalosperma glutinosum subsp. glutinosum,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Hydrocotyle pilifera var. glabrata,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Lawrencella rosea,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Lepidium oxytrichum,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Leucochrysum fitzgibbonii,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Lobelia cleistogamoides,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Lomandra effusa,"Lake Cronin-Yellowdine area, Western Australia",,Yes,No,,Hemicryptophyte
Lycium australe,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Shrub
Lysiana casuarinae,"Lake Cronin-Yellowdine area, Western Australia",,No,No,No,Aerial parasite
Maireana carnosa,"Lake Cronin-Yellowdine area, Western Australia",,No,No,No,Low shrub
Maireana georgei,"Lake Cronin-Yellowdine area, Western Australia",,No,No,No,Low shrub
Maireana trichoptera,"Lake Cronin-Yellowdine area, Western Australia",,No,No,No,Low shrub
Maireana triptera,"Lake Cronin-Yellowdine area, Western Australia",,No,No,No,Low shrub
Melaleuca lateriflora,"Lake Cronin-Yellowdine area, Western Australia",,Yes,Yes,No,Shrub
Melaleuca pauperiflora subsp. fastigiata,"Lake Cronin-Yellowdine area, Western Australia",,No,Yes,No,Shrub
Olearia exiguifolia,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Shrub
Olearia muelleri,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Shrub
Olearia pimeleoides,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Shrub
Phebalium filifolium,"Lake Cronin-Yellowdine area, Western Australia",,No,No,Yes,Shrub
Phlegmatospermum drummondii,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Plantago debilis,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Hemicryptophyte
Podolepis capillaris,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Podotheca gnaphalioides,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Prostanthera semiteres subsp. semiteres,"Lake Cronin-Yellowdine area, Western Australia",,No,No,Yes,Shrub
Ptilotus exaltatus var. villosus,"Lake Cronin-Yellowdine area, Western Australia",,No,No,Yes,Low shrub
Ptilotus gaudichaudii var. parviflorus,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Ptilotus holosericeus,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Hemicryptophyte
Ptilotus obovatus,"Lake Cronin-Yellowdine area, Western Australia",,No,No,,Shrub
Ptilotus spathulatus forma spathulatus,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Hemicryptophyte
Rhagodia drummondii,"Lake Cronin-Yellowdine area, Western Australia",,No,No,,Shrub
Rhodanthe chlorocephala subsp. rosea,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Rhodanthe laevis,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Rhodanthe rubella,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Santalum acuminatum,"Lake Cronin-Yellowdine area, Western Australia",,No,No,Yes,Shrub
Scaevola spinescens,"Lake Cronin-Yellowdine area, Western Australia",,Yes,No,Yes,Shrub
Sclerolaena diacantha,"Lake Cronin-Yellowdine area, Western Australia",,No,No,Yes,Low shrub
Sclerolaena drummondii,"Lake Cronin-Yellowdine area, Western Australia",,No,No,Yes,Low shrub
Sclerolaena parviflora,"Lake Cronin-Yellowdine area, Western Australia",,No,No,Yes,Low shrub
Senna artemisioides subsp. filifolia,"Lake Cronin-Yellowdine area, Western Australia",,No,No,,Shrub
Senna stowardii,"Lake Cronin-Yellowdine area, Western Australia",,No,No,Yes,Shrub
Siloxerus pygmaeus,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Solanum hoplopetalum,"Lake Cronin-Yellowdine area, Western Australia",,,No,Yes,Low shrub
Solanum nummularium,"Lake Cronin-Yellowdine area, Western Australia",,,No,Yes,Low shrub
Stellaria filiformis,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Stenopetalum filifolium,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Templetonia smithiana,"Lake Cronin-Yellowdine area, Western Australia",,No,No,Yes,Shrub
Thelymitra petrophila,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Geophyte
Thysanotus manglesianus,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Geophyte
Trachymene cyanopetala,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Velleia cycnopotamica,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Vittadinia humerata,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Wahlenbergia gracilenta,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Waitzia acuminata var. acuminata,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
Westringia cephalantha,"Lake Cronin-Yellowdine area, Western Australia",,,No,Yes,Shrub
Wilsonia humilis,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Low shrub
Wurmbea tenella,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Geophyte
Zygophyllum glaucum,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Hemicryptophyte
Zygophyllum ovatum,"Lake Cronin-Yellowdine area, Western Australia",,,No,,Annual
