species,family,location_name,seed_provenance,dormancy_alleviation_treatment,fire_cue_treatment,seed_dormancy_class,seed_length_min (mm),seed_length_max (mm),embryo_type,embryo_to_seed_ratio (%),imbibition_mass_increase (%),seed_viability (%),seed_germination (%),measurement_remarks
Arthropodium strictum,Asparagaceae,"Euroa region, north-eastern Victoria","Merton (36.98S, 145.71E); Longwood (36.87S, 145.42E); Old Euroa (36.65S, 145.62E)",fresh seed,Smoke,,,,,,,,53,standard error = 5%
Arthropodium strictum,Asparagaceae,"Euroa region, north-eastern Victoria","Merton (36.98S, 145.71E); Longwood (36.87S, 145.42E); Old Euroa (36.65S, 145.62E)",stored seed,Smoke,,,,,,,,56,standard error = 10%
Arthropodium strictum,Asparagaceae,"Euroa region, north-eastern Victoria","Merton (36.98S, 145.71E); Longwood (36.87S, 145.42E); Old Euroa (36.65S, 145.62E)",dry-after-ripening,Smoke,,,,,,,,76,standard error = 3%; significantly different from fresh seed control (P < 0.001)
Arthropodium strictum,Asparagaceae,"Euroa region, north-eastern Victoria","Merton (36.98S, 145.71E); Longwood (36.87S, 145.42E); Old Euroa (36.65S, 145.62E)",warm stratification,Smoke,,,,,,,,73,standard error = 11%; significantly different from fresh seed control (P < 0.01)
Arthropodium strictum,Asparagaceae,"Euroa region, north-eastern Victoria","Merton (36.98S, 145.71E); Longwood (36.87S, 145.42E); Old Euroa (36.65S, 145.62E)",fresh seed,Heat + smoke,,,,,,,,72,standard error = 4%; significantly different from fresh seed control (P < 0.01)
Arthropodium strictum,Asparagaceae,"Euroa region, north-eastern Victoria","Merton (36.98S, 145.71E); Longwood (36.87S, 145.42E); Old Euroa (36.65S, 145.62E)",stored seed,Heat + smoke,,,,,,,,55,standard error = 5%
Arthropodium strictum,Asparagaceae,"Euroa region, north-eastern Victoria","Merton (36.98S, 145.71E); Longwood (36.87S, 145.42E); Old Euroa (36.65S, 145.62E)",dry-after-ripening,Heat + smoke,,,,,,,,69,standard error = 2%; significantly different from fresh seed control (P < 0.05)
Arthropodium strictum,Asparagaceae,"Euroa region, north-eastern Victoria","Merton (36.98S, 145.71E); Longwood (36.87S, 145.42E); Old Euroa (36.65S, 145.62E)",warm stratification,Heat + smoke,,,,,,,,62,standard error = 3%
Brunonia australis,Goodeniaceae,"Euroa region, north-eastern Victoria","Weibye track (36.55S, 145.30E)",,,PD,5,8,Linear,>50,218,65,,
Brunonia australis,Goodeniaceae,"Euroa region, north-eastern Victoria","Weibye track (36.55S, 145.30E)",fresh seed,Control,,,,,,,,64,standard error = 6%
Brunonia australis,Goodeniaceae,"Euroa region, north-eastern Victoria","Weibye track (36.55S, 145.30E)",stored seed,Control,,,,,,,,40,standard error = 10%; significantly different from fresh seed control (P < 0.01)
Brunonia australis,Goodeniaceae,"Euroa region, north-eastern Victoria","Weibye track (36.55S, 145.30E)",dry-after-ripening,Control,,,,,,,,38,standard error = 8%; significantly different from fresh seed control (P < 0.001)
Brunonia australis,Goodeniaceae,"Euroa region, north-eastern Victoria","Weibye track (36.55S, 145.30E)",cold stratification,Control,,,,,,,,5,standard error = 5%; significantly different from fresh seed control (P < 0.001)
Brunonia australis,Goodeniaceae,"Euroa region, north-eastern Victoria","Weibye track (36.55S, 145.30E)",fresh seed,Heat,,,,,,,,67,standard error = 4%
Brunonia australis,Goodeniaceae,"Euroa region, north-eastern Victoria","Weibye track (36.55S, 145.30E)",stored seed,Heat,,,,,,,,38,standard error = 9%; significantly different from fresh seed control (P < 0.001)
Brunonia australis,Goodeniaceae,"Euroa region, north-eastern Victoria","Weibye track (36.55S, 145.30E)",dry-after-ripening,Heat,,,,,,,,46,standard error = 7%; significantly different from fresh seed control (P < 0.05)
Brunonia australis,Goodeniaceae,"Euroa region, north-eastern Victoria","Weibye track (36.55S, 145.30E)",fresh seed,Smoke,,,,,,,,74,standard error = 4%
Brunonia australis,Goodeniaceae,"Euroa region, north-eastern Victoria","Weibye track (36.55S, 145.30E)",stored seed,Smoke,,,,,,,,39,standard error = 3%; significantly different from fresh seed control (P < 0.001)
Brunonia australis,Goodeniaceae,"Euroa region, north-eastern Victoria","Weibye track (36.55S, 145.30E)",dry-after-ripening,Smoke,,,,,,,,38,standard error = 5%; significantly different from fresh seed control (P < 0.001)
Brunonia australis,Goodeniaceae,"Euroa region, north-eastern Victoria","Weibye track (36.55S, 145.30E)",cold stratification,Smoke,,,,,,,,5,standard error = 3%; significantly different from fresh seed control (P < 0.001)
Brunonia australis,Goodeniaceae,"Euroa region, north-eastern Victoria","Weibye track (36.55S, 145.30E)",fresh seed,Heat + smoke,,,,,,,,62,standard error = 5%
Brunonia australis,Goodeniaceae,"Euroa region, north-eastern Victoria","Weibye track (36.55S, 145.30E)",stored seed,Heat + smoke,,,,,,,,51,standard error = 7%
Brunonia australis,Goodeniaceae,"Euroa region, north-eastern Victoria","Weibye track (36.55S, 145.30E)",dry-after-ripening,Heat + smoke,,,,,,,,39,standard error = 14%; significantly different from fresh seed control (P < 0.01)
Burchardia umbellata,Colchicaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Merton (36.98S, 145.71E); Weibye track (36.55S, 145.30E)",,,MPD,2,3,Dwarf,<50,134,80,,
Burchardia umbellata,Colchicaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Merton (36.98S, 145.71E); Weibye track (36.55S, 145.30E)",fresh seed,Control,,,,,,,,6,standard error = 3%
Burchardia umbellata,Colchicaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Merton (36.98S, 145.71E); Weibye track (36.55S, 145.30E)",stored seed,Control,,,,,,,,3,standard error = 2%
Burchardia umbellata,Colchicaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Merton (36.98S, 145.71E); Weibye track (36.55S, 145.30E)",dry-after-ripening,Control,,,,,,,,3,standard error = 2%
Burchardia umbellata,Colchicaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Merton (36.98S, 145.71E); Weibye track (36.55S, 145.30E)",cold stratification,Control,,,,,,,,0,
Burchardia umbellata,Colchicaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Merton (36.98S, 145.71E); Weibye track (36.55S, 145.30E)",warm stratification,Control,,,,,,,,12,standard error = 2%; significantly different from fresh seed control (P < 0.05)
Burchardia umbellata,Colchicaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Merton (36.98S, 145.71E); Weibye track (36.55S, 145.30E)",fresh seed,Heat,,,,,,,,4,standard error = 1%
Burchardia umbellata,Colchicaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Merton (36.98S, 145.71E); Weibye track (36.55S, 145.30E)",stored seed,Heat,,,,,,,,9,standard error = 3%
Burchardia umbellata,Colchicaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Merton (36.98S, 145.71E); Weibye track (36.55S, 145.30E)",dry-after-ripening,Heat,,,,,,,,0,
Burchardia umbellata,Colchicaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Merton (36.98S, 145.71E); Weibye track (36.55S, 145.30E)",cold stratification,Heat,,,,,,,,0,
Burchardia umbellata,Colchicaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Merton (36.98S, 145.71E); Weibye track (36.55S, 145.30E)",warm stratification,Heat,,,,,,,,1,standard error = 1%
Burchardia umbellata,Colchicaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Merton (36.98S, 145.71E); Weibye track (36.55S, 145.30E)",fresh seed,Smoke,,,,,,,,6,standard error = 3%
Burchardia umbellata,Colchicaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Merton (36.98S, 145.71E); Weibye track (36.55S, 145.30E)",stored seed,Smoke,,,,,,,,11,standard error = 2%
Burchardia umbellata,Colchicaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Merton (36.98S, 145.71E); Weibye track (36.55S, 145.30E)",dry-after-ripening,Smoke,,,,,,,,5,standard error = 2%
Burchardia umbellata,Colchicaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Merton (36.98S, 145.71E); Weibye track (36.55S, 145.30E)",cold stratification,Smoke,,,,,,,,0,
Burchardia umbellata,Colchicaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Merton (36.98S, 145.71E); Weibye track (36.55S, 145.30E)",warm stratification,Smoke,,,,,,,,10,standard error = 3%
Burchardia umbellata,Colchicaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Merton (36.98S, 145.71E); Weibye track (36.55S, 145.30E)",fresh seed,Heat + smoke,,,,,,,,2,standard error = 1%
Burchardia umbellata,Colchicaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Merton (36.98S, 145.71E); Weibye track (36.55S, 145.30E)",stored seed,Heat + smoke,,,,,,,,3,standard error = 2%
Burchardia umbellata,Colchicaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Merton (36.98S, 145.71E); Weibye track (36.55S, 145.30E)",dry-after-ripening,Heat + smoke,,,,,,,,6,standard error = 2%
Burchardia umbellata,Colchicaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Merton (36.98S, 145.71E); Weibye track (36.55S, 145.30E)",cold stratification,Heat + smoke,,,,,,,,0,
Burchardia umbellata,Colchicaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Merton (36.98S, 145.71E); Weibye track (36.55S, 145.30E)",warm stratification,Heat + smoke,,,,,,,,0,
Cheiranthera cyanea,Pittosporaceae,"Euroa region, north-eastern Victoria","Longwood (36.87S, 145.42E); Gendeditic (36.98S, 145.31E)",,,MPD,5,5,Dwarf,<50,58,65,,
Cheiranthera cyanea,Pittosporaceae,"Euroa region, north-eastern Victoria","Longwood (36.87S, 145.42E); Gendeditic (36.98S, 145.31E)",stored seed,Control,,,,,,,,1,standard error = 1%
Cheiranthera cyanea,Pittosporaceae,"Euroa region, north-eastern Victoria","Longwood (36.87S, 145.42E); Gendeditic (36.98S, 145.31E)",cold stratification,Control,,,,,,,,0,
Cheiranthera cyanea,Pittosporaceae,"Euroa region, north-eastern Victoria","Longwood (36.87S, 145.42E); Gendeditic (36.98S, 145.31E)",stored seed,Heat,,,,,,,,6,standard error = 3%; significantly different from stored seed control (P < 0.05)
Cheiranthera cyanea,Pittosporaceae,"Euroa region, north-eastern Victoria","Longwood (36.87S, 145.42E); Gendeditic (36.98S, 145.31E)",cold stratification,Heat,,,,,,,,0,
Cheiranthera cyanea,Pittosporaceae,"Euroa region, north-eastern Victoria","Longwood (36.87S, 145.42E); Gendeditic (36.98S, 145.31E)",stored seed,Smoke,,,,,,,,18,standard error = 3%; significantly different from stored seed control (P < 0.01)
Cheiranthera cyanea,Pittosporaceae,"Euroa region, north-eastern Victoria","Longwood (36.87S, 145.42E); Gendeditic (36.98S, 145.31E)",cold stratification,Smoke,,,,,,,,1,
Dianella revoluta,Asphodelaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Murchison road (36.53S, 145.13E)",,,PD,5,7,Linear,>50,19,100,,
Dianella revoluta,Asphodelaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Murchison road (36.53S, 145.13E)",fresh seed,Control,,,,,,,,15,standard error = 2%
Dianella revoluta,Asphodelaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Murchison road (36.53S, 145.13E)",stored seed,Control,,,,,,,,9,standard error = 4%
Dianella revoluta,Asphodelaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Murchison road (36.53S, 145.13E)",dry-after-ripening,Control,,,,,,,,19,standard error = 4%
Dianella revoluta,Asphodelaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Murchison road (36.53S, 145.13E)",cold stratification,Control,,,,,,,,0,
Dianella revoluta,Asphodelaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Murchison road (36.53S, 145.13E)",warm stratification,Control,,,,,,,,50,standard error = 4%; significantly different from fresh seed control (P < 0.001)
Dianella revoluta,Asphodelaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Murchison road (36.53S, 145.13E)",fresh seed,Heat,,,,,,,,22,standard error = 5%
Dianella revoluta,Asphodelaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Murchison road (36.53S, 145.13E)",stored seed,Heat,,,,,,,,20,standard error = 6%
Dianella revoluta,Asphodelaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Murchison road (36.53S, 145.13E)",dry-after-ripening,Heat,,,,,,,,16,standard error = 2%
Dianella revoluta,Asphodelaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Murchison road (36.53S, 145.13E)",cold stratification,Heat,,,,,,,,1,standard error = 1%; significantly different from fresh seed control (P < 0.01)
Dianella revoluta,Asphodelaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Murchison road (36.53S, 145.13E)",warm stratification,Heat,,,,,,,,69,standard error = 7%; significantly different from fresh seed control (P < 0.001)
Dianella revoluta,Asphodelaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Murchison road (36.53S, 145.13E)",fresh seed,Smoke,,,,,,,,33,standard error = 5%; significantly different from fresh seed control (P < 0.01)
Dianella revoluta,Asphodelaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Murchison road (36.53S, 145.13E)",stored seed,Smoke,,,,,,,,20,standard error = 5%
Dianella revoluta,Asphodelaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Murchison road (36.53S, 145.13E)",dry-after-ripening,Smoke,,,,,,,,51,standard error = 7%; significantly different from fresh seed control (P < 0.001)
Dianella revoluta,Asphodelaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Murchison road (36.53S, 145.13E)",cold stratification,Smoke,,,,,,,,0,
Dianella revoluta,Asphodelaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Murchison road (36.53S, 145.13E)",warm stratification,Smoke,,,,,,,,90,standard error = 2%; significantly different from fresh seed control (P < 0.001)
Dianella revoluta,Asphodelaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Murchison road (36.53S, 145.13E)",fresh seed,Heat + smoke,,,,,,,,27,standard error = 4%; significantly different from fresh seed control (P < 0.01)
Dianella revoluta,Asphodelaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Murchison road (36.53S, 145.13E)",stored seed,Heat + smoke,,,,,,,,36,standard error = 12%; significantly different from fresh seed control (P < 0.01)
Dianella revoluta,Asphodelaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Murchison road (36.53S, 145.13E)",dry-after-ripening,Heat + smoke,,,,,,,,27,standard error = 5%
Dianella revoluta,Asphodelaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Murchison road (36.53S, 145.13E)",cold stratification,Heat + smoke,,,,,,,,0,
Dianella revoluta,Asphodelaceae,"Euroa region, north-eastern Victoria","Avenel (36.82S, 145.20E); Murchison road (36.53S, 145.13E)",warm stratification,Heat + smoke,,,,,,,,86,standard error = 1%; significantly different from fresh seed control (P < 0.001)
Eryngium ovinum,Apiaceae,"Euroa region, north-eastern Victoria","Balmattum (36.42S, 145.37E)",,,MPD,8,10,Dwarf,<50,242,70,,
Eryngium ovinum,Apiaceae,"Euroa region, north-eastern Victoria","Balmattum (36.42S, 145.37E)",fresh seed,Control,,,,,,,,51,standard error = 6%
Eryngium ovinum,Apiaceae,"Euroa region, north-eastern Victoria","Balmattum (36.42S, 145.37E)",stored seed,Control,,,,,,,,21,standard error = 2%; significantly different from fresh seed control (P < 0.001)
Eryngium ovinum,Apiaceae,"Euroa region, north-eastern Victoria","Balmattum (36.42S, 145.37E)",dry-after-ripening,Control,,,,,,,,30,standard error = 8%; significantly different from fresh seed control (P < 0.01)
Eryngium ovinum,Apiaceae,"Euroa region, north-eastern Victoria","Balmattum (36.42S, 145.37E)",cold stratification,Control,,,,,,,,0,
Eryngium ovinum,Apiaceae,"Euroa region, north-eastern Victoria","Balmattum (36.42S, 145.37E)",warm stratification,Control,,,,,,,,29,standard error = 10%; significantly different from fresh seed control (P < 0.05)
Eryngium ovinum,Apiaceae,"Euroa region, north-eastern Victoria","Balmattum (36.42S, 145.37E)",fresh seed,Heat,,,,,,,,48,standard error = 8%
Eryngium ovinum,Apiaceae,"Euroa region, north-eastern Victoria","Balmattum (36.42S, 145.37E)",stored seed,Heat,,,,,,,,30,standard error = 3%; significantly different from fresh seed control (P < 0.05)
Eryngium ovinum,Apiaceae,"Euroa region, north-eastern Victoria","Balmattum (36.42S, 145.37E)",dry-after-ripening,Heat,,,,,,,,31,standard error = 4%; significantly different from fresh seed control (P < 0.01)
Eryngium ovinum,Apiaceae,"Euroa region, north-eastern Victoria","Balmattum (36.42S, 145.37E)",cold stratification,Heat,,,,,,,,0,
Eryngium ovinum,Apiaceae,"Euroa region, north-eastern Victoria","Balmattum (36.42S, 145.37E)",fresh seed,Smoke,,,,,,,,42,standard error = 7%
Eryngium ovinum,Apiaceae,"Euroa region, north-eastern Victoria","Balmattum (36.42S, 145.37E)",stored seed,Smoke,,,,,,,,25,standard error = 3%; significantly different from fresh seed control (P < 0.01)
Eryngium ovinum,Apiaceae,"Euroa region, north-eastern Victoria","Balmattum (36.42S, 145.37E)",dry-after-ripening,Smoke,,,,,,,,17,standard error = 2%; significantly different from fresh seed control (P < 0.01)
Eryngium ovinum,Apiaceae,"Euroa region, north-eastern Victoria","Balmattum (36.42S, 145.37E)",cold stratification,Smoke,,,,,,,,0,
Eryngium ovinum,Apiaceae,"Euroa region, north-eastern Victoria","Balmattum (36.42S, 145.37E)",fresh seed,Heat + smoke,,,,,,,,30,standard error = 8%
Eryngium ovinum,Apiaceae,"Euroa region, north-eastern Victoria","Balmattum (36.42S, 145.37E)",stored seed,Heat + smoke,,,,,,,,28,standard error = 2%; significantly different from fresh seed control (P < 0.05)
Eryngium ovinum,Apiaceae,"Euroa region, north-eastern Victoria","Balmattum (36.42S, 145.37E)",dry-after-ripening,Heat + smoke,,,,,,,,32,standard error = 8%; significantly different from fresh seed control (P < 0.01)
Eryngium ovinum,Apiaceae,"Euroa region, north-eastern Victoria","Balmattum (36.42S, 145.37E)",cold stratification,Heat + smoke,,,,,,,,0,
Stypandra glauca,Asphodelaceae,"Euroa region, north-eastern Victoria","Calvin view (36.49S, 145.39E)",,,PD,1,2,Linear,>50,20,70,,
