Individual,Species,Batch,Nutrient Treatment,Grass Treatment,Continent,Climate,Leaf Habit,Mass_g,RMF_g_per_g,SER_mm_per_day,SLA_mm2_per_mg,N_mg_per_g,P_mg_per_g,K_mg_per_g,A_nmol_CO2_per_g_s,gs_mmol_H2O_per_m2_s,PWUE_umol_CO2_per_mmol_H2O
39,Acacia aulacocarpa,2,Nl,G1,Australia,Humid,Evergreen,0.82,0.044,NA,29.1,25.17,1.18,12.79,120.32,121,1.03
40,Acacia aulacocarpa,2,Nh,G1,Australia,Humid,Evergreen,0.66,0.043,NA,30.69,30.65,1.66,15.64,88.73,73.56,1.04
41,Acacia bidwillii,1,Nl,G0,Australia,Humid,Deciduous,5.59,0.644,0.15,15.85,26.6,1.33,14.48,194.83,121.34,1.1
42,Acacia bidwillii,1,Nl,G0,Australia,Humid,Deciduous,4.8,0.618,0.17,17.92,24.25,1.61,14.81,113.19,54.67,1.12
43,Acacia bidwillii,1,Nl,G0,Australia,Humid,Deciduous,5.39,0.627,0.14,17.84,28.59,1.8,16.61,NA,NA,NA
44,Acacia bidwillii,2,Nh,G0,Australia,Humid,Deciduous,5.08,0.513,0.32,18.88,28.91,2.37,14.77,169.26,67.83,1.13
45,Acacia bidwillii,2,Nh,G0,Australia,Humid,Deciduous,33.11,0.254,0.65,21.43,27.23,1.76,13.41,318.81,300.27,1.05
46,Acacia bidwillii,1,Nl,G0,Australia,Humid,Deciduous,3.41,0.621,0.16,19.65,28.07,1.43,10.64,297.88,166.95,1.09
47,Acacia bidwillii,1,Nh,G0,Australia,Humid,Deciduous,7.12,0.371,0.33,22.86,29.03,2.32,18.76,294.66,91.14,1.14
48,Acacia bidwillii,1,Nh,G0,Australia,Humid,Deciduous,2.35,0.382,0.11,24.31,30.5,2.55,19.03,292.88,129.86,1.09
49,Acacia bidwillii,1,Nh,G0,Australia,Humid,Deciduous,6.8,0.447,0.34,20.79,27.93,2.07,15.34,NA,NA,NA
50,Acacia bidwillii,1,Nh,G0,Australia,Humid,Deciduous,2.09,0.248,0.14,31.6,34.7,3.13,22.02,235.71,100.02,1.08
51,Acacia bidwillii,1,Nh,G0,Australia,Humid,Deciduous,8.82,0.489,0.31,18.89,27.23,1.62,17.18,523.79,257.53,1.11
52,Acacia bidwillii,1,Nl,G0,Australia,Humid,Deciduous,2.16,0.445,0.17,21.24,29.23,2.19,15.15,163.83,83.55,1.09
53,Acacia bidwillii,1,Nh,G1,Australia,Humid,Deciduous,1.24,0.406,NA,23.16,29.04,1.38,18.38,261.83,65.99,1.17
54,Acacia bidwillii,1,Nh,G1,Australia,Humid,Deciduous,1.99,0.25,NA,23.33,29.73,1.4,17.51,162.63,47.19,1.15
55,Acacia bidwillii,1,Nh,G1,Australia,Humid,Deciduous,1.28,0.647,NA,26.43,24.03,0.98,23.61,144.15,68.71,1.08
56,Acacia bidwillii,1,Nh,G1,Australia,Humid,Deciduous,0.78,0.566,NA,22.59,24.12,1.49,19.8,34.75,75.69,1.02
57,Acacia bidwillii,1,Nh,G1,Australia,Humid,Deciduous,0.98,0.232,NA,34.73,30.4,2.26,20.24,326.94,261.21,1.04
58,Acacia bidwillii,1,Nl,G1,Australia,Humid,Deciduous,0.78,0.58,NA,28.58,33.06,1.91,10.71,231.57,60.17,1.14
59,Acacia bidwillii,1,Nl,G1,Australia,Humid,Deciduous,0.94,0.574,NA,26.25,19.37,0.99,6.89,187.5,102.5,1.07
60,Acacia bidwillii,1,Nl,G1,Australia,Humid,Deciduous,1.28,0.514,NA,30.04,27.29,1.13,11.73,61.47,47.97,1.04
61,Acacia bidwillii,1,Nl,G1,Australia,Humid,Deciduous,0.79,0.263,NA,25.12,20.33,1.52,7.99,NA,NA,NA
62,Acacia bidwillii,1,Nl,G1,Australia,Humid,Deciduous,1.01,0.327,NA,31.17,28.88,1.84,13.33,191.47,291.22,1.02
63,Acacia bidwillii,2,Nh,G1,Australia,Humid,Deciduous,0.82,0.256,NA,27.22,27.83,2.27,17.56,135.17,282.01,1.02
64,Acacia bidwillii,2,Nh,G1,Australia,Humid,Deciduous,1.21,0.598,NA,21.61,23.8,1.64,16.25,NA,NA,NA
65,Acacia bidwillii,2,Nh,G1,Australia,Humid,Deciduous,1.67,0.333,NA,27.51,30.23,1.46,14.72,71.24,380.29,1.01
66,Acacia bidwillii,2,Nh,G1,Australia,Humid,Deciduous,0.91,0.256,NA,30.31,27.95,1.69,16.71,146.49,282.11,1.02
67,Acacia bidwillii,2,Nh,G1,Australia,Humid,Deciduous,0.68,0.232,NA,32.51,39.23,3.11,22.45,47.62,158.72,1.01
68,Acacia bidwillii,2,Nl,G1,Australia,Humid,Deciduous,0.85,0.511,NA,21.12,13.04,1.13,5.25,19.97,115.53,1.01
69,Acacia bidwillii,2,Nl,G1,Australia,Humid,Deciduous,1.28,0.625,NA,20.67,21.69,1.14,6.12,121.4,132.66,1.04
70,Acacia bidwillii,2,Nl,G1,Australia,Humid,Deciduous,0.76,0.359,NA,31.47,23.61,1.79,11.66,50.04,125.69,1.01
71,Acacia bidwillii,2,Nl,G1,Australia,Humid,Deciduous,1.74,0.636,NA,24.03,20.17,1.9,7.39,301.41,239.34,1.05
72,Acacia bidwillii,2,Nl,G1,Australia,Humid,Deciduous,1.03,0.379,NA,31.49,28.53,1.79,12.97,142.02,317.48,1.01
73,Acacia bidwillii,2,Nh,G0,Australia,Humid,Deciduous,6.54,0.481,0.2,22.16,42.39,4,17.78,209.07,154.52,1.06
74,Acacia bidwillii,2,Nh,G0,Australia,Humid,Deciduous,4.19,0.574,0.24,20.36,27.92,8,22.53,NA,NA,NA
75,Acacia bidwillii,2,Nh,G0,Australia,Humid,Deciduous,9.99,0.212,0.31,26.25,39.42,3.39,16.78,329.35,241.93,1.05
76,Acacia bidwillii,2,Nl,G0,Australia,Humid,Deciduous,3.92,0.417,0.09,24.05,32.26,2.71,17.51,NA,NA,NA
77,Acacia bidwillii,2,Nl,G0,Australia,Humid,Deciduous,15.03,0.501,0.4,18.64,21.84,1.75,10.96,271.3,381.64,1.04
78,Acacia bidwillii,2,Nl,G0,Australia,Humid,Deciduous,5.89,0.621,0.18,20.91,27.93,1.58,14.63,297.84,282.91,1.05
79,Acacia bidwillii,2,Nl,G0,Australia,Humid,Deciduous,6.32,0.337,0.18,26.97,32.84,2.04,18.07,387.64,239.95,1.06
80,Acacia bidwillii,2,Nl,G0,Australia,Humid,Deciduous,2.02,0.594,0.1,17.55,28.96,2.83,12.13,215.44,172.67,1.07
81,Acacia erioloba,1,Nh,G0,Africa,Semi-arid,Deciduous,9.09,0.301,0.26,17.92,33.37,1.95,13.83,NA,NA,NA
82,Acacia erioloba,1,Nh,G0,Africa,Semi-arid,Deciduous,6.28,0.308,0.22,16.7,32.91,1.68,14.09,184.88,97.36,1.11
83,Acacia erioloba,1,Nh,G0,Africa,Semi-arid,Deciduous,6.11,0.53,0.2,15.43,30.71,2.18,11.71,238.19,173.22,1.09
84,Acacia erioloba,1,Nh,G0,Africa,Semi-arid,Deciduous,12.05,0.231,0.26,18.75,42.99,2.46,14.13,256.98,201.92,1.07
85,Acacia erioloba,1,Nh,G0,Africa,Semi-arid,Deciduous,6.03,0.449,0.26,14.32,33.28,1.9,11.99,161.4,117.24,1.1
86,Acacia erioloba,1,Nl,G0,Africa,Semi-arid,Deciduous,5.81,0.484,0.19,13.84,30.32,1.74,15.33,96.03,46.76,1.15
87,Acacia erioloba,1,Nl,G0,Africa,Semi-arid,Deciduous,7.62,0.483,0.23,13.41,32.89,1.86,11.03,281.74,182.29,1.12
88,Acacia erioloba,1,Nl,G0,Africa,Semi-arid,Deciduous,4.78,0.397,0.21,16.8,46.77,2.26,12.27,267.2,172.21,1.09
89,Acacia erioloba,1,Nl,G0,Africa,Semi-arid,Deciduous,5.19,0.337,0.26,13.96,35.99,4.08,12.05,281.34,256.55,1.08
90,Acacia erioloba,1,Nl,G0,Africa,Semi-arid,Deciduous,4.19,0.494,0.2,12.88,35.27,1.9,11.43,242.21,191.12,1.1
101,Acacia erioloba,1,Nh,G1,Africa,Semi-arid,Deciduous,0.9,0.2,NA,25.09,41.26,1.79,20.69,217.28,46.64,1.19
102,Acacia erioloba,1,Nh,G1,Africa,Semi-arid,Deciduous,1.83,0.292,NA,21.14,38.23,1.92,18.31,269.61,262.59,1.05
103,Acacia erioloba,1,Nh,G1,Africa,Semi-arid,Deciduous,0.97,0.213,NA,23.28,43.46,2.08,21.33,282.4,77.36,1.16
104,Acacia erioloba,1,Nh,G1,Africa,Semi-arid,Deciduous,2.13,0.257,NA,20.85,37.23,1.79,17.63,379.46,288.01,1.06
105,Acacia erioloba,1,Nl,G1,Africa,Semi-arid,Deciduous,1.06,0.32,NA,29.99,40.3,1.96,16.88,244.59,41.61,1.2
106,Acacia erioloba,1,Nl,G1,Africa,Semi-arid,Deciduous,1.01,0.298,NA,30.66,35.74,1.53,19.5,536.51,131.14,1.13
107,Acacia erioloba,1,Nl,G1,Africa,Semi-arid,Deciduous,1.52,0.388,NA,19.18,28.33,1.19,12.8,370.3,252.16,1.08
108,Acacia erioloba,1,Nl,G1,Africa,Semi-arid,Deciduous,1.41,0.48,NA,22.04,29.77,1.2,10.55,472.75,180.55,1.12
109,Acacia erioloba,1,Nl,G1,Africa,Semi-arid,Deciduous,1.99,0.534,NA,21.58,26.76,1.29,10.91,272.79,176.21,1.07
113,Acacia erioloba,1,Nh,G1,Africa,Semi-arid,Deciduous,1.77,0.362,NA,19.91,32.82,1.79,17.1,295.64,74.98,1.2
121,Acacia harpophylla,1,Nl,G0,Australia,Semi-arid,Evergreen,0.84,0.32,0.05,14.06,38.04,2.49,14.15,207.54,153.82,1.1
122,Acacia harpophylla,1,Nl,G0,Australia,Semi-arid,Evergreen,2.14,0.211,0.13,8.73,28.23,1.92,16.34,50.39,49.79,1.12
123,Acacia harpophylla,1,Nl,G0,Australia,Semi-arid,Evergreen,0.99,0.292,0.07,7.74,26.45,2.43,16.87,58.05,85.76,1.09
124,Acacia harpophylla,2,Nh,G0,Australia,Semi-arid,Evergreen,4.35,0.416,0.13,6.85,22.89,5.53,16.86,56.35,172.77,1.05
125,Acacia harpophylla,2,Nh,G0,Australia,Semi-arid,Evergreen,7.81,0.239,0.2,6.61,25.34,3.25,20.89,80.17,154.21,1.08
126,Acacia harpophylla,1,Nl,G0,Australia,Semi-arid,Evergreen,0.64,0.042,0.04,7.06,13.06,0.79,5.74,38.55,41.89,1.13
127,Acacia harpophylla,1,Nh,G0,Australia,Semi-arid,Evergreen,2.07,0.18,0.14,10.22,27.37,6.3,24.76,112.25,48.39,1.23
128,Acacia harpophylla,1,Nh,G0,Australia,Semi-arid,Evergreen,1.84,0.257,0.1,7.92,20.81,3.52,19.54,185.81,166.01,1.14
129,Acacia harpophylla,1,Nh,G0,Australia,Semi-arid,Evergreen,1.85,0.178,0.1,8.18,27.98,4.2,17.96,150.71,148.91,1.12
130,Acacia harpophylla,1,Nh,G0,Australia,Semi-arid,Evergreen,0.92,0.285,0.07,12.69,29.5,7.97,19.96,36.49,31.76,1.09
131,Acacia harpophylla,1,Nh,G0,Australia,Semi-arid,Evergreen,3.45,0.148,0.17,8.41,25.68,3.94,18.45,81.54,66.49,1.15
132,Acacia harpophylla,1,Nl,G0,Australia,Semi-arid,Evergreen,2.08,0.255,0.16,6.87,26.07,1.4,17.39,69.48,93.32,1.11
133,Acacia harpophylla,1,Nh,G1,Australia,Semi-arid,Evergreen,0.78,0.266,NA,9.44,39.13,1.94,13.51,40.67,26,1.17
134,Acacia harpophylla,1,Nh,G1,Australia,Semi-arid,Evergreen,0.63,0.218,NA,15.92,34.17,1.96,13.81,NA,NA,NA
136,Acacia harpophylla,1,Nh,G1,Australia,Semi-arid,Evergreen,0.66,0.27,NA,17.48,41.34,3.02,18.26,41.02,23.9,1.1
137,Acacia harpophylla,1,Nh,G1,Australia,Semi-arid,Evergreen,0.71,0.156,NA,12.21,36.66,2.63,18.01,9.12,20.95,1.03
138,Acacia harpophylla,1,Nl,G1,Australia,Semi-arid,Evergreen,0.59,0.167,NA,17.93,26.45,1.55,13.56,145.33,74.8,1.11
139,Acacia harpophylla,1,Nl,G1,Australia,Semi-arid,Evergreen,0.59,0.287,NA,10.76,29.31,1.74,11.06,76.35,44.78,1.16
140,Acacia harpophylla,1,Nl,G1,Australia,Semi-arid,Evergreen,0.6,0.167,NA,14.12,29.68,1.78,15.03,253.01,303.71,1.06
141,Acacia harpophylla,1,Nl,G1,Australia,Semi-arid,Evergreen,0.54,0.311,NA,14.47,NA,NA,NA,73.84,68.11,1.08
142,Acacia harpophylla,1,Nl,G1,Australia,Semi-arid,Evergreen,0.6,0.144,NA,17.04,30.62,1.92,16.19,48.64,66.23,1.04
143,Acacia harpophylla,2,Nh,G1,Australia,Semi-arid,Evergreen,0.66,0.221,NA,15.57,35,4.07,19.21,1,25.65,1
144,Acacia harpophylla,2,Nh,G1,Australia,Semi-arid,Evergreen,0.92,0.181,NA,14.13,32.38,3.02,15.91,1,137.99,1
145,Acacia harpophylla,2,Nh,G1,Australia,Semi-arid,Evergreen,0.6,0.276,NA,17.23,32.48,4.4,17.06,1,34.19,1
146,Acacia harpophylla,2,Nh,G1,Australia,Semi-arid,Evergreen,0.63,0.133,NA,8.64,43.41,3.88,22.86,12.64,75.09,1.02
147,Acacia harpophylla,2,Nh,G1,Australia,Semi-arid,Evergreen,0.64,0.145,NA,15.37,34.51,2.67,19.11,25.65,75.85,1.02
148,Acacia harpophylla,2,Nl,G1,Australia,Semi-arid,Evergreen,0.57,0.225,NA,10.88,32.37,2.17,8.61,40.12,79.68,1.05
149,Acacia harpophylla,2,Nl,G1,Australia,Semi-arid,Evergreen,0.55,0.3,NA,14.51,42.22,2.9,8.83,1,44.56,1
150,Acacia harpophylla,2,Nl,G1,Australia,Semi-arid,Evergreen,0.64,0.588,NA,11.08,31.89,2.18,8.63,23.99,80.51,1.03
151,Acacia harpophylla,2,Nl,G1,Australia,Semi-arid,Evergreen,0.57,0.303,NA,7.42,20.6,2.28,0.48,22.16,89.74,1.03
152,Acacia harpophylla,2,Nl,G1,Australia,Semi-arid,Evergreen,0.58,0.278,NA,10.77,19.2,1.28,6.75,8.47,63.41,1.01
153,Acacia harpophylla,2,Nh,G0,Australia,Semi-arid,Evergreen,2.55,0.174,0.12,6.85,20.81,4.91,19.09,15.72,NA,NA
154,Acacia harpophylla,2,Nl,G0,Australia,Semi-arid,Evergreen,2.32,0.394,0.07,8.51,33.98,1.84,15.35,71.89,137.97,1.06
155,Acacia harpophylla,2,Nh,G0,Australia,Semi-arid,Evergreen,7.54,0.307,0.16,7.73,31.06,3.34,16.54,NA,NA,NA
156,Acacia harpophylla,2,Nh,G0,Australia,Semi-arid,Evergreen,2.92,0.236,0.12,8.96,25.79,7.85,22.81,57.83,134.56,1.05
157,Acacia harpophylla,2,Nl,G0,Australia,Semi-arid,Evergreen,2.43,0.245,0.11,10.93,26.74,1.46,14.23,127.51,263.02,1.04
158,Acacia harpophylla,2,Nl,G0,Australia,Semi-arid,Evergreen,1.1,0.289,0.05,8.25,34.91,1.91,15.8,60.99,77.32,1.1
159,Acacia harpophylla,2,Nl,G0,Australia,Semi-arid,Evergreen,4.11,0.319,0.13,9.26,24.51,1.48,14.64,199.81,402.72,1.05
160,Acacia harpophylla,2,Nl,G0,Australia,Semi-arid,Evergreen,3.24,0.279,0.07,8.95,24.26,1.22,16.25,59.06,167.27,1.04
161,Acacia mellifera,1,Nh,G1,Africa,Semi-arid,Deciduous,0.64,0.179,NA,32.18,42.57,2.9,27.79,214.22,64.6,1.1
162,Acacia mellifera,1,Nh,G1,Africa,Semi-arid,Deciduous,0.64,0.19,NA,40.35,NA,NA,NA,103.71,51.92,1.05
183,Acacia mellifera,1,Nh,G1,Africa,Semi-arid,Deciduous,0.7,0.302,NA,31.58,41.79,2.94,32.43,122.1,45.74,1.09
184,Acacia mellifera,1,Nh,G1,Africa,Semi-arid,Deciduous,0.56,0.281,NA,29.99,NA,NA,NA,44.67,22.84,1.07
185,Acacia mellifera,1,Nl,G1,Africa,Semi-arid,Deciduous,0.83,0.218,NA,32.9,31.16,0.88,25.98,248.66,90.13,1.08
186,Acacia mellifera,1,Nl,G1,Africa,Semi-arid,Deciduous,0.79,0.356,NA,31.52,37.18,1.15,21.55,128.1,66.53,1.06
187,Acacia mellifera,1,Nl,G1,Africa,Semi-arid,Deciduous,1.05,0.314,NA,29.24,36.16,1.08,16.19,163.25,NA,NA
188,Acacia mellifera,1,Nl,G1,Africa,Semi-arid,Deciduous,0.66,0.295,NA,32.7,40.69,1.53,22.35,NA,NA,NA
189,Acacia mellifera,1,Nl,G1,Africa,Semi-arid,Deciduous,0.73,0.276,NA,28.74,30.88,0.89,17.02,96.59,71.23,1.05
190,Acacia mellifera,1,Nh,G0,Africa,Semi-arid,Deciduous,9.74,0.193,0.23,22.15,37.02,4.67,18.25,276.75,63.26,1.2
192,Acacia mellifera,1,Nh,G0,Africa,Semi-arid,Deciduous,12.8,0.304,0.32,20.01,43.65,1.88,17.54,155.43,49.12,1.16
193,Acacia mellifera,1,Nh,G0,Africa,Semi-arid,Deciduous,8.22,0.252,0.28,21.16,42.48,2.88,16.63,179.71,60.92,1.14
194,Acacia mellifera,1,Nh,G0,Africa,Semi-arid,Deciduous,2.07,0.253,0.21,30,41.24,4.04,27.54,NA,NA,NA
195,Acacia mellifera,1,Nh,G1,Africa,Semi-arid,Deciduous,1.54,0.23,NA,29.85,39.3,1.03,18.47,52.16,11.28,1.17
196,Acacia mellifera,1,Nl,G0,Africa,Semi-arid,Deciduous,1.44,0.348,0.12,24.56,41.92,4.01,27.32,325.21,124.38,1.11
197,Acacia mellifera,1,Nl,G0,Africa,Semi-arid,Deciduous,4.14,0.255,0.2,30.74,41,1.82,27.93,101.68,NA,NA
198,Acacia mellifera,1,Nl,G0,Africa,Semi-arid,Deciduous,4.77,0.236,0.21,20.43,38.79,1.86,23.19,NA,NA,NA
199,Acacia mellifera,1,Nl,G0,Africa,Semi-arid,Deciduous,2.38,0.235,0.13,20.92,39.9,3.22,23.39,348.97,270.41,1.06
200,Acacia mellifera,1,Nl,G0,Africa,Semi-arid,Deciduous,7.05,0.189,0.29,22.71,41.97,2.2,22.68,NA,NA,NA
201,Acacia natalitia,2,Nl,G1,Africa,Humid,Deciduous,0.88,0.573,NA,21.23,11.43,0.67,3.93,51.39,59.02,1.04
202,Acacia natalitia,2,Nl,G1,Africa,Humid,Deciduous,1.08,0.272,NA,35.16,21.18,1.32,9.75,39.89,106.86,1.01
203,Acacia natalitia,2,Nl,G1,Africa,Humid,Deciduous,0.57,0.219,NA,44.23,24.39,1.41,7.24,1,128.31,1
204,Acacia natalitia,2,Nh,G1,Africa,Humid,Deciduous,2.94,0.304,NA,24.87,19.66,1.02,8.55,134.32,38.66,1.14
205,Acacia natalitia,2,Nl,G1,Africa,Humid,Deciduous,1.01,0.274,NA,31.27,17.58,0.68,8.13,57.86,119.18,1.02
206,Acacia natalitia,2,Nh,G0,Africa,Humid,Deciduous,37.24,0.414,0.41,16.28,22.05,4.9,11.23,168.2,300.9,1.03
208,Acacia natalitia,2,Nl,G1,Africa,Humid,Deciduous,0.64,0.259,NA,32.57,16.53,1.81,4.89,100.67,331.52,1.01
209,Acacia natalitia,2,Nh,G1,Africa,Humid,Deciduous,1.86,0.429,NA,28.46,21.62,0.9,6.35,107.73,58.36,1.07
210,Acacia natalitia,2,Nh,G1,Africa,Humid,Deciduous,3.53,0.316,NA,27.65,25.09,0.97,13.43,153.49,141.26,1.04
211,Acacia natalitia,2,Nh,G1,Africa,Humid,Deciduous,2.99,0.489,NA,29.46,20.78,1.08,6.43,230.11,93.34,1.08
212,Acacia natalitia,2,Nh,G1,Africa,Humid,Deciduous,1.18,0.221,NA,36.87,22.79,1.52,11.28,8.46,25.27,1.01
213,Acacia natalitia,3,Nh,G1,Africa,Humid,Deciduous,0.84,0.178,NA,NA,NA,NA,NA,NA,NA,NA
214,Acacia natalitia,3,Nh,G1,Africa,Humid,Deciduous,0.8,0.443,NA,NA,NA,NA,NA,NA,NA,NA
215,Acacia natalitia,3,Nh,G1,Africa,Humid,Deciduous,0.79,0.372,NA,NA,24.99,0.93,17.73,NA,NA,NA
216,Acacia natalitia,3,Nh,G1,Africa,Humid,Deciduous,0.71,0.417,NA,NA,31.98,1.4,15.79,NA,NA,NA
217,Acacia natalitia,3,Nh,G1,Africa,Humid,Deciduous,0.7,0.55,NA,NA,25.62,1.51,10.02,NA,NA,NA
218,Acacia natalitia,3,Nl,G1,Africa,Humid,Deciduous,0.88,0.28,NA,NA,14.65,0.95,4.16,NA,NA,NA
219,Acacia natalitia,3,Nl,G1,Africa,Humid,Deciduous,0.58,0.634,NA,NA,13.37,1.45,9.69,NA,NA,NA
220,Acacia natalitia,3,Nl,G1,Africa,Humid,Deciduous,0.63,0.331,NA,NA,17.86,0.87,7.82,NA,NA,NA
221,Acacia natalitia,3,Nl,G1,Africa,Humid,Deciduous,0.74,0.605,NA,NA,34.39,0.71,3.48,NA,NA,NA
222,Acacia natalitia,3,Nl,G1,Africa,Humid,Deciduous,0.55,0.413,NA,NA,25.33,1.25,9.67,NA,NA,NA
223,Acacia natalitia,3,Nh,G0,Africa,Humid,Deciduous,150.64,0.319,0.52,17.39,26.75,1.55,16.2,NA,NA,NA
224,Acacia natalitia,3,Nh,G0,Africa,Humid,Deciduous,53.28,0.394,0.59,13.68,24.04,0.92,7.5,NA,NA,NA
225,Acacia natalitia,3,Nh,G0,Africa,Humid,Deciduous,66.91,0.295,0.58,20.12,32.49,1.77,15.08,NA,NA,NA
226,Acacia natalitia,3,Nh,G0,Africa,Humid,Deciduous,42.35,0.339,0.57,17.24,31.3,1.73,14.12,NA,NA,NA
227,Acacia natalitia,3,Nh,G0,Africa,Humid,Deciduous,67.87,0.266,0.62,17.17,28.61,1.01,11.06,NA,NA,NA
228,Acacia natalitia,3,Nl,G0,Africa,Humid,Deciduous,5.94,0.312,0.26,18.48,27.08,1.31,13.34,NA,NA,NA
229,Acacia natalitia,3,Nl,G0,Africa,Humid,Deciduous,30.12,0.276,0.34,21.43,22.35,1.29,10.28,NA,NA,NA
230,Acacia natalitia,3,Nl,G0,Africa,Humid,Deciduous,9.48,0.362,0.27,15.4,NA,NA,NA,NA,NA,NA
