Individual,Species,Continent,Climate,Leaf Habit,Mass0_g
248,Combretum zeyheri,Africa,Semi-arid,Deciduous,0.44100
249,Combretum zeyheri,Africa,Semi-arid,Deciduous,0.44900
250,Combretum zeyheri,Africa,Semi-arid,Deciduous,0.48300
251,Combretum zeyheri,Africa,Semi-arid,Deciduous,0.48800
252,Combretum zeyheri,Africa,Semi-arid,Deciduous,0.50300
253,Combretum zeyheri,Africa,Semi-arid,Deciduous,0.53000
254,Dalbergia miscolobium,South America,Humid,Deciduous,0.05600
255,Dalbergia miscolobium,South America,Humid,Deciduous,0.07000
256,Dalbergia miscolobium,South America,Humid,Deciduous,0.07300
257,Dalbergia miscolobium,South America,Humid,Deciduous,0.08400
258,Dalbergia miscolobium,South America,Humid,Deciduous,0.10000
259,Dichrostachys cinerea,Africa,Semi-arid,Deciduous,0.00480
260,Dichrostachys cinerea,Africa,Semi-arid,Deciduous,0.00520
261,Dichrostachys cinerea,Africa,Semi-arid,Deciduous,0.00580
262,Dichrostachys cinerea,Africa,Semi-arid,Deciduous,0.00670
263,Dichrostachys cinerea,Africa,Semi-arid,Deciduous,0.00740
264,Dichrostachys cinerea,Africa,Semi-arid,Deciduous,0.00840
265,Dichrostachys cinerea,Africa,Semi-arid,Deciduous,0.00900
266,Dichrostachys cinerea,Africa,Semi-arid,Deciduous,0.01030
267,Dichrostachys cinerea,Africa,Semi-arid,Deciduous,0.01350
268,Dichrostachys cinerea,Africa,Semi-arid,Deciduous,0.01390
269,Dimorphandra mollis,South America,Humid,Deciduous,0.04700
270,Dimorphandra mollis,South America,Humid,Deciduous,0.05300
271,Dimorphandra mollis,South America,Humid,Deciduous,0.05600
272,Dimorphandra mollis,South America,Humid,Deciduous,0.05900
273,Dimorphandra mollis,South America,Humid,Deciduous,0.06000
274,Dimorphandra mollis,South America,Humid,Deciduous,0.06100
275,Dimorphandra mollis,South America,Humid,Deciduous,0.06200
276,Dimorphandra mollis,South America,Humid,Deciduous,0.06600
277,Erythrina vespertilio,Australia,Humid,Deciduous,0.17800
278,Erythrina vespertilio,Australia,Humid,Deciduous,0.20700
279,Erythrina vespertilio,Australia,Humid,Deciduous,0.20700
280,Erythrina vespertilio,Australia,Humid,Deciduous,0.20800
281,Erythrina vespertilio,Australia,Humid,Deciduous,0.26100
282,Erythrina vespertilio,Australia,Humid,Deciduous,0.27300
283,Erythrina vespertilio,Australia,Humid,Deciduous,0.33400
284,Erythrina vespertilio,Australia,Humid,Deciduous,0.35500
285,Erythrina vespertilio,Australia,Humid,Deciduous,0.37500
289,Eucalyptus crebra,Australia,Semi-arid,Evergreen,0.00040
290,Eucalyptus crebra,Australia,Semi-arid,Evergreen,0.00040
291,Eucalyptus crebra,Australia,Semi-arid,Evergreen,0.00050
292,Eucalyptus crebra,Australia,Semi-arid,Evergreen,0.00050
293,Eucalyptus crebra,Australia,Semi-arid,Evergreen,0.00050
294,Eucalyptus crebra,Australia,Semi-arid,Evergreen,0.00060
295,Eucalyptus crebra,Australia,Semi-arid,Evergreen,0.00060
296,Eucalyptus crebra,Australia,Semi-arid,Evergreen,0.00060
297,Eucalyptus crebra,Australia,Semi-arid,Evergreen,0.00070
298,Eucalyptus crebra,Australia,Semi-arid,Evergreen,0.00070
299,Eucalyptus erythrophloia,Australia,Semi-arid,Evergreen,0.00650
300,Eucalyptus erythrophloia,Australia,Semi-arid,Evergreen,0.00690
301,Eucalyptus erythrophloia,Australia,Semi-arid,Evergreen,0.00720
302,Eucalyptus erythrophloia,Australia,Semi-arid,Evergreen,0.00720
