"species","plant_growth_form","leaf_lifespan","plant_height","plant_height_unit","leaf_length_min","leaf_length_max","leaf_length_unit","leaf_width_min","leaf_width_max","leaf_width_unit","seed_length_min","seed_length_max","seed_length_unit","seed_width_min","seed_width_max","seed_width_unit"
"Corymbia ligans","T","",20,"m",7.7,17.5,"cm",0.8,2,"cm",6,8,"mm",NA,NA,""
"Corymbia maculata","T","",45,"m",8,21,"cm",1.2,3,"cm",2,6,"mm",NA,NA,""
"Corymbia nesophila","T","",30,"m",7.3,21,"cm",0.7,2.8,"cm",6,7,"mm",NA,NA,""
"Corymbia novoguinensis","T","",25,"m",10,21,"cm",1.2,3.5,"cm",8,10,"mm",NA,NA,""
"Corymbia oocarpa","T","",15,"m",10,22,"cm",0.9,2.7,"cm",6,9,"mm",NA,NA,""
"Corymbia pachycarpa","T","",6,"m",4,12,"cm",1.7,5,"cm",8,13,"mm",NA,NA,""
"Corymbia papillosa","T","",8,"m",3.5,12.2,"cm",2,5.5,"cm",8,11,"mm",NA,NA,""
"Corymbia papuana","T","",40,"m",9,26,"cm",1.6,4.2,"cm",NA,NA,"",3,4,"mm"
"Corymbia paractia","T","D",8,"m",4.8,14,"cm",1.4,7,"cm",NA,NA,"",NA,NA,""
"Corymbia pauciseta","T","D",6,"m",6.3,19.5,"cm",2.7,9,"cm",NA,NA,"",NA,NA,""
"Corymbia peltata subsp. peltata","T","",20,"m",4.3,13.5,"cm",3.5,11,"cm",3,6,"mm",NA,NA,""
"Corymbia petalophylla","T","",15,"m",8,19,"cm",1.5,4.5,"cm",2.5,6,"mm",NA,NA,""
"Corymbia plena","T","",15,"m",7.6,18,"cm",1,3,"cm",9,12,"mm",NA,NA,""
"Corymbia pocillum","T","",10,"m",8,20.5,"cm",0.7,3,"cm",6,8,"mm",NA,NA,""
"Corymbia polycarpa","T","",20,"m",7.8,20.8,"cm",1,3.8,"cm",8,13,"mm",NA,NA,""
"Corymbia polysciada","T","",15,"m",6,25.5,"cm",1,11.5,"cm",4,6.5,"mm",NA,NA,""
"Corymbia porrecta","T","",20,"m",9,23.5,"cm",1.8,8.5,"cm",11,16,"mm",NA,NA,""
"Corymbia ptychocarpa subsp. aptycha","T","",15,"m",11,32,"cm",3,11.5,"cm",13,17,"mm",NA,NA,""
"Corymbia ptychocarpa subsp. ptychocarpa","T","",20,"m",11,46,"cm",2.7,13,"cm",11,17,"mm",NA,NA,""
"Corymbia rhodops","T","",15,"m",8,15.2,"cm",0.8,3,"cm",7,13,"mm",NA,NA,""
"Corymbia scabrida","T","",18,"m",5,12.5,"cm",1.3,4.8,"cm",2.5,6,"mm",NA,NA,""
"Corymbia serendipita","T","",12,"m",7.5,18,"cm",0.8,2.2,"cm",6,9,"mm",NA,NA,""
"Corymbia setosa","T","",4,"m",1.5,7.7,"cm",1,5,"cm",8,13,"mm",NA,NA,""
"Corymbia sphaerica","TS","",10,"m",3,10,"cm",1.5,4.5,"cm",9,16,"mm",NA,NA,""
"Corymbia stockeri subsp. peninsularis","T","",20,"m",7,21.5,"cm",0.6,2.3,"cm",6,9,"mm",NA,NA,""
"Corymbia stockeri subsp. stockeri","T","",12,"m",8,22.2,"cm",0.9,2.5,"cm",6,9,"mm",NA,NA,""
"Corymbia terminalis","T","",18,"m",8,20,"cm",1.2,3,"cm",9,12,"mm",NA,NA,""
"Corymbia tessellaris","T","",35,"m",9,24,"cm",0.6,2.5,"cm",1.5,2.2,"mm",NA,NA,""
"Corymbia torelliana","T","",30,"m",6,16,"cm",1.5,8.5,"cm",1.2,3,"mm",NA,NA,""
"Corymbia torta","T","",15,"m",7,17.5,"cm",0.7,4.5,"cm",NA,NA,"",NA,NA,""
"Corymbia trachyphloia","T","",15,"m",6.5,14,"cm",0.9,4,"cm",2,5,"mm",NA,NA,""
"Corymbia umbonata","T","",17,"m",9,27,"cm",0.8,2,"cm",7,8,"mm",NA,NA,""
"Corymbia watsoniana subsp. capillata","T","",15,"m",9,26.5,"cm",2.3,7,"cm",3,8.5,"mm",NA,NA,""
"Corymbia watsoniana subsp. watsoniana","T","",15,"m",9,21.5,"cm",1.8,6.5,"cm",3,8.5,"mm",NA,NA,""
"Corymbia xanthope","T","",12,"m",9,20,"cm",1,2.5,"cm",7,11,"mm",NA,NA,""
"Corymbia zygophylla","T","",6,"m",6.5,14.5,"cm",1.8,6,"cm",10,14,"mm",NA,NA,""
"Eucalyptus abdita","","",3,"m",5.5,10,"cm",1.1,1.8,"cm",0.8,1.5,"mm",NA,NA,""
"Eucalyptus absita","","",10,"m",7,11,"cm",1.5,4,"cm",0.8,2,"mm",NA,NA,""
"Eucalyptus acaciiformis","T","",20,"m",5,13,"cm",1,2.2,"cm",1.2,2,"mm",NA,NA,""
"Eucalyptus accedens","T","",25,"m",8,18,"cm",1.2,3,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus acies","S","",3,"m",8,13.5,"cm",2,4,"cm",2,5,"mm",NA,NA,""
"Eucalyptus acmenoides","T","",45,"m",7,15.7,"cm",0.9,5,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus acroleuca","T","",25,"m",7,17,"cm",0.6,1.5,"cm",0.8,1.2,"mm",NA,NA,""
"Eucalyptus aequioperta","T","",10,"m",6,11,"cm",0.6,1.2,"cm",0.8,1.5,"mm",NA,NA,""
"Eucalyptus agglomerata","T","",40,"m",7,14,"cm",1.4,3,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus aggregata","T","",20,"m",5,12,"cm",1,2.5,"cm",1.2,2,"mm",NA,NA,""
"Eucalyptus alba var. australasica","T","D",20,"m",8,18.5,"cm",1.8,8,"cm",1.5,2,"mm",NA,NA,""
"Eucalyptus albens","T","",25,"m",7,16.5,"cm",1.7,4.3,"cm",1,2,"mm",NA,NA,""
"Eucalyptus albida","","",3,"m",4,10.5,"cm",0.5,1.7,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus albopurpurea","","",5,"m",7,14,"cm",1.2,3,"cm",0.7,1.5,"mm",NA,NA,""
"Eucalyptus alligatrix subsp. alligatrix","T","",15,"m",5.4,20,"cm",1,4.7,"cm",1,2.2,"mm",NA,NA,""
"Eucalyptus alligatrix subsp. limaensis","T","",30,"m",4.8,19.5,"cm",0.7,1.8,"cm",1,1.6,"mm",NA,NA,""
"Eucalyptus alligatrix subsp. miscella","T","",15,"m",8,17,"cm",0.8,2.8,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus ammophila","T","",6,"m",6.5,13.5,"cm",1.5,3,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus amplifolia subsp. amplifolia","T","",30,"m",7.5,25,"cm",1.6,7,"cm",0.7,1.5,"mm",NA,NA,""
"Eucalyptus amplifolia subsp. sessiliflora","T","",30,"m",7.5,22,"cm",1.3,3.5,"cm",0.7,1,"mm",NA,NA,""
"Eucalyptus amygdalina","T","",30,"m",5.5,12,"cm",0.4,1.2,"cm",1,2,"mm",NA,NA,""
"Eucalyptus ancophila","T","",35,"m",9,20,"cm",1.8,4.8,"cm",1.4,2,"mm",NA,NA,""
"Eucalyptus andrewsii subsp. andrewsii","T","",45,"m",9,17,"cm",1,3.2,"cm",1,3,"mm",NA,NA,""
"Eucalyptus andrewsii subsp. campanulata","T","",45,"m",9,17.5,"cm",1.5,4,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus angophoroides","T","",40,"m",8,25,"cm",1.4,4.3,"cm",1,2.2,"mm",NA,NA,""
"Eucalyptus angularis","","",3,"m",5.5,10,"cm",1.5,1.7,"cm",NA,NA,"",NA,NA,""
"Eucalyptus angulosa","","",5,"m",5,14,"cm",1.7,5,"cm",2,4.5,"mm",NA,NA,""
"Eucalyptus angustissima","","",8,"m",5.5,11.5,"cm",0.15,0.4,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus annulata","","",7,"m",6,11.5,"cm",0.7,1.7,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus annuliformis","","",3,"m",4,6.5,"cm",1,1.7,"cm",1,2,"mm",NA,NA,""
"Eucalyptus apiculata","","",6,"m",3.5,11,"cm",0.3,0.7,"cm",1,1.8,"mm",NA,NA,""
"Eucalyptus apodophylla","T","D",20,"m",7,20,"cm",3,9,"cm",1,1.7,"mm",NA,NA,""
"Eucalyptus apothalassica","T","",20,"m",5,14,"cm",0.9,3,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus approximans subsp. approximans","","",6,"m",5.5,12,"cm",0.5,1.6,"cm",1,2,"mm",NA,NA,""
"Eucalyptus approximans subsp. codonocarpa","","",6,"m",6.5,15,"cm",1,2,"cm",1.5,2.8,"mm",NA,NA,""
"Eucalyptus aquilina","","",7,"m",7,13.5,"cm",1.2,2.5,"cm",2.5,6,"mm",NA,NA,""
"Eucalyptus arachnaea subsp. arachnaea","","",5,"m",6,12,"cm",1,2.2,"cm",0.8,1.2,"mm",NA,NA,""
"Eucalyptus arachnaea subsp. arrecta","T","",10,"m",6,12,"cm",1,2.2,"cm",0.5,1.2,"mm",NA,NA,""
"Eucalyptus arborella","","",5,"m",4,7,"cm",0.7,1.5,"cm",1,4,"mm",NA,NA,""
"Eucalyptus archeri","T","",12,"m",4,9,"cm",0.9,3,"cm",1.2,2,"mm",NA,NA,""
"Eucalyptus arenacea","T","",10,"m",7,12,"cm",1.5,4,"cm",1.8,3,"mm",NA,NA,""
"Eucalyptus argillacea","T","",5,"m",5,14,"cm",1.2,4.5,"cm",1.8,3,"mm",NA,NA,""
"Eucalyptus argophloia","T","",30,"m",6.5,14,"cm",0.7,2,"cm",0.8,1,"mm",NA,NA,""
"Eucalyptus argutifolia","","",4,"m",7.3,12,"cm",1.2,3,"cm",1.5,3.2,"mm",NA,NA,""
"Eucalyptus argyphea","","",15,"m",6,13,"cm",0.8,2.2,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus aromaphloia subsp. aromaphloia","T","",18,"m",7.5,20,"cm",1,2,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus aromaphloia subsp. sabulosa","T","",15,"m",7.5,16,"cm",1,2,"cm",1,2,"mm",NA,NA,""
"Eucalyptus articulata","","",3,"m",6,12,"cm",1,1.5,"cm",0.7,1.5,"mm",NA,NA,""
"Eucalyptus aspersa","T","",6,"m",4.5,12,"cm",0.8,2,"cm",0.9,1.1,"mm",NA,NA,""
"Eucalyptus aspratilis ","","",5,"m",5.5,10.5,"cm",1,2.2,"cm",1,2,"mm",NA,NA,""
"Eucalyptus astringens subsp. astringens","","",25,"m",6,14,"cm",0.8,3.5,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus astringens subsp. redacta","","",5,"m",5,10.5,"cm",1,3,"cm",0.8,2,"mm",NA,NA,""
"Eucalyptus atrata","T","",15,"m",8,17.5,"cm",1.4,3.4,"cm",1,1.8,"mm",NA,NA,""
"Eucalyptus badjensis","T","",45,"m",8.5,20,"cm",1,2,"cm",1.6,2,"mm",NA,NA,""
"Eucalyptus baeuerlenii","T","",20,"m",7,17.5,"cm",0.6,3,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus baileyana","T","",40,"m",9,16.5,"cm",1,2.5,"cm",3,5,"mm",NA,NA,""
"Eucalyptus bakeri","T","",12,"m",4,10.5,"cm",0.5,1.5,"cm",0.9,1.5,"mm",NA,NA,""
"Eucalyptus balanites","T","",5,"m",6.5,13.5,"cm",0.9,1.8,"cm",1,2,"mm",NA,NA,""
"Eucalyptus balanopelex","","",4,"m",6.5,12,"cm",1.3,3,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus balladoniensis subsp. balladoniensis","","",5,"m",7,13.5,"cm",1,2.7,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus balladoniensis subsp. sedens","","",5,"m",7,13.5,"cm",1,2.2,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus bancroftii","T","",15,"m",10,26,"cm",2,5,"cm",0.9,1.3,"mm",NA,NA,""
"Eucalyptus banksii","T","",20,"m",10,19,"cm",1.5,3,"cm",2,3,"mm",NA,NA,""
"Eucalyptus barberi","T","",8,"m",5,14,"cm",1,3.5,"cm",1.5,2,"mm",NA,NA,""
"Eucalyptus baudiniana","T","",10,"m",4.5,9.5,"cm",0.5,1.5,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus baueriana","T","",20,"m",5.3,10.5,"cm",2,5.2,"cm",0.7,2,"mm",NA,NA,""
"Eucalyptus baxteri","T","",40,"m",6,15,"cm",1.5,5.5,"cm",2,3.5,"mm",NA,NA,""
"Eucalyptus beaniana","T","",15,"m",7,17,"cm",0.9,2.3,"cm",1,1.8,"mm",NA,NA,""
"Eucalyptus beardiana","","",4,"m",6,15,"cm",0.7,1.5,"cm",2,3,"mm",NA,NA,""
"Eucalyptus behriana","T","",12,"m",4.5,13,"cm",1.3,5,"cm",0.5,1,"mm",NA,NA,""
"Eucalyptus bensonii","T","",8,"m",6,12,"cm",1.9,3.7,"cm",1.6,2.2,"mm",NA,NA,""
"Eucalyptus benthamii","T","",40,"m",8,23,"cm",1.2,2.7,"cm",1,1.8,"mm",NA,NA,""
"Eucalyptus beyeri","T","",20,"m",7,14,"cm",0.7,2,"cm",0.8,1.5,"mm",NA,NA,""
"Eucalyptus bigalerita","T","D",17,"m",6,19,"cm",5,15,"cm",2,3,"mm",NA,NA,""
"Eucalyptus blakelyi","T","",25,"m",6,20,"cm",0.7,4.5,"cm",0.5,1.5,"mm",NA,NA,""
"Eucalyptus blaxellii","","",3,"m",6,10,"cm",0.5,1,"cm",0.7,1.5,"mm",NA,NA,""
"Eucalyptus blaxlandii","T","",35,"m",6,12,"cm",1.3,2.7,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus boliviana","TS","",12,"m",8,16,"cm",2.5,5,"cm",1.5,2.2,"mm",NA,NA,""
"Eucalyptus bosistoana","T","",60,"m",5.8,20,"cm",0.7,2.7,"cm",0.9,2,"mm",NA,NA,""
"Eucalyptus botryoides","T","",40,"m",10,22,"cm",2,7,"cm",0.8,2.2,"mm",NA,NA,""
"Eucalyptus brachyandra","TS","",8,"m",3.3,9.7,"cm",0.9,6,"cm",0.5,1,"mm",NA,NA,""
"Eucalyptus brachycalyx","T","",10,"m",5,11,"cm",0.5,2,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus brachycorys","","",7,"m",6,10,"cm",0.6,1.5,"cm",0.5,1.8,"mm",NA,NA,""
"Eucalyptus brachyphylla","T","",4,"m",2.5,5.5,"cm",1.5,3.5,"cm",0.7,1.8,"mm",NA,NA,""
"Eucalyptus brassiana","T","",20,"m",10,22,"cm",1,2.8,"cm",1,1.7,"mm",NA,NA,""
"Eucalyptus brevifolia","T","",10,"m",5,11,"cm",0.9,5,"cm",1.8,2.5,"mm",NA,NA,""
"Eucalyptus brevipes","","",5,"m",6.3,12.5,"cm",0.7,1,"cm",0.8,2,"mm",NA,NA,""
"Eucalyptus brevistylis","T","",25,"m",5.3,11,"cm",1,3,"cm",1,3,"mm",NA,NA,""
"Eucalyptus bridgesiana","T","",25,"m",12,20,"cm",1.5,2.5,"cm",NA,NA,"",NA,NA,""
"Eucalyptus brockwayi","T","",15,"m",7,15,"cm",0.8,1.8,"cm",1,2,"mm",NA,NA,""
"Eucalyptus brookeriana","T","",40,"m",6.5,16,"cm",1.3,5.5,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus broviniensis","T","",10,"m",10,15,"cm",2.5,4.5,"cm",0.75,1.1,"mm",NA,NA,""
"Eucalyptus brownii","T","",18,"m",6,17,"cm",1,3.6,"cm",1,1.3,"mm",NA,NA,""
"Eucalyptus buprestium","","",4,"m",3,7.7,"cm",0.6,1,"cm",3,7,"mm",NA,NA,""
"Eucalyptus burdettiana","","",4,"m",5.7,9.5,"cm",1,3,"cm",2,4,"mm",NA,NA,""
"Eucalyptus burgessiana","T","",7,"m",7,13,"cm",1.3,2.5,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus burracoppinensis","","",5,"m",6,11.5,"cm",0.9,2.3,"cm",2,3.5,"mm",NA,NA,""
"Eucalyptus cadens","T","",25,"m",5,13,"cm",0.9,2,"cm",0.8,1.7,"mm",NA,NA,""
"Eucalyptus caesia subsp. caesia","","",10,"m",6.3,16,"cm",1,4,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus caesia subsp. magna","","",15,"m",9,24,"cm",2.2,5,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus calcareana","T","",8,"m",6.5,14,"cm",1,2.5,"cm",1.5,3.5,"mm",NA,NA,""
"Eucalyptus calcicola subsp. calcicola","","",4,"m",6,11,"cm",1.2,2.5,"cm",2.5,4,"mm",NA,NA,""
"Eucalyptus calcicola subsp. unita","S","",6,"m",4.5,11.5,"cm",1.2,2.2,"cm",2.5,4,"mm",NA,NA,""
"Eucalyptus caleyi subsp. caleyi","T","",30,"m",4.5,11,"cm",1.8,4.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus caleyi subsp. ovendenii","T","",15,"m",5,10,"cm",1.5,4,"cm",1,2.6,"mm",NA,NA,""
"Eucalyptus caliginosa","T","",35,"m",5,18,"cm",1.3,3.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus calycogona subsp. calycogona","T","",5,"m",5,10,"cm",0.7,2,"cm",1,2,"mm",NA,NA,""
"Eucalyptus calycogona subsp. spaffordii","T","",5,"m",6.5,10.5,"cm",1,2.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus calycogona subsp. trachybasis","T","",6,"m",5,10,"cm",0.7,2,"cm",1,2,"mm",NA,NA,""
"Eucalyptus calyerup","T","",10,"m",3.8,7.7,"cm",1.5,4,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus camaldulensis subsp. simulata","T","",35,"m",11,25,"cm",1,3.5,"cm",1,1.2,"mm",NA,NA,""
"Eucalyptus camaldulensis var. camaldulensis","T","",45,"m",5,30,"cm",0.7,3.2,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus camaldulensis var. obtusa","T","",30,"m",5,28,"cm",0.8,3.6,"cm",0.8,1.5,"mm",NA,NA,""
"Eucalyptus cambageana","T","",25,"m",7.5,16.5,"cm",1.2,4,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus cameronii","T","",40,"m",4,13,"cm",0.8,2.6,"cm",1,2.3,"mm",NA,NA,""
"Eucalyptus camfieldii","T","",10,"m",6,11,"cm",1.8,4,"cm",1.5,2.3,"mm",NA,NA,""
"Eucalyptus campaspe","","",10,"m",7,12,"cm",0.8,2.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus camphora subsp. camphora","T","",10,"m",5,13,"cm",1.5,3,"cm",1.2,2,"mm",NA,NA,""
"Eucalyptus camphora subsp. humeana","T","",25,"m",6,15,"cm",2.5,6,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus canaliculata","T","",30,"m",8,17,"cm",1.5,5,"cm",1,3,"mm",NA,NA,""
