species,Tree,date,sampling_period,burn_status,R25_stem,Q10,Photosynthesis (umol m-2 s-1),PARi (umol m-2 s-1),Stomatal conductance (mol m-2 s-1),Ci (umol mol-1),Transpiration (mmol m-2 s-1),position,leaf respiraton at 30degC,sapwood cross sectional area (cm2),leaf fresh weight (g),dry weight to fresh weight ratio,leaf dry weight (kg),SW area per leaf dry mass (cm2 kg-1),specific leaf area (m2 kg-1),SW area per leaf area (cm2 m-2),diameter,diameter under bark,bark_thickness,context
Corymbia bleeseri,EB6,7/15/2004,July,unburnt,0.65,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in July
Erythrophleum chlorostachys,EC1,7/20/2004,July,unburnt,1.38,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in July
Erythrophleum chlorostachys,EC2,7/20/2004,July,unburnt,1.07,2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in July
Erythrophleum chlorostachys,EC3,7/20/2004,July,unburnt,0.84,2.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in July
Erythrophleum chlorostachys,EC4,7/20/2004,July,unburnt,0.96,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in July
Erythrophleum chlorostachys,EC5,7/20/2004,July,unburnt,0.98,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in July
Erythrophleum chlorostachys,EC6,7/20/2004,July,unburnt,0.95,2.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in July
Eucalyptus miniata,EM1,7/16/2004,July,unburnt,0.57,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in July
Eucalyptus miniata,EM2,7/16/2004,July,unburnt,0.93,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in July
Eucalyptus miniata,EM3,7/16/2004,July,unburnt,1.25,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in July
Eucalyptus miniata,EM4,7/16/2004,July,unburnt,0.93,1.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in July
Eucalyptus miniata,EM5,7/16/2004,July,unburnt,0.98,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in July
Eucalyptus miniata,EM6,7/16/2004,July,unburnt,0.74,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in July
Eucalyptus tetrodonta,ET1,7/16/2004,July,unburnt,0.81,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in July
Eucalyptus tetrodonta,ET2,7/16/2004,July,unburnt,2.1,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in July
Eucalyptus tetrodonta,ET3,7/16/2004,July,unburnt,1.79,2.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in July
Eucalyptus tetrodonta,ET4,7/16/2004,July,unburnt,0.82,3.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in July
Eucalyptus tetrodonta,ET5,7/16/2004,July,unburnt,0.77,2.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in July
Eucalyptus tetrodonta,ET6,7/16/2004,July,unburnt,0.71,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in July
Corymbia bleeseri,EB1B,7/13/2004,July,burn,2.21,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in July
Corymbia bleeseri,EB2B,7/13/2004,July,burn,3.16,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in July
Corymbia bleeseri,EB3B,7/13/2004,July,burn,0.94,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in July
Corymbia bleeseri,EB4B,7/13/2004,July,burn,0.96,1.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in July
Corymbia bleeseri,EB5B,7/13/2004,July,burn,1.44,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in July
Corymbia bleeseri,EB6B,7/13/2004,July,burn,1.09,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in July
Erythrophleum chlorostachys,EC1B,7/13/2004,July,burn,0.57,2.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in July
Erythrophleum chlorostachys,EC2B,7/13/2004,July,burn,1.03,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in July
Erythrophleum chlorostachys,EC3B,7/13/2004,July,burn,0.68,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in July
Erythrophleum chlorostachys,EC4B,7/13/2004,July,burn,1.02,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in July
Erythrophleum chlorostachys,EC5B,7/13/2004,July,burn,0.83,2.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in July
Erythrophleum chlorostachys,EC6B,7/13/2004,July,burn,0.55,2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in July
Eucalyptus miniata,EM1B,7/13/2004,July,burn,1.04,2.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in July
Eucalyptus miniata,EM2B,7/13/2004,July,burn,1.11,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in July
Eucalyptus miniata,EM3B,7/13/2004,July,burn,0.74,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in July
Eucalyptus miniata,EM4B,7/13/2004,July,burn,0.78,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in July
Eucalyptus miniata,EM5B,7/13/2004,July,burn,1.13,1.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in July
Eucalyptus miniata,EM6B,7/13/2004,July,burn,2.11,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in July
Eucalyptus tetrodonta,ET1B,7/13/2004,July,burn,1.53,3.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in July
Eucalyptus tetrodonta,ET2B,7/13/2004,July,burn,1.26,2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in July
Eucalyptus tetrodonta,ET3B,7/13/2004,July,burn,1.8,2.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in July
Eucalyptus tetrodonta,ET4B,7/13/2004,July,burn,1.21,2.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in July
Eucalyptus tetrodonta,ET5B,7/13/2004,July,burn,0.72,2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in July
Eucalyptus tetrodonta,ET6B,7/13/2004,July,burn,1.45,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in July
Corymbia bleeseri,EB1B,9/3/2004,September,burn,0.75,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in September
Corymbia bleeseri,EB2B,9/3/2004,September,burn,0.82,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in September
Corymbia bleeseri,EB3B,9/3/2004,September,burn,0.53,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in September
Corymbia bleeseri,EB4B,9/3/2004,September,burn,0.52,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in September
Corymbia bleeseri,EB5B,9/3/2004,September,burn,0.59,1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in September
Corymbia bleeseri,EB6B,9/3/2004,September,burn,0.62,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in September
Erythrophleum chlorostachys,EC1B,9/3/2004,September,burn,0.5,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in September
Erythrophleum chlorostachys,EC2B,9/3/2004,September,burn,0.85,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in September
Erythrophleum chlorostachys,EC3B,9/3/2004,September,burn,0.57,3.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in September
Erythrophleum chlorostachys,EC4B,9/3/2004,September,burn,0.59,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in September
Erythrophleum chlorostachys,EC5B,9/3/2004,September,burn,0.46,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in September
Erythrophleum chlorostachys,EC6B,9/3/2004,September,burn,0.63,2.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in September
Eucalyptus miniata,EM1B,9/3/2004,September,burn,0.86,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in September
Eucalyptus miniata,EM2B,9/3/2004,September,burn,0.57,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in September
Eucalyptus miniata,EM3B,9/3/2004,September,burn,0.64,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in September
Eucalyptus miniata,EM4B,9/3/2004,September,burn,0.46,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in September
Eucalyptus miniata,EM5B,9/3/2004,September,burn,1.44,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in September
Eucalyptus miniata,EM6B,9/3/2004,September,burn,0.99,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in September
Eucalyptus tetrodonta,ET1B,9/3/2004,September,burn,0.63,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in September
Eucalyptus tetrodonta,ET2B,9/3/2004,September,burn,0.4,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in September
Eucalyptus tetrodonta,ET3B,9/3/2004,September,burn,0.68,2.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in September
Eucalyptus tetrodonta,ET4B,9/3/2004,September,burn,0.6,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in September
Eucalyptus tetrodonta,ET5B,9/3/2004,September,burn,0.37,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in September
Eucalyptus tetrodonta,ET6B,9/3/2004,September,burn,0.43,2.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in September
Corymbia bleeseri,EB1N,9/10/2004,September,unburnt,1.91,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in September
Corymbia bleeseri,EB2N,9/10/2004,September,unburnt,3.42,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in September
Corymbia bleeseri,EB3N,9/10/2004,September,unburnt,3.78,1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in September
Corymbia bleeseri,EB4N,9/10/2004,September,unburnt,3.85,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in September
Corymbia bleeseri,EB5N,9/10/2004,September,unburnt,5.12,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in September
Corymbia bleeseri,EB6N,9/10/2004,September,unburnt,2.22,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in September
Erythrophleum chlorostachys,EC1N,9/10/2004,September,unburnt,2.97,2.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in September
Erythrophleum chlorostachys,EC2N,9/10/2004,September,unburnt,0.95,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in September
Erythrophleum chlorostachys,EC3N,9/10/2004,September,unburnt,1.38,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in September
Erythrophleum chlorostachys,EC4N,9/10/2004,September,unburnt,2.7,2.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in September
Erythrophleum chlorostachys,EC5N,9/10/2004,September,unburnt,1.33,2.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in September
Erythrophleum chlorostachys,EC6N,9/10/2004,September,unburnt,1.17,2.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in September
Eucalyptus miniata,EM1N,9/10/2004,September,unburnt,1.28,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in September
Eucalyptus miniata,EM2N,9/10/2004,September,unburnt,1.64,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in September
Eucalyptus miniata,EM3N,9/10/2004,September,unburnt,0.98,1.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in September
Eucalyptus miniata,EM4N,9/10/2004,September,unburnt,1.45,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in September
Eucalyptus miniata,EM5N,9/10/2004,September,unburnt,1.69,2.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in September
Eucalyptus miniata,EM6N,9/10/2004,September,unburnt,1.64,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in September
Eucalyptus tetrodonta,ET1N,9/10/2004,September,unburnt,1.2,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in September
Eucalyptus tetrodonta,ET2N,9/10/2004,September,unburnt,0.77,1.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in September
Eucalyptus tetrodonta,ET3N,9/10/2004,September,unburnt,2.25,2.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in September
Eucalyptus tetrodonta,ET4N,9/10/2004,September,unburnt,1.96,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in September
Eucalyptus tetrodonta,ET5N,9/10/2004,September,unburnt,0.85,2.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in September
Eucalyptus tetrodonta,ET6N,9/10/2004,September,unburnt,0.82,1.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unburnt tree sampled in September
Corymbia bleeseri,EB1B,10/19/2004,October,burn,0.71,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in October
Corymbia bleeseri,EB2B,10/19/2004,October,burn,0.65,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in October
Corymbia bleeseri,EB3B,10/19/2004,October,burn,0.44,1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in October
Corymbia bleeseri,EB4B,10/19/2004,October,burn,0.31,1.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in October
Corymbia bleeseri,EB5B,10/19/2004,October,burn,0.36,1.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in October
Corymbia bleeseri,EB6B,10/19/2004,October,burn,0.62,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in October
Erythrophleum chlorostachys,EC1B,10/19/2004,October,burn,0.86,2.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in October
Erythrophleum chlorostachys,EC2B,10/19/2004,October,burn,0.8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in October
Erythrophleum chlorostachys,EC3B,10/19/2004,October,burn,0.73,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in October
Erythrophleum chlorostachys,EC4B,10/19/2004,October,burn,0.92,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in October
Erythrophleum chlorostachys,EC5B,10/19/2004,October,burn,1,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in October
Erythrophleum chlorostachys,EC6B,10/19/2004,October,burn,0.54,2.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in October
Eucalyptus miniata,EM1B,10/19/2004,October,burn,0.73,1.92,13.975,1601.5,0.46475,274,11.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in October
Eucalyptus miniata,EM2B,10/19/2004,October,burn,0.68,1.59,17.22,1381.8,0.8094,285.6,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in October
Eucalyptus miniata,EM3B,10/19/2004,October,burn,1.01,1.38,18.31666667,1440.833333,0.996166667,284,11.28333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in October
Eucalyptus miniata,EM4B,10/19/2004,October,burn,0.75,1.88,NA,NA,NA,NA,NA,detached,-3.417142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in October
Eucalyptus miniata,EM5B,10/19/2004,October,burn,1.03,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in October
Eucalyptus miniata,EM6B,10/19/2004,October,burn,0.9,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in October
Eucalyptus tetrodonta,ET1B,10/19/2004,October,burn,0.61,2.08,10.14692308,1392.384615,0.280692308,267.3846154,8.053846154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in October
Eucalyptus tetrodonta,ET2B,10/19/2004,October,burn,0.76,1.5,10.31333333,1535.5,0.353833333,281.8333333,8.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,burn tree sampled in October
