species,leaf N (microg g^-1),d15N (permil Air),d13C (permil VPDB),leaf C (%),leaf P (microg g^-1),site
Banksia sessilis var. cygnorum,6884.69549,1.703259064,-28.38912384,48.60012667,282.1931952,Jurien Bay
Banksia leptophylla var. melletica,7475.0182,3.235873707,-26.82721929,48.86078508,540.4970952,Jurien Bay
Banksia sessilis var. cygnorum,6561.01302,4.605005129,-27.1036246,48.41624422,250.7136952,Jurien Bay
Banksia leptophylla var. melletica,11778.49483,3.947550248,-26.95099824,48.46699274,384.7806952,Jurien Bay
Banksia sessilis var. cygnorum,8833.9595,1.47652663,-27.26188821,48.39145261,255.3292952,Jurien Bay
Banksia leptophylla var. melletica,9086.21032,0.90725918,-27.50039056,49.09604827,355.2610952,Jurien Bay
Banksia sessilis var. cygnorum,6383.29143,2.526885855,-26.70880606,49.52307932,198.9529952,Jurien Bay
Banksia leptophylla var. melletica,10235.80632,4.387586703,-28.10779403,48.32083985,559.1680952,Jurien Bay
Banksia sessilis var. cygnorum,6284.92117,4.459103838,-25.94146664,48.3020314,250.9069952,Jurien Bay
Banksia leptophylla var. melletica,10843.28352,2.220307681,-28.18929558,49.21265685,410.6779952,Jurien Bay
Banksia sessilis var. cygnorum,6835.77354,3.33845442,-27.79752174,48.68550354,300.3744952,Jurien Bay
Banksia leptophylla var. melletica,7088.59003,3.543490522,-27.58251746,49.66805997,436.9777952,Jurien Bay
Banksia sessilis var. cygnorum,7036.09875,3.610664996,-26.54459066,48.29613333,249.5787952,Jurien Bay
Melaleuca leuropoma ,8854.2848,-1.852273501,-28.77206163,47.59296323,258.3508952,Jurien Bay
Mesomelaena pseudostygia ,7566.04922,0.971642649,-27.0460648,44.87126864,90.3823875,Jurien Bay
Melaleuca leuropoma ,8732.73302,0.178479355,-29.60242119,48.12348037,288.3514952,Jurien Bay
Mesomelaena pseudostygia ,7018.32808,0.634911216,-28.38069027,44.02092487,101.4774875,Jurien Bay
Melaleuca leuropoma ,7015.608,-0.55452414,-28.30526981,49.0185659,184.7841952,Jurien Bay
Mesomelaena pseudostygia ,8148.31405,0.62561788,-27.68014071,43.74106675,93.9449875,Jurien Bay
Melaleuca leuropoma ,8515.35094,1.651263244,-28.77698937,47.72095247,290.7342952,Jurien Bay
Mesomelaena pseudostygia ,7840.9594,2.917000611,-26.6736441,44.06697934,113.6577875,Jurien Bay
Mesomelaena pseudostygia ,8854.20932,2.879022924,-27.57463403,44.43300336,106.9303875,Jurien Bay
Melaleuca leuropoma ,7611.0108,-1.256853363,-29.51313897,48.2850492,251.9589952,Jurien Bay
Mesomelaena pseudostygia ,7463.1466,2.336064549,-27.22066811,44.89023451,104.4057875,Jurien Bay
Melaleuca leuropoma ,10492.1692,4.924389724,-28.16738071,49.1178972,296.2642952,Jurien Bay
Mesomelaena pseudostygia ,9338.50961,3.264419189,-27.38143623,44.77357451,118.2491875,Jurien Bay
Melaleuca leuropoma ,10225.14553,0.937980669,-28.00214318,49.38178548,271.0590952,Jurien Bay
Mesomelaena pseudostygia ,8366.23054,2.83312108,-28.33643709,44.70460533,116.4853875,Jurien Bay
Melaleuca leuropoma ,6363.42602,-0.371584668,-28.56339087,48.10828703,239.8952952,Jurien Bay
Mesomelaena pseudostygia ,6635.19998,-0.676082746,-27.28978596,44.07765834,91.6499875,Jurien Bay
Melaleuca leuropoma ,7519.16977,-1.225557903,-28.95493096,48.55729293,256.2823952,Jurien Bay
Mesomelaena pseudostygia ,7229.58829,-0.575961947,-28.48317687,43.72475138,96.6760875,Jurien Bay
Acanthocarpus preissii ,16138.867,-3.943279128,-27.49957752,46.14943935,1546.375895,Jurien Bay
Lepidosperma squamatum ,7860.76927,0.167987198,-27.48504947,46.44405008,419.0247952,Jurien Bay
Melaleuca systena ,9750.39987,-2.497902269,-26.84935075,48.4148988,1195.148495,Jurien Bay
Acanthocarpus preissii ,14940.79297,-2.353025548,-25.51366623,46.84930157,716.0199952,Jurien Bay
Lepidosperma squamatum ,8923.27741,-2.002111502,-28.27226604,45.84400591,278.0987952,Jurien Bay
Melaleuca systena ,9143.86992,-3.799591768,-26.56013925,50.06838359,691.9767952,Jurien Bay
Acanthocarpus preissii ,10803.89963,-2.236343694,-26.58152733,46.44460637,1069.129095,Jurien Bay
Melaleuca systena ,7157.25063,-6.163678312,-28.48574902,49.87886355,1314.985095,Jurien Bay
Acanthocarpus preissii ,14341.31214,-0.782296544,-26.68013035,46.58809543,1078.974095,Jurien Bay
Lepidosperma squamatum ,7678.72205,-0.13588257,-28.69760094,45.66358257,195.4831952,Jurien Bay
Melaleuca systena ,8249.71168,-2.086293597,-27.8958315,48.74588989,579.0719952,Jurien Bay
Acanthocarpus preissii ,15146.66132,-1.749726897,-26.41549556,45.47039872,2896.776895,Jurien Bay
Melaleuca systena ,11173.75626,0.094043566,-28.06351749,47.92082571,1471.215095,Jurien Bay
Acanthocarpus preissii ,16584.56864,-1.897306873,-27.0072704,46.94328999,2057.170795,Jurien Bay
Lepidosperma squamatum ,10425.21891,1.221413951,-28.37220166,46.238529,942.3495952,Jurien Bay
Melaleuca systena ,10795.5461,-1.026606742,-26.40261957,47.44831597,1049.784695,Jurien Bay
Acanthocarpus preissii ,17975.00515,-3.739301602,-27.34854276,45.36180589,1745.465095,Jurien Bay
Lepidosperma squamatum ,8273.32813,-1.02430692,-26.79956131,46.2156315,336.2421952,Jurien Bay
Melaleuca systena ,9504.29431,-2.470479492,-27.07796598,47.88430777,629.4153952,Jurien Bay
Acanthocarpus preissii ,19654.76691,-1.837920586,-26.92300377,46.64926551,2134.947395,Jurien Bay
Lepidosperma squamatum ,8796.15139,0.369032414,-28.43448757,45.67621896,229.3405952,Jurien Bay
Melaleuca systena ,8518.70653,-2.099084477,-28.22678397,47.4303422,814.1808952,Jurien Bay
Acanthocarpus preissii ,14678.8827,-1.536532624,-27.39290732,46.73939724,1221.731395,Jurien Bay
Lepidosperma squamatum ,6954.90619,-0.517608029,-28.42657004,45.88629866,217.9282952,Jurien Bay
Melaleuca systena ,8955.97271,-1.307495046,-27.19417454,48.07771689,689.3970952,Jurien Bay
Acanthocarpus preissii ,17267.041,-0.091733853,-27.41942305,46.65867961,689.7760952,Jurien Bay
Lepidosperma squamatum ,7208.94823,2.97753905,-28.75664064,46.08631551,263.0834952,Jurien Bay
Melaleuca systena ,9118.60749,-0.109345711,-27.02305619,48.99835059,361.9583952,Jurien Bay
Acanthocarpus preissii ,20172.38698,-0.623999418,-27.88266429,45.60585595,788.1650952,Jurien Bay
Lepidosperma squamatum ,8025.94556,1.206944396,-27.21246448,44.26221006,261.1684952,Jurien Bay
Melaleuca systena ,9777.06176,-1.782833915,-28.40661545,46.80484275,492.2622952,Jurien Bay
Acanthocarpus preissii ,16669.37128,-0.58089758,-27.13463357,45.95302081,888.4688952,Jurien Bay
Lepidosperma squamatum ,7900.64275,-0.722329077,-28.88361893,44.01993031,254.6701952,Jurien Bay
Melaleuca systena ,11532.3881,-1.345496783,-28.34578859,47.03551766,587.2423952,Jurien Bay
Acanthocarpus preissii ,18031.87591,-1.461315527,-26.90387527,45.52243576,1115.329595,Jurien Bay
Lepidosperma squamatum ,6815.84075,-1.312143906,-28.2710196,45.0958167,207.2976952,Jurien Bay
Melaleuca systena ,10381.0218,-0.006902183,-27.08954948,46.8240746,519.6231952,Jurien Bay
Acanthocarpus preissii ,15769.20313,-1.177106029,-28.77215951,45.77506431,637.1795952,Jurien Bay
Lepidosperma squamatum ,7814.94906,0.793027249,-28.08191499,45.17947178,244.7737952,Jurien Bay
Melaleuca systena ,9259.84956,-2.370763467,-27.68401178,47.38592483,516.0396952,Jurien Bay
Acanthocarpus preissii ,12521.01488,-0.630615482,-24.63555902,45.8422268,659.0530952,Jurien Bay
Lepidosperma squamatum ,9514.83063,0.739063623,-27.27596045,45.42117325,280.2782952,Jurien Bay
Melaleuca systena ,10160.56486,-0.854979682,-27.86064053,48.04602718,527.0894952,Jurien Bay
Acanthocarpus preissii ,16153.70596,-0.613634081,-26.72234485,46.95426512,984.1438952,Jurien Bay
Lepidosperma squamatum ,9246.36819,1.845269721,-27.21571519,46.05330301,222.6219952,Jurien Bay
Melaleuca systena ,7079.9119,-1.511907917,-27.47022377,47.67974045,632.9999952,Jurien Bay
Lepidosperma squamatum ,7470.99196,0.879705787,-28.49388915,45.08770766,312.2787952,Jurien Bay
Melaleuca systena ,9820.74844,-0.468834544,-26.33612369,50.17111125,448.3289952,Jurien Bay
Acanthocarpus preissii ,22847.46579,0.226861554,-27.40518147,46.20583932,1124.950595,Jurien Bay
Melaleuca systena ,11083.21821,-0.247414414,-26.02689361,48.44837792,976.2670952,Jurien Bay
Acanthocarpus preissii ,17044.33668,-1.660289577,-26.35565221,46.717534,1263.447595,Jurien Bay
Lepidosperma squamatum ,12749.30367,0.899336985,-28.72382331,46.22646486,362.2761952,Jurien Bay
Melaleuca systena ,9884.19064,-1.588503104,-26.32099015,47.25089523,654.7374952,Jurien Bay
Acanthocarpus preissii ,16806.99279,-0.829074106,-28.25251867,45.45710317,634.3665952,Jurien Bay
Lepidosperma squamatum ,9640.85105,1.664924861,-28.61054784,45.09035248,279.4981952,Jurien Bay
Melaleuca systena ,7806.90458,-1.527225891,-27.02912255,46.74921594,616.5747952,Jurien Bay
Scaevola crassifolia ,16178.16364,-1.426825897,-27.58845391,40.90213693,2937.252795,Jurien Bay
Spyridium globulosum ,9144.09133,-0.737192261,-28.51677924,47.66603951,817.9091952,Jurien Bay
Olearia axillaris ,8304.2435,-1.901025259,-27.39270596,45.14396809,1062.013395,Jurien Bay
Scaevola crassifolia ,10209.09093,-0.759791772,-25.32725356,40.65616814,1369.003295,Jurien Bay
Spyridium globulosum ,7133.50178,-2.255566321,-27.83187761,47.71373686,612.9285952,Jurien Bay
Olearia axillaris ,13761.74343,-1.743718751,-30.35441964,44.86699829,5109.192895,Jurien Bay
Scaevola crassifolia ,16662.41545,0.05626189,-27.67900775,42.25339254,1915.447495,Jurien Bay
Spyridium globulosum ,8701.71577,-3.615338162,-27.29468763,48.57594523,743.7734952,Jurien Bay
Olearia axillaris ,11970.9863,-0.237241028,-29.20631116,49.84154505,4071.938095,Jurien Bay
Scaevola crassifolia ,14796.54216,-0.258643401,-26.23323109,41.14880616,3819.587695,Jurien Bay
Spyridium globulosum ,8577.72603,-3.264711127,-28.02552587,48.63117742,567.5550952,Jurien Bay
Olearia axillaris ,10429.80571,-0.774308021,-28.94334506,47.38966703,3030.013995,Jurien Bay
Scaevola crassifolia ,8178.4724,-5.387020408,-28.02668354,38.93745987,2342.915695,Jurien Bay
Spyridium globulosum ,7609.12582,-2.925590532,-28.23017768,48.25667484,493.0435952,Jurien Bay
Olearia axillaris ,12510.2611,-1.274905163,-27.51991037,48.08719253,3491.710795,Jurien Bay
Scaevola crassifolia ,15318.72988,-1.958228901,-26.55057556,40.56510611,3282.613795,Jurien Bay
Spyridium globulosum ,9153.258,-3.458344556,-26.2049646,48.10593844,758.0401952,Jurien Bay
Olearia axillaris ,8587.99023,-3.084047696,-29.79145333,48.62918394,1726.863595,Jurien Bay
Scaevola crassifolia ,6716.71668,-6.308727591,-28.06155624,41.57428076,2148.372895,Jurien Bay
Spyridium globulosum ,9238.08605,-3.750949539,-27.52384959,48.16607295,331.6373952,Jurien Bay
Olearia axillaris ,11839.74172,-1.622473824,-28.19815773,49.300278,3193.749195,Jurien Bay
Scaevola crassifolia ,20642.96982,-0.509517752,-25.89599162,42.75356276,4797.673595,Jurien Bay
Spyridium globulosum ,10062.08802,-4.152777631,-27.94621672,48.89687969,957.8927952,Jurien Bay
Olearia axillaris ,8955.08885,-1.025387172,-28.96080846,49.02612773,2713.901995,Jurien Bay
Scaevola crassifolia ,13594.00145,-0.392670993,-26.84060686,41.46149719,3969.283795,Jurien Bay
Spyridium globulosum ,8275.6877,-0.998732335,-27.18460386,48.57753078,836.6954952,Jurien Bay
Olearia axillaris ,7637.07159,2.003133012,-29.6446046,48.92159282,2054.556095,Jurien Bay
Scaevola crassifolia ,13967.46591,2.546412153,-25.1873577,40.27218469,2133.680295,Jurien Bay
Spyridium globulosum ,7970.55927,-1.216106008,-29.10708663,48.19925374,600.6514952,Jurien Bay
Acacia spathulifolia ,12055.81263,2.11012664,-26.19433223,41.50954937,387.0519952,Jurien Bay
Melaleuca systena ,10043.50857,-1.164363852,-27.94190457,48.44810445,444.6608952,Jurien Bay
Acacia spathulifolia ,12903.00231,-0.925082479,-26.36588156,41.38063718,239.0037952,Jurien Bay
Melaleuca systena ,7334.76945,-4.393899792,-27.11021271,49.1692492,257.9387952,Jurien Bay
Mesomelaena pseudostygia ,6302.68936,0.733805727,-28.31901947,44.13274462,98.9429875,Jurien Bay
Melaleuca systena ,6619.3706,-3.333499133,-28.88610017,48.00841542,351.7706952,Jurien Bay
Mesomelaena pseudostygia ,6005.34757,1.571790485,-28.13484472,43.62908594,85.9645875,Jurien Bay
Melaleuca systena ,6142.59842,-0.063088702,-30.07165701,47.11584771,313.2969952,Jurien Bay
Mesomelaena pseudostygia ,5478.58471,-0.084866809,-29.69545585,43.33551072,166.8421952,Jurien Bay
Melaleuca systena ,9937.21872,0.320246078,-26.51849868,48.16391229,416.7188952,Jurien Bay
Melaleuca systena ,10632.58418,0.820519984,-28.16496626,48.47568114,408.9125952,Jurien Bay
Mesomelaena pseudostygia ,9115.99281,-0.333067837,-28.40602256,43.8615646,165.2255952,Jurien Bay
Acacia spathulifolia ,11519.76682,-0.304235605,-25.68644048,38.29202546,307.3562952,Jurien Bay
Melaleuca systena ,8931.66648,0.568681107,-26.23847738,49.90649352,420.4033952,Jurien Bay
Mesomelaena pseudostygia ,6721.11247,-0.079797867,-30.19255922,43.06131755,100.1904875,Jurien Bay
Melaleuca systena ,7359.74395,-3.004277732,-28.80453099,48.45936808,300.1561952,Jurien Bay
Mesomelaena pseudostygia ,7138.45701,-0.337352105,-29.8206582,43.96332898,158.8017952,Jurien Bay
Acacia spathulifolia ,12217.92243,2.072181986,-26.66756282,40.9952312,276.4650952,Jurien Bay
Melaleuca systena ,8622.94138,-0.446659937,-28.47082093,47.41350018,463.6482952,Jurien Bay
Mesomelaena pseudostygia ,6518.71466,1.161008653,-29.61761157,43.42146562,157.5450952,Jurien Bay
Acacia spathulifolia ,10244.35701,3.01522531,-26.09600126,39.30378268,339.5011952,Jurien Bay
Melaleuca systena ,8499.63029,-1.028420011,-29.13227483,48.78928241,373.9339952,Jurien Bay
Mesomelaena pseudostygia ,4564.34112,-2.894698426,-30.45938369,44.57380819,84.9562875,Jurien Bay
