Spp,species_name,Plant no. ,Segment,Mid-point distance (cm),Cum. Length,Displ. Weight (g),Displ. Weight (mg),Arch. vol (cm-3),Wood mass (g),Wood mass (mg),Diam. 1 (mm),Diam. 2 (mm),X-sectional area (mm2),Density,leaf_size,specific_leaf_area
Phyphy,Phyllota phylicoides,2,b2,9,57,0.3805,380.5,381.2625251,0.2692,269.2,3.98,4.42,13.81641033,0.71,,
Phyphy,Phyllota phylicoides,2,b3,26,92,1.0958,1095.8,1097.995992,0.7756,775.6,8.18,7.82,50.24003556,0.71,,
Phyphy,Phyllota phylicoides,3,tt,11,11,0.0391,39.1,39.17835671,0.0195,19.5,1.72,1.6,2.161415746,0.5,,
Phyphy,Phyllota phylicoides,3,b1,14,36,0.1542,154.2,154.509018,0.0981,98.1,3.52,3.22,8.902016943,0.63,,
Phyphy,Phyllota phylicoides,3,b2,13,63,0.3482,348.2,348.8977956,0.2356,235.6,4.62,5,18.14269757,0.68,,
Phyphy,Phyllota phylicoides,3,b3,21,97,0.7342,734.2,735.6713427,0.5094,509.4,6.82,7.04,37.70916494,0.69,,
Phyphy,Phyllota phylicoides,4,tt,7.5,7.5,0.0262,26.2,26.25250501,0.0168,16.8,1.7,1.58,2.109579467,0.64,,
Phyphy,Phyllota phylicoides,4,b1,6,21,0.1651,165.1,165.4308617,0.1013,101.3,3.14,3.22,7.94100375,0.61,,
Phyphy,Phyllota phylicoides,4,b2,23,50,0.2875,287.5,288.0761523,0.1973,197.3,3.86,4.18,12.67224229,0.68,,
Phyphy,Phyllota phylicoides,4,b3,18.5,91.5,1.0732,1073.2,1075.350701,0.7699,769.9,7.08,7.76,43.15040342,0.72,,
Grespe,Grevillea speciosa,1,tt,5,5,0.0125,12.5,12.5250501,0.0092,9.2,1.08,1.24,1.05180522,0.73,,
Grespe,Grevillea speciosa,1,b1,5,15,0.0941,94.1,94.28857715,0.0778,77.8,2.52,2.38,4.710504025,0.83,,
Grespe,Grevillea speciosa,1,b2,5.5,25.5,0.1752,175.2,175.5511022,0.1125,112.5,3.48,3.24,8.855521372,0.64,,
Grespe,Grevillea speciosa,1,b3,16,47,0.4642,464.2,465.1302605,0.2787,278.7,5.08,4.88,19.47033463,0.6,,
Grespe,Grevillea speciosa,2,tt,5.5,5.5,0.0158,15.8,15.83166333,0.0128,12.8,1.28,1.42,1.427539702,0.81,,
Grespe,Grevillea speciosa,2,b1,7.5,18.5,0.0766,76.6,76.75350701,0.0515,51.5,2.16,2.22,3.766141273,0.67,,
Grespe,Grevillea speciosa,2,b2,21,47,0.3468,346.8,347.49499,0.2428,242.8,4.32,4.38,14.86098989,0.7,,
Grespe,Grevillea speciosa,2,b3,11.5,79.5,0.6781,678.1,679.4589178,0.4991,499.1,5.82,6.68,30.53439564,0.73,,
Grespe,Grevillea speciosa,3,tt,7,7,0.0278,27.8,27.85571142,0.0184,18.4,1.48,1.32,1.534353852,0.66,,
Grespe,Grevillea speciosa,3,b1,26,40,0.1216,121.6,121.8436874,0.0774,77.4,2.86,3,6.738716242,0.64,,
Grespe,Grevillea speciosa,3,b2,10.5,76.5,0.5319,531.9,532.9659319,0.3386,338.6,5.58,5.46,23.92856876,0.64,,
Grespe,Grevillea speciosa,3,b3,7,94,0.9208,920.8,922.6452906,0.635,635,7.86,8.38,51.73166375,0.69,,
Grespe,Grevillea speciosa,4,tt,3,3,0.0201,20.1,20.14028056,0.0126,12.6,1.18,1.02,0.945305229,0.63,,
Grespe,Grevillea speciosa,4,b1,6.5,12.5,0.0526,52.6,52.70541082,0.0336,33.6,1.98,1.86,2.892464356,0.64,,
Grespe,Grevillea speciosa,4,b2,11,30,0.2631,263.1,263.6272545,0.1762,176.2,3.62,3.74,10.63334865,0.67,,
Grespe,Grevillea speciosa,4,b3,21,62,0.6244,624.4,625.6513026,0.3969,396.9,5.68,6,26.76636941,0.63,,
Petpul,Petrophile pulchella,1,tt,21,21,0.2963,296.3,296.8937876,0.1341,134.1,3.58,3.48,9.784804479,0.45,,
Petpul,Petrophile pulchella,1,b1,22.5,64.5,0.9073,907.3,909.1182365,0.453,453,6.68,7,36.72521812,0.5,,
Petpul,Petrophile pulchella,1,b2,27,114,1.1367,1136.7,1138.977956,0.605,605,8.78,8.04,55.44219883,0.53,,
Petpul,Petrophile pulchella,1,b3,51,192,1.9319,1931.9,1935.771543,1.036,1036,10.44,10.52,86.25933781,0.54,,
Petpul,Petrophile pulchella,2,tt,15,15,0.2245,224.5,224.9498998,0.0989,98.9,3.34,3.28,8.60419396,0.44,,
Petpul,Petrophile pulchella,2,b1,19,49,0.8742,874.2,875.9519038,0.4319,431.9,6.76,7.12,37.80215608,0.49,,
Petpul,Petrophile pulchella,2,b2,22,90,1.1849,1184.9,1187.274549,0.5974,597.4,8.38,8,52.65309287,0.5,,
Petpul,Petrophile pulchella,2,b3,34,146,1.6456,1645.6,1648.897796,0.849,849,10.24,10.66,85.73280688,0.51,,
Petpul,Petrophile pulchella,3,tt,13,13,0.156,156,156.3126253,0.0678,67.8,2.62,2.78,5.720526063,0.43,,
Petpul,Petrophile pulchella,3,b1,17.5,43.5,0.8371,837.1,838.7775551,0.4093,409.3,5.68,6.18,27.56936049,0.49,,
Petpul,Petrophile pulchella,3,b2,27,88,1.7136,1713.6,1717.034068,0.8462,846.2,9.24,9.08,65.89427759,0.49,,
Petpul,Petrophile pulchella,3,b3,44,159,2.5345,2534.5,2539.579158,1.2945,1294.5,11.58,11.82,107.5018449,0.51,,
Petpul,Petrophile pulchella,4,tt,17,17,0.1486,148.6,148.8977956,0.0677,67.7,2.86,3.08,6.918415342,0.45,,
Petpul,Petrophile pulchella,4,b1,16,50,0.3972,397.2,397.995992,0.1932,193.2,4.68,4.84,17.79021088,0.49,,
Petpul,Petrophile pulchella,4,b2,16.5,82.5,0.8215,821.5,823.1462926,0.4122,412.2,6.68,6.64,34.83649262,0.5,,
Petpul,Petrophile pulchella,4,b3,15.5,114.5,1.7802,1780.2,1783.767535,0.9174,917.4,9.32,9,65.87919795,0.51,,
Lamfor,Lambertia formosa,1,tt,4,4,0.0323,32.3,32.36472946,0.0186,18.6,1.78,1.84,2.572336065,0.57,,
Lamfor,Lambertia formosa,1,b1,11,19,0.088,88,88.17635271,0.053,53,3.18,3.16,7.892309064,0.6,,
Lamfor,Lambertia formosa,1,b2,13,43,0.267,267,267.5350701,0.161,161,4.14,4.04,13.13625552,0.6,,
Lamfor,Lambertia formosa,1,b3,18,74,0.5078,507.8,508.8176353,0.3128,312.8,5.24,4.98,20.49512215,0.61,,
Lamfor,Lambertia formosa,2,tt,2.5,2.5,0.0314,31.4,31.46292585,0.0215,21.5,2,2.18,3.424335992,0.68,,
Lamfor,Lambertia formosa,2,b1,1.75,6.75,0.0557,55.7,55.81162325,0.0373,37.3,2.28,2.16,3.867928875,0.67,,
Lamfor,Lambertia formosa,2,b2,8.5,17,0.1966,196.6,196.993988,0.1233,123.3,3.8,3.74,11.1620787,0.63,,
Lamfor,Lambertia formosa,2,b3,25,50.5,0.4136,413.6,414.4288577,0.2698,269.8,5.38,5.18,21.88779018,0.65,,
Lamfor,Lambertia formosa,3,tt,2.5,2.5,0.0326,32.6,32.66533066,0.0246,24.6,2,1.98,3.110176727,0.75,,
Lamfor,Lambertia formosa,3,b1,2,7,0.0483,48.3,48.39679359,0.033,33,2.12,2.14,3.563194388,0.68,,
Lamfor,Lambertia formosa,3,b2,3.5,12.5,0.1237,123.7,123.9478958,0.0866,86.6,2.96,3.14,7.29980469,0.7,,
Lamfor,Lambertia formosa,3,b3,27,43,0.8658,865.8,867.5350701,0.5747,574.7,6.78,7.22,38.44649674,0.66,,
Lamfor,Lambertia formosa,4,tt,3,3,0.0399,39.9,39.97995992,0.0261,26.1,1.78,1.62,2.264774144,0.65,,
Lamfor,Lambertia formosa,4,b1,2.5,8.5,0.1072,107.2,107.4148297,0.0657,65.7,3.68,3.58,10.34714956,0.61,,
Lamfor,Lambertia formosa,4,b2,18,29,0.3128,312.8,313.4268537,0.2039,203.9,4.04,3.72,11.80359192,0.65,,
Lamfor,Lambertia formosa,4,b3,32,79,0.7518,751.8,753.3066132,0.4851,485.1,6.12,6.34,30.47407706,0.64,,
Epapul,Epacris pulchella,1,tt,1.5,1.5,0.0014,1.4,1.402805611,0.0009,0.9,0.78,0.82,0.502340665,0.64,,
Epapul,Epacris pulchella,1,b1,3.5,6.5,0.0097,9.7,9.719438878,0.0069,6.9,1,1.04,0.81681409,0.71,,
Epapul,Epacris pulchella,1,b2,7.5,17.5,0.042,42,42.08416834,0.0264,26.4,1.88,1.9,2.80544224,0.63,,
Epapul,Epacris pulchella,1,b3,7.5,32.5,0.1245,124.5,124.749499,0.0807,80.7,2.76,2.94,6.373034857,0.65,,
Epapul,Epacris pulchella,2,tt,1.75,1.75,0.0048,4.8,4.809619238,0.0039,3.9,0.58,0.67,0.305205726,0.81,,
Epapul,Epacris pulchella,2,b1,6.5,10,0.0142,14.2,14.22845691,0.0084,8.4,0.98,1.22,0.939022044,0.59,,
Epapul,Epacris pulchella,2,b2,6,22.5,0.0404,40.4,40.48096192,0.0235,23.5,1.38,1.58,1.712482155,0.58,,
Epapul,Epacris pulchella,2,b3,15,43.5,0.1109,110.9,111.1222445,0.0645,64.5,2.52,5.48,10.84603448,0.58,,
Epapul,Epacris pulchella,3,tt,2.75,2.75,0.0057,5.7,5.711422846,0.0038,3.8,0.56,0.64,0.281486702,0.67,,
Epapul,Epacris pulchella,3,b1,2.5,8,0.0219,21.9,21.94388778,0.0108,10.8,0.98,0.98,0.754296396,0.49,,
Epapul,Epacris pulchella,3,b2,2.5,13,0.0275,27.5,27.55511022,0.0153,15.3,1.38,1.52,1.647451188,0.56,,
Epapul,Epacris pulchella,3,b3,3,18.5,0.1239,123.9,124.1482966,0.0677,67.7,2.76,2.84,6.156264964,0.55,,
Epapul,Epacris pulchella,4,tt,2.5,2.5,0.0127,12.7,12.7254509,0.0065,6.5,0.72,0.88,0.497628276,0.51,,
Epapul,Epacris pulchella,4,b1,1.5,6.5,0.0146,14.6,14.62925852,0.0079,7.9,1.02,1.08,0.865194617,0.54,,
Epapul,Epacris pulchella,4,b2,3,11,0.0259,25.9,25.95190381,0.0148,14.8,1.34,1.28,1.34711493,0.57,,
Epapul,Epacris pulchella,4,b3,8,22,0.0728,72.8,72.94589178,0.0429,42.9,2.24,1.78,3.131539557,0.59,,
Pulell,Pultenaea elliptica,1,tt,5,5,0.0287,28.7,28.75751503,0.0125,12.5,1.32,1.26,1.306274225,0.43,,
Pulell,Pultenaea elliptica,1,b1,6.5,16.5,0.0765,76.5,76.65330661,0.0406,40.6,1.96,1.98,3.047973193,0.53,,
Pulell,Pultenaea elliptica,1,b2,14,37,0.0832,83.2,83.36673347,0.057,57,2.32,2.32,4.227327075,0.68,,
Pulell,Pultenaea elliptica,1,b3,23,74,0.2178,217.8,218.2364729,0.1619,161.9,3.86,3.64,11.03515835,0.74,,
Pulell,Pultenaea elliptica,2,tt,6,6,0.0782,78.2,78.35671343,0.0492,49.2,1.58,1.46,1.811756483,0.63,,
Pulell,Pultenaea elliptica,2,b1,13,25,0.0647,64.7,64.82965932,0.0366,36.6,1.78,1.82,2.54437589,0.56,,
Pulell,Pultenaea elliptica,2,b2,7.5,45.5,0.2076,207.6,208.0160321,0.1558,155.8,3.24,3.22,8.193901959,0.75,,
Pulell,Pultenaea elliptica,2,b3,18,71,0.5448,544.8,545.8917836,0.405,405,4.98,5.16,20.18221953,0.74,,
Pulell,Pultenaea elliptica,3,tt,5,5,0.0267,26.7,26.75350701,0.0121,12.1,1.22,1.38,1.322296348,0.45,,
Pulell,Pultenaea elliptica,3,b1,11,21,0.058,58,58.11623246,0.0312,31.2,1.78,1.84,2.572336065,0.54,,
Pulell,Pultenaea elliptica,3,b2,10.5,42.5,0.0945,94.5,94.68937876,0.0621,62.1,2.48,2.52,4.908424362,0.66,,
Pulell,Pultenaea elliptica,3,b3,37,90,0.2022,202.2,202.6052104,0.1426,142.6,3.06,3.38,8.123216124,0.7,,
Pulell,Pultenaea elliptica,4,tt,7,7,0.0542,54.2,54.30861723,0.0404,40.4,1.46,1.72,1.972291868,0.74,,
Pulell,Pultenaea elliptica,4,b1,13,27,0.0996,99.6,99.7995992,0.0556,55.6,2,2.28,3.581415625,0.56,,
Pulell,Pultenaea elliptica,4,b2,18,58,0.1746,174.6,174.9498998,0.1183,118.3,2.92,2.96,6.788353406,0.68,,
Pulell,Pultenaea elliptica,4,b3,24,100,0.2858,285.8,286.3727455,0.2069,206.9,4.14,3.48,11.31538842,0.72,,
Banobl,Banksia oblongifolia,1,tt,5,5,0.1218,121.8,122.0440882,0.0654,65.4,2.66,2.52,5.264680969,0.54,,
Banobl,Banksia oblongifolia,1,b1,4.5,14.5,0.3274,327.4,328.0561122,0.1753,175.3,3.98,3.84,12.00339721,0.53,,
Banobl,Banksia oblongifolia,1,b2,9.5,28.5,0.6746,674.6,675.9519038,0.3865,386.5,5.58,5.54,24.2791705,0.57,,
Banobl,Banksia oblongifolia,1,b3,8.5,46.5,1.3122,1312.2,1314.829659,0.7304,730.4,9.32,8.52,62.36564072,0.56,,
Banobl,Banksia oblongifolia,2,tt,5.5,5.5,0.2815,281.5,282.0641283,0.1618,161.8,3.24,3.28,8.346583362,0.57,,
Banobl,Banksia oblongifolia,2,b1,11,22,0.5145,514.5,515.5310621,0.2992,299.2,4.98,5.06,19.79109124,0.58,,
Banobl,Banksia oblongifolia,2,b2,9,42,0.6632,663.2,664.5290581,0.3779,377.9,6.98,6.88,37.71670476,0.57,,
Banobl,Banksia oblongifolia,2,b3,11,62,1.4923,1492.3,1495.290581,0.8994,899.4,9.08,8.28,59.04811888,0.6,,
Banobl,Banksia oblongifolia,3,tt,4,4,0.1076,107.6,107.8156313,0.0648,64.8,2.24,2.48,4.363043877,0.6,,
Banobl,Banksia oblongifolia,3,b1,4.5,12.5,0.2286,228.6,229.0581162,0.1427,142.7,3.32,3.78,9.856432791,0.62,,
Banobl,Banksia oblongifolia,3,b2,7,24,0.2402,240.2,240.6813627,0.1351,135.1,4.24,4.32,14.38598108,0.56,,
Banobl,Banksia oblongifolia,3,b3,8.5,39.5,0.6849,684.9,686.2725451,0.4119,411.9,6.28,6.14,30.28432486,0.6,,
Banobl,Banksia oblongifolia,4,tt,11,11,0.1494,149.4,149.6993988,0.0873,87.3,2.86,2.78,6.244543718,0.58,,
Banobl,Banksia oblongifolia,4,b1,10.5,32.5,0.3021,302.1,302.7054108,0.1794,179.4,4.14,4.24,13.7865652,0.59,,
Banobl,Banksia oblongifolia,4,b2,3.5,46.5,0.4537,453.7,454.6092184,0.2712,271.2,4.86,5.32,20.30662659,0.6,,
Banobl,Banksia oblongifolia,4,b3,10.5,60.5,0.5782,578.2,579.3587174,0.3524,352.4,5.32,5.58,23.31501572,0.61,,
Hakdac,Hakea dactyloides,1,tt,9,9,0.0916,91.6,91.78356713,0.0583,58.3,2.32,2.28,4.154442125,0.64,,
Hakdac,Hakea dactyloides,1,b1,7.5,25.5,0.2219,221.9,222.3446894,0.1501,150.1,3.22,3.34,8.446800168,0.68,,
Hakdac,Hakea dactyloides,1,b2,9.5,42.5,0.3983,398.3,399.0981964,0.2561,256.1,3.86,3.98,12.0659149,0.64,,
Hakdac,Hakea dactyloides,1,b3,9,61,0.8997,899.7,901.503006,0.6156,615.6,7.12,7.48,41.82842123,0.68,,
Hakdac,Hakea dactyloides,2,tt,7.5,7.5,0.1309,130.9,131.1623246,0.0808,80.8,2.76,2.68,5.809433135,0.62,,
Hakdac,Hakea dactyloides,2,b1,18.5,33.5,0.3574,357.4,358.1162325,0.2342,234.2,3.74,3.72,10.92708757,0.65,,
Hakdac,Hakea dactyloides,2,b2,15,67,1.0221,1022.1,1024.148297,0.6724,672.4,6.58,6.32,32.66125386,0.66,,
Hakdac,Hakea dactyloides,2,b3,33,115,1.8683,1868.3,1872.044088,1.2508,1250.8,9.42,10.62,78.57154643,0.67,,
Hakdac,Hakea dactyloides,3,tt,8.5,8.5,0.1034,103.4,103.6072144,0.0693,69.3,2.32,2.52,4.591751822,0.67,,
Hakdac,Hakea dactyloides,3,b1,9.5,26.5,0.2594,259.4,259.9198397,0.1756,175.6,3.42,3.18,8.541676266,0.68,,
Hakdac,Hakea dactyloides,3,b2,10.5,46.5,0.6173,617.3,618.5370741,0.3993,399.3,6.24,5.94,29.11125417,0.65,,
Hakdac,Hakea dactyloides,3,b3,26,83,0.7074,707.4,708.8176353,0.4768,476.8,6.04,6.52,30.92960799,0.67,,
Hakdac,Hakea dactyloides,4,tt,10.5,10.5,0.0848,84.8,84.96993988,0.0473,47.3,2.14,1.88,3.159813891,0.56,,
Hakdac,Hakea dactyloides,4,b1,15,36,0.4091,409.1,409.9198397,0.2826,282.6,4.66,4.58,16.76259592,0.69,,
Hakdac,Hakea dactyloides,4,b2,16.5,67.5,0.5616,561.6,562.7254509,0.3895,389.5,6,5.62,26.48362607,0.69,,
Hakdac,Hakea dactyloides,4,b3,16.5,100.5,1.1719,1171.9,1174.248497,0.8227,822.7,7.62,7.96,47.63848268,0.7,,
Perlev,Persoonia levis,1,tt,9,9,0.1535,153.5,153.8076152,0.0697,69.7,2.76,2.78,6.026203028,0.45,,
Perlev,Persoonia levis,1,b1,1.5,19.5,0.4638,463.8,464.7294589,0.2265,226.5,6,6.28,29.5938028,0.49,,
Perlev,Persoonia levis,1,b2,14,35,1.0068,1006.8,1008.817635,0.4963,496.3,7.66,7.42,44.63983249,0.49,,
Perlev,Persoonia levis,1,b3,13,62,3.7666,3766.6,3774.148297,1.7962,1796.2,13.16,10.76,111.2136366,0.48,,
Perlev,Persoonia levis,2,tt,13.5,13.5,0.2023,202.3,202.7054108,0.0898,89.8,3.98,4.04,12.62857415,0.44,,
Perlev,Persoonia levis,2,b1,13.5,40.5,0.8754,875.4,877.1543086,0.4112,411.2,6.82,6.78,36.31649692,0.47,,
Perlev,Persoonia levis,2,b2,4.5,58.5,1.5024,1502.4,1505.410822,0.7658,765.8,8.82,9.32,64.56161399,0.51,,
Perlev,Persoonia levis,2,b3,10.5,73.5,3.4986,3498.6,3505.611222,1.7009,1700.9,12.76,12.13,121.5629853,0.49,,
Perlev,Persoonia levis,3,tt,9.5,9.5,0.2146,214.6,215.0300601,0.0949,94.9,3.72,3.34,9.758415101,0.44,,
Perlev,Persoonia levis,3,b1,8.5,27.5,0.6803,680.3,681.6633267,0.3149,314.9,5.62,5.68,25.07116601,0.46,,
Perlev,Persoonia levis,3,b2,8.5,44.5,1.0903,1090.3,1092.48497,0.5325,532.5,7.78,7.84,47.90551806,0.49,,
Perlev,Persoonia levis,3,b3,11,64,1.6485,1648.5,1651.803607,0.8773,877.3,10.82,9.84,83.62039998,0.53,,
Perlev,Persoonia levis,4,tt,7.5,7.5,0.2439,243.9,244.3887776,0.0897,89.7,3.38,3.42,9.07888861,0.37,,
Perlev,Persoonia levis,4,b1,6,21,0.2702,270.2,270.741483,0.1265,126.5,4.02,4.14,13.07122455,0.47,,
Perlev,Persoonia levis,4,b2,8.5,35.5,0.4734,473.4,474.3486974,0.2364,236.4,4.76,4.68,17.49615781,0.5,,
Perlev,Persoonia levis,4,b3,21,65,1.4528,1452.8,1455.711423,0.8083,808.3,8.34,8.38,54.89084932,0.56,,
Bosobc,Bossiaea obcordata,1,tt,1,1,0.0089,8.9,8.917835671,0.0048,4.8,1.22,0.86,0.824039753,0.54,,
Bosobc,Bossiaea obcordata,1,b1,1.5,3.5,0.0147,14.7,14.72945892,0.011,11,1.08,1.18,1.000911419,0.75,,
Bosobc,Bossiaea obcordata,1,b2,2.5,7.5,0.0323,32.3,32.36472946,0.022,22,1.26,1.38,1.365650327,0.68,,
Bosobc,Bossiaea obcordata,1,b3,9,19,0.1258,125.8,126.0521042,0.0869,86.9,2.52,2.68,5.304265036,0.69,,
Bosobc,Bossiaea obcordata,2,tt,1.5,1.5,0.0158,15.8,15.83166333,0.0087,8.7,1.32,0.68,0.704973391,0.55,,
Bosobc,Bossiaea obcordata,2,b1,1.25,4.25,0.0189,18.9,18.93787575,0.0105,10.5,1.48,1,1.162389282,0.55,,
Bosobc,Bossiaea obcordata,2,b2,4,9.5,0.0186,18.6,18.63727455,0.0097,9.7,1.58,1.04,1.290566262,0.52,,
Bosobc,Bossiaea obcordata,2,b3,11.5,25,0.0999,99.9,100.1002004,0.0622,62.2,2.42,2.32,4.409539449,0.62,,
Bosobc,Bossiaea obcordata,3,tt,1.5,1.5,0.0063,6.3,6.312625251,0.0043,4.3,0.82,0.78,0.502340665,0.68,,
Bosobc,Bossiaea obcordata,3,b1,2,5,0.0368,36.8,36.87374749,0.0243,24.3,1.48,1.68,1.952813993,0.66,,
Bosobc,Bossiaea obcordata,3,b2,11.5,18.5,0.0752,75.2,75.3507014,0.0418,41.8,2.32,2.26,4.11799965,0.55,,
Bosobc,Bossiaea obcordata,3,b3,20,50,0.1603,160.3,160.6212425,0.0942,94.2,2.96,3.18,7.392795832,0.59,,
Bosobc,Bossiaea obcordata,4,tt,3,3,0.0087,8.7,8.71743487,0.0041,4.1,0.84,0.72,0.475008809,0.47,,
Bosobc,Bossiaea obcordata,4,b1,1.5,7.5,0.019,19,19.03807615,0.0123,12.3,1.12,1.28,1.125946807,0.65,,
Bosobc,Bossiaea obcordata,4,b2,9,18,0.0503,50.3,50.4008016,0.0327,32.7,1.78,1.94,2.712136938,0.65,,
Bosobc,Bossiaea obcordata,4,b3,19.5,46.5,0.1915,191.5,191.8837675,0.1366,136.6,3.18,3.52,8.791432882,0.71,,
Lepatt,Leucopogon attenuatus,1,tt,1.5,1.5,0.0049,4.9,4.909819639,0.0033,3.3,0.58,0.7,0.318871654,0.67,,
Lepatt,Leucopogon attenuatus,1,b1,8,11,0.0295,29.5,29.55911824,0.017,17,1.42,1.38,1.539066241,0.58,,
Lepatt,Leucopogon attenuatus,1,b2,9,28,0.1108,110.8,111.0220441,0.0607,60.7,2.42,2.46,4.675632346,0.55,,
Lepatt,Leucopogon attenuatus,1,b3,18,55,1.1174,1117.4,1119.639279,0.6154,615.4,6.24,5.58,27.34693573,0.55,,
Lepatt,Leucopogon attenuatus,2,tt,2.5,2.5,0.0138,13.8,13.82765531,0.0071,7.1,1,1.02,0.801106127,0.51,,
Lepatt,Leucopogon attenuatus,2,b1,3,8,0.0691,69.1,69.23847695,0.046,46,2.08,1.92,3.136566105,0.66,,
Lepatt,Leucopogon attenuatus,2,b2,9.5,20.5,0.7536,753.6,755.1102204,0.4545,454.5,6.32,5.08,25.21567927,0.6,,
Lepatt,Leucopogon attenuatus,2,b3,7.5,37.5,2.0549,2054.9,2059.018036,1.1862,1186.2,7.18,9.98,56.27880496,0.58,,
Lepatt,Leucopogon attenuatus,3,tt,2.5,2.5,0.0114,11.4,11.42284569,0.0076,7.6,0.88,0.84,0.580566322,0.67,,
Lepatt,Leucopogon attenuatus,3,b1,8.5,13.5,0.0594,59.4,59.51903808,0.0364,36.4,1.78,1.86,2.600296239,0.61,,
Lepatt,Leucopogon attenuatus,3,b2,11,33,0.3303,330.3,330.9619238,0.2113,211.3,3.68,3.42,9.884707125,0.64,,
Lepatt,Leucopogon attenuatus,3,b3,12.5,56.5,0.6809,680.9,682.2645291,0.4643,464.3,5.92,5.38,25.01461734,0.68,,
Lepatt,Leucopogon attenuatus,4,tt,2.5,2.5,0.0178,17.8,17.83567134,0.0108,10.8,1.24,0.98,0.954415848,0.61,,
Lepatt,Leucopogon attenuatus,4,b1,7,12,0.0957,95.7,95.89178357,0.054,54,1.96,2.08,3.201911233,0.56,,
Lepatt,Leucopogon attenuatus,4,b2,18,37,0.1985,198.5,198.8977956,0.1376,137.6,2.92,2.88,6.604884395,0.69,,
Lepatt,Leucopogon attenuatus,4,b3,11,66,0.5193,519.3,520.3406814,0.3584,358.4,5.62,4.72,20.83378584,0.69,,
Acasua,Acacia suaveolens,1,tt,4.5,4.5,0.0327,32.7,32.76553106,0.0124,12.4,2.08,0.98,1.600955616,0.38,,
Acasua,Acacia suaveolens,1,b1,8.5,17.5,0.1063,106.3,106.5130261,0.0575,57.5,2.62,2.32,4.773964196,0.54,,
Acasua,Acacia suaveolens,1,b2,17,43,0.1848,184.8,185.1703407,0.1202,120.2,2.78,2.78,6.069871166,0.65,,
