species_name,voucher_specimen,generalised_collection_location,arborteum_row,planting_year,genome_size_2C_picograms,cv_sample,cv_solanum_standard,context
Eucalyptus tenuipes,DN 6475,"Barakula State Forest, QLD",241,2013,0.869711216,6.32,2.62,"voucher DN 6475: collected at Barakula State Forest, QLD and planted in arboretum row 241 in 2013"
Corymbia eremaea subsp. oligocarpa,DN 1208,"Mt Gillen, NT",66,1995,0.877668587,3.6,2.78,"voucher DN 1208: collected at Mt Gillen, NT and planted in arboretum row 66 in 1995"
Corymbia scabrida,DN 1278,"Springsure, QLD",89,1996,0.877668587,3.21,2.09,"voucher DN 1278: collected at Springsure, QLD and planted in arboretum row 89 in 1996"
Corymbia ficifolia,DN 3761,"Mt Frankland, WA",238,2001,0.880054366,2.89,2.42,"voucher DN 3761: collected at Mt Frankland, WA and planted in arboretum row 238 in 2001"
Corymbia pachycarpa,DN 1939,"Halls Creek, WA",301,2010,0.880353501,3.6,2.93,"voucher DN 1939: collected at Halls Creek, WA and planted in arboretum row 301 in 2010"
Corymbia dimorpha,DN 2528,"Laroona, QLD",169,1999,0.883657455,4.59,2.73,"voucher DN 2528: collected at Laroona, QLD and planted in arboretum row 169 in 1999"
Corymbia capricornia,DN 4192,"Barkly Tableland, NT",305,2010,0.88486505,3.6,2.16,"voucher DN 4192: collected at Barkly Tableland, NT and planted in arboretum row 305 in 2010"
Corymbia eremaea subsp. eremaea,DN 1708,"Iltur, SA",135,1997,0.886682643,2.42,1.96,"voucher DN 1708: collected at Iltur, SA and planted in arboretum row 135 in 1997"
Corymbia petalophylla,DN 1262,"Eldsvoid, QLD",89,1996,0.890034364,3.43,2.73,"voucher DN 1262: collected at Eldsvoid, QLD and planted in arboretum row 89 in 1996"
Corymbia deserticola subsp. deserticola,DN 542,"Kumarina Roadhouse, WA",83,1998,0.891566265,3.74,2.39,"voucher DN 542: collected at Kumarina Roadhouse, WA and planted in arboretum row 83 in 1998"
Corymbia eximia,DN 632,"Wisemans Ferry, NSW",53,1994,0.892180503,3.33,2.63,"voucher DN 632: collected at Wisemans Ferry, NSW and planted in arboretum row 53 in 1994"
Corymbia dichromophloia,DN 1928,"Gibb River, WA",303,2010,0.892795588,2.78,2.01,"voucher DN 1928: collected at Gibb River, WA and planted in arboretum row 303 in 2010"
Corymbia serendipita,DN 2502,"Newcastle Range, QLD",302,2010,0.892795588,3.93,2.4,"voucher DN 2502: collected at Newcastle Range, QLD and planted in arboretum row 302 in 2010"
Corymbia ellipsoidea,DN 5112,"Mt Garnet, QLD",304,2010,0.893103448,3.17,2.27,"voucher DN 5112: collected at Mt Garnet, QLD and planted in arboretum row 304 in 2010"
Corymbia dolichocarpa,DN 2550,"Injune, QLD",303,2010,0.893411521,3.65,2.7,"voucher DN 2550: collected at Injune, QLD and planted in arboretum row 303 in 2010"
Corymbia capricornia,DN 1907,"King Leopold Ranges, WA",potted,,0.894645941,3.43,2.54,"voucher DN 1907: collected at King Leopold Ranges, WA and planted in arboretum row potted in "
Corymbia ligans subsp. ligans,DN 2527,"Greenvale, QLD",168,1999,0.894645941,3.9,2.82,"voucher DN 2527: collected at Greenvale, QLD and planted in arboretum row 168 in 1999"
Corymbia cliftoniana,DN 5851,"Bungle Bungles, WA",316,2011,0.895573997,3.4,2.5,"voucher DN 5851: collected at Bungle Bungles, WA and planted in arboretum row 316 in 2011"
Corymbia ferruginea subsp. stypophylla,DN 1336,"Lake Woods, NT",potted,,0.895883777,3.71,2.44,"voucher DN 1336: collected at Lake Woods, NT and planted in arboretum row potted in "
Corymbia maculata,DN 1752,"Narooma, NSW",140,1997,0.895883777,3.19,2.36,"voucher DN 1752: collected at Narooma, NSW and planted in arboretum row 140 in 1997"
Corymbia leichhardii,DN 1277,"Springsure, QLD",89,1996,0.896814404,3.53,2.77,"voucher DN 1277: collected at Springsure, QLD and planted in arboretum row 89 in 1996"
Corymbia cadophora subsp. polychroma,DN 5858,"Ragged Range, WA",potted,,0.897435897,3.27,2.28,"voucher DN 5858: collected at Ragged Range, WA and planted in arboretum row potted in "
Corymbia leptoloma,DN 1302,"Paluma, QLD",95,1996,0.898681471,3.04,2.1,"voucher DN 1302: collected at Paluma, QLD and planted in arboretum row 95 in 1996"
Corymbia bloxsomei,DN 687,"Barakula forest, QLD",55,1994,0.899617923,4.92,3.16,"voucher DN 687: collected at Barakula forest, QLD and planted in arboretum row 55 in 1994"
Corymbia ferruginea subsp. stypophylla,DN 2443,"Lake Woods, NT",potted,,0.899930507,3.66,2.16,"voucher DN 2443: collected at Lake Woods, NT and planted in arboretum row potted in "
Corymbia aureola,DN 2542,"Cherwell Range, QLD",168,1999,0.900243309,3.41,2.42,"voucher DN 2542: collected at Cherwell Range, QLD and planted in arboretum row 168 in 1999"
Corymbia umbonata,DN 2488,"Katherine, NT",306,2010,0.90118302,3.99,2.73,"voucher DN 2488: collected at Katherine, NT and planted in arboretum row 306 in 2010"
Corymbia henryi,DN 2092,"Coast Range, NSW",159,1998,0.901496693,3.89,3.25,"voucher DN 2092: collected at Coast Range, NSW and planted in arboretum row 159 in 1998"
Corymbia lenziana,DN 5733,"Kennedy Range, WA",319,2011,0.902439024,5.58,2.78,"voucher DN 5733: collected at Kennedy Range, WA and planted in arboretum row 319 in 2011"
Corymbia watsoniana subsp. capillata,DN 2547,"Expedition Range, QLD",168,1999,0.90306834,3.34,2.39,"voucher DN 2547: collected at Expedition Range, QLD and planted in arboretum row 168 in 1999"
Corymbia watsoniana subsp. watsoniana,DN 688,"Barakula forest, QLD",55,1994,0.90306834,3.67,2.52,"voucher DN 688: collected at Barakula forest, QLD and planted in arboretum row 55 in 1994"
Corymbia xanthope,DN 2543,"Marlborough, QLD",167,1999,0.903698535,5.15,2.64,"voucher DN 2543: collected at Marlborough, QLD and planted in arboretum row 167 in 1999"
Corymbia catenaria,DN 700,"Springsure, QLD",56,1994,0.904329609,3.61,2.84,"voucher DN 700: collected at Springsure, QLD and planted in arboretum row 56 in 1994"
Corymbia peltata,DN 2505,"Newcastle Range, QLD",168,1999,0.904329609,4.31,3.72,"voucher DN 2505: collected at Newcastle Range, QLD and planted in arboretum row 168 in 1999"
Corymbia hendersonii,DN 701,"Springsure, QLD",302,2010,0.906228132,5.43,2.82,"voucher DN 701: collected at Springsure, QLD and planted in arboretum row 302 in 2010"
Corymbia brachycarpa,DN 5141,"Torrens Creek, QLD",303,2010,0.906545327,4,3.59,"voucher DN 5141: collected at Torrens Creek, QLD and planted in arboretum row 303 in 2010"
Corymbia hamersleyana,DN 1190,"Mt Nameless, WA",64,1995,0.906545327,3.9,2.61,"voucher DN 1190: collected at Mt Nameless, WA and planted in arboretum row 64 in 1995"
Corymbia intermedia,DN 708,"Blackdown Tableland, QLD",54,1994,0.90877193,3.49,2.55,"voucher DN 708: collected at Blackdown Tableland, QLD and planted in arboretum row 54 in 1994"
Corymbia plena,DN 2535,"Torrens Creek, QLD",171,1999,0.909090909,3.29,2.52,"voucher DN 2535: collected at Torrens Creek, QLD and planted in arboretum row 171 in 1999"
Corymbia clarksoniana,DN 2511,"Musgrave, QLD",potted,,0.91068917,4.55,2.88,"voucher DN 2511: collected at Musgrave, QLD and planted in arboretum row potted in "
Corymbia rhodops,DN 1306,"Herberton, QLD",94,1996,0.911330049,2.8,2.38,"voucher DN 1306: collected at Herberton, QLD and planted in arboretum row 94 in 1996"
Corymbia opaca,DN 2434,"Alice Springs, NT",179,1999,0.912293061,3.15,2.11,"voucher DN 2434: collected at Alice Springs, NT and planted in arboretum row 179 in 1999"
Corymbia variegata,DN 1246,"Drake, NSW",91,1996,0.913580247,3.26,2.77,"voucher DN 1246: collected at Drake, NSW and planted in arboretum row 91 in 1996"
Corymbia abergiana,DN 1303,"Paluma, QLD",159,1998,0.913902611,3.56,2.5,"voucher DN 1303: collected at Paluma, QLD and planted in arboretum row 159 in 1998"
Corymbia citriodora ,DN 702,"Springsure, QLD",54,1994,0.913902611,3.83,2.69,"voucher DN 702: collected at Springsure, QLD and planted in arboretum row 54 in 1994"
Corymbia bella,DN 4204,"Bulman, NT",307,2010,0.916165547,3.34,2.58,"voucher DN 4204: collected at Bulman, NT and planted in arboretum row 307 in 2010"
Eucalyptus curtisii,DN 2108,"Beerwah, QLD",159,1998,0.917463691,3.07,2.47,"voucher DN 2108: collected at Beerwah, QLD and planted in arboretum row 159 in 1998"
Corymbia erythrophloia,DN 2530,"Basalt, QLD",170,1999,0.919744318,3.26,2.72,"voucher DN 2530: collected at Basalt, QLD and planted in arboretum row 170 in 1999"
Eucalyptus exilis,DN 5541,"Boyagin Rock, WA",312,2011,0.926986399,4.4,2.4,"voucher DN 5541: collected at Boyagin Rock, WA and planted in arboretum row 312 in 2011"
Corymbia bunites,DN 711,"Blackdown Tableland, QLD",54,1994,0.928315412,2.9,2.68,"voucher DN 711: collected at Blackdown Tableland, QLD and planted in arboretum row 54 in 1994"
Eucalyptus insularis subsp. insularis,DN 4586,"Nth Twin Peak Island, WA",210,2006,0.931654676,4.21,2.46,"voucher DN 4586: collected at Nth Twin Peak Island, WA and planted in arboretum row 210 in 2006"
Corymbia polysciada,DN 4218,"Mary River, NT",305,2010,0.95431098,4.72,2.82,"voucher DN 4218: collected at Mary River, NT and planted in arboretum row 305 in 2010"
Corymbia ferriticola,DN 2752,"Meekatharra, WA",182,2000,0.965697241,2.76,2.28,"voucher DN 2752: collected at Meekatharra, WA and planted in arboretum row 182 in 2000"
Eucalyptus suberea,DN 3520,"Badgingarra, WA",236,2001,0.968586387,4.13,2.76,"voucher DN 3520: collected at Badgingarra, WA and planted in arboretum row 236 in 2001"
Eucalyptus insularis subsp. continentalis,DN 1637,"Cape Le Grand, WA",134,1997,0.970400899,4.3,4.21,"voucher DN 1637: collected at Cape Le Grand, WA and planted in arboretum row 134 in 1997"
Eucalyptus aquilina ,DN 4604,"Sandy Hook Island, WA",209,2006,0.974783591,2.62,2.25,"voucher DN 4604: collected at Sandy Hook Island, WA and planted in arboretum row 209 in 2006"
Corymbia aparrerinja,,Cultivated tree of unknown origin,132,1997,0.983295368,3.7,2.89,voucher : collected at Cultivated tree of unknown origin and planted in arboretum row 132 in 1997
Eucalyptus microcorys,DN 1238,"Johns River, NSW",198,2000,0.996153846,3.68,1.95,"voucher DN 1238: collected at Johns River, NSW and planted in arboretum row 198 in 2000"
Eucalyptus coronata,DN 2247,"East Mt Barren, WA",188,2000,1.001934236,4.86,2.98,"voucher DN 2247: collected at East Mt Barren, WA and planted in arboretum row 188 in 2000"
Corymbia tessellaris,,Cultivated tree of unknown origin,61,1995,1.007782101,3.43,2.72,voucher : collected at Cultivated tree of unknown origin and planted in arboretum row 61 in 1995
Eucalyptus todtiana,DN 5075,"Cockleshell Gully, WA",304,2010,1.015288122,4.17,2.7,"voucher DN 5075: collected at Cockleshell Gully, WA and planted in arboretum row 304 in 2010"
Eucalyptus patens,DN 4621,"Sawyers Valley, WA",261,2004,1.018482108,2.55,2.26,"voucher DN 4621: collected at Sawyers Valley, WA and planted in arboretum row 261 in 2004"
Eucalyptus megacarpa,DN 1137,"Two Peoples Bay, WA",70,1995,1.029411765,3.43,2.54,"voucher DN 1137: collected at Two Peoples Bay, WA and planted in arboretum row 70 in 1995"
Eucalyptus pendens,DN 256,"Badgingarra, WA",188,2000,1.03475829,3.17,2.12,"voucher DN 256: collected at Badgingarra, WA and planted in arboretum row 188 in 2000"
Eucalyptus preissiana subsp. lobata,DN 5492,"Quallilup Lake, WA",313,2011,1.037582537,7.13,2.66,"voucher DN 5492: collected at Quallilup Lake, WA and planted in arboretum row 313 in 2011"
Eucalyptus staeri,DN 1133,"Wellstead, WA",70,1995,1.037660256,4.54,2.71,"voucher DN 1133: collected at Wellstead, WA and planted in arboretum row 70 in 1995"
Eucalyptus brevistylis,DN 1141,"Mt Frankland, WA",76,1995,1.039743075,3.31,2.61,"voucher DN 1141: collected at Mt Frankland, WA and planted in arboretum row 76 in 1995"
Eucalyptus cloeziana,DN 696,"Isla Gorge, QLD",56,1994,1.043933898,3.7,2.89,"voucher DN 696: collected at Isla Gorge, QLD and planted in arboretum row 56 in 1994"
Eucalyptus platydisca,DN 133,"Mt Norcott, WA",176,1999,1.049858127,3.48,2.74,"voucher DN 133: collected at Mt Norcott, WA and planted in arboretum row 176 in 1999"
Eucalyptus calcicola subsp. calcicola,DN 1674,"Boranup, WA",145,1997,1.051990252,3.95,2.82,"voucher DN 1674: collected at Boranup, WA and planted in arboretum row 145 in 1997"
Eucalyptus preissiana subsp. preissiana,DN 3762,"Mobrup, WA",240,2001,1.052845528,3.53,3.09,"voucher DN 3762: collected at Mobrup, WA and planted in arboretum row 240 in 2001"
Eucalyptus rubiginosa,DN 2114,"Isla Gorge, QLD",84,1998,1.054989817,3.8,2.89,"voucher DN 2114: collected at Isla Gorge, QLD and planted in arboretum row 84 in 1998"
Eucalyptus latisinensis,DN 715,"Goodwood, Qld",58,1994,1.067161104,3.2,2.72,"voucher DN 715: collected at Goodwood, Qld and planted in arboretum row 58 in 1994"
Eucalyptus sepulcralis,DN 1635,"Fitzgerald River National Park, WA",134,1997,1.069805865,2.78,1.99,"voucher DN 1635: collected at Fitzgerald River National Park, WA and planted in arboretum row 134 in 1997"
Eucalyptus portulensis,DN 6447,"Shute Harbour, QLD",275,2013,1.070247934,5.23,2.11,"voucher DN 6447: collected at Shute Harbour, QLD and planted in arboretum row 275 in 2013"
Eucalyptus carnea,DN 1236,"Gloucester, NSW",208,2002,1.071133168,2.74,2.25,"voucher DN 1236: collected at Gloucester, NSW and planted in arboretum row 208 in 2002"
Eucalyptus psammitica,DN 664,"Fortis Creek, NSW",52,1994,1.072908036,4.67,3.1,"voucher DN 664: collected at Fortis Creek, NSW and planted in arboretum row 52 in 1994"
Eucalyptus umbra,DN 2912,"West Head, NSW",196,2000,1.073797678,2.89,2.36,"voucher DN 2912: collected at West Head, NSW and planted in arboretum row 196 in 2000"
Eucalyptus bupestrium,DN 6703,"South Stirlings, WA",293,2015,1.076028251,4.17,2.31,"voucher DN 6703: collected at South Stirlings, WA and planted in arboretum row 293 in 2015"
Eucalyptus calcicola subsp. unita,DN 1878,"Hauloff Rocks, WA",137,1997,1.076028251,4.62,2.48,"voucher DN 1878: collected at Hauloff Rocks, WA and planted in arboretum row 137 in 1997"
Eucalyptus moorei subsp. 'latiuscula',DN 594,"Wadbilliga Trig, NSW",307,2010,1.076475478,3.72,2.27,"voucher DN 594: collected at Wadbilliga Trig, NSW and planted in arboretum row 307 in 2010"
Eucalyptus ligulata subsp. ligulata,DN 175,"Cape Le Grand, WA",208,2002,1.077819392,3.05,2.55,"voucher DN 175: collected at Cape Le Grand, WA and planted in arboretum row 208 in 2002"
Eucalyptus diversifolia subsp. diversifolia,DN 1991,"Cape Nelson, VIC",152,1998,1.08096828,4.76,4,"voucher DN 1991: collected at Cape Nelson, VIC and planted in arboretum row 152 in 1998"
"Eucalyptus elata 
",DN 2901,"Belowra, NSW",193,2000,1.084135622,2.46,2.15,"voucher DN 2901: collected at Belowra, NSW and planted in arboretum row 193 in 2000"
Eucalyptus mediocris,DN 2115,"Mt Moffat, QLD",161,1998,1.085043988,5.99,3.53,"voucher DN 2115: collected at Mt Moffat, QLD and planted in arboretum row 161 in 1998"
Eucalyptus stellulata,DN 582,"Omeo, VIC",16,1994,1.088235294,4.45,3.17,"voucher DN 582: collected at Omeo, VIC and planted in arboretum row 16 in 1994"
Eucalyptus uvida,DN 1299,"Paluma, QLD",307,2010,1.088692728,4.49,3.57,"voucher DN 1299: collected at Paluma, QLD and planted in arboretum row 307 in 2010"
Eucalyptus mitchelliana,DN 574,"Mt Buffalo, VIC",159,1998,1.090985678,2.13,2.02,"voucher DN 574: collected at Mt Buffalo, VIC and planted in arboretum row 159 in 1998"
Eucalyptus pachyloma,DN 3735,"Dardadine, WA",238,2001,1.090985678,4.25,2.9,"voucher DN 3735: collected at Dardadine, WA and planted in arboretum row 238 in 2001"
Eucalyptus apothalassica,DN 1263,"Eidsvold West, QLD",89,1996,1.092827004,3.45,2.05,"voucher DN 1263: collected at Eidsvold West, QLD and planted in arboretum row 89 in 1996"
Eucalyptus irritans,DN 2525,"Mt Garnet, QLD",166,1999,1.092827004,3.86,2.24,"voucher DN 2525: collected at Mt Garnet, QLD and planted in arboretum row 166 in 1999"
Eucalyptus fastigata,DN 596,"Badja, NSW",245,2002,1.093288307,3.75,2.47,"voucher DN 596: collected at Badja, NSW and planted in arboretum row 245 in 2002"
Eucalyptus tenuiramis,DN 1976,"Ouse, TAS",156,1998,1.093288307,3.05,3.35,"voucher DN 1976: collected at Ouse, TAS and planted in arboretum row 156 in 1998"
Eucalyptus uvida,DN 1299,"Paluma, QLD",160,1998,1.09375,4.33,3.65,"voucher DN 1299: collected at Paluma, QLD and planted in arboretum row 160 in 1998"
Eucalyptus pulchella,DN 1984,"Kellevie, TAS",152,1998,1.094674556,2.39,2.28,"voucher DN 1984: collected at Kellevie, TAS and planted in arboretum row 152 in 1998"
Eucalyptus ligulata subsp. stirlingica,DN 3560,"Mt Trio, WA",238,2001,1.098388465,3.13,2.34,"voucher DN 3560: collected at Mt Trio, WA and planted in arboretum row 238 in 2001"
Eucalyptus moorei subsp. serpentinicola,DN 1233,"Curricabark, NSW",91,1996,1.099320883,3.62,2.53,"voucher DN 1233: collected at Curricabark, NSW and planted in arboretum row 91 in 1996"
Eucalyptus robertsonii,DN 1771,"Brindabella Range, ACT",145,1997,1.100254885,3.15,2.41,"voucher DN 1771: collected at Brindabella Range, ACT and planted in arboretum row 145 in 1997"
Eucalyptus helidonica,DN 6491,"Helidon Hills, QLD",277,2013,1.100722482,6.26,3.23,"voucher DN 6491: collected at Helidon Hills, QLD and planted in arboretum row 277 in 2013"
Eucalyptus diversifolia subsp. hesperia,DN 1811,"Border Village, SA",135,1997,1.101190476,6.46,2.25,"voucher DN 1811: collected at Border Village, SA and planted in arboretum row 135 in 1997"
Eucalyptus verrucata,DN 3787,"Mt Abrupt, VIC",207,2002,1.101190476,2.36,1.88,"voucher DN 3787: collected at Mt Abrupt, VIC and planted in arboretum row 207 in 2002"
Eucalyptus radiata subsp. sejuncta,DN 655,"Guyra, NSW",195,2000,1.101658869,3.02,2.28,"voucher DN 655: collected at Guyra, NSW and planted in arboretum row 195 in 2000"
Eucalyptus falciformis,DN 361,"Victoria Valley, VIC",168,1999,1.10212766,3.95,3.41,"voucher DN 361: collected at Victoria Valley, VIC and planted in arboretum row 168 in 1999"
Eucalyptus victoriana,DN 3786,"Mt Thackeray, VIC",207,2002,1.103536429,3.74,2.78,"voucher DN 3786: collected at Mt Thackeray, VIC and planted in arboretum row 207 in 2002"
Eucalyptus acmenoides,DN 2087,"Taree, NSW",156,1998,1.104948805,3.37,2.8,"voucher DN 2087: collected at Taree, NSW and planted in arboretum row 156 in 1998"
Eucalyptus macrorhyncha subsp. cannonii,DN 779,"Capertee, NSW",57,1994,1.1058924,3.44,2.75,"voucher DN 779: collected at Capertee, NSW and planted in arboretum row 57 in 1994"
Eucalyptus regnans,DN 4316,"Otway Range, VIC",307,2010,1.107310817,2.76,2.34,"voucher DN 4316: collected at Otway Range, VIC and planted in arboretum row 307 in 2010"
Eucalyptus croajingolensis,DN 1744,"Cann River, VIC",142,1997,1.110158594,2.52,2.15,"voucher DN 1744: collected at Cann River, VIC and planted in arboretum row 142 in 1997"
Eucalyptus helidonica,DN 6491,"Helidon Hills, QLD",277,2013,1.110158594,4.64,2.86,"voucher DN 6491: collected at Helidon Hills, QLD and planted in arboretum row 277 in 2013"
Eucalyptus caesia subsp. magna,DN 304,"Chiddarcooping Hill, WA",45,1994,1.111111111,3.35,2.98,"voucher DN 304: collected at Chiddarcooping Hill, WA and planted in arboretum row 45 in 1994"
Eucalyptus sphaerocarpa,DN 704,"Blackdown Tableland, QLD",151,1998,1.112065264,4.86,2.52,"voucher DN 704: collected at Blackdown Tableland, QLD and planted in arboretum row 151 in 1998"
Eucalyptus macrorhyncha subsp. macrorhyncha,DN 737,"Grenfell, NSW",47,1994,1.112542955,3.15,3.03,"voucher DN 737: collected at Grenfell, NSW and planted in arboretum row 47 in 1994"
Eucalyptus cameronii,DN 662,"Gibraltar Range, NSW",potted,,1.113021057,3.3,2.6,"voucher DN 662: collected at Gibraltar Range, NSW and planted in arboretum row potted in "
Eucalyptus ornans,DN 6783,"Avon River, VIC",332,2015,1.115417743,3.7,2.77,"voucher DN 6783: collected at Avon River, VIC and planted in arboretum row 332 in 2015"
Eucalyptus caesia subsp. 'Southern' ,DN 3813,"Pingaring, WA",206,2002,1.11637931,2.32,1.77,"voucher DN 3813: collected at Pingaring, WA and planted in arboretum row 206 in 2002"
Eucalyptus prominula,DN 2917,"Putty, NSW",195,2000,1.11637931,2.54,2.02,"voucher DN 2917: collected at Putty, NSW and planted in arboretum row 195 in 2000"
Eucalyptus moorei subsp. moorei,DN 5249,"Goulburn, NSW",305,2010,1.116860716,4.86,2.39,"voucher DN 5249: collected at Goulburn, NSW and planted in arboretum row 305 in 2010"
Eucalyptus dives,DN 6099,"Blackwood Range, VIC",281,2013,1.117824773,3.24,2.54,"voucher DN 6099: collected at Blackwood Range, VIC and planted in arboretum row 281 in 2013"
Eucalyptus risdonii,DN 1982,"Risdon Hills, TAS",154,1998,1.118790497,3.3,2.99,"voucher DN 1982: collected at Risdon Hills, TAS and planted in arboretum row 154 in 1998"
Eucalyptus radiata subsp. radiata,DN 602,"Mongarlowe, NSW",193,2000,1.119273984,2.9,2.32,"voucher DN 602: collected at Mongarlowe, NSW and planted in arboretum row 193 in 2000"
Eucalyptus remota,DN 812,"Kangaroo Island, SA",69,1995,1.119273984,3.28,2.3,"voucher DN 812: collected at Kangaroo Island, SA and planted in arboretum row 69 in 1995"
Eucalyptus andrewsii ,DN 670,"Girraween Nat. Park, QLD",52,1994,1.120242215,3.43,2.32,"voucher DN 670: collected at Girraween Nat. Park, QLD and planted in arboretum row 52 in 1994"
Eucalyptus pauciflora subsp. pauciflora ,DN 476,"Caroline forest, SA",58,1994,1.120242215,4.76,3.02,"voucher DN 476: collected at Caroline forest, SA and planted in arboretum row 58 in 1994"
Eucalyptus doratoxylon,DN 178,"Cape Le Grand, WA",208,2002,1.121697705,2.51,2.35,"voucher DN 178: collected at Cape Le Grand, WA and planted in arboretum row 208 in 2002"
Eucalyptus stenostoma,DN 2900,"Belowra, NSW",193,2000,1.121697705,3.14,2.33,"voucher DN 2900: collected at Belowra, NSW and planted in arboretum row 193 in 2000"
Eucalyptus ligustrina,DN 624,"Kings Tableland, NSW",194,2000,1.122183709,2.93,2.23,"voucher DN 624: collected at Kings Tableland, NSW and planted in arboretum row 194 in 2000"
Eucalyptus globoidea,DN 1732,"Stratford, VIC",193,2000,1.123644252,2.62,2.19,"voucher DN 1732: collected at Stratford, VIC and planted in arboretum row 193 in 2000"
Eucalyptus extrica,DN 1092,"Cape Arid Nat. Park, WA",65,1995,1.125108601,4.42,3.24,"voucher DN 1092: collected at Cape Arid Nat. Park, WA and planted in arboretum row 65 in 1995"
Eucalyptus rudis subsp. cratyantha,DN 5538,"Eagle Bay, WA",310,2011,1.126576773,3.54,2.4,"voucher DN 5538: collected at Eagle Bay, WA and planted in arboretum row 310 in 2011"
Eucalyptus alba var. australasica,DN 4211,"Ramingining, NT",247,2002,1.127067015,3.59,2.14,"voucher DN 4211: collected at Ramingining, NT and planted in arboretum row 247 in 2002"
Eucalyptus caesia subsp. caesia ,DN 3683,"Kokerbin Hill, WA",228,2001,1.127067015,3.39,2.89,"voucher DN 3683: collected at Kokerbin Hill, WA and planted in arboretum row 228 in 2001"
Eucalyptus houseana,DN 1911,"King Leopold Range, WA",139,1997,1.127067015,4.88,2.66,"voucher DN 1911: collected at King Leopold Range, WA and planted in arboretum row 139 in 1997"
Eucalyptus capitellata,DN 5262,"Cessnock, NSW",305,2010,1.127557684,3.98,2.71,"voucher DN 5262: collected at Cessnock, NSW and planted in arboretum row 305 in 2010"
Eucalyptus rossii,DN 725,"Pilliga scrub, NSW",60,1994,1.12804878,4.45,2.87,"voucher DN 725: collected at Pilliga scrub, NSW and planted in arboretum row 60 in 1994"
Eucalyptus deuaensis,DN 1769,"Deua Nat. Park, NSW",141,1997,1.128540305,2.83,2.26,"voucher DN 1769: collected at Deua Nat. Park, NSW and planted in arboretum row 141 in 1997"
Eucalyptus glomericassis,DN 5219,"Twin Falls, NT",304,2010,1.128540305,2.89,2.26,"voucher DN 5219: collected at Twin Falls, NT and planted in arboretum row 304 in 2010"
Eucalyptus obstans,DN 620,"Royal Nat. Park, NSW",167,1999,1.129032258,3.62,2.08,"voucher DN 620: collected at Royal Nat. Park, NSW and planted in arboretum row 167 in 1999"
