sort,order,TRIP,SITE,PLANT GROUP,REP,SPECIES,SPECIES_sheet2,species_name_edited,root/leaf,COMMENT,LAB NUMBER,xylem sap,%C_leaf,del C_leaf,%N_leaf,%N-2_leaf,Del N_leaf,xylem delN root,xylem delN shoot,%C_root,del C_root,%N_root,%N-2_root,Del N_root
73,53,1,Katherine,E,,E. patellaris,E. petallaris,Eucalyptus patellaris,root,uncleared,70,,,,,,,,,41.2295,-28.56,0.6041,,-1.03
75,56,1,Katherine,P,1,Hakea spp,Hakea spp,Hakea sp.,leaf,uncleared,74,79,42.408,-29.75,0.7618,,2.7,5.47,4.4,41.0403,-26.89,0.4954,,0.17
76,57,1,Katherine,P,2,Hakea spp,Hakea spp,Hakea sp.,leaf,uncleared,2,66,42.5006,-29.84,0.7895,,2.72,3.45,6.01,,,,,
77,58,1,Katherine,P,3,Hakea spp,Hakea spp.,Hakea sp.,leaf,uncleared,1,,42.9811,-29.63,0.7941,,2.39,4.74,2.98,,,,,
78,59,1,Katherine,P,5,Hakea spp,Hakea spp,Hakea sp.,leaf,uncleared,83,,42.1728,-29.35,0.6912,,3.38,4.35,3.4,,,,,
79,208,2,Katherine,P,1,H. arb,H. arb,Hakea arborescens,leaf,uncleared,421,,48.5185,-28.38,0.6648,,1.66,3.39,3.66,,,,,
80,209,2,Katherine,P,2,H. arb,H. arb,Hakea arborescens,leaf,uncleared,434,,50.1797,-30.73,0.5621,,1.56,3.3,3.51,,,,,
81,210,2,Katherine,P,,H. arb,H. arb,Hakea arborescens,leaf,uncleared,441,,48.6481,-27.39,0.7709,,0.9,3.11,2.3,,,,,
82,211,2,Katherine,P,5,H. arb,H. arb,Hakea arborescens,leaf,uncleared,464,,44.6456,-30.17,0.7009,,1.78,,3.31,,,,,
83,212,2,Katherine,P,3,Hakea,Hakea,Hakea sp.,leaf,uncleared,423,,48.3566,-28.72,0.8379,,2.51,,,,,,,
84,60,1,Katherine,P,1,Hakea spp,Hakea spp 1,Hakea sp.,root,uncleared,85,68,,,,,,,,45.1663,-28.96,0.2494,,4.32
86,62,1,Katherine,P,,Hakea spp,Hakea spp,Hakea sp.,root,uncleared,62,46,,,,,,,,45.9858,-27.66,0.1872,,2.75
87,63,1,Katherine,P,,Hakea spp,Hakea,Hakea sp.,cluster_root,uncleared,44,,17.3533,-28.45,0.3429,,2.3,,,,,,,
88,66,1,Newcastle Waters,A,1,A. Shirlii,A. Shirlii,Acacia shirleyi,leaf,lancewood dom,69,177,48.852,-29.69,1.6576,,1.52,-1.53,1.54,,,,,
89,67,1,Newcastle Waters,A,2,A. Shirlii,A. Shirlii,Acacia shirleyi,leaf,lancewood dom,66,5,48.3058,-29.74,1.7585,,1.12,4.2,1.18,,,,,
90,68,1,Newcastle Waters,A,3,A. Shirlii,A. Shirlii,Acacia shirleyi,leaf,lancewood dom,95,,46.7624,-29.61,2.1481,,1.94,4.36,5.04,,,,,
91,69,1,Newcastle Waters,A,4,A. Shirlii,A. Shirlii,Acacia shirleyi,leaf,lancewood dom,68,,47.2617,-29.16,1.5004,,2.28,-2.17,3.75,,,,,
92,70,1,Newcastle Waters,A,1,A. lyso,A. lysophloia,Acacia lysiphloia,leaf,Euc dom,51,,48.5583,-29.41,1.6849,,1.65,3.19,2.98,,,,,
93,71,1,Newcastle Waters,A,2,A. lyso,A. lysophloia,Acacia lysiphloia,leaf,Euc dom,50,,46.2769,-29.2,1.3278,,0.67,2.86,2.35,,,,,
94,72,1,Newcastle Waters,A,3,A. lyso,A. lysophloia,Acacia lysiphloia,leaf,Euc dom,34,,48.2115,-30.37,1.8060,,0.78,,6.69,,,,,
95,73,1,Newcastle Waters,A,4,A. lyso,A. lysophloia,Acacia lysiphloia,leaf,Euc dom,53,,48.0623,-28.41,1.7675,,0.47,,-0.37,,,,,
96,214,2,Newcastle Waters,A,1,A. shirl,A. shirl,Acacia shirleyi,leaf,lancewood dom,422,,43.8341,-26.61,1.4755,,1.56,3.83,,,,,,
97,215,2,Newcastle Waters,A,2,A. shirl,A. shirl,Acacia shirleyi,leaf,lancewood dom,461,,48.154,-28.52,1.5088,,0.68,,,,,,,
98,216,2,Newcastle Waters,A,,A. shirl,A. shirl,Acacia shirleyi,leaf,lancewood dom,459,,43.2308,-26.67,1.0574,,-1.71,,,,,,,
99,217,2,Newcastle Waters,A,,A. ,A. ,Acacia sp.,leaf,Euc dom,455,,46.8073,-28.15,1.4117,,0.32,,,,,,,
100,218,2,Newcastle Waters,A,,A. lyso,A. lyso,Acacia lysiphloia,leaf,Euc dom,405,,47.0961,-28.76,1.5877,,-0.76,,,,,,,
101,219,2,Newcastle Waters,A,2,A. lyso,A. lysoph,Acacia lysiphloia,leaf,Euc dom,435,,48.7978,-27.9,1.6125,,0.79,,,,,,,
102,74,1,Newcastle Waters,A,,A. lysophloia,A. lysophloia,Acacia lysiphloia,root,Euc dom,61,43,,,,,,,,42.7975,-28.13,1.2141,,-0.33
103,220,2,Newcastle Waters,A,,Acacia spp,Acacia spp,Acacia sp.,root,shrub with legumes,465,,,,,,,,,44.0962,-25.98,0.7154,,-0.98
104,76,1,Newcastle Waters,E,1,Euc lancewood,Euc ,Eucalyptus lancewood sp.,leaf,lancewood dom,42,175,48.2359,-27.37,1.077,,5.4,2.7,5.38,,,,,
105,77,1,Newcastle Waters,E,2,Euc lancewood,Euc ,Eucalyptus lancewood sp.,leaf,lancewood dom,89,98,49.1265,-26.71,1.0317,,3.46,7.34,5.42,,,,,
106,78,1,Newcastle Waters,E,4,Euc lancewood,Euc ,Eucalyptus lancewood sp.,leaf,lancewood dom,57,,48.0503,-28.54,0.9693,,4.15,6.31,5.85,,,,,
107,80,1,Newcastle Waters,E,1,E. capricornia,E. capricornia,Corymbia capricornia,leaf,Euc dom,52,,48.783,-29.24,1.3606,,0.85,1.89,2.62,,,,,
108,81,1,Newcastle Waters,E,2,E. capricornia,E. capricornia,Corymbia capricornia,leaf,Euc dom,43,,48.4209,-27.34,0.9362,,1.25,3.1,2.78,,,,,
109,82,1,Newcastle Waters,E,3,E. capricornia,E. capricornia,Corymbia capricornia,leaf,Euc dom,10,,47.5667,-28.33,1.1077,,2.02,1.31,1.14,,,,,
110,83,1,Newcastle Waters,E,4,E. capricornia,E. capricornia,Corymbia capricornia,leaf,Euc dom,9,,46.9957,-29.41,0.997,,1.21,3.22,1.91,,,,,
111,222,2,Newcastle Waters,E,1,Euc lancewood,Euc,Eucalyptus lancewood sp.,leaf,lancewood dom,454,,46.6696,-28.84,1.0915,,3.56,7.59,4.26,,,,,
112,223,2,Newcastle Waters,E,2,Euc lancewood,Euc,Eucalyptus lancewood sp.,leaf,lancewood dom,420,,45.1561,-27.64,1.0613,,3.52,,5.02,,,,,
113,224,2,Newcastle Waters,E,,E. capricornia,Euc,Corymbia capricornia,leaf,Euc dom,432,,52.2844,-27.99,0.6514,,1.27,3.05,0.92,,,,,
114,84,1,Newcastle Waters,E,1,E. capricornia,E. capricornia,Corymbia capricornia,root,Euc dom,64,,,,,,,,,42.67,-25.27,0.1547,,2.7
115,85,1,Newcastle Waters,E,,E. capricornia,E. capricornia,Corymbia capricornia,root,Euc dom,73,,,,,,,,,43.8293,-25.6,0.3439,,-0.91
116,79,1,Newcastle Waters,E,1,E. capricornia,Euc ,Corymbia capricornia,root,lancewood dom,71,175,,,,,,,,39.6298,-27.33,0.2316,,1.87
117,225,2,Newcastle Waters,E,1,Euc,Euc,Eucalyptus sp.,root,lancewood dom,458,,,,,,,,,42.065,-25.99,0.2634,,4.17
118,100,1,Newcastle Waters,P,,Grevillea,Grevillea,Grevillea sp.,leaf/root,leaf ground..?,76,,45.61,-30.41,1.4832,,2.7,2.9,4.66,,,,,
119,96,1,Newcastle Waters,P,1,G. wickhamii,G. wickhamii,Grevillea wickhamii,leaf,Euc dom,84,,45.4997,-29.57,1.5069,,2.08,5.28,4.1,,,,,
120,97,1,Newcastle Waters,P,2,G. wickhamii,G. wickhamii,Grevillea wickhamii,leaf,Euc dom,33,,45.5348,-28.64,1.475,,1.54,2.01,4.62,,,,,
121,98,1,Newcastle Waters,P,3,G. wickhamii,G. wickhamii,Grevillea wickhamii,leaf,Euc dom,49,,46.8375,-29.88,1.838,,-0.98,,,,,,,
122,99,1,Newcastle Waters,P,4,G. wickhamii,G. wickhamii,Grevillea wickhamii,leaf,Euc dom,29,,45.1451,-30.17,1.3564,,1.86,5.07,4.87,,,,,
123,227,2,Newcastle Waters,P,,G. wickhamii,G. wick,Grevillea wickhamii,leaf,,425,,48.97,-28.27,1.2881,,5.94,4.65,5.12,,,,,
124,228,2,Newcastle Waters,P,,G. wickhamii,G. wick,Grevillea wickhamii,leaf,,430,,50.2309,-29.66,1.0293,,1.77,,,,,,,
125,229,2,Newcastle Waters,P,,G. wickhamii,G. wick,Grevillea wickhamii,leaf,,444,,48.4824,-26.3,0.1923,,1.8,,,,,,,
126,230,2,Newcastle Waters,P,,G. wickhamii,,Grevillea wickhamii,leaf,,452,,48.74016667,-26.10666667,,,,,,,,,,
127,87,1,Newcastle Waters,G,1,Sorghum,Sorghum,Sorghum bicolor,leaf,lancewood dom,35,,41.0682,-12.04,0.4676,,3.84,,,,,,,
128,88,1,Newcastle Waters,G,2,Sorghum,Sorghum,Sorghum bicolor,leaf,lancewood dom,65,,41.2635,-12.48,0.6328,,9.29,,,,,,,
129,89,1,Newcastle Waters,G,3,Sorghum,Sorghum,Sorghum bicolor,leaf,lancewood dom,67,,41.3159,-12.79,1.116,,4.94,,,,,,,
130,90,1,Newcastle Waters,G,4,Sorghum,Sorghum,Sorghum bicolor,leaf,lancewood dom,60,,41.2269,-12.22,0.9432,,6.45,,,,,,,
131,91,1,Newcastle Waters,G,1,Spinifex 1,Spinifex 1,Triodia sp. 1,leaf,Euc dom,55,,41.1325,-13.71,0.7625,,-0.26,,,,,,,
132,92,1,Newcastle Waters,G,2,Spinifex,Spinifex,Triodia sp.,leaf,Euc dom,78,,42.1474,-13.86,0.8293,,-0.71,,,,,,,
133,93,1,Newcastle Waters,G,3,Spinifex 3,Spinifex 3,Triodia sp. 3,leaf,Euc dom,48,,42.9235,-13.8,0.8097,,1.45,,,,,,,
134,94,1,Newcastle Waters,G,4,Spinifex,Spinifex,Triodia sp.,leaf,Euc dom,75,,42.1914,-13.83,0.8758,,1.37,,,,,,,
135,102,1,Alice Springs,A,1,A.aneura,A.aneura,Acacia aneura,leaf,sml mulga,111,187,45.3709,-28.17,2.048,,1.71,6.73,5.81,,,,,
136,103,1,Alice Springs,A,2,A.aneura,A.aneura,Acacia aneura,leaf,sml mulga,106,158,45.9611,-28.62,2.0913,,4.56,6.41,9.26,,,,,
137,104,1,Alice Springs,A,3,A.aneura,A.aneura,Acacia aneura,leaf,sml mulga,122,,46.9933,-27.86,2.1964,,1.21,5.99,3.54,,,,,
138,105,1,Alice Springs,A,1,A.aneura,A.aneura,Acacia aneura,leaf,lg Mulga,102,144,47.553,-26.38,2.1022,,5.23,7.49,6.99,,,,,
139,106,1,Alice Springs,A,1,A.aneura,A.aneura,Acacia aneura,leaf,med. Mulga,109,181,48.0689,-28.18,2.024,,3.58,6.71,3.9,,,,,
140,107,1,Alice Springs,A,,A.aneura,A.aneura,Acacia aneura,leaf,sml mulga,103,146,47.6087,-28.01,1.8492,,1.44,3.43,,,,,,
141,108,1,Alice Springs,A,1,A.aneura,A.aneura,Acacia aneura,leaf,lg Mulga,108,178,46.2707,-26.78,2.2768,,2.45,,,,,,,
142,109,1,Alice Springs,A,3,A.aneura,A. aneura,Acacia aneura,leaf,LARGE MULGA,101,139,45.4774,-26.95,2.2495,,6.07,,,,,,,
143,232,2,Alice Springs,A,2,A. aneura,A. aneura,Acacia aneura,leaf,,427,,52.9946,-27.18,1.7203,,2.33,,,,,,,
144,233,2,Alice Springs,A,3,A. aneura,A. aneura,Acacia aneura,leaf,,450,,46.6252,-27.05,1.5505,,1.9,,,,,,,
145,234,2,Alice Springs,A,4,A. aneura,A. aneura,Acacia aneura,leaf,,451,,43.9231,-26.99,1.8909,,6.28,,,,,,,
146,236,2,Alice Springs,A,1,broadleaf Acac,broadleaf Acac,Acacia broadleaf sp.,leaf,,447,,48.5591,-28.48,1.451,,0.14,,,,,,,
147,237,2,Alice Springs,A,2,broadleaf Acac,broadleaf Acac,Acacia broadleaf sp.,leaf,,449,,46.6986,-26.65,1.478,,1.23,,,,,,,
148,238,2,Alice Springs,A,,A. aneura,A. aneura,Acacia aneura,leaf,6-7m. Found with mistletoe 1,456,,44.5564,-26.73,1.7813,,1.06,,,,,,,
149,253,2,Alice Springs,A,2,A. aneura,A. aneura,Acacia aneura,leaf,host to mistle 2,418,,32.3885,-26.78,1.5154,,,,,,,,,
150,256,2,Alice Springs,A,T2,A. aneura,A. aneura,Acacia aneura,leaf,host to mistle ,442,,45.694,-28.64,1.9416,,1.31,,,,,,,
151,110,1,Alice Springs,A,,A.aneura,A.aneura,Acacia aneura,root,med. Mulga,110,181,,,,,,,,45.1569,-24.63,1.0041,,1.68
152,111,1,Alice Springs,A,,A.aneura,A.aneura,Acacia aneura,root,,127,,,,,,,,,42.544,-25.86,0.9144,,1.95
153,112,1,Alice Springs,A,,A.aneura,A.aneura,Acacia aneura,root,,128,,,,,,,,,42.1707,-25.83,0.8308,,1.55
154,113,1,Alice Springs,A,,A.aneura,A.aneura,Acacia aneura,root,,59,,,,,,,,,42.3273,-26.49,0.81,,3.67
155,114,1,Alice Springs,A,,A.aneura,A. aneura,Acacia aneura,root,,126,,,,,,,,,46.7377,-24.91,0.9054,,1.6
156,116,1,Alice Springs,E,1,Euc.,Euc.,Eucalyptus sp.,leaf,,105,151,46.7961,-28.32,1.2056,,1.76,6.04,3.27,,,,,
157,117,1,Alice Springs,E,2,Euc.,Euc.,Eucalyptus sp.,leaf,,121,,47.3983,-28.26,1.1606,,1.62,2.34,0.18,,,,,
158,118,1,Alice Springs,E,3,Euc.,Euc.,Eucalyptus sp.,leaf,,362,179,49.6343,-27.87,1.361138762,,2.26,2.28,2.69,,,,,
159,119,1,Alice Springs,E,4,Euc.,Euc.,Eucalyptus sp.,leaf,,112,191,47.5144,-26.88,1.0432,,0.91,2.89,3.29,,,,,
160,240,2,Alice Springs,E,T7,E. opaca,E. opaca,Corymbia opaca,leaf,,416,,48.3403,-24.84,0.8553,,2.88,,2.09,,,,,
161,241,2,Alice Springs,E,2,E. opaca,E. opaca,Corymbia opaca,leaf,,431,,51.6195,-26.8,1.0601,,2.35,,2.73,,,,,
162,242,2,Alice Springs,E,T6,E. opaca,E. opaca,Corymbia opaca,leaf,,437,,49.2075,-26.45,1.0637,,2.85,,3,,,,,
163,120,1,Alice Springs,E,,E. opaca,E. opaca,Corymbia opaca,root,,123,,,,,,,,,40.4464,-23.47,0.3687,,1.78
164,121,1,Alice Springs,E,,E. opaca,E. opaca,Corymbia opaca,root,,129,,,,,,,,,34.83,-22.78,0.1764,,2.6
165,122,1,Alice Springs,E,,E. opaca,E. opaca,Corymbia opaca,root,,130,,,,,,,,,40.888,-22.35,0.2489,,1.86
166,161,1,Alice Springs,P,1,Hakea suberia,Hakea suberia,Hakea suberia,leaf,,131,,45.3831,-26.11,0.8376,,2,3.3,2.34,,,,,
167,162,1,Alice Springs,P,2,Hakea suberia,Hakea suberia,Hakea suberia,leaf,,107,169,46.4877,-25.25,0.7014,,3.45,7.08,3.54,,,,,
168,163,1,Alice Springs,P,3,Hakea suberia,Hakea suberia,Hakea suberia,leaf,,113,192,45.7237,-26.46,0.7785,,2.44,3.13,3.22,,,,,
169,164,1,Alice Springs,P,4,Hakea suberia,Hakea suberia,Hakea suberia,leaf,sml bush,115,196,45.386,-27.11,0.7061,,2.84,3,3.83,,,,,
170,165,1,Alice Springs,P,5,Hakea suberia,Hakea suberia,Hakea suberia,leaf,large bush,100,130,44.7838,-26.24,0.8149,,1.99,3.59,,,,,,
171,244,2,Alice Springs,P,2,Hakea,Hakea,Hakea sp.,leaf,,426,,51.0814,-27.44,0.9211,,3,,,,,,,
172,245,2,Alice Springs,P,2,Hakea,Hakea,Hakea sp.,leaf,corkwood,436,,48.2008,-26.43,0.8282,,3.98,,,,,,,
