name_original,metadata_id,primary_source,raw_trait_value ,trait ,units
Rubus moluccanus,12,11,1,dispersal mode,
Rubus parvifolius,12,11,1,dispersal mode,
Sarcopetalum harveyanum,12,11,1,dispersal mode,
Smilax australis,12,11,1,dispersal mode,
Smilax calophylla,12,11,1,dispersal mode,
Smilax glyciphylla,12,11,1,dispersal mode,
Stephania japonica,12,11,1,dispersal mode,
Stephania japonica var. discolor,12,11,1,dispersal mode,
Stephania japonica var. japonica,12,11,1,dispersal mode,
Stephania japonica var. timorensis,12,11,1,dispersal mode,
Tetrastigma nitens,12,11,1,dispersal mode,
Tragia novae-hollandiae,12,11,3,dispersal mode,
Trophis scandens,12,11,1,dispersal mode,
Trophis scandens subsp. megacarpa,12,11,1,dispersal mode,
Trophis scandens subsp. scandens,12,11,1,dispersal mode,
Tylophora benthamii,12,11,2,dispersal mode,
Calamus australis,13,12,1,dispersal mode,
Calamus caryotoides,13,12,1,dispersal mode,
Calamus muelleri,13,12,1,dispersal mode,
Cansjera leptostachya,13,12,1,dispersal mode,
Capparis sepiaria,13,12,1,dispersal mode,
Cassytha phaeolasia (pubescens),13,12,1,dispersal mode,
Cassytha pubescens,13,12,1,dispersal mode,
Connarus conchocarpus,13,12,1,dispersal mode,
Connarus conchocarpus subsp. conchocarpus ,13,12,1,dispersal mode,
Jasminum elongatum,13,12,1,dispersal mode,
Mallotus repandus,13,12,1,dispersal mode,
Melodorum uhrii,13,12,1,dispersal mode,
Neosepicaea jucunda,13,12,2,dispersal mode,
Pararistolochia praevenosa ,13,12,2,dispersal mode,
Pycnarrhena novoguineensis,13,12,1,dispersal mode,
Ripogonum elseyanum,13,12,2,dispersal mode,
Rourea brachyandra ,13,12,2,dispersal mode,
Salacia chinensis,13,12,2,dispersal mode,
Salacia disepala,13,12,2,dispersal mode,
Smilax blumei,13,12,1,dispersal mode,
Tetrastigma thorsborneorum,13,12,1,dispersal mode,
Alyxia buxifolia,14,13,1,dispersal mode,
Alyxia spicata,14,13,1,dispersal mode,
Alyxia stellata,14,13,1,dispersal mode,
Aphanopetalum resinosum ,14,13,3,dispersal mode,
Austrosteenisia blackii,14,13,3,dispersal mode,
Austrosteenisia blackii var. astipella,14,13,3,dispersal mode,
Austrosteenisia blackii var. blackii,14,13,3,dispersal mode,
Billardiera scandens,14,13,1,dispersal mode,
Billardiera scandens var. brachyantha,14,13,1,dispersal mode,
Billardiera scandens var. scandens,14,13,1,dispersal mode,
Billardiera scandens var. sericata,14,13,1,dispersal mode,
Caesalpinia bonduc,14,13,3,dispersal mode,
Caesalpinia scortechinii,14,13,3,dispersal mode,
Caesalpinia subtropica,14,13,3,dispersal mode,
Capparis lucida ,14,13,1,dispersal mode,
Cassytha filiformis,14,13,1,dispersal mode,
Cayratia clematidea,14,13,1,dispersal mode,
Cephalaralia cephalobotrys,14,13,1,dispersal mode,
Cissus antarctica,14,13,1,dispersal mode,
Cissus cardiophylla,14,13,1,dispersal mode,
Cissus hastata,14,13,1,dispersal mode,
Cissus hypoglauca,14,13,1,dispersal mode,
Cissus repens,14,13,1,dispersal mode,
Cissus sterculiifolia,14,13,1,dispersal mode,
Clematis aristata,14,13,2,dispersal mode,
Clematis aristata var. longisepala,14,13,2,dispersal mode,
Clematis aristata var. occidentalis,14,13,2,dispersal mode,
Clematis glycinoides,14,13,2,dispersal mode,
Clematis glycinoidesvar. glycinoides,14,13,2,dispersal mode,
Clematis glycinoidesvar. submutica,14,13,2,dispersal mode,
Clerodendrum inerme,14,13,1,dispersal mode,
Coelospermum paniculatum,14,13,1,dispersal mode,
Coelospermum paniculatum var. paniculatum,14,13,1,dispersal mode,
Coelospermum paniculatum var. syncarpum,14,13,1,dispersal mode,
Comesperma volubile,14,13,2,dispersal mode,
Cynanchum carnosum,14,13,2,dispersal mode,
Cynanchum elegans,14,13,2,dispersal mode,
Deeringia arborescens,14,13,1,dispersal mode,
Dioscorea transversa,14,13,2,dispersal mode,
Diplocyclos palmatus,14,13,1,dispersal mode,
Diplocyclos palmatus subsp. affinis,14,13,1,dispersal mode,
Diplocyclos palmatus subsp. palmatus,14,13,1,dispersal mode,
Echinostephia aculeata,14,13,1,dispersal mode,
Embelia australiana,14,13,1,dispersal mode,
Eustrephus latifolius,14,13,1,dispersal mode,
Eustrephus latifolius subsp. angustifolius,14,13,1,dispersal mode,
Eustrephus latifolius var. angustifolius,14,13,1,dispersal mode,
Flagellaria indica,14,13,1,dispersal mode,
Geitonoplesium cymosum,14,13,1,dispersal mode,
Glycine clandestina,14,13,3,dispersal mode,
Glycine clandestina var .sericea,14,13,3,dispersal mode,
Glycine clandestina var. clandestina,14,13,3,dispersal mode,
Glycine tabacina,14,13,3,dispersal mode,
Hippocratea barbata,14,13,2,dispersal mode,
Hoya australis,14,13,2,dispersal mode,
Hoya australis subsp. australis,14,13,2,dispersal mode,
Hoya australis subsp. ormicola,14,13,2,dispersal mode,
Hoya australis subsp. rupicola,14,13,2,dispersal mode,
Hoya australis subsp. sanae,14,13,2,dispersal mode,
Hoya australis subsp. tenuipes ,14,13,2,dispersal mode,
Hoya oligotricha,14,13,2,dispersal mode,
Hydrocotyle acutiloba,14,13,3,dispersal mode,
Jasminum dallachi,14,13,1,dispersal mode,
Jasminum volubile,14,13,1,dispersal mode,
Kennedia rubicunda,14,13,3,dispersal mode,
Legnephora moorei,14,13,1,dispersal mode,
Maclura cochinchinensis,14,13,1,dispersal mode,
Marsdenia lloydii,14,13,2,dispersal mode,
Marsdenia pleiadenia,14,13,2,dispersal mode,
Marsdenia rostrata,14,13,2,dispersal mode,
Melodinus australis,14,13,1,dispersal mode,
Morinda jasminoides,14,13,1,dispersal mode,
Mucuna gigantea,14,13,3,dispersal mode,
Mucuna gigantea subsp. gigantea,14,13,3,dispersal mode,
Muehlenbeckia adpressa,14,13,3,dispersal mode,
Muehlenbeckia gracillima,14,13,3,dispersal mode,
Pachygone ovata,14,13,1,dispersal mode,
Parsonsia longipetiolata,14,13,1,dispersal mode,
Parsonsia rotata,14,13,1,dispersal mode,
Parsonsia sankowskyana,14,13,2,dispersal mode,
Parsonsia straminea,14,13,1,dispersal mode,
Parsonsia velutina ,14,13,1,dispersal mode,
Pisonia aculeata,14,13,4,dispersal mode,
Pleogyne australis,14,13,1,dispersal mode,
Rhagodia candolleana,14,13,1,dispersal mode,
Rhagodia candolleana subsp argentea,14,13,1,dispersal mode,
Rhagodia candolleana subsp candolleana,14,13,1,dispersal mode,
Rubus nebulosus,14,13,2,dispersal mode,
Rubus rosifolius,14,13,2,dispersal mode,
Secamone elliptica,14,13,2,dispersal mode,
Stictocardia tiliifolia,14,13,5,dispersal mode,
Tinospora tinosporoides,14,13,1,dispersal mode,
Tylophora barbata,14,13,2,dispersal mode,
Vandasina retusa,14,13,3,dispersal mode,
Vigna vexillata,14,13,3,dispersal mode,
Vigna vexillata  var. youngiana,14,13,3,dispersal mode,
Vigna vexillata var. angustifolia,14,13,3,dispersal mode,
Marsdenia flavescens,16,15,1,dispersal mode,
Marsdenia fraseri,16,15,1,dispersal mode,
Marsdenia liisae,16,15,2,dispersal mode,
Marsdenia longiloba,16,15,2,dispersal mode,
Canavalia rosea,17,16,5,dispersal mode,
Abrus precatorius subsp. africanus,14,13,2,leaf type,
Alyxia buxifolia,14,13,1,leaf type,
Alyxia spicata,14,13,1,leaf type,
Alyxia stellata,14,13,1,leaf type,
Aphanopetalum resinosum ,14,13,1,leaf type,
Austrosteenisia blackii,14,13,2,leaf type,
Austrosteenisia blackii var. astipella,14,13,2,leaf type,
Austrosteenisia blackii var. blackii,14,13,2,leaf type,
Billardiera scandens,14,13,1,leaf type,
Billardiera scandens var. brachyantha,14,13,1,leaf type,
Billardiera scandens var. scandens,14,13,1,leaf type,
Billardiera scandens var. sericata,14,13,1,leaf type,
Caesalpinia bonduc,14,13,2,leaf type,
Caesalpinia scortechinii,14,13,2,leaf type,
Caesalpinia subtropica,14,13,2,leaf type,
Calamus australis,14,13,2,leaf type,
Calamus caryotoides,14,13,2,leaf type,
Calamus muelleri,14,13,2,leaf type,
Callerya megasperma,14,13,2,leaf type,
Calystegia marginata,14,13,1,leaf type,
Canavalia rosea,14,13,2,leaf type,
Cansjera leptostachya,14,13,1,leaf type,
Capparis lucida ,14,13,1,leaf type,
Capparis sepiaria,14,13,1,leaf type,
Carissa ovata,14,13,1,leaf type,
Cassytha pubescens,14,13,1,leaf type,
Cayratia clematidea,14,13,2,leaf type,
Cayratia eurynema,14,13,2,leaf type,
Celastrus australis,14,13,1,leaf type,
Celastrus subspicata,14,13,1,leaf type,
Cephalaralia cephalobotrys,14,13,2,leaf type,
Cissus antarctica,14,13,1,leaf type,
Cissus cardiophylla,14,13,1,leaf type,
Cissus hastata,14,13,1,leaf type,
Cissus hypoglauca,14,13,2,leaf type,
Cissus opaca,14,13,2,leaf type,
Cissus repens,14,13,1,leaf type,
Cissus sterculiifolia,14,13,2,leaf type,
Clematis aristata,14,13,2,leaf type,
Clematis aristata var. longisepala,14,13,2,leaf type,
Clematis aristata var. occidentalis,14,13,2,leaf type,
Clematis glycinoides,14,13,2,leaf type,
Clematis glycinoidesvar. glycinoides,14,13,2,leaf type,
Clematis glycinoidesvar. submutica,14,13,2,leaf type,
Clerodendrum inerme,14,13,1,leaf type,
Coelospermum paniculatum,14,13,1,leaf type,
Coelospermum paniculatum var. paniculatum,14,13,1,leaf type,
Coelospermum paniculatum var. syncarpum,14,13,1,leaf type,
Colubrina asiatica,14,13,1,leaf type,
Colubrina asiatica var. asiatica ,14,13,1,leaf type,
Comesperma volubile,14,13,1,leaf type,
Connarus conchocarpus,14,13,2,leaf type,
Cynanchum carnosum,14,13,1,leaf type,
Cynanchum elegans,14,13,1,leaf type,
Deeringia amaranthoides,14,13,1,leaf type,
Deeringia arborescens,14,13,1,leaf type,
Derris involuta,14,13,2,leaf type,
Derris scandens,14,13,2,leaf type,
Derris sp. Daintree ,14,13,2,leaf type,
Desmodium rhytidophyllum,14,13,2,leaf type,
Desmodium rhytidophyllum subsp. rhytidophyllum,14,13,2,leaf type,
Desmodium rhytidophyllumsubsp. acutifoliolum,14,13,2,leaf type,
Dioscorea transversa,14,13,1,leaf type,
Diplocyclos palmatus,14,13,1,leaf type,
Diplocyclos palmatus subsp. affinis,14,13,1,leaf type,
Diplocyclos palmatus subsp. palmatus,14,13,1,leaf type,
Durandea jenkinsii,14,13,1,leaf type,
Echinostephia aculeata,14,13,1,leaf type,
Embelia australiana,14,13,1,leaf type,
Eustrephus latifolius,14,13,1,leaf type,
Eustrephus latifolius subsp. angustifolius,14,13,1,leaf type,
Eustrephus latifolius var. angustifolius,14,13,1,leaf type,
Flagellaria indica,14,13,1,leaf type,
Freycinetia excelsa,14,13,1,leaf type,
Freycinetia scandens,14,13,1,leaf type,
Geitonoplesium cymosum,14,13,1,leaf type,
Glycine clandestina,14,13,2,leaf type,
Glycine clandestina var .sericea,14,13,2,leaf type,
Glycine clandestina var. clandestina,14,13,2,leaf type,
Glycine tabacina,14,13,2,leaf type,
Gymnanthera oblonga,14,13,1,leaf type,
Gynochthodes sessilis,14,13,1,leaf type,
Hibbertia dentata,14,13,1,leaf type,
Hibbertia dentata var calva ,14,13,1,leaf type,
Hibbertia dentata var dentata,14,13,1,leaf type,
Hibbertia scandens,14,13,1,leaf type,
Hibbertia scandens var glabra,14,13,1,leaf type,
Hibbertia scandens var oxyphylla,14,13,1,leaf type,
Hibbertia scandens var scandens,14,13,1,leaf type,
Hippocratea barbata,14,13,1,leaf type,
Hoya australis,14,13,1,leaf type,
Hoya australis subsp. australis,14,13,1,leaf type,
Hoya australis subsp. ormicola,14,13,1,leaf type,
Hoya australis subsp. rupicola,14,13,1,leaf type,
Hoya australis subsp. sanae,14,13,1,leaf type,
Hoya australis subsp. tenuipes ,14,13,1,leaf type,
Hoya oligotricha,14,13,1,leaf type,
Hydrocotyle acutiloba,14,13,1,leaf type,
Hypserpa decumbens,14,13,1,leaf type,
Hypserpa laurina,14,13,1,leaf type,
Ipomoea aculeata,14,13,1,leaf type,
Jasminum dallachi,14,13,2,leaf type,
Jasminum didymum,14,13,1,leaf type,
Jasminum didymum subsp didymum,14,13,1,leaf type,
Jasminum didymum subsp lineare,14,13,1,leaf type,
Jasminum didymum subsp racemosum,14,13,1,leaf type,
Jasminum elongatum,14,13,1,leaf type,
Jasminum simplicifolium subsp. australiense,14,13,1,leaf type,
Jasminum volubile,14,13,3,leaf type,
Kennedia rubicunda,14,13,2,leaf type,
Legnephora moorei,14,13,1,leaf type,
Maclura cochinchinensis,14,13,1,leaf type,
Mallotus repandus,14,13,1,leaf type,
Marsdenia flavescens,14,13,1,leaf type,
Marsdenia fraseri,14,13,1,leaf type,
Marsdenia hemiptera,14,13,1,leaf type,
Marsdenia liisae,14,13,1,leaf type,
Marsdenia lloydii,14,13,1,leaf type,
Marsdenia longiloba,14,13,1,leaf type,
Marsdenia pleiadenia,14,13,1,leaf type,
Marsdenia rostrata,14,13,1,leaf type,
Melodinus acutiflorus,14,13,1,leaf type,
Melodinus australis,14,13,1,leaf type,
Melodorum leichhardtii,14,13,1,leaf type,
Melodorum uhrii,14,13,1,leaf type,
Morinda canthoides,14,13,1,leaf type,
Morinda jasminoides,14,13,1,leaf type,
Mucuna gigantea,14,13,2,leaf type,
Mucuna gigantea subsp. gigantea,14,13,2,leaf type,
Muehlenbeckia adpressa,14,13,1,leaf type,
Muehlenbeckia gracillima,14,13,1,leaf type,
Neosepicaea jucunda,14,13,2,leaf type,
Pachygone ovata,14,13,1,leaf type,
Pandorea jasminoides,14,13,2,leaf type,
Pandorea pandorana,14,13,2,leaf type,
Pandorea pandorana subsp. austrocaledonica,14,13,2,leaf type,
Pandorea pandorana subsp. pandorana,14,13,2,leaf type,
Pararistolochia praevenosa ,14,13,1,leaf type,
Parsonsia longipetiolata,14,13,1,leaf type,
Parsonsia rotata,14,13,1,leaf type,
Parsonsia sankowskyana,14,13,1,leaf type,
Parsonsia straminea,14,13,1,leaf type,
Parsonsia velutina ,14,13,1,leaf type,
Passiflora edulis,14,13,1,leaf type,
Passiflora herbertiana,14,13,1,leaf type,
Passiflora herbertiana subsp. herbertiana,14,13,1,leaf type,
Passiflora herbertiana subsp. insulae-howei,14,13,1,leaf type,
Passiflora suberosa,14,13,1,leaf type,
Passiflora subpeltata,14,13,1,leaf type,
Piper hederaceum,14,13,1,leaf type,
Piper novae-hollandiae,14,13,1,leaf type,
Pisonia aculeata,14,13,1,leaf type,
Pleogyne australis,14,13,1,leaf type,
Pycnarrhena novoguineensis,14,13,1,leaf type,
Rhagodia candolleana,14,13,1,leaf type,
Rhagodia candolleana subsp argentea,14,13,1,leaf type,
Rhagodia candolleana subsp candolleana,14,13,1,leaf type,
Rhamnella vitiensis,14,13,1,leaf type,
Ripogonum album,14,13,1,leaf type,
Ripogonum discolor,14,13,1,leaf type,
Ripogonum elseyanum,14,13,1,leaf type,
Ripopgonum fawcetiianum,14,13,1,leaf type,
Rourea brachyandra ,14,13,2,leaf type,
Rubus molluccanus var. trilobus,14,13,1,leaf type,
Rubus moluccanus,14,13,1,leaf type,
Rubus nebulosus,14,13,2,leaf type,
Rubus parvifolius,14,13,2,leaf type,
Rubus rosifolius,14,13,2,leaf type,
Salacia chinensis,14,13,1,leaf type,
Salacia disepala,14,13,1,leaf type,
Sarcopetalum harveyanum,14,13,1,leaf type,
Sarcostemma brunonianum,14,13,1,leaf type,
Secamone elliptica,14,13,1,leaf type,
Sicyos australis,14,13,1,leaf type,
Smilax australis,14,13,1,leaf type,
Smilax blumei,14,13,1,leaf type,
Smilax calophylla,14,13,1,leaf type,
