genus,species,form,height,stem diameter,fruits,dispersers,min fruit length,max fruit length,min fruit width,max fruti width,min seed length,max seed length,species_name,flowering_span,fruiting_span
Flindasia,ifflaiana,tree,35,NA,capsule,NA,30,55,30,35,23,40,Flindasia ifflaiana,111000000111,111100000111
Flindasia,laevicarpa,tree,20,NA,capsule,NA,25,52,NA,NA,25,30,Flindasia laevicarpa,111100000000,100000000111
Flindasia,oppositifolia,tree,15,NA,capsule,NA,55,115,NA,NA,35,50,Flindasia oppositifolia,000000000110,111110011111
Flindasia,pimenteliana,tree,30,NA,capsule,Sulphur-crested Cockatoo,55,115,NA,NA,45,50,Flindasia pimenteliana,111000000011,000000111111
Flindasia,schottiana,tree,45,1,capsule,NA,80,130,NA,NA,40,63,Flindasia schottiana,000000011111,111100000001
Flindasia,xanthoxyla,tree,45,0.9,capsule,NA,70,100,NA,NA,NA,NA,Flindasia xanthoxyla,100000000011,000001111110
Geijera,paniculata,tree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Geijera paniculata,NA,NA
Geijera,salicifolia,tree,35,NA,follicle,"Brown Cuckoo-dove, King Parrot, Black-faced Cuckoo-shrike, Silvereye, Brush-turkey & Lewin's Honeyeater",5,7,5,7,5,6,Geijera salicifolia,111111111011,000000111110
Geijera,salicifolia latifolia,tree,30,0.76,cocci,"King Parrot, Brown Cuckoo-dove, Lewin's Honeyeater & Brush Turkey",6,6,6,6,5,5,Geijera salicifolia latifolia,000000111110,111100000000
Geijera,salicifolia salicifolia,tree,30,0.5,cocci,NA,5,6,5,6,5,5,Geijera salicifolia salicifolia,000000001100,111100000000
Glycosmis,trifoliata,tree,8,NA,berry,NA,5,12,5,12,6,8,Glycosmis trifoliata,011111111111,111111100111
Halfordia,kendack,tree,30,0.75,drupe,"Regent Bowerbird, Topknot Pigeon, Wompoo Fruit-dove & Spotted Catbird",6,15,6,10,NA,NA,Halfordia kendack,111000000001,000011111000
Halfordia,scleroxyla,tree,30,NA,drupe,"Cassowary, Spotted Catbird, Golden Bowerbird, Topknot Pigeons & fruit-dove",6,18,6,19,5,5,Halfordia scleroxyla,000000000011,001111111111
Harrisonia,brownii,shrub,4,NA,berry,NA,4,11,NA,NA,4,4,Harrisonia brownii,100000000011,000111000000
Leionema,ellipticum,tree,10,NA,capsule,NA,4,4,3,3,3,3,Leionema ellipticum,100000000001,010000000000
Lunasia,amara,tree,10,NA,capsule,NA,6,15,5,10,8,8,Lunasia amara,000111111100,100000000001
Medicosma,(East Mulgrave River),tree,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medicosma (East Mulgrave River),000000000010,NA
Medicosma,(Karnak),tree,7,NA,capsule,NA,4,6,3,3,NA,NA,Medicosma (Karnak),011110000000,000000111000
Medicosma,cunninghamii,tree,10,0.1,cocci,NA,6,6,NA,NA,NA,NA,Medicosma cunninghamii,111000000011,111110000000
Medicosma,fareana,tree,10,NA,capsule,NA,6,8,NA,NA,5,5,Medicosma fareana,111100001111,111111110000
Medicosma,gladulosa,tree,10,NA,capsule,NA,4,5,NA,NA,4,4,Medicosma gladulosa,001111111111,NA
Medicosma,obovata,tree,6,NA,capsule,NA,7,7,NA,NA,NA,NA,Medicosma obovata,111100000000,000001000000
Medicosma,riparia,shrub,3,NA,capsule,NA,8,12,NA,NA,5,5,Medicosma riparia,011100000000,000001100000
Medicosma,sessiliflora,tree,10,NA,capsule,NA,6,10,6,6,3,3,Medicosma sessiliflora,111111110111,000000110000
Melicope,affinis,tree,20,NA,capsule or follicle,NA,4,4,NA,NA,2,3,Melicope affinis,001000000000,000001100000
