genus,species,form,height,stem diameter,fruits,dispersers,min fruit length,max fruit length,min fruit width,max fruti width,min seed length,max seed length,species_name,flowering_span,fruiting_span
Trichosanthes,pentaphylla,vine,NA,NA,berry,NA,50,78,30,80,9,17,Trichosanthes pentaphylla,NA,011111000000
Zehneria,cunninghamii,vine,NA,NA,berry,Brown Cuckoo-dove & Lewin's Honeyeater,6,12,6,12,4,5,Zehneria cunninghamii,011111111110,001111111110
Zehneria,mucronata,vine,NA,NA,berry,NA,9,15,6,10,4,4,Zehneria mucronata,011111100000,011111100000
Acsmithia,davidsonii,tree,15,NA,follicle,NA,4,4,NA,NA,2,2,Acsmithia davidsonii,111110000011,011111110000
Caldcluvia,australiensis,tree,30,NA,capsule,NA,2,2,2,2,NA,NA,Caldcluvia australiensis,111111111110,000001110000
Caldcluvia,paniculosa,tree,40,0.9,capsule,NA,1,2,NA,NA,1,1,Caldcluvia paniculosa,000000000010,011111000000
Callicoma,serratifolia,tree,25,0.6,capsule,NA,8,10,8,10,3,3,Callicoma serratifolia,000000001110,111111000000
Ceratopetalum,apetalum,tree,25,0.9,woody capsule,NA,3,3,3,3,NA,NA,Ceratopetalum apetalum,000000000011,111000000000
Ceratopetalum,corymbosum,tree,?,NA,capsule,NA,NA,NA,15,15,NA,NA,Ceratopetalum corymbosum,000000001110,000000000011
Ceratopetalum,hylandii,tree,20,NA,samara,NA,NA,NA,22,25,NA,NA,Ceratopetalum hylandii,000000000100,010000000000
Ceratopetalum,iugumensis,tree,10,NA,samara,NA,NA,NA,25,40,NA,NA,Ceratopetalum iugumensis,NA,000011111000
Ceratopetalum,macrophyllum,tree,20,NA,samara,NA,NA,NA,25,40,NA,NA,Ceratopetalum macrophyllum,000000001111,000000000011
Ceratopetalum,succiruburm,tree,30,NA,samara,NA,NA,NA,15,22,NA,NA,Ceratopetalum succiruburm,000000000111,110000000111
Ceratopetalum,virchowii,tree,30,NA,samara,NA,NA,NA,20,28,NA,NA,Ceratopetalum virchowii,001111100000,111100001111
Geissois,benthamii,tree,35,1.4,capsule,NA,15,18,NA,NA,4,4,Geissois benthamii,100000000111,000011110000
Geissois,biagiana,tree,33,NA,capsule,Double-eyed Fig-parrot,8,12,4,4,NA,NA,Geissois biagiana,000000000011,111100000000
Gillbeea,adenopetla,tree,35,NA,samara,King Parrot & Crimson Rosella,20,20,15,15,NA,NA,Gillbeea adenopetla,000000111111,111000111111
Gillbeea,whypallana,tree,20,NA,samara,King Parrot & Crimson Rosella,12,13,11,13,NA,NA,Gillbeea whypallana,000000111111,010000000000
Pseudoweinmannia,lachnocarpa,tree,30,2.5,capsule,NA,5,8,3,5,NA,NA,Pseudoweinmannia lachnocarpa,110000000011,001111111000
Pullea,stutzeri,tree,30,NA,nut,NA,5,5,3,3,1,1,Pullea stutzeri,111111110000,111111000000
Schizomeria,ovata,tree,35,1.5,drupe,NA,15,18,10,17,NA,NA,Schizomeria ovata,000000000010,110000000001
Schizomeria,whitei,tree,30,NA,drupe,Wompoo Fruit-dove & Cassowary,11,25,12,30,NA,NA,Schizomeria whitei,011111111000,111111111111
Vesselowskya,rubifolia,tree,8,0.25,capsule,NA,NA,6,NA,NA,3,3,Vesselowskya rubifolia,000000000111,001111110000
Callitris,intratropica,tree,30,NA,dry & winged,NA,NA,NA,10,20,5,9,Callitris intratropica,NA,111111111111
Callitris,macleayana,tree,40,0.9,dry & winged,NA,25,25,15,30,10,14,Callitris macleayana,001100000000,111111111111
Cyathea,australis,tree fern,20,0.4,NA,NA,NA,NA,NA,NA,NA,NA,Cyathea australis,NA,NA
Cyathea,cooperi,tree fern,12,0.15,NA,NA,NA,NA,NA,NA,NA,NA,Cyathea cooperi,NA,NA
Cyathea,cunninghamii,tree fern,20,0.45,NA,NA,NA,NA,NA,NA,NA,NA,Cyathea cunninghamii,NA,NA
Cyathea,leichhardtiana,tree fern,7,0.15,NA,NA,NA,NA,NA,NA,NA,NA,Cyathea leichhardtiana,NA,NA
Cyathea,robertsiana,tree fern,7,0.1,NA,NA,NA,NA,NA,NA,NA,NA,Cyathea robertsiana,NA,NA
Cyathea,woollsiana,tree fern,6,0.15,NA,NA,NA,NA,NA,NA,NA,NA,Cyathea woollsiana,NA,NA
Cyathea,exilis,tree fern,4,0.08,NA,NA,NA,NA,NA,NA,NA,NA,Cyathea exilis,NA,NA
Cyathea,x marcescens,tree fern,9,0.4,NA,NA,NA,NA,NA,NA,NA,NA,Cyathea x marcescens,NA,NA
Cyathea,rebeccae,tree fern,6,0.1,NA,NA,NA,NA,NA,NA,NA,NA,Cyathea rebeccae,NA,NA
Cyathea,baileyana,tree fern,5,0.1,NA,NA,NA,NA,NA,NA,NA,NA,Cyathea baileyana,NA,NA
Cyathea,felina,tree fern,8,0.2,NA,NA,NA,NA,NA,NA,NA,NA,Cyathea felina,NA,NA
Cyathea,celebica,tree fern,6,0.3,NA,NA,NA,NA,NA,NA,NA,NA,Cyathea celebica,NA,NA
Cycas,media,cycad,6,NA,fleshy,Cassowary,NA,NA,NA,NA,30,40,Cycas media,NA,100000011111
Cycas,silvestris,cycad,9,NA,fleshy,NA,NA,NA,NA,NA,20,35,Cycas silvestris,NA,000001110000
Tetrameles,nudiflora,tree,45,NA,capsule,NA,4,5,NA,NA,1,1,Tetrameles nudiflora,000000000110,000000000011
Davidsonia,jerseyana,tree,10,NA,drupe,NA,NA,50,NA,NA,NA,20,Davidsonia jerseyana,100000000111,110000000000
Davidsonia,johnsonii,tree,18,0.65,drupe,NA,30,40,40,55,NA,NA,Davidsonia johnsonii,000000000110,011100000000
Davidsonia,pruriens pruriens,tree,18,NA,drupe,"Cassowary, Sulphur-crested Cockatoo & Double-eyed Fig-parrot",30,55,32,46,NA,NA,Davidsonia pruriens pruriens,111111111111,111111111111
Dichapetalum,papuanum,vine/shrub,NA,NA,capsule,NA,7,20,10,24,NA,NA,Dichapetalum papuanum,110000001111,111111000001
Dichapetalum,timorense,vine,NA,NA,drupe,"Cassowary, Metallic Starling & Trumpet Manucode",15,30,22,40,NA,NA,Dichapetalum timorense,000000111100,000000111100
Dicksonia,antarctica,tree fern,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dicksonia antarctica,NA,NA
Dicksonia,yungiae,tree fern,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dicksonia yungiae,NA,NA
Dicksonia,herbertii,tree fern,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dicksonia herbertii,NA,NA
Dillenia,alata,tree,15,NA,capsule,Eclectus Parrot,NA,NA,40,55,4,4,Dillenia alata,111111111111,110000011111
Hibbertia,banksii,shrub,3,NA,capsule,NA,5,5,5,5,3,3,Hibbertia banksii,111111111111,011100000000
Hibbertia,melhanioides,shrub,1.5,NA,capsule,NA,3,3,NA,NA,2,2,Hibbertia melhanioides,111111111111,000000000010
Hibbertia,pholidota,vine/shrub,2,NA,capsule,NA,3,3,NA,NA,NA,NA,Hibbertia pholidota,000011111100,NA
Hibbertia,scandens,vine,NA,NA,capsule,Victoria's Riflebird & pigeons,NA,NA,35,40,NA,NA,Hibbertia scandens,111111111111,111100000000
Tetracera,daemeliana,vine,NA,NA,capsule,Eclectus Parrot,5,5,3,3,4,4,Tetracera daemeliana,111100000111,110000000011
Tetracera,nordriana,vine/shrub,NA,NA,capsule,NA,5,10,3,8,2,2,Tetracera nordriana,111000000111,111110000001
Dioscorea,alata,vine,NA,NA,capsule,NA,17,20,15,15,NA,NA,Dioscorea alata,000001000000,000011100000
Dioscorea,bulbifera,vine,NA,NA,capsule,Emerald Dove,18,30,10,13,NA,NA,Dioscorea bulbifera,011100000000,011111110000
Dioscorea,transversa,vine,NA,NA,capsule,NA,15,35,23,40,NA,NA,Dioscorea transversa,111100001111,111111111111
Cordyline,cannifolia,shrub,2 (rarely to 5),NA,berry,"Cassowary, Cape York Rat & Fawn-footed Melomys",10,14,10,14,NA,NA,Cordyline cannifolia,000111111110,111111100000
Cordyline,fruitcosa,shrub,3 (rarely to 5),NA,berry,NA,10,10,10,10,NA,NA,Cordyline fruitcosa,111111111111,000001110000
Cordyline,manners-suttoniae,shrub,5,NA,berry,NA,8,15,8,15,4,4,Cordyline manners-suttoniae,011111100000,111110000001
Cordyline,murchisoniae,shrub,1,NA,berry,NA,10,10,10,10,NA,NA,Cordyline murchisoniae,000000011110,000000001111
Cordyline,petiolaris,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cordyline petiolaris,NA,NA
Cordyline,rubra,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cordyline rubra,NA,NA
Cordyline,stricta,shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cordyline stricta,NA,NA
Pleomele,angustifolia,tree,8,NA,berry,NA,10,16,10,15,8,12,Pleomele angustifolia,001111111100,110001111111
Drosera,adelae,herb,0.25,NA,capsule,NA,NA,NA,NA,NA,NA,NA,Drosera adelae,000000010000,000000000010
Drosera,auriculata,herb,0.3,NA,capsule,NA,2,2,2,2,NA,NA,Drosera auriculata,000000011110,NA
Drosera,prolifera,herb,0.05,NA,capsule,NA,1,1,1,1,NA,NA,Drosera prolifera,111111111111,000000001000
Drosera,schizandra,herb,0.15,NA,capsule,NA,1,2,NA,NA,NA,NA,Drosera schizandra,000000000110,000000000111
Drosera,spatulata,herb,0.25,NA,capsule,NA,1.5,1.5,NA,NA,NA,NA,Drosera spatulata,111111001111,000000000111
Diospyros,(Baird LA),tree,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Diospyros (Baird LA),000000001100,NA
Diospyros,(Bamaga),tree,6,NA,berry,NA,9,11,10,14,9,9,Diospyros (Bamaga),000100000000,000000000001
Diospyros,(Kuranda),tree,5,NA,berry,NA,12,12,12,12,10,10,Diospyros (Kuranda),011111100000,000001111111
Diospyros,(Millaa Millaa),tree,2,NA,berry,NA,13,15,10,10,8,8,Diospyros (Millaa Millaa),100000000001,000011111110
Diospyros,(Mt Lewis),tree,20,NA,berry,NA,12,14,8,12,10,10,Diospyros (Mt Lewis),000000000011,000000011110
Diospyros,(Mt Spurgeon),tree,20,NA,berry,NA,15,18,10,15,NA,NA,Diospyros (Mt Spurgeon),000000000011,000000001111
Diospyros,(Mt White),tree,7,NA,berry,NA,10,12,5,12,8,8,Diospyros (Mt White),000000011110,111100000001
Diospyros,(Swipers Flat),tree,18,NA,berry,NA,20,20,20,20,NA,NA,Diospyros (Swipers Flat),000000001100,000010000000
Diospyros,australis,tree,20,0.25,berry,Lewin's Honeyeater & Regent Bowerbird,10,20,10,20,8,10,Diospyros australis,000000000111,011111000000
Diospyros,calycantha,tree,20,NA,berry,NA,12,14,12,14,10,12,Diospyros calycantha,000111000000,000000011100
Diospyros,compacta,tree,11,NA,berry,fruit-doves,6,13,5,15,5,7,Diospyros compacta,000000001110,111100000001
Diospyros,cupulosa,tree,12,NA,berry,NA,10,27,12,16,14,14,Diospyros cupulosa,011111100000,100011111111
Diospyros,fasciculosa,tree,30,0.4,berry,Pied Currawong,12,15,12,15,NA,NA,Diospyros fasciculosa,000000001110,110000000011
Diospyros,geminata,tree,10,NA,berry,NA,10,11,8,11,8,8,Diospyros geminata,111000111111,011111111111
Diospyros,hebecarpa,tree,20,NA,berry,Cassowary,25,40,25,40,17,17,Diospyros hebecarpa,110000000000,001111111111
Diospyros,humilis,tree,15,NA,berry,"Koel, Metallic Starling, Spotted Bowerbird, Great Bowerbird & pigeons",12,14,10,10,6,9,Diospyros humilis,000000000011,111111111111
Diospyros,littorea,tree,15,NA,berry,NA,14,14,8,10,8,10,Diospyros littorea,000000000010,111111111111
Diospyros,mabacea,tree,25,0.3,berry,NA,25,45,NA,NA,17,20,Diospyros mabacea,000000001000,011000000000
Diospyros,major ebenus,shrub,3 (occassionally small tree to 6m),NA,berry,NA,10,15,NA,NA,NA,NA,Diospyros major ebenus,100000000000,100000011111
Diospyros,maritima,tree,15,NA,berry,Pied Imperial-Pigeon,15,20,12,30,10,10,Diospyros maritima,110000000000,000111111100
Diospyros,pentamera,tree,20,0.6,berry,many bird species,12,16,10,15,7,10,Diospyros pentamera,100000001111,111111100000
Elaeagnus,triflora,vine/shrub,NA,NA,drupe,Spectacled Flying-fox & many bird species,10,20,12,12,18,18,Elaeagnus triflora,000011111110,110011111111
Aceratium,concinnum,tree,25,NA,drupe,NA,12,18,8,10,10,10,Aceratium concinnum,111111100000,000000111000
Aceratium,doggrellii,tree,35,NA,drupe,Cassowary,25,35,15,20,NA,NA,Aceratium doggrellii,000000001111,111110000011
Aceratium,ferrugneum,tree,30,NA,drupe,Cassowary & Wompoo Fruit-dove,30,45,18,38,NA,NA,Aceratium ferrugneum,110000000001,111111111111
Aceratium,megalospermum,tree,12,NA,drupe,"Cassowary, Black-faced Cuckoo-shrike & pigeons",9,18,9,12,8,8,Aceratium megalospermum,011111111100,110000000111
Aceratium,sericoleopsis,tree,15,NA,drupe,"Cassowary, Crimson Rosella & native rats",18,30,10,19,12,12,Aceratium sericoleopsis,111110000000,111111111111
Aristotelia,australasica,shrub,NA,NA,berry,NA,NA,NA,NA,NA,NA,NA,Aristotelia australasica,NA,NA
Elaeocarpus,(Mossman Bluff),tree,15,NA,drupe,NA,15,17,11,12,NA,NA,Elaeocarpus (Mossman Bluff),NA,000011000000
Elaeocarpus,(Mt Bellenden Kerr),tree,35,NA,drupe,"Satin Bowerbird, Tooth-billed Bowerbird & Pied Currawong",12,14,9,10,NA,NA,Elaeocarpus (Mt Bellenden Kerr),000000001111,011100000000
Elaeocarpus,(Mt Spurgeon),tree,30,NA,drupe,NA,50,55,35,50,30,35,Elaeocarpus (Mt Spurgeon),100000000000,001000000000
Elaeocarpus,(Windsor Tableland),tree,20,NA,drupe,NA,15,20,10,15,17,17,Elaeocarpus (Windsor Tableland),010000000000,110000000011
Elaeocarpus,(Minyon),tree,NA,NA,drupe,NA,NA,NA,NA,NA,NA,NA,Elaeocarpus (Minyon),NA,NA
Elaeocarpus,arnhemicus,tree,35,NA,drupe,many bird species,10,17,6,13,NA,NA,Elaeocarpus arnhemicus,001111000000,110000001111
Elaeocarpus,bancroftii,tree,30,NA,drupe,"Cassowary, Spectacled Flying-fox & native rats",40,55,33,40,30,40,Elaeocarpus bancroftii,000111000000,111111111111
Elaeocarpus,carolinae,tree,24,NA,drupe,NA,10,15,9,14,10,12,Elaeocarpus carolinae,001111111000,010000000000
Elaeocarpus,coorangooloo,tree,35,NA,drupe,NA,12,14,9,11,NA,NA,Elaeocarpus coorangooloo,000001111000,111000000001
Elaeocarpus,culminicola,tree,25,NA,drupe,Cassowary,13,15,12,12,NA,NA,Elaeocarpus culminicola,111111100011,111100000011
Elaeocarpus,elliffii,tree,36,NA,drupe,NA,12,14,10,11,NA,NA,Elaeocarpus elliffii,000000000011,000011111100
Elaeocarpus,eumundi,tree,30,0.5,drupe,"Cassowary, Figbird, Spotted Catbird, Spectacled Flying-fox, Bush Rat & fruit-doves",14,20,10,12,NA,NA,Elaeocarpus eumundi,101111111111,101111111111
Elaeocarpus,ferruginiflorus,tree,25,NA,drupe,Cassowary,17,17,11,11,NA,NA,Elaeocarpus ferruginiflorus,111000000011,100000000011
Elaeocarpus,foveolatus,tree,30,NA,drupe,"Cassowary, Tooth-billed Bowerbird, Golden Bowerbird & native rats",16,16,13,13,14,14,Elaeocarpus foveolatus,100000000011,100000111111
Elaeocarpus,grahamii,tree,20,NA,drupe,"Black-faced Cuckoo-shrike, fruit-doves & pigeons",7,11,6,8,7,9,Elaeocarpus grahamii,000000000110,110000000000
Elaeocarpus,grandis,tree,35,2,drupe,"Spectacled Flying-fox, Musky Rat-kangaroo, Bush Rat & many bird species",15,33,15,33,NA,NA,Elaeocarpus grandis,111000000111,111111111111
Elaeocarpus,holopetalus,tree,25,2,drupe,NA,9,9,NA,NA,NA,NA,Elaeocarpus holopetalus,000000000011,001111111100
Elaeocarpus,johnsonii,tree,18,NA,drupe,Cassowary & parrots,27,40,14,25,NA,NA,Elaeocarpus johnsonii,000000000111,011111100000
Elaeocarpus,kirtonii,tree,45,2,drupe,fruit-doves,10,15,11,11,NA,NA,Elaeocarpus kirtonii,111000000000,100000000111
Elaeocarpus,largiflorens largiflorens,tree,23,NA,drupe,many bird species,16,21,10,14,18,18,Elaeocarpus largiflorens largiflorens,111000000011,111100001111
Elaeocarpus,largiflorens retinervis,tree,25,NA,drupe,NA,16,17,10,11,NA,NA,Elaeocarpus largiflorens retinervis,110000000000,000000111111
Elaeocarpus,linsmithii,tree,7,NA,drupe,NA,15,20,12,15,NA,NA,Elaeocarpus linsmithii,000111111100,000000000111
Elaeocarpus,obovatus,tree,45,1.5,drupe,many bird species,6,12,7,9,NA,NA,Elaeocarpus obovatus,000000001110,111100000000
Elaeocarpus,reticulatus,tree,30,0.45,drupe,"Crimson Rosella, Figbird, Olive-backed Oriole, Regent Bowerbird, Wonga Pigeon & White-headed Pigeon",8,13,NA,NA,NA,NA,Elaeocarpus reticulatus,100000000111,000111111100
Elaeocarpus,ruminatus,tree,30,NA,drupe,many bird species,13,13,10,13,NA,NA,Elaeocarpus ruminatus,000000000011,001111111110
Elaeocarpus,sericopetalus,tree,20,NA,drupe,Golden Bowerbird,12,18,10,14,NA,NA,Elaeocarpus sericopetalus,100000000001,111000000001
Elaeocarpus,stellaris,tree,25,NA,drupe,Cassowary & native rats,43,65,50,60,45,57,Elaeocarpus stellaris,000000000010,100000011111
Elaeocarpus,thelmae,tree,35,NA,drupe,NA,19,23,12,13,NA,NA,Elaeocarpus thelmae,100000000000,110000000111
Elaeocarpus,williamsianus,tree,15,0.18,drupe,NA,20,30,20,30,15,18,Elaeocarpus williamsianus,000000000011,000000000011
Peripentadenia,mearsii,tree,30,NA,capsule,"Cassowary, King Parrot & Musky Rat-kangaroo",30,35,20,25,18,28,Peripentadenia mearsii,000000000100,111000000001
Peripentadenia,phelpsii,tree,35,NA,capsule,NA,35,45,35,35,25,25,Peripentadenia phelpsii,000000010000,100000000001
Sloanea,australis,tree,35,0.6,capsule,many bird species,15,20,15,20,9,10,Sloanea australis,000000001100,111110000111
Sloanea,langii,tree,25,NA,capsule,NA,30,45,30,45,7,10,Sloanea langii,011111110000,000001100000
Sloanea,macbrydei,tree,35,NA,capsule,Cassowary & Golden Bowerbird,20,25,15,15,11,13,Sloanea macbrydei,000011111110,111000001111
Sloanea,woollsii,tree,55,2.5,capsule,"King Parrot, Brown Cuckoo-Dove, Green Catbird, Regent Bowerbird, Rose-crowned Fruit-Dove, Satin Bowerbird, Topknot Pigeion & Wompoo Fruit-Dove",12,20,NA,NA,6,6,Sloanea woollsii,000000001110,011111100000
Trochocarpa,laurina,tree,13,0.45,drupe,Lewin's Honeyeater & Pied Currawong,6,8,6,8,NA,NA,Trochocarpa laurina,000001100000,001111111100
Trochocarpa,sp.,tree,10,0.3,drupe,NA,4,6,4,6,NA,NA,Trochocarpa sp.,001111100000,110000000011
Acrotriche,aggregata,shrub,3,0.3,drupe,NA,4,7,4,7,2,2,Acrotriche aggregata,110011111111,001111111111
Acrotriche,baileyana,shrub,4,NA,drupe,NA,3,5,2,6,NA,NA,Acrotriche baileyana,000000000100,001111111100
Dracophyllum,sayeri,tree,8,NA,capsule,NA,3,3,3,5,1,1,Dracophyllum sayeri,111111111111,111110111111
Leucopogon,lavarackii,shrub,3,NA,drupe,NA,3,5,2,3,2,4,Leucopogon lavarackii,111111111111,000000100000
Leucopogon,malayanus,tree,15,NA,drupe,NA,5,6,7,9,4,7,Leucopogon malayanus,000001111000,000000000001
Leucopogon,ruscifolius,shrub,5,NA,drupe,NA,5,5,4,4,2,2,Leucopogon ruscifolius,111111111111,011111100000
Leucopogon,spathaceus,tree,10,NA,drupe,Bridled Honeyeater,2,3,3,5,3.5,3.5,Leucopogon spathaceus,111000000111,011111111100
Leucopogon,yorkensis,tree,10,NA,drupe,NA,3,6,3,6,2,5,Leucopogon yorkensis,011111111110,011110000000
Trochocarpa,bellendenkerensis,tree,7,NA,drupe,NA,4,5,5,8,NA,NA,Trochocarpa bellendenkerensis,100000000111,111111111111
Agapetes,meiniana,vine/shrub,NA,NA,berry,NA,10,11,8,10,NA,NA,Agapetes meiniana,001111111100,111110000000
Gaultheria,appressa,shrub,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gaultheria appressa,NA,NA
Gaultheria,(Point Lookout),shrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gaultheria (Point Lookout),NA,NA
Rhododendron,lochiae,shrub,1.5 (rarely to 6),NA,capsule,NA,20,32,NA,NA,2,5,Rhododendron lochiae,111110011111,000011111100
Rhododendron,viriosum,shrub,3,NA,capsule,NA,15,30,NA,NA,3,4,Rhododendron viriosum,111000011111,000001111000
Erythroxylum,(Mosquito Pt),tree,7,NA,drupe,NA,8,8,6,6,7,7,Erythroxylum (Mosquito Pt),000110000000,NA
Erythroxylum,(Splityard Creek),tree,8,NA,drupe,NA,7,7,3,3,NA,NA,Erythroxylum (Splityard Creek),000110000000,111111000001
Erythroxylum,(Topaz),tree,25,NA,drupe,NA,11,15,7,8,14,14,Erythroxylum (Topaz),111110000011,111100000001
Erythroxylum,australe,tree,8,NA,drupe,NA,5,10,5,5,5,6,Erythroxylum australe,111111100000,111110000000
Anopterus,macleayanus,tree,15,0.22,capsule,NA,30,40,10,12,NA,25,Anopterus macleayanus,000000000111,000111111100
Corokia,whiteana,shrub,4,NA,drupe,NA,NA,NA,NA,NA,NA,NA,Corokia whiteana,NA,NA
Cuttsia,viburnea,tree,18,0.25,capsule,NA,3,3,NA,NA,0.5,0.5,Cuttsia viburnea,000000000111,000111100000
Quintinia,sieberi,tree,25,0.75,capsule,NA,3,3,3,3,1,2,Quintinia sieberi,000000000110,100000000001
Quintinia,verdonii,tree,17,0.3,capsule,NA,1,2,1,2,NA,NA,Quintinia verdonii,000000001110,100000000001
Eucryphia,moorei,tree,30,0.8,capsule,NA,10,15,NA,NA,3,4,Eucryphia moorei,111000000000,001110000000
Eucryphia,jinksii,tree,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eucryphia jinksii,NA,NA
Eucryphia,wilkiei,shrub,6,NA,capsule,NA,10,17,7,9,4,6,Eucryphia wilkiei,111000000001,000000011000
Acalypha,capillipes,shrub,3,NA,capsule,NA,2,2,3,4,2,2,Acalypha capillipes,111110000000,000000000111
Acalypha,eremorum,shrub,4,NA,capsule,NA,2,2,3,3,2,2,Acalypha eremorum,111111111111,000100000000
Acalypha,lyonsii,shrub,4,NA,capsule,NA,2,2,3,4,2,2,Acalypha lyonsii,110000000111,111111111111
Acalypha,nemorum,shrub,4,NA,capsule,NA,2,3,4,4,2,2,Acalypha nemorum,111111111111,111111111111
Actephila,(Claudie River),shrub,3,NA,capsule,NA,20,20,20,35,11,11,Actephila (Claudie River),000000000010,000000000010
Actephila,(Possum Scrub),shrub,4,NA,capsule,NA,10,10,10,10,NA,NA,Actephila (Possum Scrub),000000000011,000000100000
Actephila,(Rocky River),shrub,4 (rarely to 12),NA,capsule,NA,17,25,12,16,10,14,Actephila (Rocky River),000111111111,111111111111
Actephila,(Wooroonooran NP),shrub,3,NA,capsule,NA,12,20,18,23,9,9,Actephila (Wooroonooran NP),000000000111,000000111111
Actephila,foetida,shrub,3,NA,capsule,NA,12,12,15,20,10,10,Actephila foetida,001111111110,000001111111
Actephila,latifolia,tree,6,NA,capsule,NA,14,16,14,18,8,9,Actephila latifolia,001000000000,000011111110
Actephila,lindleyi,tree,12,0.17,capsule,NA,13,13,12,12,3,4,Actephila lindleyi,110000011111,000111111100
Actephila,petiolaris,tree,7,NA,capsule,NA,20,20,25,25,13,13,Actephila petiolaris,000000000010,001111000000
Actephila,sessilifolia,shrub,6,NA,capsule,NA,10,10,10,26,7,7,Actephila sessilifolia,000000000110,000111100000
Alchornea,ilicifolia,tree,7,0.1,capsule,NA,4,8,6,10,3,5,Alchornea ilicifolia,111111100111,111110001111
Alchornea,rugosa,shrub,5,NA,capsule,NA,5,8,9,10,3,6,Alchornea rugosa,000011111111,110000111111
Alchornea,thozetiana,tree,5,NA,capsule,NA,5,8,8,10,5,6,Alchornea thozetiana,111000000111,111000000111
Aleurites,moluccana,tree,35,NA,capsule,NA,40,45,40,60,20,20,Aleurites moluccana,000000000111,110000001111
Aleurites,rockinghamensis,tree,40,NA,capsule,NA,35,65,70,80,20,25,Aleurites rockinghamensis,111111000111,001111111111
Antidesma,bunius,tree,10,NA,berry,NA,12,25,12,21,9,18,Antidesma bunius,110000111111,011111111100
Antidesma,erostre,tree,20,NA,berry,NA,5,10,3,7,5,7,Antidesma erostre,111100000011,111111111110
Antidesma,ghesaembilla,tree,11,NA,berry,NA,4,8,2,8,NA,NA,Antidesma ghesaembilla,111111111111,111111001111
Antidesma,hylandii,tree,8,NA,berry,NA,3,5,3,5,NA,NA,Antidesma hylandii,110000000000,011000000000
Antidesma,parvifolium,tree,6,NA,berry,NA,4,6,4,6,5,5,Antidesma parvifolium,111111100111,111111000000
Austrobuxus,swainii,tree,37,1,capsule,NA,13,13,NA,NA,NA,NA,Austrobuxus swainii,000111000000,011000000000
Austrobuxus (to be included in Picrodendraceae),megacarpus,tree,30,NA,capsule,NA,18,23,15,20,9,10,Austrobuxus (to be included in Picrodendraceae) megacarpus,000011000000,111111000011
Baloghia,inophylla,tree,24,0.5,capsule,King Parrot & Crimson Rosella,10,17,12,20,7,10,Baloghia inophylla,001111111110,011111100000
Baloghia,marmorata,tree,8,0.08,capsule,NA,20,20,20,20,15,15,Baloghia marmorata,000000111000,000000011100
Baloghia,parviflora,tree,20,NA,capsule,NA,10,12,12,16,7,9,Baloghia parviflora,111111111111,111111000011
Bertya,polystigma,tree,6,NA,capsule,NA,6,8,4,4,5,5,Bertya polystigma,111111101111,111111111100
Beyeria,tristigma,shrub,4,NA,capsule,NA,6,6,6,7,5,7,Beyeria tristigma,011111111111,000000111100
Beyeria,viscosa,shrub in NSW & Qld (tree in Vic),11,0.25,capsule,NA,8,12,8,12,2,3,Beyeria viscosa,000000000011,000000011110
Bischofia,javanica,tree,30,NA,berry,NA,8,10,9,10,5,5,Bischofia javanica,000000001100,011111000000
Breynia,cernua,shrub,5,NA,berry,"Lewin's Honeyeater, pigeons & doves",3,12,4,10,3,5,Breynia cernua,111111111111,111111111111
Breynia,oblongifolia,tree,8,NA,berry,Brown Cuckoo-dove,5,10,5,10,NA,NA,Breynia oblongifolia,111111111111,111111111111
Bridelia,exaltata,tree,35,0.9,drupe,NA,10,10,10,10,NA,NA,Bridelia exaltata,000000100000,001111100000
Bridelia,finalis,tree,10,NA,berry,NA,5,6,4,6,5,6,Bridelia finalis,NA,001100000000
Bridelia,insulana,tree,16,NA,berry,"Black Butcherbird, Metallic Starling & Figbird",5,10,3,8,5,7,Bridelia insulana,000000001111,111100001111
Bridelia,leichhardtii,tree,15,NA,berry,NA,3,7,3,7,5,5,Bridelia leichhardtii,111111100111,111111110000
Bridelia,tomentosa,shrub,5,NA,berry,NA,4,7,3,6,3,5,Bridelia tomentosa,011111000000,000011110000
Choriceras,majus,tree,20,NA,capsule,NA,8,10,8,10,NA,NA,Choriceras majus,101111111111,000000001110
Choriceras,tricorne,tree,10,NA,capsule,NA,4,10,5,11,5,5,Choriceras tricorne,111111111111,000111111100
Claoxylon,angustifolium,tree,3,NA,capsule,NA,4,5,6,6,NA,NA,Claoxylon angustifolium,111111000011,000011100000
Claoxylon,australe,tree,9,0.3,capsule,Brown Cuckoo-Dove & King Parrot,6,6,6,6,NA,NA,Claoxylon australe,000000000110,111000000000
Claoxylon,hillii,shrub,5,NA,capsule,NA,5,6,8,10,NA,NA,Claoxylon hillii,000000001100,110000000111
