genus_speceis,Species.code,number,individual,Site,Rainfall,Soil.nutrient,Group,context,Diamter_of_sapwood_for_mechanical_test (mm),Estimated_bark_thickness (mm),Drymatter content,Fresh_density (g/cm3),Dry_density (g/cm3),Youngs_modulus (Mpa),Bending_strength (Mpa),"Youngs_modulus (bark, Mpa)",species_name
Syncarpia glomulifera,SynGlo,2,SynGlo_2_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,4.69,1.409462,0.56492663,1.093947368,0.618,9547.03,111.80903,5029.626342,Syncarpia glomulifera
Syncarpia glomulifera,SynGlo,3,SynGlo_3_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,5.6,0.898954,0.568721872,1.083902439,0.616439024,11307.24,108.8269,3292.337405,Syncarpia glomulifera
Syncarpia glomulifera,SynGlo,4,SynGlo_4_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,5.24,1.0942788,0.589486673,1.095135135,0.645567568,11519.01,124.17237,1413.459216,Syncarpia glomulifera
Syncarpia glomulifera,SynGlo,5,SynGlo_5_at_HR-HN,"Westhead, Kuringai",high,high,HR-HN,sapwood,4.37,1.25409,0.555179204,1.103913043,0.612869565,9808.29,89.35283,5777.87421,Syncarpia glomulifera
Acacia suaveolens,AcaSua,1,AcaSua_1_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,3.6,0.7251053,0.574644684,0.8795,0.5054,9754.82,87.01286,5670.788505,Acacia suaveolens
Acacia suaveolens,AcaSua,2,AcaSua_2_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,4.94,0.826781,0.6416105,0.972068966,0.623689655,10006.81,91.21019,2365.030585,Acacia suaveolens
Acacia suaveolens,AcaSua,3,AcaSua_3_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,2.75,0.4588118,0.665497076,0.855,0.569,9437.38,82.82597,-278.3199455,Acacia suaveolens
Acacia suaveolens,AcaSua,4,AcaSua_4_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,4.87,0.245777,0.598942848,1.009,0.604333333,8113.19,64.4616,-4052.546822,Acacia suaveolens
Acacia suaveolens,AcaSua,5,AcaSua_5_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,3.71,0.5798543,0.629735525,0.999285714,0.629285714,5959.46,56.17739,566.5453955,Acacia suaveolens
Boronia ledifolia,BorLed,1,BorLed_1_at_HR-LN,"Murrua, Kuringai",high,low,HR-LN,sapwood,3.13,0.194145,0.653420195,0.959375,0.626875,15042.24,126.04691,-9712.833619,Boronia ledifolia
