species,species_code,site,site2,contextual,LENGTH,WIDTH,AREA,NPSU,FRESH.WT,DRY.WT,WT.STALK,THICK,INCLIN,VOL.CHL,FW.CHL,A647,A664,N,P,leaf_chlorophyll_A_per_dry_mass,leaf_chlorophyll_B_per_dry_mass,leaf_chlorophyll_per_dry_mass2,leaf_chlorophyll_per_dry_mass,chlorophyll_A_B_ratio,count_leaves,leaf_area,stalk_dry_mass,leaf_fresh_mass,leaf_dry_mass,leaf_dry_matter_content,leaf_water_content_per_mass,support_fraction,specific_leaf_area
Hydrocotyle sp,HYD.SPE,SWT1,Anne,canopy,5,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
Hydrocotyle sp,HYD.SPE,SWT1,Anne,canopy,5,10,0.543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.543,NA,NA,NA,NA,NA,NA,NA
Citriobatus pauciflorus,CIT.PAU,BAT1,Lumeah,canopy,5.5,4,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,NA,NA,NA,NA,NA,NA
Coprosma quadrifida,COP.QUA,NEG1,Cascades,canopy,5.5,2.5,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA
Hydrocotyle sp,HYD.SPE,SWT1,Anne,canopy,5.5,13,0.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114,NA,NA,NA,NA,NA,NA,NA
Hydrocotyle sp,HYD.SPE,SWT1,Anne,canopy,5.5,11,0.788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.788,NA,NA,NA,NA,NA,NA,NA
Citriobatus pauciflorus,CIT.PAU,BAT1,Lumeah,canopy,6,4,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,NA,NA,NA,NA,NA,NA,NA
Pandorea pandorana,PAN.PAN,BAT1,Lumeah,juvenile,6,4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA
Pandorea pandorana,PAN.PAN,BAT1,Lumeah,juvenile,6,4.5,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,NA,NA,NA,NA,NA,NA,NA
Pandorea pandorana,PAN.PAN,BAT1,Lumeah,juvenile,6,4,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA
Tmesipteris ovata,TME.OVA,BAT1,Lumeah,juvenile,6,2,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA
Coprosma quadrifida,COP.QUA,NEG1,Cascades,canopy,6,3,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA
Pandorea pandorana,PAN.PAN,NEG1,Cascades,juvenile,6,5,0.668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.668,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NET1,Mathinna,seedling,6,3,0.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.395,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,SWT1,Anne,subcanopy sapling,6,7,0.589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.589,NA,NA,NA,NA,NA,NA,NA
Hydrocotyle sp,HYD.SPE,SWT1,Anne,canopy,6,11,0.587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.587,NA,NA,NA,NA,NA,NA,NA
Hydrocotyle sp,HYD.SPE,SWT1,Anne,canopy,6,11,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,NA,NA,NA,NA,NA,NA,NA
Pandorea pandorana,PAN.PAN,BAT1,Lumeah,juvenile,6.5,4,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA
Tmesipteris ovata,TME.OVA,BAT1,Lumeah,juvenile,6.5,2,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NWT1,Balfour,canopy,6.5,6,0.321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.321,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NWT1,Balfour,subcanopy sapling,6.5,4.5,0.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.925,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,SWT1,Anne,canopy,6.5,6,0.321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.321,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,SWT1,Anne,seedling,6.5,5,0.229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.229,NA,NA,NA,NA,NA,NA,NA
Corybas sp,COR.SPE,SWT1,Anne,canopy,6.5,9,1.089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.089,NA,NA,NA,NA,NA,NA,NA
Citriobatus pauciflorus,CIT.PAU,BAT1,Lumeah,canopy,7,4.5,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,NA,NA,NA,NA,NA,NA,NA
Citriobatus pauciflorus,CIT.PAU,BAT1,Lumeah,canopy,7,4.5,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA
Citriobatus pauciflorus,CIT.PAU,BAT1,Lumeah,canopy,7,5,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA
Pandorea pandorana,PAN.PAN,BAT1,Lumeah,juvenile,7,4,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,NA,NA,NA,NA,NA,NA,NA
Pandorea pandorana,PAN.PAN,BAT1,Lumeah,juvenile,7,3,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA
pteridophyte no 1,PTE.NO1,BAT1,Lumeah,juvenile,7,4.5,0.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.552,NA,NA,NA,NA,NA,NA,NA
Pandorea pandorana,PAN.PAN,NEG1,Cascades,juvenile,7,5,0.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.184,NA,NA,NA,NA,NA,NA,NA
Pandorea pandorana,PAN.PAN,NEG1,Cascades,juvenile,7,4.5,0.186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186,NA,NA,NA,NA,NA,NA,NA
Drymophylla cyanocarpa,DRY.CYA,NET1,Mathinna,canopy,7,3,0.572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.572,NA,NA,NA,NA,NA,NA,NA
Coprosma quadrifida,COP.QUA,NWT1,Balfour,canopy,7,2,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,SWT1,Anne,seedling,7,7.5,0.605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.605,NA,NA,NA,NA,NA,NA,NA
Corybas sp,COR.SPE,SWT1,Anne,canopy,7,9,0.441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.441,NA,NA,NA,NA,NA,NA,NA
Corybas sp,COR.SPE,SWT1,Anne,canopy,7,7.5,0.534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.534,NA,NA,NA,NA,NA,NA,NA
Corybas sp,COR.SPE,SWT1,Anne,canopy,7,7.5,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49,NA,NA,NA,NA,NA,NA,NA
Trochocarpa aff cunninghamii,TRO.CUN,SWT1,Anne,canopy,7,2,0.489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.489,NA,NA,NA,NA,NA,NA,NA
Citriobatus pauciflorus,CIT.PAU,BAT1,Lumeah,canopy,7.5,7,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA
climber no 1 (furry leaf),CLI.NO1,NEG1,Cascades,canopy,7.5,3.5,1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.81,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NET1,Mathinna,canopy,7.5,6,0.663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.663,NA,NA,NA,NA,NA,NA,NA
Coprosma quadrifida,COP.QUA,NWT1,Balfour,canopy,7.5,2,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,NA,NA,NA,NA,NA,NA,NA
Pandorea pandorana,PAN.PAN,BAT1,Lumeah,juvenile,8,5,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA
Pandorea pandorana,PAN.PAN,BAT1,Lumeah,juvenile,8,4,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,NA,NA,NA,NA,NA,NA,NA
Tmesipteris ovata,TME.OVA,BAT1,Lumeah,juvenile,8,2,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,NA,NA,NA,NA,NA,NA,NA
Tmesipteris ovata,TME.OVA,BAT1,Lumeah,juvenile,8,2,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA
Pandorea pandorana,PAN.PAN,NEG1,Cascades,juvenile,8,5,0.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.251,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NET1,Mathinna,canopy,8,6,1.178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.178,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NET1,Mathinna,seedling,8,7,0.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.936,NA,NA,NA,NA,NA,NA,NA
Corybas sp,COR.SPE,NET1,Mathinna,canopy,8,10,1.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.002,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NWT1,Balfour,canopy,8,6,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NWT1,Balfour,subcanopy sapling,8,4.5,0.897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.897,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,SWT1,Anne,canopy,8,6,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,SWT1,Anne,subcanopy sapling,8,6,0.334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.334,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,SWT1,Anne,seedling,8,9,0.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.544,NA,NA,NA,NA,NA,NA,NA
Trochocarpa aff cunninghamii,TRO.CUN,SWT1,Anne,canopy,8,2.5,0.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.121,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NET1,Mathinna,subcanopy sapling,8.5,8,0.763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.763,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NWT1,Balfour,canopy,8.5,5,0.514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.514,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,SWT1,Anne,canopy,8.5,5,0.514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.514,NA,NA,NA,NA,NA,NA,NA
Pandorea pandorana,PAN.PAN,BAT1,Lumeah,juvenile,9,5,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA,NA,NA,NA,NA,NA
pteridophyte no 1,PTE.NO1,BAT1,Lumeah,juvenile,9,6,0.702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.702,NA,NA,NA,NA,NA,NA,NA
Pyrrosia rupestris,PYR.RUP,BAT1,Lumeah,juvenile,9,9.5,0.685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.685,NA,NA,NA,NA,NA,NA,NA
Pandorea pandorana,PAN.PAN,NEG1,Cascades,juvenile,9,5,0.259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.259,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NWT1,Balfour,seedling,9,5,0.429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.429,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NWT1,Balfour,seedling,9,7,1.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.077,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NWT1,Balfour,seedling,9,7,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA
Coprosma quadrifida,COP.QUA,NWT1,Balfour,canopy,9,2.5,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA
Coprosma quadrifida,COP.QUA,NWT1,Balfour,canopy,9,2,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA
Ctenopteris heterophylla,CTE.HET,NWT1,Balfour,canopy,9,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,SWT1,Anne,seedling,9,11,0.768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.768,NA,NA,NA,NA,NA,NA,NA
Corybas sp,COR.SPE,SWT1,Anne,canopy,9,8.5,0.561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.561,NA,NA,NA,NA,NA,NA,NA
Corybas sp,COR.SPE,SWT1,Anne,canopy,9,11,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NET1,Mathinna,canopy,9.5,7,0.524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.524,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NWT1,Balfour,canopy,9.5,7,0.856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.856,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NWT1,Balfour,seedling,9.5,5.5,1.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.326,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,SWT1,Anne,canopy,9.5,7,0.856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.856,NA,NA,NA,NA,NA,NA,NA
Tmesipteris ovata,TME.OVA,BAT1,Lumeah,juvenile,10,2,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,NA,NA,NA,NA,NA,NA,NA
Tmesipteris ovata,TME.OVA,BAT1,Lumeah,juvenile,10,2.5,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,NA,NA,NA,NA,NA,NA,NA
Tmesipteris ovata,TME.OVA,BAT1,Lumeah,juvenile,10,2.5,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,NA,NA,NA,NA,NA,NA,NA
Pandorea pandorana,PAN.PAN,NEG1,Cascades,juvenile,10,5.5,0.318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.318,NA,NA,NA,NA,NA,NA,NA
Hyrocotyle pedicellosa,HYD.PED,NEG1,Cascades,canopy,10,20,4.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.61,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NET1,Mathinna,seedling,10,8,0.536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.536,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NET1,Mathinna,seedling,10,6,0.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444,NA,NA,NA,NA,NA,NA,NA
Nothofagus cunninghamii,NOT.CUN,NET1,Mathinna,seedling,10,6,0.134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.134,NA,NA,NA,NA,NA,NA,NA
Corybas sp,COR.SPE,NET1,Mathinna,canopy,10,13,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,NA,NA,NA,NA,NA,NA,NA
