species,season,tree,Aarea,Amass,ETRmax
Eucalyptus macrorhyncha,winter,3,19.30124713,100.7550979,6.03651119
Eucalyptus macrorhyncha,winter,3,19.77890428,103.2485323,6.584066384
Eucalyptus macrorhyncha,winter,4,16.85462894,87.72752647,9.542465807
Eucalyptus macrorhyncha,winter,4,17.15783023,89.30567449,10.29420393
Eucalyptus macrorhyncha,winter,4,16.5596137,86.19198645,12.83297941
Eucalyptus macrorhyncha,winter,5,13.63788589,58.97440497,13.74459927
Eucalyptus macrorhyncha,winter,5,16.47029625,71.22261681,9.789476796
Eucalyptus macrorhyncha,winter,5,17.31734238,74.88550431,10.18299581
Eucalyptus macrorhyncha,winter,6,19.23250819,98.62629588,6.990357152
Eucalyptus macrorhyncha,winter,6,17.56051576,90.05214537,8.974105723
Eucalyptus macrorhyncha,winter,6,15.40442543,78.99549061,11.01506826
Eucalyptus macrorhyncha,winter,7,26.06196418,126.9862223,8.385579777
Eucalyptus macrorhyncha,winter,7,20.66371907,100.6834176,6.960628591
Eucalyptus macrorhyncha,winter,7,14.93490769,72.76993761,14.82076678
Eucalyptus macrorhyncha,winter,8,18.39266331,85.55187864,6.865234998
Eucalyptus macrorhyncha,winter,8,15.72486804,73.14286028,24.23936806
Eucalyptus macrorhyncha,winter,8,19.85850281,92.370104,6.784255745
Eucalyptus macrorhyncha,winter,9,17.30134482,107.5529608,9.769980213
Eucalyptus macrorhyncha,winter,9,18.01971558,112.0186774,8.337018045
Eucalyptus macrorhyncha,winter,9,19.42855542,120.7766611,8.45612928
Eucalyptus macrorhyncha,winter,10,15.65662769,66.35812585,16.09122348
Eucalyptus macrorhyncha,winter,10,16.75069054,70.9951372,14.76464077
Eucalyptus macrorhyncha,winter,10,15.99149225,67.77739603,17.47743685
Eucalyptus macrorhyncha,winter,11,17.51380817,64.40623848,13.48885094
Eucalyptus macrorhyncha,winter,11,16.53086782,60.79151974,11.20440642
Eucalyptus macrorhyncha,winter,11,21.82438553,80.25819204,5.813744552
Eucalyptus macrorhyncha,winter,12,17.50031888,76.17442835,14.57765379
Eucalyptus macrorhyncha,winter,12,16.71265022,72.7459074,20.29110333
Eucalyptus macrorhyncha,winter,12,18.73534288,81.5501731,13.00914634
Eucalyptus macrorhyncha,winter,13,21.19,104.1470297,4.628955735
Eucalyptus macrorhyncha,winter,13,20.46,100.5591424,4.307774797
Eucalyptus macrorhyncha,winter,13,17.49,85.96184755,7.866156102
Eucalyptus macrorhyncha,winter,14,20.24,88.28957026,6.499189724
Eucalyptus macrorhyncha,winter,14,23.85,104.0368701,5.687282622
Eucalyptus macrorhyncha,winter,14,22.51,98.19161198,2.727316559
Eucalyptus macrorhyncha,winter,15,28.61,125.050026,4.953595646
Eucalyptus macrorhyncha,winter,15,22.69,99.17459242,10.88463035
Eucalyptus macrorhyncha,winter,15,18.41,80.4673533,6.301066624
Eucalyptus macrorhyncha,winter,16,24.42,112.2946785,7.146617652
Eucalyptus macrorhyncha,winter,16,20.28,93.25700575,6.730484538
Eucalyptus macrorhyncha,winter,16,25.34,116.5252725,10.56207313
Eucalyptus macrorhyncha,winter,17,20.13,86.07111421,8.316545558
Eucalyptus macrorhyncha,winter,17,20.74,88.6793298,9.316894051
Eucalyptus macrorhyncha,winter,17,25.7,109.8871155,8.316424786
Eucalyptus macrorhyncha,winter,18,17.8,85.44462164,14.01973239
Eucalyptus macrorhyncha,winter,18,22.93,110.0699536,9.26408463
Eucalyptus macrorhyncha,winter,18,18.33,87.98875925,8.57101724
Eucalyptus macrorhyncha,winter,19,12.99,59.36228421,8.385101883
Eucalyptus macrorhyncha,winter,19,16.72,76.40780539,7.359269165
Eucalyptus macrorhyncha,winter,19,15.71,71.79226212,5.827421788
Eucalyptus macrorhyncha,winter,20,15.36,74.71795824,12.6846197
Eucalyptus macrorhyncha,winter,20,16.14,78.51222956,14.00100072
Eucalyptus macrorhyncha,winter,20,20.43,99.3807218,8.135002417
Eucalyptus macrorhyncha,winter,21,17.93,104.5047813,9.429452931
Eucalyptus macrorhyncha,winter,21,21.07,122.8062321,8.909214657
Eucalyptus macrorhyncha,winter,21,13.01,75.82862267,10.07042825
Eucalyptus macrorhyncha,winter,22,15.39,74.37661953,11.94392552
Eucalyptus macrorhyncha,winter,22,8.88,42.91516449,11.65352963
Eucalyptus macrorhyncha,winter,22,16.71,80.75590074,10.69555051
Eucalyptus macrorhyncha,winter,23,26.93,140.0440613,10.03293526
Eucalyptus macrorhyncha,winter,23,20.3,105.5660766,7.779374807
Eucalyptus macrorhyncha,winter,23,15.81,82.21673258,12.54975145
Eucalyptus macrorhyncha,winter,24,14.43,69.70456516,11.46003233
Eucalyptus macrorhyncha,winter,24,15.16,73.23085294,9.721801108
Eucalyptus macrorhyncha,winter,24,8.39,40.52815674,8.542078855
