nrow,trait_name,description,Top_Formal_name,Top_identifier,Top_link,type,units
29,fire_response,Distinguishes between plants that are killed by fire and resprout following fire,NA,,,categorical,NA
30,fire_response_detailed,Detailed information distinguishing between plants that are killed by fire and resprout following fire,NA,,,categorical,NA
32,flower_colour,"Flower colour, with six possible outcomes",flower color,TOP242,http://top-thesaurus.org/annotationInfo?viz=1&trait=Flower%20color,categorical,NA
33,flower_count_maximum,Maximum flower number produced,NA,,,numeric,count
34,flowering_time,Months during which species is flowering; keyed as a sequences of 12 0s (not flowering) and 1s (flowering) starting with January,NA,,,character,NA
38,fruit_breadth,The shorter width dimension of a fruit; orthogonal to the length,NA,,,numeric,mm
37,fruit_length,Longest fruit dimension or if clearly recognizable the length from its base to its apex,fruit length,TOP92,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Fruit_length,numeric,mm
35,fruit_mass,"The weight of a fruit, including the seed",fruit mass,TOP104,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Fruit_mass,numeric,mg
39,fruit_type,Fruit types,NA,,,categorical,NA
40,fruit_type_botany,"Binary variable, dividing fruits into 'dry' versus 'fleshy' based on their appearance",NA,,,categorical,NA
41,fruit_type_function,"Binary variable, dividing fruits into 'dry' versus 'fleshy' based on their function",NA,,,categorical,NA
36,fruit_width,The longest width dimension of a fruit; orthogonal to the length,fruit width,TOP96,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Fruit_width,numeric,mm
42,fruiting_time,Months during which species is fruiting; keyed as a sequences of 12 0s (not flowering) and 1s (flowering) starting with January,NA,,,character,NA
43,fv_over_fm,Chlorophyll fluorescence measurement that indicates whether plant stress affects photosystem II in a dark adapted state,NA,,,numeric,x/x
46,genome_size,Mass of the plant's genome,NA,,,numeric,pg
44,germination,Proportion of seeds that germinate,NA,,,numeric,n/n
45,germination_treatment,Seed treatment required for germination,NA,,,categorical,NA
47,glaucous,Variable indicating if a plant's leaves are glaucous or not,NA,,,categorical,NA
48,growth_habit,Variable that defines a combination of growth habit and plant vegetative reproductive potential,NA,,,categorical,NA
49,huber_value,Sapwood area to leaf area ratio,NA,,,numeric,mm2/mm2
187,insoluable_protein_per_area,Mass of insoluble protein per leaf area,NA,,,numeric,g/m2
50,leaf_Al_per_dry_mass,Leaf aluminum (Al) content per unit leaf dry mass,NA,,,numeric,mg/kg
51,leaf_angle,"Leaf angle, relative to horizontal",NA,,,numeric,n
52,leaf_area,Area of the leaf surface,leaf area,TOP25,http://top-thesaurus.org/annotationInfo?viz=1&trait=Leaf%20area,numeric,mm2
53,leaf_area_per_sapwood_area,Ratio of leaf area to sapwood area,NA,,,numeric,m2/m2
54,leaf_area_ratio,Ratio of leaf area to total plant dry mass,whole plant leaf area per whole plant dry mass,TOP88,http://top-thesaurus.org/annotationInfo?viz=1&trait=Leaf%20area%20ratio,numeric,mm2/mg
55,leaf_arrangement,Describes leaf arrangement on the stem,NA,,,categorical,NA
56,leaf_B_per_dry_mass,Leaf boron (B) content per unit leaf dry mass,leaf boron content per leaf dry mass,TOP450,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_boron_content_per_leaf_dry_mass,numeric,mg/kg
57,leaf_C_per_dry_mass,Leaf carbon (C) content per unit leaf dry mass,leaf carbon content per leaf dry mass,TOP452,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_carbon_content_per_leaf_dry_mass,numeric,mg/g
58,leaf_Ca_per_dry_mass,Leaf calcium (Ca) content per unit leaf dry mass,leaf calcium content per leaf dry mass,TOP451,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_calcium_content_per_leaf_dry_mass,numeric,mg/g
59,leaf_cell_wall_fraction,Fraction of total leaf biomass that is cell wall material,NA,,,numeric,dimensionless
60,leaf_cell_wall_N,Proportion of leaf cell wall material that is nitrogen,NA,,,numeric,mmol/g
61,leaf_cell_wall_N_fraction,Proportion of all N in leaves that is found in the leaf cell walls,NA,,,numeric,dimensionless
62,leaf_chlorophyll_per_dry_mass,Leaf chlorophyll content per unit leaf dry mass,NA,,,numeric,umol/g
63,leaf_CN_ratio,Leaf carbon/nitrogen (C/N) ratio,NA,,,numeric,g/g
64,leaf_compoundness,Indicates whether or not a leaf is compound; different 'simple' terminology used by different studies,leaf compoundness,TOP222,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_compoundness,categorical,NA
65,leaf_Cu_per_dry_mass,Leaf copper (Cu) content per unit leaf dry mass,leaf copper content per leaf dry mass,TOP455,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_copper_content_per_leaf_dry_mass,numeric,mg/kg
66,leaf_dark_respiration_per_area,Leaf respiration rate per unit leaf area,leaf dark respiration rate per leaf area,TOP361,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_dark_respiration_rate_per_leaf_area,numeric,umolCO2/m2/s
67,leaf_dark_respiration_per_dry_mass,Leaf respiration rate per unit leaf dry mass,Leaf dark respiration rate per leaf dry mass,TOP362,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_dark_respiration_rate_per_leaf_dry_mass,numeric,umolCO2/g/s
69,leaf_delta13C,Leaf carbon stable isotope signature,NA,,,numeric,per mille
70,leaf_delta15N,Leaf nitrogen stable isotope signature,NA,,,numeric,per mille
71,leaf_density,Leaf tissue density,leaf dry mass per leaf volume,TOP56,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_density,numeric,mg/mm3
72,leaf_dry_mass,Leaf dry mass,leaf dry mass,TOP40,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_dry_mass,numeric,mg
73,leaf_dry_matter_content,"Leaf dry mass per unit leaf fresh mass. (See also leaf_water_content_per_mass, the ratio of water content to leaf dry mass, recorded by some studies.)",leaf dry mass per leaf fresh mass,TOP45,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_dry_matter_content,numeric,g/g
74,leaf_elastic_modulus,The ratio of the change in cell turgor relative to the change in cell volume,NA,,,numeric,mmol/m2/s
75,leaf_Fe_per_dry_mass,Leaf iron (Fe) content per unit leaf dry mass,leaf iron content per leaf dry mass,TOP456,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_iron_content_per_leaf_dry_mass,numeric,mg/kg
76,leaf_fracture_force,"Measures of leaf mechanical resistant; how much force is required to shear, punch or rip a leaf",NA,,,numeric,N
77,leaf_fresh_mass,Leaf fresh mass,leaf fresh mass,TOP35,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_fresh_mass,numeric,mg
78,leaf_fresh_mass_per_area,Leaf fresh mass per leaf area,NA,,,numeric,g/m2
79,leaf_hairs_adult,Binary variable describing whether or not adult leaves have hairs,NA,,,categorical,NA
80,leaf_hairs_juvenile,Binary variable describing whether or not juvenile leaves have hairs,NA,,,categorical,NA
81,leaf_hydraulic_conductance,"Measure of how efficiently water is transported through the leaf, determined as the ratio of water flow rate through the leaf to the difference in water potential across the leaf, standardised to leaf area.",NA,,,numeric,mmol/m2/s/MPa
82,leaf_hydraulic_vulnerability,The leaf water potential value at which leaf hydraulic conductance have declined by 50% from the mean maximum rate,NA,,,numeric,neg_MPa
83,leaf_K_per_area,Leaf potassium (K) content per unit leaf area,leaf potassium content per leaf area,TOP483,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_potassium_content_per_leaf_area,numeric,g/m2
84,leaf_K_per_dry_mass,Leaf potassium (K) content per unit leaf dry mass,leaf potassium content per leaf dry mass,TOP464,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_potassium_content_per_leaf_dry_mass,numeric,mg/g
85,leaf_length,"Length of the leaf, including petiole and rachis in compound leaves",leaf length,TOP13,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_length,numeric,mm
86,leaf_lifespan,Leaf lifespan (longevity),leaf life span,TOP254,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_life_span,numeric,month
68,leaf_light_respiration_per_area,Leaf respiration rate per unit leaf area under light,NA,,,numeric,umolCO2/m2/s
87,leaf_lignin_per_dry_mass,Leaf lignin per unit leaf dry mass,leaf lignin content per leaf dry mass,TOP844,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_lignin_content_per_leaf_dry_mass,numeric,mg/mg
88,leaf_margin,Description of leaf margin are lobed versus entire. Trait values could be expanded to include toothed as a separate category,NA,,,categorical,NA
89,leaf_mass_fraction,Ratio of leaf dry mass to total plant dry mass,whole plant leaf dry mass per whole plant dry mass ,TOP85,http://top-thesaurus.org/annotationInfo?viz=1&trait=Leaf%20mass%20ratio,numeric,g/g
90,leaf_Mg_per_dry_mass,Leaf magnesium (Mg) content per unit leaf dry mass,leaf magnesium content per leaf dry mass,TOP457,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_magnesium_content_per_leaf_dry_mass,numeric,mg/g
91,leaf_Mn_per_dry_mass,Leaf manganese (Mn) content per unit leaf dry mass,leaf manganese content per leaf dry mass,TOP458,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_manganese_content_per_leaf_dry_mass,numeric,mg/kg
92,leaf_Mo_per_dry_mass,Leaf molybdenum (Mo) content per unit leaf dry mass,leaf molybdenum content per leaf dry mass,TOP459,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_molybdenum_content_per_leaf_dry_mass,numeric,mg/kg
93,leaf_N_per_area,Leaf nitrogen (N) content per unit leaf area,leaf nitrogen content per leaf area,TOP481,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_nitrogen_content_per_leaf_area,numeric,g/m2
94,leaf_N_per_dry_mass,Leaf nitrogen (N) content per unit leaf dry mass,leaf nitrogen content per leaf dry mass,TOP462,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_nitrogen_content_per_leaf_dry_mass,numeric,mg/g
95,leaf_Na_per_dry_mass,Leaf sodium (Na) content per unit leaf dry mass,leaf sodium content per leaf dry mass,TOP460,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_sodium_content_per_leaf_dry_mass,numeric,mg/kg
96,leaf_Ni_per_dry_mass,Leaf nickel (Ni) content per unit leaf dry mass,leaf nickel content per leaf dry mass,TOP461,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_nickel_content_per_leaf_dry_mass,numeric,mg/kg
97,leaf_P_per_area,Leaf phosphorus (P) content per unit leaf area,leaf phosphorus content per leaf area,TOP482,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_phosphorus_content_per_leaf_area,numeric,g/m2
98,leaf_P_per_dry_mass,Leaf phosphorus (P) content per unit leaf dry mass,leaf phosphorus content per leaf dry mass,TOP463,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_phosphorus_content_per_leaf_dry_mass,numeric,mg/g
99,leaf_phenology,Variable indicating whether a plant has deciduous versus evergreen leaves; different types of deciduousness included as trait values,NA,,,categorical,NA
100,leaf_photosynthetic_nitrogen_use_efficiency,Ratio of photosynthesis (CO2 assimilation rate) to leaf nitrogen content,NA,,,numeric,umolCO2/molN/s
102,leaf_photosynthetic_nitrogen_use_efficiency_maximum,Ratio of photosynthesis (CO2 assimilation rate) to leaf nitrogen content at saturating light conditions but ambient CO2 conditions,NA,,,numeric,umolCO2/molN/s
101,leaf_photosynthetic_nitrogen_use_efficiency_saturated,Ratio of photosynthesis (CO2 assimilation rate) to leaf nitrogen content at saturating light and CO2 conditions,NA,,,numeric,umolCO2/molN/s
103,leaf_photosynthetic_phosphorus_use_efficiency,Ratio of photosynthetic rate to leaf phosphorus concentration,NA,,,numeric,umolCO2/molP/s
105,leaf_photosynthetic_phosphorus_use_efficiency_maximum,Ratio of photosynthesis (CO2 assimilation rate) to leaf phosphorus content at saturating light conditions but ambient CO2 conditions,NA,,,numeric,umolCO2/molP/s
104,leaf_photosynthetic_phosphorus_use_efficiency_saturated,Ratio of photosynthesis (CO2 assimilation rate) to leaf phosphorus content at saturating light and CO2 conditions,NA,,,numeric,umolCO2/molP/s
106,leaf_photosynthetic_water_use_efficiency,Ratio of photosynthesis (CO2 assimilation rate) to leaf transpiration (water loss),NA,,,numeric,umolCO2/umolH2O
107,leaf_S_per_dry_mass,Leaf sulphur (S) content per unit leaf dry mass,leaf sulfur content per leaf dry mass,TOP466,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_sulfur_content_per_leaf_dry_mass,numeric,mg/kg
108,leaf_saturated_water_content_per_mass,Ratio of water in a saturated leaf (maximal water holding capacity at full turgidity) to leaf dry mass,NA,,,numeric,g/g
109,leaf_shape,Leaf shape,NA,,,categorical,NA
110,leaf_specific_conductivity,The ratio of hydraulic conductance of a segment to leaf area,NA,,,numeric,10^4 x kg/m/s/MPa
111,leaf_spines_adult,Binary variable describing whether or not adult leaves have spines,NA,,,categorical,NA
112,leaf_thickness,Thickness of the leaf lamina,leaf thickness,TOP20,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_thickness,numeric,mm
113,leaf_toughness,"The work (energy) required to fracture a leaf by tearing, shearing or punching",NA,,,numeric,N/m
114,leaf_transpiration,Rate of water loss from leaf under ambient conditions,NA,,,numeric,mmol/m2/s
115,leaf_transpiration_at_Amax,Rate of water loss from leaf during Amax measurement,NA,,,numeric,mmol/m2/s
116,leaf_transpiration_at_Asat,Rate of water loss from leaf during Asat measurement,NA,,,numeric,mmol/m2/s
117,leaf_turgor_loss_point,Water potential at which a leaf loses turgor,NA,,,numeric,neg_MPa
118,leaf_type,Broad definitions of leaf type,NA,,,categorical,NA
119,leaf_water_content_per_area,The ratio of the mass of water in a leaf relative to its surface area,NA,,,numeric,g/m2
120,leaf_water_content_per_mass,"The ratio of the mass of water in a leaf relative to its dry mass. (See also leaf_dry_matter_content, the ratio of a leaf's dry mass to fresh mass, that is recorded by a greater number of studies.)",NA,,,numeric,g/g
121,leaf_width,The longest width axis of a leaf; orthogonal to its length,leaf width,TOP17,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_width,numeric,mm
122,leaf_Zn_per_dry_mass,Leaf zinc (Zn) content per unit leaf dry mass,leaf zinc content per leaf dry mass,TOP467,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Leaf_zinc_content_per_leaf_dry_mass,numeric,mg/kg
123,life_form,Raunkiaer classification; Categorical classification of plants according to shoot-apex or bud protection,NA,,,categorical,NA
124,life_history,Categorical description of plant's life history,NA,,,categorical,NA
125,lifespan,"Broad categories of plant life span, in years",whole plant life span,TOP255,http://top-thesaurus.org/annotationInfo?viz=1&trait=Plant%20life%20span,categorical,NA
126,modified_NDVI,"modified normalized difference vegetation index (modified NDVI), based on Landsat data",NA,,,numeric,dimensionless
127,modulus_of_elasticity,"A measure of xylem's resistance to being deformed elastically (i.e., non-permanently) when a stress is applied to it",NA,,,numeric,Pa
128,modulus_of_rupture,A measure of the force required to rupture xylem vessel,NA,,,numeric,Pa
130,N_to_P_ratio,Ratio of N to P dry mass,NA,,,numeric,dimensionless
129,nitrogen_fixing,Binary variable describing whether or not a plant hosts a nitrogen-fixing bacteria,NA,,,categorical,NA
131,osmotic_potential,Potential for water to move across a semi-permeable membrane based on solute concentration,NA,,,numeric,MPa
132,palisade_cell_length,Length of individual palisade cells,NA,,,numeric,um
133,palisade_cell_width,Width of individual palisade cells,NA,,,numeric,um
134,palisade_layer_number,Number of layers of palisade cells,NA,,,numeric,count
135,photosynthetic_pathway,Type of photosynthetic pathway displayed by plants,NA,,,categorical,NA
136,photosynthetic_rate_per_area,"Rate at which a plant consumes carbon dioxide through photosynthesis, normalised to leaf area",NA,,,numeric,umolCO2/m2/s
137,photosynthetic_rate_per_area_maximum,"Rate at which a plant consumes carbon dioxide through photosynthesis at saturating light conditions but ambient CO2 conditions, normalised to leaf area",NA,,,numeric,umolCO2/m2/s
138,photosynthetic_rate_per_area_saturated,"Rate at which a plant consumes carbon dioxide through photosynthesis at saturating light and CO2 conditions, normalised to leaf area",NA,,,numeric,umolCO2/m2/s
139,photosynthetic_rate_per_dry_mass,"Maximum rate at which a plant consumes carbon dioxide through photosynthesis, normalised to leaf dry mass",NA,,,numeric,umolCO2/g/s
140,photosynthetic_rate_per_dry_mass_maximum,"Maximum rate at which a plant consumes carbon dioxide through photosynthesis at saturating light conditions but ambient CO2 conditions, normalised to leaf dry mass",NA,,,numeric,umolCO2/g/s
141,photosynthetic_rate_per_dry_mass_saturated,"Maximum rate at which a plant consumes carbon dioxide through photosynthesis at saturating light and CO2 conditions, normalised to leaf dry mass",NA,,,numeric,umolCO2/g/s
145,plant_breadth,The breadth of the plant canopy (smaller of two dimensions),NA,,,numeric,m
142,plant_growth_form,"Different growth forms displayed by plants, including both standard plant growth form descriptors (tree, shrub, etc.) and specific plant characteristics (i.e. patristic)",whole plant growth form,TOP136,http://top-thesaurus.org/annotationInfo?viz=1&trait=Plant%20growth%20form,categorical,NA
143,plant_height,Vegetative plant height,whole plant height vegetative,TOP69,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Plant_height_vegetative,numeric,m
144,plant_width,The width of the plant canopy,NA,,,numeric,m
146,regen_strategy,Different regeneration strategies displayed by plants. Trait values include both generic terms (i.e. vegetative) and quite specific ones (i.e. wood rootstock),NA,,,categorical,NA
147,resorption_leaf_N,Nitrogen resorption from leaves,NA,,,numeric,dimensionless
148,resorption_leaf_P,Phosphorus resorption from leaves,NA,,,numeric,dimensionless
149,root_diameter,Root diameter,root diameter,TOP944,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Root_diameter_trait,numeric,mm
150,root_dry_matter_content,Root dry mass per unit root fresh mass,NA,,,numeric,mg/g
151,root_mass_fraction,Fraction of plant dry mass comprised of root material,NA,,,numeric,mg/mg
152,root_morphology,"Categorical root descriptions sensu Cannon 1949, A Tentative Classification of Root Systems, Ecology, doi.org/10.2307/1932458",NA,,,categorical,NA
153,root_shoot_ratio,Ratio of root mass to shoot mass,NA,,,numeric,mg/mg
154,root_structure,Specific specialized types of root structures and root symbioses,NA,,,categorical,NA
155,root_wood_density,"For root wood, the ratio of mass to volume, yielding density",NA,,,numeric,mg/mm3
156,sapwood_specific_conductivity,"Describes the flow rate of water (kg/s) along a stem for a given drop in pressure (1/MPa), extremenormalised to the length of the segment (1/m)",NA,,,numeric,kg/m/s/MPa
157,seed_breadth,The shorter width axis of a seed; orthogonal to its length,NA,,,numeric,mm
158,seed_count,Number of seeds produced by a plant,NA,,,numeric,n
159,seed_length,Longest seed dimension,seed length,TOP91,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Seed_length,numeric,mm
160,seed_mass,Seed carbon dry mass,seed mass,TOP103,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Seed_mass,numeric,mg
161,seed_mass_reserve,Energy reserves stored in seeds that are mobilized at the time of germination; on a carbon dry mass basis,NA,,,numeric,mg
162,seed_oil_content,"Seed oil content as a fraction of total seed weight, usually on a dry weight basis",NA,,,numeric,g/g
163,seed_P_concentration,Seed phosphorus concentration on a weight basis,seed phosphorus content per seed dry mass,TOP578,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Seed_phosphorus_content_per_seed_dry_mass,numeric,mg/g
164,seed_protein_content,Seed protein content as a fraction of total seed weight,NA,,,numeric,g/g
165,seed_shape,"Possible seed shapes. Note that some terms currently used refer to 2-dimensional shapes, not 3-dimensional shapes.",NA,,,categorical,NA
166,seed_storage_location,Location where seeds are stored at maturity,NA,,,categorical,NA
167,seed_texture,The texture of a seed,NA,,,categorical,NA
168,seed_viability,Proportion of seeds that are viable,NA,,,numeric,n/n
169,seed_volume,Volume of a seed,NA,,,numeric,mm3
170,seed_width,The longest width dimension of a seed; orthogonal to the length,seed width,TOP95,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Seed_width,numeric,mm
171,senesced_leaf_Ca_per_dry_mass,Senesced leaf calcium (Ca) content per unit leaf dry mass,NA,,,numeric,mg/g
172,senesced_leaf_Cu_per_dry_mass,Senesced leaf copper (Cu) content per unit leaf dry mass,NA,,,numeric,mg/kg
173,senesced_leaf_Fe_per_dry_mass,Senesced leaf iron (Fe) content per unit leaf dry mass,NA,,,numeric,mg/kg
174,senesced_leaf_K_per_dry_mass,Senesced leaf potassium (K) content per unit leaf dry mass,NA,,,numeric,mg/g
175,senesced_leaf_Mg_per_dry_mass,Senesced leaf magnesium (Mg) content per unit leaf dry mass,NA,,,numeric,mg/g
176,senesced_leaf_Mn_per_dry_mass,Senesced leaf manganese (Mn) content per unit leaf dry mass,NA,,,numeric,mg/kg
177,senesced_leaf_Mo_per_dry_mass,Senesced leaf molybdenum (Mo) content per unit leaf dry mass,NA,,,numeric,mg/kg
178,senesced_leaf_N_per_dry_mass,Senesced leaf nitrogen (N) content per unit leaf dry mass,NA,,,numeric,mg/g
179,senesced_leaf_Na_per_dry_mass,Senesced leaf sodium (Na) content per unit leaf dry mass,NA,,,numeric,mg/kg
180,senesced_leaf_Ni_per_dry_mass,Senesced leaf nickel (Ni) content per unit leaf dry mass,NA,,,numeric,mg/kg
181,senesced_leaf_P_per_dry_mass,Senesced leaf phosphorus (P) content per unit leaf dry mass,NA,,,numeric,mg/g
182,senesced_leaf_S_per_dry_mass,Senesced leaf sulphur (S) content per unit leaf dry mass,NA,,,numeric,mg/kg
183,senesced_leaf_Zn_per_dry_mass,Senesced leaf zinc (Zn) content per unit leaf dry mass,NA,,,numeric,mg/kg
184,serotiny,"When a fruit or cone only releases its seeds following an environmental trigger, often fire",NA,,,categorical,NA
185,soil_salinity_tolerance,"Maximum salinity tolerated by a species, reported as the conductivitiy of the soil",NA,,,numeric,dS/m
186,soluable_protein_per_area,Mass of soluble protein per leaf area,NA,,,numeric,g/m2
188,soluable_sugars_per_area,Mass of soluble sugars per leaf area,NA,,,numeric,g/m2
189,specific_leaf_area,Leaf area per unit leaf dry mass; SLA,leaf area per leaf dry mass,TOP50,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Specific_leaf_area,numeric,mm2/mg
190,specific_root_area,Root area per unit root dry mass,NA,,,numeric,mm2/mg
191,specific_root_length,Root length per unit root dry mass; SRL,root length per root dry mass,TOP935,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Specific_root_length_trait,numeric,m/g
4,sprout_depth,Depth of resprouting shoots,NA,,,numeric,mm
192,starch_per_area,Mass of starch(typo in Austraits) per leaf area,NA,,,numeric,g/m2
193,stem_C_per_dry_mass,Stem carbon (C) content per unit stem dry mass,stem carbon content per stem dry mass,TOP491,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Stem_carbon_content_per_stem_dry_mass,numeric,mg/g
194,stem_count_categorical,"Number of stems present, expressed in groups, where categories were 1=1; 2-3=2; 4-10=3; 11-30=4; and >30=5. Used by Peter Vesk.",NA,,,numeric,count
195,stem_cross_section_area,Cross-sectional area of the stem,NA,,,numeric,mm2
196,stem_cross_section_area_no_bark,Cross-sectional area of the stem once bark is removed,NA,,,numeric,mm2
197,stem_dry_matter_content,Stem dry mass per unit stem fresh mass,NA,,,numeric,mg/g
198,stem_N_per_dry_mass,Stem carbon (N) content per unit stem dry mass,stem nitrogen content per stem dry mass,TOP501,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Stem_nitrogen_content_per_stem_dry_mass,numeric,mg/g
200,stomatal_conductance_per_area,"Rate of water loss through stomata under ambient conditions, per unit leaf area",leaf stomatal conductance for H2O per leaf area,TOP368,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Stomatal_conductance_for_h2o,numeric,umolH2O/m2/s
201,stomatal_conductance_per_area_at_Amax,"Rate of water loss through stomata, per unit leaf area under saturated light conditions",NA,,,numeric,umolH2O/m2/s
202,stomatal_conductance_per_area_at_Asat,"Rate of water loss through stomata, per unit leaf area under saturated light and CO2 conditions",NA,,,numeric,umolH2O/m2/s
203,stomatal_density,Stomatal density on the leaf surface,stomata density,TOP370,http://top-thesaurus.org/annotationInfo?viz=1&&trait=Stomata_density_trait,numeric,count/mm2
204,storage_organ,"Variable, defining whether a storage organ is present and types of storage organs",NA,,,categorical,NA
205,tap_root,Binary variable describing whether or not a plant has a tap root present,NA,,,categorical,NA
206,thickest_root_diameter,Diameter of the thickest root,NA,,,numeric,mm
207,vapor_pressure_deficit,Vapor pressure deficit across the leaf surface,NA,,,numeric,kPa
208,water_balance_index,Water balance index,NA,,,numeric,dimensionless
209,water_potential_midday,A plant's water potential during the heat of the day,NA,,,numeric,MPa
210,water_potential_predawn,A plant's water potential just before sunrise,NA,,,numeric,MPa
211,water_tolerance,Water-tolerance categories,NA,,,categorical,NA
