Taxon,trait value,trait,units,primary_source_id,metadata_id
Aristida polyclados,tufted,growth habit,NA,79,82
Aristida schultzii,tufted,growth habit,NA,79,82
Aristida sciuroides,tufted,growth habit,NA,79,82
Aristida thompsonii,tufted,growth habit,NA,79,82
Arthraxon castratu,tufted,growth habit,NA,79,82
Aristida echinata,tufted,growth habit,NA,79,82
Aristida gracilipes,tufted,growth habit,NA,79,82
Aristida helicophylla,tufted,growth habit,NA,79,82
Aristida holathera,tufted,growth habit,NA,79,82
Aristida psammophila,tufted,growth habit,NA,79,82
Aristida calycina,tufted,growth habit,NA,79,82
Aristida spuria,tufted,growth habit,NA,79,82
Aristida leichhardtiana,tufted,growth habit,NA,79,82
Aristida leptopoda,tufted,growth habit,NA,79,82
Aristida longicollis,tufted,growth habit,NA,79,82
Aristida platychaeta,tufted,growth habit,NA,79,82
Aristida warburgii,tufted,growth habit,NA,79,82
Aristida forsteri,tufted,growth habit,NA,79,82
Aristida macroclada,tufted,growth habit,NA,79,82
Arthragrostis clarksoniana,tufted,growth habit,NA,79,82
Arthragrostis deschampsioides,tufted,growth habit,NA,79,82
Aristida ingrata,tufted,growth habit,NA,79,82
Aristida behriana,tufted,growth habit,NA,79,82
Amphipogon caricinus,tufted,growth habit,NA,79,82
Astrebla elymoides,tufted,growth habit,NA,79,82
Aristida anthoxanthoides,tufted,growth habit,NA,79,82
Aristida latifolia,tufted,growth habit,NA,79,82
Aristida holathera var. holathera,tufted,growth habit,NA,79,82
Aristida calycina var. calycina,tufted,growth habit,NA,79,82
Amphipogon caricinus var. caricinus,tufted,growth habit,NA,79,82
Aristida arida,tufted,growth habit,NA,79,82
Amphipogon sericeus,tufted,growth habit,NA,79,82
Aristida benthamii var. benthamii,tufted,growth habit,NA,79,82
Ancistrachne maidenii,tufted,growth habit,NA,79,82
Aristida burbidgeae,tufted,growth habit,NA,79,82
Aristida burraensis,tufted,growth habit,NA,79,82
Aristida kimberleyensis,tufted,growth habit,NA,79,82
Aristida annua,tufted,growth habit,NA,79,82
Aristida blakei,tufted,growth habit,NA,79,82
Ancistrachne uncinulata,tufted,growth habit,NA,79,82
Amphipogon strictus,tufted,growth habit,NA,79,82
Aristida acuta,tufted,growth habit,NA,79,82
Aristida muricata,tufted,growth habit,NA,79,82
Aristida vickeryae,tufted,growth habit,NA,79,82
Aristida queenslandica var. queenslandica,tufted,growth habit,NA,79,82
Aristida benthamii var. spinulifera,tufted,growth habit,NA,79,82
Aristida jerichoensis var. jerichoensis,tufted,growth habit,NA,79,82
Aristida jerichoensis var. subspinulifera,tufted,growth habit,NA,79,82
Aristida calycina var. praealta,tufted,growth habit,NA,79,82
Amphipogon setaceus,tufted,growth habit,NA,79,82
Amphipogon amphipogonoides,tufted,growth habit,NA,79,82
Amphipogon avenaceus,tufted,growth habit,NA,79,82
Amphipogon debilis,tufted,growth habit,NA,79,82
Amphipogon laguroides,tufted,growth habit,NA,79,82
Amphipogon turbinatus,tufted,growth habit,NA,79,82
Aristida australis,tufted,growth habit,NA,79,82
Aristida granitica,tufted,growth habit,NA,79,82
Aristida utilis,tufted,growth habit,NA,79,82
Aristida utilis var. grandiflora,tufted,growth habit,NA,79,82
Aristida utilis var. utilis,tufted,growth habit,NA,79,82
Arthragrostis aristispicula,tufted,growth habit,NA,79,82
Arthragrostis brassiana,tufted,growth habit,NA,79,82
Arthragrostis brassiana var. brassiana,tufted,growth habit,NA,79,82
Arthragrostis brassiana var. minutiflora,tufted,growth habit,NA,79,82
Aristida benthamii,tufted,growth habit,NA,79,82
Aristida queenslandica var. dissimilis,tufted,growth habit,NA,79,82
Amphipogon caricinus var. scaber,tufted,growth habit,NA,79,82
Amphipogon laguroides subsp. havelii,tufted,growth habit,NA,79,82
Amphipogon laguroides subsp. laguroides,tufted,growth habit,NA,79,82
Aristida holathera var. latifolia,tufted,growth habit,NA,79,82
Aristida macroclada subsp. macroclada,tufted,growth habit,NA,79,82
Aristida macroclada subsp. queenslandica,tufted,growth habit,NA,79,82
Aristida calycina var. filifolia,tufted,growth habit,NA,79,82
Aristida sp.,tufted,growth habit,NA,79,82
Aristida sp.,tufted,growth habit,NA,79,82
Aristida dominii,annual,longevity,NA,79,82
Arthragrostis clarksoniana,annual,longevity,NA,79,82
Arthragrostis deschampsioides,annual,longevity,NA,79,82
Arthraxon hispidus,annual,longevity,NA,79,82
Arthragrostis aristispicula,annual,longevity,NA,79,82
Arthragrostis brassiana,annual,longevity,NA,79,82
Arthragrostis brassiana var. brassiana,annual,longevity,NA,79,82
Arthragrostis brassiana var. minutiflora,annual,longevity,NA,79,82
Acrachne racemosa,annual,longevity,NA,79,82
Puccinellia decumbens,annual,longevity,NA,79,82
Puccinellia harcusiana,annual,longevity,NA,79,82
Puccinellia perlaxa,annual/perennial,longevity,NA,79,82
Aristida biglandulosa,perennial,longevity,NA,79,82
Aristida echinata,perennial,longevity,NA,79,82
Aristida exserta,perennial,longevity,NA,79,82
Aristida hygrometrica,perennial,longevity,NA,79,82
Aristida inaequiglumis,perennial,longevity,NA,79,82
Aristida latzii,perennial,longevity,NA,79,82
Aristida lazaridis,perennial,longevity,NA,79,82
Aristida perniciosa,perennial,longevity,NA,79,82
Aristida polyclados,perennial,longevity,NA,79,82
Aristida pruinosa,perennial,longevity,NA,79,82
Aristida ramosa,perennial,longevity,NA,79,82
Aristida schultzii,perennial,longevity,NA,79,82
Aristida sciuroides,perennial,longevity,NA,79,82
Aristida superpendens,perennial,longevity,NA,79,82
Aristida thompsonii,perennial,longevity,NA,79,82
Arthraxon castratu,perennial,longevity,NA,79,82
Arundinella setosa,perennial,longevity,NA,79,82
Aristida calycina,perennial,longevity,NA,79,82
Aristida psammophila,perennial,longevity,NA,79,82
Aristida queenslandica,perennial,longevity,NA,79,82
Aristida spuria,perennial,longevity,NA,79,82
Aristida strigosa,perennial,longevity,NA,79,82
Arundinella nepalensis,perennial,longevity,NA,79,82
Astrebla squarrosa,perennial,longevity,NA,79,82
Aristida forsteri,perennial,longevity,NA,79,82
Aristida macroclada,perennial,longevity,NA,79,82
Arundinella grevillensis,perennial,longevity,NA,79,82
Arundinella montana,perennial,longevity,NA,79,82
Ancistrachne maidenii,perennial,longevity,NA,79,82
Aristida blakei,perennial,longevity,NA,79,82
Aristida burbidgeae,perennial,longevity,NA,79,82
Aristida burraensis,perennial,longevity,NA,79,82
Aristida ingrata,perennial,longevity,NA,79,82
Aristida kimberleyensis,perennial,longevity,NA,79,82
Amphibromus fluitans,perennial,longevity,NA,79,82
Amphipogon caricinus,perennial,longevity,NA,79,82
Amphipogon caricinus var. caricinus,perennial,longevity,NA,79,82
Amphipogon strictus,perennial,longevity,NA,79,82
Ancistrachne uncinulata,perennial,longevity,NA,79,82
Aristida benthamii var. spinulifera,perennial,longevity,NA,79,82
Aristida queenslandica var. queenslandica,perennial,longevity,NA,79,82
Astrebla elymoides,perennial,longevity,NA,79,82
Astrebla pectinata,perennial,longevity,NA,79,82
Alloteropsis semialata,perennial,longevity,NA,79,82
Amphibromus archeri,perennial,longevity,NA,79,82
Amphipogon amphipogonoides,perennial,longevity,NA,79,82
Amphipogon avenaceus,perennial,longevity,NA,79,82
Amphipogon caricinus var. scaber,perennial,longevity,NA,79,82
Amphipogon debilis,perennial,longevity,NA,79,82
Amphipogon laguroides,perennial,longevity,NA,79,82
Amphipogon laguroides subsp. havelii,perennial,longevity,NA,79,82
Amphipogon laguroides subsp. laguroides,perennial,longevity,NA,79,82
Amphipogon sericeus,perennial,longevity,NA,79,82
Amphipogon turbinatus,perennial,longevity,NA,79,82
Aristida arida,perennial,longevity,NA,79,82
Aristida australis,perennial,longevity,NA,79,82
Aristida benthamii,perennial,longevity,NA,79,82
Aristida benthamii var. benthamii,perennial,longevity,NA,79,82
Aristida granitica,perennial,longevity,NA,79,82
Aristida holathera var. latifolia,perennial,longevity,NA,79,82
Aristida macroclada subsp. macroclada,perennial,longevity,NA,79,82
Aristida macroclada subsp. queenslandica,perennial,longevity,NA,79,82
Aristida queenslandica var. dissimilis,perennial,longevity,NA,79,82
Aristida utilis,perennial,longevity,NA,79,82
Aristida utilis var. grandiflora,perennial,longevity,NA,79,82
Aristida utilis var. utilis,perennial,longevity,NA,79,82
Astrebla lappacea,perennial,longevity,NA,79,82
Amphibromus macrorhinus,perennial,longevity,NA,79,82
Australopyrum pectinatum,perennial,longevity,NA,79,82
Amphibromus vickeryae,perennial,longevity,NA,79,82
Amphibromus whitei,perennial,longevity,NA,79,82
Apluda mutica,perennial,longevity,NA,79,82
Agrostis diemenica,perennial,longevity,NA,79,82
Poa orba,perennial,longevity,NA,79,82
Poa physoclina,perennial,longevity,NA,79,82
Isachne myosotis,0.06,maximum height,m,79,82
Puccinellia decumbens,0.13,maximum height,m,79,82
Poa orba,0.15,maximum height,m,79,82
Amphipogon debilis,0.2,maximum height,m,79,82
Arundinella grevillensis,0.25,maximum height,m,79,82
Amphipogon laguroides,0.3,maximum height,m,79,82
Puccinellia harcusiana,0.3,maximum height,m,79,82
Amphipogon avenaceus,0.35,maximum height,m,79,82
Amphibromus whitei,0.35,maximum height,m,79,82
Aristida polyclados,0.4,maximum height,m,79,82
Aristida thompsonii,0.4,maximum height,m,79,82
Amphipogon amphipogonoides,0.4,maximum height,m,79,82
Poa physoclina,0.4,maximum height,m,79,82
Aristida burbidgeae,0.45,maximum height,m,79,82
Aristida dominii,0.5,maximum height,m,79,82
Aristida forsteri,0.5,maximum height,m,79,82
Amphipogon turbinatus,0.5,maximum height,m,79,82
Puccinellia perlaxa,0.5,maximum height,m,79,82
Aristida annua,0.5,maximum height,m,79,82
Arthragrostis deschampsioides,0.6,maximum height,m,79,82
Arthragrostis aristispicula,0.6,maximum height,m,79,82
Aristida schultzii,0.65,maximum height,m,79,82
Aristida australis,0.65,maximum height,m,79,82
Arthragrostis brassiana,0.7,maximum height,m,79,82
Arthragrostis brassiana var. brassiana,0.7,maximum height,m,79,82
Arthragrostis brassiana var. minutiflora,0.7,maximum height,m,79,82
Amphibromus sinuatus,0.7,maximum height,m,79,82
Aristida exserta,0.75,maximum height,m,79,82
Arthraxon hispidus,0.75,maximum height,m,79,82
Amphibromus fluitans,0.75,maximum height,m,79,82
Aristida granitica,0.75,maximum height,m,79,82
Arthragrostis clarksoniana,0.8,maximum height,m,79,82
Aristida burraensis,0.8,maximum height,m,79,82
Aristida arida,0.8,maximum height,m,79,82
Aristida capillifolia,0.8,maximum height,m,79,82
Aristida hygrometrica,0.85,maximum height,m,79,82
Aristida latzii,0.9,maximum height,m,79,82
Arundinella montana,0.9,maximum height,m,79,82
Aristida macroclada,1,maximum height,m,79,82
Ancistrachne maidenii,1,maximum height,m,79,82
Aristida kimberleyensis,1,maximum height,m,79,82
Amphibromus vickeryae,1,maximum height,m,79,82
Acrachne racemosa,1,maximum height,m,79,82
Austrochloris dichanthioides,1,maximum height,m,79,82
Aristida queenslandica,1.1,maximum height,m,79,82
Aristida queenslandica var. queenslandica,1.1,maximum height,m,79,82
Aristida queenslandica var. dissimilis,1.1,maximum height,m,79,82
Aristida biglandulosa,1.2,maximum height,m,79,82
Aristida superpendens,1.2,maximum height,m,79,82
Arundinella setosa,1.2,maximum height,m,79,82
Aristida psammophila,1.2,maximum height,m,79,82
Alloteropsis cimicina,1.2,maximum height,m,79,82
Aristida utilis,1.3,maximum height,m,79,82
Aristida utilis var. grandiflora,1.3,maximum height,m,79,82
Aristida utilis var. utilis,1.3,maximum height,m,79,82
Aristida lazaridis,1.4,maximum height,m,79,82
Aristida perniciosa,1.4,maximum height,m,79,82
Aristida inaequiglumis,1.5,maximum height,m,79,82
Aristida pruinosa,1.5,maximum height,m,79,82
Aristida ingrata,1.5,maximum height,m,79,82
Alloteropsis semialata,1.5,maximum height,m,79,82
Amphibromus recurvatus,1.5,maximum height,m,79,82
Aristida sciuroides,2,maximum height,m,79,82
Arthraxon castratu,2,maximum height,m,79,82
Ancistrachne uncinulata,2,maximum height,m,79,82
Apluda mutica,3,maximum height,m,79,82
Puccinellia decumbens,20,maximum leaf length,mm,79,82
Ancistrachne maidenii,40,maximum leaf length,mm,79,82
Aristida caput-medusae,40,maximum leaf length,mm,79,82
Agrostis australiensis,50,maximum leaf length,mm,79,82
Arundinella grevillensis,70,maximum leaf length,mm,79,82
Arthragrostis brassiana,70,maximum leaf length,mm,79,82
Arthragrostis brassiana var. brassiana,70,maximum leaf length,mm,79,82
Arthragrostis brassiana var. minutiflora,70,maximum leaf length,mm,79,82
Aristida exserta,80,maximum leaf length,mm,79,82
Poa orba,80,maximum leaf length,mm,79,82
Aristida gracilipes,80,maximum leaf length,mm,79,82
Aristida platychaeta,80,maximum leaf length,mm,79,82
Agrostis venusta,80,maximum leaf length,mm,79,82
Aristida anthoxanthoides,90,maximum leaf length,mm,79,82
Arthraxon castratu,100,maximum leaf length,mm,79,82
Arthragrostis clarksoniana,100,maximum leaf length,mm,79,82
Arthragrostis deschampsioides,100,maximum leaf length,mm,79,82
Aristida burbidgeae,100,maximum leaf length,mm,79,82
Aristida australis,100,maximum leaf length,mm,79,82
Arthragrostis aristispicula,100,maximum leaf length,mm,79,82
Aristida capillifolia,100,maximum leaf length,mm,79,82
Aristida contorta,100,maximum leaf length,mm,79,82
Agrostis muelleriana,100,maximum leaf length,mm,79,82
Agrostis parviflora,100,maximum leaf length,mm,79,82
Aristida polyclados,110,maximum leaf length,mm,79,82
Amphipogon debilis,120,maximum leaf length,mm,79,82
Puccinellia harcusiana,120,maximum leaf length,mm,79,82
Aristida echinata,120,maximum leaf length,mm,79,82
Aristida ramosa,120,maximum leaf length,mm,79,82
Aristida spuria,120,maximum leaf length,mm,79,82
Aristida leichhardtiana,120,maximum leaf length,mm,79,82
Aristida vagans,120,maximum leaf length,mm,79,82
Agrostis diemenica,120,maximum leaf length,mm,79,82
Aristida acuta,130,maximum leaf length,mm,79,82
Agrostis thompsoniae,130,maximum leaf length,mm,79,82
Aristida forsteri,140,maximum leaf length,mm,79,82
Aristida burraensis,140,maximum leaf length,mm,79,82
Aristida psammophila,150,maximum leaf length,mm,79,82
Amphipogon amphipogonoides,150,maximum leaf length,mm,79,82
Amphipogon avenaceus,150,maximum leaf length,mm,79,82
Amphipogon turbinatus,150,maximum leaf length,mm,79,82
Amphibromus whitei,150,maximum leaf length,mm,79,82
Isachne myosotis,150,maximum leaf length,mm,79,82
Aristida annua,150,maximum leaf length,mm,79,82
Alloteropsis cimicina,150,maximum leaf length,mm,79,82
Amphipogon caricinus,150,maximum leaf length,mm,79,82
Amphipogon strictus,150,maximum leaf length,mm,79,82
Agrostis propinqua,150,maximum leaf length,mm,79,82
Aristida dominii,160,maximum leaf length,mm,79,82
Australopyrum pectinatum,160,maximum leaf length,mm,79,82
Aristida personata,160,maximum leaf length,mm,79,82
Aristida warburgii,160,maximum leaf length,mm,79,82
Aristida vickeryae,160,maximum leaf length,mm,79,82
Ancistrachne uncinulata,170,maximum leaf length,mm,79,82
Amphibromus sinuatus,170,maximum leaf length,mm,79,82
Aristida nitidula,170,maximum leaf length,mm,79,82
Aristida strigosa,180,maximum leaf length,mm,79,82
Aristida jerichoensis,180,maximum leaf length,mm,79,82
Aristida longicollis,180,maximum leaf length,mm,79,82
Arundinella montana,190,maximum leaf length,mm,79,82
Aristida muricata,190,maximum leaf length,mm,79,82
Amphipogon setaceus,200,maximum leaf length,mm,79,82
Aristida latzii,200,maximum leaf length,mm,79,82
Aristida lazaridis,200,maximum leaf length,mm,79,82
Aristida perniciosa,200,maximum leaf length,mm,79,82
Aristida kimberleyensis,200,maximum leaf length,mm,79,82
Amphipogon laguroides,200,maximum leaf length,mm,79,82
Aristida arida,200,maximum leaf length,mm,79,82
Poa physoclina,200,maximum leaf length,mm,79,82
Aristida blakei,200,maximum leaf length,mm,79,82
Aristida lignosa,200,maximum leaf length,mm,79,82
Amphibromus pithogastrus,200,maximum leaf length,mm,79,82
Aristida sciuroides,210,maximum leaf length,mm,79,82
Aristida granitica,210,maximum leaf length,mm,79,82
Aristida utilis,210,maximum leaf length,mm,79,82
Aristida utilis var. grandiflora,210,maximum leaf length,mm,79,82
Aristida utilis var. utilis,210,maximum leaf length,mm,79,82
Aristida helicophylla,210,maximum leaf length,mm,79,82
Aristida ingrata,230,maximum leaf length,mm,79,82
Aristida schultzii,250,maximum leaf length,mm,79,82
Aristida thompsonii,250,maximum leaf length,mm,79,82
Amphibromus fluitans,250,maximum leaf length,mm,79,82
Apluda mutica,250,maximum leaf length,mm,79,82
Aristida calycina,250,maximum leaf length,mm,79,82
Astrebla pectinata,250,maximum leaf length,mm,79,82
Aristida benthamii,250,maximum leaf length,mm,79,82
Aristida holathera,250,maximum leaf length,mm,79,82
Aristida obscura,250,maximum leaf length,mm,79,82
Aristida behriana,250,maximum leaf length,mm,79,82
Aristida hygrometrica,270,maximum leaf length,mm,79,82
Aristida superpendens,270,maximum leaf length,mm,79,82
Aristida biglandulosa,300,maximum leaf length,mm,79,82
Aristida inaequiglumis,300,maximum leaf length,mm,79,82
Aristida macroclada,300,maximum leaf length,mm,79,82
Puccinellia perlaxa,300,maximum leaf length,mm,79,82
Amphibromus recurvatus,300,maximum leaf length,mm,79,82
Astrebla lappacea,300,maximum leaf length,mm,79,82
Amphibromus macrorhinus,300,maximum leaf length,mm,79,82
Aristida leptopoda,300,maximum leaf length,mm,79,82
Amphibromus nervosus,300,maximum leaf length,mm,79,82
Amphibromus vickeryae,350,maximum leaf length,mm,79,82
Astrebla elymoides,350,maximum leaf length,mm,79,82
Amphibromus neesii,370,maximum leaf length,mm,79,82
Aristida pruinosa,400,maximum leaf length,mm,79,82
Arundinella setosa,400,maximum leaf length,mm,79,82
Aristida queenslandica,400,maximum leaf length,mm,79,82
Arundinella nepalensis,400,maximum leaf length,mm,79,82
Alloteropsis semialata,500,maximum leaf length,mm,79,82
Astrebla squarrosa,500,maximum leaf length,mm,79,82
Aristida latifolia,700,maximum leaf length,mm,79,82
Acrachne racemosa,750,maximum leaf length,mm,79,82
Poa physoclina,0.4,maximum leaf width,mm,79,82
Aristida dominii,0.5,maximum leaf width,mm,79,82
Aristida exserta,0.5,maximum leaf width,mm,79,82
Aristida granitica,0.5,maximum leaf width,mm,79,82
Aristida spuria,0.5,maximum leaf width,mm,79,82
Aristida vickeryae,0.5,maximum leaf width,mm,79,82
Aristida thompsonii,0.7,maximum leaf width,mm,79,82
Puccinellia decumbens,0.7,maximum leaf width,mm,79,82
Amphipogon setaceus,1,maximum leaf width,mm,79,82
Aristida latzii,1,maximum leaf width,mm,79,82
Aristida forsteri,1,maximum leaf width,mm,79,82
Arundinella grevillensis,1,maximum leaf width,mm,79,82
Aristida burbidgeae,1,maximum leaf width,mm,79,82
Aristida burraensis,1,maximum leaf width,mm,79,82
Puccinellia perlaxa,1,maximum leaf width,mm,79,82
Aristida caput-medusae,1,maximum leaf width,mm,79,82
Aristida contorta,1,maximum leaf width,mm,79,82
Aristida nitidula,1,maximum leaf width,mm,79,82
Aristida warburgii,1,maximum leaf width,mm,79,82
Agrostis parviflora,1,maximum leaf width,mm,79,82
Aristida capillifolia,1.1,maximum leaf width,mm,79,82
Aristida hygrometrica,1.2,maximum leaf width,mm,79,82
Aristida superpendens,1.2,maximum leaf width,mm,79,82
Puccinellia harcusiana,1.3,maximum leaf width,mm,79,82
Agrostis australiensis,1.4,maximum leaf width,mm,79,82
Aristida psammophila,1.5,maximum leaf width,mm,79,82
Arundinella montana,1.5,maximum leaf width,mm,79,82
Poa orba,1.5,maximum leaf width,mm,79,82
Aristida annua,1.5,maximum leaf width,mm,79,82
Aristida blakei,1.5,maximum leaf width,mm,79,82
Aristida gracilipes,1.5,maximum leaf width,mm,79,82
Aristida leichhardtiana,1.5,maximum leaf width,mm,79,82
Aristida platychaeta,1.5,maximum leaf width,mm,79,82
Aristida anthoxanthoides,1.5,maximum leaf width,mm,79,82
Agrostis venusta,1.5,maximum leaf width,mm,79,82
Aristida polyclados,1.8,maximum leaf width,mm,79,82
Amphibromus whitei,1.8,maximum leaf width,mm,79,82
Aristida schultzii,2,maximum leaf width,mm,79,82
Aristida sciuroides,2,maximum leaf width,mm,79,82
Aristida queenslandica,2,maximum leaf width,mm,79,82
Aristida kimberleyensis,2,maximum leaf width,mm,79,82
Amphipogon amphipogonoides,2,maximum leaf width,mm,79,82
Amphipogon avenaceus,2,maximum leaf width,mm,79,82
Amphipogon debilis,2,maximum leaf width,mm,79,82
Aristida arida,2,maximum leaf width,mm,79,82
Aristida utilis,2,maximum leaf width,mm,79,82
Aristida utilis var. grandiflora,2,maximum leaf width,mm,79,82
Aristida utilis var. utilis,2,maximum leaf width,mm,79,82
Aristida ramosa,2,maximum leaf width,mm,79,82
Amphipogon strictus,2,maximum leaf width,mm,79,82
Aristida jerichoensis,2,maximum leaf width,mm,79,82
Aristida muricata,2,maximum leaf width,mm,79,82
Agrostis diemenica,2,maximum leaf width,mm,79,82
Aristida macroclada,2.3,maximum leaf width,mm,79,82
Aristida echinata,2.5,maximum leaf width,mm,79,82
Aristida personata,2.5,maximum leaf width,mm,79,82
Agrostis thompsoniae,2.5,maximum leaf width,mm,79,82
Astrebla pectinata,2.7,maximum leaf width,mm,79,82
Aristida lazaridis,3,maximum leaf width,mm,79,82
Aristida perniciosa,3,maximum leaf width,mm,79,82
Amphipogon laguroides,3,maximum leaf width,mm,79,82
Amphipogon turbinatus,3,maximum leaf width,mm,79,82
Aristida australis,3,maximum leaf width,mm,79,82
Aristida strigosa,3,maximum leaf width,mm,79,82
Amphipogon caricinus,3,maximum leaf width,mm,79,82
Aristida benthamii,3,maximum leaf width,mm,79,82
Aristida helicophylla,3,maximum leaf width,mm,79,82
Aristida longicollis,3,maximum leaf width,mm,79,82
Aristida obscura,3,maximum leaf width,mm,79,82
Aristida behriana,3,maximum leaf width,mm,79,82
Amphibromus recurvatus,3.5,maximum leaf width,mm,79,82
Aristida leptopoda,3.5,maximum leaf width,mm,79,82
Amphibromus nervosus,3.5,maximum leaf width,mm,79,82
Aristida ingrata,4,maximum leaf width,mm,79,82
Arthragrostis brassiana,4,maximum leaf width,mm,79,82
Arthragrostis brassiana var. brassiana,4,maximum leaf width,mm,79,82
Arthragrostis brassiana var. minutiflora,4,maximum leaf width,mm,79,82
Amphibromus vickeryae,4,maximum leaf width,mm,79,82
Isachne myosotis,4,maximum leaf width,mm,79,82
Amphibromus sinuatus,4,maximum leaf width,mm,79,82
Aristida calycina,4,maximum leaf width,mm,79,82
Amphibromus macrorhinus,4,maximum leaf width,mm,79,82
Australopyrum pectinatum,4,maximum leaf width,mm,79,82
Aristida holathera,4,maximum leaf width,mm,79,82
Aristida lignosa,4,maximum leaf width,mm,79,82
Aristida vagans,4,maximum leaf width,mm,79,82
Amphibromus neesii,4,maximum leaf width,mm,79,82
Agrostis propinqua,4,maximum leaf width,mm,79,82
Aristida inaequiglumis,4.5,maximum leaf width,mm,79,82
Aristida pruinosa,4.5,maximum leaf width,mm,79,82
Amphibromus fluitans,4.5,maximum leaf width,mm,79,82
Aristida latifolia,4.5,maximum leaf width,mm,79,82
Aristida biglandulosa,5,maximum leaf width,mm,79,82
Arundinella setosa,5,maximum leaf width,mm,79,82
Arthragrostis deschampsioides,5,maximum leaf width,mm,79,82
Astrebla elymoides,5,maximum leaf width,mm,79,82
Astrebla lappacea,5,maximum leaf width,mm,79,82
Amphibromus pithogastrus,5,maximum leaf width,mm,79,82
Agrostis muelleriana,5,maximum leaf width,mm,79,82
Arthragrostis aristispicula,5.5,maximum leaf width,mm,79,82
Astrebla squarrosa,6,maximum leaf width,mm,79,82
Ancistrachne maidenii,8,maximum leaf width,mm,79,82
Ancistrachne uncinulata,8,maximum leaf width,mm,79,82
Alloteropsis semialata,10,maximum leaf width,mm,79,82
Apluda mutica,10,maximum leaf width,mm,79,82
Arundinella nepalensis,10,maximum leaf width,mm,79,82
Aristida acuta,10,maximum leaf width,mm,79,82
Acrachne racemosa,12,maximum leaf width,mm,79,82
Arthraxon castratu,15,maximum leaf width,mm,79,82
Arthragrostis clarksoniana,20,maximum leaf width,mm,79,82
Alloteropsis cimicina,20,maximum leaf width,mm,79,82
Arundinella grevillensis,1,maximum seed length,mm,79,82
Acrachne racemosa,1.1,maximum seed length,mm,79,82
Amphibromus whitei,1.3,maximum seed length,mm,79,82
Arthragrostis deschampsioides,1.4,maximum seed length,mm,79,82
