species_name,host_name,parasitised_by,site,site_alternatives,parasite_type,leaf_dry_matter_d13C,count_leaf_dry_matter_d13C,leaf_cellulose_d13C,count_leaf_cellulose_d13C,leaf_dry_matter_d18O,count_leaf_dry_matter_d18O,leaf_cellulose_d18O,count_leaf_cellulose_d18O,leaf_water_d18O,count_leaf_water_d18O,data_source
Cuscuta campestris,Unknown host,,William Bay National Park,,Holoparasite,-28.7,1,,,25.6,1,29.2,1,,,Cernusak_2004 Tables 2-3
Unknown host,,Cuscuta campestris,William Bay National Park,,non-parasitic,-29.9,1,,,20.3,1,28.4,1,,,Cernusak_2004 Tables 2-3
Orobanche minor,Ribes sanguineum,,Pate Property,,Holoparasite,-27.0,1,-25.9,1,27.2,1,28.8,1,,,Cernusak_2004 Tables 2-3
Ribes sanguineum,,Orobanche minor,Pate Property,,non-parasitic,-27.7,1,-24.9,1,21.8,1,25.4,1,,,Cernusak_2004 Tables 2-3
Bartsia trixago,Conocephalum sp.,,Lights Beach,,Root hemiparasite,-28.7,1,,,23.9,1,,,,,Cernusak_2004 Tables 2-3
Conocephalum sp.,,Bartsia trixago,Lights Beach,,non-parasitic,-29.3,1,,,27.0,1,,,,,Cernusak_2004 Tables 2-3
Bartsia trixago,Senecio lautus,,Lights Beach,,Root hemiparasite,-29.9,1,,,24.3,1,,,,,Cernusak_2004 Tables 2-3
Senecio lautus,,Bartsia trixago,Lights Beach,,non-parasitic,-29.0,1,,,22.8,1,,,,,Cernusak_2004 Tables 2-3
Exocarpos odoratus,Bossiaea lynophylla,,Ocean Beach,,Root hemiparasite,-26.2,1,-23.5,1,22.6,1,29.2,1,,,Cernusak_2004 Tables 2-3
Bossiaea lynophylla,,Exocarpos odoratus,Ocean Beach,,non-parasitic,-27.9,1,-25.5,1,22.5,1,30.8,1,,,Cernusak_2004 Tables 2-3
Exocarpos odoratus,Hibbertia sp.,,Ocean Beach,,Root hemiparasite,-28.7,1,,,27.1,1,,,13.3,1,Cernusak_2004 Tables 2-3
Hibbertia sp.,,Exocarpos odoratus,Ocean Beach,,non-parasitic,-27.5,1,,,27.1,1,,,14.5,1,Cernusak_2004 Tables 2-3
Exocarpos odoratus,Spyridium globulosum,,William Bay National Park,William Bay National Park; Ocean Beach,Root hemiparasite,-28.9±1.2,3,-25.0±1.6,2,24.7±1.7,3,28.4±0.7,2,11.6,1,Cernusak_2004 Tables 2-3
Spyridium globulosum,,Exocarpos odoratus,William Bay National Park,William Bay National Park; Ocean Beach,non-parasitic,-27.1±0.3,3,-25.1±0.2,2,27.2±1.1,3,31.7±0.6,2,13.9,1,Cernusak_2004 Tables 2-3
Exocarpos sparteus,Pelargonium australe,,Ocean Beach,,Root hemiparasite,-28.3±0.1,2,-24.2,1,26.2±0.6,2,32.2,1,12.1,1,Cernusak_2004 Tables 2-3
Pelargonium australe,,Exocarpos sparteus,Ocean Beach,,non-parasitic,-25.8±1.3,2,-25.5,1,24.9±1.1,2,,,9.3,1,Cernusak_2004 Tables 2-3
Exocarpos sparteus,Scaevola nitida,,Lights Beach,,Root hemiparasite,-29.1,1,-27.0,1,24.7,1,30.9,1,,,Cernusak_2004 Tables 2-3
Scaevola nitida,,Exocarpos sparteus,Lights Beach,,non-parasitic,-26.0,1,,,22.2,1,27.2,1,,,Cernusak_2004 Tables 2-3
Exocarpos sparteus,Spyridium globulosum,,Ocean Beach,,Root hemiparasite,-29.4±0.7,2,-27.8,1,26.4±0.9,2,29.2,1,11.0,1,Cernusak_2004 Tables 2-3
Spyridium globulosum,,Exocarpos sparteus,Ocean Beach,,non-parasitic,-25.5±1.0,2,-24.1,1,28.1±1.4,2,30.5,1,12.2,1,Cernusak_2004 Tables 2-3
Olax phyllanthi,Acacia littorea,,William Bay National Park,,Root hemiparasite,-27.8,1,-25.7,1,23.4,1,30.9,1,,,Cernusak_2004 Tables 2-3
Acacia littorea,,Olax phyllanthi,William Bay National Park,,non-parasitic,-28.7,1,-24.9,1,23.0,1,31.6,1,,,Cernusak_2004 Tables 2-3
Olax phyllanthi,Hibbertia sp.,,Ocean Beach,,Root hemiparasite,-28.0,1,-25.8,1,23.1,1,29.1,1,,,Cernusak_2004 Tables 2-3
Hibbertia sp.,,Olax phyllanthi,Ocean Beach,,non-parasitic,-27.7,1,-24.3,1,24.3,1,31.6,1,,,Cernusak_2004 Tables 2-3
Olax phyllanthi,Leucopogon parviflorus,,Ocean Beach,,Root hemiparasite,-28.7±0.6,2,-26.5,1,22.5±2.0,2,29.3,1,12.3,2,Cernusak_2004 Tables 2-3
Leucopogon parviflorus,,Olax phyllanthi,Ocean Beach,,non-parasitic,-28.1±0.5,2,-25.1,1,25.8±2.3,2,29.2,1,13.5,2,Cernusak_2004 Tables 2-3
Olax phyllanthi,Spyridium globulosum,,William Bay National Park,William Bay National Park; Ocean Beach,Root hemiparasite,-28.2±1.3,5,-23.8±0.3,3,25.7±1.0,5,30.6±2.4,3,13.7±0.7,2,Cernusak_2004 Tables 2-3
Spyridium globulosum,,Olax phyllanthi,William Bay National Park,William Bay National Park; Ocean Beach,non-parasitic,-26.4±0.3,5,-25.7±1.4,3,27.6±0.7,5,32.3±0.8,3,12.9±0.4,2,Cernusak_2004 Tables 2-3
Olax phyllanthi,Scaevola nitida,,Pate Property,,Root hemiparasite,-27.4,1,-24.4,1,23.6,1,31.2,1,,,Cernusak_2004 Tables 2-3
Scaevola nitida,,Olax phyllanthi,Pate Property,,non-parasitic,-27.0,1,,,21.6,1,28.3,1,,,Cernusak_2004 Tables 2-3
Parentucellia viscosa,Anthoxanthum odoratum,,Pate Property,,Root hemiparasite,-30.4,1,,,21.6±2.0,2,,,,,Cernusak_2004 Tables 2-3
Anthoxanthum odoratum,,Parentucellia viscosa,Pate Property,,non-parasitic,-29.0,1,,,25.2±0.1,2,,,,,Cernusak_2004 Tables 2-3
Parentucellia viscosa,Hypochaeris radicata,,Pate Property,,Root hemiparasite,-27.9,1,,,25.1,1,,,,,Cernusak_2004 Tables 2-3
Hypochaeris radicata,,Parentucellia viscosa,Pate Property,,non-parasitic,-28.7,1,,,23.3,1,,,,,Cernusak_2004 Tables 2-3
Parentucellia viscosa,Ricinocarpus sp.,,Pate Property,,Root hemiparasite,-29.5,1,,,24.1,1,,,,,Cernusak_2004 Tables 2-3
Ricinocarpus sp.,,Parentucellia viscosa,Pate Property,,non-parasitic,-29.6,1,,,25.3,1,,,,,Cernusak_2004 Tables 2-3
Parentucellia viscosa,Senecio sp.,,Pate Property,,Root hemiparasite,-31.3,1,,,22.1,1,,,,,Cernusak_2004 Tables 2-3
Senecio sp.,,Parentucellia viscosa,Pate Property,,non-parasitic,-30.4,1,,,21.1,1,,,,,Cernusak_2004 Tables 2-3
Exocarpos odoratus,,,Ocean Beach,,Root hemiparasite,-27.45,,,,,,,,,,Cornwell compilation (pooled across all hosts at this site)
Olax phyllanthi,,,Ocean Beach,,Root hemiparasite,-28.467,,,,,,,,,,Cornwell compilation (pooled across all hosts at this site)
Spyridium globulosum,,Exocarpos odoratus; Exocarpos sparteus; Olax phyllanthi,Ocean Beach,,non-parasitic,-25.5,,,,,,,,,,Cornwell compilation (pooled across all parasites at this site)
Spyridium globulosum,,Cassytha sp.; Exocarpos odoratus; Olax phyllanthi,William Bay National Park,,non-parasitic,-28.4,,,,,,,,,,Cornwell compilation (pooled across all parasites at this site)
